harvesting	82-1502-B
hedge	83-1921-B,83-1938-B,83-1949-B,83-1959-B
hedgehog	83-1970-B
hedgerow	83-1984-B
heedless	83-1998-B
heel	83-2017-B,83-2026-B,83-2036-B,83-2048-B
heft	83-2060-B,83-2073-B
hefty	83-2084-B,83-2097-B
height	83-2109-B,83-2123-B,83-2141-B,83-2154-B,83-2168-B,83-2179-B,83-2194-B
heighten	83-2214-B,83-2231-B
heinous	83-2249-B
heliotrope	83-2270-B
helium	83-2292-B
helix	83-2306-B,83-2322-B,83-2336-B,83-2355-B
hell	83-2369-B
hellish	83-2378-B
hello	83-2391-B
helm	83-2401-B,83-2411-B
helmet	83-2422-B
help	83-2434-B,83-2451-B,83-2467-B,83-2478-B,83-2493-B,83-2507-B,83-2519-B,83-2531-B,83-2541-B,83-2551-B,83-2562-B,83-2575-B
helper	83-2591-B,83-2608-B,83-2623-B,83-2637-B
helpful	83-2649-B
helping	83-2669-B
helpless	83-2684-B
helpmate	83-2704-B
helpmeet	83-2720-B
helsinki	1-2069-B
helve	83-2736-B
hem	83-2748-B,83-2758-B,83-2767-B,83-2781-B,83-2793-B,83-2803-B
hemisphere	83-2812-B,83-2832-B
hemlock	83-2853-B,83-2874-B
hemorrhage	83-2893-B
hemp	83-2913-B
hen	83-2925-B,83-2933-B,84-0-B
hence	84-15-B,84-28-B
henceforth	84-42-B
henceforward	84-62-B
her	84-84-B,84-93-B,84-101-B
herald	84-108-B,84-127-B,84-139-B,84-153-B,84-167-B
heraldry	84-183-B,84-202-B
herb	84-222-B
herbarium	84-233-B
herd	84-253-B,84-265-B,84-276-B,84-288-B,84-300-B
here	84-311-B,84-321-B
hereafter	84-335-B
hereditary	84-354-B,84-374-B
heredity	84-398-B
heresy	84-420-B
heretic	84-436-B
heritable	84-451-B,84-470-B
heritage	84-493-B,84-510-B
hermaphrodite	84-527-B
hermetic	84-554-B,84-574-B
hermetical	84-594-B,84-616-B
hermetically	84-638-B,84-662-B
hermit	84-686-B,84-702-B
hernia	84-720-B
hero	84-733-B,84-743-B
heroic	84-754-B,84-772-B
heroin	84-789-B
heroine	84-805-B
heroism	84-820-B,84-839-B
heron	84-862-B
herring	84-875-B,84-890-B
herself	84-908-B,84-924-B,84-937-B,84-951-B
hesitate	84-964-B,84-982-B,84-998-B,84-1020-B,84-1038-B,84-1056-B,84-1074-B,84-1092-B,84-1110-B
hesitation	84-1128-B
heterogeneous	84-1148-B
hew	84-1173-B,84-1184-B,84-1195-B
hexameter	84-1209-B
hey	84-1229-B,84-1239-B
heyday	84-1247-B,84-1260-B
hiatus	84-1275-B
hiccough	84-1289-B
hiccup	84-1302-B
hidden	84-1313-B,84-1332-B,84-1349-B,84-1364-B,84-1379-B,84-1397-B
hide	84-1413-B,84-1427-B,84-1437-B,84-1453-B,84-1463-B,84-1474-B,84-1483-B,84-1498-B,84-1512-B,84-1529-B
hideaway	84-1545-B,84-1567-B
hideous	84-1591-B,84-1612-B,84-1633-B,84-1650-B
hierarch	84-1670-B
high	84-1689-B,84-1702-B,84-1713-B,84-1723-B,84-1737-B,84-1748-B
high handed	84-1762-B,84-1786-B
high minded	84-1811-B
high pitched	84-1828-B,84-1846-B
high strung	84-1868-B,84-1888-B
highboy	84-1912-B
highbrow	84-1928-B,84-1949-B
highlight	84-1972-B
highly	84-1993-B,84-2005-B
highness	84-2017-B,84-2033-B,84-2051-B,84-2067-B
highway	84-2089-B,84-2106-B,84-2126-B,84-2143-B,84-2159-B
highwayman	84-2177-B
hijacker	84-2200-B
hike	84-2217-B,84-2227-B,84-2237-B,84-2250-B
hiker	84-2263-B
hilarious	84-2277-B
hilarity	84-2295-B
hill	84-2315-B,84-2325-B,84-2338-B
hillock	84-2350-B
hillside	84-2365-B,84-2383-B
hilt	84-2400-B,84-2412-B
him	84-2422-B,84-2430-B
himself	84-2438-B,84-2454-B,84-2467-B,84-2481-B
hind	84-2494-B
hinder	84-2505-B,84-2523-B,84-2539-B,84-2558-B,84-2574-B,84-2588-B,84-2604-B,84-2623-B
hindmost	84-2640-B,84-2659-B
hindrance	84-2675-B,84-2697-B,84-2713-B,84-2732-B,84-2749-B,84-2769-B,84-2790-B,84-2809-B,84-2827-B
hindu	1-2087-B
hinge	84-2850-B
hint	84-2866-B,84-2881-B,84-2890-B
hip	84-2900-B
hippo	84-2909-B
hippodrome	84-2925-B
hippopotamus	84-2944-B
hire	84-2967-B,84-2981-B,84-2996-B,84-3009-B,84-3024-B,84-3035-B,84-3046-B
hirsute	84-3065-B
his	84-3078-B,84-3087-B
hiss	84-3096-B,84-3109-B
history	84-3121-B,84-3142-B,84-3159-B
hit	84-3175-B,84-3185-B,85-0-B,85-11-B,85-23-B,85-35-B,85-47-B,85-60-B,85-70-B,85-80-B,85-89-B,85-99-B,85-110-B,85-124-B
hitch	85-136-B,85-151-B,85-162-B,85-174-B
hither	85-188-B,85-200-B
hive	85-216-B,85-231-B
hoar	85-241-B,85-252-B,85-263-B
hoard	85-273-B,85-285-B
hoarfrost	85-300-B
hoarse	85-315-B,85-327-B,85-339-B
hoarsely	85-352-B,85-366-B
hoarseness	85-381-B,85-401-B
hoax	85-422-B,85-436-B,85-451-B,85-466-B,85-476-B
hobble	85-485-B
hobby	85-499-B
hobgoblin	85-518-B
hobo	85-537-B
hoe	85-550-B,85-562-B
hog	85-575-B,85-586-B
hoist	85-596-B,85-611-B,85-623-B
hold	85-634-B,85-649-B,85-663-B,85-677-B,85-689-B,85-700-B,85-712-B,85-723-B,85-737-B,85-747-B,85-764-B,85-780-B,85-797-B,85-813-B,85-822-B
holder	85-837-B,85-853-B
holding	85-867-B
hole	85-881-B,85-890-B,85-899-B,85-909-B,85-918-B
hole and corner	85-931-B,85-954-B
holidays	85-980-B
holland	1-2100-B
holler	85-998-B
hollo	85-1016-B,85-1029-B
hollow	85-1046-B,85-1057-B,85-1070-B,85-1088-B
holly	85-1106-B
holy	85-1118-B,85-1133-B,85-1145-B,85-1157-B
homage	85-1170-B,85-1191-B,85-1208-B,85-1221-B,85-1240-B
home	85-1258-B,85-1268-B,85-1278-B,85-1290-B,85-1301-B,85-1316-B
homeland	85-1328-B
homely	85-1347-B,85-1364-B
homeopathy	85-1381-B
homesickness	85-1404-B
homey	85-1425-B
homicide	85-1440-B
homily	85-1455-B
homoeopathy	85-1473-B
homogeneous	85-1497-B
homologate	85-1518-B
hone	85-1540-B
honest	85-1555-B,85-1568-B,85-1583-B,85-1598-B,85-1609-B
honestly	85-1624-B,85-1641-B
honey	85-1658-B
honeycomb	85-1671-B,85-1692-B
honeysuckle	85-1707-B
honor	85-1732-B,85-1742-B,85-1758-B,85-1769-B,85-1781-B,85-1796-B,85-1807-B
honorable	85-1821-B,85-1842-B
honorarium	85-1860-B
honour	85-1882-B,85-1893-B,85-1910-B,85-1922-B,85-1935-B,85-1951-B
honourable	85-1966-B,85-1992-B
hood	85-2014-B,85-2029-B,85-2043-B,85-2055-B,85-2065-B,85-2075-B,85-2084-B,85-2098-B,85-2112-B,85-2122-B,85-2134-B,85-2149-B
hoodwink	85-2163-B
hoof	85-2182-B
hook	85-2192-B,85-2206-B,85-2218-B,85-2228-B
hooked	85-2239-B
hoop	85-2251-B,85-2261-B,85-2273-B,85-2285-B
hoopoe	85-2295-B
hoopoo	85-2306-B
hoot	85-2317-B
hooter	85-2333-B,85-2347-B,85-2360-B,85-2372-B,85-2386-B
hoover	85-2400-B
hop	85-2418-B,85-2429-B,85-2444-B,85-2452-B,85-2465-B,85-2478-B
hope	85-2489-B,85-2499-B,85-2510-B,85-2524-B
hopeless	85-2541-B
hops	85-2559-B
horde	85-2568-B,85-2580-B
horizon	85-2592-B,85-2615-B,85-2631-B
horizontal	85-2643-B,85-2666-B,85-2689-B
horizontally	85-2709-B
horn	85-2734-B,85-2746-B,85-2757-B,85-2767-B,85-2779-B
hornbeam	85-2794-B
horny	85-2812-B,85-2823-B
horoscope	86-0-B
horrendous	86-20-B,86-44-B
horrible	86-65-B,86-87-B,86-103-B,86-127-B,86-149-B,86-167-B,86-192-B,86-213-B,86-234-B
horrid	86-253-B,86-273-B
horrific	86-293-B
horror	86-312-B,86-329-B,86-345-B,86-360-B,86-374-B,86-392-B,86-410-B,86-431-B,86-446-B
horse	86-461-B,86-477-B,86-489-B,86-507-B,86-517-B
horsefly	86-532-B,86-547-B
horsepower	86-561-B
horseradish	86-585-B,86-604-B
horsewhip	86-630-B
hospice	86-646-B
hospitable	86-663-B,86-683-B
hospital	86-706-B,86-724-B,86-743-B
hospitality	86-763-B
host	86-788-B,86-802-B,86-812-B,86-828-B,86-840-B,86-851-B,86-864-B
hostage	86-875-B
hostel	86-890-B,86-905-B,86-921-B
hostelry	86-935-B
hostess	86-952-B
hostile	86-970-B,86-990-B
hostility	86-1007-B
hot	86-1030-B,86-1043-B,86-1052-B,86-1066-B,86-1079-B,86-1089-B
hot tempered	86-1098-B
hotel	86-1122-B
hothouse	86-1134-B,86-1152-B
hound	86-1171-B
hour	86-1182-B
hours	86-1191-B
house	86-1201-B,86-1216-B,86-1227-B,86-1244-B,86-1255-B
housekeeping	86-1271-B
housewife	86-1295-B
hovel	86-1315-B,86-1325-B,86-1337-B
hover	86-1349-B,86-1364-B
how	86-1379-B,86-1387-B
however	86-1395-B,86-1408-B,86-1423-B,86-1438-B,86-1455-B,86-1468-B,86-1486-B
howitzer	86-1499-B
howl	86-1518-B,86-1531-B,86-1545-B,86-1557-B
howling	86-1573-B
hub	86-1592-B,86-1600-B,86-1615-B
hubbub	86-1624-B
huckleberry	86-1638-B
huddle	86-1657-B,86-1669-B,86-1682-B
hue	86-1697-B,86-1707-B,86-1718-B,86-1733-B
hug	86-1748-B,86-1760-B,86-1774-B,86-1788-B,86-1802-B
huge	86-1815-B,86-1826-B,86-1840-B,86-1856-B,86-1871-B,86-1887-B
hull	86-1903-B,86-1912-B,86-1922-B,86-1934-B
hum	86-1945-B,86-1957-B,86-1968-B,86-1979-B,86-1990-B,86-2000-B,86-2012-B,86-2025-B,86-2036-B,86-2047-B
humane	86-2058-B
humanity	86-2072-B,86-2089-B
humankind	86-2107-B,86-2125-B
humanly	86-2144-B
humans	86-2159-B
humble	86-2173-B,86-2191-B,86-2208-B,86-2223-B,86-2241-B,86-2259-B
humblebee	86-2281-B
humbug	86-2298-B,86-2312-B
humdrum	86-2325-B,86-2342-B
humiliate	86-2355-B,86-2376-B
humility	86-2401-B,86-2425-B,86-2442-B,86-2463-B
hummingbird	86-2480-B
hummock	86-2501-B
humor	86-2516-B
humorous	86-2528-B
humour	86-2545-B,86-2557-B
hump	86-2570-B,86-2582-B
humpback	86-2592-B,86-2608-B,86-2622-B,86-2641-B
humus	86-2661-B,86-2673-B
hunch	86-2689-B,86-2702-B,86-2713-B
hunchback	86-2726-B,86-2746-B
hundred	86-2767-B
hundredweight	86-2783-B
hungarian	1-2116-B,1-2134-B
hunger	86-2807-B
hungry	86-2821-B
hunk	86-2837-B,86-2847-B
hunt	86-2857-B,86-2870-B,86-2881-B,86-2901-B,86-2912-B,86-2925-B
hunter	86-2937-B
hunting	86-2950-B,86-2964-B
huntsman	86-2978-B
hurl	86-2993-B
hurricane	86-3005-B,86-3022-B
hurried	86-3044-B
hurriedly	86-3060-B
hurry	86-3078-B,87-0-B,87-18-B,87-32-B,87-50-B,87-67-B
hurt	87-84-B,87-99-B,87-116-B,87-129-B,87-142-B,87-155-B,87-165-B,87-177-B,87-190-B,87-205-B,87-215-B,87-227-B
hurtful	87-242-B
husband	87-258-B,87-277-B,87-290-B,87-305-B
husbandman	87-317-B
husbandry	87-336-B
hush	87-355-B,87-365-B
husk	87-377-B,87-386-B,87-398-B,87-409-B
huskily	87-421-B,87-434-B
husky	87-448-B,87-459-B
hussar	87-471-B
hussy	87-485-B
hustle	87-496-B,87-511-B,87-524-B
hut	87-539-B,87-549-B,87-560-B,87-568-B
hyacinth	87-578-B
hyaena	87-595-B
hybrid	87-608-B,87-624-B
hydrargyrum	87-642-B,87-659-B
hydraulic	87-682-B
hydraulics	87-704-B,87-726-B
hydrogen	87-752-B
hydrophobia	87-771-B
hydrophobic	87-796-B
hyena	87-819-B
hygiene	87-831-B
hygienic	87-848-B,87-869-B
hymn	87-887-B,87-899-B,87-910-B
hyperbola	87-926-B
hyperbole	87-946-B
hypnosis	87-966-B
hypnotic	87-983-B
hypnotize	87-1003-B,87-1024-B
hypochondria	87-1047-B
hypocrite	87-1073-B,87-1094-B,87-1114-B
hypocritical	87-1132-B,87-1156-B,87-1178-B,87-1205-B
hypothesis	87-1228-B,87-1249-B,87-1274-B
hyssop	87-1302-B
hysteria	87-1315-B
hysteric	87-1333-B
hysterical	87-1353-B
i	87-1375-B,87-1380-B,87-1385-B
iamb	87-1391-B
iambus	87-1402-B
ice	87-1415-B,87-1423-B,87-1433-B
icon	87-1443-B
idea	87-1454-B,87-1469-B,87-1481-B,87-1492-B,87-1507-B,87-1521-B,87-1531-B,87-1541-B,87-1556-B
ideal	87-1574-B
idealism	87-1587-B
idealist	87-1606-B
idealize	87-1624-B
ideally	87-1645-B
identic	87-1660-B
identical	87-1677-B
identically	87-1696-B
identify	87-1717-B,87-1740-B
identity	87-1764-B,87-1784-B
idiom	87-1809-B,87-1823-B,87-1836-B
idiosyncrasy	87-1852-B
idiosyncratic	87-1881-B
idiot	87-1907-B,87-1920-B
idiotic	87-1936-B,87-1951-B
idle	87-1971-B,87-1982-B,87-1991-B,87-2006-B,87-2017-B
idleness	87-2031-B
idol	87-2048-B,87-2059-B,87-2076-B,87-2087-B
idolize	87-2098-B
idyll	87-2117-B
idyllic	87-2130-B
if	87-2148-B,87-2155-B,87-2165-B,87-2175-B,87-2186-B,87-2192-B,87-2203-B
ignite	87-2209-B,87-2227-B
ignition	87-2244-B,87-2265-B
ignoble	87-2285-B,87-2300-B
ignorance	87-2313-B,87-2336-B
ignorant	87-2354-B,87-2373-B
ignore	87-2391-B,87-2406-B,87-2423-B
ikon	87-2439-B
ill	87-2450-B,87-2460-B,87-2472-B,87-2481-B,87-2492-B
ill considered	87-2501-B
ill fated	87-2530-B,87-2547-B,87-2564-B
illation	87-2585-B,87-2604-B
illiterate	87-2628-B,87-2650-B,87-2675-B
illness	87-2698-B,87-2717-B,87-2731-B
illuminate	87-2746-B,87-2767-B,87-2788-B,87-2811-B,87-2834-B
illumination	87-2856-B,87-2881-B
illumine	87-2906-B,87-2926-B
illusion	87-2946-B,87-2968-B,87-2987-B,87-3004-B,87-3018-B,87-3038-B
illusionist	87-3064-B
illusive	87-3087-B
illusory	87-3108-B
illustrate	87-3129-B,87-3152-B
illustration	87-3174-B,87-3199-B,87-3218-B,87-3243-B
illustrious	87-3268-B,87-3288-B,87-3309-B
image	88-0-B,88-16-B,88-33-B,88-45-B,88-61-B,88-77-B,88-90-B,88-102-B,88-114-B,88-126-B,88-143-B,88-160-B,88-178-B
imaginary	88-197-B,88-219-B
imagination	88-239-B,88-260-B,88-284-B,88-315-B
imagine	88-340-B
imbecile	88-357-B,88-373-B
imbibe	88-394-B,88-409-B
imbroglio	88-426-B
imbue	88-447-B,88-462-B
imitate	88-480-B,88-497-B,88-515-B
imitation	88-530-B,88-549-B,88-570-B,88-587-B
immaterial	88-607-B,88-623-B,88-647-B
immeasurable	88-672-B
immediate	88-696-B,88-715-B,88-738-B,88-755-B
immediately	88-778-B,88-800-B,88-821-B,88-840-B,88-865-B,88-887-B,88-906-B,88-927-B
immense	88-942-B,88-956-B,88-973-B,88-992-B,88-1007-B,88-1025-B,88-1044-B
immensely	88-1063-B,88-1083-B,88-1104-B
immerse	88-1125-B,88-1144-B,88-1160-B
immolation	88-1175-B
immortalize	88-1192-B
immovable	88-1216-B
immune	88-1231-B,88-1245-B,88-1262-B
immure	88-1279-B,88-1296-B
imp	88-1313-B,88-1330-B,88-1343-B
impact	88-1354-B,88-1369-B,88-1383-B,88-1395-B
impair	88-1408-B
impale	88-1425-B
impartial	88-1443-B
impassioned	88-1465-B,88-1493-B
impatient	88-1511-B,88-1531-B
impatiently	88-1552-B
impeach	88-1575-B,88-1593-B
impeachment	88-1614-B,88-1636-B
impeccable	88-1662-B
impede	88-1684-B,88-1702-B,88-1718-B,88-1734-B
impediment	88-1753-B,88-1776-B,88-1796-B,88-1814-B,88-1835-B,88-1857-B
impel	88-1881-B,88-1897-B,88-1912-B,88-1930-B,88-1946-B,88-1960-B,88-1974-B,88-1989-B
impend	88-2002-B
imperative	88-2017-B
imperator	88-2039-B
imperfect	88-2056-B
imperialism	88-2077-B
imperious	88-2102-B
impermanent	88-2124-B
impersonate	88-2149-B
impertinent	88-2172-B,88-2192-B,88-2216-B
impervious	88-2237-B
impetuous	88-2263-B
