cyprus	1-1308-B
dat	94-40-B,173-811-B,173-2217-B,173-2956-B,174-346-B,188-1829-B,188-2488-B,189-770-B,192-254-B
datering	46-2582-B
datgene	173-820-B,174-356-B
datief	46-2623-B
datum	46-2596-B
dauw	51-976-B
dauwen	51-985-B
daveren	24-1486-B,144-2636-B,174-1999-B
de	24-2498-S,173-960-B
de dag	46-2838-S
dealer	8-2945-B
debacle	66-76-B,68-1525-B
debat	47-934-B,53-358-B
debiteren	110-2918-B,140-614-B,171-2964-B
decaan	47-662-B
decade	47-1150-B
decameter	47-1215-B
decanteren	47-1251-B
december	1-1365-B,47-1546-B
decennium	47-1164-B
decimeter	47-1831-B
declameren	47-2104-B,138-2447-B
declaratie	163-462-B
declareren	47-2263-B
declinatie	47-2315-B,47-2400-B
decor	47-2695-B,47-2916-B
decoratie	7-1747-B,47-2707-B,47-2933-B,117-494-B,117-1816-B
decoreren	7-1641-B,47-2809-B,117-1835-B
decreet	47-3242-B
decreteren	47-3257-B
deduceren	48-164-B
deeg	55-1297-B,121-112-B,121-366-B
deel	10-1307-B,38-3706-B,92-3433-B,94-285-B,101-1629-B,120-1266-B,120-1649-B,124-2496-B,128-988-B,132-3030-B,150-955-B,150-2296-B,152-2576-B,156-1798-B,186-340-B
deelgenoot	120-2461-B
deelnemen	120-1425-B,120-1515-B,152-2587-B
deelneming	120-1603-B,170-1143-B
deels	120-1479-B,120-2448-B
deeltal	54-2534-B
deelwoord	120-1628-B
deemoed	86-2425-B
deemoedig	86-2191-B,105-1891-B
deens	1-1339-B
deerlijk	119-382-B,119-448-B
defect	46-1431-B,48-647-B,48-675-B,48-1201-B,67-939-B,67-1016-B
defensie	48-707-B,48-947-B
deficit	48-1278-B,101-1517-B
definieren	48-1465-B,50-3563-B
definitie	48-1828-B
definitief	48-1501-B,48-1671-B,48-1873-B,48-1937-B,69-280-B,128-1712-B,180-1655-B
deftig	14-1358-B,51-2983-B,79-846-B,128-1050-B,158-1570-B,163-389-B
degelijk	69-1751-B,158-1826-B,159-947-B,167-805-B,167-947-B,174-141-B
degen	137-360-B,170-547-B
degenereren	48-2338-B
degraderen	48-2488-B,49-1779-B,139-756-B,140-1535-B
dek	23-137-B,43-1131-B,43-1361-B,47-2057-B
deken	23-149-B,47-674-B,146-903-B
dekken	23-163-B,43-1141-B,98-199-B,133-506-B,151-3199-B,156-1301-B,175-328-B
dekking	43-1154-B,43-1374-B
dekmantel	104-1148-B,130-2736-B
deksel	43-1168-B,85-2043-B,99-1125-B,176-860-B
delegatie	48-2928-B,48-3011-B,50-61-B
delegeren	48-2968-B
delen	54-2408-B,120-2300-B,151-1271-B,152-2603-B
delfstof	107-537-B
delgen	11-1092-B,65-1793-B,139-563-B
delicaat	46-1012-B,48-3230-B,69-603-B,174-2502-B
deling	54-2756-B,120-2316-B
delta	49-680-B
demagoog	49-929-B,49-946-B
democraat	49-1367-B
democratie	49-1322-B
demon	46-895-B,49-1461-B
demonstratie	49-1304-B,49-1678-B,53-2459-B
demonstreren	49-1543-B
dempen	68-2818-B
den	69-1177-B,125-694-B
denemarken	1-1404-B
denkbeeld	87-1492-B,113-1975-B
denkbeeldig	66-2079-B,88-197-B,113-2047-B
denken	38-3283-B,64-1448-B,80-1837-B,138-2553-B,173-2804-B
denker	173-2843-B
denneboom	125-703-B
departement	49-2636-B
deponeren	49-3361-B,101-265-B
depot	8-1170-B,8-1228-B,25-1666-B
depressie	49-3561-B,157-313-B
deputeren	50-101-B
derde	173-2858-B
derde macht	45-718-B
deren	82-638-B
dergelijke	167-2042-B,167-2139-B
derhalve	40-474-B,157-2494-B,173-2004-B,174-2117-B
dermate	157-2506-B
dertien	173-2911-B
dertig	173-2928-B
desinfecteren	53-1058-B
deskundig	2-2776-B,6-2358-B,38-665-B,64-2488-B,64-2680-B
deskundige	6-2374-B,64-2697-B
desondanks	112-674-B,113-2068-B,139-2798-B
despoot	50-2181-B
despotisme	50-2214-B
dessert	50-2235-B,133-3132-B
dessin	50-1110-B,55-2792-B
destijds	173-1331-B
detachement	50-2728-B
detail	50-2809-B
detective	50-3105-B,116-1401-B,156-1768-B
determineren	50-3585-B
detineren	50-2961-B,143-199-B
deugd	78-579-B,185-2193-B
deugdelijk	69-1765-B,158-1841-B
deugdzaam	185-2282-B,185-2301-B
deugniet	78-285-B,111-1434-B,148-2232-B
deun	105-2696-B,179-2181-B
deuntje	105-2708-B,179-2191-B
deur	55-792-B,75-1793-B
deurpost	127-1330-B,128-2105-B,162-1047-B,162-1708-B
devies	51-445-B,109-1400-B,156-2508-B,187-1834-B
devoot	125-925-B,125-986-B
deze	173-2227-B,173-2965-B
dezelfde	147-2304-B
diabetes	51-1216-B
diadeem	42-769-B,51-1434-B,174-2222-B
diafragma	51-1746-B
diagonaal	51-1449-B
diaken	47-128-B
dialect	51-1537-B,87-1809-B
dialoog	51-1569-B,51-1621-B,57-172-B
diamant	51-1717-B
diameter	24-2120-B,51-1679-B
diarree	51-1805-B
dicht	35-1813-B,35-2185-B,37-3375-B,49-2288-B,49-2335-B,67-13-B,154-1696-B,173-2353-B,173-2490-B,174-2906-B
dichtbij	16-1532-B,21-2732-B,28-787-B,111-1501-B
dichtdoen	35-1825-B,154-1707-B
dichten	23-1262-B,35-1645-B
dichter	127-710-B
dichtgaan	35-1841-B
dichtheid	49-2361-B,49-2381-B
dichtknopen	28-544-B
dichtkunst	127-723-B
dichtmaken	23-1276-B,35-1658-B,35-1857-B,154-1722-B,164-2118-B
dichtregel	184-1931-B
dichtslaan	19-487-B,156-1000-B
dichtwerk	127-672-B
dictaat	51-1937-B
dictator	51-1972-B
dictatuur	51-1990-B
dictee	51-1955-B
dicteren	51-1900-B
didactiek	51-2036-B
die	173-833-B,173-967-B,173-2238-B,174-0-B,174-370-B,188-2498-B,189-778-B,189-1089-B,192-265-B
dieet	51-2170-B,139-2882-B
dief	173-2505-B
diefstal	97-1260-B,163-1620-B,173-1107-B
dienaar	25-904-B,71-865-B,151-2594-B,151-3023-B,183-1437-B
dienares	102-2989-B
dienblad	178-181-B
dienen	110-1195-B,151-2686-B
dienst	16-3134-B,57-678-B,59-2068-B,115-1879-B,151-2804-B
dienstig	7-2728-B,182-3028-B
dienstmeisje	102-3003-B
dienstregeling	175-801-B
dienstwillig	137-2652-B,189-2331-B
diep	48-327-B,48-404-B,79-859-B,101-2596-B,101-2695-B,132-217-B
diepgaand	174-159-B,174-300-B
diepte	48-416-B,50-0-B,79-1130-B,132-231-B,132-251-B
dier	11-3466-B,20-1753-B,26-2949-B,44-549-B
dierbaar	47-685-B,64-2127-B,101-2151-B
dierenarts	184-2742-B,184-2806-B
dierenriem	192-827-B
dierentemmer	171-315-B
dierentuin	192-881-B
dierevel	84-1413-B,156-344-B
dierkunde	192-937-B
dierkundige	192-896-B
dierlijk	11-3478-B,20-1784-B,22-20-B,26-2960-B,26-3018-B
difterie	52-609-B
digereren	51-2775-B
dij	173-2559-B
dijk	46-1292-B,51-3093-B,57-904-B,59-342-B
dik	22-943-B,24-272-B,35-1874-B,49-2300-B,49-2349-B,67-363-B,67-811-B,79-1333-B,80-115-B,83-1672-B,127-192-B,164-3026-B,170-471-B,173-2365-B,179-2386-B
dikte	173-2459-B
dikwijls	73-1126-B,115-2415-B,115-2511-B
dilemma	51-3289-B,135-200-B
dilettant	10-3174-B,46-772-B,51-3324-B,66-2042-B
dimensie	52-136-B,105-1137-B
diner	52-411-B
ding	8-488-B,15-313-B,27-2738-B,30-1555-B,38-3719-B,104-2462-B,114-1368-B,173-2694-B
dingen naar	15-1920-B
dinsdag	2-444-B,179-1653-B
diocees	52-499-B
diploma	31-2444-B,52-689-B,120-200-B
diplomaat	52-726-B
diplomatie	52-705-B
direct	52-884-B,52-1277-B,165-64-B
directeur	52-1407-B,78-1263-B,82-2744-B,83-216-B,103-2068-B,104-1637-B,131-341-B,168-1320-B,187-560-B
directie	7-340-B,52-1090-B,103-1947-B
dirigeren	39-1319-B,52-898-B,80-2126-B,98-530-B,103-1688-B,163-1912-B
discipel	52-2695-B
discipline	52-2713-B
disconteren	52-3143-B
disconto	52-3164-B
discreet	52-3461-B,52-3521-B,53-63-B,108-1035-B
discretie	53-120-B,108-1179-B
discriminatie	53-220-B
discus	53-249-B
discussie	14-915-B,47-947-B,53-375-B
discuteren	53-317-B
disorde	53-1932-B
disputeren	14-796-B,53-2825-B
dispuut	14-934-B,41-2306-B,53-2747-B,53-2844-B,108-3016-B,135-386-B
dissertatie	53-3407-B,173-2258-B
distantie	53-3784-B
distel	174-27-B
distelvink	78-14-B
distilleren	54-253-B,54-319-B
distribueren	54-1126-B
distributie	54-1276-B
district	34-206-B,54-1452-B
dit	173-842-B,173-2248-B,174-9-B
dito	147-2318-B
divan	42-2416-B,54-1887-B,158-663-B
divergeren	54-1968-B
diverse	152-843-B,183-2930-B
diversiteit	54-2224-B
dividend	54-2551-B
divisie	54-2772-B
dobbelsteen	45-735-B,51-2056-B
docent	92-969-B,98-1880-B
doch	28-166-B,86-1395-B,191-2940-B
dochter	46-2664-B
doctor	54-3281-B
doctrine	54-3342-B
document	31-2464-B,48-261-B,54-3406-B,92-1076-B,119-2361-B,138-3400-B
documentair	54-3496-B,54-3519-B
documenteren	54-3424-B
dode	47-196-B
dodelijk	47-361-B,47-900-B,67-435-B,96-0-B,99-52-B,109-456-B,109-490-B
doden	95-2849-B,156-1477-B
doedelzak	18-2056-B,18-2074-B,125-1208-B
doek	29-1466-B,35-2373-B,45-2660-B,100-460-B,119-821-B,124-2227-B
doel	9-1923-B,31-32-B,50-1124-B,60-0-B,77-2539-B,92-2692-B,92-2741-B,114-1380-B,114-1572-B,126-119-B,134-1412-B,171-1182-B
doelmatig	41-2486-B,64-1647-B,74-655-B,81-2554-B,116-1877-B
doelstelling	9-1932-B,77-2549-B,114-1587-B,134-1425-B,171-1194-B
doeltreffend	58-1017-B,58-1099-B,58-1215-B,58-1320-B,58-1491-B,116-1421-B
doelwit	9-1949-B,77-2567-B,134-1446-B,171-1214-B
doen	5-1768-S,6-9-B,8-1724-S,31-43-B,54-3041-B,55-160-B,79-2336-S,87-227-S,103-793-B,122-3036-B,134-2164-B
doen alsof	67-2759-B,130-2502-B
doen van	141-140-S
dof	114-3185-B
dofheid	12-3010-B
doge	55-72-B
dogma	55-114-B,172-1744-B
dok	54-3181-B
dokken	121-2142-B
dokter	54-3132-B,54-3295-B,105-1748-B,124-1539-B
dol	44-42-B,46-938-B,49-331-B,49-345-B,54-689-B,56-1975-B,71-1454-B,73-396-B,73-1033-B,74-1164-B,74-1278-B,91-2314-B,93-1171-B,102-2062-B,114-722-B,124-1424-B,136-445-B,136-499-B,137-1903-B,189-1880-B
doldriftig	74-1176-B,74-1292-B
dolen	61-3481-B,136-2356-B,144-2485-B,165-1448-B,187-58-B
dolheid	102-2256-B,136-541-B
dolk	46-956-B,52-1486-B,127-2547-B
dollar	27-0-B,55-250-B
dolle kervel	83-2853-B
dolzinnig	44-52-B,91-2325-B,102-2070-B,102-2162-B,114-731-B
dom	30-2965-B,49-2310-B,55-338-B,56-2627-B,67-844-B,71-1466-B,114-908-B,114-3196-B,155-380-B,166-2048-B,166-2189-B,173-2375-B,190-1318-B
domein	49-1271-B,55-282-B
domicilie	2-3186-B,55-500-B,142-1091-B
dominee	120-1198-B,121-247-B,139-368-B,143-1628-B,185-123-B
domino	55-594-B
domkop	71-1268-B
dommekracht	94-635-B
domoor	71-1280-B
dompelaar	52-745-B,127-347-B
donatie	55-644-B,76-2204-B,130-902-B
donau	1-1352-B
donder	174-2015-B
donderdag	2-425-B,174-2087-B
donderen	24-1499-B,74-277-B,174-2030-B
donker	22-2347-B,23-505-B,46-2205-B,46-2297-B,46-2325-B,46-2378-B,48-337-B,52-22-B,53-1466-B,56-113-B,56-2636-B,57-539-B,77-1267-B,77-1321-B,79-870-B,79-1190-B,79-1988-B,110-688-B,110-729-B,114-1911-B,114-2056-B,116-913-B,158-2358-B,158-2440-B,169-2064-B
donkerrood	44-1440-B
dons	55-1394-B,70-2634-B,74-2119-B
dood	47-206-B,47-822-B,99-1388-B
doodgaan	51-2072-B,64-2993-B
doodkist	36-1243-B
doodmaken	95-2860-B,156-1488-B
doodmoe	64-449-B
doods	47-216-B
doodsangst	9-901-B
doodslag	103-2961-B
doodsteken	96-1189-B,161-3035-B
doof	47-395-B
doofheid	47-444-B
doofstom	47-405-B
dooi	173-907-B
dooien	105-2763-B,173-917-B
dooier	192-226-B
doolhof	96-2379-B,104-3086-B,187-1172-B
doop	19-965-B,33-2314-B
doopsel	19-978-B,33-2331-B
door	5-3694-B,28-799-B,71-1940-B,73-2485-B,115-1205-B,116-157-B,174-1494-B,174-1584-B,190-831-B
doorbijten	123-2015-B,123-2165-B
doorbranden	105-2775-B
doorbreken	25-2375-B,71-2169-B
doorbrengen	120-2773-B,160-1419-B
doorbuigen	21-1829-B
doordat	20-2251-B
doordringen	88-462-B,88-3420-B,90-3164-B,90-3922-B,122-1476-B,122-1519-B,122-2558-B,123-1118-B,123-3222-B,124-2710-B,157-2615-B
doordringend	5-2136-B,5-3459-B,82-1259-B,95-1997-B,102-990-B,124-2759-B,152-2854-B,159-1243-B,165-2621-B,171-1353-B
dooreenhalen	39-2753-B
doorgaan	41-930-B
doorgaans	75-2967-B
doorgang	10-1095-B,75-497-B,120-2790-B,120-3000-B,174-278-B,177-2626-B
doorheen	174-1507-B
doorkijk	123-2570-B
doorklieven	160-3130-B
doorkomen	167-1777-B
doorkruisen	84-2539-B,91-793-B,130-2938-B,174-2196-B
doormaken	64-2311-B
doorn	125-491-B,160-2087-B,174-102-B
doornemen	141-940-B
doorroeren	164-1272-B
doorscheuren	171-2201-B
doorslikken	169-1682-B
doorsmeren	157-933-B,161-1101-B
doorsnede	131-3664-B,150-968-B
doorsnee	17-3295-B,105-374-B,131-3682-B
doorstaan	2-2094-B,20-1468-B,60-794-B,162-1788-B,167-2397-B,169-1350-B,180-3066-B
doorsteken	88-1425-B,125-501-B,159-2798-B,160-2472-B
doorstoten	122-1498-B
doortrapt	15-133-B,15-180-B,35-778-B,45-1429-B,157-353-B,157-667-B
doortrekken	148-507-B
doorvoeren	4-2723-B,5-1883-B,13-1366-B
doorwaden	71-2447-B
doorzetten	2-2110-B,123-2036-B,123-2184-B
doorzien	80-1850-B
doos	25-721-B,30-1565-B,40-3617-B,95-872-B
doosje	25-730-B
doosvrucht	29-2206-B
dop	19-1653-B,86-1903-B,87-377-B,122-696-B,127-625-B,153-1268-B,154-1609-B
dope	56-1692-B
dopen	19-951-B,19-994-B,33-2299-B,110-2596-B
dophei	83-1428-B,83-1484-B
dopheide	83-1441-B,83-1499-B
dor	14-1085-B,19-2158-B,56-2147-B,94-1413-B
dorp	185-1284-B
dorpel	155-355-B,174-1040-B
dorpeling	185-1312-B
dorsen	70-359-B,174-782-B,174-1010-B
dorst	173-2882-B
dorstig	16-1753-B,173-2895-B
dorsvlegel	70-372-B
dosis	55-907-B,55-920-B
dossier	55-947-B,68-2688-B
dot	33-2623-B,35-1577-B,102-607-B,179-1689-B
douceurtje	79-794-B,175-1308-B
douche	55-1254-B,154-1108-B
douw	134-1952-B
douwen	134-1962-B,174-1760-B
doven	52-33-B,65-1811-B,135-1277-B
dozijn	55-1688-B
dra	159-97-B
draad	68-2618-B,98-545-B,100-124-B,165-879-B,174-812-B,190-305-B,191-2573-B
draadloze	136-1198-B,190-365-B
draadnagel	110-2327-B
draagbaar	22-917-B,100-1658-B,165-2139-B
draaghemel	18-2498-B,29-1329-B
draai	179-2536-B,180-721-B
draaien	79-2627-B,139-1110-B,143-2508-B,145-725-B,145-1635-B,153-1786-B,156-1785-B,170-60-B,170-456-B,174-1638-B,179-2547-B,180-428-B,180-677-B,180-733-B,184-292-B,188-1880-B,189-178-B,189-2616-B
draaier	180-65-B
draaiing	145-1720-B,176-1664-B,179-2560-B,180-94-B
draaikolk	58-0-B,186-674-B,189-192-B,189-252-B
draaimolen	30-719-B,30-1097-B,106-1052-B,145-2317-B
draak	55-1774-B,55-1955-B
drachme	55-1743-B,55-1758-B
dracht	16-3596-B,42-2173-B,75-793-B,100-2306-B,117-3152-B,167-3329-B
drachtig	129-3071-B
draf	178-3052-B
dragen	2-1567-B,2-2127-B,20-1483-B,30-1153-B,48-2145-B,60-811-B,85-677-B,167-2414-B,168-2190-B,169-1368-B,186-1311-B,188-28-B
drager	132-1944-B,168-2205-B
dragonder	55-2041-B
draineren	55-2105-B
dralen	48-2699-B,96-2935-B,171-1314-B
drama	55-2151-B
dramaturgie	55-2180-B
drang	88-2314-B,89-416-B,108-1912-B,130-1856-B,130-1976-B,130-2080-B,134-1974-B,165-1926-B,182-2440-B
drank	22-322-B,55-2345-B,56-715-B,100-953-B,100-966-S,128-3018-B,160-2339-B,175-1517-B
drankje	22-337-B,56-727-B,129-0-B,175-1530-B
drankmisbruik	9-3043-B
drankzucht	9-3068-B,52-776-B
drankzuchtige	9-2958-B,24-1850-B,52-798-B
draperen	55-2203-B
drasland	104-765-B,134-2803-B,169-1779-B
drassig	68-376-B,104-839-B,169-1818-B
drastisch	55-2247-B,55-2323-B,169-2366-B
draven	178-3062-B
dreef	17-3227-B
dreigement	105-3244-B,174-877-B
dreigen	88-2002-B,105-3262-B,174-930-B
dreiging	105-3277-B,174-895-B
drek	52-1507-B,57-115-B,63-3043-B,109-2892-B,109-2952-B,117-983-B,156-2088-B,158-947-B
drempel	155-367-B,174-1057-B
drenkbak	179-245-B
dresseren	26-102-B,58-559-B,136-1963-B,171-258-B,177-1182-B
dribbelen	178-3074-B
drie	174-947-B
driehoek	178-1384-B
driehoekig	178-1420-B
driehoeksmeting	178-2128-B
driekleurig viooltje	119-1971-B
drievuldigheid	178-2408-B
driewieler	178-1900-B
drift	80-521-B,151-3210-B
drijfveer	90-1649-B,109-1135-B,138-483-B
drijven	177-660-S
dril	56-633-B
drillen	56-644-B,64-256-B,129-1080-B
dringen	44-2553-B,71-2186-B,87-496-B,88-1946-B,116-2418-B,123-1139-B,130-1868-B,134-1985-B,146-2333-B,154-619-B,161-2711-B,174-1774-B,182-2451-B
dringend	45-529-B,64-793-B,130-1991-B,182-2533-B,182-2582-B
drinkbaar	56-811-B,128-2970-B
drinkbeker	77-2699-B
drinken	22-723-B,56-741-B,88-394-B,187-1981-B
drinker	9-2982-B,24-1871-B
drinkgelag	117-1224-B
drinkgeld	175-1323-B
drinkglas	77-540-B,77-605-B
droef	107-2210-B,147-192-B
droefgeestig	77-1335-B,105-2326-B,190-635-B
