afschieten	52-2483-B
allerlei	10-667-B,107-1743-B,168-913-B,183-2913-B
allerwegen	62-3376-B
alles	10-680-B,62-3359-B
alliage	10-1563-B
alliantie	10-1154-B
allicht	131-1448-B
alligator	10-1230-B
allooi	132-2514-B,135-84-B
allopathie	10-1268-B
almacht	10-1790-B,116-44-B
almachtig	10-770-B,10-1811-B,116-64-B
almanak	10-1774-B
aloe	10-1957-B
alom	62-3398-B
alom bekend	66-1645-B
aloud	11-2721-B,12-2027-B
alp	10-2166-B
alpaca	10-2189-B
alpensport	109-1910-B
alpenweide	10-2174-B
alpinisme	109-1936-B
alpinist	35-1256-B,109-1863-B
alras	159-86-B
alreeds	10-2267-B,191-2917-B
als	15-935-B,71-1923-B,87-2148-B,188-2120-B
alsjeblieft	126-1880-B
alsmaar	41-1119-B
alsof	67-2759-S,130-2502-S
alstublieft	126-1899-B
alt	10-2898-B,41-1457-B,41-1489-S
altaar	10-2401-B
altaardienaar	5-2627-B
alternatief	10-2710-B,116-2758-B
altijd	10-3038-B,62-2972-B,62-3186-B
altijddurend	62-3054-B,123-1564-B
altstem	41-1471-B
altviool	185-1572-B
aluin	10-2988-B
aluminium	10-2999-B,10-3019-B
alvast	10-2283-B,191-2929-B
alvorens	21-114-B
alweer	8-2115-B,8-2499-B
alwetend	116-85-B
amalgaam	10-3079-B
amandel	10-1830-B
amaril	59-1255-B
amateur	10-3158-B,46-756-B,51-3305-B,66-2026-B
amazone	11-94-B
ambacht	43-2206-B,81-1946-B,115-209-B,177-620-B
ambachtsman	15-582-B,15-735-B
ambassade	59-588-B
ambassadeur	11-129-B
ambieren	15-1903-B
ambitie	11-288-B,68-963-B,68-1003-B,192-554-B
ambitieus	11-323-B,11-364-B,192-602-B
ambt	13-1556-B,37-2008-B,59-2010-B,74-517-B,94-1962-B,115-1809-B,128-2057-B,151-2754-B
ambtelijk	115-2035-B,115-2098-B
ambtenaar	115-1939-B
ambtgenoot	36-1966-B
ambulance	11-409-B
amechtig	26-82-B
amen	11-568-B
amerika	1-182-B
amerikaan	1-198-B
amerikaans	1-217-B
amethist	11-674-B
ameublement	74-1558-B
amfibie	11-1262-B
amfitheater	11-1280-B
amfora	11-1305-B
amicaal	73-1645-B
ammonia	11-806-B
ammoniak	11-822-B
ammunitie	11-791-B,11-839-B
amnestie	11-879-B,120-238-B
amorf	11-999-B,72-1015-B
amortiseren	11-1071-B
ampel	50-2852-B
amper	19-1518-B,82-308-B,148-2358-B
ampul	27-774-B
amputatie	11-1546-B
amputeren	11-1507-B
amulet	11-1588-B,32-1952-B,170-3151-B
amusant	11-1735-B,11-1800-B,61-310-B,74-983-B
amusement	11-1666-B,61-374-B
amuseren	11-1618-B,54-2288-B,61-154-B
anachronisme	11-1869-B
analfabeet	87-2628-B
analfabetisch	87-2650-B
analogie	11-2018-B
analyse	11-2134-B,15-2184-B,25-2641-B
analyseren	11-2080-B,11-2190-B
ananas	125-732-B
anarchie	11-2333-B
anarchisme	11-2292-B
anarchist	11-2313-B
anarchistisch	11-2244-B,11-2267-B
anathema	11-2375-B,19-33-B,63-2942-B
anatomie	11-2557-B
anatomisch	11-2448-B,11-2491-B
ander	12-1203-B,51-2320-B,59-175-B,117-2560-B,183-2585-B
anders	10-2769-B,51-2336-B,51-2427-B,59-186-B,117-2572-B,117-2585-B,181-2849-B
andorra	1-237-B
anecdote	11-2811-B
anekdote	11-2829-B
anemie	11-1894-B,11-2847-B
anemoon	11-2881-B
anesthesie	11-2897-B
angel	69-2225-B,164-661-B
angelsaksisch	1-253-B
angina	11-3129-B,135-2606-B
angola	1-279-B
angst	9-854-B,11-3274-B,12-2269-B,13-1995-B,67-1823-B,73-1854-B,148-2412-B
angstaanjagend	86-103-B
angstig	8-1990-B,12-2357-B,12-2453-B,67-1962-B,148-2450-B
angstvallig	149-2513-B
angstwekkend	86-127-B
aniline	11-3388-B
animeren	59-3163-B,164-346-B
anker	11-2670-B,14-1592-B,25-981-B
annexeren	12-170-B
annuleren	2-2638-B,2-3315-B,3-1382-B,12-860-B,29-676-B,113-3008-B,140-2947-B
annulering	2-3414-B,3-47-B,3-1463-B
anode	12-973-B
anomalie	2-3091-B,12-1005-B
anoniem	12-1084-B,12-1162-B,110-2669-B
anonimiteit	12-1062-B
ansjovis	11-2704-B
antarctisch	12-1433-B
antecedent	12-1475-B,129-1566-B
antenne	7-3703-B,12-1577-B
antibioticum	12-1830-B
anticipatie	12-1894-B
antiek	11-2735-B,12-2041-B
antilope	12-1559-B
antimonium	12-1944-B
antipathie	12-1964-B,17-3468-B,53-1238-B,54-117-B
antiseptisch	12-2092-B
antistof	12-1854-B
antitankgeweer	20-1088-B
antithese	12-2189-B
antologie	12-1741-B
antraciet	12-1783-B
antropologie	12-1804-B
antwoord	12-1217-B,141-1520-B,142-2551-B
antwoorden	12-1233-B,141-1535-B,142-2467-B,143-1059-B
antwoorden op	12-1251-B,141-1552-B,142-2486-B
anus	12-2259-B,14-3255-B
aorta	12-2668-B
apart	117-1470-B,151-1415-B,159-2946-B,160-116-B
apathie	12-2995-B
apathisch	12-2786-B,12-2907-B
apebroodboom	19-931-B
apenoot	121-2970-B
apert	63-75-B,114-3271-B
apocalyptisch	12-3264-B
apocrief	12-3315-B
apologie	12-3368-B,12-3433-B
apostel	12-3530-B
apostolisch	12-3566-B,12-3588-B
apostrof	12-3639-B
apotheek	53-2230-B,56-1804-B,124-591-B
apotheker	13-27-B,33-202-B,53-2268-B,56-1785-B,124-549-B
apotheose	13-48-B
apparaat	13-69-B,13-1145-B,41-1909-B,51-429-B,151-3142-B
appartement	12-2749-B,70-694-B
appel	13-348-B,13-1133-B
appelwijn	33-2780-B
appendix	6-1772-B,6-1922-B,6-3261-B,13-826-B,36-1121-B,144-55-B
applaudisseren	4-1669-B,13-1053-B,34-2119-B
applaus	4-1692-B,4-1803-B,13-1095-B,13-2394-B,126-1335-B
april	1-293-B,13-2682-B
apropos	166-2726-B,173-1198-B,176-1024-B
aquaduct	13-2894-B
aquarel	187-2077-B,187-2096-B
aquarium	13-2876-B
arabesk	13-2912-B
arabier	1-321-B
arabisch	1-334-B,1-351-B
arbeid	94-1971-B,96-1930-B,96-2208-B,175-2515-B,178-45-B,190-2502-B
arbeiden	96-1943-B,96-2222-B,175-2527-B,190-2514-B
arbeider	81-1680-B,96-2047-B,96-2308-B,116-1382-B,190-3003-B,191-66-B
arbeidsvermogen	60-1114-B
arbeidzaam	82-433-B,90-1861-B,96-2114-B
arbiter	13-2930-B,13-3131-B,139-1210-B,180-1798-B
arbitrage	13-3082-B
arbitrair	13-3017-B
arcade	13-3230-B,14-205-B
arceren	152-1499-B
archeologie	13-3449-B,13-3644-B
archeologisch	13-3337-B,13-3391-B,13-3588-B
archief	14-151-B,14-167-B
archiefmedewerker	6-1287-B
archipel	13-3711-B
architect	13-3782-B
architectonisch	13-3824-B,14-25-B
architectuur	14-80-B
architraaf	14-129-B
archivaris	14-184-B
arctisch	1-367-B,14-253-B
areaal	14-486-B
arena	14-612-B,144-1389-B
arend	57-1234-B
argeloos	80-2371-B,110-2395-B,182-668-B
argentinie	1-383-B
arglistig	91-3009-B
argon	14-712-B
argument	14-876-B
argumenteren	14-749-B,138-444-B
argwaan	169-1152-B
argwanend	169-1237-B,169-1305-B
aria	14-1063-B
arier	1-458-B
aristocraat	14-1282-B
aristocratie	14-1234-B
aristocratisch	14-1330-B,14-1400-B
ark	14-1517-B
arm	14-1525-B,25-1139-B,25-1640-B,107-2111-B,111-2057-B,127-2749-B,127-2936-B
armatuur	14-1607-B
armband	14-1625-B,25-1093-B
armeens	1-422-B
armenie	1-405-B
armenier	1-439-B
armleuning	14-1533-B
armoe	107-2686-B
armoede	21-323-B,50-2482-B,88-3356-B,90-729-B,111-2353-B,121-1623-B,122-1843-B,129-325-B
armoedig	21-305-B,107-2125-B,111-2707-B,127-2758-B,128-0-B
armstoel	14-1641-B
aroma	14-2184-B,70-934-B,70-1008-B,148-1271-B,148-1396-B
aromatisch	14-2207-B
arrangeren	14-2421-B
arrest	14-2774-B,50-3168-B
arrestatie	14-2788-B,50-3185-B
arresteren	14-2806-B
arrogant	14-3001-B,14-3138-B,16-370-B,130-2442-B,168-1371-B
arrondissement	34-154-B,54-1413-B
arrowroot	14-3225-B
arsenaal	14-1839-B,14-1952-B,14-3284-B
arsenicum	15-0-B
arterie	15-83-B
arteriosclerose	15-50-B
artesisch	15-114-B
articuleren	15-481-B
artiest	15-755-B,15-788-B
artikel	15-280-B,34-2828-B,37-2396-B,94-223-B,100-100-B,119-2893-B,150-923-B
artillerie	15-671-B
artillerist	15-710-B,80-2851-B
artisjok	15-261-B
artistiek	15-804-B,15-860-B
arts	54-3251-B,124-1524-B
artsenij	56-1663-B,105-1669-B
as	13-3176-B,15-1324-B,15-1376-B,18-936-B,18-954-B,33-2877-B,33-2887-B,152-1726-B
asbak	15-1385-B
asbest	15-1056-B
asceet	15-1275-B
asfalt	15-1829-B,22-2271-B,171-1281-B
asiel	16-1395-B,139-2131-B,147-2673-B
asla	15-1399-B
asociaal	12-2140-B,15-1583-B,182-440-B
asperge	15-1610-B
aspirant	15-1866-B,29-878-B
aspirine	15-1971-B
assignatie	168-761-B
assimileren	15-3037-B
assistent	9-1710-B,9-1844-B,15-3183-B,83-2591-B
assistentie	9-1724-B,15-3105-B,83-2434-B
assisteren	2-1551-B,9-1740-B,15-3060-B,83-2451-B
associatie	16-77-B
assonantie	16-212-B
assortiment	16-233-B
assuradeur	16-667-B,92-1630-B,181-350-B
assurantie	16-463-B,92-1530-B
assureren	16-526-B,92-1573-B
aster	16-706-B
asterisk	16-718-B
astigmatisme	16-853-B
astma	16-777-B,188-2049-B
astmatisch	16-811-B,188-2084-B
astrakan	16-1060-B
astrologie	16-1146-B
astroloog	16-1097-B
astronomie	16-1292-B
astronomisch	16-1242-B,16-1266-B
astronoom	16-1195-B
aswenteling	145-1699-B
asymmetrisch	16-1468-B,16-1492-B
atavisme	16-1641-B
atelier	16-1658-B,166-1464-B,191-199-B
atheisme	16-1674-B
atheist	16-1714-B
athene	1-513-B
atlas	16-1844-B,148-126-B
atleet	16-1769-B
atletiek	16-1803-B
atletisch	16-1784-B
atmosfeer	16-1874-B
atol	16-1950-B
atomair	16-1991-B
atoom	16-1980-B
attache	16-2451-B
attent	9-3161-B,16-3290-B,16-3350-B,40-1089-B,174-607-B
attentie	16-3226-B
attest	31-2382-B,173-318-B
attribuut	17-364-B
aubergine	17-437-B
auctie	17-472-B
audientie	17-887-B
auditorium	17-867-B,17-1146-B
augustus	17-1392-B
aula	17-1108-B
aureool	17-1466-B,77-1432-B,77-1594-B,81-1184-B
aurora	46-2714-B
australie	1-527-B
australisch	1-548-B
auteur	17-1815-B,191-2230-B
authentiek	17-1678-B,76-842-B
auto	17-2091-B,17-2561-B,29-2677-B,102-1903-B,109-1215-B
autobaan	84-2089-B,109-1327-B
autobiografie	17-2112-B
autobus	17-2140-B,27-2529-B,116-0-B
autochtoon	111-722-B
autocraat	17-2262-B
autocratie	17-2218-B
autocratisch	17-2281-B,17-2305-B
autodidact	17-2331-B
automaat	17-2542-B,53-2288-B,102-1916-B
automatisch	17-2376-B,17-2443-B,17-2516-B,150-2724-B
automatiseren	17-2353-B
autonomie	17-2690-B,150-2880-B
autonoom	17-2577-B,17-2620-B
autoped	149-1023-B
autopsie	17-2757-B
autoriseren	17-1877-B,17-2026-B
autoriteit	17-1963-B,130-2172-B
autosnelweg	109-1345-B
autoweg	65-983-B,73-957-B,109-1366-B
averechts	93-2149-B,143-1719-B,143-1887-B
aviateur	9-2291-B,17-3628-B
aviatiek	8-82-B,17-3570-B
avond	62-2607-B,62-2778-B,112-1701-B
avondeten	52-394-B,168-1818-B
avondmaal	37-3142-B,168-1835-B
avondrood	8-2330-B
avondschemering	77-1095-B,180-473-B
avonturier	7-3007-B
avontuur	7-2924-B
axioma	18-903-B
aziaat	1-482-B
