waanvoorstelling	81-1084-B
wasem	163-1696-B,183-2392-B,183-2429-B
waskaars	171-1009-B
wasmachine	187-1324-B
wassen	5-349-B,15-1131-B,20-527-B,23-776-B,80-797-B,89-3066-B,97-2596-B,97-2705-B,99-1620-B,107-671-B,108-242-B,144-1904-B,187-1312-B,187-2504-B
wasvrouw	97-2611-B,187-1342-B,187-1363-B
wat	12-2576-B,15-1035-B,86-1387-B,137-1291-B,158-2602-B,158-2712-B,158-2941-B,173-875-B,188-1838-B,188-2522-B
water	187-2065-B
waterbouwkunde	87-726-B
wateren	182-2700-B
waterhoos	187-2215-B
waterjuffer	55-2019-B
waterkant	19-671-B,24-2051-B,58-210-B,154-14-B,154-44-B,187-2195-B
waterkering	51-3103-B,57-914-B,59-389-B,97-1687-B,188-943-B
waterketel	24-219-B,30-3120-B,95-2621-B
watermeloen	187-2152-B
waterpas	85-2689-B,99-440-B
waterplas	97-115-B,101-20-B,127-2458-B
waterschuw	87-796-B
watersnood	70-1916-B,93-1635-B
waterstof	87-752-B
waterval	66-936-B,187-2116-B
watervloed	70-1933-B,93-1657-B
waterweg	187-2236-B
waterzucht	56-1497-B
watt	187-2254-B
watten	186-1169-B
watteren	119-89-B,135-2560-B,186-1156-B
we	182-2794-B,187-2715-B
wedde	147-1382-B,164-1135-B,186-1417-B
wedden	22-53-B,186-1428-B
weddenschap	22-64-B,186-1441-B
weder	8-2160-B,8-2541-B,188-281-B
wederdoper	11-1847-B
wederkeer	143-1329-B
wederkerig	110-1744-B,110-1824-B,138-2099-B,138-2166-B
wederkerigheid	110-1780-B,138-2306-B
wederkomst	143-1346-B
wederom	8-2173-B,8-2553-B
wedervaren	64-2438-B
wedervergelden	143-2785-B
wederwaardigheid	7-2980-B,64-2460-B
wederwoord	12-1329-B,141-1626-B,142-2569-B
wederzijds	110-1762-B,138-2121-B,138-2190-B,180-1069-B
wedstrijd	38-805-B,41-269-B,104-1999-B
weduwe	140-1690-B,189-1669-B
weduwnaar	189-1682-B
wee	5-1749-B,119-347-B,190-1704-B
weefgetouw	101-1057-B
weefsel	35-2434-B,42-2378-S,65-2893-B,104-2145-B,173-531-B,173-597-B,175-1817-B,188-359-B,188-385-B,188-397-B
weegbree	126-728-B
weegschaal	18-2395-B,99-798-B,148-1954-B,148-2009-B
weeheid	53-817-B,111-1134-B
week	83-1769-B,158-736-B,161-2608-B,188-567-B
weekblad	188-609-B
weekdag	188-577-B
weekdier	108-1712-B
weekheid	105-2655-B,158-828-B,172-1628-B
weeklagen	97-310-B,125-2857-B,186-1771-B
weelde	102-1611-B
weelderig	102-1532-B,102-1552-B,168-812-B,168-832-B
weelderigheid	102-1625-B
weemoed	105-2425-B
weemoedig	105-2444-B,190-656-B
weer	8-2188-B,8-2567-B,48-760-B,48-1000-B,188-295-B,188-960-B
weergaas	51-712-B,51-1414-B
weergalm	57-2495-B,143-1552-B
weergaloos	122-871-B,181-3290-B,181-3615-B
weergeven	50-710-B,57-2509-B,141-51-B,141-2112-B,141-2720-B,143-1364-B
weerglans	139-1723-B,139-1817-B
weerhouden	50-3049-B,139-1982-B,142-3254-B,143-318-B,190-1189-B
weerkaatsen	107-1491-B,139-1595-B,143-1507-B
weerklank	57-2524-B,142-2017-B,142-2589-B
weerkunde	106-1774-B
weerlegging	39-2958-B,53-2726-B,138-1350-B,139-2419-B
weermacht	14-2142-B
weerom	18-1263-B
weersomstandigheden	188-308-B
weerspannig	41-2389-B,72-2864-B,93-1267-B,114-2808-B,138-1097-B,138-1371-B,139-1943-B,142-2988-B,166-1263-B,187-2688-B
weerspiegelen	107-1510-B,139-1615-B
weerspiegeling	139-1744-B
weerzin	2-2019-B,3-489-B,17-3521-B,53-833-B,86-446-B,111-1149-B,141-3024-B,141-3079-B
weerzinwekkend	111-1233-B,115-1613-B
wees	117-2111-B
wees zo goed	126-1979-B
weeshuis	117-2141-B
weesjongen	117-2123-B
weetgierig	9-735-B,45-2011-B,45-2121-B,91-2216-B,91-2266-B
weetgierigheid	45-1846-B
weg	18-508-B,78-110-B,105-690-B,115-1263-B,117-2792-B,121-782-B,121-871-B,140-2585-B,144-2450-B,145-2464-B,177-546-B,187-2622-B
wegdek	121-1831-B
wegdoen	140-3433-B,150-3163-B,184-871-B
wegen	18-2414-B,83-2073-B,148-1971-B,188-736-B
weggaan	49-2563-B,98-1647-B
weghalen	140-3448-B
weghouden	142-3274-B
wegjagen	64-1916-B
wegkruising	44-2461-B
weglaten	56-1468-B,58-3272-B,115-3139-B,118-2118-B
weglating	115-3082-B
weglatingsteken	13-0-B
weglokken	61-670-B,150-1675-B
weglopen	3-1837-B,59-78-B
wegmaken	11-1952-B,11-1996-B,11-2961-B,11-3003-B,56-1771-B
wegnemen	3-3107-B
wegneming	11-1567-B
wegrennen	3-1854-B
wegsmelten	105-2852-B,173-944-B
wegsnijden	11-1526-B
wegwerken	58-3368-B
wei	105-42-B,151-2567-B
weide	98-451-B,105-53-B,121-424-B
weidegrond	105-66-B
weiden	67-2570-B,79-1282-B,121-438-B
weids	78-2551-B,127-2424-B
weifelen	49-1845-B,66-1271-B,70-2525-B,84-1074-B,86-1364-B,121-1698-B,150-2239-B,153-1932-B,183-932-B,185-51-B,187-2413-B,190-1664-B
weigeren	47-2534-B,49-2517-B,52-1938-B,107-2762-B,139-2403-B,140-521-B
weigering	47-2443-B,49-2023-B,52-1897-B,52-3109-B,53-3366-B,139-2298-B
weiland	79-143-B,79-199-B,105-84-B,121-391-B,121-453-B
weinig	68-1396-B,100-1792-B,157-627-B
weit	188-1869-B
wekelijks	83-1783-B,188-625-B
wekken	14-2370-B,18-259-B,136-2190-B,145-2371-B,186-2277-B
wekker	9-2670-B,9-2683-B
wel	10-2854-B,31-2232-B,72-2584-B,89-3467-B,113-2658-B,131-1503-B,159-1312-B,161-1482-B,168-3159-B,174-533-B,188-1177-B
wel eens	62-3040-B
welaan	113-2666-B
welbehaaglijk	37-761-B
welbehagen	126-2277-B
welbekend	66-1760-B
welbewust	18-396-B,40-91-B
weldaad	21-2070-B,21-2318-B,24-1561-B
weldadig	21-2430-B,25-250-B,96-406-B
weldoener	21-2090-B
weldra	130-1362-B,154-524-B,159-161-B
weleer	9-1697-B,130-3237-B
welgemanierd	43-688-B,127-1763-B
welgemeend	188-1347-B
welgesteld	8-1897-B,188-1482-B
welgevallen	126-2297-B
welgezind	7-2839-B,67-1705-B
welhaast	10-1915-B,111-1725-B,159-173-B
welig	4-66-B,42-44-B,126-2544-B
weligheid	4-0-B
welk	188-1847-B,188-2532-B,189-798-B
welke	188-2543-B,189-807-B
welkomst	188-1059-B
welks	189-1268-B
wellevend	43-711-B,127-1783-B,182-2348-B
wellicht	104-2976-B,104-3020-B,122-2539-B,123-230-B,128-2039-B
wellust	98-1730-B,102-1256-B,186-542-B
wellustig	97-1608-B,98-1710-B,102-1332-B,102-1469-B,147-1195-B,151-682-B,186-477-B,186-519-B
welnu	113-2677-B,188-1186-B
welput	72-2597-B,159-1323-B,161-1493-B
welriekend	14-2243-B,72-3177-B,115-1083-B,115-1106-B
welslagen	167-1860-B
welsprekend	59-131-B,59-152-B,155-462-B
welstand	133-253-B,188-1219-B
welvaart	133-273-B,187-2819-B,188-1076-B
welvaren	133-181-B,188-1239-B
welvarendheid	133-293-B
welvoeglijk	37-437-B,47-3125-B,69-2741-B,132-2391-B
welwillendheid	21-2348-B,67-1251-B,67-1620-B,78-657-B
wemelen	3-726-B,169-2008-B,171-2558-B
wenden	179-2733-B,184-305-B,189-2733-B
wending	179-2745-B
wenen	2-521-B,45-519-B,188-695-B
wenk	20-2323-B,32-1235-B,84-2890-B,104-362-B,109-960-B,112-2488-B,154-2698-B,154-2830-B,167-3271-B,175-1508-B,176-0-B,190-168-B
wenkbrauw	26-2647-B,65-2718-B
wenken	20-2333-B
wennen	5-1587-B,81-352-B
wens	50-1539-B,187-380-B,189-2153-B,190-557-B
wensdroom	47-31-B,56-80-B
wenselijk	50-1420-B
wensen	50-1551-B,187-390-B,190-567-B
wentelen	143-2561-B,145-854-B,179-2758-B,186-2799-B,188-1592-B,188-1950-B
wenteling	145-1755-B
wereld	181-2488-B,191-236-B
wereldbol	77-1228-B
werelddeel	41-403-B,103-138-B
wereldruim	145-1227-B,159-1949-B
wereldstad	106-2154-B
wereldwijd	77-1140-B,191-303-B
wereldzee	115-705-B
werf	54-3237-B,153-2403-B
werk	6-493-B,27-2836-B,59-2105-B,94-2077-B,96-1999-B,96-2282-B,114-927-B,176-2894-B,190-2799-B,191-157-B,191-188-B
werkbank	21-1741-B,57-2042-B,190-2968-B
werkdadig	58-1367-B
werkdag	188-593-B,190-2987-B
werkelijk	6-1032-B,6-1251-B,58-1060-B,89-3478-B,129-832-B,137-2827-B,138-239-B
werkelijkheid	6-1069-B,137-2893-B
werken	6-167-B,68-468-B,74-620-B,96-2010-B,96-2294-B,116-1310-B,146-1955-B,190-2809-B
werkend	6-597-B,55-2301-S,58-1590-B,116-1444-B,191-33-B
werker	81-1769-B,96-2064-B,96-2326-B,116-1462-B,116-1537-B,190-3019-B,191-83-B
werkgever	59-1991-B
werking	6-178-B,6-505-B,6-810-B,8-2871-B,58-1002-B,58-1454-B
werkkracht	81-1781-B,96-2079-B,96-2342-B,116-1479-B,191-0-B,191-98-B
werkkring	49-2707-B,74-636-B,94-2086-B,115-1922-B,128-2201-B
werkman	81-1797-B,96-2098-B,96-2362-B,116-1500-B,191-18-B,191-117-B
werknemer	59-1972-B
werkplaats	153-2788-B,191-216-B
werkstaking	165-2937-B,186-2536-B
werktuig	8-2995-B,88-2627-B,92-1141-B,105-700-B,176-708-B,183-125-B
werktuigkunde	105-1400-B
werktuigkundige	105-1258-B,105-1333-B,105-1445-B
werktuiglijk	17-2398-B,17-2467-B,105-1283-B,105-1307-B
werkwoord	184-1435-B
werkzaam	6-612-B,58-1080-B,58-1146-B,58-1277-B,58-1389-B,82-536-B,96-2173-B,116-1518-B,191-49-B
werpen	30-2001-B,46-2512-B,70-1557-B,83-1575-B,86-2993-B,97-2582-B,100-1701-B,125-1637-B,129-1862-B,174-1705-B,174-1867-B
wervel	30-2739-B,184-2142-B
wervelkolom	160-2150-B
wervelstorm	46-526-B,86-3022-B
werven	60-2370-B,139-270-B
werving	60-2398-B,60-3025-B,139-285-B
wesp	187-1382-B
west	188-1632-B
westen	115-79-B,188-1642-B
wet	6-190-B,97-2808-B,163-1065-B
wetboek	36-1059-B
weten	96-1639-B,96-1650-B,96-1774-B
wetens	48-3191-B
wetenschap	149-304-B,149-729-B
wetenschapper	4-319-B,149-216-B,149-748-B
wetering	165-1663-B
wetgever	97-2847-B,97-2865-B,98-2279-B
wettelijk	97-2816-B,98-2073-B,98-2117-B
wetten	58-225-B,153-288-B,188-2450-B
wettig	97-2833-B,98-2089-B,98-2360-B,99-1086-B
wettisch	144-1193-B
weven	188-373-B
wezel	164-1416-B,188-253-B
wezen	20-1158-B,21-852-B,32-1250-B,44-600-B,61-1032-B,62-951-B,64-940-B,76-2887-B,111-1014-B,167-714-B
wezenheid	6-1093-B,62-965-B,76-2898-B
wezenlijkheid	6-1113-B,138-0-B
wezenloos	12-2887-B
wezenloosheid	12-3046-B
whisky	189-383-B,189-398-B
whist	189-481-B
wicht	188-791-B
wie	188-2555-B,189-817-B,189-1076-S,189-1111-B
wiebelen	84-1092-B,186-1635-B,187-2428-B,189-1864-B,190-1680-B
wieden	188-555-B
wieg	43-2180-B
wiegelen	46-1731-B,145-291-B,170-115-B
wiegelied	102-486-B
wiegen	43-2192-B,102-456-B,145-305-B
wiel	188-1965-B
wielewaal	117-1799-B
wieling	179-2772-B
wiens	189-1280-B
wier	10-23-B,189-1292-B
wierook	73-280-B,89-1217-B
wig	33-1584-B,95-2697-B,188-502-B
wij	117-2687-B,182-2800-B,187-2721-B
wijd	11-1435-B,26-2124-B,65-1410-B,97-1456-B,101-1179-B,145-1266-B,184-132-B,189-1573-B,189-1608-B
wijd en zijd	63-0-B
wijdte	189-1653-B,189-1762-B
wijfje	68-105-B
wijk	54-1535-B,135-783-B
wijl	15-1042-B,20-2310-B,71-2085-B,92-252-B,108-1867-B,155-1162-B
wijn	185-1443-B,190-49-B
wijnberg	185-1453-B
wijngaard	185-1467-B,185-1536-B
wijnmaand	1-2854-B
wijnstok	78-3003-B,185-1482-B
wijs	9-2106-B,67-0-B,103-2855-B,105-2738-B,108-710-B,147-823-B,147-888-B,147-3045-B,179-2254-B,187-2630-B,190-442-B
wijsbegeerte	124-921-B
wijsgeer	124-879-B
wijsheid	147-3027-B,190-399-B
wijsje	14-1073-B
wijzer	111-2618-B
wijzerplaat	51-1520-B
wijziging	10-2550-B,11-637-B,32-529-B,108-1265-B
wikke	184-2757-B
wikkel	191-1348-B
wikkelen	145-868-B,189-2745-B,191-1299-B
wil	50-1565-B,186-269-B,187-402-B,189-2163-B,190-579-B
wild	68-406-B,68-514-B,68-561-B,68-2129-B,68-2154-B,75-221-B,136-2430-B,145-2072-B,148-916-B,189-1910-B,189-1959-B,189-2014-B
wildernis	50-905-B,187-1568-B,189-1920-B,189-1972-B
wildheid	68-614-B
wilg	189-2402-B
willekeur	13-2993-B
willekeurig	13-2969-B,13-3060-B,136-2666-B
willen	99-2376-B,187-411-B,189-2172-B,190-588-B
wilsbeschikking	173-103-B,189-2184-B
wilskracht	60-1223-B,186-282-B,189-2414-B
wimpel	70-316-B,122-1679-B,122-1694-B,162-2224-B,165-1679-B
wimper	65-2768-B,97-1663-B
wind	23-365-B,189-2759-B
winden	145-882-B,180-931-B,189-2769-B,191-1491-B
winderig	23-2034-B,26-323-B,190-34-B
windhond	79-2067-B
windsel	166-232-B,171-984-B
windstilte	29-25-B
wingerd	78-3022-B,185-1496-B
winkel	25-422-B,153-2804-B,164-2654-B
winkelbediende	35-710-B
winkelhaak	161-2528-B
winnen	60-2384-B,74-2402-B,76-1886-B,107-508-B,149-1222-B,189-2543-B
winst	21-2334-B,74-2414-B,93-3743-B,102-308-B,132-133-B,132-185-B,190-192-B
winter	190-207-B
winterachtig	190-221-B
winterkoninkje	191-1600-B
wintermaand	1-1383-B
wip	92-265-B,108-1879-B
wis	27-1372-B,27-1449-B,31-2105-B,36-111-B,153-552-B,168-3098-B
wiskunde	104-2281-B
wiskundig	104-2209-B
wiskundige	104-2232-B
wispelturig	89-2667-B,110-1405-B,180-2497-B,182-632-B
wissel	170-442-B
wisselen	19-445-B,32-546-B,63-2354-B,92-3107-B,153-1877-B,169-1952-B,170-533-B
wisseling	10-2571-B,32-562-B,41-3218-B,177-2451-B,183-2699-B
wissen	190-293-B
wissewasje	178-1990-B
wit	9-2016-B,23-110-B,77-2590-B,134-1493-B,171-1256-B,189-646-B
wit maken	189-670-B
witkiel	128-869-B
witten	22-2943-B,189-687-B,189-701-B
wodka	186-92-B
woede	11-3117-B,74-1879-B,120-3313-B,136-1507-B,191-1391-B
woedend	74-1248-B,74-1331-B,93-3029-B,100-2161-B,136-473-B,136-511-B,136-1530-B,189-1935-B
woekerrente	183-87-B
woelen	51-2764-B,61-1640-B,80-991-B
woelig	33-2136-B,142-3045-B
woensdag	2-546-B
woerd	55-2139-B
woest	23-569-B,50-922-B,50-1728-B,68-529-B,68-578-B,68-2141-B,68-2168-B,73-440-B,73-454-B,74-1264-B,100-2175-B,124-1438-B,136-487-B,136-527-B,136-2443-B,144-1763-B,145-2083-B,148-928-B,171-2320-B,179-514-B,179-2121-B,182-217-B,182-1991-B,187-1584-B,189-1948-B
woestenij	50-935-B,187-1596-B,189-1993-B
woestheid	68-2183-B,148-954-B,189-2026-B
woestijn	50-952-B,187-1612-B
wol	190-2291-B
wolf	190-1808-B
wolfraam	179-2264-B,190-1839-B
wolk	35-2648-B
wollen	190-2300-B,190-2312-B,190-2326-B
wond	87-205-B,91-1424-B,191-1113-B
wonden	87-215-B,91-1294-B,191-1124-B
wonder	104-942-B,107-1299-B,128-772-B,131-2788-B,190-1977-B
wonderbaar	104-956-B,104-978-B,104-1002-B,107-1314-B,107-1336-B,131-2766-B,190-2033-B,190-2075-B
wonderdokter	32-1905-B,134-2700-B
wonderlijk	115-929-B,122-249-B,135-1193-B,165-1082-B,190-2054-B,190-2098-B
wondheelkunde	169-0-B
wondroos	62-310-B
wondteken	148-2299-B
wonen	57-790-B,91-492-B,95-2295-B,100-1899-B,142-1078-B,163-1228-B
woning	2-3247-B,4-2399-B,57-888-B,81-278-B,85-1316-B,125-2472-B,142-1168-B,172-1728-B
woonplaats	2-3260-B,55-519-B,81-296-B,142-1185-B
woord	172-2245-B,190-2412-B
woordelijk	100-1328-B,184-1468-B,184-1507-B,184-1527-B,190-2423-B
woordenboek	51-2013-B,99-524-B
woordspeling	134-127-B,190-2468-B
worden	14-1221-B,20-2434-B,23-2383-S,26-2674-S,66-950-B,76-1897-B,77-2453-B,80-809-B,81-2928-B,105-3293-S,119-1118-S,139-0-S,179-2785-B,186-2258-S,187-2515-B
wordingsgeschiedenis	76-317-B
worm	57-1824-B,191-348-B
worp	30-2013-B,70-1570-B,100-1715-B,125-1650-B,154-595-B,174-1718-B,176-1889-B
worst	148-843-B
worstelen	166-1072-B,191-1799-B
wortel	30-1063-B,136-1105-B,145-1313-B
wortelteken	136-1120-B
woud	72-148-B,175-565-B,190-2280-B
woudduif	124-2892-B
wraak	143-374-B,143-948-B,143-1435-B,184-946-B
wraak nemen	17-3177-B
wrak	48-59-B,50-232-B,51-3250-B,97-1199-B,136-2559-B,143-3479-B,146-1089-B,182-485-B,191-1589-B
wraken	138-1324-B
wrat	184-1904-B,187-1201-B
wreed	28-328-B,44-3045-B,68-545-B,68-596-B,148-941-B
wreedaard	19-1269-B
wreedaardig	44-3057-B
wreedheid	45-0-B,148-973-B
wreken	17-3196-B,143-1449-B
wrevelig	52-2967-B,53-2622-B,53-3133-B
wriemelen	3-741-B,94-184-B,169-2022-B
wrijving	73-1522-B
wrikken	9-394-B,152-2018-B,153-2605-B
wringen	180-944-B,191-1689-B,191-2023-B
wringing	176-1696-B
wroeging	41-1889-B,141-1162-B
wrongel	45-1728-B,95-1357-B
wuft	73-2219-B,73-2278-B
wurgen	33-1839-B,165-1223-B,174-1466-B
wurm	191-358-B
xylofoon	191-2453-B
xylografie	191-2431-B
yam	191-2484-B
yamswortel	191-2492-B
yoga	192-197-B
zaad	76-1314-B,150-1954-B,150-3257-B,160-1501-B
zaadhuisje	29-2243-B
zaadkiem	76-1324-B
