fauteuil	14-1659-B
galon	25-1367-B,74-2949-B,96-2441-B
galop	74-2963-B,75-0-B
galvanisch	75-30-B
galvanisme	75-50-B
galvanometer	75-71-B
gammel	47-3368-B,51-3163-B,97-1149-B,136-2541-B,143-3426-B
gang	10-1110-B,42-1406-B,43-396-B,45-2324-B,56-528-B,62-410-B,74-2464-B,74-2822-B,81-980-B,81-1171-B,100-2651-B,118-2831-B,120-3017-B,120-3115-B,172-1852-B,179-2324-B,186-2329-B,187-2556-B
gangbaar	120-2969-B,183-1521-B
gangreen	75-448-B
gans	10-703-B,61-747-B,78-694-B,118-1502-B,189-840-B
gapen	75-723-B,191-2618-B
gaping	25-2206-B,43-1945-B,44-1051-B,75-672-B,84-1275-B,183-637-B
gappen	68-2651-B,85-2206-B,112-2203-B,124-3241-B,125-612-B,134-1289-B,157-2036-B,163-1576-B,170-186-B
garage	75-747-B
garanderen	80-1339-B
garant	80-1360-B,80-1471-B,86-875-B
garantie	80-1377-B,80-1488-B,187-1088-B,187-1136-B
gard	145-353-B,170-292-B,187-10-B
garde	80-1662-B
garderobe	35-1466-B,187-591-B
garen	42-2351-B,174-825-B,191-2584-B
garf	153-528-B
garnaal	129-1283-B,154-1482-B
garneren	75-1327-B,178-2243-B
garnituur	151-3220-B
garnizoen	75-1553-B
garstig	136-2575-B
gas	70-2681-B,75-1625-B
gashouder	75-1688-B
gast	80-1968-B,93-2700-B,185-2787-B
gastheer	86-788-B
gasthuis	86-646-B,86-706-B,90-3337-B
gastronomie	75-1753-B
gastronoom	75-1708-B
gastvrij	86-663-B
gastvrijheid	86-763-B
gastvrouw	86-952-B
gat	12-3075-B,14-3265-B,18-1460-B,31-482-B,31-674-B,75-683-B,85-881-B,116-1117-B,122-3003-B,128-3201-B,146-1608-B,158-601-B
gauw	67-24-B,135-1591-B,135-1790-B,137-211-B,159-106-B,160-1199-B,169-2993-B,169-3079-B
gave	13-2846-B,25-269-B,60-670-B,65-3409-B,76-2217-B,170-3050-B
gavotte	75-2349-B
gazel	75-2475-B
gazon	97-2895-B
ge	174-405-B,191-2653-B,192-299-B
geaardheid	32-1049-B,111-953-B,123-2476-B
geacht	47-709-B
geadopteerd	7-1442-B,7-1518-B
geadresseerde	6-2287-B,40-1179-B
gebaar	76-1433-B,76-1497-B,109-930-B
gebaard	20-1642-B
gebabbel	78-971-B,175-2047-B
gebak	121-378-B
gebarenkunst	119-2084-B
gebarenspel	76-1454-B
gebed	129-1343-B
gebeente	155-2600-B
gebeurde	62-2833-B
gebeuren	20-2362-B,55-712-B,62-2848-B,80-684-B,81-2772-B,81-2820-B,114-3372-B,115-484-B,116-1989-B
gebeurtenis	31-3382-B,62-2863-B,81-2942-B,89-1398-B,114-3390-B,115-549-B,115-609-B,116-2010-B
gebied	14-498-B,18-2617-B,34-223-B,54-1470-B,55-296-B,55-556-B,68-1998-B,133-1425-B,134-1889-B,136-2707-B,138-256-B,139-2934-B,149-1039-B,160-1580-B,169-2285-B,172-2629-B,172-2861-B
gebieder	24-2383-B,33-752-B,98-739-B,146-1315-B
gebit	22-2062-B
gebochelde	86-2641-B,86-2746-B
gebod	22-865-B,37-1173-B,37-1465-B,117-525-B
geboefte	136-353-B,144-357-B
gebogen	21-2446-B,44-2041-B,45-2882-B
gebonden	49-2320-B,173-2385-B
geboorte	22-1808-B,111-821-B
geboortedag	22-1823-B
geboren	76-2295-B,170-3093-B
gebouw	27-725-B,40-2805-B,58-368-B,61-3436-B,125-2254-B
gebraad	144-2715-B
gebrek	3-1923-B,47-808-B,48-661-B,48-1219-B,50-2502-B,96-2480-B,111-2524-B,121-1596-B,122-1858-B,129-341-B,131-1166-B,148-2396-B,154-221-B,154-332-B,185-181-B,187-296-B
gebrekkig	44-1544-B,90-3292-B,93-1771-B,97-164-B
gebruik	13-1305-B,40-2910-B,41-2757-B,45-3047-B,59-2086-B,81-170-B,129-933-B,182-2849-B,182-2959-B
gebruikelijk	5-1603-B,45-3104-B,183-55-B,190-2172-B
gebruiken	13-1383-B,49-3203-B,56-767-B,59-1893-B,127-463-B,170-2807-B,182-2971-B
gebruiker	40-3150-B,182-3193-B
geciviliseerd	34-1413-B
gedaante	27-556-B,68-2471-B,72-712-B,152-2448-B
gedaanteverandering	106-1515-B,177-2270-B
gedaanteverwisseling	106-1549-B
gedachte	38-3450-B,87-1507-B,107-225-B,116-1667-B,139-1678-B,151-961-B,174-544-B
gedachteloos	174-648-B
gedachtenis	95-2388-B,105-2986-B,105-3139-B,138-2978-B,140-2693-B,159-1534-B
gedeelte	120-1276-B,124-2535-B,150-986-B,152-2615-B
gedegen	69-1823-B,158-1870-B
gedegenereerd	48-2361-B
gedenkboek	9-2796-B
gedenkdag	12-250-B
gedenken	37-1483-B,138-1396-B,140-2614-B
gedenkschrift	95-2409-B,105-3006-B,159-1555-B
gedenkteken	95-2432-B,105-3028-B,105-3101-B,108-2797-B,159-1578-B
gedetailleerd	50-2867-B
gedetineerde	131-985-B
gedicht	127-687-B
gedienstigheid	67-1153-B,67-1486-B,114-1726-B
geding	6-276-B,97-2943-B
gediplomeerd	78-1987-B
gedoe	6-760-B
gedogen	10-1337-B,123-1282-B
gedrag	20-1693-B,21-540-B,21-589-B,30-881-B,39-1337-B,49-1143-B,49-1176-B,49-3257-B
gedrocht	108-2595-B
gedroom	143-1685-B
geducht	60-2662-B,65-2506-B,162-1442-B,166-601-B,166-744-B
geduld	60-737-B,71-2094-B,121-883-B
geduldig	121-921-B,121-969-B
gedurende	57-418-B,188-2195-B,188-2589-B,188-2642-B
gedurfd	17-570-B,24-291-B,46-2068-B,93-1308-B,144-2073-B
gedurfdheid	17-733-B,24-448-B,46-2083-B
gedurig	73-1146-B,115-2430-B
gedwee	11-578-B,114-1080-B,171-273-B
gedweeheid	103-1781-B
geel	191-2417-B,191-2801-B
geelachtig	191-2813-B,191-2834-B
geelkoper	25-1869-B
geen	12-2556-B,112-246-B,112-2161-B,112-2440-B,113-46-B
geest	62-753-B,76-437-B,76-1978-B,92-2009-B,106-2188-B,107-239-B,124-463-B,133-2401-B,159-914-B,160-2225-B,161-374-B,190-689-B
geestdrift	61-524-B,116-846-B,184-2297-B
geestdriftig	61-596-B,77-1933-B
geestelijk	92-2064-B,106-160-B,106-214-B,160-2353-B
geestelijke	33-2726-B,35-520-B,35-601-B,54-2593-B,57-2409-B,121-262-B,130-3576-B,143-1645-B
geestig	86-2528-B,190-1484-B,190-1535-B
geestigheid	135-2715-B,190-1415-B,190-1500-B
geestrijk	9-3000-B
geestvervoering	57-2993-B,63-1037-B
geeuw	191-2629-B
geeuwen	75-734-B,191-2640-B
gefingeerd	68-1730-B,68-1793-B
gefluit	155-1487-B
geforceerd	165-705-B
gefortuneerd	8-1856-B,143-3246-B,187-2835-B,188-1369-B
gegoed	188-1445-B
gegons	86-1957-B
gegrond	179-540-B
gehaast	82-1608-B,82-1624-B,86-3044-B,86-3060-B
gehalte	183-1858-B,191-811-B
gehecht	8-986-B,16-2298-B,51-849-B
gehechtheid	6-2640-B,16-2337-B,51-910-B
geheel	10-712-B,38-1424-B,40-3229-B,61-759-B,61-879-B,61-998-B,74-200-B,118-1515-B,135-2865-B,162-2623-B,174-1600-B,176-1914-B,176-1971-B,189-851-B,189-988-B
geheelonthouder	3-2702-B,171-2599-B,171-2679-B
geheelonthouding	3-2893-B,171-2650-B
geheiligd	85-1118-B,147-20-B
geheim	13-3262-B,34-1896-B,34-1963-B,39-2045-B,43-1391-B,45-589-B,45-644-B,85-931-B,110-2089-B,115-113-B,131-1109-B,131-1299-B,135-2111-B,150-690-B,180-3048-B
geheimenis	110-2104-B
geheimschrift	36-1040-B
geheimzinnig	12-3290-B,60-1898-B,110-1994-B,150-872-B
gehemelte	119-1059-B
geheugen	105-3158-B,138-3003-B,140-2717-B
gehoor	17-907-B,17-1073-B,17-1166-B,57-1254-B,83-777-B
gehoorzaal	17-1124-B
gehoorzaam	114-1096-B,114-1178-B
gehoorzamen	114-1291-B
gehucht	81-1459-B
gehuicheld	87-1132-B
gehuwd	104-684-B
geil	85-2812-B,98-1695-B,136-2685-B,136-2823-B,147-1180-B
geilheid	102-1178-B
geit	77-2608-B,110-2763-B,153-491-B
geitje	95-2795-B
gejaagd	68-1946-B
gek	20-849-B,24-943-B,43-2133-B,43-2950-B,44-68-B,46-947-B,71-1303-B,71-1478-B,73-408-B,91-2342-B,101-1073-B,102-821-B,102-2084-B,102-2225-B,114-746-B,115-872-B,115-944-B,122-183-B,129-53-B,135-1144-B,144-226-B,165-986-B,186-1114-B,189-1889-B
gekeuvel	33-1521-B
gekheid	43-2961-B,91-2421-B,102-753-B,102-2272-B,113-165-B
gekletter	126-847-B
gekochte	134-854-B
gekozen	33-2284-B,58-2512-B
gekscheren	19-896-B,94-1549-B,94-2631-B
gekunsteld	8-763-B,15-604-B
gelaat	42-2780-B,65-3107-B,185-2410-B
gelaatstrek	67-2316-B,177-1387-B
gelaatstrekken	124-1654-B
gelaatsuitdrukking	42-2799-B,101-838-B,106-2688-B
gelach	97-2386-B,97-2483-B
gelag	19-863-B,67-2212-B
gelasten	37-1187-B,60-1986-B,117-537-B,171-2979-B
gelatenheid	142-1457-B
gelatine	75-2631-B,75-2648-B
gelauwerde	97-2630-B
geld	30-1707-B,108-2089-B,122-1105-B
geldboete	69-653-B,110-102-B
geldbuidel	134-1651-B
geldelijk	69-401-B,69-444-B
gelden	13-1399-B,38-3732-B,42-2671-B,114-3069-B,162-1804-B
geldend	183-1536-B
geldig	183-1550-B
geldkist	175-423-B
geldstuk	36-1521-B
geleden	97-2164-S,138-1825-S
geleding	15-526-B,94-2446-B,96-1494-B,112-2497-B,150-1003-B,162-435-B
geleerd	45-1361-B,58-647-B,62-180-B,98-1240-B
geleerde	134-460-B,149-145-B
geleerdheid	62-196-B,98-1288-B,149-256-B
gelegenheid	32-0-B,62-2881-B,114-3411-B,115-571-B,116-2034-B
geleide	62-535-B
geleiden	39-1352-B,52-915-B,80-2142-B,82-2759-B,98-556-B,125-334-B
geleider	80-2157-B,98-755-B
gelid	68-2711-B,94-2461-B,100-145-B,136-2833-B,145-2565-B,179-2584-B
geliefde	21-1411-B,96-2917-B,101-2451-B,108-35-B,169-2611-B
gelieve	126-1949-B
gelijk	10-349-B,70-766-B,71-25-B,99-2281-B,155-515-B,155-653-B,157-1429-B
gelijkelijk	10-362-B,61-2754-B
gelijken	142-819-B
gelijkend	10-380-B,99-2293-B,155-530-B
gelijkenis	10-973-B,99-2453-B,142-771-B,155-568-B,155-670-B
gelijkheid	61-2669-B,119-2564-B,120-601-B,147-2369-B,155-590-B
gelijkmatig	62-2675-B,140-0-B,163-1426-B
gelijkwaardig	61-3113-B,171-845-B
geloof	21-976-B,39-1989-B,44-627-B,44-706-B,66-563-B,123-2931-B,140-1867-B,179-960-B
geloofwaardig	44-643-B,126-1351-B
geloven	4-3584-B,21-1009-B,28-1935-B,44-720-B,48-302-B,66-2157-B,80-1865-B,116-1605-B,138-2567-B,173-2817-B,179-973-B
gelovig	66-605-B,140-1920-B
gelui	96-1157-B,121-2874-B,144-1552-B
geluid	113-1030-B,159-985-B,171-409-B
geluidloos	112-2627-B,112-2703-B,159-1155-B
geluidsleer	5-2701-B
geluidssterkte	186-352-B
geluk	23-1075-B,32-19-B,67-2859-B,72-1698-B,81-2999-B,102-173-B,106-634-B,133-215-B
gelukkig	67-2839-B,72-1642-B,72-1661-B,81-2982-B,81-3026-B,102-229-B,102-246-B,133-318-B,133-1403-B
gelukwensen	39-3142-B
gemaaktheid	8-720-B
gemaal	40-1698-B,87-290-B,161-947-B
gemak	37-521-B,41-2430-B,57-1854-B
gemakkelijk	37-669-B,37-844-B,41-2507-B,57-2057-B,57-2269-B,81-2570-B,137-2504-B,158-684-B
gemalin	40-1713-B,189-1830-B
gematigd	106-2977-B,108-837-B,108-923-B,108-1138-B,138-669-B,172-297-B
gember	76-2529-B
gemeen	19-2668-B,19-2796-B,20-1801-B,37-2528-B,52-1598-B,72-2082-B,87-2285-B,101-2605-B,105-388-B,105-604-B,107-1968-B,111-216-B,137-654-B,145-1790-B,149-2778-B,149-2816-B,159-417-B,161-2200-B,185-294-B,185-1091-B,185-1165-B,185-1364-B,186-991-B,189-1382-B
gemeenschap	37-3181-B,37-3244-B,67-2975-B,158-374-B
gemeenschappelijk	37-2542-B
gemeenschapszin	158-1961-B
gemeente	37-3266-B,39-3192-B,110-614-B,120-569-B
gemeenzaam	66-1487-B
gemelijk	72-2845-B,108-2901-B,109-342-B,122-921-B,122-995-B,124-235-B,168-168-B,171-2498-B,173-441-B,173-472-B
gemiddeld	17-3312-B,105-400-B,105-1500-B
gemiddelde	17-3330-B,105-415-B
gemis	3-1938-B,154-237-B,154-351-B,187-308-B
gemoed	107-250-B,159-925-B
gemoedsbeweging	9-429-B,59-1507-B
gemoedsbezwaar	149-2449-B
gemompel	27-1640-B,110-541-B,110-784-B,110-1567-B,110-1675-B
gems	31-3289-B
gemsleer	31-3302-B
gemurmel	110-800-B
gen	75-2721-B
genaakbaar	4-1297-B,13-2241-B
genaamd	110-2655-B
genade	32-1829-B,35-455-B,67-1174-B,67-1508-B,78-1464-B,106-542-B,106-646-B,120-293-B
genadigheid	67-1187-B,67-1522-B
genealogie	75-2756-B
genealogisch	75-2730-B
geneesheer	54-3309-B,124-1556-B
geneeskunde	105-1687-B
geneeskundig	105-1553-B,105-1586-B,105-1646-B
geneesmiddel	105-1708-B
geneigd zijn	89-1930-B
geneigdheid	172-1172-B
generaal	75-2837-B
generalissimus	75-2888-B
generatie	75-3051-B
generatief	152-1313-B
genereus	76-74-B,76-227-B
geneve	1-1834-B
genezen	45-1770-B,83-350-B,139-21-B,140-2514-B,142-3085-B
geniaal	91-408-B
genie	76-450-B
geniesoldaat	60-1592-B,125-853-B
genietbaar	60-2071-B
genieten	60-2017-B,76-1626-B,82-2057-B,138-1610-B,140-2090-B,148-1283-B,148-1409-B
genieten van	60-2032-B,140-557-B
genieting	60-2170-B
genist	60-1614-B,125-874-B
genitief	76-365-B
genius	76-463-B
genoeg	60-2737-B,135-2878-B,137-1150-B,139-3494-S,167-2653-B,167-2764-B,181-1483-S
genoegdoening	148-235-B
genoegen	48-3462-B,60-2190-B,74-462-B,79-524-B,126-2211-B
genoeglijk	9-1112-B,60-2092-B,101-2192-B,112-1227-B,126-1711-B,126-1807-B,126-2129-B
genootschap	4-359-B,16-117-B,34-43-B,35-2852-B,37-3643-B,67-2998-B,158-394-B
genot	60-2209-B,182-2985-B
genre	76-491-B
gentiaan	76-527-B
geoefend	6-2405-B,64-2530-B,64-2744-B,129-1171-B,155-2943-B,156-16-B,156-118-B,177-1351-B
geograaf	76-997-B
geografie	76-1146-B
geografisch	76-1044-B,76-1096-B
geologie	76-1202-B
geoloog	76-1166-B
geometrie	76-1219-B
gepast	6-2511-B,13-1616-B,13-2314-B,13-2764-B,41-2530-B,56-2518-B,64-1667-B,69-2449-B,69-2589-B,69-2678-B,81-2588-B,116-1897-B,132-2267-B,150-180-B,150-2169-B,167-3510-B,168-21-B
geplas	126-863-B
gepraat	78-987-B
geprononceerd	165-2956-B
geraamte	29-2923-B,72-3231-B,73-80-B,153-1278-B,155-2618-B
gerecht	53-873-B,71-1049-B,178-1544-B
gerechtigheid	95-1740-B,144-905-B
gerechtsgebouw	178-1561-B
gerechtshof	21-1670-B,43-536-B,95-820-B,178-1585-B
gerechtszaak	98-0-B
gereed	137-2671-B
gereedschap	75-2532-B,88-2546-B,92-1096-B,176-663-B,183-105-B,183-142-B
geregeld	62-2692-B,117-840-B,140-20-B,140-101-B,163-1308-B,163-1445-B
gerei	70-139-B,75-2549-B,170-2253-B
gericht	95-715-B
gerief	37-535-B,41-2448-B
geriefelijk	37-693-B,41-2548-B,41-2610-B
gerieflijk	37-717-B
gering	52-235-B,68-1881-B,100-1727-B,105-431-B,107-921-B,111-44-B,124-156-B,148-2120-B,156-1683-B,156-1979-B,156-2055-B,157-556-B
germaan	2-410-B
geroep	28-2305-B,34-1625-B,34-1689-B,45-388-B,154-654-B
geronk	86-1968-B
gerst	19-1697-B
gerucht	45-399-B,66-1331-B,83-843-B,141-312-B,141-1719-B,141-3302-B,146-1421-B,146-1515-B,159-998-B,189-431-B
geruchtmakend	102-1009-B,151-372-B
geruim	40-1044-B,155-2418-B
geruisloos	112-2648-B
geruit	32-3145-B,33-290-B
gerundium	76-1416-B
gerust	28-2647-B,57-2286-B,121-2534-B,135-2124-B,142-2910-B,177-1635-B
gerustheid	29-82-B,38-2289-B
