12	1-11-B
absolute	3-2137-B,3-2155-B,3-2173-B,3-2187-B,3-2213-B,3-2229-B,3-2247-B,3-2265-B,3-2283-B,3-2302-B,3-2321-B
absolutely	3-2337-B,3-2357-B,3-2376-B,3-2395-B,3-2413-B,3-2433-B,3-2454-B,3-2475-B,3-2493-B
absolution	3-2510-B
absolutism	3-2531-B
absorb	3-2554-B,3-2571-B,3-2588-B,3-2604-B,3-2622-B
absorbent	3-2637-B
absorption	3-2659-B,3-2680-B
abstainer	3-2702-B
abstemious	3-2728-B,3-2748-B,3-2765-B,3-2784-B,3-2801-B
abstention	3-2820-B,3-2842-B
abstinence	3-2870-B,3-2893-B,3-2921-B,3-2943-B
abstinent	3-2971-B
abstract	3-2987-B,3-3005-B,3-3026-B,3-3047-B,3-3066-B,3-3087-B,3-3107-B
abstractedly	3-3125-B
abstraction	3-3150-B,3-3178-B,3-3201-B
abstruse	3-3228-B
absurd	3-3245-B,3-3259-B,3-3278-B,3-3291-B,3-3308-B,3-3324-B,3-3340-B,3-3355-B,3-3372-B
absurdity	3-3383-B,3-3405-B,3-3422-B,3-3443-B,3-3459-B
absurdly	3-3482-B,3-3498-B,3-3513-B,3-3532-B
abundance	3-3550-B,3-3576-B,3-3596-B,3-3614-B,3-3638-B,4-0-B
abundant	4-20-B,4-37-B,4-51-B,4-66-B
abundantly	4-81-B,4-104-B
abuse	4-121-B,4-139-B,4-155-B
abusive	4-169-B,4-188-B,4-205-B
abysm	4-222-B
abysmal	4-236-B,4-260-B
abyss	4-280-B,4-294-B
abyssinia	1-21-B,1-42-B
acacia	4-305-B
academic	4-319-B
academy	4-342-B,4-359-B,4-379-B
acanthus	4-398-B,4-416-B
accede	4-435-B,4-453-B,4-469-B
accelerate	4-487-B,4-510-B,4-533-B,4-555-B
acceleration	4-577-B,4-602-B
accent	4-627-B,4-641-B,4-660-B,4-679-B,4-698-B,4-714-B,4-728-B,4-743-B
accentuate	4-760-B,4-783-B,4-806-B
accentuation	4-829-B,4-851-B
accept	4-871-B,4-887-B,4-905-B,4-923-B,4-939-B
acceptable	4-956-B,4-979-B
acceptably	4-1003-B
acceptance	4-1026-B,4-1047-B,4-1070-B,4-1089-B,4-1110-B,4-1128-B
accepted	4-1149-B
access	4-1169-B,4-1183-B,4-1201-B,4-1215-B,4-1230-B,4-1247-B,4-1262-B
accessible	4-1275-B,4-1297-B,4-1319-B
accession	4-1343-B,4-1364-B
accessories	4-1385-B,4-1409-B
accessory	4-1432-B,4-1453-B,4-1471-B
accident	4-1492-B,4-1510-B,4-1527-B,4-1544-B,4-1560-B
accidental	4-1583-B,4-1606-B
accidentally	4-1627-B
acclaim	4-1650-B,4-1669-B,4-1692-B,4-1708-B,4-1721-B,4-1741-B,4-1760-B
acclamation	4-1780-B,4-1803-B,4-1823-B
acclimate	4-1847-B
acclimation	4-1872-B
acclimatization	4-1900-B
acclimatize	4-1932-B
acclivity	4-1959-B,4-1978-B
accommodate	4-1996-B,4-2018-B,4-2043-B
accommodating	4-2066-B,4-2088-B,4-2113-B,4-2139-B,4-2167-B,4-2190-B
accommodation	4-2214-B,4-2237-B,4-2259-B,4-2282-B,4-2303-B,4-2328-B,4-2349-B,4-2373-B,4-2399-B
accompaniment	4-2420-B,4-2449-B
accompanist	4-2475-B
accompany	4-2498-B,4-2522-B,4-2543-B
accompanying	4-2565-B
accomplice	4-2589-B,4-2611-B,4-2632-B
accomplish	4-2657-B,4-2676-B,4-2696-B,4-2723-B,4-2745-B,4-2764-B,4-2783-B,4-2802-B,4-2821-B,4-2842-B,4-2864-B,4-2885-B
accomplished	4-2907-B
accomplishment	4-2929-B,4-2954-B,4-2978-B,4-3004-B,4-3030-B,4-3058-B
accord	4-3085-B,4-3101-B,4-3116-B,4-3136-B,4-3159-B,4-3176-B,4-3195-B,4-3214-B
accordance	4-3230-B,4-3249-B,4-3273-B
according	4-3300-B
accordion	4-3318-B,4-3338-B
accost	4-3362-B,4-3380-B,4-3398-B
accoucheur	4-3416-B
accoucheuse	4-3441-B
account	4-3467-B,4-3482-B,4-3498-B,4-3519-B,4-3533-B,4-3552-B,4-3568-B,4-3584-B,4-3600-B,4-3619-B,4-3638-B,4-3657-B,4-3673-B,4-3686-B,4-3702-B,4-3716-B,4-3732-B,4-3749-B,4-3768-B,4-3788-B,4-3805-B,4-3825-B,4-3844-B,4-3859-B,4-3878-B,4-3894-B,4-3915-B
accountability	4-3930-B
accountable	4-3966-B,4-3992-B,4-4017-B
accountancy	5-0-B,5-24-B
accountant	5-48-B
accounting	5-70-B,5-93-B
accoutre	5-116-B
accretion	5-135-B,5-154-B,5-171-B,5-190-B,5-206-B,5-229-B
accrue	5-247-B,5-264-B,5-281-B,5-296-B,5-315-B,5-331-B,5-349-B
accumulate	5-363-B,5-385-B,5-410-B,5-429-B,5-451-B,5-471-B
accumulation	5-489-B,5-507-B,5-525-B,5-543-B,5-562-B,5-583-B,5-611-B,5-631-B,5-651-B,5-668-B
accumulator	5-687-B,5-704-B,5-728-B
accuracy	5-752-B,5-773-B,5-797-B,5-815-B,5-834-B
accurate	5-858-B,5-876-B,5-891-B,5-910-B,5-929-B,5-949-B,5-966-B,5-982-B,5-998-B,5-1014-B,5-1029-B
accurately	5-1049-B,5-1069-B,5-1090-B,5-1112-B
accusal	5-1129-B,5-1147-B,5-1169-B,5-1191-B
accusation	5-1215-B,5-1235-B,5-1256-B,5-1281-B,5-1306-B
accusative	5-1333-B,5-1355-B
accuse	5-1381-B,5-1398-B,5-1418-B
accused	5-1435-B,5-1456-B,5-1474-B,5-1495-B
accuser	5-1514-B,5-1532-B,5-1553-B
accustom	5-1568-B,5-1587-B
accustomed	5-1603-B,5-1627-B
ace	5-1645-B
acerbity	5-1653-B,5-1670-B
acetate	5-1688-B
acetone	5-1704-B
acetylene	5-1719-B
ache	5-1739-B,5-1749-B,5-1758-B,5-1768-B
achievable	5-1783-B,5-1803-B
achieve	5-1826-B,5-1842-B,5-1859-B,5-1883-B,5-1902-B,5-1918-B,5-1932-B,5-1948-B,5-1964-B,5-1980-B,5-1998-B,5-2017-B,5-2035-B,5-2053-B
achievement	5-2072-B
achromatic	5-2095-B,5-2119-B
acid	5-2136-B,5-2154-B,5-2166-B,5-2180-B
acidity	5-2190-B,5-2208-B
acidness	5-2225-B
acknowledge	5-2243-B,5-2268-B,5-2289-B,5-2314-B,5-2337-B,5-2358-B,5-2377-B,5-2398-B
acknowledgement	5-2417-B,5-2444-B,5-2470-B,5-2497-B,5-2523-B
acknowledgment	5-2545-B
acme	5-2570-B,5-2586-B,5-2598-B
acolyte	5-2611-B,5-2627-B
acorn	5-2649-B
acoustic	5-2661-B
acoustics	5-2681-B,5-2701-B,5-2723-B
acquaint	5-2743-B,5-2764-B,5-2783-B,5-2803-B,5-2822-B,5-2841-B,5-2859-B,5-2880-B
acquaintance	5-2901-B
acquainted	5-2925-B
acquiesce	5-2943-B
acquire	5-2964-B,5-2980-B,5-2999-B
acquired	5-3017-B
acquirement	5-3037-B
acquisition	5-3058-B,5-3079-B,5-3100-B,5-3123-B,5-3140-B,5-3158-B,5-3182-B
acquisitive	5-3205-B,5-3225-B,5-3244-B,5-3263-B,5-3282-B,5-3305-B
acquittal	5-3328-B,5-3347-B,5-3372-B
acquittance	5-3394-B
acre	5-3416-B
acreage	5-3426-B
acrid	5-3446-B,5-3459-B,5-3478-B,5-3488-B,5-3500-B,5-3513-B,5-3526-B
acrimonious	5-3541-B,5-3557-B
acrimony	5-3577-B
acrobat	5-3595-B,5-3612-B
acrobatic	5-3633-B
acrobatics	5-3655-B
acronym	5-3677-B
across	5-3694-B,5-3706-B,5-3718-B
act	5-3734-B,5-3747-B,5-3757-B,5-3768-B,6-0-B,6-9-B,6-18-B,6-31-B,6-45-B,6-55-B,6-68-B,6-82-B,6-93-B,6-108-B,6-123-B,6-137-B,6-151-B,6-167-B,6-178-B,6-190-B,6-198-B
acting	6-206-B,6-222-B,150-2724-S
action	6-234-B,6-251-B,6-264-B,6-276-B,6-290-B,6-305-B,6-322-B,6-334-B,6-350-B,6-367-B,6-381-B,6-401-B,6-413-B,6-428-B,6-443-B,6-459-B,6-474-B,6-493-B,6-505-B,6-520-B
activate	6-531-B
active	6-548-B,6-562-B,6-580-B,6-597-B,6-612-B
actively	6-628-B,6-644-B
activist	6-663-B
activity	6-681-B,6-701-B,6-724-B,6-743-B,6-760-B,6-775-B,6-793-B,6-810-B
actor	6-827-B,6-840-B,6-856-B,6-869-B
actress	6-888-B,6-904-B
actual	6-928-B,6-943-B,6-964-B,6-981-B,6-998-B,6-1012-B,6-1032-B
actuality	6-1049-B,6-1069-B,6-1093-B,6-1113-B
actually	6-1137-B,6-1156-B,6-1175-B,6-1195-B,6-1215-B,6-1233-B,6-1251-B
actuary	6-1270-B,6-1287-B
actuate	6-1313-B,6-1331-B,6-1349-B,6-1365-B
acupuncture	6-1383-B
acute	6-1407-B,6-1419-B,6-1429-B,6-1442-B,6-1454-B,6-1467-B,6-1483-B,6-1495-B,6-1508-B
ad	6-1520-B,6-1536-B,6-1551-B,6-1562-B
ad lib	6-1573-B
adage	6-1593-B,6-1611-B
adagio	6-1624-B
adamant	6-1638-B
adapt	6-1657-B,6-1673-B
adaptation	6-1688-B,6-1709-B
add	6-1732-B,6-1745-B,6-1758-B
addendum	6-1772-B,6-1790-B,6-1809-B
addiction	6-1826-B,6-1842-B,6-1857-B,6-1881-B
addition	6-1902-B,6-1922-B,6-1940-B,6-1957-B,6-1976-B,6-1993-B
additional	6-2013-B,6-2036-B,6-2053-B,6-2069-B,6-2094-B
additive	6-2112-B
addle	6-2132-B
addled	6-2147-B
address	6-2163-B,6-2182-B,6-2201-B,6-2215-B,6-2234-B,6-2250-B,6-2268-B
addressee	6-2287-B
adduce	6-2311-B
adept	6-2327-B,6-2343-B,6-2358-B,6-2374-B,6-2391-B,6-2405-B,6-2420-B,6-2439-B,6-2453-B
adeptness	6-2470-B
adequate	6-2493-B,6-2511-B,6-2527-B,6-2545-B
adequately	6-2564-B
adhere	6-2584-B,6-2598-B
adherence	6-2613-B,6-2640-B,6-2662-B
adherent	6-2678-B
adhesive	6-2697-B,6-2715-B
adieu	6-2735-B,6-2747-B
adipose	6-2761-B
adjacent	6-2773-B,6-2794-B,6-2814-B
adjective	6-2831-B,6-2851-B
adjoining	6-2883-B,6-2905-B,6-2926-B
adjourn	6-2944-B,6-2962-B,6-2981-B,6-2998-B
adjournment	6-3018-B,6-3040-B
adjudge	6-3060-B,6-3075-B,6-3093-B
adjudicate	6-3110-B,6-3131-B,6-3152-B
adjudication	6-3173-B,6-3195-B
adjudicator	6-3215-B
adjunct	6-3242-B,6-3261-B,6-3278-B,6-3294-B,6-3310-B
adjure	6-3329-B
adjust	6-3345-B,6-3362-B,6-3377-B
adjustment	7-0-B,7-21-B
adjutant	7-44-B,7-62-B
administer	7-89-B,7-114-B,7-133-B,7-153-B,7-175-B,7-196-B
administrate	7-217-B
administration	7-244-B,7-273-B,7-295-B,7-318-B,7-340-B,7-364-B,7-392-B,7-418-B,7-442-B,7-466-B
administrator	7-492-B,7-521-B,7-545-B
admirable	7-570-B
admiral	7-599-B,7-616-B
admiralty	7-635-B
admiration	7-658-B
admire	7-681-B
admirer	7-699-B,7-717-B,7-737-B
admiring	7-756-B
admission	7-777-B,7-797-B,7-819-B,7-840-B,7-861-B,7-878-B,7-898-B,7-916-B,7-934-B,7-954-B,7-971-B,7-989-B
admit	7-1009-B,7-1024-B,7-1042-B,7-1057-B,7-1072-B
admittance	7-1087-B,7-1109-B,7-1127-B,7-1146-B
admonish	7-1165-B,7-1183-B,7-1202-B,7-1217-B,7-1235-B
admonishment	7-1256-B
admonition	7-1279-B,7-1300-B,7-1322-B,7-1341-B,7-1362-B
adolescence	7-1386-B
adopt	7-1408-B
adopted	7-1423-B,7-1442-B
adoption	7-1462-B,7-1481-B
adoptive	7-1498-B,7-1518-B
adoration	7-1539-B,7-1560-B
adore	7-1579-B,7-1595-B,7-1610-B,7-1627-B
adorn	7-1641-B,7-1657-B,7-1672-B,7-1685-B,7-1698-B,7-1714-B,7-1731-B
adornment	7-1747-B,7-1767-B,7-1784-B,7-1802-B,7-1817-B,7-1835-B,7-1856-B
adroit	7-1877-B,7-1893-B,7-1909-B,7-1924-B,7-1936-B,7-1950-B,7-1962-B,7-1975-B,7-1991-B,7-2007-B,7-2018-B,7-2032-B,7-2047-B,7-2059-B
adroitly	7-2073-B,7-2091-B
adroitness	7-2107-B
adulate	7-2129-B
adulation	7-2144-B
adult	7-2163-B,7-2175-B,7-2187-B,7-2206-B,7-2219-B,7-2235-B,7-2251-B
adulterate	7-2268-B
adulterous	7-2289-B
adultery	7-2311-B,7-2330-B
adumbrate	7-2348-B,7-2370-B
advance	7-2389-B,7-2409-B,7-2428-B,7-2447-B,7-2466-B,7-2482-B,7-2500-B,7-2520-B,7-2540-B,7-2557-B
advancement	7-2575-B,7-2597-B,7-2621-B
advantage	7-2643-B,7-2658-B,7-2675-B,7-2689-B,7-2708-B
advantageous	7-2728-B,7-2750-B,7-2774-B,7-2795-B,7-2815-B,7-2839-B
advent	7-2862-B
adventitious	7-2876-B,7-2901-B
adventure	7-2924-B,7-2943-B,7-2962-B,7-2980-B
adventurer	7-3007-B
adverb	7-3029-B,7-3046-B
adverbial	7-3062-B
adversary	7-3086-B,7-3108-B,7-3131-B
adverse	7-3148-B
advert	7-3166-B
advertise	7-3181-B,7-3201-B,7-3223-B,7-3244-B,7-3261-B
advertisement	7-3283-B,7-3310-B,7-3336-B,7-3358-B
advertising	7-3380-B
advice	7-3400-B,7-3414-B,7-3434-B,7-3446-B
advisable	7-3464-B
advise	7-3483-B,7-3502-B,7-3518-B,7-3535-B,7-3554-B,7-3571-B
advisedly	7-3584-B
advocate	7-3606-B,7-3624-B,7-3647-B,7-3667-B
aeon	7-3687-B
aerial	7-3703-B,7-3718-B,7-3728-B,7-3742-B,7-3759-B
aerie	7-3776-B
aerodrome	7-3787-B,8-0-B,8-21-B
aerolite	8-41-B
aeronaut	8-63-B
aeronautics	8-82-B,8-103-B,8-126-B
aeroplane	8-149-B,8-172-B
aesthetic	8-192-B,8-212-B
aesthetics	8-238-B,8-259-B
afar	8-286-B,8-300-B,8-315-B
affability	8-324-B
affable	8-351-B,8-366-B,8-379-B,8-398-B,8-418-B
affably	8-431-B
affair	8-451-B,8-473-B,8-488-B,8-500-B,8-513-B,8-531-B
affect	8-543-B,8-558-B,8-573-B,8-590-B,8-604-B,8-621-B,8-636-B,8-661-B,8-678-B,8-691-B,8-705-B
affectation	8-720-B
affected	8-744-B,8-763-B,8-783-B,8-802-B,8-818-B,8-840-B
affecting	8-856-B,8-878-B,8-899-B
affection	8-917-B
affectionate	8-938-B,8-960-B,8-986-B,8-1007-B,8-1030-B,8-1061-B,8-1080-B
affectionately	8-1104-B
affiance	8-1130-B
affiliate	8-1149-B,8-1170-B,8-1186-B
affiliation	8-1204-B,8-1228-B,8-1246-B,8-1276-B,8-1296-B
affined	8-1321-B,8-1340-B
affinity	8-1356-B,8-1383-B,8-1405-B
affirm	8-1427-B,8-1441-B,8-1461-B,8-1477-B,8-1495-B,8-1510-B,8-1528-B
affirmation	8-1546-B,8-1568-B
affix	8-1592-B,8-1609-B,8-1627-B,8-1639-B
afflict	8-1656-B,8-1674-B,8-1692-B,8-1708-B,8-1724-B,8-1746-B
affliction	8-1765-B,8-1781-B,8-1798-B
affluence	8-1818-B,8-1838-B
affluent	8-1856-B,8-1878-B,8-1897-B
affront	8-1917-B,8-1933-B,8-1953-B,8-1971-B
afghan	1-62-B
afraid	8-1990-B,8-2005-B,8-2017-B,8-2032-B,8-2047-B,8-2062-B,8-2083-B,8-2096-B
afresh	8-2115-B,8-2129-B,8-2145-B,8-2160-B,8-2173-B,8-2188-B
africa	1-78-B
african	1-92-B
after	8-2200-B,8-2210-B,8-2223-B,8-2236-B,8-2248-B,8-2257-B,8-2268-B,8-2280-B,8-2291-B,8-2302-B,8-2316-B
afterglow	8-2330-B
afternoon	8-2350-B,8-2367-B
afterwards	8-2386-B,8-2406-B,8-2424-B,8-2439-B,8-2456-B,8-2477-B
again	8-2499-B,8-2512-B,8-2527-B,8-2541-B,8-2553-B,8-2567-B
against	8-2578-B,8-2593-B,8-2605-B,8-2619-B,8-2636-B,8-2654-B
agape	8-2669-B,8-2681-B
agate	8-2698-B
age	8-2710-B,8-2723-B,8-2736-B,8-2745-B,8-2758-B,8-2776-B
aged	8-2791-B,8-2804-B
agency	8-2813-B,8-2831-B,8-2845-B,8-2871-B
agenda	8-2886-B,8-2900-B,8-2915-B
agent	8-2933-B,8-2945-B,8-2958-B,8-2971-B,8-2995-B,8-3010-B,8-3029-B
agglomeration	8-3049-B,8-3076-B
agglutinate	8-3106-B,8-3131-B
aggrandize	8-3153-B
aggrandizement	8-3174-B
aggravate	8-3200-B,8-3218-B,8-3239-B
aggravation	8-3263-B
aggregate	8-3284-B,8-3304-B,8-3325-B
aggress	8-3342-B
aggression	8-3360-B,8-3378-B,8-3398-B,8-3419-B
aggressive	8-3436-B,8-3458-B,8-3479-B
aggressor	8-3499-B
aggrieve	8-3519-B,8-3538-B,8-3555-B
agile	9-0-B,9-15-B,9-26-B,9-38-B,9-50-B,9-65-B
agio	9-75-B,9-85-B
agitate	9-97-B,9-113-B,9-133-B,9-150-B,9-167-B,9-183-B,9-201-B,9-218-B,9-234-B,9-253-B,9-270-B,9-287-B,9-305-B,9-322-B,9-339-B,9-355-B,9-373-B,9-394-B
agitation	9-410-B,9-429-B,9-455-B,9-472-B,9-489-B,9-509-B,9-523-B,9-544-B,9-569-B,9-589-B
agitator	9-606-B,9-624-B,9-642-B,9-664-B,9-682-B
agog	9-703-B,9-717-B,9-735-B
agonize	9-751-B,9-770-B,9-786-B,9-803-B,9-823-B
agony	9-841-B,9-854-B,9-866-B,9-883-B,9-901-B,9-918-B,9-937-B
agrarian	9-954-B
agree	9-973-B,9-989-B,9-1006-B,9-1020-B,9-1039-B,9-1060-B,9-1075-B
agreeable	9-1092-B,9-1112-B,9-1133-B,9-1152-B
agreeably	9-1172-B
agreement	9-1192-B,9-1211-B,9-1229-B,9-1244-B,9-1265-B,9-1288-B,9-1314-B,9-1334-B,9-1356-B
agricultural	9-1378-B
agriculturalist	9-1401-B,9-1427-B,9-1448-B
agriculture	9-1475-B,9-1497-B,9-1519-B,9-1540-B
agriculturist	9-1566-B,9-1585-B
ahead	9-1610-B,9-1625-B,9-1638-B,9-1654-B,9-1668-B,9-1683-B,9-1697-B
aid	9-1710-B,9-1724-B,9-1740-B,9-1755-B,9-1765-B,9-1778-B,9-1789-B,9-1798-B,9-1807-B,9-1817-B,9-1829-B
aide	9-1844-B,9-1859-B
aim	9-1871-B,9-1885-B,9-1898-B,9-1912-B,9-1923-B,9-1932-B,9-1949-B,9-1961-B,9-1970-B,9-1981-B,9-1993-B,9-2005-B,9-2016-B
air	9-2024-B,9-2032-B,9-2042-B,9-2054-B,9-2066-B,9-2077-B,9-2092-B,9-2106-B
aircraft	9-2115-B,9-2132-B,9-2154-B
airdrome	9-2173-B,9-2193-B,9-2213-B
airfield	9-2232-B,9-2252-B,9-2272-B
airman	9-2291-B,9-2307-B,9-2325-B
airplane	9-2340-B,9-2362-B
airport	9-2381-B,9-2400-B,9-2419-B
airship	9-2437-B
airtight	9-2456-B,9-2476-B
aisle	9-2496-B
akin	9-2510-B,9-2526-B
alabaster	9-2539-B
alarm	9-2556-B,9-2568-B,9-2586-B,9-2601-B,9-2614-B,9-2633-B,9-2652-B,9-2670-B
alarmclock	9-2683-B
alarum	9-2701-B
alas	9-2714-B,9-2726-B
albanian	1-110-B,1-127-B
albeit	9-2738-B,9-2754-B
albino	9-2770-B
album	9-2784-B,9-2796-B
albumen	9-2813-B,9-2827-B,9-2845-B
albumin	9-2861-B
alchemy	9-2878-B
alcohol	9-2895-B
alcoholic	9-2911-B,9-2936-B,9-2958-B,9-2982-B,9-3000-B
alcoholism	9-3020-B,9-3043-B,9-3068-B
alcove	9-3090-B,9-3104-B
alder	9-3115-B,9-3125-B
ale	9-3140-B
alert	9-3149-B,9-3161-B,9-3174-B,9-3185-B,9-3196-B,9-3208-B,9-3223-B,9-3238-B,9-3248-B,9-3261-B,9-3272-B,10-0-B
alga	10-13-B,10-23-B,10-33-B
algae	10-46-B
algebra	10-60-B,10-76-B
algeria	1-145-B
algorithm	10-94-B
alias	10-114-B,10-128-B
alibi	10-145-B
alien	10-157-B,10-176-B,10-194-B,10-209-B,10-224-B
alienate	10-237-B
alight	10-258-B,10-272-B,10-292-B
alike	10-310-B,10-323-B,10-334-B,10-349-B,10-362-B,10-380-B,10-396-B
aliment	10-414-B,10-428-B
alimentation	10-444-B
alimony	10-465-B,10-485-B,10-503-B
alive	10-521-B,10-534-B,10-549-B
alkali	10-564-B,10-578-B
alkaline	10-594-B
all	10-613-B,10-620-B,10-629-B,10-642-B,10-652-B,10-667-B,10-680-B,10-690-B,10-703-B,10-712-B,10-723-B,10-732-B,10-745-B
all out	10-758-B
all powerful	10-770-B
allay	10-793-B
allegation	10-808-B
allege	10-828-B
allegiance	10-843-B
allegoric	10-860-B,10-882-B
allegorical	10-905-B,10-929-B
allegory	10-954-B,10-973-B,10-993-B
allergic	10-1013-B
allergy	10-1033-B
alleviate	10-1050-B
alleviation	10-1071-B
alley	10-1095-B,10-1110-B,10-1121-B,10-1132-B,10-1142-B
alliance	10-1154-B,10-1173-B,10-1198-B
allied	10-1215-B
alligator	10-1230-B
allocate	10-1250-B
allopathy	10-1268-B
allotment	10-1289-B,10-1307-B
allow	10-1322-B,10-1337-B,10-1351-B,10-1364-B,10-1376-B,10-1391-B,10-1406-B,10-1421-B,10-1436-B,10-1452-B
allowance	10-1470-B,10-1488-B,10-1505-B,10-1524-B,10-1542-B
alloy	10-1563-B,10-1577-B
allude	10-1592-B
allure	10-1609-B,10-1623-B,10-1640-B
alluring	10-1657-B
alluringly	10-1679-B
allusion	10-1703-B,10-1723-B
ally	10-1743-B,10-1759-B
almanac	10-1774-B
almightiness	10-1790-B
almighty	10-1811-B
