jagged	94-810-B
justly	95-1837-B
justness	95-1857-B
juvenile	95-1883-B,95-1900-B
k	114-898-S
kaffir	95-1914-B
kafir	95-1928-B
kale	95-1941-B
kaleidoscope	95-1951-B
keel	95-1977-B
keen	95-1987-B,95-1997-B,95-2015-B,95-2025-B
keep	95-2041-B,95-2055-B,95-2067-B,95-2080-B,95-2093-B,95-2110-B,95-2122-B,95-2134-B,95-2146-B,95-2159-B,95-2172-B,95-2187-B,95-2204-B,95-2220-B,95-2233-B,95-2248-B,95-2264-B,95-2279-B,95-2295-B
keeper	95-2306-B,95-2323-B
keeping	95-2338-B,95-2355-B
keepsake	95-2369-B,95-2388-B,95-2409-B,95-2432-B,95-2453-B,95-2474-B
kennel	95-2492-B,95-2508-B
kernel	95-2522-B,95-2538-B,95-2550-B,95-2564-B
kettle	95-2575-B,95-2588-B,95-2604-B,95-2621-B
key	95-2639-B,95-2657-B,95-2666-B,95-2678-B,95-2687-B,95-2697-B
keyboard	95-2705-B,95-2722-B
keypad	95-2743-B
kick	95-2762-B,95-2772-B,95-2783-B
kid	95-2795-B,95-2806-B
kidnapping	95-2815-B
kidney	95-2837-B
kill	95-2849-B,95-2860-B,95-2875-B,95-2890-B
killing	96-0-B
kiln	96-17-B,96-29-B
kilo	96-39-B,96-49-B
kilogram	96-63-B
kilometer	96-81-B
kilometre	96-101-B
kin	96-121-B,96-133-B
kind	96-146-B,96-156-B,96-166-B,96-176-B,96-186-B
kindhearted	96-197-B
kindle	96-214-B,96-230-B,96-247-B,96-262-B,96-280-B,96-297-B,96-315-B
kindliness	96-329-B,96-349-B
kindly	96-376-B,96-388-B,96-406-B
kindness	96-422-B,96-440-B,96-458-B,96-482-B
kindred	96-507-B,96-523-B,96-541-B
king	96-562-B,96-571-B,96-581-B,96-596-B,96-608-B,96-619-B
kingdom	96-630-B,96-649-B
kinglike	96-662-B
kingly	96-682-B
kinsfolk	96-700-B,96-717-B
kinship	96-736-B
kinsman	96-757-B
kiosk	96-778-B,96-790-B
kirk	96-806-B,96-820-B,96-830-B
kiss	96-846-B,96-855-B,96-867-B,96-877-B
kit	96-889-B
kitchen	96-900-B,96-915-B
kitten	96-939-B,96-953-B
kitty	96-966-B,96-976-B
klaxon	96-988-B
knack	96-1001-B,96-1018-B,96-1030-B,96-1047-B
knacker	96-1058-B
knapsack	96-1073-B,96-1090-B
knave	96-1106-B
knead	96-1119-B,96-1132-B
knee	96-1147-B
knell	96-1157-B
knickers	96-1169-B
knife	96-1189-B,96-1206-B
knight	96-1216-B
knit	96-1229-B,96-1241-B
knitting	96-1254-B
knob	96-1272-B,96-1284-B,96-1294-B,96-1307-B,96-1317-B,96-1327-B
knock	96-1338-B,96-1348-B,96-1359-B,96-1373-B,96-1385-B,96-1396-B,96-1410-B,96-1425-B,96-1437-B,96-1448-B,96-1460-B,96-1473-B,96-1483-B
knot	96-1494-B,96-1508-B,96-1521-B,96-1533-B,96-1544-B,96-1559-B,96-1571-B
knotty	96-1582-B
knout	96-1601-B
know	96-1613-B,96-1625-B,96-1639-B
knowing	96-1650-B
knowingly	96-1664-B
knowledge	96-1681-B,96-1702-B,96-1719-B,96-1735-B,96-1755-B,96-1774-B
knowledgeable	96-1790-B
known	96-1809-B,188-1284-S,188-1302-S
kobold	96-1822-B
kohlrabi	96-1838-B
koran	1-2470-B
krypton	96-1856-B
lab	96-1872-B
label	96-1889-B,96-1902-B,96-1914-B
labor	96-1930-B,96-1943-B,96-1958-B,96-1975-B,96-1988-B,96-1999-B,96-2010-B
laboratory	96-2023-B
laborer	96-2047-B,96-2064-B,96-2079-B,96-2098-B
laborious	96-2114-B,96-2135-B,96-2154-B,96-2173-B,96-2192-B
labour	96-2208-B,96-2222-B,96-2238-B,96-2256-B,96-2270-B,96-2282-B,96-2294-B
labourer	96-2308-B,96-2326-B,96-2342-B,96-2362-B
labyrinth	96-2379-B,96-2397-B
labyrinthine	96-2416-B
lace	96-2441-B,96-2452-B
laceration	96-2462-B
lack	96-2480-B
lacker	96-2492-B,96-2503-B,96-2517-B
lackey	96-2532-B,96-2551-B
laconic	96-2564-B
lacquer	96-2581-B,96-2593-B,96-2608-B,96-2624-B
lacquey	96-2642-B,96-2662-B
lacuna	96-2676-B
lad	96-2689-B,96-2703-B,96-2714-B
ladder	96-2724-B,96-2738-B
laddie	96-2750-B,96-2764-B
lade	96-2777-B,96-2790-B
laden	96-2801-B
lading	96-2815-B
lady	96-2829-B,96-2839-B,96-2854-B,96-2867-B,96-2878-B
ladybird	96-2890-B
ladylove	96-2917-B
lag	96-2935-B,97-0-B
laggard	97-13-B
lagoon	97-27-B,97-43-B
lagune	97-57-B
laid back	97-71-B
lair	97-86-B
lake	97-95-B,97-105-B,97-115-B
lama	97-130-B
lamb	97-140-B,97-149-B
lame	97-164-B,97-179-B,97-192-B,97-205-B
lament	97-215-B,97-233-B,97-250-B,97-265-B,97-282-B,97-310-B
lamentation	97-327-B,97-349-B
lamp	97-371-B,97-381-B
lampoon	97-395-B,97-411-B
lamprey	97-432-B
lance	97-448-B,97-459-B,97-470-B,97-482-B,97-494-B
lancet	97-507-B
land	97-521-B,97-536-B,97-547-B,97-561-B,97-572-B,97-583-B,97-594-B,97-604-B,97-616-B,97-632-B
landau	97-650-B
landing	97-666-B,97-681-B,97-697-B
landlord	97-714-B,97-734-B
landscape	97-749-B
lane	97-769-B,97-780-B
language	97-791-B,97-807-B
languid	97-821-B,97-835-B,97-848-B,97-866-B,97-878-B,97-891-B,97-905-B
languorous	97-918-B,97-934-B
lank	97-950-B
lantern	97-961-B
lap	97-978-B,97-991-B,97-1005-B,97-1017-B,97-1028-B,97-1040-B
lapidary	97-1052-B
lapse	97-1070-B,97-1085-B
lapsed	97-1100-B,97-1115-B,97-1131-B,97-1149-B,97-1163-B,97-1181-B,97-1199-B
lapwing	97-1211-B,97-1227-B
larboard	97-1242-B
larceny	97-1260-B
larch	97-1277-B,97-1290-B,97-1301-B
lard	97-1317-B,97-1331-B
larder	97-1343-B,97-1364-B
large	97-1384-B,97-1396-B,97-1408-B,97-1425-B,97-1436-B,97-1456-B
largeness	97-1467-B,97-1487-B,97-1505-B
lariat	97-1522-B
lark	97-1535-B
larva	97-1550-B
laryngitis	97-1562-B
larynx	97-1588-B
lascivious	97-1608-B
lash	97-1629-B,97-1642-B,97-1653-B,97-1663-B,97-1675-B
lasher	97-1687-B
lass	97-1706-B,97-1716-B
lassie	97-1728-B,97-1740-B
lassitude	97-1754-B
lasso	97-1774-B
last	97-1786-B,97-1801-B,97-1816-B,97-1831-B,97-1842-B,97-1854-B,97-1871-B,97-1888-B,97-1902-B,97-1918-B,97-1933-B,97-1950-B,97-1963-B,97-1978-B,97-1994-B,97-2005-B
lasting	97-2018-B,97-2036-B,97-2053-B,97-2075-B,97-2088-B
late	97-2108-B,97-2118-B,97-2131-B,97-2146-B
lately	97-2164-B,97-2184-B,97-2199-B
latent	97-2218-B,97-2232-B
later	97-2249-B
latest	97-2261-B
lath	97-2275-B
lather	97-2284-B,97-2298-B
latitude	97-2311-B
latrine	97-2328-B
lattice	97-2344-B
laud	97-2363-B,97-2374-B
laugh	97-2386-B,97-2399-B,97-2410-B
laughable	97-2423-B,97-2445-B
laughing	97-2467-B
laughter	97-2483-B,97-2499-B,97-2519-B
launch	97-2536-B,97-2551-B,97-2564-B,97-2582-B
launder	97-2596-B
laundress	97-2611-B
laureate	97-2630-B
laurel	97-2650-B,97-2665-B
lava	97-2679-B
lavatory	97-2689-B
lave	97-2705-B
lavender	97-2717-B
lavish	97-2735-B,97-2750-B,97-2768-B
law	26-2558-S,26-2585-S,67-704-S,97-2786-B,97-2798-B,97-2808-B,158-3003-S
lawful	97-2816-B,97-2833-B
lawgiver	97-2847-B
lawmaker	97-2865-B
lawn	97-2883-B,97-2895-B,97-2906-B,97-2919-B,97-2933-B
lawsuit	97-2943-B,98-0-B,98-21-B,98-36-B,98-57-B
lawyer	98-73-B,98-89-B,98-103-B,98-124-B
lax	98-142-B
laxative	98-150-B
lay	98-172-B,98-186-B,98-199-B,98-210-B,98-221-B,98-230-B,98-245-B,98-258-B,98-270-B,98-281-B
layer	98-292-B,98-307-B,98-318-B,98-329-B
layman	98-339-B
layout	98-351-B,98-365-B,98-380-B
laziness	98-392-B
lazy	98-409-B,98-419-B,98-428-B,98-439-B
lea	98-451-B
leach	98-461-B
lead	98-472-B,98-487-B,98-503-B,98-517-B,98-530-B,98-545-B,98-556-B,98-570-B,98-582-B,98-593-B,98-603-B,98-617-B,98-630-B,98-646-B,98-657-B,98-669-B
leaden	98-684-B
leader	98-697-B,98-715-B,98-727-B,98-739-B,98-755-B,98-771-B,98-783-B,98-796-B,98-810-B,98-826-B
leading	98-841-B,98-857-B
leaf	98-877-B,98-887-B
leaflet	98-896-B,98-913-B,98-936-B,98-954-B
league	98-974-B,98-986-B,98-998-B
lean	98-1013-B,98-1022-B,98-1035-B,98-1046-B,98-1064-B,98-1077-B,98-1091-B,98-1105-B,98-1118-B
leaning	98-1131-B
leap	98-1146-B,98-1160-B
learn	98-1172-B,98-1187-B,98-1201-B,98-1213-B,98-1225-B
learned	98-1240-B,98-1256-B,98-1269-B
learning	98-1288-B
lease	98-1309-B,98-1320-B,98-1334-B
least	98-1349-B
leather	98-1361-B,98-1375-B,98-1391-B,98-1404-B,98-1423-B,98-1437-B
leathern	98-1450-B
leathery	98-1465-B,98-1485-B
leave	98-1499-B,98-1517-B,98-1530-B,98-1542-B,98-1557-B,98-1571-B,98-1587-B,98-1602-B,98-1617-B,98-1630-B,98-1647-B
leave taking	98-1661-B
leaven	98-1683-B
lecherous	98-1695-B,98-1710-B
lechery	98-1730-B
lectern	98-1746-B,98-1764-B,98-1782-B
lector	98-1799-B,98-1813-B
lecture	98-1826-B,98-1841-B,98-1861-B
lecturer	98-1880-B
ledge	98-1896-B,98-1907-B,98-1920-B
leech	98-1930-B
leek	98-1948-B
left	98-1958-B
leg	98-1969-B,98-1978-B,98-1992-B
leg pull	98-2001-B
legacy	98-2015-B,98-2030-B
legal	98-2044-B,98-2060-B,98-2073-B,98-2089-B
legally	98-2102-B,98-2117-B
legate	98-2135-B
legation	98-2149-B,98-2170-B
legend	98-2187-B,98-2202-B
legerity	98-2227-B
legible	98-2247-B
legion	98-2264-B
legislator	98-2279-B
legitimate	98-2299-B,98-2315-B,98-2338-B,98-2360-B
legitimize	98-2378-B,98-2396-B
leisurely	98-2419-B,98-2437-B,98-2452-B
lemon	98-2469-B
lemonade	98-2483-B
lend	98-2501-B,98-2512-B,98-2523-B,98-2537-B,98-2551-B
length	98-2569-B,98-2584-B,98-2596-B,98-2608-B,98-2623-B
lengthy	98-2635-B,98-2648-B
lenient	98-2666-B,98-2687-B,98-2706-B,98-2719-B,98-2739-B
lens	98-2753-B
lentil	98-2763-B
leopard	98-2776-B,98-2793-B
leprosy	98-2808-B,98-2822-B
less	98-2842-B,98-2851-B
lessen	98-2863-B
lesser	98-2881-B
lesson	98-2895-B
let	98-2906-B,98-2916-B,99-0-B,99-13-B,99-26-B,99-39-B
lethal	99-52-B
lethargic	99-68-B
lethargy	99-83-B
letter	99-102-B,99-115-B,99-130-B,99-144-B,99-159-B,99-176-B
letterpress	99-193-B
lettuce	99-211-B,99-227-B,99-241-B,99-256-B
letup	99-268-B
level	99-279-B,99-291-B,99-305-B,99-318-B,99-336-B,99-349-B,99-366-B,99-377-B,99-388-B,99-402-B,99-417-B,99-429-B,99-440-B
lever	99-455-B,99-469-B
levy	99-483-B
lewd	99-495-B
lexicon	99-508-B,99-524-B
liabilities	99-544-B
liability	99-564-B,99-595-B
liable	99-618-B,99-639-B
liaison	99-663-B
liana	99-682-B
lib	6-1573-S
libel	99-694-B
liberal	99-711-B,99-728-B,99-743-B
liberate	99-762-B
libertine	99-781-B
libra	99-798-B
librarian	99-815-B
library	99-840-B,99-860-B
libretto	99-877-B
licence	99-892-B,99-910-B,99-927-B,99-946-B,99-961-B
license	99-981-B,99-999-B,99-1016-B,99-1035-B,99-1050-B
lichen	99-1070-B
licit	99-1086-B
lick	99-1099-B
lid	99-1111-B,99-1125-B,99-1136-B,99-1145-B,99-1156-B
lie	99-1167-B,99-1178-B,99-1189-B,99-1200-B,99-1215-B,99-1226-B
liege	99-1239-B
lieutenant	99-1253-B,99-1274-B
life	99-1301-B,99-1313-B,99-1324-B
lifebelt	99-1342-B
lifeboat	99-1366-B
lifeless	99-1388-B,99-1402-B,99-1421-B,99-1435-B
lift	99-1454-B,99-1466-B,99-1478-B,99-1488-B,99-1500-B,99-1513-B,99-1526-B,99-1541-B,99-1554-B,99-1567-B,99-1579-B,99-1591-B,99-1606-B,99-1620-B
ligament	99-1632-B
ligature	99-1646-B
light	81-910-S,99-1660-B,99-1674-B,99-1689-B,99-1705-B,99-1721-B,99-1733-B,99-1743-B,99-1756-B,99-1768-B,99-1779-B,99-1791-B,99-1806-B,99-1822-B,99-1835-B,99-1852-B,99-1870-B
light headed	99-1881-B
light minded	99-1906-B
lighten	99-1931-B,99-1948-B
lighter	99-1967-B
lighthouse	99-1985-B,99-2007-B,99-2027-B
lighting	99-2048-B
lightly	99-2069-B,99-2083-B
lightning	99-2096-B,99-2114-B,99-2139-B,99-2155-B,99-2175-B,99-2193-B
lignite	99-2214-B
likable	99-2232-B,99-2250-B
like	99-2269-B,99-2281-B,99-2293-B,99-2308-B,99-2317-B,99-2333-B,99-2344-B,99-2361-B,99-2376-B,99-2388-B
likeable	99-2396-B
likely	99-2415-B,99-2431-B
likeness	99-2453-B,99-2473-B
likewise	99-2490-B,99-2509-B,99-2523-B,99-2541-B,99-2559-B,99-2575-B,99-2589-B,99-2603-B
liking	99-2616-B
lilac	99-2629-B,99-2640-B
lilliputian	99-2653-B
lilt	99-2675-B
lily	99-2686-B
limb	99-2697-B,99-2706-B,99-2719-B
lime	99-2728-B,99-2738-B,99-2748-B,99-2760-B,99-2771-B
limestone	99-2786-B
limit	99-2806-B,99-2822-B,99-2838-B,99-2853-B,99-2869-B,99-2881-B
limitation	99-2892-B,99-2913-B
limited	99-2930-B,99-2947-B,99-2965-B,99-2981-B
limits	99-2996-B
limp	99-3011-B,99-3023-B,99-3042-B,99-3058-B
limpid	99-3071-B,100-0-B
limping	100-13-B,100-29-B
linden	100-42-B,100-55-B
line	100-72-B,100-85-B,100-100-B,100-113-B,100-124-B,100-135-B,100-145-B,100-156-B,100-173-B,100-184-B,100-195-B,100-206-B,100-217-B,100-231-B,100-243-B,100-256-B,100-265-B,100-276-B,100-288-B,100-298-B,100-313-B,100-323-B,100-332-B,100-347-B,100-360-B
lineage	100-374-B,100-390-B,100-409-B,100-426-B
lineal	100-440-B
linen	100-460-B,100-471-B,100-484-B,100-501-B
linger	100-517-B,100-531-B
linguist	100-548-B
linguistics	100-570-B
lining	100-597-B
link	100-612-B,100-625-B,100-640-B
linkage	100-656-B
linnet	100-675-B,100-687-B
lion	100-703-B
lioness	100-714-B
lip	100-730-B,100-738-B
liquefy	100-747-B
liqueur	100-763-B
liquid	100-778-B,100-797-B,100-808-B,100-825-B,100-841-B
liquidate	100-858-B,100-879-B,100-900-B,100-919-B
liquor	100-938-B,100-953-B,100-966-B,100-986-B
lis	70-1212-S
lisp	100-1003-B
lissom	100-1017-B,100-1033-B
lissome	100-1046-B,100-1063-B
list	100-1077-B,100-1092-B,100-1103-B,100-1113-B,100-1126-B
listen	100-1135-B,100-1151-B,100-1170-B,100-1187-B,100-1203-B
listener	100-1223-B,100-1243-B
listless	100-1263-B
litany	100-1282-B
liter	100-1297-B
literal	100-1309-B,100-1328-B
literally	100-1347-B
literary	100-1368-B,100-1390-B,100-1408-B
literature	100-1427-B,100-1450-B,100-1472-B
lithe	100-1495-B,100-1510-B
lithesome	100-1522-B,100-1541-B
lithium	100-1557-B
lithuania	1-2482-B
litigate	100-1573-B
litigation	100-1593-B
litigious	100-1611-B
litmus	100-1631-B
litre	100-1646-B
litter	100-1658-B,100-1675-B,100-1689-B,100-1701-B,100-1715-B
little	100-1727-B,100-1741-B,100-1754-B,100-1767-B,100-1781-B,100-1792-B
liturgy	100-1806-B
live	100-1823-B,100-1835-B,100-1847-B,100-1858-B,100-1870-B,100-1884-B,100-1899-B
lived	154-161-S
livelihood	100-1910-B,100-1929-B,100-1956-B
liveliness	100-1977-B
lively	100-2001-B,100-2018-B,100-2030-B,100-2046-B
liver	100-2062-B
livery	100-2074-B
livestock	100-2088-B,100-2104-B,100-2127-B,100-2141-B
livid	100-2161-B,100-2175-B
living	100-2187-B,100-2200-B,100-2214-B,100-2230-B
lizard	100-2253-B
llama	100-2268-B
load	100-2279-B,100-2292-B,100-2306-B,100-2318-B,100-2331-B,100-2344-B,100-2355-B,100-2367-B,100-2377-B,100-2389-B
loading	100-2402-B,100-2417-B
loaf	100-2432-B,100-2443-B
loan	100-2452-B,100-2463-B,100-2475-B,100-2491-B
loath	100-2505-B
loathe	100-2519-B,100-2539-B
