aziatisch	1-495-B
balk	18-2573-B,19-1054-B,20-859-B,20-1329-B,76-2671-B,175-541-B
balkan	1-571-B
balkon	18-2428-B,34-15-B
ballade	18-2665-B
ballast	18-2692-B
ballet	18-2708-B
ballingschap	19-571-B,64-810-B,118-122-B
ballistiek	18-2722-B
ballon	18-2744-B
balorig	44-2118-B,122-905-B,122-977-B,124-69-B,124-218-B
balsem	18-2814-B,18-2883-B,147-2269-B,180-2944-B
balustrade	18-2914-B,119-3159-B,136-1685-B
bamboe	19-19-B
ban	11-2393-B,19-46-B,63-2967-B,160-1280-B,172-2847-B
banaal	19-137-B,37-2765-B,53-1418-B,81-492-B,178-2569-B
banaan	19-150-B
band	19-178-B,21-1564-B,22-1573-B,24-777-B,25-1343-B,26-1590-B,26-1760-B,31-1445-B,42-309-B,43-981-B,58-65-B,73-2047-B,85-2251-B,99-1632-B,99-1646-B,117-175-B,143-3211-B,144-1277-B,165-1239-B,165-3019-B,166-126-B,166-246-B,171-931-B,174-2665-B,175-1620-B,186-312-B
bandeloos	182-200-B
banderol	191-1313-B
bandiet	19-400-B,84-2200-B,118-107-B
banen	157-1373-B
bang	8-2005-B,12-2373-B,12-2471-B,13-2078-B,67-1978-B,74-924-B,112-357-B,148-2465-B,175-826-B,175-960-B
bang maken	73-1894-B
banier	19-762-B,70-191-B,162-2085-B
bank	19-617-B,21-1638-B,57-1957-B,150-255-B,178-1245-B,190-2855-B
bankbiljet	19-722-B,22-1125-B,79-1761-B,113-985-B
bankdirecteur	19-686-B
banket	19-830-B
banketbakker	39-1543-B
bankier	19-707-B
bankroet	19-742-B
banvloek	11-2406-B,19-54-B,63-2987-B
bar	18-611-B,19-1063-B,19-2147-B,19-2380-B,27-329-B,152-976-B,165-2228-B,165-2383-B
barak	19-1720-B,19-1962-B,87-539-B,152-1382-B,152-2342-B,153-705-B
barbaar	19-1215-B,148-857-B
barbaars	19-1233-B,19-1289-B,19-1328-B,44-3030-B,148-872-B
barbier	19-1347-B
bard	19-1376-B
baren	20-1433-B
baret	21-2581-B,29-1524-B
baring	120-2557-B
bariton	19-1581-B
barium	19-1598-B
bark	19-1900-B
barmhartig	106-494-B
barmhartigheid	32-1806-B,106-514-B,106-613-B
barnsteen	11-186-B
barokstijl	19-1881-B
barometer	19-1812-B,77-524-B,188-336-B
baron	19-1852-B
barones	19-1864-B
barrevoets	19-1498-B,153-2631-B
barricade	19-2255-B
barricaderen	19-2275-B
barriere	19-2392-B
bars	3-1567-B,80-1135-B,80-1230-B,82-1218-B,145-1894-B,169-22-B,181-2570-B,181-3314-B,181-3464-B
barst	27-2326-B,35-405-B,43-1894-B,43-2545-B,44-1037-B,69-2272-B,72-2886-B,144-474-B
barsten	27-2338-B,43-1906-B,64-3523-B,146-2125-B,160-3104-B
bas	20-281-B
basalt	19-2631-B
base	19-2645-B,20-183-B
baseren	19-2655-B,62-1114-B,72-2170-B
basilicum	20-87-B
basiliek	20-103-B
basis	20-194-B,72-2299-B,74-704-B
baskisch	1-586-B
bassen	19-1612-B,20-948-B
bassin	127-2666-B,171-674-B
basstem	20-290-B
bast	20-332-B
basta	60-2724-B,135-2786-B,137-1082-B,167-2636-B,167-2745-B
bastaard	20-342-B,87-608-B,108-2164-B
bastion	20-396-B,136-2457-B
baszanger	20-303-B
bataljon	20-652-B
baten	9-1755-B,15-3078-B,17-2867-B,21-2181-B,83-2467-B,151-2642-B
batist	20-615-B,29-221-B,97-2883-B
batterij	20-747-B
bauxiet	20-870-B
baviaan	18-1048-B
bazaar	20-1007-B,66-265-B,104-405-B,164-2585-B
bazin	108-20-B
bazooka	20-1111-B
bazuin	179-712-B
beambte	115-1957-B
beamen	8-1427-B,13-2483-B
beangstigen	9-2568-B,73-1914-B
beantwoorden	5-2243-B,12-1272-B,42-2850-B,138-2214-B,141-1572-B,142-2508-B,143-1077-B
bebouwing	45-1136-B
bed	20-2486-B
bedaagd	58-2384-B
bedaard	28-2621-B,29-41-B,38-2073-B,38-2120-B,41-3768-B,98-2419-B,135-2083-B,135-2308-B,150-1536-B,151-1912-B,152-467-B,177-1618-B,181-1781-B,181-1799-B,182-182-B
bedacht zijn op	72-34-B
bedanken	2-1281-B,142-1329-B,173-640-B
bedankt	173-765-B
bedaren	13-647-B,20-2205-B,28-2634-B,118-3008-B,135-2097-B,135-2275-B,157-1386-B,159-241-B,164-54-B,177-1754-B,177-1883-B
bedeesd	20-10-B,43-1777-B,51-2601-B,153-951-B,154-1831-B,175-837-B
bedehuis	33-2680-B,96-806-B,170-2105-B,172-477-B
bedekken	23-120-B,29-1534-B,43-992-B,103-2983-B,118-1642-B,118-1991-B,167-3042-B,176-826-B
bedekking	29-1312-B,36-508-B,43-1007-B,43-1342-B,85-2014-B,92-1988-B,99-1111-B,118-2008-B
bedelaar	21-273-B,28-1496-B,106-98-B,108-2874-B,119-1893-B,149-2352-B
bedenkelijk	79-828-B,82-2418-B,144-2055-B,151-2244-B
bedenken	40-870-B,41-1967-B,51-730-B,88-340-B,93-1932-B,117-1595-B,139-1502-B,140-2596-B,150-1769-B
bederf	42-1671-B
bederfwerend	12-2116-B
bederven	6-2132-B,40-3754-B,42-1564-B,46-1301-B,47-964-B,47-1308-B,49-3446-B,91-1112-B,103-3371-B,123-3298-B,127-1048-B,134-2314-B,145-1558-B,161-27-B,170-2589-B,185-2904-B,191-1506-B
bedevaart	125-40-B
bedevaartganger	125-0-B
bediende	15-3203-B,16-3152-B,25-891-B,35-656-B,143-336-B,151-2577-B,183-1422-B
bedienen	16-2958-B,81-2079-B,116-1241-B,151-2654-B,172-1079-B,186-2099-B,190-2528-B
bediening	16-3095-B,41-2061-B,44-1151-B,59-2026-B,151-2767-B,151-2990-B
bedillen	82-2540-B,135-1520-B
bedoelen	9-1885-B
bedoeling	9-1898-B,50-1076-B,87-1454-B,92-2675-B,92-2721-B,114-1351-B,126-63-B,134-1394-B,185-569-B
bedorven	6-2147-B,18-1735-B,42-1581-B,72-2038-B,145-1774-B,161-180-B
bedotten	85-422-B
bedrag	11-1127-B,67-2425-B,168-372-B
bedragen	11-1141-B
bedreigen	105-3209-B,174-911-B
bedreiging	46-1813-B,105-3226-B,174-859-B
bedreven	2-2708-B,6-2343-B,7-1877-B,35-731-B,35-912-B,51-1039-B,51-1130-B,64-2664-B,129-1152-B,131-3606-B,155-2877-B,155-3165-B,156-48-B
bedrevenheid	6-2470-B,64-2792-B,155-2975-B,155-3085-B,156-169-B
bedriegen	21-522-B,22-80-B,32-2845-B,33-1461-B,43-1832-B,47-1488-B,48-2076-B,49-692-B,57-209-B,178-1691-B
bedrieger	32-1844-B,109-2036-B,124-1080-B,134-2651-B
bedrieglijk	47-1466-B,47-1708-B,49-887-B,49-908-B,66-962-B,66-985-B,66-1041-B,87-3087-B,87-3108-B,106-808-B,107-2865-B
bedrijvend	6-562-B
bedrijvig	6-580-B,6-644-B,100-2001-B
bedrijvigheid	6-701-B
bedroefd	107-2144-B,147-179-B,159-765-B
bedroefdheid	79-2173-B,147-428-B,159-587-B
bedroeven	8-1656-B,8-3519-B,12-653-B,54-902-B,79-2257-B,147-264-B,184-2851-B,191-420-B
bedrog	32-2877-B,47-1434-B,47-1670-B,49-795-B,66-1010-B,68-1839-B,73-525-B,73-538-B,86-2298-B,169-3289-B
beducht	8-2017-B,12-2386-B,13-2096-B
beduchtheid	13-2014-B,67-1834-B
beduiden	34-2226-B,64-3174-B,71-2587-B,72-202-B,88-2830-B,105-330-B,128-693-B,132-2735-B,155-63-B
beduvelen	85-436-B
bedwelmen	47-68-B,55-877-B,56-1677-B,93-1104-B,166-1900-B,166-1953-B
bedwelming	47-83-B,166-1929-B
bedwingen	26-757-B,32-2907-B,45-1684-B,135-1210-B,146-1136-B
beeindigen	59-3601-B,69-977-B,172-2352-B
beek	26-2399-B,144-2382-B,165-1568-B
beeld	58-1608-B,68-2409-B,87-1443-B,87-2076-B,87-2439-B,88-33-B,106-1635-B,124-2195-B,128-1102-B,139-1661-B,163-849-B
beeldend	126-979-B,185-3015-B
beeldhouwen	30-1457-B,149-2704-B
beeldhouwer	149-2683-B,163-828-B
beeldig	49-55-B,101-2065-B
beeldscherm	149-1988-B
beeldschoon	101-2080-B
beeldspraak	106-1650-B
beeltenis	58-1621-B,88-45-B,124-2209-B,128-1117-B
beemd	105-13-B
been	24-880-B,98-1969-B,121-1990-B,152-2305-B
been klagen	97-282-S
beer	20-1444-B,23-2438-B
beerven	91-581-B
beest	11-3453-B,20-1741-B,26-2907-B,44-534-B
beestachtig	20-1764-B,22-0-B,26-2858-B,26-2919-B,26-2998-B,82-1229-B
beet	22-2100-B
beetje	22-2022-B
beetnemen	29-2539-B,30-2545-B,78-3149-B,85-451-B
beetpakken	78-3231-B,79-2697-B,79-2785-B
beetwortel	20-2744-B
befaamd	66-1428-B,66-1664-B,113-1251-B,141-425-B
befaamdheid	66-1287-B,83-810-B,141-262-B,141-3271-B,146-1392-B,146-1484-B
begaafd	76-2280-B,170-3076-B
begaafdheid	13-2804-B,60-648-B,76-397-B,170-3031-B
begaanbaar	120-2949-B,129-745-B
begeerlijk	43-1422-B,50-1355-B
begeerte	13-944-B,18-12-B,43-1480-B,43-2834-B,50-1440-B,57-1201-B,79-1584-B,102-1164-B,187-254-B,190-470-B
begeleiden	4-2522-B,16-2974-B,41-3545-B,62-448-B
begeleider	4-2475-B,16-3171-B,37-3428-B,62-466-B
begeleiding	4-2449-B,62-484-B
begenadigen	72-535-B,120-254-B
begenadiging	11-896-B,120-273-B
begeren	50-1456-B,190-484-B
begerenswaardig	50-1376-B
begerig	5-3205-B,17-3680-B,43-1443-B,50-1600-B,57-1105-B,79-1547-B,79-1627-B
begerigheid	43-1502-B,79-1529-B,79-1604-B
begiftigen	60-616-B,184-2585-B
begin	21-450-B,37-1636-B,76-286-B,89-1305-B,89-1604-B,97-2551-B,115-2194-B,116-679-B,116-1103-B,117-1412-B,117-1717-B,118-734-B,162-2810-B,174-1024-B
beginnen	21-387-B,37-1561-B,54-3029-B,91-936-B,162-2822-B
beginsel	58-2896-B,131-531-B
begoochelen	22-417-B,49-709-B
begoocheling	49-811-B,87-2946-B,160-1290-B
begraafplaats	31-1471-B,79-1057-B
begrafenis	27-1954-B,61-1061-B,74-795-B,92-3790-B,151-1644-B
begraven	27-2460-B,61-1045-B,91-865-B,92-2915-B
begrensd	25-178-B,39-2174-B,99-2930-B,142-3385-B
begrenzen	24-1912-B,25-64-B,34-589-B,39-2121-B,48-1433-B,99-2806-B,110-3104-B,142-3329-B,172-2312-B
begrip	3-3150-S,13-2039-B,38-2499-B,38-3383-B,38-3432-B,79-2713-B,87-1469-B,91-3029-B,113-1935-B,181-171-B
begroeten	79-1853-B,81-616-B,147-2001-B,188-1041-B
begroten	13-1743-B,62-1731-B,137-818-B
begroting	27-202-B
begunstigen	67-1098-B,67-1428-B,72-1786-B,132-1426-B
begunstiger	121-1171-B
begunstiging	67-1116-B,67-1447-B,121-1335-B,133-536-B
behaagziek	42-257-B
behagen	126-1918-B,126-2194-B
behalen	4-2657-B,5-1826-B,5-2964-B,16-2597-B,68-1192-B,74-2279-B,76-1559-B,114-3036-B,137-2222-B,138-45-B,149-1078-B,170-2723-B,189-2474-B
behalve	19-2532-B,21-2703-B,21-2761-B,22-494-B,63-1772-B,118-767-B,148-992-B
behandelen	16-2992-B,45-1741-B,53-263-B,54-3263-B,81-2095-B,151-2669-B,178-546-B,182-2931-B
behandeling	81-2374-B,103-2678-B,105-1623-B,173-1713-B,178-637-B,182-2831-B
behang	171-1024-B,186-2815-B
behangen	47-2791-B,119-2321-B
beheer	7-273-B,41-2079-B,103-1910-B
beheerder	7-521-B,103-2031-B,163-2821-B,179-1066-B
beheerser	146-1299-B,159-1617-B
beheksen	22-437-B,49-728-B,94-1928-B
behelzen	38-2608-B,40-3552-B,89-2017-B
behendig	7-1893-B,7-2073-B,9-0-B,35-747-B,35-930-B,51-1058-B,51-1148-B,155-2894-B,156-66-B
beheren	7-114-B,103-1657-B
behoeden	80-1524-B,130-1494-B,133-451-B,148-1005-B,153-1400-B
behoedzaam	30-38-B,31-364-B,31-405-B,34-660-B,76-2543-B,80-1711-B,80-1750-B,187-720-B,187-1211-B
behoedzaamheid	31-254-B,187-757-B
behoefte	111-2073-B,111-2366-B,142-135-B,187-268-B
behoeftig	90-785-B,111-2722-B
behoeven	111-2380-B,141-3533-B,187-282-B
behoorlijk	47-1564-B,47-1614-B,69-2407-B,69-2620-B,132-2199-B,132-2410-B,138-625-B,144-614-B,167-3430-B,167-3595-B
behoren	13-858-B,21-35-B,21-1292-B,110-1182-B,117-2619-B,123-2972-B
behoud	40-535-B,103-389-B,130-1427-B,139-70-B,143-479-B,147-2060-B,147-2140-B,148-1175-B
behouden	40-724-B,85-649-B,95-2041-B,103-198-B,130-1512-B,142-494-B,143-183-B,148-1019-B
behoudend	40-577-B
beiaard	30-541-B,33-1190-B
beide	24-2529-B,58-1995-B
beier	1-618-B
beieren	1-602-B,121-2849-B
beiers	1-633-B
beinvloeden	90-3745-B
beitel	33-1478-B
beitelen	33-1492-B
beitsen	22-2110-B
bejaard	8-2791-B,115-2747-B
bejagen	32-2369-B,86-2857-B
bejammeren	21-1620-B,22-399-B,49-3166-B,97-215-B,109-2113-B,139-3238-B
bek	20-1236-B,22-1141-B,94-1284-B,104-2790-B,109-2267-B,110-1844-B,111-1960-B,157-2334-B
bekeerling	132-3540-B
bekend	5-2925-B,66-1471-B,66-1645-S,96-1809-B,113-1265-B,188-1284-B
bekendheid	5-2901-B,41-2906-B,66-1549-B,96-1681-B
bekendmaken	7-3535-B
bekendmaking	7-3414-B,12-536-B,47-2182-B,52-2752-B,113-1494-B,113-1835-B,131-2301-B
bekennen	5-2268-B,7-1009-B,18-44-B,39-1822-B
bekentenis	5-2417-B,7-819-B,18-72-B,39-1890-B,131-3416-B
beker	20-1302-B,31-2966-B,45-1529-B,77-2644-B,128-2871-B
bekeren	41-3239-B
bekeuring	107-1232-B,133-871-B,174-2344-B
bekken	20-121-B,25-618-B,46-593-B,122-1227-B
beklaagde	5-1456-B,48-868-B
bekladden	21-2951-B,23-668-B,23-1705-B,46-2637-B,158-876-B,161-642-B,162-728-B
beklag	38-966-B
beklagen	37-1942-B,125-2048-B
beklagenswaardig	107-2163-B,125-1687-B,125-1747-B,125-1874-B,125-1921-B,125-1981-B,127-2772-B
bekleden	35-2465-B,36-523-B,43-1023-B,56-259-B,68-2777-B,85-663-B,115-407-B,118-2026-B,145-28-B,153-633-B,170-2736-B,182-1379-B,184-2601-B
beklemming	9-866-B,11-3288-B,67-1851-B
beklemtonen	4-660-B,4-783-B,165-1907-B
beknopt	26-863-B,26-967-B,39-291-B,45-2761-B,154-64-B,167-1895-B,172-3133-B
beknoptheid	26-356-B,26-1011-B,39-370-B,167-1942-B
beknorren	22-2785-B,33-682-B,141-2550-B,149-891-B
beknotten	39-2139-B,99-2822-B,142-3348-B
bekogelen	24-706-B
bekokstoven	41-1985-B,93-1948-B
bekommerd	12-2402-B,54-1105-B,158-1694-B
bekommernis	29-3078-B,38-3612-B,158-1755-B
bekonkelen	93-1347-B
bekoorlijk	29-2498-B,32-2072-B,32-2222-B,59-2576-B,59-2644-B,61-1244-B,66-2888-B,68-1285-B,77-321-B,101-2099-B
bekoren	172-741-B
bekoring	32-1965-B
bekorten	2-1200-B,3-1189-B,154-430-B
bekostigen	69-341-B
bekrachtigen	5-2289-B,8-1441-B,17-1769-B,39-2269-B,42-1457-B,137-1302-B,147-2588-B,183-1597-B
bekrompen	43-2394-B,99-2947-B,111-0-B,127-1295-B,142-3405-B
bekwaam	2-2722-B,2-2846-B,7-1909-B,13-2752-B,29-1636-B,29-1714-B,35-763-B,35-948-B,38-609-B,51-1077-B,51-1166-B,58-1473-B,131-3626-B,155-2911-B,156-0-B,156-84-B
bekwaamheid	2-2417-B,13-2825-B,29-1593-B,29-1769-B,38-586-B,134-2988-B
bekwamen	135-0-B
bel	21-1081-B,78-119-B
belabberd	2-2487-B,53-1432-B,105-99-B,107-2190-B,128-16-B,191-1850-B
belachelijk	3-3259-B,71-1422-B,97-2423-B,102-320-B,130-441-B,144-203-B,144-314-B
beladen	27-1687-B,32-1500-B,96-2777-B,96-2801-B,100-2279-B
belagen	187-2657-B
belang	7-2658-B,21-2195-B,38-3632-B,40-345-B,74-2292-B,92-3366-B,132-28-B
belang inboezemen	92-3382-B
belangrijk	151-2264-B,188-889-B
belangrijkste	95-2639-B,131-19-B
belangstelling	38-3647-B,92-3409-B
belasten	27-1702-B,32-1515-B,37-2024-B,59-3357-B,100-2292-B,171-1796-B,188-748-B
belasten met	61-1336-B
belasteren	15-1810-B,18-1275-B,21-959-B,29-183-B,48-494-B,99-694-B,103-1353-B,156-1029-B,177-871-B
belasting	41-1778-B,57-663-B,171-1809-B,171-1868-B
beledigen	4-139-B,8-1953-B,87-84-B,91-1128-B,92-1444-B,115-1399-B,118-574-B
beledigend	4-169-B,92-1509-B,115-1461-B,115-1550-B,115-1638-B,116-2637-B
belediging	8-1971-B,90-874-B,91-1326-B,92-1461-B,115-1344-B,115-1514-B
beleefd	23-16-B,34-1249-B,34-1437-B,43-638-B,43-731-B,127-1722-B,127-1800-B
beleg	154-2194-B
belegen	104-2662-B,144-1801-B,150-218-B
belegeren	21-920-B,21-2933-B,154-2206-B
belegering	154-2222-B
beleggen	21-877-B,31-17-B,43-1038-B,93-2168-B,98-186-B
belegging	93-2487-B
beleid	53-102-B,127-1590-B,127-1968-B,133-2182-B,170-2293-B
belemmeren	19-1071-B,24-2540-B,35-1629-B,43-2365-B,54-1569-B,59-3375-B,81-1555-B,81-1866-B,84-2505-B,88-1684-B,91-757-B,92-3605-B,93-508-B,114-2888-B,130-2902-B,178-3089-B
belemmering	32-2923-B,81-1886-B,84-2675-B,88-1753-B,114-2538-B,114-2944-B
belet	84-2697-B
beletsel	59-3413-B,84-2713-B,85-136-B,88-1776-B,114-2559-B,114-2968-B
beletten	84-2523-B,88-1702-B,91-776-B,129-2325-B,130-2921-B,132-761-B
beleven	64-2271-B,150-1782-B,190-1330-B
belevenis	64-2290-B
belg	1-649-B
belgie	1-697-B
belgisch	1-662-B
belgische	1-679-B
belichamen	59-850-B,88-2149-B,89-1157-B
belichten	65-413-B,87-2767-B,99-1705-B
belichting	88-3627-B
belladonna	21-1137-B
belletje	21-1090-B
beloeren	161-1955-B
belofte	126-2343-B,126-2680-B,132-1264-B,186-812-B
belonen	138-3175-B,140-3464-B,142-399-B,143-2677-B
beloning	79-475-B,121-2348-B,129-3508-B,131-1342-B,138-3194-B,140-3561-B,143-2692-B
beloven	132-1280-B
beluisteren	100-1151-B
belust	5-3225-B,17-3693-B,57-1119-B,79-1642-B
bemachtigen	78-1393-B,78-3248-B,79-2725-B,150-2476-B
bemanning	44-1166-B
bemantelen	104-1132-B
bemerken	113-1514-B,122-2127-B,140-2373-B
bemesten	57-101-B,68-794-B,103-3190-B
bemiddeld	108-2111-B,188-1424-B
bemiddelen	105-1517-B
bemind	21-1380-B
beminde	21-1395-B,101-2437-B,169-2592-B
beminnen	101-1970-B
bemoedigen	37-486-B,59-3182-B,83-1054-B
bemoeienis	64-374-B
ben	20-234-B
benadelen	82-623-B,88-1408-B,91-1145-B
benadrukken	4-679-B,4-806-B,59-1618-B,59-1640-B
benaming	110-2568-B
benardheid	2-958-B,59-470-B,123-1682-B
benauwd	35-1769-B,110-28-B,116-2537-B,162-1225-B,166-1829-B,168-292-B
benauwdheid	9-883-B,11-3307-B,12-2283-B,67-1867-B
benauwen	9-150-B,9-2586-B,73-1935-B
bende	19-188-B,22-354-B,44-1181-B,75-317-B,85-2568-B,108-387-B,118-3038-B,151-3155-B,178-2931-B
beneden	21-1490-B,21-1959-B,55-1381-B,55-1551-B,180-2999-B,180-3212-B
benelux	1-713-B
benepen	8-2032-B,175-851-B
beneveld	175-1580-B
bengalen	1-729-B
benieuwd	9-703-B,45-1871-B,91-2170-B
benig	24-1088-B
benijden	61-1953-B
benodigd	111-1999-B,111-2460-B,142-193-B
benoemen	13-1443-B,28-2279-B,49-2078-B,110-2582-B,112-2852-B
benoeming	13-1573-B,44-456-B,112-2804-B,112-2886-B
benul	87-1481-B,113-1949-B
benutten	59-1860-B,182-2946-B,183-298-B
benzeen	21-2469-B
benzine	21-2485-B,75-1613-B,75-1654-B,75-1671-B,124-0-B
benzol	21-2501-B
beoefenen	64-199-B,129-894-B,129-1041-B
beogen	9-1912-B
beoordelen	15-2678-B,44-1690-B,62-1749-B,62-2402-B,95-534-B,105-918-B
bepaald	3-2357-B,31-2131-B,47-1795-B,48-1484-B,48-1611-B,50-3290-B,50-3347-B,55-1510-B,65-611-B,65-946-B,70-74-B,77-45-B,128-1573-B,135-2798-B,160-306-B,163-362-B,181-488-B
bepalen	13-1460-B,16-2197-B,39-968-B,47-1730-B,48-1450-B,50-3505-B,67-194-B,69-2786-B,117-245-B,135-17-B,150-1191-B,151-3165-B
bepaling	13-1595-B,34-2843-B,39-986-B,48-1808-B,50-3410-B,70-123-B,133-1564-B,133-1798-B,140-160-B,164-1167-B,172-2555-B
bepantsering	14-1762-B,14-1855-B
beperken	25-80-B,34-612-B,39-2157-B,99-2838-B,111-17-B,135-33-B,139-740-B,142-3176-B,142-3367-B,164-1076-B
beperking	34-634-B,39-2225-B,40-2556-B,99-2853-B,99-2892-B,134-3014-B,142-3293-B,142-3463-B
beperkt	39-2192-B,43-2412-B,99-2965-B,99-2996-B,142-3426-B
beploegen	126-2877-B,175-385-B
bepoederen	129-376-B
bepraten	53-282-B
beproeven	8-1674-B,16-2716-B,62-781-B,79-2274-B,171-1502-B,172-3173-B,179-1250-B
beproeving	16-2734-B,117-310-B,172-3188-B,178-1299-B
beraad	40-1108-B
beraadslagen	48-3032-B
beramen	41-2006-B,51-746-B,126-78-B,126-2721-B,132-838-B,148-2998-B
berechten	6-3110-B,95-551-B
bereiden	56-274-B,130-305-B,151-3177-B
bereiding	130-165-B
bereidvaardig	137-2613-B,189-2288-B
bereidwillig	137-2633-B,189-2310-B
bereikbaar	4-1275-B
bereiken	4-2676-B,5-1842-B,16-2612-B,68-1206-B,74-2304-B,76-1571-B,137-2236-B,189-2486-B
berekenen	28-1894-B,32-1531-B,33-2973-B,38-2846-B,42-2638-B,46-684-B,68-2422-B,137-832-B
berekening	28-2009-B,138-2669-B
bereklauw	4-416-B
berg	84-2315-B,109-1765-B,109-1849-B
bergachtig	109-1991-B
bergbeklimmer	10-2233-B,35-1273-B,109-1884-B
bergbeklimming	109-1961-B
bergen	40-742-B,95-2055-B,103-216-B,130-1530-B,138-3618-B,142-510-B,147-2075-B,148-1033-B,164-2598-B
berggeit	31-3272-B
berging	147-2157-B
bergkloof	78-744-B,80-2537-B,80-2698-B,137-1859-B
bergstroom	176-1604-B
bericht	4-3482-B,6-1551-B,7-3336-B,12-562-B,37-3043-B,91-106-B,94-236-B,106-1267-B,112-873-B,113-1530-B,141-1677-B,174-2557-B
berichten	5-2764-B,7-3554-B,37-2930-B,90-3905-B
beril	21-2613-B
berispen	22-2801-B,33-698-B,138-1228-B,141-2487-B,141-2569-B,149-907-B
berisping	11-3429-B,22-2816-B,31-1596-B,138-1244-B,141-2042-B,141-2506-B,141-2587-B,141-2786-B,141-2850-B
berk	22-1744-B
berkeboom	22-1755-B
berm	154-605-B,184-1682-B
beroemd	31-1119-B,66-1442-B,66-1679-B,66-1777-B,66-2479-B,77-1465-B,87-3268-B,113-1278-B,141-442-B
beroemd persoon	31-1217-B
beroemdheid	31-1243-B,66-1304-B,77-1608-B,141-281-B
beroep	13-361-B,27-2703-B,28-2531-B,43-2220-B,81-1965-B,115-228-B,131-3438-B,177-634-B,186-36-B
beroerd	18-1748-B,111-185-B,127-2794-B,185-1078-B
beroeren	176-2257-B
beroerte	69-2422-B,150-2534-B,166-344-B
berooid	111-2738-B
berouw	17-405-B,38-2827-B,41-1844-B,122-1578-B,139-3256-B,140-3152-B,141-1099-B
beroven	21-2565-B,49-3623-B,50-2126-B,144-2745-B
beroving	49-3582-B,144-2824-B
berusting	142-1435-B
beryllium	21-2625-B
bes	21-2593-B,45-2245-B
beschaafd	34-1393-B,188-1323-B
beschaamd	15-1338-B,15-1356-B,59-448-B,152-2224-B,152-2245-B
beschaamd maken	2-920-B,152-2157-B
beschadigen	46-1317-B,48-442-B,87-99-B,91-1162-B,112-1985-B,161-42-B
beschamen	2-942-B,152-2179-B
beschaven	34-1353-B,139-1377-B
beschaving	26-221-B,34-1329-B,45-1158-B,45-1264-B,60-2328-B
bescheid	12-1292-B,54-3388-B,141-1591-B
bescheiden	52-3441-B,52-3499-B,53-43-B,86-2173-B,101-2758-B,108-817-B,108-1017-B,108-1118-B,138-647-B,143-698-B,180-2172-B,181-3210-B,181-3665-B,181-3689-B
bescheidenheid	86-2401-B,108-1156-B
beschermen	43-1053-B,48-773-B,80-1539-B,121-1380-B,130-1546-B,133-468-B,147-583-B,149-2007-B,153-1417-B,153-1681-B
beschermgeest	76-416-B
beschermheer	121-1190-B
beschermheilige	121-1210-B
bescherming	43-1070-B,121-1358-B,130-1447-B,133-560-B,147-604-B,149-2025-B,153-1436-B,153-1699-B
beschieten	20-682-B,24-724-B,122-1159-B,153-1233-B
beschieting	69-1686-B
beschikbaar	17-2917-B,53-2666-B,100-778-B
beschimmeld	106-3170-B,108-1605-B,109-1629-B,110-1302-B
beschimmelen	106-3116-B,108-1484-B,109-1499-B
