sirocco	155-1992-B
slate	156-1301-B,156-1314-B,156-1324-B
slaughter	156-1339-B,156-1360-B,156-1379-B
slaughterer	156-1399-B
slave	156-1420-B,156-1432-B
slavish	156-1445-B
slavishly	156-1460-B
slay	156-1477-B,156-1488-B,156-1503-B
sled	156-1518-B
sledge	156-1528-B
sleek	156-1540-B,156-1551-B
sleep	156-1563-B,156-1576-B,156-1588-B
sleeper	156-1601-B
sleeping	156-1620-B
sleeve	156-1636-B,156-1647-B
sleigh	156-1659-B
slender	156-1671-B,156-1683-B,156-1698-B,156-1712-B,156-1728-B,156-1741-B,156-1755-B
sleuth	156-1768-B
slew	156-1785-B
slice	156-1798-B,156-1809-B,156-1821-B,156-1832-B,156-1843-B,156-1856-B,156-1868-B,156-1879-B,156-1893-B,156-1907-B
slicer	156-1918-B
slick	156-1932-B
slickness	156-1943-B
slide	156-1964-B
slight	156-1979-B,156-1993-B
slightly	156-2006-B,156-2025-B,156-2040-B
slim	156-2055-B,156-2067-B,156-2077-B
slime	156-2088-B,156-2099-B,156-2112-B
sling	156-2123-B,156-2136-B,156-2146-B,156-2161-B,156-2172-B
slip	156-2188-B,156-2199-B,156-2214-B,156-2227-B,156-2238-B,156-2252-B,156-2266-B
slipper	156-2282-B
slipperiness	156-2300-B
slippery	156-2322-B,156-2336-B,156-2355-B
slippy	156-2376-B,156-2388-B,156-2405-B
slit	156-2417-B,156-2429-B
slither	156-2440-B
slithery	156-2458-B
sliver	156-2477-B
sloe	156-2493-B
slogan	156-2508-B,156-2522-B,156-2534-B,156-2547-B,156-2566-B
sloop	156-2583-B
slop	156-2595-B
slope	156-2607-B,156-2622-B,156-2636-B
sloping	156-2651-B,156-2668-B,156-2685-B,156-2701-B,156-2716-B
slosh	156-2731-B,156-2745-B,156-2759-B
slot	156-2772-B
sloth	156-2784-B,156-2798-B,156-2812-B
slothful	156-2828-B,156-2841-B,156-2856-B
slothfully	156-2872-B
slough	156-2887-B,157-0-B
slow	157-14-B,157-25-B,157-35-B,157-46-B
slowly	157-61-B,157-74-B
sludge	157-89-B,157-103-B
slug	157-115-B,157-126-B,157-141-B
sluggish	157-151-B,157-164-B
sluice	157-179-B,157-190-B,157-206-B,157-224-B,157-237-B
slumber	157-249-B,157-265-B,157-280-B,157-295-B
slump	157-313-B
slur	157-329-B
slurp	157-339-B
sly	157-353-B,157-367-B,157-380-B,157-393-B,157-404-B,157-413-B
smack	157-429-B,157-440-B,157-451-B,157-465-B,157-480-B,157-490-B,157-502-B,157-514-B,157-525-B
smacker	157-539-B
small	157-556-B,157-569-B,157-581-B,157-593-B,157-606-B,157-616-B,157-627-B
smallpox	157-640-B
smart	157-656-B,157-667-B,157-683-B,157-697-B,157-712-B,157-723-B,157-736-B,157-746-B,157-757-B,157-768-B,157-786-B,157-797-B
smash	157-811-B,157-825-B,157-841-B,157-852-B,157-870-B
smash up	157-889-B
smashed	157-906-B
smear	157-918-B,157-933-B,157-950-B,157-963-B,157-976-B,157-987-B,157-999-B
smell	157-1010-B,157-1021-B,157-1034-B,157-1046-B,157-1060-B,157-1071-B,157-1084-B,157-1097-B,157-1109-B
smelt	157-1123-B
smile	157-1137-B,157-1152-B
smirch	157-1169-B,157-1181-B,157-1193-B
smite	157-1205-B
smith	157-1217-B,157-1233-B
smock	157-1244-B,157-1260-B,157-1270-B
smoke	157-1281-B,157-1292-B,157-1304-B,157-1315-B
smokestack	157-1328-B,157-1350-B
smooth	157-1373-B,157-1386-B,157-1401-B,157-1414-B,157-1429-B,157-1443-B,157-1455-B,157-1467-B,157-1480-B,157-1492-B,157-1504-B
smoothly	157-1517-B,157-1531-B
smoothness	157-1545-B
smother	157-1565-B,157-1586-B,157-1601-B,157-1617-B
smudge	157-1636-B,157-1653-B,157-1669-B,157-1687-B,157-1699-B,157-1711-B
smuggler	157-1723-B
smut	157-1743-B,157-1753-B
smutty	157-1769-B,157-1783-B,157-1795-B
snag	157-1807-B
snail	157-1825-B,157-1843-B
snake	157-1854-B
snap	157-1866-B,157-1877-B
snappy	157-1893-B
snare	157-1908-B,157-1919-B,157-1931-B,157-1941-B
snarl	157-1956-B
snatch	157-1969-B,157-1983-B,157-1996-B,157-2010-B,157-2024-B
sneak	157-2036-B
sneer	157-2049-B,157-2067-B,157-2084-B
sneeze	157-2098-B,157-2110-B,157-2124-B,157-2138-B
snick	157-2154-B,157-2165-B,157-2176-B
sniff	157-2190-B
snip	157-2203-B,157-2216-B
snipe	157-2228-B
snippet	157-2239-B
snob	157-2255-B
snore	157-2265-B,157-2279-B,157-2293-B,157-2306-B,157-2320-B
snout	157-2334-B,157-2344-B
snow	157-2356-B,157-2368-B
snowball	157-2382-B
snowflake	157-2401-B
snub	157-2422-B
snug	157-2433-B,157-2447-B,157-2457-B
so	157-2475-B,157-2484-B,157-2494-B,157-2506-B,157-2517-B,157-2524-B,157-2536-B,157-2544-B,157-2551-B,157-2560-B,157-2569-B,157-2575-B,157-2586-B,157-2598-B,157-2608-B
soak	157-2615-B,157-2632-B
soap	157-2644-B,158-0-B,158-10-B
sob	158-21-B
sober	158-30-B,158-45-B,158-59-B,158-71-B,158-85-B,158-97-B,158-111-B
soberness	158-128-B
sobriety	158-148-B,158-167-B,158-186-B
sobriquet	158-207-B
soccer	158-225-B
social	158-240-B,158-263-B
socialism	158-278-B
socialist	158-299-B
socially	158-319-B,158-344-B
society	158-361-B,158-374-B,158-394-B,158-414-B,158-433-B,158-447-B,158-461-B,158-482-B,158-502-B,158-521-B
sociologist	158-540-B
sociology	158-562-B
sock	158-583-B,158-592-B
socket	158-601-B,158-612-B
soda	158-625-B
sodium	158-635-B
sofa	158-650-B,158-663-B,158-674-B
soft	158-684-B,158-701-B,158-716-B,158-726-B,158-736-B,158-746-B,158-757-B
soften	158-767-B
softly	158-785-B,158-798-B
softness	158-810-B,158-828-B,158-846-B
soil	158-865-B,158-876-B,158-891-B,158-906-B,158-920-B,158-936-B,158-947-B,158-957-B,158-968-B,158-978-B,158-994-B,158-1007-B,158-1027-B,158-1040-B
soiled	158-1055-B,158-1069-B,158-1083-B,158-1097-B,158-1109-B
sojourn	158-1121-B,158-1139-B
solace	158-1157-B,158-1171-B,158-1187-B,158-1206-B
solder	158-1226-B
soldier	158-1242-B
sole	158-1258-B,158-1270-B,158-1279-B,158-1289-B,158-1300-B,158-1312-B,158-1322-B,158-1339-B,158-1353-B,158-1367-B
solecism	158-1377-B
solely	158-1396-B,158-1410-B,158-1422-B,158-1436-B,158-1448-B,158-1463-B
solemn	158-1482-B,158-1497-B,158-1513-B,158-1533-B
solemnity	158-1547-B
solemnly	158-1570-B,158-1586-B,158-1604-B,158-1626-B
solicit	158-1642-B,158-1660-B
solicitor	158-1675-B
solicitous	158-1694-B,158-1715-B
solicitously	158-1734-B
solicitude	158-1755-B,158-1778-B,158-1796-B
solid	158-1812-B,158-1826-B,158-1841-B,158-1858-B,158-1870-B,158-1884-B,158-1896-B,158-1910-B,158-1924-B,158-1937-B,158-1950-B
solidarity	158-1961-B,158-1988-B,158-2013-B
solidity	158-2037-B,158-2057-B
soliloquy	158-2077-B,158-2100-B
solitary	158-2119-B,158-2140-B,158-2156-B,158-2173-B,158-2187-B,158-2202-B,158-2222-B,158-2238-B
soloist	158-2256-B
solution	158-2271-B,158-2290-B
solve	158-2308-B,158-2327-B
solvent	158-2342-B
somber	158-2358-B,158-2372-B,158-2391-B,158-2410-B,158-2424-B
sombre	158-2440-B,158-2454-B,158-2473-B,158-2492-B
some	158-2506-B,158-2516-B,158-2527-B,158-2542-B,158-2554-B,158-2564-B,158-2575-B,158-2589-B,158-2602-B,158-2611-B
somebody	158-2622-B,158-2636-B
someone	158-2652-B,158-2665-B
someplace	158-2680-B
something	158-2697-B,158-2712-B
sometime	158-2726-B,158-2743-B,158-2757-B,158-2771-B,158-2785-B,158-2804-B
sometimes	158-2821-B,158-2841-B,158-2856-B
somewhat	158-2875-B,158-2894-B,158-2908-B,158-2923-B,158-2941-B
somewhere	158-2954-B,158-2971-B
son	158-2994-B
son in law	158-3003-B
sonata	158-3025-B
song	158-3039-B,158-3052-B,158-3064-B,158-3074-B
songbird	158-3084-B
songster	159-0-B
sonnet	159-16-B
sonorous	159-30-B,159-46-B,159-65-B
soon	159-86-B,159-97-B,159-106-B,159-116-B,159-127-B,159-140-B,159-150-B,159-161-B,159-173-B
sooner	159-187-B,159-201-B
soot	159-216-B
sooth	159-226-B
soothe	159-241-B,159-256-B,159-277-B,159-293-B,159-308-B
sop	159-322-B
sophisticate	159-333-B
soprano	159-356-B
sorcerer	159-372-B,159-399-B
sordid	159-417-B,159-431-B,159-443-B,159-457-B,159-469-B,159-481-B
sore	159-493-B,159-503-B,159-512-B,159-522-B,159-533-B
sorely	159-544-B,159-561-B
sorrel	159-573-B
sorrow	159-587-B,159-607-B,159-624-B,159-636-B,159-649-B
sorrowful	159-668-B,159-686-B,159-704-B
sorrowfully	159-725-B,159-745-B
sorry	159-765-B,159-780-B,159-794-B,159-809-B
sort	159-823-B,159-833-B,159-846-B,159-860-B,159-870-B
soubriquet	159-881-B
sough	159-900-B
soul	159-914-B,159-925-B,159-937-B
sound	159-947-B,159-962-B,159-974-B,159-985-B,159-998-B,159-1012-B,159-1025-B,159-1037-B,159-1051-B,159-1065-B,159-1080-B,159-1093-B,159-1108-B,159-1120-B,159-1133-B,159-1144-B
soundless	159-1155-B
soundly	159-1176-B
soundness	159-1191-B,159-1212-B
soup	159-1233-B
sour	159-1243-B,159-1261-B
source	159-1271-B,159-1283-B,159-1295-B,159-1312-B,159-1323-B
sourness	159-1337-B
souse	159-1355-B
south	159-1366-B,159-1382-B,159-1395-B
southerly	159-1412-B,159-1432-B
southern	159-1453-B
southward	159-1472-B
southwards	159-1493-B
souvenir	159-1515-B,159-1534-B,159-1555-B,159-1578-B,159-1599-B
sovereign	159-1617-B,159-1637-B,159-1655-B,159-1678-B,159-1698-B,159-1718-B
sovereignty	159-1734-B,159-1757-B
sow	159-1784-B,159-1797-B,159-1805-B,159-1816-B
sowing	159-1825-B
sozzled	159-1839-B
spa	159-1855-B
space	159-1869-B,159-1883-B,159-1896-B,159-1909-B,159-1922-B,159-1935-B,159-1949-B
spacious	159-1966-B,159-1987-B,159-2002-B,159-2018-B,159-2032-B,159-2052-B
spade	159-2073-B,159-2085-B,159-2095-B,159-2107-B
spain	2-232-B
spall	159-2119-B
span	159-2134-B,159-2146-B,159-2161-B
spaniard	2-245-B
spanish	2-264-B
spank	159-2171-B,159-2188-B
spanner	159-2202-B,159-2222-B
spar	159-2245-B,159-2257-B
spare	159-2268-B,159-2283-B,159-2300-B,159-2312-B,159-2326-B,159-2340-B,159-2353-B,159-2369-B,159-2385-B,159-2403-B
sparing	159-2416-B,159-2434-B
spark	159-2449-B,159-2462-B
sparkle	159-2473-B,159-2490-B,159-2506-B
sparrow	159-2525-B
sparse	159-2537-B,159-2548-B
spasm	159-2563-B
spat	159-2575-B
spate	159-2589-B,159-2604-B
spawn	159-2616-B,159-2631-B,159-2648-B,159-2659-B,159-2679-B,159-2692-B,159-2706-B
speak	159-2725-B,159-2738-B,159-2752-B,159-2769-B
speaker	159-2782-B
spear	159-2798-B,159-2815-B,159-2826-B,159-2837-B,159-2849-B,159-2861-B,159-2874-B
spec	159-2887-B
special	159-2905-B,159-2925-B,159-2946-B,159-2960-B,159-2978-B,160-0-B,160-12-B
specialist	160-29-B
speciality	160-47-B,160-67-B,160-86-B,160-101-B
specially	160-116-B,160-132-B,160-152-B,160-168-B,160-191-B,160-210-B
specialty	160-227-B,160-246-B,160-264-B,160-278-B
species	160-292-B
specific	160-306-B,160-323-B
specification	160-342-B
specify	160-369-B
specimen	160-390-B,160-409-B,160-426-B,160-441-B,160-460-B,160-478-B,160-493-B,160-511-B
spectacle	160-530-B,160-549-B,160-570-B,160-590-B
spectacles	160-610-B
spectacular	160-626-B
spectator	160-648-B,160-669-B,160-686-B
spectre	160-708-B,160-722-B
spectrum	160-738-B
speculate	160-756-B
speculation	160-777-B
speculative	160-800-B,160-825-B
speculum	160-849-B
speech	160-866-B,160-880-B,160-892-B,160-911-B,160-925-B,160-939-B,160-958-B,160-973-B,160-985-B
speechless	160-1002-B,160-1024-B
speed	160-1040-B,160-1056-B,160-1070-B,160-1085-B,160-1097-B,160-1109-B,160-1121-B,160-1135-B,160-1153-B
speedily	160-1168-B,160-1182-B
speedy	160-1199-B,160-1211-B,160-1226-B,160-1241-B,160-1253-B,160-1268-B
spell	160-1280-B,160-1290-B,160-1309-B,160-1325-B,160-1342-B,160-1356-B
spelling	160-1370-B
spend	160-1388-B,160-1403-B,160-1419-B,160-1437-B,160-1454-B
spending	160-1469-B
sperm	160-1488-B,160-1501-B
spermaceti	160-1512-B
spew	160-1534-B,160-1546-B
sphere	160-1558-B,160-1569-B,160-1580-B,160-1594-B,160-1607-B,160-1620-B,160-1636-B,160-1650-B
spheric	160-1663-B,160-1679-B
spherical	160-1697-B,160-1715-B
sphincter	160-1735-B
sphinx	160-1756-B
spice	160-1769-B,160-1780-B,160-1792-B,160-1806-B,160-1822-B
spicy	160-1837-B
spider	160-1850-B,160-1862-B
spike	160-1879-B,160-1889-B,160-1901-B,160-1912-B
spiky	160-1925-B
spill	160-1938-B,160-1951-B,160-1965-B,160-1979-B,160-1995-B
spin	160-2013-B
spinach	160-2026-B
spindle	160-2043-B,160-2056-B
spindly	160-2070-B
spine	160-2087-B,160-2099-B,160-2109-B,160-2126-B,160-2137-B,160-2150-B
spiral	160-2168-B,160-2189-B,160-2204-B
spirit	160-2225-B,160-2238-B,160-2252-B
spirited	160-2264-B
spiritism	160-2282-B
spiritist	160-2303-B
spirits	160-2323-B,160-2339-B
spiritual	160-2353-B,160-2374-B
spiritualism	160-2398-B,160-2422-B
spiritualist	160-2449-B
spit	160-2472-B,160-2488-B,160-2502-B,160-2516-B,160-2528-B,160-2539-B
spite	160-2551-B,160-2572-B,160-2586-B
spiteful	160-2608-B
spittle	160-2629-B,160-2646-B
spittoon	160-2660-B,160-2680-B,160-2698-B
spitz	160-2715-B,160-2730-B
splash	160-2742-B,160-2758-B,160-2775-B,160-2790-B,160-2805-B,160-2818-B
spleen	160-2833-B,160-2845-B
splendid	160-2868-B,160-2884-B,160-2902-B,160-2923-B
splendor	160-2943-B
splendour	160-2959-B,160-2975-B
splice	160-2992-B,160-3009-B
splinter	160-3027-B,160-3043-B,160-3061-B,160-3081-B
split	160-3104-B,160-3118-B,160-3130-B,160-3148-B,160-3162-B,160-3174-B,160-3187-B,160-3200-B,160-3215-B,160-3230-B
splodge	161-0-B
splotchy	161-13-B
spoil	161-27-B,161-42-B,161-60-B,161-71-B,161-85-B,161-99-B,161-114-B,161-130-B,161-147-B,161-164-B
spoiled	161-180-B
spoke	161-197-B
spoliation	161-209-B
sponge	161-231-B,161-248-B,161-265-B
sponger	161-278-B
sponsion	161-296-B
sponsor	161-318-B
spontaneous	161-331-B,161-353-B
spook	161-374-B,161-386-B
spool	161-398-B,161-411-B,161-422-B
spoon	161-434-B,161-449-B
spoonful	161-461-B
spoor	161-476-B
sporadic	161-488-B,161-508-B,161-528-B
sport	161-547-B,161-558-B
sportive	161-570-B
sports	161-587-B
sportsman	161-600-B
sportsmanlike	161-619-B
spot	161-642-B,161-657-B,161-672-B,161-688-B,161-698-B,161-708-B,161-724-B,161-734-B,161-743-B,161-752-B,161-762-B,161-774-B,161-784-B,161-794-B,161-806-B,161-816-B,161-829-B,161-842-B,161-852-B,161-862-B,161-875-B
spotted	161-886-B
spouse	161-899-B,161-917-B,161-935-B,161-947-B,161-961-B
spout	161-972-B,161-986-B
sprat	161-997-B
spray	161-1009-B,161-1024-B,161-1039-B,161-1053-B
spread	161-1070-B,161-1085-B,161-1101-B,161-1119-B,161-1133-B,161-1147-B,161-1161-B,161-1184-B,161-1202-B,161-1221-B
spreading	161-1241-B
sprightly	161-1264-B
spring	161-1283-B,161-1300-B,161-1312-B,161-1332-B,161-1344-B,161-1357-B,161-1373-B,161-1388-B,161-1404-B,161-1422-B,161-1436-B,161-1448-B,161-1464-B,161-1482-B,161-1493-B
springiness	161-1507-B,161-1532-B
springtime	161-1555-B,161-1572-B
springy	161-1592-B,161-1610-B
sprinkle	161-1631-B,161-1650-B,161-1672-B,161-1692-B,161-1712-B
sprite	161-1730-B,161-1741-B
sprout	161-1757-B
spruce	161-1771-B,161-1783-B
spry	161-1795-B,161-1805-B
spud	161-1817-B
spume	161-1829-B
spur	161-1842-B,161-1857-B,161-1870-B
spurt	161-1881-B,161-1897-B,161-1911-B,161-1924-B,161-1938-B
spy	161-1955-B,161-1968-B,161-1982-B,161-1996-B,161-2012-B,161-2024-B,161-2034-B,161-2048-B,161-2063-B
spyglass	161-2078-B
squabble	161-2099-B,161-2117-B
squadron	161-2132-B,161-2149-B,161-2167-B,161-2182-B
squalid	161-2200-B,161-2215-B,161-2228-B,161-2243-B,161-2256-B
squall	161-2269-B
squander	161-2287-B,161-2304-B,161-2324-B,161-2343-B
square	161-2363-B,161-2377-B,161-2390-B,161-2405-B,161-2422-B,161-2444-B,161-2457-B,161-2471-B,161-2484-B,161-2503-B,161-2517-B,161-2528-B
squarely	161-2546-B,161-2563-B
squash	161-2578-B,161-2593-B
squashy	161-2608-B,161-2621-B
squat	161-2635-B
squeak	161-2648-B
squeal	161-2662-B,161-2676-B
squeamish	161-2694-B
squeeze	161-2711-B,161-2727-B,161-2740-B,161-2756-B,161-2770-B,161-2786-B,161-2802-B,161-2817-B,161-2833-B
squelch	161-2849-B
squid	161-2870-B
squint	161-2884-B,161-2899-B
squint eyed	161-2917-B
squirrel	161-2936-B
squirt	161-2954-B,161-2970-B,161-2985-B,161-2999-B,161-3017-B
stab	161-3035-B,162-0-B,162-12-B,162-24-B,162-37-B,162-50-B,162-61-B,162-73-B
stable	162-84-B,162-101-B,162-118-B,162-131-B,162-146-B,162-158-B,162-177-B,162-191-B
stack	162-203-B,162-219-B,162-230-B,162-242-B,162-260-B
stadium	162-273-B,162-288-B,162-316-B,162-331-B,162-347-B
staff	162-363-B,162-379-B,162-390-B
stag	162-401-B
stage	162-411-B,162-424-B,162-435-B,162-450-B,162-462-B,162-474-B,162-489-B,162-502-B,162-523-B,162-536-B,162-550-B,162-563-B,162-577-B,162-590-B,162-601-B
stagger	162-615-B
stagnate	162-632-B
stagnation	162-651-B
staid	162-672-B,162-686-B,162-700-B,162-714-B
stain	162-728-B,162-744-B,162-760-B,162-777-B,162-791-B,162-802-B,162-813-B,162-827-B,162-840-B,162-851-B
stair	162-865-B,162-878-B,162-893-B,162-904-B,162-916-B,162-927-B
staircase	162-943-B,162-960-B
stairs	162-975-B,162-989-B
stairway	162-1001-B
stake	162-1015-B,162-1029-B,162-1047-B,162-1062-B,162-1076-B,162-1091-B,162-1102-B,162-1113-B,162-1125-B
stalactite	162-1137-B,162-1159-B
stalagmite	162-1181-B,162-1203-B
stale	162-1225-B,162-1239-B,162-1250-B,162-1260-B,162-1270-B
stalk	162-1286-B,162-1297-B,162-1309-B,162-1321-B,162-1334-B,162-1348-B,162-1360-B,162-1374-B
stall	162-1387-B,162-1399-B,162-1410-B
stallion	162-1426-B
stalwart	162-1442-B,162-1459-B
stammer	162-1477-B,162-1494-B,162-1511-B
stamp	162-1529-B,162-1545-B,162-1561-B,162-1581-B,162-1597-B,162-1608-B,162-1624-B,162-1636-B,162-1650-B,162-1664-B
stance	162-1680-B,162-1695-B
stanchion	162-1708-B,162-1727-B,162-1742-B,162-1757-B,162-1773-B
stand	162-1788-B,162-1804-B,162-1817-B,162-1830-B,162-1841-B,162-1853-B,162-1866-B,162-1878-B,162-1893-B,162-1906-B,162-1920-B,162-1933-B,162-1945-B,162-1961-B,162-1973-B,162-1988-B,162-2004-B,162-2015-B,162-2029-B,162-2044-B,162-2056-B,162-2072-B
standard	162-2085-B,162-2101-B,162-2118-B,162-2136-B,162-2153-B,162-2172-B,162-2189-B,162-2208-B,162-2224-B
standing	162-2240-B,162-2257-B,162-2275-B,162-2289-B,162-2306-B,162-2320-B,162-2339-B
standpoint	162-2353-B
standstill	162-2374-B
stanza	162-2395-B,162-2410-B,162-2424-B
staple	162-2438-B,162-2452-B,162-2465-B,162-2478-B
star	162-2492-B,162-2506-B,162-2521-B,162-2531-B
starboard	162-2546-B
starch	162-2567-B
stare	162-2582-B,162-2598-B,162-2611-B
stark	162-2623-B,162-2636-B,162-2647-B,162-2660-B
starlet	162-2672-B
starling	162-2690-B
start	162-2707-B,162-2723-B,162-2739-B,162-2752-B,162-2766-B,162-2782-B,162-2798-B,162-2810-B,162-2822-B,162-2837-B,162-2850-B,162-2864-B,162-2879-B,162-2897-B,163-0-B
starter	163-15-B,163-40-B
starving	163-56-B
stash	163-74-B
state	163-90-B,163-105-B,163-120-B,163-134-B,163-152-B,163-171-B,163-189-B,163-203-B,163-219-B,163-233-B,163-245-B,163-256-B,163-271-B,163-283-B,163-295-B,163-310-B,163-329-B,163-345-B
stated	163-362-B,163-377-B
stately	163-389-B
statement	163-404-B,163-423-B,163-443-B,163-462-B,163-483-B,163-503-B
static	163-524-B,163-539-B
statics	163-555-B,163-578-B
station	163-594-B,163-608-B,163-623-B,163-636-B,163-649-B,163-663-B,163-678-B,163-694-B
stationary	163-717-B
stationmaster	163-733-B
statistic	163-760-B
