kwiteren	138-1465-B
liggen	20-1127-B,99-1189-B,138-2728-B,162-1853-B
lijdzaamheid	60-754-B,121-899-B
lijf	23-2892-B
lijfeigenschap	24-843-B,151-2046-B,151-2090-B
lijfspreuk	109-1436-B,187-1882-B
lijk	28-1413-B,29-2910-B,29-2969-B
lijken	142-837-B
lijken op	142-853-B
lijkschouwing	17-2774-B,111-2316-B
lijm	77-2055-B,99-2738-B
lijn	42-342-B,145-1348-B
lijntje	42-352-B,145-1358-B,165-3070-B
lijst	28-1557-B,72-3293-B
lijster	174-1384-B,174-1745-B
lijvig	24-318-B,27-951-B,67-381-B,173-2400-B
lik	56-910-B,56-1360-B
likdoorn	42-661-B
likeur	42-429-B,100-763-B
likken	97-1017-B,99-1099-B
lila	99-2629-B
limiet	47-345-B
limoen	99-2748-B
limonade	98-2483-B
linde	99-2760-B,100-42-B
lindeboom	99-2771-B,100-55-B
liniaal	146-1236-B,146-1344-B,165-257-B
linie	100-184-B
link	46-1927-B
links	98-1958-B
linnen	29-1478-B,100-471-B
linnengoed	100-484-B
lint	19-210-B,143-3223-B,165-1250-B,165-3085-B,171-941-B
lintworm	171-1060-B
linze	98-2763-B
lip	100-730-B
liquideren	100-879-B
lis	70-216-B,93-3077-B
lispelen	100-1003-B
list	15-568-B,41-1930-B,51-515-B,55-0-B,80-2346-B,146-2263-B,153-1800-B,165-1298-B,167-1321-B,178-1749-B,189-2045-B
listig	15-166-B,15-199-B,35-837-B,43-2270-B,43-2312-B,45-1464-B,121-2054-B,157-393-B,157-723-B,178-1886-B,186-1086-B
litanie	100-1282-B
liter	100-1297-B,100-1646-B
literair	100-1390-B
literatuur	100-1450-B
lithium	100-1557-B
litouwen	1-2482-B
litteken	148-2273-B,149-3126-B
litterair	100-1408-B
litteratuur	100-1472-B
liturgie	100-1806-B
live	52-945-B,165-97-B
livrei	100-2074-B
locomotief	60-1530-B,101-191-B,101-207-B
loden	98-582-B,98-684-B
loeder	145-511-B,149-1319-B
loeien	21-1219-B,86-1545-B,144-2649-B
loensen	161-2884-B
lof	33-670-B,37-1752-B,66-1356-B,77-1649-B,129-1190-B,141-341-B
logaritme	101-463-B,101-489-B
loge	25-805-B,80-1996-B,101-308-B
logement	86-905-B,91-1546-B
logen	187-1273-B
logica	101-509-B
logies	2-3217-B,4-2282-B,57-852-B,101-351-B,142-1130-B
logisch	40-1401-B,101-541-B
lok	45-2165-B,101-50-B
lokaal	31-3155-B,100-2761-B,100-2850-B,125-2291-B,145-1165-B
lokaas	18-2155-B,47-3146-B,102-966-B
lokaliseren	100-2792-B,100-2829-B
lokaliteit	100-2986-B,125-2304-B,161-708-B
loket	42-2871-B,189-2781-B
lokken	10-1609-B,17-201-B,18-2167-B,47-3159-B,61-622-B,102-978-B,172-755-B
lomp	23-2301-B,24-1621-B,36-420-B,43-2724-B,44-2909-B,80-136-B,82-1329-B,88-2892-B,136-1422-B,146-788-B,171-1661-B,180-2866-B
lonen	140-3502-B,141-822-B,143-2708-B
long	102-942-B
longontsteking	127-560-B
longtering	40-3275-B,124-1454-B
lont	189-1363-B
loochenen	2-2896-B,49-2469-B,111-2770-B
lood	98-593-B
loodglans	74-2520-B
loodrecht	61-3345-B,113-485-B,123-1495-B,127-50-B,153-1023-B,161-2405-B,184-2197-B
loods	19-1764-B,19-1989-B,86-1325-B,125-375-B,152-1428-B,152-2378-B,153-761-B,162-1866-B
loodsen	82-2832-B,125-387-B,163-1928-B
loog	98-461-B,102-1646-B
loogzout	10-578-B
looien	171-374-B
looistof	171-743-B
looizuur	171-759-B
look	75-1217-B
loom	56-2673-B,90-2473-B,97-835-B,97-918-B,98-409-B,99-68-B,156-927-B,176-1488-B
loon	67-2473-B,105-1881-B,121-2162-B,121-2382-B,143-2721-B,147-1319-B,186-1362-B,186-1488-B
loop	19-2073-B,32-661-B,43-437-B,45-2352-B,70-1395-B,70-2264-B,71-139-B,74-2474-B,83-1322-B,103-3444-B,125-1139-B,136-644-B,146-1776-B,146-2096-B,165-1593-B,172-1876-B,179-1518-B,186-2339-B
loopbaan	29-3175-B
loopbrug	75-514-B
loopgraaf	54-1828-B,178-1066-B
loopplank	75-428-B,75-531-B
loos	59-2270-B,66-1078-B,186-223-B
loot	98-318-B,115-2310-B
lopen	70-2274-B,77-2400-B,99-3023-S,99-3042-S,103-3455-B,118-2841-B,146-1785-B,162-1297-B,163-2283-B,165-2513-B,166-477-B,178-343-B,186-2349-B,186-2522-B
loper	22-1931-B,30-818-B,43-356-B,146-2083-B
lor	136-1431-B
lord	101-1353-B
lork	97-1290-B
lorkeboom	97-1301-B
los	12-2739-B,50-2695-B,67-96-B,73-787-B,98-142-B,101-1143-B,101-1190-B,102-1688-B,108-463-B,120-1813-B,151-1286-B,156-938-B,160-0-B
losbandig	53-3632-B,53-3653-B,67-105-B,136-2285-B
losbarsten	27-2377-B,64-3558-B
losbol	99-781-B,132-199-B,145-1882-B
losbranden	69-1349-B
losbreken	25-2406-B
loslaten	10-1376-B,98-1542-B,99-0-B,101-1153-B,140-1409-B
losmaken	140-1426-B
lossen	52-2542-B,181-2898-B
lot	50-2414-B,55-738-B,67-560-B,72-1730-B,101-1657-B,174-2417-B
loten	55-2482-B,136-1318-B
loterij	101-1712-B,136-1331-B
lotgeval	7-2943-B,64-2371-B
lotharingen	1-2501-B
loting	55-2493-B
lotsbestemming	50-2426-B,67-569-B
louter	10-2031-B,106-708-B,106-779-B,110-2479-B,116-577-B,134-998-B,153-1039-B,158-1300-B,158-1422-B,158-2222-B,162-2647-B
louteren	34-2243-B,134-1181-B,139-1394-B
louwmaand	1-2325-B
loven	23-805-B,31-1086-B,37-1698-B,62-2320-B,77-1403-B,97-2363-B,129-1201-B
loyaal	66-639-B,102-0-B
lucht	9-2032-B,16-1916-B,23-2078-B,26-0-B,59-2309-B,83-1601-B,115-1019-B,115-1136-B,148-2724-B,156-774-B,157-1034-B,189-2662-B
luchtballon	18-2759-B
luchtdicht	9-2476-B,84-574-B,84-616-B,84-662-B
luchten	9-2042-B,184-1034-B,184-1086-B
luchter	29-775-B,32-284-B,122-1386-B
luchtgeest	58-3202-B
luchthaven	7-3787-B,9-2173-B,9-2232-B,9-2381-B
luchtig	70-1476-B,73-1302-B,75-2226-B,98-1022-B,138-1767-B,156-1712-B,173-2597-B
luchtje	115-1030-B,115-1148-B,148-2736-B,157-1046-B
luchtpijp	177-451-B,190-15-B
luchtschip	9-2437-B,52-1465-B
luchtspiegeling	107-1380-B
luchtvaart	8-103-B,17-3588-B
luchtverversing	184-1180-B
lucifer	1-2522-B,1-3235-B,104-1942-B,184-2661-B
lui	66-189-B,87-1982-B,98-419-B,122-1914-B,140-2847-B,156-2828-B,156-2872-B,157-151-B,190-2821-B
luiaard	156-2784-B
luid	10-2155-B,101-1784-B,101-1867-B
luiden	33-1099-B,121-2928-B,137-2387-B,144-1482-B,159-1080-B,176-191-B
luidruchtig	101-1794-B,112-2771-B,146-0-B,182-1945-B
luifel	18-797-B
luiheid	87-2031-B,98-392-B,156-2798-B
luik	82-1690-B,128-901-B,154-1802-B,156-819-B
luipaard	98-2776-B,119-2018-B
luis	101-1959-B
luister	57-2539-B,127-2375-B,163-189-B
luisteraar	100-1223-B
luisteren	82-591-B,82-606-B,83-716-B,83-792-B,100-1170-B
luit	102-1485-B
luitenant	99-1253-B
luizig	91-3136-B,178-2030-B
lul	23-1293-B
lumineus	26-1229-B,26-1549-B
lunch	102-874-B,102-905-B,174-2866-B
luns	125-2062-B
lupine	102-952-B
lurken	167-2159-B
lus	101-1083-B,113-378-B,156-2136-B,165-1261-B
lust	13-914-B,13-929-B,48-3479-B,50-1471-B,89-1862-B,102-1208-B,107-294-B,120-3226-B,164-1782-B,172-1193-B,187-331-B,190-497-B
lusteloos	12-2806-B,12-2929-B,56-2683-B,97-848-B,100-1263-B
lusteloosheid	12-3025-B
lustig	33-31-B,75-2380-B,106-972-B,107-1531-B
lutheraan	102-1495-B
luttel	52-287-B,100-1767-B,157-593-B
lux	102-1574-B
luxe	102-1585-B
luxueus	102-1514-B
lynchen	102-1674-B
lynx	102-1697-B
lyriek	102-1759-B
lyrisch	102-1717-B,102-1743-B
m n	110-1899-B
ma	108-1775-B,108-1971-B,109-817-B
maag	164-1795-B
maagbrand	83-980-B
maagd	102-3052-B,102-3085-B,185-2020-B
maagdelijk	102-3098-B,102-3116-B,185-2033-B,185-2079-B
maagdenpalm	123-917-B
maagzuur	83-1000-B
maaien	109-2828-B,149-2864-B
maal	67-2531-B,105-295-B,141-794-B
maalstroom	58-15-B,102-2343-B,189-208-B,189-272-B
maaltijd	105-305-B,141-806-B
maan	108-2916-B
maand	108-2765-B
maandag	1-2634-B
maandelijks	108-2777-B
maanziek	108-2942-B
maar	28-196-B,63-2815-B,86-1455-B,95-1546-B,106-720-B,112-718-B,116-589-B,158-1436-B,174-493-B,192-0-B
maarschalk	104-804-B
maart	1-2555-B
maas	101-1092-B
maat	27-148-B,33-2581-B,37-3502-B,38-2950-B,67-2921-B,75-2178-B,104-2052-B,105-953-B,105-1178-B,119-985-B,120-2494-B,143-3110-B,170-2305-B,175-628-B
maatregel	14-2559-B
maatschappelijk	158-240-B,158-319-B
maatschappij	16-141-B,37-3737-B,158-461-B
maatstaf	44-1631-B,105-966-B,162-2118-B
macaroni	102-1813-B
machine	60-1548-B,102-1933-B
machinerieen	102-1965-B
macht	2-2456-B,41-2214-B,45-718-S,71-2256-B,79-2753-B,85-712-B,106-2725-B,106-2752-B,128-3091-B,129-556-B,165-1740-B,185-1032-B
machtig	106-2769-B,129-645-B,129-697-B
machtigen	17-1899-B,17-2048-B,59-2121-B
madeliefje	46-1220-B
maffen	156-1563-B
magazijn	119-2127-B
mager	75-2240-B,97-950-B,98-1035-B,105-132-B,105-241-B,156-535-B,159-2300-B,173-2610-B
magie	102-2451-B
magisch	102-2463-B,102-2526-B
magnaat	102-2655-B
magneet	101-247-B,102-2691-B
magnesium	102-2671-B
magnetisch	102-2706-B
magnetiseren	102-2747-B
magnetisme	102-2726-B
magnifiek	101-2282-B
mais	42-675-B,103-451-B
majesteit	63-1621-B,103-598-B
majestueus	103-463-B,103-539-B
majoor	103-668-B
mak	114-1134-B,171-285-B
make up	103-985-B
makelaar	26-2224-B
maken	2-920-S,5-1918-B,5-2980-S,6-45-B,18-239-S,23-2285-S,31-79-B,38-1834-S,38-2011-B,44-365-B,49-2040-S,54-3049-B,65-2948-B,69-2856-B,73-1894-S,76-1611-S,76-1693-B,87-0-S,87-32-S,103-843-B,103-3123-B,114-3051-S,122-3049-B,133-3008-S,136-2171-S,141-672-B,145-2352-S,146-2416-S,149-1114-B,152-2157-S,170-2512-S,184-2003-S,186-2240-S,188-1662-S,189-670-S,190-2731-B,191-2203-B
maken op	32-2395-S,34-1469-S,86-2881-S,88-3517-S
makkelijk	57-2319-B
makker	27-159-B,37-3517-B,38-2963-B,104-2062-B,119-994-B,154-2128-B
makreel	102-2008-B
mal	28-2229-B,71-1490-B,108-720-B,144-264-B,163-2126-B,172-410-B,172-536-B
malaria	103-1066-B
malloot	71-1312-B
mals	102-1142-B,105-2573-B,158-716-B,172-1461-B
malsheid	105-2635-B,158-810-B,172-1587-B
mam	25-2719-B,108-1782-B,108-1980-B,110-503-B
mamma	108-1790-B,108-1959-B,108-1990-B,110-511-B,110-557-B
mammie	108-1800-B,108-2002-B
mammoet	103-1557-B
man	67-2933-B,87-305-B,103-1573-B,161-961-B
mand	20-257-B,81-1589-B,119-1940-B
mandaat	103-2104-B
mandarijn	171-459-B
mandoline	103-2168-B
manen	7-1202-B
mangaan	103-2265-B
mangel	3-1952-B
mangelen	103-2322-B
mangelwortel	20-2781-B,103-2283-B
manhaftig	25-2027-B,74-2686-B,103-2246-B
manie	6-1826-B,103-2382-B
manier	66-3016-B,103-2815-B,108-666-B,166-2426-B,187-2565-B
