bourgeoisie	25-375-B
bres	25-2181-B,75-663-B
bretagne	1-885-B
bretel	169-1006-B
bretels	25-1110-B,169-1024-B
breuk	25-2193-B,25-2363-B,25-2677-B,27-2365-B,43-1933-B,67-927-B,72-2793-B,72-2934-B,84-720-B,146-2156-B,157-1866-B,160-3118-B
brevet	31-2401-B,52-662-B
brevier	26-339-B
brief	61-2485-B,99-102-B
briefje	33-1508-B,113-1001-B,186-796-B
briefkaart	128-2262-B,128-2299-B
bries	26-294-B
brievenbesteller	103-41-B,128-2403-B
brievenbus	103-10-B,128-2280-B
brigade	26-1059-B
briket	26-1827-B
bril	65-2736-B,77-592-B,160-610-B
briljant	26-1095-B,26-1511-B
broche	26-2341-B
brochure	24-1334-B,26-2179-B,98-896-B,119-1600-B,119-2446-B
broeden	26-2355-B,82-1661-B,155-2059-B
broeden op	155-2071-B
broeder	26-2512-B,73-1457-B,154-1891-B
broederschap	26-2607-B,73-472-B
broedsel	26-2369-B,82-1675-B,159-2616-B
broeierig	110-42-B,116-2556-B,168-307-B
broeikas	40-655-B,77-624-B,79-1797-B,86-1134-B
broek	104-753-B,119-2205-B,119-2217-S,169-1767-B,179-337-B,179-351-B,179-366-S
broer	26-2528-B,154-1907-B
brok	22-2042-B,72-2808-B,72-3069-B,86-2837-B,102-587-B,124-2485-B
bromfiets	108-3052-B
brommen	28-662-B,56-1201-B,86-1945-B,110-769-B,110-1552-B
bron	72-2528-B,72-2539-B,83-314-B,117-1425-B,159-1271-B,161-1300-B,188-1115-B,188-1524-B
bronchitis	26-2273-B
brons	26-2295-B
bronzen	25-2147-B,26-2308-B
brood	25-2252-B,100-2432-B
broodje	27-1302-B,145-698-B,147-2836-B
broodkruimel	45-45-B
broodmager	155-2580-B
broodwinning	131-3456-B
broom	26-2259-B
broos	25-2625-B,26-2003-B,72-3013-B,72-3197-B
brouwer	26-436-B
brouwsel	22-304-B,56-700-B
brug	26-725-B,75-484-B
bruid	26-645-B,68-1478-B
bruidegom	26-704-B,68-1430-B,79-3075-B
bruidsschat	55-1630-B
bruikbaar	69-2435-B,167-3470-B
bruikbaarheid	182-2807-B,182-3058-B,183-209-B
bruiloft	26-629-B,114-191-B,188-425-B
bruin	26-2662-B
bruin worden	26-2674-B
bruinen	26-2693-B,171-347-B
bruineren	26-2707-B
bruinkool	99-2214-B
brullen	20-886-B,21-1190-B,86-1518-B,144-2609-B,191-2729-B
brussel	1-903-B
brutaal	17-552-B,17-648-B,24-247-B,25-1855-B,46-2027-B,72-1806-B,88-2172-B,91-3285-B,93-1291-B,123-957-B,146-744-B,148-748-B
bruusk	3-1579-B,3-1663-B,26-2843-B
bruut	26-2937-B,82-1247-B
budget	27-219-B
buffel	27-251-B
buffer	27-282-B
buffet	27-340-B,154-2111-B
bui	29-2067-B,188-2715-B
buigbaar	70-1242-B
buigen	21-1781-B,25-482-B,44-1868-B,45-2800-B,47-2465-B,48-2006-B,70-1230-B,89-1915-B,90-3631-B
buiging	21-1793-B,25-493-B,44-1881-B,90-3664-B,90-3727-B,114-1200-B,143-1575-B
buigzaam	56-2425-B,70-1260-B,100-1017-B,100-1046-B,100-1495-B,100-1522-B,126-2615-B,126-2649-B,168-1872-B
buik	2-1391-B,21-1251-B,27-841-B,121-1611-B,164-1769-B,179-1980-B,184-1074-B
buikloop	51-1786-B
buikvlies	123-882-B
buil	27-852-B,27-1183-B,102-597-B
buis	19-2035-B,32-603-B,56-2403-B,94-690-B,94-1509-B,125-1080-B,179-1496-B,179-1613-B
buit	5-3123-B,18-1983-B,24-1786-B,30-2561-B,101-1202-B,127-236-B,130-3255-B,131-1357-B,161-60-B,169-1672-B
buit maken	5-2980-B,76-1611-B,114-3051-B
buiten	3-1330-B,21-2718-B,21-2795-B,22-522-B,63-1787-B,72-1177-B,117-2744-B,117-3092-B,117-3107-B,118-783-B,118-1165-B,185-1223-B,190-1223-B
buitendien	21-2810-B,109-176-B
buitengewoon	63-1498-B,63-1521-B,63-1926-B,63-1951-B,63-2143-B,65-2266-B,65-2295-B,118-1051-B
buitenkansje	102-155-B
buitenkant	65-1513-B,118-798-B,118-901-B,123-649-B
buitenlander	10-157-B,71-2898-B,118-41-B
buitenlands	10-176-B,65-1615-B,71-2829-B,165-946-B
buitensporigheid	63-1997-B,65-2322-B,144-1611-B
buitenverblijf	185-1236-B
buitmaken	101-1212-B,127-249-B,144-2757-B
bukken	21-1806-B
bul	27-964-B,52-677-B
bulderen	24-1472-B,86-1531-B,144-2622-B,174-1982-B
buldog	104-1864-B
bulgaar	1-920-B
bulgaars	1-938-B
bulken	20-899-B,21-1205-B
bulldozer	27-984-B,55-1717-B
bulletin	27-1017-B
bult	24-2363-B,27-1193-B,76-2085-B,86-2582-B,86-2608-B,86-2702-B
bultenaar	86-2622-B,86-2726-B
bumper	27-296-B
bundel	27-1324-B,27-1408-B,36-82-B,36-2141-B,66-12-B,153-515-B,179-933-B
bunzing	69-2554-B,127-1452-B
burcht	30-2050-B
bureau	8-2831-B,27-1853-B,115-1851-B
bureel	27-1867-B,115-1865-B
burgemeester	104-3049-B,133-2034-B
burger	27-1906-B,34-1125-B,37-2671-B,73-902-B
burgerlijk	25-354-B,34-1232-B,34-1263-B,34-1293-B
burgervader	104-3068-B,133-2055-B
bus	17-2156-B,25-700-B,27-2541-B,36-214-B,56-1823-B,86-1592-B,103-29-B,109-1275-B,116-16-B
buskruit	80-2870-B,129-394-B
buste	28-80-B
buurt	54-1437-B,111-3186-B,135-686-B,185-225-B
buurtschap	81-1441-B
byte	28-1002-B
cabine	28-1092-B
cabriolet	41-3291-B
cacao	28-1299-B,36-853-B
cachet	28-1311-B,149-3011-B
cachot	31-1377-B
cactus	28-1340-B
cadans	28-1426-B,28-1455-B
cadeau	76-2192-B,130-887-B
cadeau geven	55-608-B,76-2941-B
cadet	28-1484-B
cadmium	28-1529-B
cafe	28-1685-B
cake	28-1793-B
calcium	28-1878-B
calculeren	28-1914-B,42-2654-B,68-2439-B
caleidoscoop	95-1951-B
calorie	29-167-B
camee	29-278-B
camelia	29-261-B
camera	29-290-B
campagne	29-472-B,56-946-B
camping	29-524-B
canada	1-975-B
canadees	1-989-B
canaille	136-337-B,144-339-B
canape	42-2402-B,158-650-B
candela	29-939-B
canon	29-1211-B,29-1288-B
capabel	2-2748-B,29-1652-B
capitool	29-1995-B
capituleren	29-2012-B,169-500-B
capsule	29-2190-B
captain	29-2280-B
capuchon	43-1623-B,85-2029-B
caramboleren	29-1224-B
carburateur	29-2850-B
carillon	30-558-B,33-1205-B
carnaval	30-632-B
carre	161-2363-B
carriere	29-3158-B
carrosserie	23-2835-B,24-38-B,36-280-B
carrousel	30-700-B,30-1077-B,106-1027-B
casino	30-1776-B
cassatie	30-1834-B,143-1701-B
casseren	135-869-B
cassette	25-708-B,30-1380-B,30-1818-B,30-1905-B
castratie	30-2156-B
castreren	30-2118-B,75-2666-B
catacombe	30-2304-B
catalepsie	30-2343-B
catalogus	30-2364-B,30-2382-B,52-1445-B,90-137-B,100-1077-B
catarre	30-2417-B
catastrofe	30-2433-B
catechismus	30-2817-B
categorie	30-2839-B,129-2445-B
cavalerie	31-427-B,86-461-B
cedel	100-1092-B
ceder	31-889-B
ceel	100-1103-B
ceintuur	21-1574-B,76-2715-B,148-0-B,186-1965-B
cel	24-1658-B,31-1389-B
celebreren	31-1026-B
celibaat	31-1334-B
celibatair	18-1112-B
cellulose	31-1425-B
cement	31-1457-B
censor	31-1511-B
censureren	31-1525-B
censuur	31-1577-B
cent	31-1614-B,122-1708-B
centenaar	86-2783-B,135-2654-B
centimeter	31-1711-B,31-1733-B
centraal	31-1755-B,125-2094-B
centraliseren	31-1790-B
centrum	31-1654-B
ceramiek	31-1815-B
ceremonie	31-1938-B
certificaat	31-2420-B,31-2575-B,173-335-B
certificeren	16-3453-B,31-2618-B,173-192-B
cesium	28-1597-B
cessie	2-737-B,31-2760-B
champagne	26-3063-B,31-3362-B
champignon	110-951-B
chanson	32-715-B,158-3039-B
chaos	32-810-B,104-3036-B,171-479-B,188-1550-B
chapiter	32-949-B
charade	32-1436-B
charlatan	32-1864-B,134-2667-B
charmant	32-2110-B,32-2244-B,101-2135-B,169-2441-B
charme	32-2028-B
charteren	84-3009-B
chauffeur	32-2793-B,56-1046-B
checken	17-993-B,32-2972-B,168-1702-B
chef	24-2373-B,33-741-B,81-71-B,82-2722-B,98-727-B,104-1625-B,131-326-B
chemicalien	33-179-B
chemie	33-238-B
cheque	32-2986-B,33-276-B
chic	33-532-B,34-2762-B,56-483-B,66-2100-B,128-1362-B,157-656-B,166-2475-B
chileens	1-1019-B
chili	1-1007-B
chimera	33-1135-B
china	1-1036-B
chinees	1-1048-B
chirurg	148-1606-B,168-3362-B
chirurgie	168-3398-B
chloor	33-1568-B
chocola	33-1594-B
chocolade	33-1612-B
cholera	33-1852-B
christelijk	33-2351-B
christen	1-1080-B,33-2373-B
christendom	1-1099-B,33-2392-B
christus	1-1064-B
chronologie	33-2493-B
chronometer	33-2516-B
chroom	33-2417-B,33-2431-B
cichorei	33-653-B
cider	33-2796-B
cijfer	36-1028-B
cijferen	14-1430-B
cijferkunst	14-1450-B
cilinder	46-562-B,145-711-B,145-894-B
cimbaal	46-607-B
cinema	33-2914-B
cipres	46-730-B
circa	3-817-B,13-2554-B
circuit	34-190-B
circulaire	34-267-B
circulatie	34-383-B
circuleren	34-324-B
circumflex	34-519-B
circus	34-925-B
cirkel	34-29-B,145-2182-B
cirkelomtrek	34-471-B,118-922-B,123-670-B
citaat	34-1036-B,136-119-B,136-189-B
citadel	34-1001-B
citer	34-1112-B,192-814-B
citeren	34-1087-B,136-202-B
citroen	34-1195-B,98-2469-B
civiel	34-1280-B,34-1313-B
civiliseren	34-1372-B
claim	34-1508-B
claimen	34-1520-B
clandestien	34-1872-B,34-1937-B,84-1313-B,169-562-B,180-3025-B
classificeren	34-2497-B,34-2722-B
clausule	34-2859-B
clausuur	120-2281-B
claxon	85-2333-B,85-2734-B
clerus	35-506-B
client	35-1113-B,46-0-B
cloaca	35-1429-B,152-1223-B
clown	27-407-B,35-2790-B,94-1627-B
club	35-2842-B,158-361-B
coalitie	36-353-B
cockpit	28-1105-B
cocon	36-919-B
codex	36-1072-B
coefficient	36-1138-B
cognac	25-1824-B,36-1313-B
coherent	36-1377-B,40-1359-B
coiffure	81-754-B
cokes	36-1656-B
colbert	94-702-B
collecteren	36-2005-B,75-1889-B
collectief	36-2227-B,36-2249-B,94-2429-B
collega	15-3275-B,26-2542-B,36-1987-B
colli	78-612-B
collier	111-2191-B
colombia	1-1158-B
colonne	36-2941-B,125-168-B
coloratuur	36-2590-B
colporteren	122-513-B
combinatie	37-98-B
combineren	37-77-B,37-167-B
comfort	37-505-B
comfortabel	37-645-B
comite	37-2342-B
commandant	37-1291-B,37-1378-B
commanderen	37-1136-B,117-476-B
commando	37-1156-B
commandobrug	26-737-B
commentaar	12-345-B,37-1812-B,37-1866-B,113-1014-B
commissaris	37-1963-B,37-1985-B,37-2253-B
commissie	37-2086-B,37-2360-B,61-3532-B
commode	56-418-B,84-1912-B
communicatie	37-3065-B
communie	37-3162-B
communisme	37-3203-B
communist	37-3224-B
compact	37-3359-B,37-3410-B,158-1812-B,174-2892-B
compagnie	37-3611-B,75-328-B
compartiment	38-174-B
compensatie	38-445-B
compenseren	38-380-B,115-2207-B
competent	2-2761-B,38-645-B
compileren	38-871-B
compleet	3-2155-B,10-690-B,38-1174-B,38-1404-B,61-731-B,61-845-B,73-3185-B,118-1485-B,176-1899-B,176-2003-B,189-825-B
complement	38-1116-B
completeren	38-1192-B
complex	38-1616-B
compliceren	38-1811-B
compliment	38-1887-B
componeren	38-1992-B,191-2186-B
componist	38-2155-B
compositie	38-2194-B
compote	38-2363-B
compromis	38-2697-B
compromitteren	38-2718-B
computer	38-2899-B
concaaf	38-3019-B
concentrisch	38-3359-B
concept	38-3398-B,55-1786-B,107-1119-B,126-106-B,132-872-B,148-3030-B
concert	39-216-B,39-232-B,138-2333-B
concessie	2-756-B,39-249-B,73-188-B,99-892-B,99-981-B
concierge	128-787-B
concluderen	39-432-B,90-2959-B
conclusie	39-507-B,87-2585-B,90-2977-B
concours	38-742-B,41-238-B
concreet	39-774-B
concurrent	38-827-B,144-2208-B
concurreren	38-548-B,144-2225-B
conditie	39-1005-B,164-1188-B,172-2570-B
condoleantie	39-1179-B
condoleren	39-1160-B
condoom	39-1225-B,146-170-B,153-604-B
condor	39-1272-B
conducteur	39-1470-B,56-1063-B,80-1629-B
conductor	80-1646-B
confederatie	39-1680-B
conferentie	39-1780-B
confiscatie	39-2463-B
confisqueren	39-2439-B
conflict	34-2348-B,39-2579-B
conglomeraat	39-3091-B
congregatie	39-3167-B
congres	39-1803-B,39-3214-B,41-2717-B
congruent	39-3231-B
conjugatie	39-3269-B
conjunctie	39-3315-B
conjunctief	166-3009-B
conscientieus	40-19-B
consequent	40-1379-B,101-522-B
consequentie	40-386-B,40-1289-B
conservatief	23-2060-B,40-600-B
conservator	45-1648-B
conservatorium	40-626-B,40-677-B
conserveren	40-775-B,95-2093-B,103-266-B,130-1583-B,131-1993-B
consigne	52-1071-B,92-858-B
consistorie	40-1466-B
consonant	40-1656-B
constant	40-1444-B,40-1942-B,40-2106-B,41-573-B,93-1819-B,97-2036-B,123-1007-B,162-2257-B,163-1398-B,181-1836-B
constateren	163-134-B
constellatie	39-1024-B,40-2195-B,163-152-B
constitutie	40-2420-B
constructie	27-704-B,40-2780-B,166-893-B
constructief	128-1607-B
construeren	27-538-B,40-2701-B
consul	40-2949-B
consulaat	40-2963-B
consulteren	40-2983-B
consument	40-3131-B
consumeren	40-3022-B
contact	40-3380-B,176-2272-B
contant	30-1694-B
continent	41-347-B,103-100-B
contingent	41-469-B
conto	4-3519-B
contrabande	41-1203-B
contract	41-1274-B,43-909-B,178-719-B
contrapunt	42-2963-B
contrast	41-1696-B
controleren	17-1007-B,32-2999-B,41-2142-B,108-2231-B,118-2229-B,168-1720-B
conventie	41-2736-B
convergeren	41-2845-B
conversatie	41-2950-B,170-3201-B
convex	41-3324-B
coordineren	41-3869-B
copieus	4-20-B,126-2495-B
copyright	42-237-B
corporatie	23-2852-B,42-818-B
corps	42-885-B
correct	42-954-B,42-1157-B,132-2430-B,139-3540-B,144-649-B
correlatief	42-1238-B
corresponderen	42-1262-B
corrigeren	42-970-B
corsica	1-1198-B
corsicaans	1-1214-B
corso	119-2676-B
costuum	42-2157-B
coulant	4-2066-B
coulisse	42-2482-B,70-720-B,148-2609-B,190-59-B
coupe	38-199-B
couplet	162-2395-B,163-1111-B,184-1917-B
coupon	43-65-B
courant	75-2502-B,95-140-B,112-957-B
courgette	43-307-B,192-973-B
courtage	26-2240-B,37-2107-B
couvert	43-1117-B,61-1655-B,152-269-B
coyote	43-1799-B
credit	44-681-B
crediteur	44-782-B
creeren	44-349-B
creme	44-183-B
creool	44-915-B
creosoot	44-929-B
creperen	123-766-B
crimineel	44-1301-B
crisis	44-1581-B,82-2732-B
criterium	44-1611-B,172-3204-B
cru	44-2871-B,137-1999-B,145-1915-B
crucifix	44-2789-B
crypte	45-559-B
cuba	1-1251-B
cubaan	1-1261-B
cubaans	1-1274-B
cultus	45-1019-B
cultuur	45-1203-B,45-1296-B
cup	77-2688-B
curator	45-1668-B,80-1790-B,179-1084-B
cureren	45-1757-B,178-563-B
curieus	45-1888-B,45-2030-B,92-3520-B,122-130-B,134-2851-B
cursief	45-2627-B,94-86-B
cursus	34-2517-B,43-382-B
curve	21-1818-B,45-2813-B
cycloon	46-510-B
cycloop	46-546-B
cyclus	46-438-B
cynicus	46-622-B
cynisch	46-636-B,46-650-B,46-666-B
cypriotisch	1-1288-B
