magnitude	116-478-B,116-492-B,116-514-B,116-534-B
magnolia	116-550-B
magpie	116-567-B
maharajah	116-584-B
mahogany	116-602-B
maid	116-616-B
maiden	116-636-B,116-649-B,116-663-B,116-677-B,116-690-B,116-703-B,116-715-B,116-734-B
maidenhead	116-746-B
maidenhood	116-763-B,116-784-B,116-804-B
mail	116-824-B,116-836-B
mailbox	116-847-B
maim	116-868-B
main	116-884-B,116-895-B,116-910-B,116-920-B,116-940-B
mainstream	116-952-B
maintain	116-968-B,116-984-B,116-1002-B,116-1019-B,116-1040-B
maintenance	116-1069-B,116-1088-B,116-1106-B,116-1124-B,116-1144-B,116-1165-B,116-1184-B,116-1202-B
maize	116-1222-B,116-1234-B
majestic	116-1248-B,116-1267-B,116-1286-B
majesty	116-1303-B,116-1319-B,116-1334-B
major	116-1350-B,116-1362-B,116-1378-B
majority	116-1392-B,116-1411-B,116-1429-B,116-1445-B
make	116-1465-B,116-1478-B,116-1490-B,116-1502-B,116-1518-B,116-1532-B,116-1546-B,116-1560-B,116-1571-B,116-1586-B,116-1601-B,116-1616-B,116-1630-B,116-1641-B,116-1653-B,116-1664-B,116-1680-B,116-1694-B
makeup	116-1706-B,116-1720-B,116-1734-B
making	116-1752-B,116-1764-B,116-1782-B
malachite	116-1795-B
maladroit	116-1813-B,116-1834-B
malady	116-1850-B,116-1862-B,116-1879-B
malaise	116-1892-B,116-1912-B
malcontent	116-1932-B
malediction	116-1958-B,116-1977-B,116-1996-B
malformation	116-2015-B
malice	116-2034-B,116-2047-B,116-2064-B,116-2084-B,116-2102-B
malicious	116-2118-B,116-2135-B
malign	116-2160-B,116-2174-B,116-2187-B
malignancy	116-2205-B
malignant	116-2225-B
mall	116-2251-B
mallow	116-2263-B
malpractice	116-2281-B
malt	116-2303-B
mammal	116-2313-B
mammon	116-2327-B,116-2340-B
mammoth	116-2355-B,116-2372-B
man	116-2386-B,116-2395-B,116-2405-B,116-2415-B,116-2425-B,116-2434-B,116-2444-B,116-2457-B,116-2466-B
manacle	116-2478-B,116-2495-B
manage	116-2517-B,116-2536-B,116-2553-B,116-2571-B,116-2588-B
management	116-2605-B,116-2622-B,116-2638-B
manager	116-2658-B,116-2676-B,116-2692-B,116-2710-B
mandarin	116-2728-B
mandate	116-2747-B,116-2760-B,116-2777-B,116-2792-B,116-2806-B
mandatory	116-2829-B,116-2847-B,116-2866-B,116-2882-B
mandolin	116-2900-B
mandrake	116-2918-B,116-2938-B
mane	116-2955-B
manful	116-2965-B,116-2978-B,116-2994-B,116-3006-B
manganese	116-3023-B
manger	116-3040-B
mangle	116-3054-B
mangy	116-3068-B,116-3083-B,116-3098-B,116-3108-B
manhole	116-3119-B
manhood	116-3132-B,116-3149-B
