fruiterer	82-2056-B
ghost	85-984-B,85-994-B,85-1008-B,85-1022-B,85-1031-B,85-1041-B
ghoul	85-1052-B
giant	85-1064-B,85-1076-B,85-1086-B,85-1100-B
gib	85-1115-B
gibbet	85-1127-B
giddy	85-1145-B,85-1157-B,85-1170-B,85-1187-B
gift	85-1203-B,85-1217-B,85-1229-B,85-1241-B,85-1255-B,85-1266-B,85-1279-B
gigantic	85-1294-B
giggle	85-1311-B
gigolo	85-1342-B,85-1356-B
gild	85-1374-B,85-1388-B,85-1403-B
gill	85-1421-B,85-1434-B,85-1445-B
gillyflower	85-1460-B
gilt	85-1480-B,85-1495-B,85-1510-B,85-1523-B
gimcrack	85-1539-B
gimlet	85-1558-B,85-1571-B,85-1584-B
gimmick	85-1598-B
gimp	85-1617-B,85-1633-B,85-1645-B
gin	85-1656-B,85-1668-B,85-1678-B
ginger	85-1693-B
gingerly	85-1709-B,85-1729-B,85-1747-B,85-1763-B
giraffe	85-1782-B
gird	85-1798-B,85-1813-B,85-1830-B,85-1845-B,85-1857-B,85-1879-B
girder	85-1896-B,85-1909-B,85-1923-B,85-1943-B
girdle	85-1958-B,85-1971-B,85-1984-B,85-1998-B
girl	85-2015-B
girth	85-2025-B,85-2037-B,85-2050-B
gist	85-2063-B,85-2076-B,85-2085-B
give	85-2096-B,85-2111-B,85-2123-B,85-2135-B,85-2150-B,85-2162-B,85-2172-B,85-2190-B,85-2202-B
giveaway	85-2217-B
given	85-2232-B,85-2246-B,85-2262-B,85-2276-B
glace	85-2292-B
glacial	85-2305-B
glacier	85-2319-B
glad	85-2333-B,85-2345-B,85-2357-B
gladden	85-2372-B,85-2392-B
gladiolus	85-2409-B
gladness	85-2435-B,85-2455-B,85-2470-B
glamorous	85-2487-B
glance	85-2510-B,85-2525-B,85-2551-B,85-2562-B
glare	85-2575-B,85-2586-B,85-2632-B,85-2645-B
glaring	85-2661-B,85-2678-B,85-2707-B
glass	85-2727-B,85-2743-B,85-2754-B,85-2767-B,85-2783-B,85-2793-B,85-2807-B,85-2819-B,85-2834-B,85-2846-B,85-2859-B
glaucoma	85-2876-B
glaze	85-2892-B,85-2908-B
glazier	85-2924-B,85-2939-B
gleam	85-2958-B,85-2974-B,86-0-B,86-15-B,86-29-B
glebe	86-40-B
gleeful	86-53-B
glen	86-66-B,86-76-B
glib	86-86-B,86-115-B,86-132-B
glide	86-144-B,86-156-B,86-173-B,86-185-B,86-198-B
glimmer	86-215-B,86-237-B,86-249-B,86-269-B,86-287-B,86-302-B
glimpse	86-316-B
glint	86-352-B,86-368-B,86-386-B,86-402-B
glissade	86-418-B,86-433-B
glissando	86-449-B
glisten	86-465-B
glitter	86-486-B,86-501-B,86-520-B,86-537-B,86-557-B,86-575-B,86-591-B
gloat	86-610-B
glob	86-647-B
global	86-658-B,86-678-B
globe	86-694-B,86-707-B,86-719-B,86-729-B
gloom	86-744-B,86-768-B,86-784-B,86-805-B
gloomy	86-822-B,86-839-B,86-855-B,86-872-B
glorification	86-893-B,86-912-B,86-932-B,86-951-B,86-973-B,86-997-B
glorify	86-1017-B,86-1037-B,86-1055-B,86-1072-B,86-1091-B,86-1120-B,86-1140-B
glorious	86-1155-B,86-1173-B,86-1192-B,86-1211-B,86-1227-B,86-1243-B,86-1260-B
glory	86-1278-B,86-1291-B,86-1309-B,86-1323-B,86-1338-B,86-1350-B,86-1361-B,86-1374-B,86-1389-B,86-1405-B,86-1416-B,86-1430-B,86-1443-B
gloss	86-1458-B,86-1475-B,86-1493-B,86-1508-B,86-1522-B,86-1537-B,86-1553-B,86-1566-B,86-1579-B,86-1592-B,86-1604-B,86-1623-B,86-1643-B
glossy	86-1655-B,86-1671-B
glottal	86-1685-B
glove	86-1705-B
glow	86-1719-B,86-1735-B,86-1746-B,86-1759-B,86-1774-B,86-1797-B,86-1812-B,86-1827-B,86-1852-B,86-1868-B,86-1880-B
glucose	86-1891-B
glue	86-1906-B
glum	86-1918-B
glut	86-1933-B,86-1945-B
glutton	86-1957-B
gluttony	86-1970-B
glycogen	86-1987-B
glycol	86-2005-B
gnash	86-2019-B
gnat	86-2041-B
gnaw	86-2057-B,86-2069-B
gneiss	86-2083-B
gnome	86-2096-B,86-2112-B,86-2130-B
go	86-2143-B,86-2153-B,86-2166-B,86-2177-B,86-2189-B,86-2201-B,86-2211-B,86-2226-B,86-2238-B,86-2248-B,86-2260-B,86-2268-B,86-2281-B,86-2293-B,86-2304-B,86-2314-B,86-2323-B,86-2333-B,86-2342-B,86-2355-B,86-2368-B,86-2380-B,86-2397-B,86-2410-B,86-2422-B,86-2432-B,86-2444-B,86-2453-B,86-2463-B,86-2476-B,86-2489-B,86-2498-B,86-2509-B,86-2525-B,86-2536-B,86-2550-B,86-2565-B,86-2579-B,86-2591-B,86-2600-B,86-2610-B,86-2621-B,86-2634-B,86-2647-B,86-2659-B,86-2671-B,86-2685-B,86-2699-B,86-2714-B
goad	86-2724-B,86-2738-B
goal	86-2753-B,86-2763-B,86-2774-B,86-2786-B
goat	86-2798-B,86-2808-B,86-2822-B,86-2833-B,86-2842-B,86-2854-B,86-2864-B
gob	86-2879-B
gobble	86-2889-B
goblet	86-2903-B
goby	86-2916-B
god	86-2931-B,86-2941-B,86-2951-B,87-0-B
godchild	87-10-B
goddess	87-35-B,87-50-B
godfather	87-68-B
godforsaken	87-93-B
godless	87-116-B,87-134-B
godlike	87-149-B,87-167-B
godly	87-187-B
goggle	87-200-B,87-217-B
going	87-241-B,87-258-B
gold	87-271-B,87-283-B,87-295-B,87-308-B
golden	87-323-B,87-337-B
goldfish	87-351-B,87-376-B
gondola	87-403-B
gone	87-418-B,87-432-B
good	87-445-B,87-458-B,87-471-B,87-483-B,87-495-B,87-510-B,87-521-B,87-535-B,87-551-B,87-563-B,87-576-B,87-588-B,87-603-B,87-613-B,87-627-B,87-640-B,87-649-B,87-661-B,87-672-B,87-685-B,87-698-B,87-713-B,87-727-B,87-742-B,87-754-B,87-767-B,87-791-B,87-806-B,87-816-B,87-827-B,87-838-B,87-851-B,87-861-B
goodly	87-875-B
goodness	87-889-B,87-909-B,87-924-B,87-941-B,87-960-B,87-976-B
goodwill	87-998-B,87-1020-B,87-1051-B
goody	87-1066-B
goof	87-1079-B,87-1093-B
goofy	87-1103-B,87-1116-B
gook	87-1129-B
goon	87-1143-B
gooseberry	87-1159-B
gore	87-1188-B,87-1197-B
gorge	87-1207-B,87-1227-B,87-1253-B,87-1265-B,87-1280-B
gorgeous	87-1291-B,87-1310-B,87-1329-B
gorget	87-1345-B
gorilla	87-1363-B
goshawk	87-1377-B,87-1392-B
gospel	87-1414-B,87-1429-B,87-1443-B
gossamer	87-1457-B
gossip	87-1471-B,87-1487-B,87-1509-B
gouge	87-1526-B,87-1541-B
gourmet	87-1552-B
gout	87-1592-B
govern	87-1603-B,87-1622-B,87-1639-B,87-1656-B
governance	87-1673-B,87-1690-B
governess	87-1710-B
government	87-1731-B,87-1750-B,87-1771-B,87-1788-B,87-1808-B,87-1828-B
governor	87-1848-B,87-1862-B
gown	87-1876-B,87-1888-B
grab	87-1900-B,87-1910-B,87-1921-B,87-1947-B,87-1960-B,87-1971-B
grace	87-1984-B,87-1998-B,87-2011-B,87-2024-B,87-2036-B,87-2050-B,87-2071-B,87-2086-B,87-2100-B,87-2114-B,87-2127-B,87-2143-B
graceful	87-2157-B,87-2174-B,87-2191-B
graceless	87-2206-B,87-2223-B,87-2240-B
gracile	87-2259-B
gracious	87-2274-B,87-2294-B,87-2309-B,87-2329-B,87-2348-B,87-2363-B,87-2389-B,87-2405-B
gradation	87-2444-B,87-2461-B,87-2479-B,87-2499-B
grade	87-2517-B,87-2528-B,87-2541-B,87-2556-B,87-2570-B,87-2584-B,87-2608-B
gradient	87-2621-B,87-2637-B,87-2652-B
gradual	87-2668-B,87-2690-B
graft	87-2706-B,87-2723-B
grain	87-2739-B,87-2750-B,87-2762-B,87-2776-B,87-2786-B,87-2799-B,87-2815-B,87-2826-B,87-2842-B,87-2854-B
grainy	87-2866-B,87-2882-B,87-2895-B,87-2909-B
grammar	87-2928-B,87-2947-B,87-2962-B
grammarian	87-2975-B
gramophone	87-2995-B,87-3015-B
grand	87-3032-B,87-3045-B,87-3056-B,87-3071-B,87-3082-B,87-3096-B,87-3114-B,87-3130-B,87-3142-B,87-3159-B,88-0-B,88-14-B,88-30-B,88-48-B,88-65-B
grandee	88-75-B
grandeur	88-91-B,88-107-B,88-128-B,88-147-B,88-165-B
grandiose	88-184-B,88-204-B,88-227-B,88-246-B,88-266-B,88-287-B
granite	88-305-B
grant	88-320-B,88-337-B,88-352-B,88-389-B,88-409-B,88-423-B,88-434-B
granular	88-447-B
granule	88-463-B,88-477-B
grape	88-493-B,88-504-B,88-517-B,88-531-B,88-545-B
grapefruit	88-558-B,88-579-B,88-599-B
grapeshot	88-621-B
grapevine	88-638-B
graphite	88-653-B
grapple	88-669-B,88-686-B,88-705-B,88-720-B,88-738-B,88-756-B
grasp	88-774-B,88-788-B,88-800-B,88-814-B,88-829-B,88-841-B,88-861-B,88-874-B
grasping	88-890-B,88-905-B
grass	88-924-B,88-939-B,88-948-B,88-960-B,88-974-B,88-989-B,88-1005-B,88-1019-B,88-1030-B,88-1043-B
grasshopper	88-1058-B
grassroots	88-1079-B
grate	88-1095-B,88-1126-B,88-1137-B,88-1154-B,88-1175-B
grateful	88-1189-B,88-1210-B,88-1226-B,88-1240-B,88-1259-B,88-1282-B
grater	88-1304-B
gratification	88-1317-B,88-1335-B,88-1360-B
gratis	88-1379-B,88-1393-B,88-1405-B
gratitude	88-1421-B,88-1445-B
gratuitous	88-1464-B,88-1482-B,88-1499-B,88-1519-B
gratuity	88-1539-B,88-1564-B,88-1582-B,88-1598-B
grave	88-1615-B,88-1628-B,88-1648-B,88-1660-B,88-1672-B,88-1688-B,88-1700-B,88-1715-B
gravel	88-1728-B
gravestone	88-1748-B
graveyard	88-1772-B
gravid	88-1792-B
gravitate	88-1806-B,88-1826-B
gravity	88-1847-B,88-1866-B,88-1881-B,88-1898-B,88-1916-B,88-1932-B,88-1947-B,88-1961-B,88-1976-B
gravy	88-1990-B,88-2011-B
graze	88-2021-B,88-2032-B,88-2049-B,88-2063-B,88-2078-B,88-2096-B
greasy	88-2113-B
great	88-2128-B,88-2139-B,88-2154-B,88-2168-B,88-2183-B,88-2195-B,88-2205-B,88-2219-B,88-2237-B,88-2249-B,88-2263-B,88-2278-B,88-2289-B,88-2300-B,88-2314-B,88-2325-B
greed	88-2339-B,88-2351-B,88-2363-B,88-2377-B,88-2389-B,88-2412-B,88-2427-B,88-2438-B
green	88-2450-B,88-2462-B,88-2474-B,88-2487-B,88-2497-B,88-2509-B,88-2520-B,88-2530-B,88-2542-B,88-2555-B,88-2571-B,88-2585-B,88-2598-B
greenery	88-2610-B,88-2627-B
greengrocer	88-2646-B
greet	88-2664-B,88-2683-B,88-2699-B
gremlin	88-2716-B
grenade	88-2728-B
greyhound	88-2748-B
grid	88-2764-B
gridiron	88-2777-B
grief	88-2794-B,88-2805-B,88-2819-B,88-2830-B,88-2841-B,88-2856-B,88-2868-B,88-2885-B,88-2897-B
grieve	88-2913-B
grievous	88-2932-B,88-2950-B
grill	88-2968-B,88-2990-B
grim	88-3004-B,88-3016-B,88-3030-B,88-3051-B,88-3062-B,88-3076-B,88-3093-B,88-3108-B,88-3119-B,88-3130-B,88-3142-B,89-0-B
grimace	89-14-B
grime	89-44-B,89-54-B,89-70-B
grin	89-80-B
grind	89-95-B,89-109-B,89-127-B,89-138-B,89-150-B,89-169-B,89-189-B,89-200-B,89-216-B,89-238-B,89-252-B,89-268-B
grinder	89-302-B,89-319-B,89-332-B,89-347-B
grip	89-368-B,89-376-B,89-389-B,89-401-B,89-427-B,89-438-B
gripe	89-453-B,89-472-B
grisly	89-489-B
grit	89-505-B,89-518-B,89-537-B,89-550-B
gritty	89-565-B,89-580-B,89-593-B,89-606-B
grizzle	89-623-B,89-635-B
grizzly	89-655-B
groan	89-667-B,89-680-B
grocer	89-694-B
groggy	89-708-B
groom	89-723-B,89-736-B,89-748-B
groomsman	89-760-B
groove	89-780-B,89-801-B,89-815-B,89-827-B,89-838-B
grope	89-851-B
gross	89-869-B,89-881-B,89-895-B,89-907-B,89-917-B,89-932-B,89-943-B,89-956-B,89-969-B,89-981-B,89-993-B,89-1006-B,89-1020-B
grotesque	89-1032-B,89-1049-B,89-1065-B
grotto	89-1080-B
grouch	89-1095-B,89-1113-B,89-1132-B,89-1149-B,89-1167-B
ground	89-1185-B,89-1197-B,89-1211-B,89-1222-B,89-1240-B,89-1256-B,89-1269-B,89-1283-B,89-1297-B,89-1313-B,89-1328-B,89-1340-B,89-1354-B,89-1365-B,89-1382-B
groundless	89-1395-B,89-1416-B
groundwork	89-1436-B
group	89-1453-B,89-1464-B,89-1476-B,89-1488-B,89-1503-B
grouse	89-1515-B,89-1533-B
grout	89-1551-B
grove	89-1563-B,89-1580-B
grow	89-1591-B,89-1603-B,89-1619-B,89-1635-B,89-1650-B,89-1665-B,89-1676-B,89-1707-B,89-1722-B,89-1740-B
grower	89-1754-B
growing	89-1774-B
growl	89-1792-B,89-1807-B,89-1824-B,89-1841-B,89-1859-B,89-1873-B
grown	89-1889-B,89-1905-B
growth	89-1922-B,89-1935-B,89-1951-B,89-1967-B,89-1983-B,89-1997-B,89-2011-B
grub	89-2027-B,89-2042-B,89-2057-B,89-2067-B,89-2079-B,89-2088-B,89-2100-B,89-2114-B
grudge	89-2128-B,89-2141-B,89-2152-B,89-2169-B
gruff	89-2187-B,89-2200-B,89-2213-B,89-2229-B,89-2240-B,89-2251-B
grumble	89-2265-B,89-2284-B,89-2321-B
grunt	89-2340-B,89-2358-B,89-2372-B
guarantee	89-2389-B,89-2407-B,89-2431-B,89-2449-B,89-2465-B,89-2487-B
guarantor	89-2505-B
guaranty	89-2521-B,89-2538-B
guard	89-2555-B,89-2568-B,89-2581-B,89-2595-B,89-2610-B,89-2625-B,89-2644-B,89-2659-B,89-2675-B
guardian	89-2694-B,89-2712-B,89-2730-B,89-2748-B
guardianship	89-2762-B,89-2788-B,89-2809-B
guardrail	89-2830-B,89-2849-B
gudgeon	89-2870-B,89-2884-B,89-2899-B
guerdon	89-2915-B
guerrilla	89-2932-B
guess	89-2950-B,89-2967-B,89-2980-B,89-2999-B,89-3009-B
guesswork	89-3025-B
guest	89-3042-B,89-3056-B,89-3068-B
guffaw	89-3082-B
guidance	89-3097-B,90-0-B,90-15-B,90-32-B,90-50-B
guide	90-69-B,90-84-B,90-97-B,90-108-B,90-118-B,90-131-B,90-149-B,90-168-B,90-189-B
guidebook	90-207-B
guideline	90-224-B
guile	90-242-B
guilloche	90-257-B
guillotine	90-276-B
guilt	90-295-B,90-316-B
guilty	90-327-B,90-349-B,90-366-B,90-381-B
guise	90-395-B,90-412-B
guitar	90-424-B
gulf	90-440-B,90-453-B
gull	90-466-B,90-484-B,90-494-B,90-506-B
gullet	90-516-B,90-530-B
gullible	90-546-B,90-561-B
gulp	90-580-B,90-598-B
gum	90-609-B,90-620-B,90-629-B,90-646-B,90-660-B
gumbo	90-672-B
gummy	90-684-B
gumption	90-700-B,90-722-B
gun	90-744-B,90-757-B,90-769-B
gunman	90-780-B
gunner	90-797-B,90-810-B
gunnery	90-824-B
gunpowder	90-842-B
gunsmith	90-858-B
gurgle	90-877-B,90-898-B
gush	90-917-B,90-929-B,90-942-B,90-959-B,90-977-B,90-996-B,90-1008-B
gushy	90-1021-B,90-1034-B
gusset	90-1050-B
gust	90-1068-B,90-1078-B
gusto	90-1096-B,90-1106-B
gusty	90-1118-B
gutter	90-1137-B,90-1151-B
guy	90-1163-B
guzzle	90-1173-B
gym	90-1196-B
gymnast	90-1215-B
gyp	90-1229-B,90-1242-B,90-1259-B
gyrate	90-1270-B,90-1287-B,90-1301-B,90-1316-B
gyre	90-1332-B,90-1345-B,90-1360-B,90-1372-B
gyroscope	90-1385-B
habit	90-1402-B,90-1413-B,90-1438-B,90-1458-B,90-1474-B,90-1494-B,90-1507-B,90-1517-B,90-1530-B,90-1541-B,90-1555-B,90-1570-B,90-1583-B,90-1597-B
habitation	90-1616-B,90-1630-B,90-1648-B,90-1666-B
habitual	90-1684-B,90-1708-B,90-1723-B
habituate	90-1738-B,90-1762-B
hack	90-1786-B,90-1798-B,90-1812-B,90-1825-B,90-1837-B,90-1850-B,90-1863-B,90-1877-B
hackney	90-1898-B,90-1915-B,90-1932-B
hadj	90-1951-B
hag	90-1960-B,90-1970-B
haggard	90-1984-B
haggle	90-2014-B,90-2031-B
hail	90-2049-B,90-2059-B,90-2075-B,90-2092-B,90-2107-B
hair	90-2124-B,90-2134-B,90-2144-B
hairbrush	90-2154-B
