suyu salca	88-1990-S
sıkılmak	53-1667-B,82-85-B,213-1849-B
sıkılık	50-2071-B,175-963-B,192-658-B
sıkıntı	5-569-B,20-2832-B,21-228-B,39-2590-B,53-2238-B,55-1592-B,57-3330-B,58-189-B,82-101-B,86-805-B,89-472-B,91-2507-B,101-311-B,109-394-B,123-291-B,127-2686-B,130-935-B,135-2187-B,138-1651-B,140-1348-B,145-1580-B,149-2041-B,198-1790-B,205-2852-B,208-298-B,210-501-B
sıkıntı uzuntu	57-3350-B
sıkıntı vermek	24-807-B
sıkıntılı	8-1422-B,13-2717-S,58-2899-B,86-872-B,93-1434-B,115-203-B,115-985-B,124-2925-B,129-1914-B,198-1934-B,210-654-B
sıkıntısı	20-2806-S,65-1991-S,191-2329-S
sıkıt	190-102-B
sıkışma	106-1768-B,144-1809-B
sıkışmak	106-1783-B,132-118-B,194-2227-B,210-25-B
sıkıştırma	36-3073-B,144-1826-B,180-1859-B,203-2381-B
sıkıştırmak	39-2723-B,45-112-B,61-1272-S,88-2968-B,89-216-B,92-602-B,93-1547-B,97-576-B,130-791-B,136-2869-B,140-1942-B,144-1847-B,149-2057-B,180-1882-B,194-2247-B
sıkıştırmak zulmetmek	130-815-B
sıkıştırıcı	36-3141-B
sıkıştırılma	106-1799-B
sıkışık	30-2886-B,33-220-B,194-2199-B
sıla hasreti	95-1923-B
sınai	102-142-B
sınamak	199-492-B
sınav	19-2754-B,68-1885-B,68-1937-B
sınavdan kalmak başaramamak	78-2994-B
sınıf	28-518-B,32-245-B,32-412-B,49-2004-B,50-1618-B,67-1817-B,80-1427-B,87-2570-B,130-1519-S,150-820-B,152-480-B,152-1464-B,164-2916-B,177-312-S,178-2083-B,184-1534-B
sınıflama	152-1652-B
sınıflandırmak	28-411-B,58-1111-B,87-2584-B,109-302-B,152-218-B,152-1477-B,177-237-B,186-2515-B
sınır	20-2729-B,21-835-B,21-953-B,21-1276-B,35-3734-B,62-1252-B,71-1509-B,71-1585-B,82-1599-B,112-2527-B,117-1059-B,132-1450-B,183-992-B,185-533-B,192-2141-B,192-2283-B,193-0-B,205-1421-B
sınırdaş	42-899-B
sınırlama	31-1853-B,39-2612-B,52-2245-B,112-2597-B,184-2937-B
sınırlamak	21-849-B,31-1752-B,38-269-B,39-2528-B,39-3914-B,49-866-B,49-3414-B,52-2501-B,125-1155-B,158-1047-S,158-1158-S,158-1193-B,164-1786-B,192-2006-B
sınırlamak hapsetmek	38-290-B
sınırlandırmak	112-2541-B,150-681-B
sınırlı	49-992-B,76-2280-B,113-2487-B,118-2875-B,125-1175-B,164-1805-B
sınırsız	21-1053-B,101-1690-B,112-2676-B,131-1137-B,192-1836-B
sıpa	79-863-S
sır	124-3104-B,166-1358-B
sır cila	85-2892-B
sıra	10-1468-B,10-1640-B,17-660-B,45-1886-B,76-823-B,91-69-B,112-462-B,113-33-B,113-277-B,137-1806-S,152-242-B,152-493-B,161-656-B,161-1389-B,167-2717-B,176-1701-S,186-3093-B,194-39-B,194-2073-B,196-2511-B,200-112-B
sıra dizi	152-448-S,161-1399-B
sıra dizi erim menzil	152-254-B
sıra duzensiz	179-1629-S
sıra dışı garip	71-1214-B
sıra kuyruk	150-2347-B
sıradan	35-1867-B,124-1326-B,162-1556-B,213-1315-B
sıralama	87-2479-B
sıralamak	113-44-B,130-2366-B,138-826-B,152-283-B
sırasında	210-2136-B
sırdaş	37-3838-B
sırf	169-2417-B,211-1046-B
sırlamak	43-1517-B,85-2908-B
sırsıklam	175-2668-B,176-2634-B
sırt	14-127-B,159-1708-B,170-2365-B
sırt bıcak ağzı	62-1154-S
sırt cantası	108-2311-B,161-2221-B
sırtustu	77-2265-B
sırık	15-318-B,141-24-B,182-2649-B
sırıklamak	141-37-B
sırılsıklam	175-2262-B
sırım	193-2559-B,211-78-B
sırıtma	89-80-B
sırıtış	174-1812-B
sıska	173-161-B,177-2518-B
sıskalık	60-2491-B,149-66-B,173-175-B
sıtma	5-1225-B
sıtmalı	75-2106-B
sıva	139-1737-B,156-1224-B
sıva alcı	139-1751-B
sıvamak	47-1741-B,139-1772-B
sıvı	113-669-B,162-1905-B
sıvılaştırmak	113-749-B
sıvışmak	48-302-B
sıyrık	88-2063-B,152-2448-B
sıyrılma	68-3504-B
sıyrılmak	63-2805-S,72-2411-B,88-2078-B
sıyırmak	88-2096-B,173-133-B
sıyırtmak	165-1121-B
sız	212-1853-B
sızdırmak	129-2208-B
sızlama	195-112-B
sızlamak	2-2746-B,183-840-B,195-128-B
sızlanma	210-2605-B
sızlanmak	17-493-B,89-1533-B,210-2623-B,210-2773-B
sızlanış	210-2790-B
sızlatmak	126-2634-B
sızmak	67-450-B,76-1209-B,82-2296-B,85-752-B,111-135-B,129-2225-B,166-2899-B,197-1430-B,210-312-B
sızı	2-2761-B,97-716-B
sızıntı	60-2471-B,111-148-B,129-2238-B
sızıntılı	162-1920-B
sığ	169-364-B,170-895-B
sığ gecit	80-216-S
sığlaşmak	170-907-B
sığlık	77-2282-B,163-2537-B,169-2551-B
sığmak	24-1717-B
sığınak	50-1480-B,92-1184-S,92-1219-B,95-1646-B,154-3185-B,158-2099-B,169-2796-B
sığınak barınak	12-346-B
sığınma	169-2815-B
sığınmak	12-373-B,92-1236-B
sığınık	154-3220-B
sığır	16-1689-B
sığır eti	16-1703-B
sığırdili	5-2650-B
sığırkuyruğu	124-798-B
sığırtmac	43-990-B,204-1870-B,213-2479-B
t mak	70-1347-S,86-2019-S,88-2032-S,175-1080-S
t mek	119-1668-S
taahhut	35-1316-B,65-1170-B,111-2825-B,140-78-B,146-3004-B,147-2897-B,166-31-B,183-1106-B,201-2417-B
taam	156-2015-B
taannut	136-2971-B
taarruz	11-1521-S
taassup	73-1038-B
tabak	42-3031-B,56-197-B,139-1909-B,191-0-B
tabak levha kaplamak	139-1921-B
tabaka	28-535-B,32-259-B,33-1822-B,34-966-B,43-643-B,49-2019-B,50-3252-B,67-1832-B,77-1405-S,87-2608-B,110-2302-B,132-2232-B,169-2454-B,184-1550-B
tabaka palto	33-1769-S
tabakalı	199-1850-B
tabakası	111-977-S
tabakhane	190-2513-B,191-13-B
tabaklamak	15-1238-B
taban	9-3551-B,15-1908-B,175-2360-B,176-30-B
tabanca	84-834-B,90-757-B,138-2689-B,159-910-B
tabansız	149-2224-B
tabağı	164-656-S
tabela	171-1982-B,171-2133-B
tabetme	99-2363-B,145-1170-B
tabi	9-2770-B,38-3808-B,50-2915-B,61-2160-S,100-1661-B,186-497-B,186-1227-B
tabi kılmak	186-510-B,186-657-B
tabiat	8-1092-B,29-2211-B,56-3555-B,90-1570-B,120-671-B,125-1889-B,147-870-B,179-14-B,191-2813-B,192-1402-B
tabiat huy	191-2827-B
tabiatustu	187-2796-B
tabip	58-2278-B
tabir	70-2478-B,97-2258-B,113-2987-B,133-1000-B,137-2897-B,164-1236-B
tabla	197-2189-B
tablet	189-3037-B,190-117-B,190-180-B
tablo	132-1118-B,189-3050-B
tabur	198-1466-B
tabure	183-2214-B
tabut	17-3232-B,33-2717-B
tabya	15-2488-B,64-1544-B,154-1301-B
tabı	62-1567-B,99-2569-B,145-1066-B
tac	31-1390-B,44-659-B,45-258-B,53-937-B
tacir	47-2613-B,196-1916-B
taciz	99-1594-B
taciz etmek	7-2681-S
tadil	122-1102-B,150-533-B
tadına bakmak	191-1050-B
tadını bilen kimse	87-1552-S
tadını cıkarmak hoşlanmak gune	15-2211-B
tafsilat	52-1334-B
tafsilatlı	63-545-B
tafta	190-614-B
tahakkuk	82-2129-B,153-564-B
tahakkum	59-247-B,98-3262-B
tahammul	16-888-S,65-311-B,79-2807-B,181-436-B,184-2470-B,195-1643-B,195-1786-B
tahammul etmek	16-768-B,65-331-B,65-409-B,187-168-B,188-2523-B
tahammulsuz	98-2908-B
tahammur	75-599-B
tahavvul	6-1575-B,29-1422-B,197-1226-B
tahayyul	9-1674-B
tahdit	31-1881-B,39-2635-B,52-2271-B,112-2620-B,158-1239-B,185-327-B,192-2161-B
tahin	108-2061-B,168-608-B
tahkik	11-433-B,150-2237-B,165-2595-B,205-1513-B
tahkir	105-1881-B,165-486-B
tahlil	7-1086-B,11-1606-B,192-2757-B
tahliye	67-2815-B,155-2201-B
tahmil	170-522-B
tahmin	9-1210-B,11-3085-B,25-1483-B,38-1953-B,38-1986-S,67-2115-S,67-2183-B,80-266-B,89-2967-B,89-3025-B,97-1990-B,130-327-B,135-2833-B,144-2266-B,146-1574-B,147-953-B,152-1671-B,170-2220-B,188-548-B
tahmin etmek	67-2199-B,89-2980-B,131-1844-S,144-2161-B,188-1521-B
tahmin etmek guvenmek	153-3178-B
tahmin varsayım	144-2182-B
tahminen	9-2565-B,38-1896-B
tahmini	38-1917-B
tahribat	51-116-B,92-1266-B,189-1886-B
tahrif	48-3316-B,57-3135-B,84-55-B,86-1566-B
tahrik	68-3272-B,99-3295-B,99-3325-B,100-1870-B,101-3975-B,104-24-B,147-1725-B,148-248-B,176-281-B
tahrik etmek	68-3195-B,124-16-B
tahrip	50-1015-B,161-2919-B,186-2878-B
tahrip etmek	152-2271-B
tahrir	36-2480-B,214-563-B
tahriş etmek	106-704-B
tahsil	62-1842-B,196-2582-B
tahsildar	34-1149-B,153-2426-B
tahsis	6-337-B,38-3422-B,51-2798-B,53-497-B
tahsis ayırma	9-2326-S
tahsis etmek	6-190-B,11-2242-S,11-2312-B
tahsisat	6-212-B,6-632-B,7-2805-B,9-2410-B
tahsisat odenek	88-352-S
taht	194-729-B
tahta	20-280-B,182-2663-B,213-151-B,213-340-B
tahta sandık	10-616-B
tahtakurusu	16-1518-B,23-2048-S
tahterevalli	166-2927-B,194-2424-B
tahtırevan	29-560-B,113-1264-B
tahvil	18-511-B,20-1636-S,197-846-B
tahıl	28-2623-B
tak	9-3368-S,9-3395-B
takaddum	143-1474-B
takas	32-1353-B,32-1446-B,36-480-B,196-1883-B
takat	142-2946-B,184-2197-B
takatsiz	209-1586-B
takatsizlik	147-2589-B
takbih	184-2959-B
takdim	105-1426-B,144-1104-B,144-1351-B
takdim etmek	144-903-B
takdim temsil	144-1050-S
takdir	9-1372-B,67-1875-S,67-2221-B,73-3226-B,82-1514-B,95-1529-S,143-2799-B,152-1685-B,198-51-B
takdir etmek	11-2059-S
takdir etmek kıymetini anlama	9-1302-B
takdirde	131-23-S
takdire değer	3-2902-B
takdirname	192-2991-B
takdis	17-994-B,17-1575-B,19-803-B,38-3442-B
takdis etmek kutsamak	38-3349-B
takdis hayırdua	17-1013-B
takibat	147-1862-B
takip	79-1746-B,147-1814-S,149-1709-B
takip iz	96-1652-S
takip kovalama	30-151-S,149-1624-B
takke	26-1327-B,33-3118-B,126-2170-B,173-546-B
taklak	199-1145-B,199-1349-B
taklit	4-1842-B,10-2833-B,42-2027-S,42-2052-B,61-1071-B,72-2832-B,98-1491-B,98-1548-B,120-2629-B,120-2662-B,122-314-B,138-1760-B,169-406-B,170-1225-B,170-2702-B,172-658-B,180-643-B,190-1695-B
taklit etmek	8-2032-B,41-1620-B,73-15-S,98-1506-B,120-2675-B
taklit manken	61-1084-B
taklit uydurma şarlatan	72-1741-B
taklitci	4-1916-B,8-2049-B,99-115-B,120-2644-B,120-2694-B
takma	11-2985-B
takma ad	126-2059-B,148-1008-B
takmak	4-2362-S,4-2421-B,12-1106-B,91-981-B,94-2890-B,123-2168-B
takmak yerleştirmek tamir	77-778-B
takoz	30-2904-B,31-814-B,127-52-B,170-186-B,210-43-B
takriben	1-1541-B,6-1099-B,9-2586-B,123-681-B,143-0-B,176-1496-B
takrir	48-1451-B,123-1595-B,156-2845-B,156-3354-B,181-2870-B
taksi	25-315-B,191-1647-B,191-1658-B
taksim	6-350-B,9-1142-B,57-3607-B,58-1631-B,133-2286-B
taksim bolme	133-2303-B
taksit	134-2159-B
takunya	32-3085-B,134-1521-B
takva	138-784-B
takvim	6-975-B,25-1565-B
takviye	39-1145-B
takyit	112-2638-B
takı	80-1825-B,133-1829-B
takılma	14-926-B,15-136-B,151-2090-B,191-2027-B,200-1754-B
takılmak	15-152-B,29-272-B,94-2903-B,95-2831-B,107-671-B,110-296-B,151-1801-B,151-2712-B,166-3130-B,179-1831-B,191-2042-B,200-1768-B,210-55-B
takım	8-2734-B,11-1720-B,14-2346-B,15-2535-B,15-2954-B,17-2489-B,24-265-B,32-272-B,43-819-B,44-883-B,44-906-S,65-2275-B,77-598-B,83-2751-B,83-2785-S,83-2802-B,110-2348-B,132-135-B,133-699-B,139-2047-B,142-468-B,168-1295-B,180-871-B,187-762-B,190-352-B,196-2523-B
takımı	16-1553-S,43-486-S
takırdamak	31-2506-B,32-544-B,152-2066-B
takırdatmak	32-564-B,152-2085-B
takırtı	31-2524-B,152-2105-B
takırtı cıtırtı	152-2122-B
talak	58-1821-B
talan	138-1187-B,140-1559-B,179-1328-B
talaş	68-2605-B
talebe	55-773-B,149-119-B,185-1720-B
talebelik	55-789-B
talep	9-663-B,31-2669-B,50-724-B,123-1609-B,157-1442-B,157-1617-B,163-1389-B,176-296-B
talep e	68-1310-S
talep etmek	31-2603-S,142-1378-B
tali	34-756-B,166-1158-B
talih	27-2419-B,29-1138-B,53-1682-B,74-0-B,78-2941-B,80-2980-B,107-2904-B,114-2296-B,115-706-B
talih cok miktar	114-2195-S
talih kader şans	115-717-B
talihli	80-2808-B,91-1569-B,115-751-B
talihli şanslı	80-2826-B
talihsiz	91-1340-B,97-3134-B,202-0-B,202-419-B,202-1696-B
talihsizlik	54-3465-B,121-1159-B,121-1436-B,121-2122-B
talim	55-989-B,60-1397-B,69-1173-B,104-453-B,196-2598-B
talimat	54-1653-B,104-471-B,143-1384-B,144-682-B,155-886-B
talimatname	25-231-B,90-131-B
talimli	143-211-B
talip	51-3117-B
talk	190-1776-B
talyum	193-214-B
tam	1-2329-B,2-2416-B,36-1351-B,39-3500-B,41-2700-B,61-444-B,65-3308-B,68-1300-B,68-1396-B,70-2313-B,77-2297-B,82-2701-B,99-937-B,107-2538-B,130-3204-B,131-1158-B,136-417-B,140-153-B,143-2304-B,147-702-B,152-504-B,176-799-B,177-1091-B,180-1370-B,181-2059-B,187-2173-B,193-2620-B,198-2633-B,203-3134-B,205-1201-B,205-2389-B,211-949-B
tam butun	65-3319-B
tam denk hatta bile	67-3158-S
tam doğru gerektirmek talep e	68-1310-B
tam kesin	143-2456-B
tam kusursuz	136-429-B
tam olarak	68-1408-B
tam zamanında	61-894-S
tamah	13-1621-S,45-2973-B,88-2438-B
tamahkar	46-540-B,88-905-B,183-923-B
tamahkarlık	13-1641-B
tamam	36-1364-B,59-2362-B,65-3338-B,68-1347-B,68-1427-B,82-2710-B,89-981-B,118-1604-B,143-2316-B,210-1126-B
tamamen	5-2734-B,20-700-B,32-917-B,32-1236-B,49-1012-B,59-2378-B,65-3387-B,65-3447-B,68-1118-B,68-1441-B,73-2552-B,82-2721-B,82-2879-B,118-1617-B,129-451-B,131-331-B,131-1171-B,143-2330-B,143-2346-B,149-505-B,151-202-B,183-1560-B,191-2437-B,198-2776-B,203-987-B,210-1137-B,211-1059-B,211-1362-B
tamamlama	2-1224-B,36-1379-B,136-569-B
tamamlamak	2-1128-B,26-1337-B,27-1176-B,36-1207-B,36-1398-B,39-3515-B,45-241-B,58-2061-B,76-2233-B,99-695-B,104-1456-B,136-450-B,164-445-B
tamamlayıcı	34-772-B,36-1265-B
tamamı	5-2746-B
tamamıyla	59-2335-S,67-3362-B
tamim	64-2932-B,127-1370-B
tamir	77-778-S,154-1470-B,154-2501-B,156-1510-B,156-1931-B
tamirat	156-1975-B
tamirci	77-887-B,168-456-B,195-145-B
tamircilik	195-160-B
tampon	23-1906-B,132-147-B,140-1054-B,207-1929-B
tamu	2-41-B
tan	13-401-B,47-1919-B,47-2006-B
tane	41-2093-B,87-2815-B
tanecik	88-477-B,133-1844-B
tanelemek	87-2826-B
taneli	87-2895-B,88-447-B
tanen	190-2527-B,191-30-B
tanesi	175-758-S
tango	190-2757-B
tangırdamak	190-2553-B
tangırtı	190-2571-B
tank	190-2833-B
tanker	190-2843-B
tannan	157-3048-B
tanrı	16-2734-B,43-2900-B,49-2114-B,58-1393-B,67-2447-B,114-1759-B
tanrıbilim	193-806-B
tanrıca	58-1409-B,87-50-B
tanrılaştırma	8-2619-B,49-2051-B
tanrısal	58-1244-S,58-1312-B,87-149-B,93-1264-B
tansık	212-2751-B
tantana	10-1652-B,47-1514-B,141-1207-S,141-1245-B,141-1276-B,181-2659-B
tantanalı	48-1347-B,88-48-B,88-266-B,141-1394-B,148-2166-B,187-1477-B
tanyeri	47-1939-S
tanzim	3-2575-B,10-1482-B,10-1666-B,56-3212-B,56-3574-B,57-3627-B,155-903-B
tanıdık	2-3287-B
tanık	50-3059-B,212-1992-B
tanık delil kanıt	68-521-B
tanık kanıt	192-2908-B
tanıklık	68-550-B,212-2007-B
tanıma	2-2998-S,153-3421-B
tanımak	73-543-B,108-416-B,109-40-B,131-2956-B,139-366-B,154-57-B,179-2152-B
tanımama	56-1732-S
tanımlama	29-2437-B,49-1067-B,50-2947-B,51-1948-B,70-1010-B,138-196-B,141-2969-B,141-3066-B,153-3441-B
tanımlamak	29-2512-B,51-1849-B,52-2524-B,138-215-B,141-3085-B
tanınmış	73-772-B,127-1082-B,146-2798-S
tanıt	68-570-B,147-108-B,153-1182-B,207-1474-B,212-2026-B
tanıtma	55-2673-B,148-1577-B
tanıtmak	2-3200-S,67-1496-B,73-564-B,105-1314-B
tanıtıcı	103-409-B
tanış	2-3310-B
tanışmak	119-1142-B
tanıştırma	105-1446-B
tanıştırmak	105-1334-B,144-924-B
tanışıklık	2-3386-B
tapa	24-427-B,140-1066-B,183-2588-B
tapa tıkac	140-1076-B
tapan	92-73-B
tapir	191-344-B
tapma	213-2031-B
tapmak	4-60-S,168-54-B
tapu	195-933-B
tapyoka	27-2002-B
tapınak	192-281-B
tapınma	4-29-B,45-2265-S,45-2310-B
tapınmak	4-44-B,213-2045-B
taraca	192-2343-B,205-1087-B
taraf	14-438-S,54-1671-B,77-1825-S,80-332-S,82-1553-S,91-80-B,133-1544-B,150-1437-B,158-3458-S,158-3587-S,171-1350-B,171-1370-S,209-1156-B
taraf dış gorunuş	71-74-S
taraf kenar	171-1385-S
tarafa cevirmek eğlendi	58-944-S
tarafgir	133-1588-B
tarafgirlik	133-1605-B,143-3613-B
taraflı	18-150-S,133-1565-S
tarafsız	25-3116-B,34-1724-B,56-2012-B,66-2460-B,67-3378-B,98-2736-B,126-1472-B,126-1506-S,127-440-B
tarafsızlık	52-1209-B,67-3393-B
taraftar	55-808-B,74-1110-B,147-1313-B,188-396-B
taraftarlık	4-1327-B
tarafından	25-158-B
tarak	31-2730-B,33-2219-B,34-1880-B,60-733-S,151-2552-B
taraklamak	151-2563-B
tarama	92-764-B
taramak	34-1891-B,59-2844-B,60-923-B,151-2579-B,161-1270-B,165-616-B,189-413-B
taramak tarak	60-733-B
taranmak	34-1904-B
taravet	81-2972-B
taravetli	81-2986-B
tarcın	31-1217-B
tarhun	191-675-B
tarif	2-1689-B,29-2465-B,49-1089-B,49-3510-B,50-1770-B,50-2965-B,51-1971-B,70-1033-B,138-235-B,141-2992-B
tarife	164-2522-B,165-2180-B,191-467-B
tarifi	153-2808-S
tarifsiz	202-3184-B,203-53-B,203-375-B
tarih	31-535-B,47-1637-B,66-1685-B,66-2782-B,94-2561-B,184-26-B
tarihci	94-2444-B,94-2536-B
tarihi	47-2402-S,94-2498-B
tarihsel	94-2463-B,94-2516-B
tarik	113-60-B,133-3100-B,134-996-B,161-1197-B,209-1166-B
tarikat	128-2257-B,130-1705-B
tarla	73-1856-B,75-2922-B
tarlakuşu	173-604-B
tart	55-669-B,68-3424-B,77-1731-B
tartaklamak	108-2588-B
tartma	11-1619-B
tartmak	14-1501-B,49-2763-B,119-16-B,140-1228-B,164-1510-B,168-1306-B,193-2750-B,210-392-B
tartı	210-519-B
tartışma	10-288-B,17-2994-B,40-863-B,40-3331-B,47-2829-B,49-2782-B,56-3792-B,56-3892-S,56-3940-B,123-197-B,133-1051-B,141-93-B
tartışma munakaşa	10-201-S
tartışmacı	56-3745-B,56-3815-B
tartışmak	10-250-B,26-1211-B,47-2847-B,49-2620-S,54-2630-B,56-3959-B,190-2738-B,196-378-B,205-2816-B
tartışmalı	141-112-B,195-2564-B
tarz	73-2322-B,80-1440-B,84-2882-B,120-1007-B,122-352-B,122-406-B,139-1103-B,177-260-B,184-930-B,186-191-B,192-324-B,195-2056-B,200-123-B,209-1176-B,212-919-B
tarziye	8-2420-B,12-773-B,164-328-B
tarım	5-1130-B,194-2442-B
tarımsal	5-845-B,162-2107-B
tas	21-1655-B,184-87-B,205-2488-B
tas yuvarlama	21-1619-S
tasa	37-703-B,213-1866-B
tasalanmak	213-1877-B
tasarlama	39-4210-B,101-272-B
tasarlamak	19-2830-B,25-1500-B,27-2430-B,37-197-B,39-4117-S,39-4162-B,53-103-B,59-2735-B,81-1458-B,104-2256-B,110-2165-B,119-757-B,139-1113-B,146-1978-B,157-3012-B,193-2258-B
tasarruf	56-3228-B,62-922-B,164-1019-B,194-330-B
tasarruf mal	142-702-B
tasarı	146-1997-B,146-2167-B,164-2538-B
tasarım	127-1959-B
tasarımlamak	98-1159-B
tasasız	103-3026-B
tasavvuf	124-3231-B
tasavvur	98-1082-B,153-585-B,193-2766-B
tasavvur etmek	37-217-B,66-864-S
tasdik	2-3090-B,4-2285-B,9-2191-B,11-2002-B,12-2398-B,12-2428-B,14-374-B,38-514-B,129-1321-B,152-1598-S,154-0-B,163-2355-B
tasdik etmek	4-2265-B
tasdik onay	28-3231-B
tasdikname	2-3109-B,28-3126-B
tasfiye	113-683-B,149-693-B,149-779-B,154-2236-S,154-2389-B
tasfiyehane	154-2463-B,174-1653-B
tashih	3-2589-B,6-3199-B,159-179-B
taslak	39-1423-B,51-2520-B,62-3338-B,131-834-B,139-1129-B,165-2194-B,172-2801-B,172-2843-B
taslak kroki	172-2857-B
taslak mecburi askerli	59-2679-S
taslak yapmak	172-2877-B
taslamak	144-2424-B,146-389-B,156-3209-B
tasma	34-630-B,34-1202-B
tasma yakalamak	34-655-S
tasnif	152-1699-B
tasrif	38-2159-B,48-1508-B,204-2173-B
tasrih	66-553-B
tastamam	82-2734-B
tasvip	4-2304-B,9-2497-B,42-1628-B
tasvir	50-2978-B,62-2938-B,76-211-B,98-859-B,98-987-B,112-2264-B,138-249-B,141-2895-B,141-3010-B
tasım	127-1975-B
tat	77-2651-B,163-1655-B,178-2157-B,191-1071-B,214-2605-B
tat lezzet ceşni	77-2677-B
tatar	191-861-B
tatbik	3-1428-B,9-681-B,69-1188-B
tatbik etmek	9-786-B
tatbikat	130-68-B,143-643-B
tatil	95-1156-B,104-3790-B,150-3140-B,158-258-B,181-1584-B,204-180-B
tatlı	4-1638-B,5-920-B,6-3342-S,48-42-B,52-491-S,61-585-B,65-1628-B,84-3050-B,119-1569-B,126-1886-B,139-2718-B,162-2725-B,174-2451-B,175-1595-B,175-2471-B,189-626-B,191-1239-B,214-2251-B
tatlılaştırmak	189-724-B
tatlılık	6-3249-B,6-3307-B,95-2376-B,189-846-B
tatlılıkla	5-933-B,6-3378-B,84-3064-B
tatma	90-1106-B
tatmak	70-231-B
tatmin	40-542-B,164-349-B
tatmin etmek	11-2912-B,164-464-B
tatsız	10-396-B,57-2077-B,61-33-B,77-2306-B,103-2746-B,118-1740-B,118-2246-B,125-408-B,190-2365-B,203-497-B,204-1778-B,209-536-B
tatsızlaşmak	77-2454-B,132-1571-B
tatsızlık	77-2319-B,202-2162-B
tatula	193-2588-B
taun	137-1165-B,139-639-B
tav	93-916-B,191-2845-B
tava	132-2066-B,173-57-B
tavan	28-1663-B
tavan arası	12-2521-B
tavassut	119-468-B
