blunt	17-2233-B,17-2245-B,17-2256-B,17-2267-B
bluntness	17-2278-B
board	17-2294-B,17-2305-B,17-2317-B,17-2328-B,17-2339-B,17-2351-B,17-2362-B,17-2373-B
boast	17-2385-B,17-2400-B,17-2413-B,17-2427-B,17-2441-B,17-2456-B,17-2473-B,17-2489-B,17-2506-B,17-2519-B,17-2532-B,17-2547-B,17-2561-B,17-2575-B,17-2589-B,17-2603-B,17-2617-B,17-2632-B,17-2645-B,17-2658-B,17-2676-B,17-2689-B,17-2703-B,17-2718-B
boaster	17-2731-B,17-2747-B,17-2761-B,17-2778-B
boastful	17-2793-B,17-2808-B
boat	17-2825-B,18-0-B,18-10-B,18-20-B
boatswain	18-32-B,18-54-B,18-76-B,18-96-B,18-114-B,18-132-B
bodkin	18-152-B,18-169-B,18-185-B,18-200-B
body	18-214-B,18-224-B,18-235-B,18-251-B,18-263-B,18-274-B,18-285-B
boil	18-301-B,18-314-B,18-328-B,18-342-B,18-355-B,18-366-B,18-379-B,18-392-B,18-402-B,18-414-B,18-425-B
boiler	18-436-B
boiling	18-449-B
bold	18-464-B,18-477-B
boldness	18-489-B,18-505-B
bolster	18-520-B,18-535-B
bolt	18-552-B,18-568-B,18-580-B,18-589-B,18-599-B,18-609-B,18-620-B,18-632-B,18-644-B,18-657-B,18-670-B,18-681-B,18-693-B,18-705-B,18-718-B,18-731-B
bomb	18-741-B,18-753-B,18-766-B
bombard	18-781-B
bond	18-800-B,18-812-B
bondage	18-825-B
bone	18-837-B,18-847-B,18-859-B,18-870-B
bonus	18-882-B,18-899-B,18-916-B,18-932-B,18-948-B,18-960-B,18-974-B,18-987-B,18-1002-B,18-1017-B
boo	18-1030-B
book	18-1041-B,18-1053-B,18-1063-B,18-1077-B,18-1091-B
boom	18-1104-B
boor	18-1118-B,18-1131-B,18-1143-B,18-1155-B,18-1166-B,18-1177-B
boorishness	18-1191-B
boot	18-1209-B,18-1219-B
border	18-1231-B,18-1244-B,18-1257-B,18-1271-B,18-1285-B,18-1298-B,18-1313-B,18-1328-B,18-1343-B,18-1358-B,18-1372-B,18-1385-B,18-1398-B,18-1411-B,18-1424-B,18-1438-B
bore	18-1452-B,18-1468-B,18-1480-B,18-1492-B,18-1503-B
boredom	18-1515-B,18-1532-B
boring	18-1547-B,18-1560-B,18-1574-B,18-1591-B,18-1606-B
boron	18-1622-B
borrow	18-1635-B,18-1649-B,18-1664-B,18-1679-B
borrower	18-1692-B,18-1707-B
borrowing	18-1723-B,18-1740-B
boss	18-1757-B,18-1767-B,18-1779-B,18-1793-B
botch	18-1805-B
bother	18-1820-B,18-1833-B,18-1850-B
bottle	18-1865-B,18-1880-B,18-1895-B
bottom	18-1910-B
bough	18-1923-B,18-1937-B
boundary	18-1949-B,18-1964-B,18-1980-B
bouquet	18-1995-B,18-2009-B,18-2024-B,18-2040-B,18-2064-B,18-2086-B
bourgeoisie	18-2101-B,18-2123-B,18-2147-B
bow	18-2167-B,18-2180-B,18-2196-B,18-2207-B,18-2217-B,18-2229-B,18-2240-B,18-2251-B,18-2262-B,18-2273-B,18-2286-B,18-2296-B,18-2306-B,18-2314-B,18-2324-B,18-2335-B,18-2346-B,18-2357-B,18-2368-B
bowl	18-2379-B,18-2391-B,18-2403-B,18-2415-B
bowsprit	18-2425-B
box	18-2442-B,18-2460-B,18-2470-B,18-2481-B,18-2492-B,18-2504-B,18-2515-B,18-2527-B,18-2539-B,18-2553-B,18-2573-B,18-2585-B,18-2597-B,18-2609-B
boxer	18-2620-B,18-2634-B,18-2652-B,18-2670-B
boxing	18-2689-B,18-2703-B
boycott	18-2717-B,19-0-B,19-14-B,19-29-B,19-45-B,19-62-B,19-78-B
boyfriend	19-95-B,19-112-B
brace	19-130-B
bracelet	19-143-B,19-160-B,19-177-B,19-192-B,19-207-B,19-223-B,19-240-B,19-255-B,19-270-B,19-284-B,19-300-B
bracken	19-317-B,19-331-B
brag	19-347-B,19-361-B,19-375-B,19-389-B,19-402-B,19-415-B,19-428-B
braggart	19-442-B,19-457-B
braid	19-473-B,19-485-B,19-499-B,19-512-B,19-524-B,19-538-B,19-551-B,19-567-B,19-582-B,19-594-B,19-605-B
brain	19-616-B,19-628-B,19-642-B,19-655-B
brainstorm	19-668-B
bran	19-686-B,19-697-B,19-709-B,19-720-B,19-732-B,19-744-B
branch	19-755-B,19-767-B,19-781-B,19-797-B,19-812-B,19-825-B,19-839-B,19-852-B,19-865-B,19-878-B
branching	19-892-B,19-909-B,19-927-B,19-942-B,19-958-B,19-974-B
brand	19-991-B
brass	19-1003-B,19-1015-B
brassiere	19-1027-B
bravado	19-1046-B,19-1062-B
brave	19-1077-B,19-1091-B,19-1102-B,19-1115-B,19-1128-B,19-1141-B,19-1154-B,19-1165-B,19-1180-B,19-1193-B
bravery	19-1207-B,19-1222-B,19-1235-B,19-1248-B,19-1264-B,19-1280-B,19-1296-B,19-1312-B,19-1330-B,19-1346-B,19-1360-B,19-1376-B
brazier	19-1392-B,19-1409-B
bread	19-1426-B,19-1439-B,19-1453-B,19-1467-B,19-1478-B
breadth	19-1489-B
break	19-1504-B,19-1517-B,19-1529-B,19-1542-B,19-1557-B,19-1570-B,19-1583-B,19-1599-B,19-1612-B,19-1625-B,19-1638-B,19-1650-B,19-1662-B,19-1675-B
breakdown	19-1688-B,19-1706-B,19-1723-B,19-1741-B
breakfast	19-1759-B,19-1784-B,19-1809-B,19-1833-B
breaking	19-1857-B,19-1874-B,19-1890-B,19-1905-B,19-1923-B,19-1941-B,19-1959-B,19-1977-B,19-1993-B,19-2009-B
breast	19-2026-B,19-2038-B,19-2052-B,19-2066-B,19-2080-B,19-2092-B
breastfeed	19-2104-B
breath	19-2126-B,19-2139-B,19-2153-B,19-2167-B,19-2180-B,19-2193-B,19-2205-B,19-2217-B
breathe	19-2231-B,19-2246-B
breathing	19-2264-B,19-2281-B,19-2298-B,19-2314-B,19-2330-B,19-2347-B
breed	19-2364-B,19-2376-B
breeding	19-2388-B
breeze	19-2405-B,19-2420-B
brevity	19-2434-B
bribe	19-2448-B,19-2461-B,19-2476-B,19-2487-B,19-2498-B,19-2513-B,19-2528-B,19-2544-B,19-2560-B,19-2576-B,19-2591-B,19-2606-B
bribery	19-2621-B,19-2639-B,19-2657-B,19-2675-B,19-2692-B,19-2708-B,19-2724-B
brick	19-2741-B,19-2756-B
bride	19-2769-B,19-2783-B,19-2797-B,19-2813-B
bridegroom	19-2829-B,19-2851-B
bridge	19-2875-B,19-2889-B,19-2904-B,19-2920-B,19-2934-B,19-2952-B,19-2970-B,20-0-B,20-13-B
bridle	20-25-B,20-39-B
brief	20-53-B
briefly	20-65-B
brig	20-80-B
brigand	20-95-B,20-111-B
bright	20-129-B,20-142-B,20-157-B,20-169-B
brighten	20-182-B,20-200-B
brightness	20-219-B,20-237-B,20-253-B,20-271-B,20-290-B,20-312-B,20-332-B,20-350-B,20-371-B,20-390-B,20-406-B,20-425-B,20-444-B,20-463-B,20-481-B,20-500-B,20-519-B
brilliant	20-536-B
brimful	20-553-B,20-566-B
bring	20-579-B
brink	20-591-B,20-603-B,20-615-B,20-629-B,20-642-B,20-654-B,20-666-B,20-679-B
briskly	20-690-B
broad	20-709-B,20-721-B,20-733-B
broadcast	20-748-B
broaden	20-767-B
brocade	20-782-B,20-798-B,20-814-B,20-830-B
broke	20-845-B,20-858-B,20-878-B
broken	20-898-B
broker	20-913-B,20-927-B
bromine	20-943-B
brooch	20-957-B,20-971-B
brood	20-985-B,20-999-B
brook	20-1012-B,20-1024-B,20-1037-B,20-1051-B
broom	20-1064-B,20-1077-B,20-1090-B,20-1102-B,20-1114-B,20-1128-B
broth	20-1140-B,20-1153-B
brothel	20-1167-B,20-1183-B
brother	20-1201-B,20-1213-B,20-1225-B,20-1237-B,20-1249-B,20-1264-B,20-1277-B,20-1294-B,20-1309-B
brother in law	20-1322-B,20-1343-B,20-1366-B,20-1389-B
brotherhood	20-1411-B,20-1429-B,20-1448-B,20-1467-B
browbeat	20-1486-B
brown	20-1505-B,20-1521-B,20-1535-B,20-1547-B,20-1575-B
bruise	20-1597-B,20-1612-B,20-1629-B,20-1652-B,20-1664-B,20-1676-B
brush	20-1697-B,20-1717-B,20-1728-B,20-1741-B,20-1755-B,20-1767-B,20-1778-B,20-1790-B,20-1804-B,20-1817-B,20-1830-B
brutal	20-1842-B,20-1856-B,20-1870-B
