investigate	21-933-B
lash	22-994-B,22-1006-B,22-1018-B,22-1032-B,22-1044-B,22-1055-B
last	22-1066-B
lasting	22-1081-B
late	22-1095-B,22-1107-B
lately	22-1123-B
later	22-1150-B
lather	22-1168-B
laud	22-1181-B
laugh	22-1194-B,22-1207-B
laughter	22-1222-B
launch	22-1240-B
laundress	22-1257-B,22-1285-B
laundry	22-1305-B
lavatory	22-1324-B,22-1344-B
lavish	22-1361-B
law	4-1686-S,4-2740-S,9-170-S,22-1375-B,22-1388-B,37-2518-S
lawful	22-1397-B,22-1415-B
lawless	22-1435-B
lawn	22-1474-B
lawnmower	22-1488-B
lawsuit	22-1520-B,22-1535-B
lawyer	22-1550-B,22-1565-B
lax	22-1583-B
lay	22-1593-B,22-1605-B
lazy	22-1619-B
lead	22-1632-B,22-1648-B,22-1661-B
leader	22-1676-B,22-1689-B,22-1707-B
leaf	15-3108-S,22-1724-B
leafy	22-1735-B
league	22-1751-B,22-1787-B
leak	22-1799-B,22-1810-B
lean	22-1820-B,22-1831-B,22-1845-B,22-1859-B,22-1874-B
leap	22-1888-B,22-1901-B
learn	22-1915-B
lease	22-1927-B,22-1943-B
leash	22-1981-B
least	22-1993-B
leather	22-2013-B
leave	22-2027-B,22-2040-B,22-2054-B,22-2069-B,22-2084-B
lecherous	22-2100-B,22-2121-B
lecture	22-2136-B,22-2151-B,22-2168-B,22-2187-B,22-2203-B
leer	22-2220-B,22-2235-B
left	22-2250-B,22-2263-B,22-2276-B
left handed	22-2286-B
leg	22-2304-B,22-2313-B
legacy	22-2321-B,22-2338-B
legal	22-2351-B
legend	22-2370-B
legible	22-2387-B
legislate	22-2402-B
legislative	22-2431-B,22-2454-B
legislature	22-2481-B
legitimacy	22-2505-B
leisure	22-2529-B
lemon	22-2560-B,22-2574-B,22-2586-B
lend	22-2603-B,22-2619-B
length	22-2635-B
lent	22-2647-B
less	22-2669-B,22-2680-B
lesson	22-2692-B,22-2707-B
lest	22-2723-B,22-2741-B
let	22-2759-B
lethal	22-2775-B
letter	22-2794-B,22-2807-B
lettuce	22-2819-B
level	22-2836-B,22-2848-B,22-2860-B,22-2874-B,22-2889-B
libel	22-2903-B,22-2932-B
liberal	22-2945-B,22-2961-B
liberate	22-2981-B
liberty	22-2999-B
librarian	22-3018-B
library	22-3054-B,22-3072-B
license	22-3090-B,22-3107-B
licensed	22-3125-B,22-3149-B
lick	22-3169-B,22-3182-B,22-3194-B
lie	22-3205-B,22-3219-B,22-3232-B
lieutenant	22-3247-B
life	22-3267-B
life guard	23-0-B
lift	23-25-B,23-38-B
light	23-52-B,23-66-B,23-81-B,23-96-B
lighten	23-107-B,23-126-B
lightning	23-141-B
like	23-157-B,23-171-B,23-184-B,23-195-B,23-207-B
likely	23-222-B
liken	23-242-B,23-256-B
likewise	23-269-B,23-286-B
lilt	23-302-B
limb	23-312-B,23-322-B,23-333-B,23-344-B,23-357-B
lime	23-367-B
limelight	23-377-B
limit	23-393-B,23-409-B
limitation	23-421-B,23-440-B
limitless	23-460-B
limping	23-485-B
line	23-505-B,23-525-B,23-536-B
lineage	23-547-B,23-566-B
linen	23-582-B,23-595-B
linger	23-606-B,23-624-B
lingering	23-649-B
linguist	23-671-B
link	23-699-B,23-711-B,23-725-B,23-738-B
lion	23-753-B
lionize	23-763-B
lip	23-786-B
liquid	23-796-B
liquidation	23-810-B,23-833-B
liquor	23-856-B,23-868-B
list	23-899-B,23-911-B,23-923-B
listen	23-937-B,23-951-B
literacy	23-967-B
literate	23-1010-B
literature	23-1049-B,23-1071-B
little	23-1090-B
live	23-1104-B,23-1116-B
livelihood	23-1131-B
lively	23-1151-B
liver	23-1174-B
livestock	23-1185-B
load	23-1218-B,23-1230-B,23-1245-B
loaf	23-1258-B,23-1274-B,23-1293-B
loan	23-1315-B,23-1331-B
loathe	23-1346-B,23-1363-B
loathesome	23-1380-B,23-1402-B
lobby	23-1422-B
local	23-1436-B,23-1448-B
locate	23-1482-B
location	23-1499-B
lock	23-1522-B,23-1536-B,23-1550-B,23-1563-B,23-1577-B,23-1590-B,23-1603-B
lockjaw	23-1616-B
lockup	23-1634-B
locomotive	23-1663-B
lodge	23-1691-B,23-1715-B,23-1730-B
lofty	23-1744-B,23-1758-B,23-1771-B
log	23-1787-B
logic	23-1797-B,23-1810-B
lone	23-1847-B
lonely	23-1861-B,23-1876-B
lonesome	23-1894-B,23-1912-B
long	23-1934-B,23-1949-B
longshoreman	23-1961-B
look	23-2022-B,23-2034-B
loom	23-2046-B,23-2060-B
loose	16-329-S,16-351-S,23-2075-B,23-2089-B,23-2104-B
loosen	23-2121-B,23-2135-B
loot	23-2150-B,23-2161-B
lord	23-2174-B,23-2192-B
lose	23-2205-B,23-2221-B
loss	23-2238-B
lot	23-2255-B
loud	23-2273-B,23-2286-B
love	23-2300-B,23-2316-B
lovely	23-2333-B,23-2348-B,23-2367-B
lover	23-2384-B,23-2400-B
low	23-2419-B,23-2429-B
loyal	23-2440-B
loyalty	23-2462-B,23-2480-B
luck	23-2500-B,23-2515-B
lucky	23-2527-B,23-2543-B,23-2560-B
ludicrous	23-2574-B
lumber	23-2597-B,23-2624-B
lump	23-2636-B,23-2647-B
lunatic	23-2658-B,23-2674-B
lunch	23-2698-B
lung	23-2712-B
lure	23-2722-B,23-2735-B,23-2748-B,23-2763-B
lurk	23-2777-B,23-2790-B
lush	23-2810-B,23-2822-B
lust	23-2835-B
luster	23-2849-B,23-2863-B
luxuriant	23-2880-B,23-2897-B
luxurious	23-2915-B,23-2932-B
luxury	23-2952-B,23-2965-B
lye	23-2977-B
machine	23-2988-B,41-1710-S
machinery	23-3003-B
machinist	23-3024-B
mad	23-3044-B
madam	23-3059-B,23-3072-B
madden	23-3082-B
magazine	23-3102-B
magic	23-3153-B,23-3166-B,23-3179-B
magical	23-3197-B,23-3216-B
magician	23-3237-B,23-3256-B
magistrate	23-3278-B,23-3295-B
magnate	23-3317-B,23-3343-B
magnet	23-3361-B
magnetize	24-0-B
magnificent	24-19-B,24-49-B
maid	24-75-B,24-86-B,24-100-B
maidenly	24-115-B,24-133-B
mail	24-152-B,24-163-B
mail order	24-179-B,24-195-B
main	24-225-B,24-241-B
mainstay	24-254-B
maintain	24-273-B,24-292-B
maintenance	24-311-B,24-333-B
majestic	24-354-B,24-373-B
majesty	24-388-B,24-408-B
major	24-426-B,24-451-B
majority	24-468-B
make	24-486-B,24-499-B,24-513-B,24-529-B
make up	24-576-B,24-592-B,24-610-B
maker	24-539-B
makeshift	24-554-B
malcontent	24-630-B
male	24-653-B
malediction	24-665-B,24-687-B
malefactor	24-709-B,24-729-B
man	24-749-B,24-763-B,24-774-B
manage	24-782-B,24-803-B
manager	24-818-B
mandate	24-837-B,24-851-B
mangle	24-864-B
mangrove	24-882-B
manhood	24-900-B
maniac	38-275-S
manicurist	24-931-B,24-954-B
manifest	24-978-B,24-997-B
manifold	24-1015-B,24-1031-B
manipulate	24-1049-B,24-1079-B
mankind	24-1099-B
manner	24-1121-B,24-1140-B
mansion	24-1156-B
manslaughter	24-1174-B
mantle	24-1210-B
manual	24-1224-B
manufacture	24-1250-B,24-1269-B,24-1291-B,24-1315-B
many	24-1336-B
map	24-1348-B
marble	24-1357-B
march	24-1371-B
mare	24-1384-B
margin	24-1406-B,24-1419-B
marital	24-1432-B
mark	24-1465-B,24-1476-B,24-1489-B
market	24-1500-B,24-1516-B,24-1530-B,24-1545-B
marriabeable	24-1561-B
marriage	24-1600-B,24-1615-B
martyr	24-1637-B
marvelous	24-1651-B
masculine	24-1674-B
mask	24-1695-B
mason	24-1708-B,24-1722-B
masonic	24-1749-B
masquerade	24-1779-B,24-1798-B
mass	24-1841-B
massacre	24-1851-B
master	24-1867-B,24-1881-B,24-1895-B,24-1910-B,24-1921-B
masthead	24-1932-B,24-1957-B
mat	24-2001-B,24-2011-B
match	24-2023-B,24-2036-B,24-2048-B
mate	24-2062-B,24-2073-B,24-2085-B
material	24-2107-B
materialistic	24-2128-B
materialize	24-2171-B,24-2190-B
matter	24-2213-B,24-2227-B,24-2241-B,24-2258-B,24-2273-B
mattress	24-2285-B
mature	24-2301-B,24-2322-B,24-2336-B
maturity	24-2359-B,24-2380-B
maul	24-2400-B,24-2412-B
maxim	24-2426-B
may	24-2442-B
maybe	24-2451-B,24-2463-B
mayflower	24-2482-B
mayor	24-2506-B
maze	24-2520-B
me	24-2538-B,24-2545-B
meadow	24-2556-B,24-2572-B
meadowy	24-2585-B,24-2610-B
meal	24-2624-B
mean	24-2637-B,24-2649-B
meandering	24-2661-B
meaning	24-2683-B
meantime	24-2701-B
meanwhile	24-2722-B
measles	24-2743-B
measly	24-2758-B
measure	24-2776-B,24-2791-B,24-2806-B,24-2820-B
meat	24-2837-B
mechanic	24-2848-B,24-2866-B
medal	24-2894-B
meddle	24-2908-B
meddling	24-2929-B
mediation	24-2949-B
medicine	24-2973-B
mediun	24-2989-B,24-3007-B
meek	24-3020-B,24-3032-B
meet	24-3045-B,24-3060-B
meeting	24-3075-B,24-3090-B
melancholic	24-3111-B
melody	24-3136-B
melt	24-3152-B
melting	24-3165-B
member	24-3181-B
membership	24-3195-B
membrane	24-3214-B
memorial	24-3236-B
memorize	24-3256-B
memory	24-3272-B
menace	24-3290-B
mend	24-3308-B
mendacious	24-3322-B
mendicant	24-3343-B,24-3367-B
mention	24-3383-B
mercenary	24-3402-B
merchandise	24-3422-B,24-3444-B
merchant	24-3466-B,24-3485-B
merciful	24-3505-B,24-3522-B
merciless	24-3542-B
mercy	24-3565-B,24-3575-B
mere	25-0-B,25-12-B
merger	25-23-B
merit	25-42-B,25-53-B
meritorious	25-69-B,25-91-B
merry	25-113-B
message	25-127-B,25-143-B
messenger	25-159-B,25-179-B
metaphor	25-198-B,25-219-B
meteoric	25-240-B,25-256-B
meter	25-273-B,25-287-B
method	25-299-B,25-312-B
microscopic	25-326-B,25-350-B
middle	25-377-B,25-396-B
midnight	25-409-B
midst	25-433-B,25-451-B
midwife	25-463-B,25-482-B,25-498-B
might	25-517-B,25-533-B
mighty	25-550-B,25-569-B
migratory	25-587-B,25-613-B
mild	25-635-B,25-649-B
mildew	25-660-B
mile	25-676-B,25-695-B
mileage	25-706-B
militant	25-722-B
military	25-745-B
militate	25-763-B,25-781-B
milk	25-799-B,25-810-B
milkfish	25-823-B
mill	25-839-B
miller	25-853-B,25-872-B
milling	25-891-B
million	25-910-B,25-925-B
millionaire	25-939-B
millionth	25-962-B
mimic	25-989-B
mind	25-1005-B,25-1015-B
mine	25-1028-B,25-1038-B,25-1052-B
miner	25-1062-B,25-1081-B
mingle	25-1094-B,25-1114-B
miniature	25-1133-B
minister	25-1156-B,25-1174-B
minor	25-1194-B,25-1208-B
mint	25-1222-B
minute	25-1243-B,25-1257-B
miracle	25-1271-B,25-1291-B
mire	25-1308-B
mirror	25-1320-B,25-1334-B,25-1349-B,25-1366-B
mirth	25-1382-B
mirthful	25-1399-B
miscellaneous	25-1418-B
mischief	25-1447-B,25-1466-B
mischievous	25-1486-B
miserable	25-1508-B
misery	25-1529-B
misfortune	25-1545-B
miss	25-1566-B,25-1578-B
mistake	25-1587-B,25-1605-B
mistress	25-1619-B,25-1645-B,25-1660-B
misty	25-1675-B,25-1690-B
mix	25-1704-B,25-1718-B
mixture	25-1729-B
moan	25-1744-B,25-1761-B
mob	25-1778-B
mobile	25-1791-B
mock	25-1812-B
mockery	25-1825-B,25-1842-B
mode	25-1859-B,25-1870-B,25-1885-B
model	25-1896-B,25-1909-B
moderate	25-1924-B
modern	25-1944-B,25-1959-B
modernistic	25-1974-B
modest	25-1996-B,25-2012-B
