a	1-0-B,1-6-B
attack	2-1799-B,2-1815-B
attain	2-1832-B
attainment	2-1846-B,2-1864-B,2-1883-B
attempt	2-1904-B,2-1920-B
attend	2-1938-B,2-1954-B,2-1969-B
attendant	2-1988-B,2-2008-B
attention	2-2027-B
attire	2-2050-B,2-2066-B
attorney	2-2079-B,2-2096-B
attract	2-2116-B,2-2132-B
attraction	2-2148-B,2-2169-B
attractive	2-2190-B
audacious	2-2213-B,2-2231-B
audience	2-2257-B,2-2276-B
aunt	2-2297-B
author	2-2307-B
authority	2-2323-B
authorize	2-2340-B
average	2-2362-B
avid	2-2388-B,2-2402-B
avoid	2-2415-B
await	2-2429-B
awake	2-2443-B
away	2-2456-B,2-2471-B
awe	2-2485-B,2-2496-B
awhile	2-2512-B
awl	2-2531-B
awning	2-2542-B
ax	2-2559-B
baby	2-2568-B,2-2592-B
back	2-2606-B
backward	2-2617-B
bacon	2-2636-B,2-2674-B
bad	2-2687-B
badge	2-2698-B
badly	2-2710-B
baffle	2-2729-B
bag	2-2745-B,2-2757-B,25-2270-S,25-2296-S
baggage	2-2766-B
baggasse	2-2781-B
baid	2-2797-B
bail	2-2810-B
bake	2-2822-B
baker	2-2836-B
bakery	2-2855-B
balance	2-2872-B
ball	2-2890-B,14-2349-S
ballot	2-2900-B
ballroom	2-2914-B,2-2932-B
bamboo	2-2947-B
bank	2-2962-B
banquet	2-2973-B
bargain	2-2990-B,2-3008-B
bark	2-3027-B
barker	2-3049-B,2-3063-B
barn	2-3081-B
barrel	2-3094-B
barren	2-3109-B,2-3121-B
barricade	2-3135-B,2-3150-B
base	2-3169-B,2-3191-B,2-3207-B
basement	2-3223-B,2-3239-B
basin	2-3255-B
basket	2-3280-B
bat	2-3292-B
bath	2-3302-B
bathroom	2-3315-B
battle	2-3354-B
bawl	2-3368-B
bay	3-0-B,3-10-B
be	3-23-B
beach	3-33-B
beacon	3-47-B
bead	3-63-B,3-77-B
beak	3-101-B
beam	3-113-B,3-125-B,3-139-B
bear	3-151-B,3-164-B,3-177-B,3-186-B,3-195-B,3-208-B
beard	3-221-B,3-234-B
bearing	28-1525-S,28-1546-S
beat	3-247-B,3-260-B
beautiful	3-274-B,3-292-B
beauty	3-310-B,3-325-B
because	3-340-B
become	3-359-B
becoming	3-373-B
bed	3-389-B,3-401-B
bedbug	3-410-B
bedroom	3-424-B
bee	3-446-B,3-456-B,3-466-B
beef	3-480-B
beefsteak	3-501-B
been	18-2682-S,18-2710-S
beer	3-518-B
before	3-531-B,3-543-B
beg	3-561-B
beggar	3-575-B,3-588-B
beggarliness	3-609-B
begin	3-631-B
beginner	3-646-B
beginning	3-664-B
behave	3-680-B
behavior	3-701-B
behind	3-719-B,3-735-B
behold	3-750-B
belief	3-768-B
believable	3-782-B
believe	3-804-B,3-820-B
bell	3-835-B
bells	45-1319-S
belong	3-850-B
beloved	3-866-B
below	3-884-B,3-900-B
belt	3-914-B,3-924-B
bend	3-936-B,3-952-B
beneath	3-966-B
benefit	3-984-B
bent	3-1003-B,3-1015-B
beseech	3-1025-B
beside	3-1043-B
besiege	3-1058-B,3-1074-B
besmear	3-1090-B
bespeak	3-1106-B,3-1126-B
best	3-1146-B
bestow	3-1164-B,3-1178-B
bet	3-1193-B
betray	3-1203-B
betrothal	3-1218-B
better	3-1252-B,3-1271-B
between	3-1291-B
beverage	3-1313-B
beware	3-1330-B,3-1347-B
beyond	3-1364-B
bible	3-1383-B,3-1410-B
bicycle	3-1423-B
bid	3-1441-B
bidder	3-1451-B
bier	3-1467-B,3-1482-B
big	3-1494-B,3-1503-B
bigwig	3-1513-B
bill	3-1536-B,3-1548-B,3-1559-B
billboard	3-1571-B,3-1592-B
bimounthly	3-1612-B
bind	3-1632-B,3-1646-B
bird	3-1658-B
birth	3-1670-B,3-1689-B
birthday	3-1704-B,3-1723-B
biscuit	3-1745-B
bishop	3-1761-B
bit	3-1775-B,3-1785-B
bite	3-1795-B,3-1810-B,3-1822-B,3-1833-B,3-1845-B
bitter	3-1858-B
black	3-1872-B
blackboard	3-1883-B
blackmail	3-1901-B
blacksmith	3-1934-B
bladder	3-1964-B
blade	3-1981-B,3-1993-B
blame	3-2005-B
blank	3-2019-B
blanket	3-2032-B,45-1895-S
blasphemy	3-2046-B
blast	3-2066-B,3-2079-B
blaze	3-2095-B
bleach	3-2110-B,3-2124-B
bleed	3-2140-B
blemish	3-2153-B,3-2167-B
blend	3-2182-B,3-2196-B
bless	3-2212-B
blessing	3-2226-B
blight	3-2241-B
blind	3-2259-B,3-2271-B,3-2286-B
bliss	3-2306-B
block	3-2322-B,3-2334-B,3-2357-B,3-2373-B
blockhead	3-2385-B
blood	3-2409-B
bloody	3-2420-B
bloom	3-2434-B,3-2448-B
blossom	3-2462-B
blot	3-2476-B,3-2487-B
blouse	3-2499-B,3-2512-B
blow	3-2540-B,3-2552-B
blow out	3-2563-B,3-2578-B
blue	3-2594-B,3-2604-B
bluff	3-2615-B,3-2628-B,3-2644-B
blunt	3-2672-B,3-2686-B
blush	3-2697-B,3-2713-B
board	3-2731-B,3-2747-B,3-2762-B
boarding house	3-2773-B
boast	3-2798-B
boat	3-2818-B,3-2829-B
body	3-2842-B
boil	3-2853-B,3-2864-B,3-2879-B
bold	3-2891-B,3-2903-B
bolo	3-2922-B
bolt	3-2936-B,3-2950-B
bomb	3-2962-B
bond	3-2973-B
bondage	3-2985-B
bone	3-3005-B
book	3-3017-B,3-3028-B,3-3039-B
bookkeeper	4-0-B
bootblack	4-21-B
border	4-49-B
bore	4-64-B,4-76-B
borrow	4-90-B,4-103-B,4-118-B
bosom	4-136-B,4-151-B
boss	4-164-B,4-176-B
both	4-191-B
bother	4-210-B
bothersome	4-226-B,4-248-B
bottle	4-267-B
bottom	4-282-B
bough	4-299-B
bought	4-311-B
boulder	4-326-B
boundary	4-349-B
bounty	4-366-B,4-379-B
bouquet	4-400-B
bow	4-427-B
bower	4-436-B
bowl	4-451-B
box	4-463-B,4-473-B
boy	4-488-B,4-508-B
boyish	4-532-B
bracelet	4-546-B
braid	4-564-B
brain	4-578-B
brake	4-589-B
bran	4-601-B
branch	4-613-B
brand	4-626-B
brass	4-638-B
brave	4-650-B,4-667-B
bread	4-680-B
breadfruit	4-694-B,4-724-B
breadline	4-740-B
breadth	4-769-B,4-783-B
break	4-799-B,4-813-B
breakdown	4-825-B
breakfast	4-846-B
breast	4-864-B,4-878-B
breath	4-890-B
breathless	4-905-B
bred	18-1499-S,18-1519-S
breed	4-937-B,4-955-B
breeding	4-971-B
breeze	4-989-B
brethren	4-1004-B
brevity	4-1024-B
bribe	4-1043-B
bribery	4-1056-B
brick	4-1072-B
bride	4-1083-B
bridegroom	4-1095-B
bridesmaid	4-1112-B
bridge	4-1128-B
bridle	4-1142-B,4-1155-B,4-1168-B
brief	4-1187-B
brigade	4-1202-B
brigand	4-1216-B,4-1232-B,4-1251-B
bright	4-1267-B,4-1281-B
brighten	4-1296-B
brilliant	4-1317-B,4-1334-B,4-1353-B
bring	4-1378-B
brink	4-1391-B,4-1403-B
brisk	4-1418-B,4-1432-B
brittle	4-1447-B,4-1463-B
broad	4-1479-B,4-1493-B
broadcast	4-1509-B
broil	4-1539-B,4-1554-B
broke	4-1568-B,4-1584-B
brood	4-1599-B
broom	4-1616-B
broth	4-1629-B
brother	4-1641-B
brother in law	4-1686-B
brotherhood	4-1665-B
brow	4-1707-B,14-2368-S
brown	4-1718-B,4-1734-B
bruise	4-1751-B
brush	4-1765-B,4-1778-B
brusque	4-1795-B,4-1818-B
bubble	4-1842-B
