liikatuotanto	171-3381-B
lisarakennus	4-506-B,9-1913-B,90-1111-B
lisata	4-378-B,10-3386-B,15-1876-B,84-1283-B,118-1762-B,128-962-B,132-4339-B,161-872-B,192-182-B,198-14-B,202-293-B,206-367-B,249-2896-B,252-42-B,258-147-B
lisatarvike	2-2418-B
lisavalaistus	226-779-B
lisavero	249-2378-B,250-2964-B
lisays	4-406-B,4-529-B,8-2128-B,15-1893-B,84-1300-B,106-81-B,113-1302-B,128-980-B,128-1493-B,131-2443-B,249-2916-B
lisa¤nimitys	85-2605-B
lisensiaatti	144-682-B
lisenssi	144-505-B,144-589-B,178-1877-B
lisko	146-1532-B,183-2494-B,215-2317-B
lista	19-1545-B,22-2661-B,36-2395-B,36-2445-B,43-1131-B,96-69-B,141-1063-B,145-2865-B,203-1273-B,211-2165-B
listata	145-2876-B
listoittaa	19-1558-B
litistaa	98-1306-B,238-2116-B
litistya	98-1288-B
litkia	140-2557-B,249-981-B
litku	72-2491-B,280-312-B
litografia	146-307-B
litra	146-469-B
littea	59-1459-B,98-1111-B
littera	143-2144-B,259-2537-B
litteroida	143-2159-B,263-3276-B
liturginen	146-789-B
liueta	73-3542-B
liukas	6-1008-B,109-228-B,164-2334-B,168-2382-B,196-1547-B,229-936-B,229-1890-B,230-281-B,230-489-B,230-3010-B,231-1556-B
liukaskielinen	109-240-B
liukasliikkeinen	6-1021-B,164-2348-B
liukaste	148-2462-B
liukastua	229-2970-B
liukenematon	129-824-B,131-3644-B
liukeneva	233-1377-B
liukkaus	230-259-B
liukoinen	233-1395-B
liukoisuus	233-1355-B
liuku	109-351-B,229-1993-B
liukua	109-363-B,228-946-B,229-949-B,229-2005-B,229-2985-B,230-455-B
liukuhihna	53-3519-B,53-3666-B
liukuminen	109-376-B,229-2018-B,229-2216-B,230-297-B
liukuportaat	86-1307-B
liukuva	229-2235-B,230-317-B
liuote	233-1579-B,275-1723-B
liuottaa	73-3558-B,142-21-B
liuska	97-2904-B,98-142-B,140-907-B,146-2301-B,172-2712-B,189-3261-B,223-2623-B,229-2997-B,245-1917-B,253-762-B
liuskakivi	229-546-B
liuske	216-2819-B,222-3467-B,229-563-B
liuskeinen	229-592-B
liuskesavi	222-3480-B
liuta	224-2271-B
livahtaa	185-452-B,229-2035-B,229-2791-B,229-3009-B,241-1447-B,282-2569-B,283-181-B
livertaa	40-2888-B,40-3030-B,265-2343-B,279-2036-B
liveta	229-3023-B
livistaa	1-2921-B,26-467-B
livree	146-1327-B
logo	147-642-B
lohdullinen	46-2734-B
lohduton	46-2847-B,68-1007-B,68-1217-B,71-3246-B,121-1662-B,127-4151-B
lohduttaa	46-2601-B,51-2560-B,233-241-B
lohduttaminen	46-2757-B
lohduttautua	51-2578-B
lohduttava	46-2782-B
lohduttomuus	68-1085-B
lohi	214-2467-B
lohikaarme	76-2333-B
lohjeta	40-2713-B,43-1245-B,209-1278-B,236-2844-B,236-3145-B
lohkaista	40-2726-B,43-1260-B,68-2401-B,220-3579-B,236-2861-B,236-3159-B
lohkare	24-2075-B,27-1255-B
lohko	24-2089-B,74-3214-B,146-2313-B,174-482-B,219-750-B,219-922-B,219-2490-B
loihtia	39-950-B,50-3162-B
loikata	27-1637-B,65-197-B,137-1873-B,142-1266-B,245-1085-B
loikka	27-1651-B,137-1886-B,142-1279-B,245-1100-B
loikkari	65-442-B
loikkaus	27-1664-B,65-285-B,121-1525-B,137-1898-B,142-1291-B
loikkia	27-1679-B,245-1114-B
loikoilla	147-771-B,148-754-B,237-1962-B
loimi	23-3213-B,212-3094-B,279-3089-B
loimu	24-559-B,97-3065-B,98-408-B,109-1749-B
loimuta	24-571-B,97-3077-B,98-420-B
loinen	174-305-B,237-401-B
loiselain	174-321-B
loiselaja	174-341-B
loiskahdus	183-1789-B,236-1972-B
loiskahtaa	236-1990-B
loiskasvi	174-362-B
loiske	140-2569-B,182-384-B,236-2008-B,280-323-B
loiskia	140-2580-B,182-397-B,236-2022-B,251-1503-B
loiskuttaa	236-2037-B
loistaa	108-2619-B,109-1760-B,224-969-B,235-95-B
loiste	29-2545-B,29-2620-B,108-2633-B,144-2116-B,149-1355-B,224-983-B,235-111-B,236-2652-B
loistelias	110-1365-B,111-422-B,149-1705-B,207-864-B,225-2184-B,236-2472-B,249-389-B
loisto	19-2674-B,29-2445-B,29-2563-B,29-2638-B,81-1429-B,109-1480-B,111-699-B,149-1369-B,149-1789-B,150-195-B,172-2795-B,184-2980-B,209-543-B,223-2178-B,224-996-B,225-1462-B,236-2619-B,236-2669-B,240-2769-B
loistoaika	119-1146-B
loistonumero	246-2212-B
loitsia	50-3178-B,83-1171-B
loitsija	149-3033-B,233-2909-B
loitsu	39-964-B,127-741-B,235-3200-B
loiva	107-2372-B
lojaali	148-2319-B
lojaalisuus	148-2369-B
lojua	144-995-B,147-786-B,148-771-B,237-1979-B
loka	71-409-B,160-2963-B,160-3090-B
lokainen	161-57-B,230-998-B
lokasuojus	161-147-B,284-2359-B
lokero	37-2137-B,47-3685-B,146-2855-B,174-3161-B,180-1363-B,219-764-B
loki	147-311-B
lokikirja	147-320-B,147-366-B
lokki	114-467-B
loksua	42-222-B,43-1984-B,98-154-B
loma	105-1101-B,106-1705-B,120-2082-B,133-3472-B,142-1933-B,201-278-B,274-997-B
lomailija	120-2201-B
lomake	23-3111-B,101-3192-B
lomapaiva	120-2095-B
lomatodistus	175-283-B
lomauttaa	105-1115-B
lomautus	105-1134-B
lomitse	22-971-B
lommo	66-3398-B
lompakko	22-2891-B,279-957-B
lonkero	12-1380-B,213-1698-B,256-2256-B,256-2767-B
lonkeroinen	262-963-B,284-1707-B
lonkka	116-3320-B,119-3226-B
lontystaa	149-116-B
loogikko	147-624-B
looginen	147-607-B
loosi	26-2388-B,27-2865-B,146-3110-B
lootus	148-434-B
lopen	8-767-B,196-3035-B
lopettaa	16-1179-B,44-417-B,48-1404-B,49-1883-B,68-1993-B,71-3412-B,73-324-B,83-2247-B,96-1975-B,243-1818-B,256-3453-B
lopettaminen	44-1025-B,48-1732-B,48-1828-B,49-2014-B,83-2647-B,96-2157-B,243-2483-B
loppu	44-432-B,49-2110-B,83-2260-B,83-2667-B,96-1991-B,204-2085-B,207-1431-B,256-3370-B,257-67-B
loppua	37-1418-B,83-2270-B,91-1881-B,96-2004-B,243-1832-B,256-3472-B
loppuaika	260-1103-B
loppuera	96-711-B
loppukilpailu	96-727-B
loppukiri	238-141-B,238-677-B
loppukohtaus	96-815-B
loppulause	49-2127-B
loppuliite	248-1901-B
loppuminen	83-2680-B,90-1773-B,91-2026-B,96-2180-B,243-2505-B
loppunaytos	85-2380-B
loppuosa	83-2281-B,204-2101-B,207-1442-B
loppupaa	83-2309-B,253-1923-B,253-2009-B
loppupiste	83-2294-B
loppuratkaisu	66-3066-B
loppusanat	60-18-B,85-2403-B
loppusointu	208-3757-B,209-2373-B
loppusumma	262-1409-B
lopputili	176-1809-B
lopputulos	49-2149-B,135-2343-B,170-3602-B,207-2444-B,273-1625-B
loppututkinto	65-2301-B,96-747-B,110-3287-B
loppuunmyynti	43-650-B,214-2193-B
lopuksi	96-899-B,141-641-B
lopullinen	65-1417-B,68-3180-B,87-1604-B,96-767-B,269-342-B
lopullisuus	96-878-B
loputon	37-1543-B,83-2750-B,130-648-B,133-2330-B,260-1226-B
loputtomiin	37-1625-B,83-2830-B,127-1586-B
lordi	147-2931-B
lorina	114-1046-B,194-2523-B
lorista	30-2597-B,31-2503-B,114-1060-B,194-2535-B
lornjetti	147-3050-B
lorpotella	16-1472-B,23-2060-B,39-2300-B,187-479-B
lorpottaa	16-1493-B,135-3150-B,162-3086-B
lorpottely	24-403-B,135-3130-B
lorppo	39-2399-B,98-2674-B,106-2495-B
loru	16-1460-B,165-1246-B,209-2102-B,212-2301-B
lorvailla	230-1142-B
lossi	106-1426-B,147-74-B
lotista	236-2055-B,238-3009-B,251-1517-B
lotja	18-2010-B,144-2576-B
louhia	24-211-B,70-667-B,88-58-B,156-2578-B,196-0-B
louhos	88-134-B,156-2590-B,181-539-B,196-14-B,286-834-B
lounas	149-732-B,149-745-B,234-1679-B,259-3183-B
loydos	96-1196-B,96-1353-B
loyha	135-514-B,141-2614-B,147-2265-B,228-2287-B
loyhentaa	147-2533-B,204-208-B,228-2587-B
loyhka	202-1445-B,241-2512-B,242-2855-B
loyhkata	202-1459-B,242-2870-B
loyhtya	147-2553-B,204-227-B,228-2608-B
loyhytella	92-2294-B
loyhyys	141-2670-B,141-2686-B,147-2690-B,228-2761-B
loyly	118-186-B,241-1700-B
loylyttaa	258-2781-B,266-1583-B,279-1028-B
loysa	147-2279-B,213-1946-B,228-2301-B,232-2717-B,280-2613-B
loysata	147-2570-B,228-2626-B
loytaa	72-205-B,96-1210-B,245-1300-B
loytaja	72-260-B,96-1299-B
loytaminen	96-1370-B,245-1425-B
loyto	72-302-B,96-1225-B,96-1391-B
loytopalkkio	208-3307-B
loytoretkeilija	89-3434-B
loytoretki	72-320-B,89-3373-B
luentosali	15-1798-B,149-1836-B,257-2215-B
luetella	55-2863-B,85-1498-B,108-1822-B,135-2830-B,145-2889-B,162-1005-B,201-845-B
luettelo	22-2672-B,36-2409-B,36-2461-B,71-332-B,134-2320-B,145-2903-B,203-1288-B,211-582-B,216-2447-B
luhistua	45-2556-B,59-1382-B,102-2389-B,267-1179-B
luhistuminen	45-2574-B,267-1346-B
luhti	147-87-B
luihu	63-2745-B,105-1867-B,114-160-B,230-2286-B,232-13-B,284-1057-B
luikerrella	189-775-B,268-1967-B,284-1378-B,287-564-B
luinen	26-1039-B,26-1264-B
luiseva	26-1276-B,217-1926-B,217-2673-B,228-1554-B
luiskahtaa	86-1444-B,191-1895-B,229-2050-B,229-3036-B,230-470-B
luistaa	109-393-B,213-1211-B,229-2067-B,229-3052-B
luistava	99-2637-B,229-2251-B,230-334-B,231-1570-B
luistelija	228-378-B
luistella	228-335-B
luistelu	228-1001-B
luistin	228-351-B
luistinrata	209-2905-B
luisto	228-958-B,229-3065-B,230-352-B
luisu	230-762-B,230-904-B
luja	51-3465-B,79-1387-B,93-1383-B,97-21-B,115-3271-B,130-1542-B,206-3442-B,233-811-B,234-713-B,239-511-B,239-2594-B,241-595-B,241-1005-B,241-1168-B,244-143-B,245-2739-B,246-2763-B,247-3166-B,256-1076-B,256-1216-B,260-71-B,262-2396-B,272-2480-B,284-3166-B
lujaa	93-1393-B,115-3281-B,148-513-B
lujaluonteinen	97-31-B,243-1019-B
lujarakenteinen	233-822-B,246-2775-B
lujatahtoinen	194-2938-B
lujatekoinen	97-51-B,233-844-B
lujittaa	37-2422-B,50-1199-B,51-2616-B,102-1007-B,203-3099-B,219-1068-B,244-3285-B
lujittaminen	50-1387-B,51-2753-B,244-3412-B
lujittua	51-2637-B,221-2577-B,242-1424-B,244-3305-B
lujittuminen	51-2780-B,221-3230-B,244-3439-B
lujuus	68-3245-B,93-1642-B,97-334-B,102-1059-B,163-3203-B,206-3488-B,233-1048-B,233-1109-B,239-351-B,241-1075-B,241-1114-B,244-3192-B,281-963-B
lukea	55-2878-B,166-1481-B,179-258-B,198-2109-B,199-531-B,199-3230-B,201-1056-B,215-3013-B,246-1113-B,247-3794-B,255-2909-B
lukema	128-3593-B,200-323-B
lukematon	56-94-B,127-697-B,131-737-B,166-1607-B,272-1178-B,272-3732-B
lukeminen	56-57-B,179-221-B,198-2293-B,199-1087-B,200-338-B,215-3122-B,246-1313-B,255-3109-B
lukemisto	199-3287-B
lukeneisuus	200-356-B
lukenut	86-959-B,282-76-B
lukija	199-3304-B
lukijakunta	200-35-B
lukita	146-2749-B
lukitseminen	146-2887-B
lukkari	187-1211-B
lukko	29-704-B,42-1852-B,141-685-B,146-2761-B,172-2609-B,243-2303-B
lukkoseppa	146-2953-B
luku	38-2994-B,70-864-B,95-2867-B,166-1494-B,166-1646-B,200-376-B
lukuhaluinen	26-1606-B
lukuhuone	246-1125-B
lukuisa	103-2400-B,161-1043-B,166-1809-B
lukujarjestys	216-2465-B,260-1327-B
lukukappale	143-1713-B
lukukausi	220-1067-B,221-2243-B,256-3128-B
lukukirja	200-0-B
lukumaara	166-1506-B
lukumaarainen	166-1759-B
lukumies	216-2935-B
lukusana	166-1659-B
lukusuunnitelma	60-2893-B,252-2421-B
lukutaidoton	124-2301-B
lukutaidottomuus	124-2273-B
lukutaito	146-39-B
lukutaitoinen	146-177-B
lukutoukka	26-1756-B
lumentulo	187-1691-B,232-908-B,232-1104-B
lumi	187-1546-B,232-923-B
lumiaura	232-1237-B
lumihanki	232-1045-B
lumihiutale	232-1155-B
lumikello	232-1085-B
lumikinos	232-1065-B
lumikko	281-1417-B
lumimies	232-1177-B,287-2751-B
lumimyrsky	24-1816-B,232-1257-B
luminen	232-1333-B
lumipallo	232-994-B
lumipyry	232-933-B,232-1278-B
lumiranta	229-1316-B
lumisade	232-1123-B
lumisohjo	230-2146-B
lumituisku	24-1836-B
lumiukko	232-1194-B
lumivalkea	232-947-B
lumo	83-1256-B
lumoaminen	39-1215-B,93-955-B
lumoava	39-1235-B,93-978-B,108-2361-B
lumooja	83-1218-B,285-415-B
lumoojatar	83-1334-B
lumota	22-1331-B,39-977-B,83-1187-B,84-3673-B,93-852-B,199-2502-B
lumous	22-1377-B,39-990-B,83-1273-B,93-1063-B,108-2398-B,129-4455-B,235-3213-B
lumousvoima	39-1003-B,83-1292-B
lumppu	197-2113-B,230-2232-B
lunastaa	32-2617-B,36-1238-B,38-2005-B,42-288-B,121-608-B,121-834-B,154-2047-B,176-1447-B,202-107-B
lunastus	176-1727-B,202-152-B,250-1152-B
lunnaat	198-2417-B
lunni	193-3463-B
luntata	39-2950-B,58-927-B
luntti	58-940-B
luoda	19-2853-B,36-1579-B,57-2667-B,225-1313-B,259-1055-B,279-3100-B
luodata	93-2214-B,183-988-B,234-724-B
luode	80-1648-B,165-1976-B,202-2925-B
luodikko	209-1153-B
luodinkestava	31-900-B
luoja	57-2859-B
luokaton	42-2415-B
luokitella	42-1999-B,42-2355-B,110-2925-B,113-550-B,139-2372-B,234-263-B
luokittaa	42-2375-B,110-2942-B,198-1725-B,198-2120-B
luokittaminen	110-3161-B,198-1915-B,198-2311-B
luokka	36-3286-B,42-2016-B,66-2857-B,101-3204-B,110-2958-B,170-206-B,178-3816-B,199-542-B,199-1104-B,219-779-B
luokkahuone	42-2457-B
luokkatietoinen	42-2097-B
luokkatoveri	42-2434-B
luokse	261-402-B
luoksepaasematon	73-3826-B,126-3436-B,269-1028-B
luoksepaasemattomyys	126-3395-B
luoksepaastava	2-2339-B,11-1537-B
luola	37-1136-B,37-1180-B,66-2591-B,80-307-B,113-97-B,120-2007-B,140-516-B
luolaihminen	37-1159-B
luomakunta	57-2710-B
luomi	23-865-B,90-3585-B,158-2871-B
luominen	36-1875-B,57-2730-B
luomiskyky	57-2813-B,57-2837-B
luomus	57-2748-B
luona	11-544-B,14-2450-B,32-2905-B,285-557-B
luonne	38-3206-B,46-838-B,46-1188-B,48-1989-B,48-3077-B,73-1634-B,111-100-B,150-1924-B,162-3651-B,178-3240-B,236-1229-B,261-2044-B
luonnollinen	13-910-B,130-2461-B,162-3154-B
