bilk	27-1291-B,27-1306-B
bill	27-1319-B,27-1333-B,27-1346-B,27-1360-B,27-1369-B,27-1381-B,27-1395-B,27-1406-B,27-1419-B,27-1433-B,27-1443-B,27-1456-B,27-1471-B
bill of exchange	27-1483-B
billet	27-1517-B,27-1537-B,27-1554-B,27-1570-B
billiard	27-1583-B
billiards	27-1600-B
billing	27-1618-B
billion	27-1638-B,27-1654-B
billionaire	27-1671-B
billow	27-1696-B
billowing	27-1714-B
billy	27-1733-B,27-1747-B
billy goat	27-1762-B
bimetallism	27-1778-B
bimolecular	27-1804-B
bin	27-1831-B,27-1842-B
binary	27-1855-B
bind	27-1870-B,27-1882-B,27-1896-B,27-1908-B,27-1920-B,27-1933-B,27-1946-B,27-1956-B,27-1969-B,27-1980-B,27-1993-B,27-2008-B
binder	27-2020-B,27-2036-B
binding	27-2051-B,27-2068-B,27-2088-B
bingo	27-2104-B
binocular	27-2115-B
binoculars	27-2137-B,27-2157-B
binomial	27-2176-B
biochemical	27-2193-B
biochemist	27-2217-B
biochemistry	27-2240-B
biogenesis	27-2263-B
biogenetic	27-2285-B
biographer	27-2311-B
biographical	27-2332-B
biography	27-2358-B
biologic	27-2379-B
biological	27-2399-B
biologist	27-2421-B
biology	27-2442-B
biomass	27-2459-B
biometrics	27-2476-B
biometry	27-2498-B
biophysics	27-2518-B
bioscope	27-2541-B
biotechnology	27-2558-B
biotin	27-2587-B
bipartite	27-2602-B
biped	27-2620-B
biplane	27-2634-B
bipolar	27-2649-B
birch	27-2667-B
bird	27-2681-B,27-2693-B,265-3339-S
bird of prey	27-2703-B,27-2732-B
birdie	27-2752-B
birefringence	27-2768-B
birefringent	27-2797-B
birth	27-2824-B,27-2843-B,27-2862-B,27-2880-B,27-2896-B,109-509-S
birth rate	27-2912-B
birth to	109-530-S,109-553-S
birthday	27-2933-B
birthplace	27-2955-B,27-2974-B
biscuit	27-3003-B
bisect	27-3019-B
bishop	27-3033-B,27-3044-B
bishopric	27-3060-B
bismuth	27-3081-B
bison	27-3097-B
bistro	27-3109-B
bit	27-3123-B,27-3131-B,27-3140-B,27-3149-B,27-3161-B,27-3170-B,27-3178-B
bitch	27-3189-B,27-3203-B,27-3217-B
bitchy	27-3229-B,27-3245-B
bite	27-3258-B,27-3270-B,28-0-B,28-13-B,28-26-B,28-38-B
biting	28-50-B,28-67-B,28-83-B,28-98-B,28-114-B,28-129-B
bitten	28-142-B,116-2141-S
bitter	28-155-B,28-169-B,28-182-B,28-194-B,28-206-B,28-219-B,28-230-B,28-245-B,28-258-B
bitterly	28-271-B
bittern	28-291-B
bitterness	28-305-B,28-324-B,28-344-B,28-364-B
bitters	28-384-B,28-397-B
bitumen	28-412-B
bituminize	28-427-B
bizarre	28-446-B,28-462-B,28-480-B,28-498-B
bizarreness	28-515-B
blab	28-538-B,28-552-B,28-566-B
black	28-577-B,28-589-B,28-603-B,28-618-B,28-629-B,28-643-B,28-656-B,28-669-B,28-680-B,28-693-B
blackbeetle	28-704-B,28-723-B,28-742-B
blackbird	28-764-B
blackboard	28-780-B
blackcurrant	28-799-B
blacken	28-819-B
blackening	28-835-B
blackguard	28-860-B
blackhead	28-880-B
blackish	28-899-B
blacklead	28-918-B,28-937-B
blackleg	28-958-B,28-973-B
blacklist	28-989-B
blackmail	28-1011-B
blackness	28-1030-B,28-1051-B
blacksmith	28-1072-B
blackthorn	28-1092-B
bladder	28-1114-B
bladderwort	28-1129-B
blade	28-1153-B,28-1164-B,28-1175-B,28-1186-B,28-1199-B,28-1213-B
blame	28-1224-B,28-1238-B,28-1252-B,28-1271-B,28-1283-B,28-1298-B,28-1314-B
blameless	28-1330-B
blanch	28-1349-B,28-1365-B
bland	28-1379-B
blandish	28-1390-B
blandishment	28-1407-B
blank	28-1430-B,28-1443-B,28-1455-B,28-1472-B,28-1486-B
blanket	28-1497-B,28-1512-B,28-1531-B
blankness	28-1549-B
blare	28-1564-B,28-1578-B,28-1595-B
blarney	28-1609-B
blase	28-1627-B
blaspheme	28-1640-B,28-1662-B
blasphemous	28-1678-B
blasphemy	28-1696-B
blast	28-1717-B,28-1733-B,28-1749-B,28-1765-B
blast off	28-1784-B,28-1804-B
blasted	28-1821-B,28-1835-B
blastula	28-1850-B
blaze	28-1868-B,28-1884-B,28-1894-B,28-1908-B,28-1927-B,28-1943-B,28-1956-B,28-1971-B,28-1987-B,28-2000-B
blazer	28-2015-B,28-2029-B,28-2042-B
blazing	28-2056-B,28-2071-B
blazon	28-2088-B,28-2105-B,28-2119-B
blazonry	28-2136-B
bleach	28-2152-B,28-2168-B
bleaching	28-2186-B
bleak	28-2208-B,28-2223-B,28-2237-B,28-2249-B
bleakly	28-2262-B
bleat	28-2281-B
