repine	201-193-B
repulsive	201-2962-B,201-2985-B,201-3004-B,201-3023-B,201-3044-B
reputable	201-3064-B,201-3082-B
reputation	201-3102-B,201-3119-B
repute	201-3142-B,201-3155-B,201-3172-B
request	201-3191-B,201-3207-B,201-3224-B,201-3238-B,201-3254-B,201-3272-B,201-3290-B,201-3311-B,201-3333-B
requiem	201-3352-B
require	201-3368-B,201-3392-B,201-3409-B,201-3424-B,201-3444-B,201-3458-B,201-3476-B,201-3494-B
required	201-3510-B
requirement	201-3526-B,201-3545-B,201-3567-B,201-3587-B,201-3608-B
requisite	201-3632-B,201-3656-B,201-3678-B
requisition	201-3695-B,201-3715-B,201-3740-B
requital	201-3768-B,201-3786-B
requite	201-3807-B
rerun	201-3828-B
rescind	201-3842-B,201-3858-B,201-3874-B,202-0-B,202-18-B,202-36-B
rescission	202-54-B,202-76-B,202-98-B
rescue	202-119-B,202-133-B
rescuer	202-150-B,202-170-B,202-188-B
research	202-207-B,202-228-B,202-246-B,202-264-B,202-282-B,202-305-B,202-324-B,202-344-B,202-368-B,202-390-B
researcher	202-406-B
resection	202-427-B
reseller	202-448-B
resemblance	202-470-B
resemble	202-495-B
resentful	202-515-B
resentment	202-533-B,202-551-B,202-571-B
reservation	202-590-B,202-614-B,202-639-B
reserve	202-660-B,202-678-B,202-694-B,202-711-B
reserved	202-729-B,202-745-B
reserving	202-764-B
reservist	202-785-B
reservoir	202-807-B
reside	202-828-B,202-844-B,202-859-B
residence	202-875-B,202-893-B,202-912-B,202-933-B,202-949-B,202-970-B,202-987-B
residency	202-1005-B,202-1023-B,202-1042-B,202-1063-B,202-1084-B
resident	202-1101-B,202-1119-B
residential	202-1138-B
residue	202-1163-B,202-1177-B
residuum	202-1193-B,202-1208-B
resign	202-1225-B,202-1243-B,202-1264-B,202-1280-B
resignation	202-1297-B,202-1317-B,202-1340-B,202-1365-B
resigning	202-1390-B
resilience	202-1411-B,202-1430-B
resiliency	202-1454-B,202-1473-B
resilient	202-1497-B,202-1518-B
resin	202-1539-B
resist	202-1553-B
resistance	202-1570-B
resistant	59-2557-S,118-1373-S,202-1593-B,202-1612-B,267-2594-S
resistent	202-1633-B
resistor	202-1654-B
resolute	202-1675-B,202-1692-B,202-1710-B,202-1731-B,202-1746-B
resolutely	202-1763-B
resolution	202-1786-B,202-1806-B,202-1827-B,202-1853-B,202-1879-B,202-1899-B,202-1922-B
resolve	202-1942-B,202-1959-B,202-1977-B,202-1994-B,202-2014-B
resolved	202-2032-B,202-2050-B,202-2071-B
resonance	202-2088-B
resonant	202-2109-B,202-2129-B
resonate	202-2145-B
resorb	202-2164-B
resorption	202-2181-B
resort	202-2204-B
resound	202-2219-B,202-2236-B,202-2254-B,202-2269-B
resounding	202-2284-B,202-2308-B,202-2330-B,202-2348-B
resource	202-2369-B,202-2384-B
resources	202-2403-B
respect	202-2424-B,202-2443-B,202-2466-B,202-2481-B,202-2497-B,202-2513-B,202-2529-B,202-2545-B,202-2563-B
respectability	202-2578-B
respectable	202-2609-B,202-2632-B,202-2654-B
respecting	202-2678-B
respective	202-2700-B
respiration	202-2721-B,202-2741-B
respirator	202-2765-B
respiratory	202-2788-B
respire	202-2813-B
respite	202-2830-B,202-2847-B,202-2862-B,202-2879-B,202-2894-B
resplendence	202-2909-B,202-2939-B
resplendent	202-2962-B,202-2989-B
respond	202-3014-B,202-3030-B
respondent	202-3048-B
response	202-3070-B,202-3089-B,202-3108-B
responsibility	202-3126-B
responsible	202-3157-B
responsive	202-3181-B,202-3208-B
rest	202-3228-B,202-3239-B,202-3257-B,202-3269-B,202-3280-B,202-3291-B,202-3302-B,202-3315-B,202-3328-B,202-3339-B,202-3351-B,202-3363-B,202-3379-B,202-3392-B,202-3405-B,202-3418-B,202-3437-B
restate	202-3449-B
restaurant	202-3467-B
restaurateur	202-3489-B
rested	202-3515-B
restful	202-3530-B,202-3544-B
restitution	202-3563-B,202-3588-B
restive	202-3612-B,202-3627-B
restless	202-3642-B,202-3658-B,202-3677-B
restlessness	202-3694-B,202-3719-B
restoration	202-3743-B,202-3768-B,202-3792-B
restore	202-3820-B,203-0-B,203-15-B,203-33-B,203-51-B,203-72-B,203-89-B,203-106-B
restorer	203-124-B
restrain	203-146-B,203-162-B,203-178-B,203-196-B,203-217-B,203-234-B,203-251-B,203-271-B,203-289-B,203-307-B,203-326-B,203-347-B
restrained	203-366-B
restraint	203-385-B,203-403-B,203-420-B,203-442-B,203-464-B,203-482-B,203-501-B
restrict	203-522-B,203-539-B
restricted	203-560-B,203-578-B,203-597-B
restriction	203-618-B,203-641-B,203-665-B
result	203-688-B,203-703-B,203-724-B,203-744-B,203-761-B,203-774-B,203-787-B,203-803-B,203-820-B,203-837-B,203-850-B
resultant	203-864-B
resume	203-886-B,203-903-B,203-921-B,203-936-B,203-953-B,203-969-B,203-985-B
resumption	203-1002-B,203-1026-B
resurgence	203-1045-B,203-1066-B
resurrect	203-1085-B,203-1103-B,203-1125-B
resurrection	203-1146-B,203-1167-B
resuscitate	203-1194-B,203-1214-B,203-1238-B
retail	203-1260-B,203-1277-B,203-1292-B,203-1310-B
retailer	203-1327-B
retain	203-1348-B,203-1365-B,203-1379-B,203-1396-B,203-1411-B
retainer	203-1428-B
retaliation	203-1447-B,203-1468-B
retard	203-1490-B,203-1505-B,203-1521-B
retardation	203-1537-B,203-1556-B
retarded	203-1580-B,203-1599-B
retention	203-1617-B,203-1640-B,203-1659-B,203-1678-B
reticence	203-1699-B
reticent	203-1721-B,203-1740-B
retina	203-1759-B
retinue	203-1774-B,203-1791-B,203-1807-B
retire	203-1821-B,203-1839-B,203-1853-B,203-1868-B,203-1883-B
retired	203-1901-B
retiree	203-1919-B
retirement	203-1937-B,203-1956-B
retiring	203-1976-B
retort	203-1995-B,203-2011-B
retouch	203-2028-B
retract	203-2046-B,203-2065-B,203-2083-B
retraction	203-2102-B,203-2122-B
retrain	203-2141-B,203-2158-B
retraining	203-2178-B
retread	203-2199-B
retreat	203-2216-B,203-2235-B,203-2249-B,203-2276-B,203-2290-B,203-2306-B,203-2321-B,203-2335-B,203-2351-B,203-2368-B
retrench	203-2387-B,203-2408-B
retribution	203-2426-B,203-2449-B,203-2470-B,203-2494-B
retrieval	203-2516-B
retrieve	203-2536-B,203-2555-B,203-2574-B,203-2593-B,203-2615-B,203-2633-B,203-2652-B,203-2668-B
retrograde	203-2683-B,203-2706-B
retrogress	203-2730-B,203-2749-B
retrogressive	203-2768-B
retrospective	203-2793-B
retrospectively	203-2821-B
return	203-2856-B,203-2873-B,203-2888-B,203-2905-B,203-2921-B,203-2935-B,203-2950-B,203-2966-B,203-2980-B,203-2996-B,203-3013-B,203-3032-B,203-3046-B,203-3063-B,203-3078-B,203-3095-B,203-3110-B
returning	203-3124-B
reunion	203-3141-B,203-3160-B,203-3182-B,203-3200-B
reunite	203-3217-B
rev	203-3236-B
revaluation	203-3245-B,203-3272-B
revalue	203-3299-B
revamp	203-3319-B
reveal	203-3337-B,203-3353-B,203-3371-B,203-3389-B,203-3408-B,203-3425-B,203-3439-B
revealed	203-3456-B
revealing	203-3474-B,203-3494-B
revelation	203-3517-B
revenge	203-3541-B,203-3558-B,203-3576-B
revengeful	203-3591-B
revenger	203-3613-B
revenue	203-3630-B
reverberate	203-3645-B,203-3666-B,203-3690-B
reverberation	204-0-B,204-28-B
revere	204-58-B,204-72-B,204-87-B,204-104-B
reverence	204-121-B,204-139-B
reverend	204-161-B
revers	204-182-B
reversal	204-196-B,204-216-B,204-238-B
reverse	204-258-B,204-274-B,204-290-B,204-308-B,204-325-B,204-340-B,204-360-B,204-376-B,204-393-B,204-410-B,204-427-B,204-443-B,204-461-B,204-479-B,204-494-B,204-512-B,204-526-B
reversed	204-541-B
reversible	204-558-B
reversion	204-581-B
revert	204-598-B,204-615-B
review	204-630-B,204-646-B,204-660-B,204-673-B,204-689-B
reviewed	204-706-B
reviewer	204-724-B
revile	204-742-B,204-758-B
revisal	204-774-B
revise	204-791-B,204-807-B,204-823-B,204-837-B
revised	204-853-B,204-870-B,204-887-B,204-900-B
revising	204-917-B
revision	204-936-B,204-955-B
revitalize	204-974-B,204-993-B
revival	204-1013-B,204-1029-B
revive	204-1045-B,204-1060-B,204-1075-B,204-1091-B,204-1109-B,204-1128-B
revived	204-1145-B
revivify	204-1161-B
revocable	204-1181-B
revocation	204-1202-B,204-1224-B,204-1243-B
revoke	204-1266-B,204-1281-B,204-1296-B,204-1316-B,204-1333-B,204-1348-B,204-1366-B
revolt	204-1383-B,204-1397-B,204-1417-B,204-1435-B,204-1451-B,204-1471-B
revolting	204-1488-B,204-1505-B,204-1526-B
revolution	204-1547-B,204-1570-B
revolutionary	204-1586-B
revolve	204-1617-B
revolver	204-1633-B
revolving	204-1651-B,204-1669-B
revue	204-1688-B
revulsion	204-1700-B
reward	204-1722-B,204-1741-B,204-1761-B,204-1780-B
rewrite	204-1795-B,204-1812-B
rhetoric	204-1829-B
rheumatism	204-1849-B
rhino	204-1871-B
rhinoceros	204-1889-B
rhizome	204-1912-B
rhomb	204-1928-B
rhombus	204-1942-B
rhubarb	204-1958-B
rhyme	204-1975-B,204-1988-B,204-2002-B,204-2018-B,204-2029-B,204-2041-B
rhymester	204-2052-B
rhythm	204-2069-B,204-2084-B
rhythmic	204-2098-B,204-2116-B,204-2135-B
rhythmical	204-2152-B,204-2172-B,204-2193-B
rib	204-2212-B,204-2222-B
riband	204-2235-B
ribbon	204-2248-B,204-2261-B,204-2275-B
rice	204-2288-B
rich	204-2297-B,204-2311-B,204-2322-B,204-2335-B,204-2351-B,204-2362-B,204-2377-B
riches	204-2391-B
richly	204-2407-B
richness	204-2424-B,204-2443-B,204-2460-B,204-2480-B
rick	204-2498-B
rickets	204-2509-B
rickety	204-2528-B,204-2543-B,204-2560-B
rid	204-2579-B,204-2594-B,204-2611-B
riddle	204-2625-B,204-2642-B,204-2658-B
ride	204-2673-B,204-2684-B,204-2696-B,204-2712-B,204-2724-B,204-2736-B,204-2748-B,204-2758-B,204-2770-B
rider	204-2782-B,204-2796-B,204-2811-B,204-2826-B
ridge	204-2839-B,204-2852-B,204-2865-B
ridicule	204-2878-B,204-2897-B,204-2915-B,204-2934-B
ridiculous	204-2955-B,204-2976-B,204-2996-B
ridiculousness	204-3015-B
riding	204-3039-B
rife	204-3058-B,204-3072-B,204-3083-B,204-3095-B
riffraff	204-3109-B
rifle	204-3127-B,204-3142-B,204-3159-B,204-3171-B
rifleman	204-3184-B
rift	204-3202-B,204-3216-B,204-3228-B,204-3239-B
rig	204-3252-B,204-3263-B,204-3277-B,204-3293-B
rigging	205-0-B
right	205-20-B,205-35-B,205-45-B,205-59-B,205-78-B,205-91-B,205-109-B,205-121-B,205-134-B,205-146-B,205-158-B,205-172-B,205-189-B,205-209-B,205-219-B,205-235-B,205-247-B,205-258-B,205-273-B
right away	205-290-B,205-311-B,205-337-B,205-355-B
right hand	205-399-B
right hander	205-416-B
right side	205-380-B
righteous	205-438-B,205-454-B,205-470-B
rightful	205-490-B,205-505-B,205-521-B
rightly	205-540-B,205-561-B
rightness	205-579-B,205-600-B
rights	205-619-B
rigid	205-633-B,205-650-B,205-662-B,205-675-B,205-688-B
rigidity	205-703-B,205-720-B,205-739-B
rigor	205-760-B,205-778-B
rigorous	205-792-B
rigour	205-811-B,205-830-B,205-845-B,205-864-B
rill	205-880-B
rim	205-894-B,205-903-B,205-914-B,205-925-B,205-936-B,205-949-B,205-959-B,205-970-B
rime	205-981-B,205-993-B,205-1004-B,205-1016-B,205-1031-B,205-1041-B,205-1052-B
rind	205-1062-B,205-1072-B,205-1083-B,205-1095-B
ring	31-2461-S,205-1108-B,205-1120-B,205-1131-B,205-1143-B,205-1154-B,205-1171-B,205-1183-B,205-1198-B,205-1212-B,205-1223-B,205-1237-B,205-1247-B,205-1257-B,205-1269-B,268-1817-S
ring finger	205-1281-B
ringer	205-1303-B
ringing	205-1318-B,205-1339-B,205-1356-B,205-1371-B
ringlet	205-1389-B
rink	123-3368-S,205-1406-B,221-1994-S
rinse	205-1421-B
rinsing	205-1434-B
riot	205-1451-B,205-1464-B,205-1478-B,205-1489-B,205-1504-B,205-1519-B,205-1531-B,205-1544-B
riotous	205-1557-B,205-1573-B,205-1592-B,205-1609-B
rip	205-1626-B,205-1640-B,205-1655-B,205-1666-B
rip up	205-1678-B
ripe	205-1694-B
ripen	205-1704-B
ripeness	205-1716-B
ripening	205-1735-B,205-1755-B
ripple	205-1774-B,205-1790-B,205-1805-B,205-1823-B
rise	205-1838-B,205-1853-B,205-1871-B,205-1886-B,205-1902-B,205-1916-B,205-1927-B,205-1940-B,205-1952-B,205-1968-B,205-1979-B,205-1991-B,205-2004-B,205-2019-B,205-2032-B,205-2045-B,205-2059-B,205-2070-B,205-2087-B,205-2101-B,205-2116-B,205-2133-B,205-2151-B
risible	205-2168-B,205-2187-B,205-2204-B
rising	205-2220-B,205-2237-B,205-2254-B,205-2274-B,205-2288-B,205-2301-B,205-2316-B
risk	205-2336-B,205-2347-B,205-2362-B,205-2376-B,205-2388-B
risky	205-2401-B,205-2418-B,205-2434-B,205-2450-B
rissole	205-2464-B
rite	205-2482-B,205-2499-B
rival	205-2509-B,205-2528-B,205-2545-B,205-2557-B,205-2573-B
rivalry	205-2586-B,205-2604-B
rive	205-2623-B
river	205-2635-B,205-2648-B,205-2662-B
riverain	205-2677-B
riverine	205-2694-B
rivet	205-2711-B,205-2723-B,205-2735-B
rivulet	205-2749-B,205-2766-B
roach	205-2784-B,205-2797-B,205-2810-B,205-2826-B
road	205-2839-B,205-2851-B,205-2862-B,205-2871-B
roadblock	205-2881-B
roadside	205-2899-B
roadstead	205-2919-B,205-2937-B
roadway	205-2952-B
roam	205-2970-B,206-0-B,206-13-B,206-25-B,206-41-B
roamer	206-53-B
roar	206-69-B,206-82-B,206-96-B,206-112-B,206-125-B,206-140-B,206-152-B,206-163-B,206-180-B,206-193-B,206-204-B
roaring	206-221-B,206-238-B,206-256-B,206-274-B
roast	206-294-B,206-309-B,206-323-B,206-335-B,206-348-B
roasted	206-365-B
roasting	206-379-B,206-400-B,206-417-B
rob	206-435-B,206-448-B,206-464-B,206-479-B,206-490-B,206-502-B
robbed	206-512-B
robber	206-525-B,206-539-B,206-553-B,206-570-B
robbery	206-584-B,206-600-B,206-615-B
robe	206-627-B
robot	206-641-B
robotics	206-653-B
robust	206-672-B,206-686-B,206-698-B,206-713-B,206-727-B
robustness	206-744-B
rock	206-766-B,206-780-B,206-794-B,206-806-B,206-823-B,206-836-B,206-845-B,206-856-B,206-868-B,206-882-B,206-895-B
rock climbing	206-931-B
rock garden	206-910-B
rockery	206-953-B
rocket	206-970-B
rocking	206-984-B,206-1004-B
rocky	206-1024-B
rococo	206-1038-B
rod	206-1052-B,206-1063-B,206-1076-B,206-1086-B,206-1098-B,206-1109-B,206-1119-B,206-1129-B,206-1140-B,206-1149-B
rodent	206-1159-B
roebuck	206-1174-B
rogue	206-1192-B,206-1207-B,206-1220-B,206-1233-B,206-1246-B,206-1263-B,206-1276-B,206-1291-B,206-1307-B
roguery	206-1321-B,206-1340-B,206-1361-B
roguish	206-1381-B,206-1396-B,206-1411-B
roguishness	206-1428-B,206-1451-B
role	206-1475-B
roll	206-1486-B,206-1498-B,206-1513-B,206-1527-B,206-1542-B,206-1556-B,206-1569-B,206-1583-B,206-1596-B,206-1611-B,206-1623-B,206-1635-B,206-1646-B
rollback	206-1659-B
roller	206-1679-B,206-1695-B
rollicking	206-1710-B
roman	206-1728-B
romance	206-1741-B
romanesque	206-1757-B
romanian	206-1774-B
romantic	206-1791-B
romanticism	206-1811-B
romanticist	206-1834-B
romp	206-1857-B
roof	206-1873-B,206-1886-B,206-1896-B
roofer	206-1909-B
roofing	206-1925-B
rooftop	206-1944-B
rook	206-1957-B,206-1970-B
rookie	206-1980-B,206-1992-B,206-2006-B
room	72-2252-S,79-111-S,79-130-S,145-2925-S,206-2020-B,206-2033-B,206-2046-B,206-2058-B,206-2068-B,206-2079-B,206-2091-B,206-2102-B
roomy	206-2113-B,206-2128-B
roost	206-2140-B,206-2154-B
rooster	206-2169-B
root	206-2181-B,206-2191-B,206-2206-B,206-2219-B
root out	206-2231-B
rooted	66-170-S,66-192-S,206-2251-B,206-2268-B
rooting	206-2287-B
rootlet	206-2308-B,206-2326-B
rootstock	206-2343-B
rope	206-2361-B,206-2374-B,206-2385-B,206-2397-B,206-2409-B
rosary	206-2421-B,206-2437-B
rose	206-2452-B,206-2462-B
rose colored	206-2473-B
rose coloured	206-2491-B,206-2510-B
roseate	206-2530-B
rosebush	206-2543-B
rosemary	206-2559-B
rosette	206-2576-B,206-2591-B
rosin	206-2607-B
roster	206-2623-B
rostrum	206-2636-B,206-2651-B,206-2667-B
rosy	206-2683-B,206-2693-B
rot	206-2704-B,206-2716-B,206-2731-B
rotary	206-2749-B,206-2764-B,206-2781-B
rotate	206-2797-B,206-2813-B,206-2828-B,206-2842-B
rotation	206-2857-B,206-2875-B,206-2894-B
rotational	206-2908-B,206-2929-B
rotatory	207-0-B
rotten	207-19-B,207-33-B,207-49-B,207-62-B,207-76-B,207-91-B
rottenness	207-105-B,207-127-B,207-149-B
rotting	207-174-B,207-193-B
rotund	207-215-B,207-230-B,207-242-B
rotunda	207-258-B
rotundity	207-274-B
rouble	207-292-B
rouge	207-306-B
rough	207-318-B,207-335-B,207-349-B,207-360-B,207-370-B,207-380-B,207-391-B,207-406-B,207-420-B,207-433-B,207-444-B,207-458-B,207-473-B
rough and tumble	207-485-B
roughly	207-515-B
roughness	207-538-B,207-559-B,207-580-B,207-602-B,207-620-B,207-640-B
roulade	207-659-B
roulette	207-675-B
round	10-2664-S,10-2684-S,110-1901-S,110-1921-S,154-168-S,207-693-B,207-708-B,207-722-B,207-737-B,207-750-B,207-766-B,207-779-B,207-796-B,207-810-B,207-824-B,207-838-B,207-849-B,207-861-B,207-874-B,207-885-B
round off	207-899-B
roundabout	207-918-B,207-938-B,207-957-B
rounded	207-983-B
roundly	207-999-B,207-1018-B,207-1038-B
roundness	207-1056-B
roundsman	207-1074-B
rouse	207-1092-B,207-1105-B,207-1122-B,207-1136-B,207-1148-B,207-1162-B,207-1178-B,207-1195-B,207-1210-B,207-1225-B,207-1240-B
rousing	207-1256-B
rout	207-1277-B
route	207-1292-B,207-1311-B,207-1324-B,207-1337-B,207-1355-B,207-1367-B,207-1382-B,207-1394-B,207-1407-B,207-1420-B,207-1433-B
routine	207-1444-B,207-1461-B
rove	207-1477-B,207-1488-B,207-1500-B
rover	207-1516-B
roving	207-1531-B
row	207-1547-B,207-1562-B,207-1574-B,207-1586-B,207-1598-B,207-1607-B,207-1617-B,207-1627-B,207-1640-B,207-1650-B,207-1659-B,207-1671-B,207-1682-B,207-1691-B
rowan	207-1703-B
rowdy	207-1715-B,207-1731-B
rower	207-1746-B,207-1759-B
rowing	207-1772-B,207-1786-B
rowlock	207-1798-B
royal	207-1812-B
royalist	207-1824-B
rub	207-1843-B,207-1856-B,207-1869-B,207-1884-B,207-1896-B,207-1908-B,207-1921-B,207-1934-B
rub out	207-1947-B
rub up	207-1962-B,207-1978-B
rubbed	207-1993-B
rubber	207-2008-B,207-2026-B,207-2039-B
rubbery	207-2057-B
rubbing	207-2076-B,207-2093-B,207-2110-B
rubbish	207-2129-B,207-2145-B,207-2164-B,207-2182-B,207-2199-B,207-2215-B,207-2233-B,207-2250-B,207-2269-B,207-2287-B,207-2306-B,207-2322-B
rubble	207-2340-B,207-2355-B
rubric	207-2373-B
ruby	207-2389-B
ruck	207-2400-B,207-2411-B
ruction	207-2422-B,207-2438-B
rudder	207-2454-B
ruddy	207-2472-B,207-2484-B
rude	207-2499-B,207-2512-B,207-2522-B,207-2536-B,207-2550-B,207-2560-B
rudeness	207-2573-B,207-2596-B
rudiment	207-2617-B
rudimentary	207-2635-B
rue	207-2660-B
rueful	207-2674-B,207-2692-B,207-2710-B
ruefully	207-2724-B
ruff	207-2744-B
ruffian	207-2756-B,207-2770-B
ruffianly	207-2786-B
ruffle	207-2803-B,207-2818-B,207-2832-B
rug	207-2851-B,207-2864-B
rugby	207-2874-B
rugged	207-2886-B,207-2904-B,207-2919-B,207-2931-B,207-2946-B,207-2960-B
ruggedness	207-2976-B,207-2998-B,207-3020-B,207-3039-B
rugger	207-3060-B
ruin	208-0-B,208-13-B,208-25-B,208-37-B,208-51-B,208-66-B,208-85-B,208-99-B,208-114-B,208-127-B,208-139-B,208-151-B,208-162-B
ruined	208-174-B
rule	208-189-B,208-200-B,208-213-B,208-226-B,208-241-B,208-253-B,208-271-B,208-286-B,208-295-B,208-311-B,208-322-B,208-335-B,208-353-B,208-365-B,208-381-B,208-393-B,208-406-B
