faussement	93-2741-B
felure	99-1779-B
femelle	27-3203-B,59-85-B,96-74-B,119-589-B
feminin	96-102-B,96-138-B,271-2294-B,271-2335-B
feminisme	96-178-B
feministe	96-198-B
feminite	96-156-B,271-2253-B,271-2312-B
femme	96-89-B,270-1022-B,271-2197-B
femme de chambre	149-894-B
femme de menage	42-2469-B,46-261-B
fenaison	117-2355-B
fendage	46-1337-B
fendre	46-1418-B,205-1655-B,205-2623-B,224-15-B,228-1723-B,229-1146-B,244-530-B
fenetre	270-2523-B
fenil	117-2341-B
fenouil	96-415-B
fente	44-199-B,46-1354-B,46-1484-B,59-753-B,59-1754-B,60-561-B,98-1304-B,204-3228-B,223-761-B,223-1217-B,228-1736-B,263-701-B
feodal	96-1700-B
feodalisme	96-1715-B
feodalite	96-1737-B
fer	135-853-B,135-876-S,193-2622-S,193-2645-S,271-157-S
fer a cheval	121-3204-B
ferblantier	249-274-B,249-327-B,269-2617-B
ferie	121-15-S
fermage	200-2295-B
ferme	29-614-B,47-55-B,47-380-B,66-1895-B,88-3008-B,94-1610-B,94-1722-B,94-1758-B,98-505-B,111-3213-B,116-1893-B,121-653-B,202-1731-B,213-2553-B,219-2873-B,225-2603-B,230-938-B,232-467-B,232-721-B,233-14-B,236-2770-B,250-2196-B,260-326-B
ferment	96-455-B
fermentant	96-620-B
fermentation	96-471-B,96-553-B,96-642-B
fermente	96-600-B
fermenter	96-492-B
fermer	29-424-B,47-42-B,94-2501-B,102-3422-B,146-901-B,212-3133-B,219-2861-B
fermete	18-3579-B,65-1188-B,70-2570-B,98-704-B,202-1879-B,225-2860-B,232-522-B,235-532-B,236-2673-B
fermeture	47-602-B,47-620-B,219-2995-B
fermier	94-1676-B,245-215-B
feroce	61-159-B,96-680-B,96-2680-B,210-1960-B,254-493-B,270-1237-B
ferocite	96-698-B
ferraille	212-872-B,212-930-B
ferrer	218-2448-B
ferrite	96-731-B
ferromagnetique	96-747-B
ferromagnetisme	96-778-B
ferrure	135-1038-B
fertile	95-1866-B,96-914-B,105-204-B,187-1986-B,188-493-B,204-2322-B
fertiliser	96-1092-B
fertilite	96-983-B,105-257-B,204-2460-B
fervent	6-2215-B,16-1664-B,71-778-B,274-662-B
ferveur	16-1710-B,16-1752-B,86-3128-B,96-1186-B,96-1246-B,96-1276-B,274-512-B,274-606-B
fesse	35-2975-B
fessee	227-112-B
festin	23-360-B,95-1639-B,138-1053-B,229-776-B
festival	96-1347-B
festoyer	23-375-B,95-1652-B
fete	40-3398-B,95-1667-B,96-1365-B
feter	40-3234-B
fetiche	96-1579-B
fetichisme	96-1595-B
fetichiste	96-1617-B
fetide	102-3434-B,194-1350-B,233-1449-B
fetidite	96-1558-B
feu	28-1884-B,30-1010-B,97-3166-B,98-365-B,99-96-B,114-2927-B,114-2984-S,118-1335-B,124-1657-S,144-933-B,242-2864-S
feu de camp	37-1713-B
feuillage	100-2798-B
feuille	100-2623-B,137-1968-B,142-617-B,172-2390-B,217-2659-B,223-385-B
feuillet	100-2890-B,142-630-B,171-3129-B,217-2673-B
feuillete	100-2832-B
feuilleter	34-55-B,247-3118-B
feuilleton	96-1759-B,215-2029-B,215-2047-B
feuillu	100-2816-B,142-758-B
feuillure	193-375-B
feuler	224-1722-B
feutre	96-62-B,159-1553-B
feve	24-1803-B
fevrier	1-1643-B,95-1823-B
fiabilite	68-1983-B,199-2301-B,254-1321-B
fiable	68-2008-B,199-2341-B,254-1375-B
fiance	26-2625-B,85-3211-B,96-1872-B
fiancer	8-2719-B,26-2586-B
fiasco	93-680-B,96-1887-B,100-513-B,267-1385-B
fibre	96-1956-B,96-1968-B,97-390-B,111-2750-B,231-1162-B,247-1432-B
fibrille	96-2007-B
fibrine	96-2023-B
ficeler	77-1198-B
ficelle	57-0-B,235-2363-B,255-1589-B
fiche	38-2558-B,175-1864-B,179-1487-B,181-2339-B,223-398-B,230-2085-B,248-551-B
fichier	40-219-B,40-290-B
fichu	28-1821-B,62-723-B,63-1328-B,63-2760-B,99-2919-B,110-2598-B,207-49-B,273-34-B
fictif	80-1922-B,96-2152-B,96-2169-B,96-2187-B
fiction	92-2645-B,96-2136-B,96-3353-B
fidele	5-1052-B,54-2812-B,71-529-B,93-1459-B,147-2378-B,230-2612-B,254-550-B,254-636-B,254-1469-B
fidelite	5-979-B,6-3067-B,10-2907-B,47-479-B,54-2655-B,93-1385-B,93-1513-B,95-1106-B,96-2327-B,147-2459-B,232-542-B,254-1348-B
fief	96-430-B,96-2388-B
fieffe	17-904-B
fiel	27-1220-B,106-1392-B
fiente	79-2998-B,80-2165-B
fier	189-1546-B,254-1131-S
fierement	189-1601-B
fierte	186-1492-B
fievre	9-3024-B,96-1781-B
fige	233-26-B
figer	47-2222-S,53-1938-B,62-63-B,104-360-B,123-3284-B
figue	96-3016-B
figurant	92-1668-B,266-1304-B
figure	92-2888-B,95-1794-B,97-18-B,97-141-B,124-3077-B,178-3519-B,217-541-B
figurer	97-155-B,201-1377-B
figurine	97-372-B,231-3246-B
fil	82-478-B,97-405-B,139-2268-B,234-2700-B,235-2378-B,247-1445-B,271-148-B,273-1622-B
fil de fer	271-157-B
filament	96-1980-B,97-418-B,247-1456-B
filasse	165-782-B,250-2833-B
filature	228-117-B
file	49-1160-B,144-3115-B,192-1296-B,194-1340-B,207-1598-B,235-2389-B,251-1814-B
filer	64-2720-B,73-1191-B,100-2097-B,149-2210-B,191-842-B,192-2747-B,208-1285-B,211-3129-B,227-3259-B,242-1920-B,247-2686-B,251-1564-B,269-2710-B,269-2737-B
filet	96-1995-B,97-436-B,97-1097-B,113-176-B,144-3125-B,154-233-B,162-1100-B,162-1177-B,162-1247-B
filial	97-608-B
filiale	8-2809-B,32-449-B,237-1986-B
filiation	97-622-B
filiforme	97-665-B
fille	64-92-B,106-1278-B,108-3142-B,108-3164-S,141-704-B,145-2172-S,269-191-B,269-215-S
fille publique	189-547-B
fillette	108-3229-B,145-2151-B
filleul	110-2581-B,110-2816-B
filleule	110-2612-B
film	97-1300-B,158-1855-B,159-726-B,178-3534-B
film sonore	243-365-B
filmage	97-1337-B
filmer	97-1310-B
filon	213-87-B,263-57-B
fils	31-2478-B,226-526-B
filtrage	97-1417-B,176-1101-B
filtrat	97-1630-B
filtration	97-1436-B,97-1664-B,176-1122-B
filtre	97-1388-B,234-2570-B
filtrer	97-1402-B,97-1647-B,142-875-B,175-2673-B,176-1044-B,234-2309-B
fin	9-3411-B,19-1161-B,46-1887-B,47-68-B,49-1997-S,52-1041-B,61-2696-B,64-1553-B,67-956-B,67-3079-B,85-1013-B,85-1065-S,85-1157-S,85-1409-B,85-1537-S,91-2600-B,97-2410-B,97-2726-B,110-2222-B,138-2082-B,139-2972-B,165-1445-B,177-2028-B,182-690-B,190-3256-B,217-1183-B,217-2540-B,219-1735-B,222-2515-B,223-16-B,223-2355-B,225-1113-B,232-2621-B,237-3038-B,243-1882-B,245-1923-B,246-2829-B,271-1479-B
final	52-980-B,97-1745-B,245-1628-B,255-3268-B
finale	97-1757-B,97-1816-B
finalement	19-1542-B,19-1613-B,89-2231-B,97-1907-B,141-977-B,256-17-B
finaliste	97-1830-B
finance	97-1963-B
financement	97-2088-B,105-2113-B
finances	97-1946-B,97-1981-B
financier	97-1999-B,97-2068-B,175-1236-B
financierement	97-2041-B
finement	219-1792-B
finesse	6-1338-B,19-1261-B,59-1266-B,61-2708-B,67-840-B,97-2527-B,97-2564-B,192-1632-B,217-1620-B,219-1829-B,222-2615-B,223-2203-B,223-2834-B,237-3100-B,253-641-B
fini	4-3360-B,17-919-B,77-3088-B,85-1312-B,97-2889-B,97-2996-B,141-793-B,144-2665-B,195-1788-B
finir	49-1976-B,51-809-B,52-930-B,70-2719-B,77-1086-B,85-1021-B,85-1144-B,91-2688-B,97-2737-B,97-2818-B,192-2758-B,233-2998-B,245-1768-B
finissage	97-2750-B,97-2957-B
finit	85-1976-B
finition	51-1112-B,97-2767-B,97-2977-B
finlandais	1-1680-B,97-3037-B,97-3053-B
finnois	1-1699-B
fiole	31-709-B,178-805-B,263-3194-B
fioriture	62-366-B
firmament	98-666-B
firme	50-2423-B,98-516-B
fiscal	98-1024-B,243-2909-B
fissible	98-1180-B,98-1246-B
fissile	98-1197-B,98-1267-B
fission	98-1213-B,211-2886-B
fissure	42-936-B,44-211-B,46-1369-B,46-1496-B,59-765-B,59-864-B,59-1767-B,60-575-B,98-1318-B,98-1353-B,200-2308-B,204-3239-B,205-1666-B,223-772-B,228-1748-B,244-542-B
fistule	98-1399-B
flacon	31-722-B,263-3205-B
flagellation	98-2959-B,100-170-B,141-683-B
flageller	98-2918-B,100-127-B,269-1717-B
flagorner	7-3213-B
flagornerie	241-2666-B
flagorneur	95-1036-B,99-1345-B,113-2782-B,223-2565-B,241-2689-B,241-2710-B,249-1497-B
flagrant	98-3031-B,113-1930-B
flair	98-3062-B,163-3114-B,211-1259-B,224-431-B
flairer	163-3125-B,211-1271-B,214-3511-B,224-443-B,224-549-B,224-2096-B
flamand	1-1715-B,1-1731-B,99-2138-B,99-2154-B
flamant	99-200-B
flambant	28-2071-B,99-164-B
flambeau	98-3135-B,250-687-B
flambee	99-619-B,169-2699-B
flamber	28-1894-B,35-1237-B,99-106-B,221-173-B
flamboiement	28-1908-B,99-496-B
flamboyant	99-181-B
flamboyer	28-1927-B,99-120-B,99-515-B,99-603-B
flamme	28-1943-B,97-3175-B,99-136-B
flan	190-262-B
flanc	99-346-B,220-275-B
flanelle	99-358-B
flaner	64-220-B,116-705-B,124-1141-B,189-2925-B,206-0-B,235-3052-B,266-1843-B
flanerie	34-105-B
flaneur	64-268-B,124-1371-B,145-3216-B,147-1264-B,235-3115-B
flanquer	241-1796-B
flaque	183-402-B,190-275-B
flash	99-634-B,99-754-B
flasque	98-2705-B,98-2731-B,144-2877-B
flatter	28-1390-B,95-1023-B,99-1312-B,174-976-B,225-1195-B,249-1514-B
flatterie	7-3271-B,28-1407-B,28-1609-B,51-1520-B,99-1443-B
flatteur	51-1560-B,99-1328-B,99-1366-B,99-1385-B
flatulence	99-1462-B,99-1484-B
fleau	36-2240-B,40-661-B,73-2046-B,89-3040-B,98-3049-B,180-1261-B,212-522-B,253-3043-B,269-1732-B
fleche	17-1402-B,24-1662-B,63-2797-B,216-2347-B
flechette	63-2810-B
flechi	26-1421-B
flechir	26-375-B,31-1982-B,99-2249-B,99-2792-B,109-146-B,130-1415-B,153-1345-B,209-1120-B,273-2399-B
flechissement	26-503-B,99-2006-B,130-1582-B,209-1133-B
flechisseur	99-2443-B
flegmatique	178-1343-B,233-2476-B
flegmatiquement	178-1366-B
fletrir	28-2409-B,32-606-B,93-147-B,213-211-B,230-1821-B,238-1881-B
fletrissure	270-1990-B
fleur	29-939-B,29-1001-B,100-1052-B
fleuri	29-965-B,100-609-B,100-1080-B,100-1097-B
fleurir	29-951-B,29-1015-B,100-729-B,100-1065-B
fleuriste	100-623-B
fleuve	62-532-B,100-971-B,205-2635-B,235-247-B
flexible	99-2337-B,181-1541-B,181-1665-B,239-1700-B,273-2642-B
flibustier	34-872-B,104-184-B,179-2464-B
flic	29-2552-B,56-3230-B,56-3349-B
flirt	63-691-B,99-2963-B,99-2980-B
flirter	63-707-B,99-2934-B,178-817-B
flocon	98-3100-B
floculation	100-37-B
floculer	100-17-B
floraison	82-2355-B
floral	100-595-B
flore	100-583-B
florissant	29-981-B,100-766-B,189-486-B
flot	62-547-B,100-262-B,100-2059-B,114-3038-B,130-1672-B,130-1874-B,184-1566-B,235-261-B,250-1011-B
flottant	27-1714-B,99-3153-B
flotte	16-3050-B,99-2108-B,99-3022-B,218-1686-B
flottement	100-1282-B,268-52-B
flotter	99-3035-B,100-1171-B,119-2070-B,235-273-B,267-3058-B,267-3210-B
flotteur	99-3049-B,99-3136-B
flou	29-1809-B,100-1128-B,106-376-B
fluctuation	100-1305-B,262-1902-B
fluctuer	100-1189-B,169-1695-B
fluide	100-1427-B,100-1503-B,208-1914-B
fluidite	100-1530-B
fluor	100-1654-B,100-1734-B
fluorescence	100-1666-B
fluorescent	100-1692-B
fluorine	100-1749-B
fluorure	100-1716-B
fluvial	100-2030-B,205-2677-B,205-2694-B
foc	137-0-B
focal	100-2366-B
foehn	100-2495-B
foetus	96-1673-B,100-2507-B
foi	25-2510-B,52-3918-B,59-2941-B,93-1402-B,254-1121-B
foie	145-2801-B
foin	117-2332-B
foire	93-1076-B,151-845-B
fois	13-2927-S,89-2489-S,167-2079-S,248-2646-B
foisonner	3-589-B,241-768-B
folatre	49-1035-B,104-2304-B,104-2636-B,181-150-B
folatrer	75-2054-B,104-2241-B,104-2529-B,106-2013-B,180-3142-B
folie	59-2272-B,101-178-B,101-647-B,101-784-B,131-2466-B,148-528-B,148-2590-B
folio	100-2905-B
foliotage	100-2870-B
folklore	100-2954-B
folklorique	100-2972-B
follement	148-2530-B
fomenter	101-254-B,132-1777-B,267-70-B
fonce	63-2406-B,80-2874-B
foncier	105-2049-B,140-2507-B
fonction	38-868-B,105-1758-B,137-317-B,167-90-B,180-747-B,183-2805-B
fonctionnaire	45-1251-B,46-1809-B,105-1903-B,167-167-B,167-247-B
fonctionnalite	105-1873-B
fonctionnant	105-1929-B
fonctionnarisme	167-331-B
fonctionnel	105-1850-B
fonctionnement	105-1954-B,168-713-B,208-1862-B,272-900-B
fonctionner	25-1818-B,105-1776-B,110-1411-B,168-518-B,176-2056-B,208-1295-B,272-456-B
fond	21-2874-B,23-3057-B,25-340-B,31-827-B,60-3118-B,61-968-B,69-501-B,88-2125-B,100-442-B,103-257-B,108-3284-B,113-2261-B,118-828-B,225-1659-B,237-2284-B
fondamental	23-2382-B,23-2807-B,38-1108-B,83-1433-B,88-2191-B,105-2069-B,138-3099-B,186-1774-B,186-1917-B,255-3283-B
fondamentalement	88-2287-B
fondant	101-307-B
fondateur	103-395-B,188-1067-B
fondation	85-1939-B,88-2777-B,88-2851-B,103-273-B,103-482-B
fonde	23-2585-B,103-364-B,268-2998-B
fonde de pouvoir	254-1218-B
fondement	23-2484-B,23-3068-B,103-294-B,105-2007-B,113-2273-B,113-2456-S
fonder	23-2499-B,88-2549-B,103-163-B,132-2145-B,185-697-B,216-243-B
fonderie	103-501-B,224-580-B
fondeur	39-3016-B,103-413-B
fondre	39-2797-B,49-1491-B,76-383-B,93-161-B,103-176-B,105-3377-B,137-872-B,153-1359-B,153-3301-B,224-567-B,246-614-B
fondriere	184-797-B
fonds	38-1128-B,48-3185-B,105-1981-B,157-1927-B,188-2712-B,233-2064-B
fondu	153-1383-B,157-1436-B
fongique	105-2248-B
fontaine	103-518-B,103-546-B,226-2294-B,229-1160-B,268-2854-B
fonte	39-2809-B,39-2946-B,39-3124-B,106-97-B,153-1433-B,246-641-B
football	101-930-S,101-958-B,225-419-B
footballeur	101-976-B
for interieur	54-325-B
forage	30-2863-B,79-1588-B
force	51-3116-B,55-4164-B,85-2634-B,85-2985-B,98-722-B,101-1894-B,101-2112-B,154-3074-B,155-2310-B,180-43-B,184-485-B,184-1577-B,234-2536-B,234-2655-S,235-550-B,250-2432-B,264-1443-B
forcement	161-1942-B,176-1925-B
forcene	103-2344-B,105-2580-B,150-1408-B,193-577-B
forcer	48-707-B,49-2887-B,50-3167-B,54-3499-B,101-1906-B,125-2628-B,149-1884-B,165-2036-B,171-701-B,191-694-B,234-2324-B
forces	101-2234-B,235-865-B
forcir	97-968-B
forer	30-2618-B,79-1429-B,79-1975-B,179-193-B
forestier	101-3129-B,101-3235-B,271-3100-B
foret	20-1578-B,30-2734-B,79-1441-B,101-3146-B,271-3087-B
foreuse	79-1453-B
forfait	44-1701-B,60-741-B,96-47-B,155-3184-B
forge	102-322-B,224-698-B
forger	102-334-B,102-1103-B,134-2700-B,217-554-B
forgeron	28-1072-B,224-683-B
formage	102-1876-B
formaliser	102-1444-B
formalisme	102-1358-B
formaliste	102-1379-B,102-1400-B
formalite	102-1115-B,102-1423-B
formant	102-1892-B
format	102-1511-B,221-1742-B
formation	82-1176-B,102-1525-B,102-1908-B,145-65-B,157-1036-B,251-2065-B
forme	97-170-B,98-1724-B,102-1131-B,102-1545-B,144-2045-B,157-883-B,158-2632-B,176-2636-S,217-567-B
formel	91-3045-B,92-57-B,102-1296-B
formellement	102-1465-B
former	51-1764-B,54-3293-B,59-2635-B,82-1016-B,94-2189-B,102-1142-B,149-1896-B,157-894-B,158-2644-B,211-2154-B,217-579-B,251-1825-B
formidable	11-3494-B,49-635-B,86-1334-B,92-2705-B,102-1774-B,108-2595-B,111-2945-B,121-2845-B,122-603-B,122-1834-B,125-662-B,151-1627-B,152-1717-B,154-3137-B,197-2358-B,224-190-B,228-1226-B,236-1905-B,236-2312-B,241-784-B,245-2333-B,252-3343-B,271-2507-B
formol	102-1342-B
formulaire	28-1455-B,102-1154-B
formulant	102-1998-B
formule	28-1472-B,102-1170-B,102-1926-B,102-1942-B,102-1978-B,272-200-B
formuler	57-3460-B,92-72-B,102-1183-B,102-1959-B,103-1774-B,178-2281-B,231-2464-B
fornication	102-2040-B
forniquer	102-2020-B
forsythia	102-2158-B
fort	6-1471-B,27-897-B,96-2653-B,98-527-B,102-2178-B,112-2635-B,116-1904-B,118-1982-B,118-2521-B,120-125-B,133-686-B,141-145-B,148-1225-B,154-3155-B,159-1001-B,184-601-B,206-686-B,225-2615-B,233-38-B,234-1162-B,235-3166-B,236-2783-B,246-2301-B,250-2208-B,263-2518-B,264-2529-B
fortement	118-1785-B,235-3178-B,236-63-B
forteresse	102-2188-B,102-2655-B,236-41-B
fortifiant	31-2833-B,249-2608-B
fortification	34-2919-B,102-2424-B
fortifie	102-2452-B
fortifier	31-2723-B,53-384-B,85-2932-B,102-2540-B,134-3684-B,235-737-B
fortuit	4-1857-B,8-527-B,40-0-B,41-3511-B,55-2218-B,102-2697-B,116-1115-B,127-1909-B
fortune	88-3021-B,102-2751-B,102-2872-B,147-2918-B,157-1986-B,237-2299-B,268-879-B,268-966-B
forum	102-3004-B
fosse	72-479-B,76-3397-B,81-747-B,112-1585-B,120-2960-B,156-2303-B,179-2662-B,184-816-B,252-3704-B,252-3717-B,254-214-B
fossette	72-2077-B,103-760-B,225-862-B
fossile	102-3229-B,102-3262-B
fossilise	102-3244-B,102-3281-B
fossoyeur	112-1650-B
fou	25-609-B,27-3033-B,59-2261-B,59-2319-B,67-2883-B,101-567-B,103-2361-B,105-2597-B,116-2833-B,131-2381-B,146-1077-B,148-588-B,148-2346-B,148-2406-B,148-2435-B,148-2511-S,148-2562-B,150-1424-B,150-1468-B,245-2353-B
fouailler	269-1744-B
foudre	99-646-B,144-1456-B,247-3244-B,247-3323-B
foudroyant	236-1925-B
foudroye	248-121-B
fouet	24-2873-B,212-537-B,269-1759-B,269-2154-B
fouette	269-1784-B
fouettement	269-1801-B
fouetter	24-2694-B,98-2939-B,100-142-B,141-641-B,212-551-B,233-1158-B,241-1961-B,241-2164-B,269-1770-B,269-2166-B
fougere	31-2907-B,96-666-B
fougue	16-1767-B,97-3187-B,154-1958-B,193-2173-B
fouille	90-1060-B,179-2672-B
fouiller	72-14-B,90-593-B,90-995-B,104-2257-B,114-235-B,194-1466-B,208-882-B,213-279-B
fouillis	47-1804-B,53-1843-B,154-362-B,216-3087-B
fouine	151-1424-B
fouiner	224-2110-B,224-2139-B,224-2447-B
fouineur	163-3227-B,189-3368-B,224-2475-B
fouir	114-249-B
foulard	22-2747-B,103-53-B,115-3285-B,118-127-B,138-2861-B,211-586-B
foule	52-1349-B,60-2910-B,100-74-B,118-622-B,121-2457-B,122-400-B,151-2149-B,156-2339-B,159-2238-B,167-2942-B,179-832-B,193-488-B,207-2400-B,247-2399-B
fouler	252-2557-B
foulure	229-167-B
four	105-2652-B,139-603-B,170-1741-B,234-1443-B
fourbe	61-2724-B,64-3276-B,103-2839-B
fourberie	59-1285-B,64-3209-B,65-627-B,114-2212-B,138-92-B,253-775-B
fourbi	182-2352-B
fourbir	182-2120-B,207-1978-B
fourche	60-2766-B,102-854-B,179-2888-B
fourcher	102-867-B
fourchette	102-881-B
fourchu	46-1510-B,102-932-B
fourgon	22-655-B,262-1164-B
fourmi	13-3105-B,84-1149-B
fourmilier	13-3366-B
fourmiliere	13-3116-B,14-108-B
fourmillement	240-3149-B,249-89-B
fourmiller	186-1359-B,240-3069-B,244-1282-B,249-110-B
fourneau	105-2665-B,120-2047-B,170-1751-B,234-1454-B
fournee	24-318-B
fourniment	87-3249-B,139-1788-B
fournir	8-3466-B,67-1705-B,105-2697-B,109-160-B,143-144-B,189-1999-B,191-473-B,200-1386-B,239-2233-B
fournisseur	40-1443-B,55-3238-B,189-2167-B,191-542-B,239-2053-B
fourniture	67-2064-B,239-2248-B
fourrage	95-2310-B,100-2438-B,101-1545-B,189-1853-B
fourrager	101-1561-B
fourre	35-1929-B,58-3431-B,236-1417-B,246-2474-B
fourreau	210-2727-B,217-2078-B
fourrer	59-1537-B,97-819-B,171-2288-B,182-1463-B,191-706-B,194-422-B,219-1069-B,232-3087-B,236-1282-B,247-3046-B,268-1887-B
fourreur	105-2840-B
fourrure	105-2461-B,105-2511-B,175-2153-B,221-2820-B
fourvoyer	142-306-B
fous	148-2488-S
foyer	98-61-B,98-182-B,100-2378-B,100-2426-B,103-908-B,118-1071-B,118-1097-B,121-347-B,122-887-B,146-306-B
fracas	22-2883-B,45-3311-B,59-779-B,59-1928-B,175-484-B,193-1013-B,195-436-B,224-28-B,247-3259-B
fracasser	59-1941-B,217-1734-B,218-1855-B,224-41-B,224-142-B
fraction	103-967-B,173-1514-B
fractionnaire	103-1003-B
fracture	33-2651-B,103-1096-B,103-1165-B,208-1998-B
fracturer	32-1564-B,32-1879-B
fragile	32-2058-B,33-1973-B,67-969-B,99-2736-B,103-1202-B,103-1559-B,103-2121-B,219-12-B,245-460-B,245-1253-B,268-570-B
fragilite	33-1989-B,67-857-B,99-2684-B,103-1241-B,103-1637-B
fragment	44-302-B,103-985-B,103-1293-B,178-3791-B,212-888-B,217-685-B,218-1872-B,224-1795-B,224-2213-B
fragmentaire	103-1360-B
fragmenter	228-1553-B,228-1762-B
frai	105-523-B,227-785-B
fraicheur	33-1790-B,56-2885-B,104-1062-B
frais	32-2926-B,33-1730-B,42-1842-B,43-3339-B,56-2671-B,57-3090-B,57-3223-B,91-1957-B,91-1992-B,91-2024-B,104-917-B,162-1814-B,169-3396-B,170-33-B
fraise	62-2490-B,207-2744-B,234-3548-B
fraisier	234-3566-B
framboise	194-2380-B
franc	3-807-B,37-2384-B,72-3104-B,78-1455-B,102-2243-B,103-2070-B,103-2169-B,103-3327-B,108-359-B,121-1117-B,130-2850-B,168-27-B,170-937-B,170-1342-B,171-735-B,180-1363-B,220-2687-B,234-1707-B,234-1955-B,254-1486-B
francais	1-1747-B,1-1764-B,104-643-B,104-676-B,106-1637-B
francaise	1-1784-B
franchement	102-2260-B,103-2262-B,121-1231-B,168-384-B,170-952-B,207-1018-B,227-833-S,234-2069-B,259-2221-B
franchir	46-598-B,60-2073-B,110-1516-B,123-491-B,138-490-B,170-2280-B,170-3240-B,173-3179-B,221-3035-B
franchise	37-2519-B,37-2653-B,37-2705-B,73-144-B,90-3295-B,102-2308-B,103-2302-B,121-1252-B,168-439-B,170-1358-B,234-2157-B
franchissable	161-3453-B,173-3312-B
franchissement	60-2601-B
frange	104-2181-B
frappant	166-802-B,235-2231-B
frappe	139-2722-B,139-2774-B,224-711-B,235-2249-B,236-136-B
frapper	8-3236-B,23-2692-B,24-829-B,24-2708-B,34-3079-B,40-893-B,47-1013-B,120-1711-B,123-3294-B,139-2540-B,141-371-B,155-1978-B,171-864-B,184-1025-B,190-1171-B,194-1560-B,223-1654-B,223-2293-B,224-669-B,230-3069-B,235-2099-B,247-1332-B,247-2289-B,247-3191-B
frapper de stupeur	19-610-B
fraternel	33-3237-B,103-2373-B
fraternellement	33-3257-B
fraterniser	103-2438-B
fraternite	33-3213-B,103-2415-B
fratricide	103-2461-B,103-2484-B
fraude	43-344-B,64-3226-B,103-2552-B,103-2737-B,103-2798-B
frauder	43-357-B,65-0-B,66-2587-B,121-1765-B,241-1459-B
fraudeur	43-458-B,66-2636-B,71-2533-B
frauduleusement	103-2879-B
frauduleux	103-2857-B
frayer	227-796-B
frayeur	104-1640-B
fredonnement	122-3062-B
fredonner	60-1787-B
fregate	104-1594-B
frein	32-262-B,33-177-B,104-718-B,199-132-B
freinage	32-288-B
freiner	32-274-B,61-3207-B,203-217-B,236-2028-B
frelate	7-3441-B
frelater	7-3421-B,57-2253-B,93-1785-B,93-2955-B
frelateur	7-3542-B
frele	103-1573-B
frelon	121-2692-B
fremir	191-2617-B,192-3030-B,218-1906-B,219-2622-B,252-3186-B
fremissant	191-2660-B,192-3256-B
fremissement	159-2950-B,192-3045-B,192-3278-B,219-2638-B,247-1904-B,252-3273-B,252-3489-B
frene	17-3252-B
frenesie	104-753-B
frenetique	26-1632-B,104-696-B,104-731-B,178-2370-B
frequemment	104-846-B,167-770-B
frequence	104-771-B
frequent	104-809-B
frequentation	18-2930-B,19-3359-B
frere	33-3175-B
fresque	104-889-B
fret	104-578-B,104-611-B
fretillant	273-291-B
fretiller	230-651-B,266-52-B,273-218-B
friabilite	104-1137-B
