latence	141-1187-B
leurs	246-843-B,246-867-B
levage	120-2312-B
levain	142-2035-B,273-1961-B
levant	169-837-B,205-2274-B
leve	240-1629-B
levee	48-3202-B,143-2255-B,144-664-B,144-747-B,200-797-B
lever	37-2129-B,48-2851-B,78-2869-B,83-1641-B,108-1815-S,118-1610-B,120-2325-B,144-653-B,181-1860-B,193-3015-B,200-959-B,205-1968-B,205-2288-B,207-1136-B,260-2981-B,271-844-B
lever du soleil	238-3212-B
levier	143-2128-B
levier de vitesse	107-2006-B
levre	140-446-B,145-773-B
levrier	113-120-B,122-798-B
levure	142-2049-B,273-1974-B
lexical	143-2328-B
lexique	71-2393-B,143-2365-B,272-162-B
lezard	145-2954-B
lezarde	59-881-B
lezarder	141-2986-B
liaison	8-2197-B,12-1655-B,27-1933-B,30-804-B,53-3169-B,53-3877-B,137-1104-B,143-2502-B,144-815-B,145-463-B,145-641-B,162-2336-B,248-1094-B
liaisonner	30-817-B
liane	143-2518-B
liasse	35-335-B
libelle	140-2249-B,143-2592-B,272-251-B
libeller	272-77-B,273-547-B
libellule	78-2162-B
liber	24-207-B,178-1397-B
liberal	31-1531-B,31-1614-B,33-2108-B,33-2180-B,104-11-B,107-3161-B,143-2657-B,168-152-B
liberalisation	143-2674-B,143-2802-B
liberaliser	143-2705-B,143-2833-B
liberalisme	143-2729-B
liberalite	31-1686-B,107-3084-B,143-2778-B
liberant	199-1983-B
liberateur	143-3010-B,202-150-B
liberation	67-1867-B,73-2738-B,75-496-B,83-3135-B,85-3057-B,104-266-B,143-2543-B,143-2987-B,199-1820-B
libere	199-1946-B
liberer	46-647-B,67-1721-B,90-3240-B,104-25-B,143-2921-B,150-3003-B,197-1857-B,199-1840-B,216-111-B,258-707-B,258-3518-B
liberte	104-224-B,143-3051-B,143-3176-B
libertin	143-3386-B,187-3075-B,194-259-B,205-1592-B,266-2333-B
libertinage	187-2983-B
libraire	30-1541-B
librairie	30-1597-B,30-1616-B
libre	81-2451-B,84-2349-B,104-0-B,147-240-B,168-53-B,256-1067-B,256-3681-B,259-802-B,261-2628-B,270-1250-B
librement	104-309-B,147-311-B
librettiste	143-3116-B
licence	143-3193-B,143-3270-B,143-3406-B,177-91-B
licenciement	75-518-B
licencier	39-2303-B,73-2760-B,75-374-B
lichen	143-3429-B
licitation	20-1045-B
licite	4-1257-B,7-1821-B
licorne	258-1581-B
licou	115-2526-B
lie	31-1353-B,53-3638-B,79-617-B,142-2322-B,145-687-B,212-2703-B,213-3043-B
liege	57-196-B
lien	30-833-B,53-3896-B,54-40-B,145-476-B,162-2350-B,248-1106-B
lier	27-1946-B,30-843-B,53-3434-B,137-910-B,139-2367-B,145-486-B,165-2050-B,179-1741-B,246-2373-B,248-1115-B,248-1184-B
lierre	136-331-B
lieu	98-799-S,98-912-S,98-978-S,146-636-B,146-1172-B,158-2015-B,166-1062-B,180-792-B,195-2820-B,206-2058-B,213-1032-B,221-1224-B,263-1202-B
lieu de	132-1715-S,132-1734-S
lieu de naissance	27-2974-B
lieue	154-2040-B,154-3512-B
lieutenant	144-245-B
lievre	116-2820-B
ligament	144-779-B
ligature	27-2051-B,144-797-B,144-832-B
ligne	98-1088-B,144-3136-B,194-1374-B,207-1355-B,207-1607-B
lignee	69-1586-B,187-3261-B
ligneux	144-1528-B,271-3152-B
lignite	144-1545-B
ligoter	27-1956-B
liguant	258-2891-B
ligue	142-835-B,258-2848-B
liguer	11-1028-S,258-2707-B
lilas	144-2176-B
liliace	144-2188-B
limace	223-1667-B
limacon	47-3148-B,224-1458-B
limande	180-1336-B
limbe	144-2353-B
limbes	144-2328-B
lime	97-549-B
limer	97-559-B
limier	222-2673-B
limitation	45-332-B,53-247-B,144-2519-B,144-2581-B,203-618-B
limite	12-221-B,30-2375-B,30-2533-B,31-1340-B,31-1423-B,45-254-B,85-1041-B,97-3008-B,104-2959-B,144-2536-B,144-2678-B,152-2410-B,160-2655-B,203-578-B,211-0-B,245-1662-B
limiter	30-2389-B,45-208-B,53-140-B,138-2496-B,144-2549-B,160-2640-B,197-2680-B,203-522-B
limoger	75-392-B
limon	159-1219-B,167-2965-B,220-2278-B,223-127-B
limonite	144-2779-B
limousine	144-2797-B
limpide	46-662-B,144-2915-B
limpidite	46-1262-B,144-2930-B
lin	99-1943-B
linceul	219-2354-B,270-2485-B
lineaire	145-104-B
lineament	145-83-B
linge	141-2109-B,267-1371-B
lingerie	145-192-B,257-1794-B
lingot	130-3005-B
linguiste	145-250-B
linguistique	145-269-B,145-293-B
liniment	145-318-B
linoleum	145-699-B,145-714-B
linteau	145-733-B
lion	145-748-B
lionceau	61-1555-B
lionne	145-758-B
liquefaction	145-809-B
liquefier	145-836-B
liquette	218-1815-B
liqueur	145-855-B,145-1040-B
liquidant	145-960-B
liquidateur	145-982-B
liquidation	5-236-B,46-1023-B,46-1106-B,47-521-B,196-2614-B,216-1167-B
liquide	39-2123-S,100-1516-B,145-886-B,145-940-B,145-1055-B,208-1927-B
liquider	67-3615-B,83-2035-B,145-901-B,214-2695-B,216-618-B
liquidite	100-1549-B,145-1005-B
lire	145-1090-B,195-1491-B
lis	144-2233-B
lisbonne	1-2551-B
lise	192-1688-B
liserer	30-2420-B,82-501-B
lisible	142-2824-B,195-1515-B
lisiblement	142-2840-B
lisiere	30-2404-B,33-1187-B,33-1629-B,82-487-B,82-603-B,104-2195-B,151-76-B,205-936-B,214-2756-B
lisse	89-1785-B,99-902-B,143-1889-B,224-915-B,259-2546-B,267-526-B
lisser	35-1458-B,109-1737-B,182-2149-B,222-2077-B,222-2816-B,224-928-B,235-2977-B
liste	36-2847-B,40-235-B,40-308-B,145-1268-B,145-1403-B,198-2392-B,206-2623-B,211-1541-B
liste noire	28-989-B
lit	25-372-B,57-3475-B,217-2641-S
litanie	145-1559-B
literie	25-466-B
lithium	145-1830-B
lithographie	145-1846-B,145-1898-B
lithographique	145-1870-B
litiere	145-2038-B
litige	75-2879-B,145-1923-B
litre	145-1574-B,145-1977-B
litteraire	145-1629-B
litteral	145-1586-B
litteralement	145-1604-B,145-1703-B
litterature	143-1673-B,145-1728-B
littoral	47-2566-B,145-2268-B,167-610-B,212-2983-B,213-583-B,218-3073-B
lituanien	1-2567-B
liturgie	145-2328-B
liturgique	145-2286-B,145-2306-B
livide	145-2876-B
livraison	67-1891-B,67-2084-B,239-2266-B
livrant	67-1968-B
livre	30-1287-B,67-1933-B,184-1039-B,192-1723-B
livree	145-2833-B
livrer	67-1738-B,75-1440-B,115-2769-B,135-3449-B,203-3425-B,227-2568-B,239-2283-B,240-948-B
livres	30-1528-B
livresque	30-1430-B
livret	30-1298-B,143-3139-B
livreur	67-1950-B,207-1074-B
lobaire	146-247-B
lobe	146-261-B,146-345-B
lober	146-237-B
local	146-370-B,206-2068-B
localement	146-465-B
localisant	146-578-B
localisation	146-420-B,146-650-B
localise	146-560-B
localiser	146-382-B,146-446-B,146-484-B,179-1932-B,180-803-B,221-1300-B
localite	146-401-B,146-672-B,180-819-B,226-2849-B,264-1664-B
locataire	142-1669-B,143-892-B,146-1447-B,166-1406-B,166-1578-B,200-2428-B,245-230-B
locatif	146-757-B
location	120-1228-B,142-1604-B,143-1694-B,200-2321-B,200-2386-B,200-2445-B
locomotion	146-1114-B
locomotive	85-3509-B,146-1086-B,146-1136-B
locution	146-1228-B,178-2297-B
logarithme	146-1713-B
logarithmique	146-1734-B
loge	31-2413-B,107-867-B,122-1036-B,146-1381-B,192-76-B
logement	4-2742-B,14-2377-B,27-1554-B,99-913-B,122-1228-B,146-1485-B,192-89-B
loger	4-2402-B,27-1570-B,81-285-B,122-915-B,145-2445-B,146-1392-B,192-106-B,215-3406-B
loggia	146-1775-B
logiciel	225-1576-B
logicien	146-1811-B
logiquement	146-1789-B,195-255-B
logis	2-3269-B,4-2765-B,81-414-B,81-468-B,146-1502-B,202-933-B
logistique	146-1829-B,146-1849-B,146-1871-B
logo	146-1892-B
loi	6-355-B,141-2320-B,208-286-B,232-56-B
loin	8-2051-B,8-3734-B,21-1327-B,36-646-S,94-1155-B,94-1817-S,105-3049-S
lointain	21-1337-B,76-666-B,76-738-B,94-1164-B,94-1214-B,94-1267-B,94-1400-B,200-549-B
loir	78-263-B
loisir	143-0-B,227-216-B
lombaire	148-217-B
long	143-360-B,146-2165-B,146-2332-S
long de	11-1307-S,11-1345-S
longanimite	101-1640-B
longevite	80-2664-B,144-562-B,146-2349-B
longitude	146-2452-B
longitudinal	146-2472-B
longtemps	101-1425-B,146-2175-B,146-2206-S
longuement	101-1451-B,146-2190-B,270-705-B
longueur	143-184-B
longueur d onde	267-3150-B
looping	146-3113-B
loquace	107-463-B,147-638-B,243-308-B,265-1959-B
loquacite	107-403-B,107-481-B,147-657-B,147-710-B,243-326-B,265-1914-B
loque	193-2113-B,243-2492-B
loquet	141-995-B
lord	147-753-B
lorgnette	229-2417-B
lorgnon	147-823-B
loriot	169-1279-B
lorsque	17-2422-B,124-1574-B,269-1000-B
losange	147-2495-B,204-1928-B,204-1942-B
lot	11-310-B,94-2893-B,147-1002-B,173-244-B,181-1871-B,186-3276-B,194-2558-B,217-760-B
loterie	78-2880-B,147-1068-B
lotion	147-1054-B
lotionner	267-1150-B
lotir	15-1887-B,77-222-B,173-285-B
lotissement	11-324-B,34-2210-B
loto	27-2104-B,147-1084-B
lotte	35-606-B
lotus	147-1095-B
louable	49-3349-B,141-1614-B,184-2405-B
louage	120-1242-B
louange	49-3369-B,85-134-B,141-1590-B,184-2316-B
louanger	184-2331-B
louche	60-2278-B,72-2830-B,98-1153-B,140-1652-B,192-665-B,216-2322-B,240-2201-B
loucher	230-619-B
loue	120-1291-B,142-1631-B,200-2415-B
louer	30-1310-B,49-3315-B,85-3167-B,120-1254-B,120-1276-B,141-1603-B,142-1619-B,143-1267-B,184-2347-B,200-2335-B
loufoque	23-1607-B,265-3171-B
loulou	228-1009-B
loup	151-1919-B,271-2129-B,271-2139-S
loupe	143-566-B,149-592-B,149-659-B,269-181-B
lourd	35-697-B,47-91-B,47-1388-B,61-2461-B,71-3369-B,80-1410-B,113-497-B,116-1914-B,118-2030-B,118-2191-S,118-2543-B,142-348-B,147-854-S,151-2392-B,167-2475-B,168-1799-B,170-1254-B,183-246-B,215-2255-B,233-2431-B,254-370-S,260-1874-B,268-2419-B
lourdaud	47-1401-B,118-2042-B,148-462-B,165-758-B
lourde	118-2125-S
lourdement	116-1925-B,118-1803-B
lourdeur	112-1955-B,118-1865-B,238-2057-B
loutre	169-2177-B
louveteau	61-1568-B
louveter	61-1582-B
love	48-1548-B
lover	48-1501-B
loyal	93-1113-B,93-1476-B,103-2181-B,108-373-B,121-1175-B,147-2392-B,232-179-B,234-1722-B,234-2002-B,254-574-B,254-654-B,254-1394-B,254-1429-B
loyalement	93-1124-B,93-1491-B,147-2420-B,234-2099-B,254-752-B
loyaliste	147-2404-B
loyaute	93-1537-B,96-2347-B,102-2333-B,108-482-B,121-1270-B,147-2478-B
loyer	120-1265-B,200-2346-B,200-2402-B
lubie	38-1438-B,103-3063-B,269-1403-B,269-1574-B
lubricite	142-2186-B,189-3267-B,189-3288-B,209-1697-B
lubrifiant	112-2245-B,147-2546-B
lubrification	147-2650-B
lubrifier	112-2263-B,147-2608-B,167-885-B
lubrique	141-556-B,142-2128-B,148-1030-B,189-3325-B,209-1653-B,223-638-B
lucarne	183-1520-B,222-335-B
lucide	46-676-B,147-2735-B,175-2080-B,177-2189-B,195-59-B
luciole	98-112-B
lucratif	106-1173-B,147-2947-B,163-1830-S,187-2881-B,200-1224-B
lucre	147-2966-B,187-471-B,187-2748-B
luette	261-2478-B
lueur	99-659-B,109-1985-B,110-690-B,193-1182-B
luge	222-2002-B,222-2027-B,249-1583-B
luger	249-1597-B
lugubre	28-2223-B,74-4114-B,109-3186-B,148-79-B,158-3293-B,209-569-B
lui	117-2743-B,119-871-B,120-712-B
luire	109-1997-B,109-2437-B,109-2527-B,109-2663-B,110-701-B,218-1041-B
luisant	33-622-B,33-1029-B,109-2118-B,109-2593-B,110-563-B,218-1192-B,218-1337-B
lumbago	148-201-B
lumen	148-245-B
lumiere	144-1002-B,148-276-B
luminaire	144-1336-B,148-257-B
lumineux	33-637-B,144-987-B,147-2676-B,148-317-B,218-1208-B
luminosite	33-839-B,147-2765-B,148-294-B
lunaire	148-541-B
lunatique	38-1473-B,157-3562-B,244-2925-B
lundi	1-2674-B,157-1881-B
lune	105-1207-S,157-3578-B,158-0-S
lune de miel	121-1390-B
lunette	27-2157-B,244-2176-B
lunettes	109-1628-B,110-2852-B,227-1621-B
lupanar	33-3159-B
lupin	148-647-B,148-659-B
lustre	33-900-B,33-956-B,41-3735-B,109-1750-B,109-1845-B,110-401-B,110-479-B,110-578-B,148-987-B,148-1111-B,148-1189-B,182-2163-B,182-2368-B,217-2291-B,217-2317-B,218-1351-B
lustrer	109-1763-B,182-2177-B
luth	148-1281-B
lutherien	148-1291-B
lutin	34-0-B,83-1926-B,93-1325-B,110-1353-B,110-2559-B,113-21-B,120-2096-B,125-1669-B,143-742-B,180-518-B,180-530-B,190-189-B,229-1595-B
lutte	24-986-B,53-897-B,55-1658-B,55-1851-B,96-3174-B,96-3320-B,151-3004-B,236-363-B,255-1125-B,272-3222-B
lutter	9-2139-B,24-999-B,49-1323-B,55-1342-B,55-1865-B,96-3186-B,235-2863-B,236-378-B,266-2371-B,272-3190-B
lutteur	96-3251-B,272-3205-B
luxe	148-1329-B
luxurieux	141-576-B,142-2147-B,148-1047-B,194-984-B
luzerne	10-1721-B,147-2692-B
lycee	111-2846-B,148-1341-B,213-1621-B
lymphatique	148-1431-B
lymphe	148-1418-B
lymphocyte	148-1453-B
lynchage	148-1489-B
lyncher	148-1475-B
lyre	148-1507-B
lyrique	148-1517-B,148-1531-B,148-1564-B
lyrisme	148-1547-B
lysine	148-1614-B
m	148-1628-B,152-1539-B
ma	160-937-B
maboul	146-1102-B
macabre	113-634-B,113-1394-B,114-441-B,121-2883-B
macadam	148-1673-B
macaque	148-1689-B
macaroni	148-1705-B
maceration	148-1775-B
macerer	148-1757-B,232-1274-B
machant	43-2495-B
machefer	46-2613-B
machement	43-2512-B
macher	28-13-B,43-2449-B,151-2792-B,159-2472-B
machette	62-2389-B,148-1798-B
machin	246-3061-B
machinal	152-2943-B
machinalement	152-2985-B
machination	55-4079-B,148-1856-B
machine	85-3527-B,148-1932-B
machine pneumatique	10-344-B
machiner	86-40-B
machines	148-2032-B,148-2092-B
machiniste	148-2128-B,230-1473-B
machoire	136-1734-B,136-1789-B,137-2294-B,150-1023-B
machurer	29-1783-B,230-1850-B
macon	32-3271-B,151-1996-B,151-2008-B
maconner	34-1847-B,151-2021-B
maconnerie	33-22-B,151-2057-B,151-2076-B
maconnique	151-2037-B
macrocosme	148-2190-B
macromolecule	148-2211-B
macroscopique	148-2240-B
macrostructure	148-2266-B
maculer	29-1770-B,224-315-B,224-1234-B,230-1836-B
madame	1-2788-B,140-1675-B,148-2379-B,148-2392-B,156-1271-B,220-1728-B,270-1033-B,271-2209-B
mademoiselle	1-2636-B,148-2462-B,149-916-B,156-771-B
madone	148-2632-B
madre	59-1399-B
madrier	29-1980-B,180-2101-B,248-2287-B
mafia	148-2684-B,148-2697-B
magasin	35-2137-B,148-2771-B,218-2848-B,234-571-B,234-711-B,234-773-B,266-2776-B
magasinage	234-352-B,266-2857-B
magasinier	234-730-B,266-2809-B
magazine	137-2000-B,148-2788-B,176-3022-B
mage	148-2977-B,149-787-B,271-1551-B
magicien	53-3224-B,53-3259-B,148-2991-B,149-798-B,266-3056-B,271-1563-B
magie	148-2895-B,271-667-B,271-727-B,271-1594-B
magique	148-2907-B,148-2939-B
magiquement	148-2955-B
magistral	151-2695-B
magma	148-3042-B
magmatique	148-3054-B
magnanime	107-3179-B,148-3100-B
magnat	23-1752-B,148-3122-B,157-463-B,255-2325-B
magnesie	148-3137-B
magnesium	148-3156-B
magnetique	149-14-B,149-35-S
magnetiquement	149-68-B
magnetisation	149-97-B,149-195-B
magnetiser	123-2690-B,149-261-B,154-297-B
magnetisme	149-126-B,190-583-B
magnetite	146-1263-B,149-148-B
magnetophone	197-337-B,243-1534-B,243-1562-B
magnetoscope	149-283-B,264-688-B
magnificence	110-262-B,111-3068-B,149-366-B,228-1345-B,228-1418-B
magnifier	92-1609-B,184-2360-B
magnifique	24-3079-B,33-1047-B,97-2429-B,98-3153-B,110-172-B,111-732-B,111-3005-B,111-3177-B,112-2500-B,147-1673-B,149-484-B,151-1649-B,154-3167-B,204-2335-B,219-1605-B,228-1246-B,228-1320-B,239-218-B,245-2366-B,271-2528-B
magnifiquement	97-2483-B,239-251-B
magot	120-1940-B
maharajah	149-813-B
maharani	149-833-B
mai	1-2612-B,152-1412-B
maigre	107-1731-B,142-990-B,152-1599-B,152-1613-B,155-3338-B,180-234-B,183-496-B,212-1477-B,221-2975-B,222-2527-B,222-3067-B,223-55-B,227-154-B,233-1322-B,246-2850-B,266-1754-B
maigreur	142-1161-B,247-210-B
maigrir	147-909-B,223-67-B,246-2862-B
maille	92-2230-B,146-3126-B,233-1882-B
maillet	148-1733-B,149-3583-B,152-1341-B,222-2056-B
maillot	136-2291-B,218-1830-B,221-464-B,257-1009-B
maillot de bain	24-485-B,24-514-B,24-545-B,241-1350-B
maillot de corps	257-1028-B,263-2733-B
main	115-2781-B
mains	116-404-B
maintenant	19-1816-B,62-583-B,164-2137-B,164-2255-B,185-3323-B
maintenir	54-1190-B,120-2433-B,138-2359-B,138-2528-B,149-1387-B,185-3470-B,203-1379-B,215-2716-B,240-2310-B,260-2788-B,264-1893-B
maintien	24-2424-B,25-1974-B,39-676-B,67-2847-B,68-2884-B,149-1503-B,150-2215-B,203-1640-B
