se dimi	273-1823-S
se dize	246-783-S
se fototelegrafski prenosi na	297-3735-S
se grana	25-708-S
se hoce	20-784-S
se hvata	216-784-S
se informacij	330-340-S
se informacije pre	297-3287-S
se istice	186-228-S
se iz radoznalosti bavi racunalima	132-2965-S
se izbjeci	31-2061-S
se kaje	74-4102-S
se koga	143-2072-S
se koleba	193-1580-S
se koristi nedokazanom spoznajom	136-1413-S
se koristi u poslovne svrhe	54-2907-S
se krece po jednoj tracnici	176-2495-S
se kursor odjedanput pom	295-975-S
se lasti	271-547-S
se mogu razmjenjivati informacije	285-2330-S
se moze distribuirati	124-2001-S
se moze distribuirati za trajnu upor	263-910-S
se moze dokazati	88-522-S,321-361-S
se moze iz	31-2089-S
se moze izvesti	31-2116-S
se moze napasti	144-2582-S
se moze pregovarati	183-105-S
se moze utvrditi	25-2883-S
se na	7-1461-S,14-1261-S,15-265-S,35-2740-S,35-2811-S,70-901-S,121-3053-S,205-2925-S,234-2273-S,234-2330-S,234-2351-S,237-308-S
se na komunikacijsku uslugu	290-2938-S
se na ljestve	252-3180-S
se na zemlju	13-3309-S
se nada	138-945-S
se nalaza u radnoj memori	231-3144-S
se nalazi	145-2299-S
se namjestiti	274-2342-S
se nasljedstva	1-1297-S
se nasukao	12-2062-S
se ne moze procijeniti	143-1967-S
se ne osvrce	232-2839-S
se nesto ucini	329-1459-S
se oblaci	100-169-S
se obraduje kao	233-1395-S
se odnose	70-1053-S
se odnosi	70-1079-S,235-2894-S
se odnosi na	235-2919-S
se odnosi na poduzece	76-2408-S
se odnosi na rođenje	181-2057-S
se odnosi na skrbnistvo	82-1717-S
se odvoji	259-3660-S
se oko	52-1010-S
se oko osi	294-2377-S
se oko stozera	294-2404-S
se okrece	247-2539-S,312-323-S
se okretati	280-1346-S
se opasnosti	146-666-S,246-863-S,320-3173-S
se opire	237-3873-S,317-421-S
se opisuje programski jezik	172-192-S
se oporavlja	75-877-S,242-4061-S
se ore	23-165-S
se penje	317-1404-S
se podrazumijeva	143-1461-S
se pojavi	231-1807-S
se pojaviti	231-1856-S
se ponasa	174-765-S
se ponasanje	174-1521-S
se ponavlja	153-606-S
se povinuj	16-2524-S
se povinuje	16-2549-S
se povlaci	232-2019-S
se pravda	20-2161-S
se preferira	216-350-S
se prelijeva	152-1794-S
se preslikava putem mreze i uzrokuje	331-1825-S
se pretvara u pijenu	47-1509-S
se prihvaca kao istinito bez	214-987-S
se primjenjuje	21-2060-S
