iluminacija	141-1361-B
imovina	27-345-B,128-993-B,202-752-S,221-2620-B,221-2758-S
imovina koji se koristi u poslovne svrhe	54-2907-S
imovine	96-445-S,221-2637-B,251-882-S
imovinu	221-2654-B
impedanca	142-2397-B
impedancija	142-2417-B
impendancija	142-2439-B
imperativ	142-2854-B
imperativan	142-2875-B
imperij	105-3674-B
imperijalist	142-3314-B
imperijalisticki	142-3339-B
imperijalizam	142-3288-B
imperijalni	142-3248-B
impertinencija	142-3802-B
impertinentan	142-3907-B
implant	143-485-B
implementacija	88-3551-B,143-834-B
implementaciju	88-3577-B
implementirati	143-574-B
implicitan	143-1405-B
implicitno	143-1524-B
implikacija	143-1342-B
imponira	143-3100-S
imponirati kome	144-395-B
impotencija	143-3540-B
impotentan	143-3602-B
impozantan	143-3080-B,285-1636-B
impozantni	144-864-B
impregnacija	144-257-B
impregnirano platno	296-3269-B
impregnirati	144-92-B
impresario	144-333-B
impresionirati	144-419-B
impresivan	144-886-B
impresivni	144-908-B
improvizacija	144-1417-B,144-2331-B
improviziran	114-870-B
improvizirati	144-2359-B
impuls	143-57-B,144-2615-B,176-1252-B,224-1757-B,267-1059-B,281-117-S,329-2385-S
impulzivan	144-2721-B
impulzivnost	144-2814-B
imucan	192-825-B,244-3529-B,326-1746-B
imun	142-702-B,222-1519-B
imunitet	142-781-B
imunologija	142-894-B
imunost	142-799-B
inace	20-845-B,105-630-B,185-2685-B,192-882-B,193-2222-B
inace zvan	13-2632-B
inace zvani	13-2611-B
inacica	13-2650-B,321-1608-B,321-1755-S
inacicu	321-1625-B
inat	86-2311-B,280-2989-B
inauguracijskoj	145-678-B
inauguralnih	145-704-B
inauguralnoga	145-727-B
inc	145-1576-B
incest	145-1520-B
incidencija	145-1682-B
incident	145-1771-B
incun	17-3175-B,17-3190-B
indeks	146-2037-B,290-2990-B
indeksiranja	295-2281-S
indeksiranje	146-2111-B
indeksirati	146-2050-B
indeksna usluga za pretrazivanje	321-1172-S
indenticne moleku	92-3580-S
indigo	146-2749-B
indij	146-3232-B
indijanaca	304-1743-S,329-840-S
indijanka	283-1074-B
indijanski rezervat	241-586-B
indijska pamucna tkanina za hlace	101-1497-S
indikacija	146-2280-B
indikativan	146-2353-B
indikator	146-2376-B,254-1763-B,259-3504-B,295-822-B
indirektno	146-2877-B
indiskrecija	146-2990-B
indiskretan	146-2946-B
indisponiran	317-335-B
individualan	146-3245-B
individualna	146-3269-B
individualni	202-674-B
individualno	146-3544-B
individualnu	146-3293-B
indosament	107-28-B
indosant	107-170-B
induktivitet	146-3934-B
induktivna	146-3982-B
induktivnost	146-3958-B
industrija	147-72-B,167-630-B
industrije	147-92-B
industriji	147-112-B
industrijski	146-4064-B
industrijski magnat	312-2991-B
industrijskih	146-4088-B
industrijskim	146-4113-B
industrijskog	147-0-B
inercija	176-1268-B
inertan	229-2325-B,272-1827-B
inertnih	147-628-B
inertno	147-643-B
inertnost	272-1904-B
infekcija	147-1495-B
infektivan	73-3785-B
infektivnost	73-4026-B
infiltracija	147-2009-B
infinitezimalni racun	53-1401-B
infinitiv	147-2223-B
inflacija	147-2591-B
inflacioni	147-2634-B
influenca	28-2790-B,121-1048-B
informacij	330-340-S
informacija	5-2771-B,5-3157-S,117-1371-S,147-3494-B,195-1293-S,201-2824-S,298-545-B,333-1990-S
informacija priređena u oblik pogodan za prijenos	171-3157-B
informacije	41-940-S,67-2153-S,135-2557-S,147-3139-B,147-3518-B,243-2155-S,285-2330-S
informacije pre	297-3287-S
informacije zbog sporosti prijamnika	195-2343-S
informacijska usluga pristupa podatcima	130-159-B
informacijske	147-3542-B
informacijski	147-3568-B
informacijski sadrzaj	74-382-B
informacijskih	147-3594-B
informacijskog sadrzaja	49-1028-S
informacijskog signala u nosi	176-177-S
informaticko	147-3441-B
informatika	41-896-S,147-3417-B
informativan	147-3883-B
informativne	147-3621-B
informativnim	147-3646-B
informirati	48-392-B,147-3156-B
infrastruktura	147-3946-B
infrastrukture	147-3976-B
infrastrukturne	147-4006-B
infrastrukturnih	147-4037-B
infrastrukturu	147-4069-B
ingot	148-295-B
inherentan	148-717-B
inherentni	314-1264-B
inhibirati	148-1108-B
inicijal	148-1366-B
inicijalni	148-1383-B
inicijalno kasnjenje	157-2152-B
inicijativa	148-1633-B,178-0-B
inicijativu	148-1656-B
inje	137-1385-B,174-3665-B,245-2622-B
injekcija	140-446-S,148-1713-B,295-440-S
injekcijska smjesa	17-2773-B
injekciju	148-3156-S
injem	245-2642-S
inkarnacija	145-1344-B
inkasant	65-3486-B
inkasirati	65-2737-B
inklinacija	145-2098-B
inklinirati	298-1865-B
inkognito	145-2563-B
inkorporacija	145-3947-B
inkorporirati	145-3787-B
inkrement	146-441-B
inkubator	146-574-B,187-2505-B
inokosan	15-1068-B
inostrani	122-2098-B,195-2486-B
inovacija	148-2914-B
inovacije	148-2935-B
inovativan	148-2996-B
inovativnost	148-2956-B
inozeman	194-192-B
inozemni	13-2813-B,122-2116-B
inozemstvo	2-1904-B,2-1991-S
inozemstvu	2-2011-S,151-785-B
inscenacija	196-2536-B
insekt	120-2101-B,149-233-B
insekticid	149-260-B
insistirati	149-1340-B
insolventan	149-1562-B
insolventno	149-1584-B
insolventnost	149-1492-B
inspekcija	149-1682-B
inspektor	149-1780-B,292-2106-B,293-2466-B,323-763-B
inspektorat	149-1820-B
inspiracije	149-1845-B
instalacija	149-2096-B
instalacije	149-2121-B
instalaciju	149-2146-B
instalater	210-3031-B
instaliranja	149-2275-B
instaliranje	149-1997-B,261-1096-B
instalirate	149-2018-B
instalirati	149-2038-B
instalirati zicu	330-158-B
instant	149-2409-B
institucija	149-2743-B
institucijama	30-2343-B
institucije	30-2369-B,149-2767-B
institucionalan	149-2876-B
institucionalne	149-2906-B
institucionalni	149-2936-B
institucionalnoj	149-2966-B
instrukcija	48-614-B,149-3032-B,154-51-S
instrukcija i podataka	188-712-S
instrument	20-2708-B,21-1884-B,56-3522-S,149-3258-B,237-1371-B,304-2513-B
instrumenta	149-3280-B
instrumentalni	149-3321-B
instrumenti limene glazbe	46-2616-B
instrumentima	84-215-S
instruments vremenskim prikazo	193-1607-S
integracija	16-626-B,150-358-B
integracije	150-382-B
integraciji	150-406-B
integracijom	150-430-B
integral	150-174-B
integralan	150-192-B
integralna	150-212-B
integralni	150-1700-B
integriraju	150-290-B
integrirani krug	60-2782-B
integrirani sklop	60-2804-B
integriranih sklopova	267-2868-S
integrirano u cjelinu npr govo	179-1697-S
integrirati	72-4254-B,150-312-B
integritet	150-523-B
integriteta	150-544-B
intel	171-1039-S
intelekt	150-651-B
intelektualac	150-699-B
intelektualan	150-726-B
intelektualne	150-753-B
intelektualni	150-780-B
intelektualnim	150-807-B
intelektualno	150-835-B
inteligencija	150-862-B
inteligentan	150-959-B
inteligentne mreze	8-138-S
inteligentni	150-984-B
intencionalnost	150-1641-B
intendant	67-364-B
intendantura	67-313-B
intenzitet	150-1311-B
intenzivne	150-1390-B
intenzivno	150-1469-B
intenzivno vjezbati	100-786-B
intenzivnoj	150-1411-B
intenzivnost	150-1332-B
inter	224-2600-S
interakcija	150-1723-B
interakcije	150-1747-B
interakciju	150-1771-B
interaktivan	150-1854-B
interaktivna	150-1879-B
interaktivni	150-1904-B
interaktivnih	150-1929-B
interaktivnog	150-1955-B
interauterini	151-3057-B
interdisciplinarna	150-2935-B
interdisciplinarni	150-2972-B
interdisciplinarnost	150-3009-B
interes	38-657-B,150-3048-B,212-3413-B
interesa	150-3065-B
interesantan	150-3311-B
interesantne	150-3336-B
interesiranje	150-3083-B
interesnih	150-3106-B
interesu	150-3126-B
interferencija	150-3634-B
interijera	150-3945-B
interijerno	150-3965-B
interkalacija	150-2051-B
interkalatori	150-2079-B
interludij	150-4380-B
internacionalni	151-533-B
internacionalno	151-563-B
interne	151-318-B
interneta	19-517-S,19-572-S,119-1236-S,293-1174-S
interneto	289-39-S
interni	151-335-B
internirati	151-277-B
internoj	151-352-B
interpelacija	178-19-B
interpolirati	151-918-B
interpretacija	151-1176-B
interpretaciju	151-1206-B
interpreter	151-1369-B
interpretirajuci	151-1445-B
interpretirati	151-1068-B
interval	47-172-B,151-2148-B,278-865-S
intervencija	151-2355-B
intervenirati	150-2107-B
interventan	105-2467-B
interventne	105-2489-B
interventnim	105-2511-B
intervju	151-2405-B
intiman	63-2904-B,116-561-B,151-2665-B
intimnost	151-2606-B
intimnosti	151-2625-B
intoksinirati se alkoholom	45-397-B
intonacija	311-1917-B
intra	151-2929-B
intramuskularna	151-2963-B
intramuskularna primjena	151-2993-B
intravenska	151-3084-B
intravenska primjena	151-3108-B
intriga	52-1999-B
intrigant	280-625-B
intrige	253-3437-B
intrigirajuce	151-3181-B
intrigirati	210-2136-B,251-3069-B
intrinsican	151-3278-B
introspekcija	151-3633-B
introvert	151-3687-B
intuicija	151-3766-B
intuitivan	151-3786-B
invalid	80-267-B,151-3858-B
invaliditet	93-2118-B
invalidnost	151-3950-B
invazivnost	151-4108-B
inventar	152-0-B,253-2832-B
inventarni	152-19-B
invertni	152-122-B
invertor	264-842-S
investicija	152-586-B
investicije	152-609-B
investicijska	152-632-B
investicijskih	152-657-B
investicijskim	152-683-B
investicijsko	152-709-B
investicijskog	152-734-B
investitor	152-835-B
inzenjer	107-1824-B
inzenjering	107-1919-B
inzenjeringa	107-1944-B
inzenjerskog	107-1970-B
inzenjerstva	107-1996-B
inzenjerstvo	107-2022-B,297-2611-B
inzinjer	107-1843-B
inzinjera	107-1862-B
inzinjering	107-2048-B
inzulin	149-3752-B
ion	152-1658-B
iona	152-1666-B
ionako	20-859-B
ionosfera	152-1675-B
ionosferski	30-1166-B
ip paketa	124-632-S
ipak	20-896-S,52-0-B,139-144-B,139-211-S,183-2703-B,251-1204-S,287-1244-B,327-2894-S,333-220-B
iracionalan	152-2263-B
iradijacija	152-2217-B
irelevantan	152-2679-B
iridij	152-1923-B
iriridij	152-1848-B
iritantna kritika elektronska posta	120-648-B
iritirati	196-3007-B
ironican	209-2864-B
ironija	152-2187-B
isarati pjegama	279-1402-B
iscasenje	332-308-B
iscasiti	95-1328-B,282-780-B,288-2034-B,332-328-B
iscekivanje	19-2540-B,324-1759-B
iscekivati	31-2382-B,31-2400-B
iscezavanje	93-2791-B
iscezavanje signala	115-2057-B
iscezavati	115-1983-B,319-2773-B
isceznuti	93-2751-B,115-2001-B,204-2149-B,319-2793-B
iscijediti	114-2362-B,283-1586-B
iscistiti	62-3270-B
iscjedak	94-331-B
iscjelitelj	135-35-B
iscrpan	69-2345-B,173-3052-B,199-1983-B
iscrpan izvjestaj	199-2002-B
iscrpiti	88-3429-B
iscrpljen	103-3042-B,222-1835-B,280-0-B
iscrpljenost	112-3437-B
iscrpljivati	222-1855-B,224-2836-B,228-312-B
iscrpljujuci	112-3483-B
iscrpsti	73-3087-B,112-3345-B,143-3724-B
iscrpsti se	279-3655-B
iscrt	229-2956-B
iscrtati	210-2153-B
iscrtavanje	238-3419-S,238-3452-B
iscupati	96-1459-B,114-2541-B,210-2465-B,317-2774-B
iscurjela tekucina	258-1319-B
iseliti	96-375-B,105-2852-B,111-1897-B
iseljavanje	105-2891-B
iseljenik	105-2833-B
ishlapio	259-1148-B
ishlapjelost	259-1181-B
ishlapljiv	110-1786-B
ishlapljivanje	111-513-B
ishod	103-2182-B,109-1119-B,152-3871-B,191-1907-B,193-3065-B,219-2928-B,242-3416-B,260-753-B,260-846-B,317-2945-B
ishodiste	192-3375-B,277-2470-B
ishrana	92-719-B,166-496-S,186-3044-B,187-3069-B
ishrane	92-742-S,122-326-B
isijatican	254-650-B
isijavanje	228-905-B
isijavati	228-848-B
isisati	99-1719-B
isjecak	63-2118-B,82-3047-B,257-2723-B
isjeci	145-1976-B
isjeckati	61-636-B,95-1762-B
isjek	272-938-B
iskapiti	99-1733-B
iskasljavanje	113-1071-B
iskasljavati	113-1045-B
iskaz	14-1194-S,85-1947-B,236-398-B,285-1708-B,298-565-B,318-2516-S,318-2540-B
iskaz svjedoka	29-1441-B,299-2688-B
iskazan	194-2052-B
iskazati	114-165-B,238-3083-B,252-2252-B,314-2155-S,331-224-B
iskazivati	88-631-B,194-2850-S,201-2431-B,234-3400-B
iskaznica	33-540-B
iskicenost	85-3266-B
iskidati	238-2994-B
iskititi	85-3157-B
isklesati	56-847-B
iskliznuce	271-2769-B
iskliznuti	270-94-B,271-2753-B
iskljucenje	105-82-B,112-372-B,112-1695-B,112-3022-B,114-657-B,266-2026-B
iskljucenje s rada	162-1327-B
iskljuciti	34-640-B,34-1881-B,84-2561-B,94-1185-B,112-310-B,112-1567-B,113-1272-B,257-1113-B,311-3125-B
iskljuciti iz igre	112-1587-B
iskljuciv	112-1780-B,275-2532-B
iskljuciva	112-1801-B
iskljuciva povlastica	176-2446-B
iskljucivac	47-1457-B,310-222-B
iskljucivanje	112-1615-B
iskljucivati	112-1638-B,215-2680-B
iskljucivi	275-2548-B
iskljucivo	112-1889-B,191-410-B,225-334-B,275-2565-B,275-2735-B,279-0-B
