gully	132-1881-B
him	136-3153-B,136-3160-B,136-3167-B,136-3177-B
himself	136-3187-B,136-3213-B,136-3224-B,136-3238-B,136-3253-B,136-3268-B,136-3280-B,136-3297-B,136-3308-B
hind	136-3321-B,136-3334-B,136-3349-B,136-3360-B
hinder	136-3372-B,136-3386-B,136-3401-B,137-0-B
hindmost	137-14-B
hindrance	137-34-B,137-53-B,137-71-B
hindsight	137-89-B,137-111-B
hinge	137-128-B,137-140-B
hint	137-153-B,137-172-B,137-190-B
hinterland	137-202-B,137-230-B,137-257-B
hip	137-276-B,137-286-B,137-294-B,137-302-B
hippodrome	137-311-B
hippopotamus	137-333-B
hire	137-358-B,137-373-B,137-384-B,137-397-B,137-408-B,137-419-B
hirsute	137-433-B,137-448-B
his	137-463-B,137-474-B,137-486-B,137-498-B,137-511-B,137-523-B,137-532-B,137-542-B,137-553-B
hiss	137-564-B,137-580-B,137-598-B
histogram	137-613-B
histology	137-633-B
historian	137-655-B
historic	137-677-B,137-698-B,137-717-B
historical	137-736-B,137-759-B,137-780-B,137-801-B,137-822-B,137-844-B,137-866-B
historiographer	137-888-B
history	137-917-B,137-934-B,137-952-B,137-970-B,137-987-B,137-1005-B,137-1020-B
histrionic	137-1039-B
hit	137-1060-B,137-1077-B,137-1085-B,137-1096-B,137-1114-B,137-1126-B,137-1139-B,137-1152-B,137-1164-B,137-1178-B,137-1187-B,137-1198-B
hitch	137-1210-B
hither	137-1222-B,137-1233-B,137-1248-B,137-1261-B
hitherto	137-1278-B,137-1293-B
hitter	137-1308-B,137-1324-B,137-1339-B
hitting	137-1354-B
hive	137-1371-B
hoar	137-1385-B
hoard	137-1395-B,137-1408-B,137-1419-B,137-1436-B
hoarse	137-1449-B,137-1463-B
hoary	137-1479-B,137-1491-B
hoax	137-1502-B,137-1517-B
hob	137-1532-B,137-1552-B,137-1572-B
hobble	137-1583-B
hobby	137-1599-B,137-1622-B,137-1644-B
hobgoblin	137-1659-B,137-1674-B,137-1695-B
hobnail	137-1715-B,137-1753-B
hobo	137-1768-B
hock	137-1782-B,137-1803-B
hockey	137-1819-B,137-1832-B
hoe	137-1851-B
hog	137-1862-B
hogshead	137-1873-B,137-1901-B
hoist	137-1922-B,137-1935-B,137-1948-B,137-1975-B,137-1989-B,137-2002-B,137-2018-B
hold	137-2033-B,137-2056-B,137-2068-B,137-2082-B,137-2095-B,137-2109-B,137-2126-B,137-2142-B,137-2154-B,137-2171-B,137-2188-B,137-2205-B,137-2220-B,137-2235-B,137-2248-B,137-2263-B
holdall	137-2279-B,137-2300-B
holder	137-2314-B,137-2330-B,137-2344-B,137-2359-B,137-2376-B
holding	137-2392-B,137-2408-B,137-2424-B
hole	137-2438-B,137-2452-B,137-2467-B,137-2477-B,137-2487-B,137-2499-B
holiday	137-2514-B,137-2530-B
holiness	137-2546-B
hollow	137-2563-B,137-2579-B,137-2596-B,137-2608-B
holly	137-2625-B
hollyhock	137-2643-B
holocaust	137-2665-B,137-2685-B
hologram	137-2706-B
holography	137-2724-B
holster	137-2747-B
holy	137-2762-B
homage	137-2773-B
