hand held	139-1062-B
hanging	139-3109-B,139-3128-B,139-3149-B,139-3167-B,139-3184-B
hangman	139-3199-B
hangnail	139-3215-B,139-3234-B
hangover	139-3253-B
hank	139-3269-B
hanker	140-0-B,140-15-B,140-29-B,140-45-B
hankering	140-60-B,140-77-B
hanky	140-93-B
hanky panky	140-108-B
hap	140-127-B,140-137-B,140-152-B,140-167-B
haphazard	140-178-B,140-199-B,140-216-B
hapless	140-235-B,140-254-B,140-274-B
haply	140-295-B
happen	140-307-B,140-322-B,140-339-B,140-354-B,140-369-B,140-382-B,140-400-B,140-415-B
happening	140-428-B,140-453-B,140-472-B
happily	140-489-B,140-513-B,140-533-B
happiness	140-552-B,140-571-B,140-593-B,140-612-B,140-628-B,140-648-B,140-665-B
happy	140-683-B,140-700-B,140-713-B,140-728-B,140-742-B,140-755-B,140-767-B,140-780-B,140-795-B,140-812-B
happy go lucky	140-828-B
harangue	140-857-B,140-873-B
harass	140-891-B,140-905-B,140-919-B,140-934-B,140-952-B,140-966-B,140-983-B,140-998-B,140-1016-B,140-1034-B,140-1050-B,140-1066-B,140-1083-B,140-1096-B
harassment	140-1109-B,140-1126-B
harbinger	140-1151-B,140-1169-B,140-1187-B
harbor	140-1204-B,140-1219-B,140-1233-B,140-1249-B,140-1265-B,140-1278-B,140-1294-B,140-1310-B,140-1325-B,140-1340-B,140-1354-B
harborage	140-1369-B,140-1388-B
harbour	140-1406-B,140-1422-B,140-1437-B,140-1454-B,140-1471-B,140-1485-B,140-1502-B,140-1519-B,140-1535-B,140-1551-B,140-1566-B
harbourage	140-1582-B,140-1600-B,140-1620-B,140-1638-B
hard	82-2186-S,140-1657-B,140-1671-B,140-1682-B,140-1696-B,140-1707-B,140-1718-B,140-1732-B,140-1742-B,140-1752-B,140-1763-B,140-1779-B,140-1791-B,140-1807-B,140-1823-B,140-1834-B,140-1846-B,140-1863-B,140-1875-B,140-1886-B,140-1896-B,140-1908-B,140-1923-B,140-1936-B,140-1947-B,140-1962-B
hard boiled	140-1997-B
hard headed	140-2014-B,140-2036-B
hard hearted	140-2058-B
hard luck	140-1975-B
hard working	140-2076-B
hardcore	140-2100-B
harden	46-1542-S,140-2114-B,140-2128-B,140-2144-B,140-2162-B,140-2176-B,140-2196-B,140-2214-B,140-2231-B,140-2250-B,140-2268-B,140-2286-B,140-2301-B,140-2320-B,140-2341-B
hardened	46-1563-S,140-2356-B
hardening	140-2377-B
hardihood	140-2402-B,140-2420-B,140-2438-B,140-2459-B,140-2477-B,140-2499-B
hardiness	140-2515-B
hardly	140-2537-B,140-2551-B,140-2572-B,140-2589-B,140-2608-B
hardness	140-2619-B,140-2639-B,140-2655-B
hardship	140-2670-B,140-2690-B
hardware	140-2707-B,140-2726-B
hardwood	140-2747-B
hardworking	140-2768-B
hardy	140-2790-B,140-2807-B,140-2820-B,140-2838-B,140-2855-B
hare	140-2869-B
harebrained	140-2881-B
harelip	140-2902-B
harem	140-2925-B,140-2937-B
haricot	140-2950-B
hark	140-2965-B
hark back	140-2979-B
harken	140-2996-B
harlequin	140-3012-B,140-3033-B
harlot	140-3053-B,140-3068-B,140-3086-B
harlotry	140-3100-B
harm	140-3123-B,140-3139-B,140-3151-B,140-3162-B,140-3179-B,140-3195-B,140-3211-B,140-3226-B,140-3240-B,140-3254-B,140-3266-B,141-0-B,141-16-B,141-32-B,141-47-B
harmful	141-61-B,141-77-B,141-93-B,141-108-B,141-128-B
harmless	141-147-B,141-164-B,141-182-B,141-198-B
harmonic	141-218-B
harmonica	141-237-B,141-257-B
harmonics	141-278-B
harmonious	141-297-B
harmonium	141-318-B
harmonization	141-336-B
harmonize	141-364-B,141-384-B
harmony	141-404-B,141-421-B,141-439-B,141-457-B
harness	141-472-B,141-487-B,141-502-B,141-520-B
harp	141-541-B
harpist	141-551-B
harpoon	141-567-B,141-583-B,141-600-B
harpooner	141-615-B
harpsichord	141-634-B,141-658-B
harpy	141-684-B
harridan	141-697-B
harrow	141-712-B,141-730-B,141-743-B
harrowing	141-759-B,141-781-B,141-804-B
harry	141-824-B,141-837-B,141-854-B,141-869-B,141-884-B
harsh	141-901-B,141-914-B,141-927-B,141-940-B,141-955-B,141-967-B,141-983-B,141-1002-B,141-1013-B,141-1029-B,141-1046-B,141-1061-B,141-1072-B,141-1085-B,141-1097-B
harshly	141-1111-B
harshness	141-1129-B,141-1148-B
hart	141-1164-B,141-1176-B
harum scarum	141-1188-B
harvest	141-1213-B,141-1228-B,141-1244-B,141-1261-B,141-1279-B,141-1295-B,141-1316-B,141-1335-B
harvest home	141-1349-B
harvester	141-1383-B,141-1401-B
hash	141-1420-B,141-1432-B,141-1445-B,141-1455-B,141-1470-B
hasheesh	141-1486-B
hashish	141-1503-B
hasp	141-1519-B,141-1531-B,141-1543-B
hassle	141-1558-B,141-1575-B
hassock	141-1588-B,141-1607-B
haste	141-1622-B,141-1643-B,141-1664-B
hasten	141-1676-B,141-1692-B,141-1708-B,141-1725-B,141-1744-B
hastiness	141-1762-B
hasty	141-1787-B,141-1804-B,141-1821-B,141-1839-B,141-1859-B,141-1872-B,141-1890-B
hat	141-1903-B
hatch	141-1916-B,141-1930-B,141-1945-B,141-1959-B,141-1977-B,141-1991-B,141-2003-B
hatchery	141-2020-B
hatching	141-2038-B,141-2059-B,141-2077-B
hate	141-2096-B,141-2111-B,141-2131-B,141-2146-B,141-2160-B,141-2171-B
hated	141-2181-B
hateful	141-2194-B,141-2214-B,141-2233-B,141-2252-B,141-2267-B
hater	141-2285-B
hatrack	141-2303-B
hatred	141-2320-B,141-2342-B
hatter	141-2354-B
haughtiness	141-2372-B,141-2395-B,141-2415-B
haughty	141-2438-B,141-2455-B,141-2470-B
haul	141-2488-B,141-2502-B,141-2517-B,141-2534-B,141-2548-B,141-2560-B,141-2573-B,141-2584-B,141-2599-B,141-2611-B,141-2622-B,141-2632-B,141-2649-B
haulage	141-2663-B,141-2679-B
hauler	141-2697-B
haulier	141-2718-B
haulm	141-2740-B,141-2751-B
haunch	141-2763-B,141-2775-B,141-2789-B
haunt	141-2803-B,141-2820-B,141-2836-B
haunting	141-2849-B
hautboy	141-2871-B
hauteur	141-2884-B
havana	141-2903-B,141-2917-B
have	141-2931-B,141-2945-B,141-2956-B,141-2965-B,141-2976-B,141-2987-B,141-2998-B,141-3010-B,141-3023-B,141-3037-B,141-3050-B,141-3061-B,141-3075-B,141-3087-B,141-3100-B,141-3114-B,141-3126-B,141-3137-B,141-3150-B,141-3161-B,350-134-S
have in	141-3172-B
have to	141-3187-B
haven	142-0-B,142-13-B,142-25-B,142-39-B,142-52-B
haversack	142-66-B,142-84-B
havoc	142-101-B,142-119-B,142-138-B
hawfinch	142-152-B
hawk	142-171-B,289-671-S,289-695-S
hawking	142-184-B
hawthorn	142-202-B,142-218-B
hay	142-237-B
hayfield	142-246-B
hayfork	142-261-B,142-276-B
hayloft	142-290-B
hayrick	142-304-B
hayseed	142-319-B
haystack	142-334-B,142-350-B
hazard	142-365-B,142-378-B,142-391-B,142-408-B,142-425-B,142-441-B,142-458-B,142-470-B,142-488-B,142-506-B,142-521-B,142-535-B
hazardous	142-549-B,142-570-B
haze	142-590-B,142-601-B,142-614-B
hazel	142-626-B,142-643-B
hazily	142-658-B
haziness	142-674-B,142-694-B
hazy	142-712-B,142-725-B,142-738-B,142-753-B,142-767-B,142-777-B
he	142-791-B,142-800-B
he goat	142-807-B
head	142-823-B,142-839-B,142-851-B,142-865-B,142-877-B,142-890-B,142-905-B,142-921-B,142-931-B,142-941-B,142-953-B,142-965-B,142-979-B,142-992-B,142-1007-B,142-1027-B,142-1042-B,142-1053-B,142-1071-B,142-1079-B,142-1089-B,142-1101-B,142-1114-B,142-1129-B,142-1146-B,142-1157-B,142-1170-B,142-1181-B
head off	142-1194-B,142-1211-B
head on	142-1228-B
headache	142-1244-B,142-1261-B,279-1918-S
headband	142-1291-B
headboard	142-1306-B,142-1325-B
headdress	142-1344-B,142-1362-B
headed	25-2744-S,54-432-S,140-2014-S,140-2036-S,177-1009-S,178-1140-S
header	142-1379-B,142-1396-B
heading	142-1418-B,142-1441-B,142-1458-B
headland	142-1474-B,142-1488-B,142-1509-B
headless	142-1524-B,142-1542-B
headlight	142-1560-B
headline	142-1575-B,142-1599-B
headlong	142-1618-B
headman	142-1644-B,142-1661-B,142-1678-B
headmaster	142-1691-B
headmistress	142-1711-B
headphone	142-1734-B
headquarters	142-1754-B,142-1778-B
headship	142-1800-B
headsman	142-1818-B
headstrong	142-1835-B,142-1855-B,142-1876-B,142-1893-B,142-1914-B
headway	142-1938-B,142-1953-B
headwind	142-1970-B,142-1996-B,142-2020-B
heady	142-2046-B,142-2064-B,142-2077-B,142-2093-B
heal	142-2108-B,142-2126-B,142-2137-B,142-2150-B,142-2164-B
healer	142-2175-B
healing	142-2190-B,142-2203-B,142-2221-B,142-2238-B
health	142-2255-B,142-2268-B
health resort	142-2283-B
healthful	142-2307-B,142-2325-B,142-2345-B
healthiness	142-2360-B
healthy	142-2380-B,142-2396-B,142-2414-B
heap	142-2427-B,142-2442-B,142-2454-B,142-2467-B,142-2480-B,142-2493-B,142-2505-B,142-2518-B,142-2528-B
heap up	142-2540-B,142-2558-B
hear	142-2573-B,142-2586-B,142-2600-B,142-2614-B,142-2624-B
hearer	142-2636-B
hearing	142-2650-B,142-2668-B,142-2686-B,142-2700-B
hearken	142-2714-B
hearse	142-2731-B
heart	142-2754-B,142-2765-B,142-2781-B,142-2793-B,142-2808-B,142-2822-B
heart attack	142-2833-B
heartache	142-2854-B,142-2875-B,142-2894-B,142-2912-B,142-2927-B
heartbeat	142-2943-B
heartbreak	142-2960-B
heartbreaking	142-2980-B
heartburn	142-3006-B
heartburning	142-3024-B
hearted	50-3249-S,56-1974-S,109-3081-S,109-3103-S,109-3125-S,109-3147-S,109-3173-S,123-2042-S,138-2960-S,140-2058-S,147-776-S,173-1529-S,178-1161-S,281-403-S,298-1821-S,340-2383-S,344-2103-S
hearten	142-3045-B,142-3061-B
heartfelt	142-3076-B,142-3094-B,142-3112-B
hearth	142-3130-B,142-3146-B,142-3159-B
heartiness	142-3172-B
heartless	143-0-B,143-16-B,143-36-B,143-55-B
heartrending	143-76-B
heartsick	143-101-B,143-124-B
heartwarming	143-143-B
hearty	143-170-B,143-187-B,143-203-B,143-221-B,143-236-B,143-251-B,143-265-B,143-279-B,143-291-B
heat	74-1464-S,143-306-B,143-325-B,143-339-B,143-350-B,143-363-B,143-377-B,143-388-B,143-401-B,143-411-B,143-424-B
heat resistant	143-474-B
heat up	143-440-B,143-457-B
heater	143-501-B,143-519-B,143-537-B
heath	143-556-B,143-569-B
heathen	143-581-B,143-598-B,143-613-B,143-628-B
heathendom	143-644-B
heathenish	143-665-B
heathenism	143-683-B,143-705-B
heather	143-726-B
heating	48-659-S,143-740-B,143-754-B,143-769-B,143-790-B
heatstroke	143-812-B
heave	143-835-B,143-848-B,143-862-B,143-878-B,143-892-B,143-905-B,143-917-B,143-932-B,143-944-B,143-958-B,143-976-B,143-989-B,143-1004-B,143-1021-B,143-1035-B,143-1048-B
heaven	143-1060-B,143-1073-B
heavenly	143-1091-B,143-1108-B,143-1127-B,143-1143-B,143-1162-B
heavily	143-1184-B,143-1203-B,143-1223-B,143-1237-B
heaviness	143-1257-B,143-1276-B,143-1294-B
heavy	143-1309-B,143-1323-B,143-1340-B,143-1354-B,143-1370-B,143-1382-B,143-1397-B,143-1410-B,143-1423-B,143-1436-B,143-1448-B,143-1462-B,143-1475-B,143-1489-B,143-1505-B,143-1517-B,143-1529-B,143-1543-B,143-1557-B,143-1570-B,143-1583-B,143-1599-B,143-1614-B,143-1626-B,143-1639-B,143-1651-B,143-1663-B,143-1675-B,143-1688-B
hebraic	1-2797-B,143-1703-B
hebrew	1-2814-B,1-2830-B,143-1720-B
hectare	143-1734-B
hectic	143-1752-B,143-1766-B
hectogram	143-1781-B
hectograph	143-1802-B
hectoliter	143-1825-B
hectolitre	143-1847-B
hector	143-1869-B
hedge	143-1886-B,143-1898-B,143-1914-B,143-1929-B,143-1943-B,143-1961-B,143-1977-B
hedgehog	143-1989-B
heed	143-2004-B,143-2016-B,143-2031-B,143-2044-B,143-2057-B,143-2071-B
heedful	143-2084-B,143-2099-B,143-2113-B
heedless	143-2131-B,143-2152-B,143-2171-B,143-2191-B
heehaw	143-2211-B
heel	143-2226-B,143-2241-B,143-2254-B,143-2266-B,143-2278-B
heeled	343-1036-S
heft	143-2291-B,143-2301-B
hefty	143-2314-B,143-2329-B,143-2343-B,143-2356-B,143-2369-B
hegemony	143-2381-B
heifer	143-2401-B,143-2416-B
height	143-2432-B,143-2447-B,143-2459-B,143-2473-B,143-2487-B,143-2500-B,143-2514-B,143-2527-B,143-2541-B,143-2559-B,143-2576-B
heighten	143-2592-B,143-2610-B,143-2628-B,143-2644-B,143-2666-B,143-2684-B,143-2701-B
heinous	143-2719-B,143-2733-B,143-2750-B,143-2766-B,143-2781-B
heinousness	143-2798-B
heir	143-2820-B
heirloom	143-2834-B
held	139-1062-S
helical	143-2852-B
helices	143-2871-B
helicopter	143-2887-B
helium	143-2911-B
helix	143-2924-B
hell	143-2938-B,143-2950-B
hellcat	143-2964-B,143-2979-B
hellebore	143-2993-B
hellenic	1-2844-B,143-3012-B
hellish	143-3031-B,143-3050-B,143-3067-B,143-3084-B
hello	143-3101-B
helm	143-3112-B,143-3126-B
helmet	143-3138-B,144-0-B,144-16-B
helminth	144-29-B
helmsman	144-47-B,144-64-B
help	144-82-B,144-94-B,144-105-B,144-121-B,144-134-B,144-148-B,144-161-B,144-172-B,144-184-B,144-198-B,144-210-B,144-227-B,144-237-B,144-250-B,144-264-B,144-277-B,144-291-B,144-305-B,144-318-B,144-332-B
help oneself	144-343-B
helper	144-365-B,144-382-B,144-398-B
helpful	144-414-B,144-431-B,144-450-B,144-468-B,144-486-B
helpfulness	144-500-B
helping	144-521-B
helpless	144-537-B,144-556-B,144-580-B,144-599-B,144-618-B
helpmate	144-636-B
helter skelter	144-654-B
helve	144-686-B
helvetian	1-2863-B,144-698-B
helvetic	144-717-B
hem	144-735-B,144-748-B,144-758-B,144-773-B,144-784-B,144-797-B,144-809-B
hem in	144-820-B
hematite	144-834-B
hemisphere	144-853-B
hemlock	144-875-B
hemoglobin	144-890-B
hemophilia	144-913-B
hemorrhage	144-934-B,144-956-B
hemorrhoid	144-975-B
hemorrhoids	144-997-B
hemp	144-1020-B
hen	144-1034-B,144-1046-B,325-1882-S
hence	144-1057-B,144-1075-B
henchman	144-1087-B,144-1103-B
hencoop	144-1121-B
henhouse	144-1139-B
hennery	144-1158-B
hepatic	144-1176-B
hepatitis	144-1194-B
heptagon	144-1214-B
her	144-1234-B,144-1241-B,144-1248-B,144-1255-B
herald	144-1263-B,144-1281-B,144-1297-B,144-1312-B,144-1326-B,144-1343-B
heraldic	144-1360-B
heraldry	144-1380-B,144-1397-B
herb	144-1417-B,144-1429-B
herbaceous	144-1440-B
herbage	144-1461-B
herbal	144-1481-B
herbalist	144-1497-B
herbarium	144-1518-B
herbivore	144-1537-B
herbivorous	144-1558-B
herculean	144-1581-B
herd	144-1601-B,144-1611-B,144-1623-B,144-1637-B,144-1650-B
herdsman	144-1662-B,144-1680-B
here	124-1941-S,144-1696-B,144-1706-B,144-1716-B
here and there	144-1727-B
hereditary	144-1756-B
heredity	144-1779-B
heresy	144-1797-B
heretic	144-1813-B,144-1828-B
heretical	144-1846-B
heritage	144-1866-B,144-1884-B
heritor	144-1904-B
hermaphrodite	144-1921-B
hermetic	144-1948-B
hermit	144-1968-B,144-1985-B,144-2000-B
hermitage	144-2017-B
hern	144-2034-B
hernia	144-2045-B,144-2059-B
hernial	144-2077-B
hero	144-2095-B,144-2107-B
heroic	144-2125-B
heroin	144-2140-B
heroine	144-2156-B,144-2173-B
heroism	144-2194-B
heron	144-2212-B,144-2225-B
herpes	144-2237-B,144-2250-B
herring	144-2264-B
hers	144-2280-B
herself	144-2290-B,144-2301-B
hesitance	144-2313-B,144-2335-B,144-2359-B
hesitancy	144-2381-B,144-2403-B,144-2427-B
hesitant	144-2449-B,144-2467-B,144-2487-B,144-2507-B
hesitate	144-2526-B,144-2541-B,144-2559-B,144-2576-B,144-2593-B,144-2611-B,144-2629-B
hesitation	144-2646-B,144-2669-B,144-2692-B,144-2717-B
heterodox	144-2740-B
heterogeneity	144-2761-B
heterogeneous	144-2790-B
hew	144-2817-B,144-2828-B,144-2841-B,144-2853-B,144-2863-B
hewer	144-2873-B
hexagon	144-2891-B
hexahedron	144-2909-B
hexameter	144-2929-B
heyday	144-2950-B,144-2964-B,144-2976-B
hi	144-2989-B
hiatus	144-2997-B,144-3011-B,144-3026-B,144-3040-B,144-3053-B,144-3070-B
hibernal	144-3084-B,144-3102-B
hibernate	144-3118-B
hibernation	144-3137-B
hibiscus	144-3162-B
hiccough	144-3179-B,144-3194-B
hiccup	144-3208-B,144-3221-B
hick	144-3233-B,144-3245-B
hidden	144-3258-B,144-3276-B,145-0-B,145-14-B,145-32-B
hide	145-47-B,145-63-B,145-75-B,145-86-B,145-101-B,145-115-B,145-129-B,145-145-B,145-158-B,145-173-B,145-186-B,145-196-B,145-209-B,145-227-B,145-238-B,145-256-B,145-270-B
hide and seek	145-287-B
hideaway	145-312-B,145-331-B
hideous	145-351-B,145-370-B,145-388-B,145-400-B,145-417-B,145-434-B,145-452-B,145-467-B,145-486-B,145-504-B
hideout	145-521-B,145-539-B
hiding	145-558-B,145-577-B,145-591-B
hie	145-604-B
hierarchical	145-618-B
hierarchy	145-643-B
hieratic	145-664-B
hieroglyph	145-684-B
hieroglyphic	145-708-B
high	145-734-B,145-749-B,145-760-B,145-770-B,145-782-B,145-793-B,145-806-B,145-820-B,145-837-B,145-853-B,145-865-B,145-877-B,145-890-B,145-903-B,145-914-B,145-927-B,145-938-B,145-950-B,145-965-B,145-976-B,145-988-B,145-1001-B
high handed	145-1072-B
high minded	145-1095-B,145-1118-B
high school	145-1015-B
high spirited	145-1136-B,145-1157-B,145-1179-B,145-1200-B,145-1221-B
high tide	145-1033-B,145-1054-B
highborn	145-1244-B,145-1262-B
highbrow	145-1277-B
higher	145-1298-B,145-1310-B,145-1323-B,145-1340-B
highfalutin	145-1356-B,145-1377-B
highfaluting	145-1398-B
highlight	145-1419-B,145-1438-B,145-1456-B
highly	145-1475-B,145-1492-B,145-1503-B
highness	145-1520-B
highway	145-1536-B,145-1554-B
highwayman	145-1572-B,145-1593-B
hijack	145-1614-B,145-1628-B,145-1641-B,145-1659-B
hijacker	145-1676-B
hijacking	145-1698-B
hike	145-1718-B,145-1731-B
hiker	145-1747-B,146-628-S
hiking	146-653-S
hilarious	145-1767-B,145-1784-B,145-1804-B
hilariousness	145-1826-B
hilarity	145-1850-B,145-1868-B
hill	145-1887-B,145-1901-B,145-1912-B,145-1924-B,145-1937-B,145-1949-B,145-1959-B,145-1973-B,145-1989-B,145-2002-B
hillock	145-2013-B,145-2029-B,145-2046-B
hillside	145-2065-B,145-2081-B
hilly	145-2097-B,145-2114-B
hilt	145-2129-B,145-2146-B
him	145-2157-B,145-2164-B,145-2171-B,145-2178-B
himself	145-2186-B,145-2197-B,145-2210-B
hind	145-2222-B,145-2234-B,145-2249-B,145-2262-B
hinder	145-2275-B,145-2290-B,145-2306-B,145-2324-B,145-2340-B,145-2355-B,145-2372-B,145-2388-B,145-2408-B
hindmost	145-2424-B
hindquarters	145-2441-B
hindrance	145-2460-B,145-2479-B,145-2497-B,145-2515-B,145-2537-B,145-2558-B
hindu	1-2882-B
hindustani	145-2574-B
hinge	145-2598-B,145-2612-B,145-2627-B,145-2639-B
hint	145-2652-B,145-2666-B,145-2679-B,145-2696-B,145-2709-B,145-2724-B,145-2742-B
hinterland	145-2758-B,145-2778-B
hip	145-2801-B,145-2812-B,261-1620-S
hippo	145-2827-B
hippopotamus	145-2845-B
hire	145-2870-B,145-2884-B,145-2898-B,145-2912-B,145-2926-B,145-2939-B,145-2954-B,145-2969-B,145-2982-B,145-2994-B,145-3006-B
hire out	145-3019-B
hireling	145-3037-B
hirsute	145-3057-B,145-3072-B
his	145-3088-B,145-3095-B,145-3103-B
hispanic	1-2895-B,145-3112-B
hiss	145-3132-B,145-3145-B,145-3160-B,146-0-B,146-13-B,146-25-B
hissing	146-36-B,146-52-B
histologist	146-66-B
histology	146-89-B
historian	146-111-B,146-133-B
historic	146-154-B
historical	146-174-B
historicity	146-196-B
historiographer	146-221-B
historiography	146-252-B
history	146-283-B,146-298-B,200-24-S
hit	146-315-B,146-327-B,146-339-B,146-351-B,146-364-B,146-375-B,146-386-B,146-397-B,146-405-B,146-420-B,146-431-B,146-441-B,146-453-B,146-463-B,146-475-B,146-483-B,146-493-B,146-502-B,146-512-B
hitch	146-523-B,146-537-B,146-548-B,146-561-B,146-578-B,146-596-B,146-613-B
hitch hiker	146-628-B
hitch hiking	146-653-B
hither	146-675-B,146-687-B
hive	146-700-B
hives	146-713-B
hoar	146-729-B,146-741-B
hoard	146-751-B,146-766-B,146-780-B,146-793-B,146-808-B,146-824-B,146-839-B,146-855-B,146-872-B,146-887-B
hoard up	146-900-B,146-918-B,146-935-B,146-953-B,146-972-B
hoarding	146-990-B,146-1006-B,146-1028-B
hoarfrost	146-1052-B
hoarse	146-1071-B
hoarseness	146-1084-B
hoary	146-1104-B,146-1117-B,146-1128-B
hoax	146-1142-B,146-1155-B,146-1175-B,146-1189-B
hob	146-1200-B
hobble	146-1213-B,146-1227-B,146-1241-B,146-1257-B
hobby	146-1273-B,146-1288-B
hobgoblin	146-1300-B,146-1317-B
