3rd	1-13-B
advance	3-3152-B,3-3171-B,3-3189-B,3-3205-B,3-3226-B,3-3244-B,3-3260-B
advanced	3-3277-B,3-3297-B
advancement	3-3319-B,3-3337-B
advantage	3-3357-B,3-3377-B,3-3402-B,3-3421-B
advantageous	3-3438-B,3-3461-B,3-3484-B
advent	3-3509-B
adventitious	3-3525-B
adventure	3-3550-B
adventurer	3-3569-B,3-3591-B
adventures	3-3623-B
adventurous	3-3643-B
adversary	3-3672-B
adverse	4-0-B,4-24-B
adversity	4-42-B,4-60-B,4-85-B
advert	4-100-B,4-119-B
advertise	4-134-B,4-155-B
advertisement	4-177-B,4-197-B,4-223-B
advertiser	4-245-B
advertising	4-273-B
advice	4-293-B,4-310-B,4-324-B
advisable	4-336-B,4-353-B
advise	4-373-B,4-390-B,4-406-B,4-422-B,4-439-B,4-454-B,4-475-B
adviser	4-495-B
advisor	4-511-B
advocate	4-527-B,4-544-B
aegis	4-562-B,4-576-B
aeon	4-591-B,4-602-B,4-611-B,4-628-B
aeration	4-638-B
aerial	4-658-B,4-672-B
aerodrome	4-690-B
aerodynamic	4-709-B
aerodynamics	4-736-B
aeronautics	4-762-B
aeroplane	4-784-B
aesthetic	4-802-B
aesthetics	4-823-B
aether	4-843-B
affability	4-855-B
affable	4-880-B,4-898-B
affair	4-915-B,4-928-B,4-943-B,4-957-B
affect	4-971-B,4-992-B,4-1007-B,4-1022-B,4-1037-B,4-1055-B,4-1072-B
affection	4-1089-B
affectionate	4-1109-B,4-1129-B
affiliate	4-1152-B
affinity	4-1172-B,4-1195-B
affirm	4-1219-B,4-1239-B,4-1257-B
affirmation	4-1277-B
affirmative	4-1303-B
affix	4-1325-B
afflict	4-1344-B,4-1362-B,4-1380-B
affliction	4-1397-B,4-1419-B,4-1445-B
affluence	4-1468-B,4-1487-B
affluent	4-1508-B
affranchise	4-1524-B
affray	4-1545-B
affright	4-1559-B
affront	4-1579-B,4-1597-B,4-1614-B
afghanistan	4-1631-B
afloat	4-1654-B
afore	4-1673-B
afraid	4-1688-B
afresh	4-1706-B,4-1721-B,4-1734-B
africa	4-1747-B
african	4-1761-B,4-1779-B
aft	4-1799-B
after	4-1812-B,4-1821-B,4-1833-B,4-1844-B,4-1860-B,4-1879-B
after all	4-1888-B,4-1910-B,4-1930-B
afternoon	4-1949-B
afterward	4-1971-B,4-1987-B
afterwards	4-2007-B,4-2029-B,4-2046-B
again	4-2067-B,4-2081-B,4-2096-B,4-2108-B,90-396-S,90-419-S
against	4-2120-B,4-2136-B
age	4-2150-B,4-2160-B,4-2168-B,4-2187-B,4-2205-B
ageing	4-2214-B
ageless	4-2236-B
agency	4-2252-B,4-2267-B,4-2280-B,4-2293-B,4-2315-B,4-2341-B
agenda	4-2355-B,4-2380-B
agent	4-2395-B,4-2407-B,4-2424-B,4-2445-B,4-2464-B
agglomeration	4-2480-B
aggrandisement	4-2506-B
aggrandize	4-2535-B
aggrandizement	4-2558-B
aggravate	4-2587-B,4-2608-B
aggravating	4-2629-B,4-2654-B
aggravation	4-2674-B
aggregate	4-2698-B,4-2716-B,4-2737-B,4-2757-B
aggress	4-2775-B,4-2793-B
aggression	4-2810-B,4-2829-B
aggressor	4-2845-B,4-2863-B,4-2885-B
aggrieved	4-2905-B
agile	4-2921-B,4-2936-B
agility	4-2949-B
aging	4-2970-B
agitate	4-2991-B,4-3009-B,4-3027-B,4-3045-B,4-3063-B
agitated	4-3081-B
agitation	4-3101-B,4-3120-B
agitator	4-3141-B
ago	4-3159-B,4-3169-B
agog	4-3182-B
agonize	4-3196-B,4-3214-B
agonizing	4-3231-B
agony	4-3251-B,4-3264-B,4-3281-B,4-3298-B
agrarian	4-3312-B,4-3329-B
agree	4-3344-B,4-3361-B
agreeable	4-3381-B,4-3397-B,4-3417-B
agreement	4-3434-B,4-3449-B,4-3472-B,4-3490-B,4-3506-B,4-3523-B,4-3539-B,4-3555-B
agricultural	4-3576-B,5-0-B
agriculture	5-22-B
agriculturist	5-44-B,5-65-B
ahead	5-89-B
ahead of	5-107-B
aid	5-122-B,5-135-B,5-145-B,5-156-B
aide	5-179-B
ail	5-193-B,5-207-B,5-221-B
ailment	5-234-B
aim	5-250-B,5-258-B,5-271-B,5-284-B,5-293-B,5-308-B
aimless	5-319-B
air	5-337-B,5-346-B,5-355-B,5-369-B,5-387-B
air conditioned	5-403-B
airbus	5-433-B
aircraft	5-448-B
airdrome	5-465-B
airfield	5-483-B
airframe	5-501-B
airing	5-521-B,5-539-B
airplane	5-557-B
airport	5-574-B,5-591-B
airscrew	5-613-B
airtight	5-631-B
airy	5-652-B,5-663-B,5-678-B
aisle	5-694-B
akin	5-712-B
al	1-36-B,1-49-B
alacrity	5-726-B,5-747-B
alarm	5-763-B,5-775-B
alarmclock	5-792-B
albatross	5-810-B
albeit	5-829-B,5-847-B
album	5-863-B
albumen	5-875-B
albumin	5-891-B
alcohol	5-907-B
alcoholic	5-923-B
alcoholism	5-939-B
alcove	5-961-B
ale	5-974-B
alert	5-983-B
alga	5-996-B
algae	5-1006-B
algebra	5-1017-B
algebraic	5-1033-B
algebraical	5-1056-B
algeria	5-1081-B
algerian	5-1098-B
algorithm	5-1118-B
alias	5-1137-B,5-1149-B,5-1166-B
alibi	5-1182-B
alien	5-1194-B,5-1213-B,5-1232-B,5-1252-B
alienist	5-1263-B
alight	5-1283-B,5-1300-B
alignment	5-1316-B,5-1342-B
alike	5-1364-B,5-1380-B,5-1396-B,5-1411-B
alikeness	5-1425-B
aliment	5-1449-B
alimentation	5-1469-B
alive	5-1494-B,5-1514-B
all	4-1888-S,4-1910-S,4-1930-S,5-1526-B,5-1539-B,5-1555-B,5-1569-B,5-1579-B,5-1590-B,5-1602-B,5-1615-B,5-1628-B,5-1642-S,5-1662-S,10-1938-S,53-2112-S
all embracing	5-1763-B
all in all	5-1642-B,5-1662-B
all kinds of	5-1679-B
all of a sudden	5-1701-B
all over	5-1723-B
all round	5-1788-B
all the time	5-1742-B
allay	5-1812-B,5-1829-B,5-1845-B,5-1863-B,5-1881-B
allegation	5-1899-B
allege	5-1922-B
alleged	5-1940-B,5-1959-B
allegedly	5-1975-B
allegiance	5-1993-B,5-2016-B
allegoric	5-2038-B
allegorical	5-2060-B
allegory	5-2084-B
allergy	5-2102-B,5-2118-B
alleviate	5-2136-B,5-2154-B,5-2176-B
alley	5-2198-B,5-2210-B
alleyway	5-2224-B
alliance	5-2241-B,5-2261-B,5-2278-B,5-2294-B,5-2311-B
allied	5-2329-B
allocate	5-2345-B,5-2365-B,5-2387-B,5-2408-B
allocation	5-2428-B
allot	5-2450-B,5-2467-B,5-2486-B,5-2502-B
allotment	5-2520-B,5-2541-B
allow	5-2559-B,5-2572-B,5-2590-B,5-2607-B,5-2623-B,5-2639-B
allowable	5-2655-B
allowance	5-2678-B,5-2692-B,5-2710-B,5-2724-B,5-2743-B,5-2764-B,5-2785-B
allowed	5-2806-B
allude	5-2824-B
allure	5-2843-B,5-2858-B,5-2878-B
allusion	5-2892-B
ally	5-2908-B,5-2925-B,5-2940-B
almighty	5-2961-B
almond	5-2982-B
almost	5-2997-B,5-3011-B,5-3025-B,5-3040-B
aloft	5-3054-B
alone	5-3070-B,5-3084-B,5-3094-B,5-3108-B
along	5-3120-B,5-3132-B,5-3147-B
alongside	5-3162-B
aloud	5-3177-B
alphabet	5-3192-B,5-3211-B
alphabetic	5-3228-B
alphabetical	5-3252-B
alpine	5-3278-B
already	5-3294-B
alsatian	5-3307-B,5-3335-B
also	5-3352-B,5-3363-B,5-3378-B,5-3390-B
altar	6-0-B
alter	6-14-B,6-33-B,6-50-B,6-66-B
alteration	6-81-B,6-104-B,6-123-B,6-145-B
altercation	6-163-B,6-185-B
alternate	6-207-B
alternating	6-225-B
alternation	6-245-B,6-265-B
alternative	6-284-B,6-308-B,6-333-B
alternatively	6-353-B
although	6-386-B,6-406-B
altitude	6-424-B
alto	6-444-B
altogether	6-453-B,6-473-B,6-496-B,6-513-B
altruistic	6-534-B
aluminium	6-559-B,6-579-B
aluminum	6-594-B,6-613-B
