hexagonal	65-1454-B
hood	66-1698-B,66-1710-B,66-1724-B,66-1736-B,66-1749-B
hooded	66-1768-B
hoodlum	66-1783-B
hoodwink	66-1800-B
hooey	66-1818-B,66-1831-B
hoof	66-1845-B
hook	66-1857-B,66-1869-B
hooligan	66-1878-B
hoop	66-1896-B
hoot	66-1909-B,66-1923-B,66-1937-B
hooter	66-1947-B,66-1962-B
hoover	66-1976-B
hop	66-1993-B,66-2010-B,66-2022-B,66-2034-B
hope	66-2043-B,66-2064-B,66-2078-B
hopeful	66-2100-B
hopeless	66-2120-B,66-2142-B
hopelessness	66-2164-B
hopper	66-2185-B
horde	66-2198-B
horizon	66-2210-B
horizontal	66-2227-B,66-2251-B
horn	66-2270-B
horoscope	66-2283-B
horrible	66-2302-B,66-2319-B
horrid	66-2337-B,66-2357-B
horrific	66-2372-B
horrify	66-2396-B,66-2415-B
horror	66-2435-B,66-2455-B
horse	66-2469-B
horseman	66-2480-B
horsepower	66-2499-B
horseshit	66-2527-B
horseshoe	66-2546-B
horticulture	66-2564-B
horticulturist	66-2589-B
hospitable	66-2613-B
hospital	66-2634-B
hospitality	66-2651-B
host	66-2677-B,66-2692-B,66-2707-B,66-2721-B,66-2735-B,66-2746-B
hostage	66-2759-B
hostel	66-2778-B
hostelry	66-2796-B,66-2813-B
hostess	66-2829-B,66-2847-B,66-2864-B
hostile	66-2882-B
hostility	66-2896-B
hot	66-2916-B,66-2928-B,66-2940-B,66-2952-B
hotel	66-2962-B
hotelier	66-2974-B
hothouse	66-2992-B,66-3012-B,66-3032-B
hound	66-3051-B,66-3064-B
hour	66-3079-B
hourglass	66-3092-B
hourly	66-3112-B,66-3131-B
house	16-1344-S,66-3149-B,66-3159-B,66-3171-B,66-3182-B
housebreaking	66-3197-B
household	66-3221-B
housekeeper	66-3251-B
housemaid	66-3273-B
hovel	66-3294-B,66-3305-B
hover	66-3317-B,66-3344-B
how	66-3362-B
however	66-3370-B,67-0-B,67-15-B,67-33-B
howl	67-46-B,67-57-B
hr	67-67-B
hub	67-78-B
hubbub	67-90-B,67-104-B
hubris	67-119-B
hue	67-136-B,67-146-B,67-156-B,67-166-B
huge	67-178-B,67-194-B,67-207-B
hugely	67-221-B
hulk	67-240-B
hull	67-251-B,67-264-B,67-277-B,67-290-B,67-302-B
hum	67-316-B,67-332-B,67-347-B,67-358-B
human	67-371-B,67-384-B
humane	67-396-B
humaneness	67-410-B
humanism	67-437-B
humanist	67-455-B
humanistic	67-474-B
humanity	67-499-B,67-526-B,67-551-B
humankind	67-571-B
humanness	67-592-B
humans	67-618-B
humble	67-632-B,67-647-B,67-662-B
humbleness	67-680-B,67-698-B
humbug	67-721-B,67-735-B
humdrum	67-751-B
humid	67-769-B
humidity	67-784-B,67-806-B
humiliate	67-823-B,67-843-B
humiliation	67-864-B,67-887-B
humility	67-911-B,67-927-B
hummock	67-948-B
humor	67-965-B,67-977-B
humorist	67-992-B
humorous	67-1011-B,67-1034-B
humour	67-1051-B,67-1064-B,67-1080-B
hump	67-1100-B
humpback	67-1110-B
humus	67-1124-B
hunch	67-1141-B,67-1152-B
hunchback	67-1167-B
hundred	67-1182-B
hungarian	67-1194-B,67-1222-B,67-1240-B,67-1260-B
hungary	67-1281-B
hunger	67-1296-B,67-1314-B
hungry	59-3000-S,67-1328-B
hunk	67-1343-B,67-1355-B,67-1369-B
hunt	67-1381-B,67-1393-B,67-1405-B,67-1420-B,67-1434-B,67-1454-B,67-1467-B
hunter	67-1481-B,67-1497-B
hunting	67-1511-B,67-1527-B,67-1542-B
huntsman	67-1560-B,67-1578-B
hurdle	67-1594-B
hurl	67-1612-B,67-1625-B
hurricane	67-1638-B
hurry	67-1656-B,67-1672-B
hurry up	67-1692-B
hurt	67-1715-B,67-1727-B,67-1739-B,67-1753-B,67-1763-B,67-1775-B,67-1792-B,67-1808-B
hurtful	67-1821-B
husband	67-1839-B,67-1858-B,67-1872-B
husbandman	67-1892-B,67-1913-B
hush	67-1934-B,67-1945-B,67-1960-B
husk	67-1977-B,67-1990-B,67-2002-B
husky	67-2016-B
hussar	67-2032-B
hut	67-2045-B,67-2055-B,67-2064-B,67-2074-B
hyaena	67-2087-B
hybrid	67-2100-B,67-2115-B
hydrant	67-2133-B
hydraulic	67-2149-B
hydrogen	67-2172-B
hydrophobia	67-2188-B
hydroplane	67-2213-B
hyena	67-2234-B
hygiene	67-2246-B
hygienic	67-2262-B
hygienical	67-2283-B
hygienically	67-2306-B
hygienics	67-2332-B
hymn	67-2350-B
hyperbole	67-2360-B
hypersensitive	67-2379-B
hypnosis	67-2411-B
hypnotism	67-2428-B
hypnotize	67-2446-B
hypochondria	67-2470-B
hypocrisy	67-2496-B,67-2517-B,67-2535-B
hypocrite	67-2554-B,67-2574-B
hypothesis	67-2594-B
hypothetical	67-2614-B
hypothetically	67-2640-B
hysteria	67-2669-B
hysteric	67-2687-B
hysterical	67-2708-B
i	1-377-B,67-2731-B
i e	67-2736-B
ice	67-2752-B,67-2761-B
iceberg	67-2770-B
icebox	67-2791-B,67-2811-B
icecream	67-2827-B
iceland	67-2841-B
icicle	67-2858-B
icon	67-2871-B
icy	67-2882-B,67-2895-B
idea	67-2906-B,67-2916-B,67-2930-B,67-2941-B,67-2951-B,67-2965-B,67-2978-B
ideal	67-2990-B,67-3004-B
idealistic	67-3017-B
idealize	67-3042-B
identicalness	67-3064-B
identification	67-3091-B
identify	67-3120-B
identity	67-3144-B,67-3168-B
ideologic	67-3190-B
ideological	67-3213-B
ideology	67-3238-B
idiocy	67-3257-B
idiom	67-3273-B
idiosyncratic	67-3285-B
idiot	67-3306-B,68-0-B,68-15-B,68-28-B
idiotic	68-41-B,68-56-B
idle	68-75-B,68-90-B,68-103-B,68-121-B,68-133-B
idleness	68-151-B,68-168-B,68-186-B
idler	68-210-B,68-224-B,68-235-B,68-252-B
idol	68-267-B,68-279-B
idolatry	68-289-B
idolize	68-314-B,68-334-B
idyllic	68-353-B,68-372-B
if	68-391-B,68-398-B,68-405-B,68-414-B,68-424-B,68-435-B,68-444-B
iffy	68-453-B
ignite	68-468-B
ignition	68-484-B
ignominious	68-501-B
ignominy	68-522-B
ignoramus	68-538-B
ignorance	68-557-B,68-578-B
ignore	68-603-B
ill	13-2232-S,51-152-S,68-621-B,68-631-B,68-640-B,68-649-B
ill mannered	68-658-B
ill timed	68-686-B
illegal	68-708-B,68-726-B,68-745-B
illegality	68-762-B
illegible	68-783-B
illegitimate	68-805-B
illicit	68-828-B,68-849-B
illiteracy	68-866-B
illiterate	68-890-B
illness	68-912-B
illogical	68-928-B
illume	68-950-B
illuminate	68-969-B,68-991-B,68-1014-B
illumination	68-1036-B
illusion	68-1062-B,68-1078-B
illusive	68-1098-B
illusory	68-1119-B
illustrate	68-1140-B
illustration	68-1163-B
illustrious	68-1187-B,68-1207-B,68-1229-B
image	68-1252-B,68-1264-B,68-1281-B,68-1297-B,68-1313-B,68-1332-B
imaginary	68-1347-B,68-1365-B
imagination	68-1389-B,68-1410-B
imagine	68-1434-B
imbecile	68-1459-B,68-1475-B
imbibe	68-1491-B,68-1511-B
imbue	68-1530-B
imitate	68-1546-B
imitation	68-1567-B,68-1586-B
imitator	68-1610-B
immaculate	68-1628-B,68-1651-B,68-1669-B,68-1691-B,68-1713-B
immaterial	68-1738-B,68-1760-B
immature	68-1785-B
immeasurable	68-1807-B,68-1833-B,68-1857-B
immediate	68-1883-B,68-1906-B,68-1931-B,68-1947-B
immediately	68-1964-B,68-1988-B
immemorial	68-2006-B
immense	68-2027-B,68-2046-B,68-2062-B
immensely	68-2079-B
immerse	68-2101-B
immersion	68-2119-B
immigrant	68-2140-B
immigration	68-2159-B
imminent	68-2181-B
immobile	68-2198-B
immoderate	68-2218-B
immoral	68-2239-B
immorality	68-2258-B
immortal	68-2284-B
immortality	68-2308-B
immortalize	68-2339-B,68-2369-B
immovable	68-2392-B,68-2413-B
immune	68-2436-B
immure	68-2451-B
immutable	68-2468-B
imp	68-2489-B
impact	68-2502-B,68-2522-B,68-2536-B,68-2553-B
impair	68-2570-B
impart	68-2588-B,68-2602-B,68-2620-B
impartial	68-2640-B
impartiality	68-2661-B
impassible	68-2689-B
impassioned	68-2710-B
impassive	68-2732-B,68-2752-B,68-2775-B,68-2795-B
impatience	68-2814-B
impatient	68-2842-B
impatiently	68-2865-B
impeachment	68-2891-B
impeccable	68-2915-B,68-2938-B,68-2960-B
impedance	68-2982-B
impede	68-3003-B,68-3024-B
impediment	68-3042-B,68-3064-B
impel	68-3087-B,68-3099-B,68-3116-B,68-3129-B,68-3145-B,68-3159-B
impeller	68-3174-B
impend	68-3190-B,68-3205-B
impenetrable	68-3223-B
imperative	68-3254-B,68-3274-B,68-3298-B
imperfect	68-3318-B,68-3342-B
imperial	68-3364-B,68-3382-B
imperialism	68-3411-B
imperialist	68-3435-B
imperialistic	68-3464-B
imperious	68-3495-B,68-3518-B
imperishable	68-3537-B,68-3567-B
impermanent	68-3588-B,68-3610-B
impersonal	68-3630-B
impersonate	68-3652-B,68-3680-B,68-3706-B
impersonator	68-3728-B
impertinence	68-3748-B,68-3775-B
impertinent	68-3802-B,68-3824-B,68-3850-B
impetuous	68-3872-B,68-3893-B,68-3914-B,69-0-B,69-18-B
impetus	69-39-B,69-55-B,69-69-B,69-84-B
impiety	69-100-B
impingement	69-122-B
impious	69-144-B
impish	69-162-B,69-178-B
implausible	69-192-B
implement	69-221-B,69-242-B,69-260-B
implementation	69-281-B,69-307-B
implemented	69-335-B
implication	69-357-B
implore	69-382-B
imply	69-399-B,69-415-B
impolite	69-432-B,69-453-B
import	69-474-B,69-488-B,69-507-B,69-519-B,69-537-B
importance	69-554-B,69-576-B
important	69-597-B,118-2420-S
importer	69-614-B
importing	69-632-B
importunate	69-649-B,69-672-B
importune	69-694-B
impose	69-716-B,69-734-B
imposing	69-751-B,69-772-B
impossibility	69-790-B
impossible	69-820-B,69-843-B
imposter	69-867-B,69-883-B
impostor	69-899-B
imposture	69-915-B
impotence	69-934-B,69-955-B
impotency	69-979-B
impoverishment	69-1000-B
imprecate	69-1027-B
impreciseness	69-1049-B,69-1080-B
imprecision	69-1110-B,69-1139-B
impregnate	69-1167-B
impresario	69-1191-B
impress	69-1213-B
impressing	69-1231-B
impression	69-1254-B,69-1273-B,69-1292-B,69-1310-B
impressionism	69-1331-B
impressionistic	69-1358-B
impressive	69-1392-B,69-1415-B
imprint	69-1449-B
imprison	69-1464-B
imprisonment	69-1483-B
improbable	69-1508-B
improper	69-1536-B,69-1559-B
improve	69-1582-B
improvement	69-1601-B,69-1621-B
improvidence	69-1644-B
improvisation	69-1674-B
improvise	69-1701-B
imprudent	69-1725-B,69-1748-B
impudence	69-1771-B,69-1795-B
impudent	69-1819-B,69-1838-B
impulse	69-1857-B,69-1873-B
impulsion	69-1888-B,69-1906-B
impulsive	69-1923-B,69-1944-B
impure	69-1965-B,69-1979-B,69-1996-B
impurity	69-2019-B,69-2042-B
imputation	69-2068-B
impute	69-2091-B
in	18-149-S,18-1649-S,19-167-S,22-931-S,27-1017-S,42-227-S,63-174-S,65-284-S,69-2111-B,69-2118-B,69-2124-B,69-2132-B,69-2137-B,79-2563-S,79-3150-S,80-999-S,80-1017-S,87-815-S,115-1051-S,115-1068-S,119-1735-S,122-3049-S,145-1112-S
in a flash	69-2143-B
in accordance with	69-2169-B
in addition	69-2196-B
in all	5-1642-S,5-1662-S
in any case	69-2216-B
in fact	69-2244-B,69-2262-B
in front of	69-2284-B
in law	18-2437-S,122-793-S,122-815-S,124-2360-S
in particular	69-2302-B
in the end	69-2327-B
in vain	69-2347-B
in writing	69-2366-B
inability	69-2386-B
inaccessible	69-2410-B,69-2436-B
inaccuracy	69-2464-B,69-2492-B
inaccurate	69-2519-B,69-2543-B
inaction	69-2566-B,69-2583-B
inactive	69-2601-B,69-2620-B,69-2636-B
inactiveness	69-2656-B
inactivity	69-2677-B,69-2702-B,69-2721-B
inadequate	69-2741-B,69-2765-B,69-2791-B,69-2816-B
inadvertence	69-2841-B
inadvertency	69-2863-B
inalterable	69-2885-B
inane	69-2908-B,69-2921-B
inapposite	69-2937-B,69-2962-B
inappropriate	69-2987-B,69-3015-B
inapt	69-3043-B,69-3063-B
inaptitude	69-3083-B
inarticulate	69-3108-B
inasmuch as	69-3133-B
inattention	69-3155-B
inattentive	69-3176-B,69-3199-B
inaudible	69-3224-B
inauguration	69-3248-B,69-3273-B
inauspicious	69-3299-B
