gumka do scierania	47-3033-B
głupota	43-2433-B,43-2510-B,55-407-B,66-2527-B,89-2293-B,130-334-B
głupstwo	43-2451-B,43-2528-B,55-424-B,89-2311-B,130-353-B
haczyk	66-1857-B,97-650-B
haft	45-3442-B
haftowac	18-2037-B,45-3422-B
hak	66-1869-B,97-661-B
hall	7-1280-B,56-920-B,62-2933-B,62-3039-B,80-594-B
halucynacja	37-1767-B,62-3013-B
hamak	62-3200-B
hamburger	19-1165-B,62-3140-B
hamowac	9-663-B,17-2102-B,62-3214-B,112-3818-B,130-244-B
hamulec	17-2117-B
handel	19-1851-B,27-2287-B,35-2878-B,137-1976-B,137-2256-B,137-2291-B
handel detaliczny	112-3647-B
handlowac	35-2890-B,118-2702-B,137-1989-B
handlowiec	19-1969-B,35-2985-B,84-1414-B,84-1458-B,86-1452-B,115-2870-B,120-2749-B,137-2069-B,137-2101-B
handlowy	27-2303-B,84-1356-B
hangar	63-1194-B,120-778-B
haniebny	40-3138-B,40-3429-B,40-3468-B,53-3135-B,68-501-B,71-737-B,71-2502-B,88-2406-B,92-1935-B,116-2941-B,119-3208-B
hardware	63-2513-B
hardy	9-850-B,64-223-B,80-1348-B,142-1787-B
harem	63-2702-B,119-624-B
harfa	63-3045-B
harmonia	29-332-B,63-2939-B,139-1846-B,141-2129-B
harmoniczny	63-2873-B,63-2894-B
harmonijny	63-2917-B
harowac	43-1642-B,136-2138-B
harowka	43-1658-B
harpun	63-3056-B
hartowac	63-2242-B,133-3261-B
hartowanie	63-2277-B
haszysz	63-3324-B,63-3337-B
hasło	22-132-B,22-170-B,64-1601-B,87-13-B,96-912-B,120-1472-B,123-836-B,145-2836-B
haust	43-0-B
hazard	57-3055-B,64-728-B,143-2402-B
hazardowy	64-829-B,143-2597-B
hazardzista	57-3083-B
hałas	15-2546-B,25-187-B,39-2766-B,57-2181-B,67-90-B,89-1758-B,102-957-B,107-2423-B,114-2691-B,144-2831-B
hałasliwy	25-145-B,80-2689-B,80-2743-B,89-1845-B,142-1970-B,144-2890-B
hałda	64-1772-B
hańba	40-2465-B,40-3103-B,40-3413-B,40-3451-B,41-1478-B,68-522-B,71-775-B,92-1956-B,119-3165-B
heban	44-2099-B
hebel	100-384-B
heblowac	100-396-B
hebrajski	1-324-B,1-342-B,64-2738-B,64-2755-S
hektar	64-2791-B
helikopter	24-1560-B,64-3174-B,146-2606-B
heraldyka	65-555-B
herb	15-2707-B
herbata	133-1877-B
herbaty	133-2040-S,133-2293-S
herc	65-1080-B
heretyk	65-728-B
herezja	65-713-B
hermetyczny	5-631-B,58-590-B,65-847-B,65-868-B
heroiczny	65-958-B
heterogeniczny	65-1313-B
hełm	65-10-B
hiena	67-2087-B,67-2234-B
hierarchia	65-1738-B
higiena	67-2246-B,67-2332-B,116-924-B
higienicznie	67-2306-B
higieniczny	67-2262-B,67-2283-B,116-884-B
hinduizm	1-359-B
hindus	70-2458-B
hinduski	70-2472-B
hipnotyzowac	67-2446-B
hipnoza	67-2411-B,67-2428-B
hipochondria	67-2470-B
hipokryta	67-2554-B
hipokryzja	67-2496-B
hipopotam	65-2541-B,65-2557-B
hipoteka	86-3023-B
hipotetycznie	67-2640-B
hipotetyczny	67-2614-B
hipoteza	10-1097-B,67-2594-B,103-352-B,103-405-B,103-2248-B,131-2290-B,131-2420-B
histeria	67-2669-B
histeryczny	67-2687-B,67-2708-B
historia	65-2750-B,128-3007-B
historyczny	65-2681-B,65-2702-B
historyjka	65-2767-B,128-3022-B,133-354-B
historyk	65-2662-B,65-2725-B
hiszpan	125-1024-B
hiszpania	125-946-B
hiszpanka	125-1041-B
hiszpański	125-1060-B
hit	65-2804-B
hobby	65-3120-B
hodowac	18-591-B,34-1008-B,61-3047-B,108-374-B,109-368-B
hodowla	18-606-B,18-677-B,34-1132-B
hojnosc	17-1254-B,17-1297-B,77-649-B,87-1774-B
hojny	58-2020-B,77-1807-B,104-2640-B
hokej	65-3151-B
holandia	66-500-B
holender	44-258-B
holenderski	44-240-B
holografia	66-681-B
holowac	64-268-B,137-1419-B,139-1538-B
holowanie	64-253-B
holownik	64-397-B,139-1551-B,139-1564-B
homar	80-623-B
homeopata	66-897-B,66-1006-B
homogeniczny	66-1056-B
homoseksualista	58-1085-B
homoseksualizm	58-1176-B,66-1027-B,66-1104-B
homoseksualny	58-1105-B
honor	66-1551-B
honorarium	52-344-B,66-1479-B,114-2812-B
honorowy	66-1501-B,66-1637-B,112-2551-B
horda	66-2198-B
horoskop	66-2283-B
horyzont	66-2210-B
horyzontalny	66-2227-B
hostessa	66-2847-B
hotel	66-2962-B
hotelarz	66-2974-B
hołd	66-717-B,90-1863-B,138-2682-B
hołota	138-1286-B
hrabia	32-1465-B,44-1086-B
hrabina	32-1942-B
hrabstwo	32-2205-B,44-1098-B,120-2155-B
huk	12-2135-B,114-827-B
humanista	67-455-B
humanistyczny	67-474-B
humanitarnosc	67-410-B,67-526-B,67-592-B
humanizm	67-437-B
humor	41-1132-B,67-965-B,67-1051-B,86-2275-B,133-3278-B,143-1965-B
humorysta	67-992-B
humorystyczny	27-1551-B,27-1612-B,67-1011-B
humorze	86-2333-S
huragan	67-1638-B
hurt	147-66-B
hurtownik	147-81-B
hustac	132-1484-B
hustac sie	118-1769-B
hustawka	132-1468-B
huzar	67-2032-B
hybryda	67-2100-B
hydrant	67-2133-B
hydrauliczny	67-2149-B
hydraulik	100-2689-B
hydroplan	67-2213-B
hymn	67-2350-B
i	6-3147-B,100-2965-B
ich	134-3088-B,134-3098-B
idea	67-2906-B
idealistyczny	67-3017-B
idealizowac	59-1282-B,59-1370-B,67-3042-B
idealny	67-2990-B
ideał	67-3004-B
identycznosc	67-3144-B
identyfikacja	67-3091-B
identyfikowac	67-3120-B
ideologia	67-3238-B
ideologiczny	67-3190-B,67-3213-B
idiom	67-3273-B
idiota	16-218-B,16-2529-B,16-2657-B,24-2171-B,33-1849-B,39-1213-B,39-2752-B,42-891-B,42-1485-B,43-2694-B,43-2745-B,55-395-B,57-529-B,60-1221-B,62-2917-B,68-15-B,68-1459-B,74-2032-B,74-2947-B,76-1985-B,80-1461-B,86-2909-B,89-1332-B,89-1523-B,90-1278-B,99-1311-B,99-1810-B,103-3171-B,120-2197-B,121-3079-B,136-2513-B,140-12-B
idiotyczny	68-56-B
idiotyzm	67-3257-B
idol	68-279-B
idylliczny	68-353-B
iglica	88-2284-B
ignorancja	68-557-B
ignorant	68-538-B
ignorowac	68-603-B
igła	88-2298-B
ikona	67-2871-B
ile	68-444-S
iloraz	107-2087-B
ilosc	32-1478-B,90-976-B,106-3330-B
ilustracja	68-1163-B
ilustrowac	68-1140-B
iluzja	68-1062-B,85-1082-B
iluzoryczny	68-1098-B,68-1119-B
im	134-3109-B
imadło	144-416-B,144-2100-B
imbir	59-484-B
imie	55-1792-B,87-3143-B
imiennik	88-79-B
imienny	89-1921-B
imiesłow	95-2819-B
imigracja	68-2159-B
imigrant	68-2140-B
imitacja	43-2547-B,50-3492-B,68-1567-B
imitator	68-1610-B,85-278-B,85-312-B
immatrykulowac	83-1429-B
impedancja	68-2982-B
imperator	46-118-B
imperialistyczny	68-3435-B,68-3464-B
imperializm	68-3411-B
imperium	46-231-B,68-3382-S
impertynencja	8-2516-B,13-110-B,17-2741-B,23-2823-B,23-2903-B,34-310-B,45-722-B,50-2332-B,57-2795-B,68-3775-B,69-1795-B,72-1577-B,88-3236-B,116-1682-B
impertynencki	68-3824-B
impet	69-55-B
imponowac	69-716-B
imponujacy	69-751-B,69-1231-B,69-1392-B,129-2164-B
import	69-474-B,69-632-B
importer	69-614-B
importowac	69-488-B
impotencja	40-385-B,69-934-B,69-979-B,69-3405-B
impregnowac	69-1167-B
impresario	69-1191-B
impresjonistyczny	69-1358-B
impresjonizm	69-1331-B
improwizacja	50-326-B,69-1674-B
improwizowac	3-794-B,50-355-B,69-1701-B
impuls	69-69-B,69-1873-B,69-1906-B,106-449-B
impulsywny	68-3893-B,69-1923-B
inaczej	39-1757-B,45-2486-B,92-2290-B,93-1045-B
inauguracja	69-3248-B,92-798-B
incydent	69-3814-B
indeks	70-2391-B,70-2698-B
indianin	70-2488-B
indiański	70-2504-B
indie	70-2446-B
indonezja	70-3565-B
indor	60-187-B
indos	46-2119-B
indukcja	70-3693-B
industrializacja	70-3891-B
indyjski	1-382-B,70-2522-B
indyk	60-201-B,139-2030-B
indywidualizm	70-3427-B
indywidualnosc	70-3455-B,98-1249-B
indywidualny	70-3362-B
indziej	45-2467-S,45-2540-S
inercja	68-151-B,69-2566-B,69-2656-B,69-2702-B,71-100-B,71-116-B,78-2068-B,123-1318-B
infantylny	71-864-B
infekcja	71-1000-B
infiltracja	71-1448-B
inflacja	71-1761-B
informacja	47-214-B,47-271-B,71-2072-B,71-2191-B,72-301-B,72-358-B,72-4057-B,135-3258-B
informator	71-2126-B
informatyka	71-2167-B
informowac	18-952-B,71-2088-B,72-2826-B
infrastruktura	71-2273-B
ingerencja	73-951-B
ingerowac	73-906-B,73-1975-B
ingrediencja	71-2620-B
inicjator	71-3275-B
inicjatywa	47-571-B,71-3253-B
iniekcja	71-3315-B
inkasowac	26-2840-B
inkrustowac	71-3671-B
innowacja	71-3984-B
inny	7-965-B,39-1561-B,93-1034-B
inscenizacja	104-1761-B,127-121-B
insekt	72-788-B
inspekcja	72-1893-B,131-1542-B
inspektor	72-2015-B
inspiracja	72-2055-B
inspirowac	72-2118-B
instalacja	53-2744-B,72-2214-B,72-2289-B
instalowac	72-2175-B,72-2194-B
instancja	72-2345-B
instrukcja	127-2002-B
instruktor	72-3029-B,137-2551-B
instrument	72-3130-B
instruowac	72-2847-B
instynkt	72-2662-B
instytucja	48-574-B,72-2759-B
instytut	72-2680-B
insulina	72-3373-B
insurekcja	72-3659-B,109-801-B,113-1266-B,142-1911-B
insynuowac	72-1358-B
integracja	72-3852-B
integralnosc	72-3895-B,147-41-B
integralny	72-3765-B
integrowac	72-3806-B
intelekt	72-3942-B,85-355-B,109-537-B
intelektualista	72-3978-B
intelektualny	72-4007-B
inteligencja	73-0-B,73-175-B
inteligentny	25-2037-B,73-89-B,120-427-B
intencja	5-271-B,67-2916-B,73-463-B,73-522-B,90-1959-B,100-271-B,106-1634-B
intensywny	73-298-B,73-415-B
interes	4-928-B,13-199-B,15-1873-B,19-1867-B,28-3862-B,35-2906-B,83-1525-B,120-2696-B,128-2610-B,135-803-B,137-2006-B
interesujacy	73-880-B
interludium	73-1143-B
interpretacja	73-1565-B,108-3111-B,111-2008-B
interpretowac	73-1518-B,111-1898-B
interpunkcja	106-703-B
interwencja	73-2021-B
interweniowac	46-1406-B,73-648-B,73-1493-B,73-1996-B
intonacja	73-2360-B
intruz	73-1125-B,73-2832-B,73-3028-B,138-2348-B
intryga	117-706-B
intrygowac	73-2539-B,106-2400-B
intuicja	73-2896-B
intymnosc	73-2137-B
intymny	73-2209-B
inwalida	73-3095-B
inwalidzki	146-1991-S
inwazja	70-1525-B,72-499-B,73-3304-B
inwazji	73-2953-S
inwentaryzacja	128-2002-B
inwentarz	53-2971-B,73-3472-B,80-17-S
inwestor	73-3816-B
inwestycja	73-3776-B
inżynier	46-2932-B
inżynieria	46-2968-B
irak	74-173-B
iran	74-146-B
irański	74-156-B
irlandczyk	74-246-B
irlandia	45-1079-B,74-213-B
irlandzki	74-230-B
ironia	74-359-B
ironiczny	74-323-B,74-340-B
irracjonalny	74-394-B,131-2587-B
irytowac	7-509-B,74-1026-B,105-2966-B,144-147-B
isc	59-2903-B,94-1432-B,145-1029-B
iskrzyc	125-1257-B
iskrzyc sie	125-1274-B,139-2972-B
islam	1-398-B
islandia	67-2841-B
istniec	13-2131-B,49-1848-B,130-1381-B
istnienie	14-1270-B,49-1897-B
istota	14-1286-B,33-1328-B,48-324-B,82-3193-B,130-1453-B
istotnie	30-594-B,48-429-B,130-1725-B
istotny	48-369-B,57-1211-B,83-1165-B,130-1546-B
iteracja	74-1843-B
izba	22-3105-B,66-3171-B,114-1632-B
izolacja	72-3334-B,74-1231-B,76-2980-B
izolator	72-3277-B,72-3354-B,74-1273-B
izolowac	72-3295-B,74-1134-B,118-278-B,118-1823-B,119-583-B
izrael	74-1291-B
ił	121-2842-B
ja	1-377-B,67-2731-B,83-1956-B,87-2767-B
jabłecznik	24-2345-B
jabłko	8-118-B
jacht	148-1411-B
jad	101-684-B,143-2226-B
jadalny	44-2009-B,44-2833-B
jadowity	101-744-B,143-2266-B,144-1906-B
jadro	31-3102-B,59-702-B,64-1910-B,75-3055-B,90-694-B,90-739-B,99-1932-B,118-1604-B,128-2101-B,130-1470-B
jadłospis	84-1314-B
jagnie	76-3076-B
jagoda	14-2734-B
jaguar	74-2159-B
jaja	18-2208-S
jajka	146-2793-S
jajko	45-747-B,94-1134-B,94-1146-B
jak	9-1706-B,66-3362-B,79-798-B,130-2561-B
jak smoła	74-3143-S
jak żywy	79-173-B
jakac sie	127-656-B,130-475-B
jakała	127-677-B
jakikolwiek	7-1985-B
jakis	7-2001-B,22-2410-B,124-1796-B
jakos	7-2140-B,7-2349-B,7-2442-B,124-1957-B
jakosc	25-896-B,60-2091-B,106-3227-B
japonia	74-2420-B
japonka	74-2434-B
japończyk	74-2451-B
japoński	1-450-B,1-608-B,74-2471-B,74-2490-S
jar	59-1745-B,60-1271-B,62-1217-B,108-2468-B
jarmark	50-3126-B
jarzmo	148-2117-B
jarzyna	143-1792-B,143-1830-B
jaskinia	19-1587-B,22-903-B,22-986-B,37-2641-B,61-2537-B,66-386-B,76-3039-B
jaskołka	132-503-B
jaskrawy	91-401-B,120-446-B
jasniec	59-1502-B
jasnosc	18-1218-B,18-1256-B,18-1294-B,25-687-B,25-1748-B,41-2691-B,81-569-B
jasnowidz	25-96-B
jasny	7-3061-B,16-263-B,16-1979-B,18-1096-B,18-1203-B,18-1844-B,25-1287-B,25-1457-B,25-1715-B,30-1047-B,41-2488-B,48-2422-B,49-3372-B,50-3139-B,79-277-B,79-1478-B,81-522-B,81-729-B,82-1350-B,82-2885-B,91-418-B,94-3055-B,96-1412-B,97-764-B,97-1935-B,98-1447-B,98-1488-B,100-15-B,100-148-B,106-1309-B,120-1000-B,123-1633-B,138-843-B,140-1941-B,144-2693-B
jaszczurka	80-90-B
jawny	7-3076-B,25-1469-B,30-1065-B,48-2436-B,82-1365-B,91-432-B,92-590-B,94-744-B,95-30-B,96-1425-B,100-27-B
jaz	146-1288-B
jazdy	136-756-S
jazz	74-2725-B
jałowiec	75-1785-B
jałowy	13-609-B
jeczec	28-1104-B,61-2259-B,76-3101-B,85-3089-B,146-2499-B
jeczmień	13-303-B
jeden	92-0-B
jedenascie	45-2134-B
jedna	92-10-B
jednak	19-2179-B,67-0-B,89-212-B,90-0-S,128-1020-B,148-1839-S,148-1860-B
jednakowo	5-1364-B,47-2365-B,48-1589-B,141-1541-B
jednakowy	5-1380-B
jednakże	19-2190-B,67-15-B,89-3325-B,128-1033-B,148-1871-B
jedno	92-20-B
jednobarwny	86-1653-B,86-1707-B
jednoczesnie	10-2147-B
jednoczyc	141-1580-B,141-2046-B
jednokolorowy	86-1679-B,86-1730-B
jednolity	141-1473-B,141-2028-B
jednorodny	66-1081-B,141-1491-B
jednorodzinny	66-756-S
jednosc	92-95-B,141-2144-B
jednostajny	86-1960-B
jednostka	141-1982-B
jednostronny	92-51-B,92-182-B,141-1613-B
jednotorowy	122-386-B
jednoznacznie	140-988-B,140-3989-B
jedwab	108-2685-S,121-2743-B
jedwabisty	121-2769-B
jedwabny	116-1295-B,121-2755-B,121-2787-B,121-2803-B
jedynie	5-3070-B,75-2046-B,84-1616-B,92-258-B,124-1129-B
jedyny	92-30-B,92-271-B,122-320-B,124-1077-B,124-1144-B,141-1917-B
jedza	147-1750-B
jedzenie	24-1667-B,55-202-B,84-1950-B
jego	65-2246-B,65-2631-B,74-1905-B
jegomosc	23-422-B,52-748-B
jej	65-515-B,65-1029-B
jek	34-398-B,61-2274-B,85-3103-B,145-704-B
jeleń	36-2490-B,63-3266-B,126-3250-B
jelito	17-1406-B,62-1679-B,73-2103-B
jemu	65-2255-B
jen	148-1797-B
jeniec	21-350-B,104-203-B
jesc	44-1969-B,84-1964-B
jesc sniadanie	18-317-B
jesień	11-1985-B,50-3599-B
jesion	9-2225-B
jesli	68-414-B,105-2660-B
jeszcze	128-1049-B,148-1885-B
jezdnia	114-741-B
jezioro	76-3053-B,80-898-B,80-2848-B
jezyk	77-362-B,79-1819-B,136-2636-B
jezyk angielski	46-3069-B
jezyk arabski	8-2005-B
jezyk duński	35-1565-B
jezyk grecki	61-1350-B
jezyk hebrajski	64-2755-B
jezyk japoński	74-2490-B
jezyk polski	101-1260-B
jezyk wegierski	67-1194-B
jezyk włoski	1-410-B,74-1601-B
jezykoznawca	79-1833-B
jezykoznawczy	79-1856-B
jezykoznawstwo	79-1907-B
jeździec	22-831-B,47-2469-B,66-2480-B,113-2175-B
jeż	64-2842-B
jeżeli	68-424-B
jod	74-117-B
jodła	53-1446-B
joga	148-2062-B
jogurt	148-2072-B,148-2088-B,148-2103-B
jon	74-128-B
jota	74-136-B
jubiler	74-3230-B,74-3246-B
jubileusz	7-348-B,75-1005-B
jugosławia	148-2547-B
