rzeźnia	122-2808-B
samozaparcie	118-2313-B
sanatorium	116-584-B,116-862-B,116-943-B
sandał	116-695-B
sanie	122-2951-B,122-2973-B,122-3196-B,136-1963-B
sanitarny	116-905-B
sankcja	116-624-B
sanki	122-2962-B,122-2986-B,122-3209-B,136-1978-B
sapac	58-661-B,95-582-B,106-92-B
sardynka	116-1075-B
sarkastycznie	116-1047-B
sarkastyczny	116-1024-B
sarna	36-2502-B
sasiadujacy	3-1717-B
sasiedni	3-1740-B,3-1781-B,88-3002-B,88-3094-B
sasiedztwo	88-2977-B,144-484-B
satelita	116-1229-B
satyryczny	116-1311-B
satysfakcja	116-1332-B
sałata	78-2212-B,115-2695-B
sałatka	115-2709-B
scena	117-380-B,127-12-B
scenariusz	117-328-B,117-2215-B,117-2375-B
sceneria	117-437-B
sceptycyzm	117-575-B
sceptyczny	117-554-B,122-1433-B,122-1452-B
sceptyk	117-538-B
schemat	39-703-B,96-2196-B,117-691-B,117-800-B
schematyczny	39-734-B
schizofrenia	117-829-B
schludny	88-1684-B,126-2137-B,135-3304-B
schnac	43-1872-B
schodowa	127-290-S,127-347-S
schody	54-1192-B,127-277-B,127-316-B,127-333-B,127-372-B
schody ruchome	47-3495-B
schowac	65-1606-B
schron	19-892-B,120-1358-B
schronienie	110-1480-B,120-1373-B
schronisko	63-2005-B,66-2778-B,110-1499-B
schudnac	80-2480-B,110-243-B,123-432-B,123-491-B
sciac głowe	14-1132-B
sciagac	33-1982-B
sciaganie	147-1917-B
sciagnac	30-4188-B
scieg	128-1731-B
sciegno	122-257-B,134-1128-B
sciek	42-2974-B
scieki	45-550-B,119-2484-B
scierac	147-1425-B
scierania	47-3033-S
scierka	26-0-B
sciernisko	129-3112-B
scieżka	55-694-B,96-1641-B,96-1805-B,137-1884-B,137-2409-B
scigac	23-1678-B,42-672-B,64-494-B,67-1467-B,98-733-B,106-1855-B
scinac sie	34-1617-B
scisk	34-277-B,74-2322-B
sciskac	103-1919-B,126-2832-B
sciskanie	28-3002-B
scisle	102-2871-B
scisnac	74-2333-B
scisłosc	2-2793-B,32-230-B,48-2920-B,102-2959-B,113-2922-B
scisły	2-2869-B,39-3372-B,48-1737-B,48-2768-B,78-2389-B,95-3212-B,102-2811-B,129-256-B,129-1952-B
scyzoryk	74-2140-B,97-1297-B,97-1315-B,101-48-B
seans	73-2767-B,97-2814-B,103-1356-B,121-696-B
sedno	48-339-B,82-3207-B,89-1474-B
sedzia	75-1080-B,75-1937-B,75-2187-B,81-2242-B
sedziowski	75-1280-B
segment	118-1807-B
segregacja	118-1889-B
sejf	115-2180-B,129-2813-B,129-2863-B,143-1695-B
sek	76-1738-B
sekaty	76-1761-B
sekcja	118-943-B
sekret	87-2799-B,118-575-B
sekretarka	118-701-B
sekretarz	19-1098-B,25-1973-B,118-680-B,118-722-B
seksualny	119-2599-B
sektor	118-975-B
sekunda	118-185-B,118-440-B
sekwens	119-566-B
selekcja	118-2088-B
selektywny	118-2124-B
seler	22-1536-B
semantyczny	118-2753-B
semantyka	118-2774-B
semestr	118-2809-B,134-1597-B
seminarium	118-2938-B,118-2957-B
semita	118-2977-B
sen	43-370-B,122-3027-B,123-1386-B
senat	118-2991-B
senator	118-3004-B
senior	118-3109-B
sennosc	43-1562-B,122-3066-B,124-2296-B
senny	42-1530-B,42-2616-B,43-1598-B,122-3153-B,123-1423-B,124-2317-B
sens	69-507-B,83-2240-B,85-406-B,101-331-B,118-3213-B,121-2354-B
sensacja	118-3138-B
sensacyjny	81-1240-B,118-3175-B,125-2246-B
sentymentalny	83-1741-B,119-18-B
sep	145-457-B
seplenic	79-2344-B
seplenienie	79-2327-B
septyczny	119-468-B
ser	23-3141-B
serb	119-639-B,119-649-B
serbski	1-753-B,119-662-B
serca	64-1935-S
serce	64-1923-B,64-2158-B,135-3124-B
serdecznie	31-3058-B,64-2120-B
serdeczny	31-3040-B,58-2580-B,64-2171-B,122-147-B,145-1866-B
serdeczny przyjaciel	33-2475-B
serenada	119-678-B
seria	115-948-B,119-818-B,130-2387-B,137-2477-B
serial	119-776-B
serio	61-757-B,119-862-B,119-926-B,124-1283-B,147-0-B
serwetka	88-190-B
serwis	119-1192-B
seryjny	119-790-B
sesja	84-192-B,119-1391-B,122-949-B
set	119-1506-B
sezon	118-37-B
sfera	109-356-B,125-3105-B
sfinks	125-3165-B
sfora	94-1723-B
sformowac	86-826-B,120-195-B
sfrustrowany	57-450-B
sherry	120-1458-B
siac	125-682-B
siana	64-707-S
siano	64-659-B
siarka	18-1526-B,130-3461-B,130-3597-B
siatka	61-1795-B,84-1902-B,88-3410-B,88-3504-B
siatkowka	144-3212-B
sie	3-62-S,3-1276-S,3-2445-S,4-2168-S,4-2187-S,4-2214-S,4-2970-S,4-3361-S,7-3236-S,7-3260-S,7-3397-S,7-3418-S,7-3438-S,7-3474-S,8-1070-S,8-1343-S,8-1569-S,8-3262-S,9-1884-S,9-1906-S,9-2842-S,9-3263-S,9-3458-S,10-3039-S,13-215-S,13-1544-S,13-1614-S,14-158-S,14-993-S,14-3224-S,15-275-S,16-1393-S,16-1414-S,16-1536-S,17-797-S,19-1314-S,19-1429-S,19-1685-S,22-931-S,23-17-S,24-3328-S,25-2256-S,25-2276-S,26-1798-S,26-2183-S,26-2663-S,27-953-S,27-1133-S,28-1162-S,28-3896-S,29-459-S,29-1600-S,29-1623-S,29-2379-S,30-59-S,30-506-S,30-2953-S,31-1334-S,32-336-S,33-821-S,33-857-S,33-1628-S,34-1596-S,34-1617-S,35-1633-S,35-1653-S,35-2174-S,36-1570-S,37-115-S,37-209-S,37-852-S,37-1293-S,37-1923-S,38-3704-S,39-1518-S,39-2404-S,40-3788-S,41-962-S,41-1373-S,41-3462-S,42-526-S,43-229-S,44-571-S,44-593-S,45-3594-S,45-3633-S,45-3655-S,46-1953-S,46-3459-S,46-3479-S,47-2290-S,47-3581-S,48-945-S,50-2912-S,51-3105-S,51-3152-S,52-2644-S,53-2523-S,54-1511-S,54-2022-S,54-2639-S,57-3023-S,58-216-S,58-1199-S,58-3247-S,58-3299-S,59-1020-S,59-1790-S,59-2440-S,59-2516-S,61-3104-S,62-1571-S,62-2542-S,63-625-S,63-1154-S,63-1412-S,63-1431-S,63-1449-S,63-1471-S,63-1492-S,64-1794-S,65-1053-B,65-1273-S,66-2078-S,66-3344-S,71-1517-S,72-1472-S,73-999-S,73-1236-S,74-1928-B,75-2518-S,77-1224-S,77-1410-S,78-88-S,78-111-S,79-26-S,79-2501-S,80-460-S,80-1529-S,81-1277-S,82-3240-S,82-3376-S,87-732-S,87-815-S,88-148-S,88-1998-S,88-3386-S,89-135-S,90-1359-S,90-2038-S,91-982-S,91-1002-S,91-1025-S,92-155-B,92-547-S,93-869-S,96-269-S,97-487-S,97-567-S,97-2576-S,98-1544-S,99-2466-S,100-1315-S,100-1803-S,101-1913-S,101-2246-S,102-2055-S,104-3665-S,105-3128-S,106-1833-S,106-2327-S,106-3008-S,107-70-S,107-1789-S,107-3139-S,108-767-S,109-716-S,109-1136-S,109-1731-S,110-1747-S,111-610-S,111-648-S,113-17-S,113-1244-S,114-346-S,114-424-S,114-776-S,114-1085-S,116-1753-S,118-1506-S,118-1681-S,118-1700-S,118-1769-S,119-2947-S,120-1803-S,120-2273-S,121-1062-S,121-1081-S,121-1139-S,121-1164-S,121-1334-S,121-3025-S,122-1578-S,123-195-S,123-632-S,123-666-S,123-1398-S,123-2116-S,123-2299-S,123-2418-S,124-175-S,124-193-S,125-1274-S,126-2429-S,126-2759-S,127-53-S,127-73-S,127-656-S,127-1497-S,127-3126-S,129-2497-S,129-2671-S,129-3010-S,130-35-S,130-161-S,130-475-S,130-2332-S,130-3212-S,130-3475-S,131-2811-S,132-705-S,132-796-S,132-814-S,132-834-S,132-905-S,132-1573-S,133-258-S,133-730-S,133-2614-S,134-798-S,134-3163-B,135-964-S,135-988-S,137-798-S,137-1562-S,137-1644-S,138-935-S,138-1801-S,138-2001-S,138-2882-S,138-3182-S,139-2191-S,139-2331-S,139-2353-S,139-2972-S,139-3097-S,140-3331-S,143-0-S,143-1434-S,143-1454-S,143-1486-S,143-2444-S,144-303-S,145-1368-S,145-1409-S,145-2666-S,146-238-S,146-2533-S,147-525-S,147-2041-S,147-2272-S,148-895-S,148-2335-B,148-2382-B
sie w oczy	30-1083-S
sie zastosowac	8-210-S
sie ziemi	77-262-S
siebie	10-1227-S,65-1038-B,65-2276-B,74-1914-B,92-140-B,118-2198-S,134-3145-B,148-2319-B,148-2364-B
siec	61-1807-B,84-1914-B,88-3421-B,88-3519-B
siedem	119-2152-B
siedemdziesiat	119-2189-B
siedemnascie	119-2165-B
siedzace	118-105-S
siedzenie	118-143-B
siedziba	1-2293-B,44-553-B,99-2729-B,112-1555-B,118-158-B
siedziec	122-860-B
siegac	108-2775-B
siegnac	108-2790-B
siekac	24-1547-B,34-3062-B,62-2338-B,65-1421-B
siekiera	11-3238-B,11-3260-B,64-73-B
sielankowy	68-372-B
sienny	64-669-S
sierociniec	93-603-B
sierota	93-588-B
sierp	121-1617-B
sierpień	1-91-B,11-674-B,11-794-B
siersc	57-1497-B
sierżant	119-742-B
siewnik	125-704-B
sień	62-2984-B,62-3069-B
silnie	12-744-B,64-2596-B
silnik	46-2918-B,86-3448-B
silnika	66-1749-S
silny	12-757-B,14-494-B,53-1920-B,63-2130-B,64-2611-B,64-2713-B,65-1857-B,73-331-B,73-436-B,81-1425-B,81-1499-B,84-3213-B,102-901-B,102-1568-B,104-2625-B,106-120-B,109-3633-B,114-1036-B,119-2418-B,124-1382-B,128-875-B,128-3180-B,129-2771-B,129-2848-B,130-433-B,130-1627-B,135-472-B,137-1123-B,144-948-B,144-1436-B,144-1661-B
silos	121-2831-B
siodło	115-2018-B,118-172-B
siostra	122-778-B
siostra przyrodnia	128-340-B
siostrzany	122-840-B
siostrzenica	89-1044-B
siostrzeniec	88-3196-B
sitko	121-1916-B,129-775-B
sito	113-2134-B,117-2187-B,121-1888-B
siwy	61-894-B,61-947-B,61-1715-B
siła	46-2579-B,55-1191-B,84-3156-B,102-1448-B,129-1351-B,144-899-B,144-995-B
skad	146-2085-B
skakac	66-2022-B,75-1529-B,78-65-B,122-1993-B,126-1874-B
skala	58-1017-B,108-955-B,116-2737-B,127-1111-B,148-1528-B
skaleczenie	67-1775-B
skaleczyc	67-1792-B,71-3434-B
skalpel	116-2871-B
skamieniałosc	56-192-B
skamieniały	56-216-B,98-2427-B
skandal	116-2904-B
skandaliczny	116-2961-B,119-3226-B,120-2420-B
skandynaw	116-3009-B
skandynawia	116-2985-B
skandynawski	116-3032-B
skapiec	23-2251-B,83-2224-B,85-1754-B,89-1092-B,122-1907-B
skapstwo	11-2138-B,95-2211-B
skapy	11-2174-B,25-2948-B,83-2130-B,85-1861-B,95-2191-B,97-1526-B,116-3079-B,125-1180-B,128-1543-B,136-274-B,136-294-B,141-1162-B
skarb	65-3024-B,138-1584-B
skarb państwa	49-352-B
skarbiec	138-1635-B
skarbnica	138-1653-B
skarbnik	138-1616-B
skarcic	117-1338-B
skarga	23-1055-B,28-1246-B,61-1900-B,61-2187-B,77-0-B,85-3128-B
skarpa	12-2389-B
skarpetka	124-568-B
skarżyc sie	28-1162-B
skasowac	20-2097-B,25-1553-B,37-668-B,90-2782-B
skaza	15-2824-B,36-3123-B,47-3350-B,51-2711-B,85-2643-B,121-24-B,126-1408-B
skazac	29-541-B,31-1906-B,42-1307-B,118-3601-B
skazanie	29-582-B,31-2005-B
skazany	118-3649-B
skazywac	42-1320-B
skała	114-1105-B
skecz	122-1473-B
skierowac	5-293-B,23-299-B,132-1713-B
skinac	14-123-B
skinac głowa	89-1724-B
skinienie	14-108-B,89-1710-B,146-196-B
sklejka	100-3060-B
sklep	19-1898-B,35-2953-B,46-440-B,120-2724-B,128-2677-B,137-2037-B
sklep spożywczy	61-2316-B
sklepienie	8-2168-B,42-947-B,143-1706-B,143-1723-B
sklepikarz	120-2789-B,137-2139-B
sknera	23-2233-B,83-2210-B,85-1741-B,122-1890-B,136-408-B
skoczek	75-1587-B
skoczyc	75-1542-B
skojarzenie	10-850-B
skok	66-2034-B,75-1556-B,78-78-B,99-2260-B,126-1889-B
skomentowac	7-370-B
skomplikowany	28-1871-B,28-2012-B,45-1199-B
skonsumowac	30-2301-B,37-3567-B,49-1531-B,49-2391-B,125-2872-B
skopiowac	43-2992-B
skora	26-1008-B,52-710-B,57-1510-B,65-1620-B,122-1804-B
skorka	34-344-B,97-435-B,113-3187-B,122-1816-B
skoro	90-352-B
skoro tylko	91-3184-B
skoroszyt	54-2876-B
skorpion	117-1621-B
skorupa	34-330-B,120-1226-B,122-1791-B
skorupiak	86-1018-B,86-1053-B,120-1274-B
skorzany	78-236-B,78-254-B,78-273-B
skorzystac	104-2371-B
skos	122-2595-B
skosnie	9-2490-B
skosny	90-2733-B
skosztowac	133-1312-B
skowronek	77-680-B,122-2174-B
skończyc	28-1564-B,46-1666-B,53-1356-B,134-1750-B
skracac	1-1493-B
skradac sie	127-3126-B
skraj	17-292-B,18-1738-B,44-2778-B,93-2617-B,143-2828-B
skraplac	79-2187-B
skrecac	139-3162-B
skreslic	20-2114-B,37-685-B,117-1894-B,129-2078-B,129-2142-B
skret	139-2179-B,139-2421-B,139-3178-B
skrobac	117-1843-B,117-1913-B
skrobaczka	117-1859-B
skrobia	127-1482-B
skrocenie	1-1534-B,34-2394-B
skrocic	1-1513-B,1-2725-B,34-2376-B,34-3074-B,121-75-B,139-675-B
skromnosc	67-698-B,67-927-B,86-390-B
skromny	57-241-B,67-647-B,84-13-B,86-375-B,107-1200-B,140-1110-B,141-2979-B,141-3324-B,141-3345-B
skrot	1-1558-B,121-59-B
skroń	134-338-B
skrupulatny	21-1068-B,29-3848-B,84-2451-B,102-2791-B,117-2579-B
skrupuł	117-2562-B
skruszony	7-2754-B
skryty	19-1350-B,25-325-B,28-3512-B,32-3225-B,57-1928-B,65-1565-B,71-3846-B,77-1067-B,81-1294-B,91-816-B,104-356-B,118-589-B
skrzydłami	54-2464-S
skrzydło	147-1203-B
skrzynia	15-1123-B,17-1619-B,19-2933-B,21-2487-B,23-3419-B,26-1718-B,33-690-B
skrzynka na listy	78-2167-B
skrzynka pocztowa	81-2796-B
skrzypce	52-2560-B,144-1504-B
skrzypek	52-2576-B,144-1520-B
skrzypiec	33-1015-B
skrzywdzic	71-3452-B
skrzywienie	34-2486-B,34-2552-B,54-1119-B
skrzyżowac	33-2777-B
skrzyżowanie	33-2867-B,33-2890-B,33-2914-B,33-2970-B,73-1861-B,75-1654-B
skrzyżowanie drog	33-2939-B
skubac	99-201-B,100-2442-B,140-53-B
skunks	122-2111-B
skupiac	2-2658-B,108-601-B
skupic	26-2900-B,28-3684-B
skupisko	26-503-B
skurczony	121-1241-B
skutecznie	45-93-B
skutecznosc	45-116-B,45-170-B,45-220-B,45-295-B,45-325-B,45-390-B,144-1834-B
skuteczny	45-73-B,45-461-B
skutek	30-141-B,44-3298-B,68-2522-B,112-3552-B
skutkiem tego	135-81-B
skład	28-1065-B,28-2407-B,28-2560-B,30-1925-B,37-3849-B,38-66-B,43-2622-B,81-2088-B,111-3447-B,119-1514-B,128-1856-B,128-2555-B,128-2689-B,128-2768-B,128-2846-B,145-1740-B
składac	14-3198-B,28-2253-B,54-2844-B,140-333-B
składany	26-2686-B,54-2913-B
składnia	132-2442-B
składnica	128-2702-B
składnik	28-2213-B,30-1727-B,45-1943-B,71-2644-B
składowa	28-2164-S
składowac	128-2719-B
składowanie	128-2570-B,128-2900-B
skłonnosc	10-2610-B,14-2578-B,15-461-B,39-2965-B,60-2248-B,69-4119-B,78-16-B,97-914-B,102-3345-B,104-1305-B,105-175-B,105-626-B,122-2606-B,123-900-B,132-54-B,134-868-B,136-484-B,138-2224-B,143-1990-B
skłonny	41-1091-B,69-4165-B,78-0-B,78-37-B,90-2749-B,102-3324-B,122-2636-B,123-947-B
slad	26-355-B,77-351-B,121-2242-B,137-1745-B,137-1900-B,137-2425-B,144-44-B
slalom	122-2366-B
sledzic	55-17-B,137-1757-B,137-1912-B
sledziona	126-468-B
sledztwo	23-2768-B,47-290-B,48-3135-B,72-214-B,72-395-B,72-457-B,73-3730-B,112-1080-B,117-3295-B,132-0-B
sledź	65-1013-B
slepy	15-3053-B,121-2017-B
sliczny	13-3006-B,23-1491-B,27-1322-B,35-45-B,53-1184-B,60-949-B,60-1047-B,60-1926-B,63-947-B,81-68-B,88-1710-B,89-764-B,89-822-B,103-2758-B
slimak	11-703-B,26-1233-B,123-2549-B,148-260-B
slina	115-2956-B,126-334-B,126-404-B
slipy	123-655-B
sliski	61-1067-B,123-166-B,123-739-B,123-756-B,123-805-B
sliwka	100-2633-B
slizgac sie	59-1790-B,122-1578-B,123-195-B,123-666-B
slizgowy	59-1754-S
slogan	22-151-B,22-187-B,64-1617-B,87-38-B,96-928-B,98-3776-B,120-1490-B,123-850-B,145-2853-B
slub	82-3144-B,146-936-B
slusarz	80-1066-B
sluza	80-987-B,123-1339-B
smaczny	94-2960-B,116-2351-B,133-1432-B
smak	54-564-B,54-619-B,54-685-B,62-1624-B,94-2998-B,111-673-B,116-2183-S,116-2229-B,116-2252-S,116-2319-B,133-1267-S,133-1330-B
smakowac	133-1341-B
smakowity	37-1157-B,133-1446-B
smakołyk	135-3204-B,135-3221-B,136-1626-B
smalec	51-2219-B,61-1003-B,77-520-B
smar	61-1017-B,81-363-B,81-373-B,81-488-B
smarowac	35-2276-B,61-1029-B,81-423-B,91-2610-B,123-1883-B
smarowanie	81-465-B
smażyc	57-516-B
smiac sie	77-1410-B
smiałosc	11-362-B,16-2165-B,35-1726-B,63-2357-B,100-2485-B,133-3209-B
smiały	11-304-B,16-2046-B,17-2534-B,32-2425-B,35-1746-B,61-2225-B,63-2675-B,84-2631-B,112-2018-B,114-556-B,126-2251-B,143-2576-B
smiech	77-1429-B,77-1461-B,77-1478-B
smieci	44-196-S
smiecie	58-288-B,110-1697-B,115-16-B,138-1339-B
smierc	35-3149-B,46-1720-B
smiercionosny	78-1990-B
smierdzacy	52-2120-B,54-2775-B,56-300-B,56-342-B,82-566-B,123-2068-B,128-1592-B
smierdziec	110-528-B,123-2032-B,128-1573-B
smiertelnie	35-2738-B
smiertelnosc	35-3189-B,86-2997-B
smiertelny	35-2758-B,78-2013-B,86-2978-B
smieszny	57-1440-B,113-2289-B
smietana	33-1080-B
smietanka	33-1096-B
smietankowy	33-1113-B
smigło	5-613-B,105-607-B
smigłowiec	24-1579-B,64-3196-B,146-2628-B
smoczek	43-2593-B,89-1444-B,94-1570-B,133-2341-B
smok	42-2851-B,76-1239-B
smoking	39-2853-B,139-2697-B,139-2709-B
smoła	74-3143-S,85-1500-B,85-2001-B,99-2271-B,133-1075-B
smrod	52-2171-B,52-2212-B,91-1483-B,101-1960-B,110-516-B,123-1980-B,128-153-B
smuga	12-2804-B,129-1170-B
smukły	123-0-B,123-278-B,123-448-B
smutek	42-731-B,61-1854-B,84-355-B,87-495-B,115-2109-B,124-2905-B,141-1289-B
smutny	16-928-B,41-30-B,84-373-B,87-460-B,96-1656-B,115-2007-B,124-2947-B,147-2336-B
smycz	78-212-B
smyczek	17-1385-B
snajper	123-2850-B
sniadanie	18-317-S,18-345-B
sniady	132-748-B
snic	43-380-B
snieg	123-3025-B
snieżnobiały	123-3037-B
snob	123-2896-B
sobie	31-2742-S,38-1581-S,65-1066-B,65-2291-B,68-1434-S,92-168-B,134-3179-B,148-2349-B,148-2398-B
sobkostwo	45-816-B,45-907-B,118-2680-B
sobota	1-717-B,116-1597-B
sobowtor	42-1557-B,42-1785-B,80-1998-B
socjalista	124-390-B
socjalistyczny	124-411-B
socjalizm	124-370-B
socjalny	124-318-B
socjologia	124-537-B
soczewica	78-1664-B,78-1693-B
soczewka	78-1679-B,78-1710-B,90-2343-B
soczysty	75-1439-B,84-514-B,116-1009-B,130-2523-B
sod	124-658-B
soda	124-612-B
sofa	32-1298-B,35-2324-B,41-3481-B,80-2909-B,119-1834-B,124-682-B
sojusz	5-2278-B
sojusznik	5-2925-B
sok	75-1429-B,122-768-B,132-2636-B
sokoł	50-3584-B,64-616-B
sol	115-3061-B
sola	124-1089-B
solanka	18-1543-B
solic	115-3037-B
solidarnosc	124-1448-B
solidnosc	124-1473-B,125-209-B
solidny	124-1394-B,125-75-B,127-3011-B
solista	124-1574-B
solniczka	115-3083-B
solony	115-3049-B,116-0-B
sonda	104-620-B
sopel	67-2858-B
sopran	124-2740-B
sortowac	124-3057-B
sos	43-658-B,61-884-B,116-1632-B
sosna	99-1752-B
sowa	94-1194-B
spac	122-3037-B
spacer	97-1691-B,116-1799-B,129-2638-B,145-1054-B
spacerowac	129-2652-B,145-1066-B
spadac	36-1442-B,38-663-B,39-2579-B,43-1428-B,43-1483-B,51-28-B,59-2984-B,122-599-B
spadek	14-2668-B,36-1458-B,36-1995-B,36-2122-B,38-758-B,39-2982-B,42-2444-B,42-2499-B,43-1441-B,51-41-B,64-3144-B,65-811-B,71-2832-B,78-867-B,110-317-B,110-2367-B
spadkobierca	64-3126-B,78-1126-B
spadochron	95-958-B
spadochroniarz	95-979-B,122-2134-B
spajac	75-417-B
spalony	19-1573-B,91-2490-B
sparaliżowac	95-1315-B,95-1383-B
sparaliżowany	95-1358-B
spartaczyc	17-697-B
spawac	146-1455-B
spawacz	146-1483-B
spazm	31-2212-B,33-418-B,125-1396-B
specjalista	125-1724-B
specjalizacja	125-1772-B
specjalnie	125-1801-B
specjalnosc	125-1747-B
specjalny	48-119-B,95-3121-B,125-1667-B
specyficzny	97-73-B,125-1952-B,141-1953-B
specyfikacja	125-1992-B
specyfikowac	125-2053-B
spedycja	120-2012-B,120-2083-B
spedytor	56-109-B,120-2048-B
spedzac	125-2891-B
spedzic	125-2907-B
spektakl	125-2188-B
spektrometr	125-2355-B
spekulacja	125-2423-B
spekulant	104-2509-B
spekulowac	104-2529-B,125-2401-B
spełnic	21-2073-B,28-2126-B,40-1503-B,53-337-B,57-680-B,57-713-B,68-1530-B,84-76-B,97-2721-B,116-1505-B
spełnienie	28-1949-B,97-2832-B
spiacy	9-2521-B,42-1542-B,42-2627-B,43-1611-B,122-3166-B,123-1439-B,124-2333-B
spiczasty	101-587-B,120-518-B
spierac sie	41-1373-B
spiew	124-2405-B
spiewac	122-289-B
spiewaczka	124-2435-B
spiewak	12-2963-B,122-304-B,124-2417-B,144-2772-B
