sentenced	118-3649-B
shady	119-2794-B,119-2809-B
shaft	119-2825-B,119-2838-B,119-2852-B,119-2863-B,119-2875-B
shake	119-2886-B,119-2899-B,119-2913-B,119-2931-B,119-2947-B
shakily	119-2968-B
shakiness	119-2986-B
shaky	119-3009-B,119-3024-B,119-3039-B
shallow	119-3054-B
sham	119-3070-B,119-3088-B,119-3104-B,119-3118-B,119-3131-B
shambolic	119-3144-B
shame	119-3165-B,119-3178-B,119-3190-B
shameful	119-3208-B,119-3226-B
shameless	119-3248-B,119-3268-B
shamelessness	119-3289-B
shampoo	120-0-B
shamrock	120-16-B
shank	120-35-B,120-46-B
shanty	120-60-B,120-73-B,120-85-B,120-98-B
shape	120-114-B,120-126-B,120-142-B,120-157-B,120-181-B,120-195-B,120-212-B
shapeless	120-229-B
shaping	120-253-B
share	120-276-B,120-288-B,120-303-B,120-323-B
shareholder	120-337-B
shark	120-362-B,120-375-B
sharp	120-387-B,120-400-B,120-413-B,120-427-B,120-446-B,120-461-B,120-473-B,120-485-B,120-500-B,120-518-B,120-534-B
sharpen	120-547-B
sharper	120-564-B,120-579-B
sharply	120-594-B,120-608-B
sharpness	120-622-B
shatter	120-642-B,120-658-B
shave	120-679-B
shaven	120-692-B
she	120-707-B,120-715-B
she goat	120-723-B
sheaf	120-737-B,120-751-B
shear	120-765-B
shed	120-778-B,120-790-B,120-804-B,120-818-B
sheen	120-831-B,120-843-B
sheep	120-857-B
sheepish	120-868-B,120-888-B
sheepishness	120-909-B
sheer	120-937-B,120-952-B,120-970-B,120-987-B,120-1000-B,120-1012-B,120-1031-B,120-1044-B,120-1060-B
sheet	120-1075-B,120-1088-B,120-1101-B,120-1114-B,120-1136-B
shelf	120-1150-B
shell	120-1164-B,120-1179-B,120-1192-B,120-1211-B,120-1226-B,120-1240-B
shellfish	120-1255-B,120-1274-B
shelter	120-1294-B,120-1310-B,120-1326-B,120-1340-B,120-1358-B,120-1373-B
shelves	120-1393-B
shepherd	120-1409-B,120-1426-B
sheriff	120-1443-B
sherry	120-1458-B
shibboleth	120-1472-B,120-1490-B
shield	120-1508-B,120-1521-B,120-1539-B,120-1557-B,120-1575-B,120-1590-B
shift	120-1604-B,120-1622-B,120-1642-B,120-1660-B,120-1677-B,120-1692-B,120-1706-B
shiftless	120-1719-B
shilling	120-1736-B
shillyshally	120-1753-B,120-1782-B,120-1803-B
shindy	120-1828-B,120-1842-B
shine	120-1856-B,120-1868-B,120-1886-B,120-1900-B
shingle	120-1916-B
shining	120-1929-B,120-1950-B
shiny	120-1969-B
ship	120-1988-B,120-2000-B
shipment	120-2012-B,120-2030-B
shipper	120-2048-B
shipping	120-2065-B,120-2083-B,120-2101-B,120-2119-B
shipyard	120-2137-B
shire	120-2155-B
shirt	120-2170-B,120-2183-B
shithead	120-2197-B
shiver	120-2213-B,120-2228-B,120-2242-B,120-2257-B,120-2273-B
shoal	120-2295-B,120-2310-B,120-2326-B
shock	120-2338-B,120-2355-B,120-2366-B,120-2381-B
shocking	120-2399-B,120-2420-B
shoe	120-2442-B,120-2453-B
shoelace	120-2462-B
shoemaker	120-2484-B
shoestring	120-2500-B
shoot	120-2524-B,120-2540-B,120-2554-B,120-2572-B,120-2588-B,120-2599-B,120-2615-B
shoot dead	120-2631-B
shooting	120-2654-B
shootout	120-2675-B
shop	120-2696-B,120-2709-B,120-2724-B,120-2735-B
shopkeeper	120-2749-B,120-2771-B,120-2789-B
shoplift	120-2811-B
shoplifter	120-2828-B
shopper	120-2849-B,120-2864-B,120-2882-B
shoppers	120-2898-B
shopping	120-2917-B
shore	120-2933-B,120-2945-B,120-2956-B,120-2973-B
short	120-2989-B,120-3002-B,120-3016-B,120-3033-B,120-3045-B,120-3057-B
short lived	120-3073-B
short sighted	120-3100-B
shortage	120-3130-B,120-3144-B,120-3161-B,120-3180-B,120-3201-B
shortcoming	120-3215-B,121-0-B,121-24-B,121-42-B
shortcut	121-59-B
shorten	121-75-B,121-93-B
shortfall	121-113-B
shorthand	121-131-B
shortly	121-153-B,121-170-B,121-187-B
shortsighted	121-205-B
shortsightedness	121-234-B
shot	121-271-B,121-283-B,121-293-B,121-304-B,121-316-B,121-329-B,121-343-B,121-358-B,121-372-B,121-386-B
shoulder	121-397-B
shout	121-413-B,121-429-B,121-441-B,121-458-B,121-472-B,121-486-B,121-499-B
shouting	121-517-B,121-532-B
shove	121-548-B,121-561-B
shovel	121-578-B,121-593-B
show	121-607-B,121-622-B,121-635-B,121-646-B,121-660-B,121-676-B,121-696-B,121-707-B,121-722-B,121-735-B
shower	121-750-B,121-772-B,121-788-B
showery	121-812-B,121-830-B
showy	121-849-B
shrewd	121-864-B,121-878-B,121-892-B,121-905-B
shriek	121-920-B,121-937-B,121-950-B,121-964-B
shrill	121-983-B,121-1000-B,121-1013-B
shrilly	121-1032-B
shrimp	121-1046-B
shrink	121-1062-B,121-1081-B,121-1102-B,121-1120-B
shrinkage	121-1139-B
shrivel	121-1164-B
shroud	121-1188-B,121-1202-B
shrub	121-1217-B,121-1229-B
shrunken	121-1241-B
shuck	121-1260-B,121-1274-B,121-1287-B
shudder	121-1302-B,121-1318-B,121-1334-B
shun	121-1357-B
shut	121-1370-B,121-1385-B
shut down	121-1399-B,121-1419-B
shutdown	121-1438-B
shutter	121-1459-B
shy	121-1477-B,121-1492-B,121-1508-B
shyness	121-1523-B,121-1546-B
sicily	121-1570-B
sick	13-2193-S,51-173-S,121-1585-B
sickening	121-1596-B
sickle	121-1617-B
sickness	121-1630-B
side	121-1647-B,121-1656-B,121-1668-B,121-1688-B
sideboard	121-1700-B
sided	42-1852-S,82-2284-S,92-51-S,92-74-S,140-150-S
sidekick	121-1718-B,121-1734-B
sidetrack	121-1751-B
sidewalk	121-1772-B,121-1789-B
siding	121-1806-B
sidle	121-1824-B
siege	121-1839-B,121-1854-B
sieve	121-1872-B,121-1888-B
sift	121-1899-B
sifter	121-1916-B
sigh	121-1929-B,121-1947-B
sight	121-1962-B,121-1979-B,121-1993-B,121-2005-B
sighted	80-1671-S,88-1420-S,120-3100-S
sightless	121-2017-B
sightseeing	121-2034-B
sightseer	121-2057-B,121-2075-B
sign	121-2098-B,121-2114-B,121-2125-B,121-2140-B,121-2157-B,121-2170-B,121-2182-B,121-2193-B,121-2206-B,121-2216-B,121-2232-B,121-2242-B
signal	121-2253-B,121-2274-B,121-2289-B
signature	121-2301-B
signboard	121-2318-B,121-2334-B
significance	121-2354-B,121-2372-B
significant	121-2395-B,121-2417-B,121-2436-B,121-2456-B
signification	121-2478-B
signify	121-2503-B,121-2521-B
signor	121-2540-B
signora	121-2551-B
signore	121-2564-B
signorina	121-2576-B
signpost	121-2592-B
silence	121-2612-B
silencer	121-2626-B
silent	13-2213-S,121-2643-B,121-2656-B,121-2673-B
silently	121-2689-B,121-2704-B
silhouette	121-2723-B
silk	121-2743-B,121-2755-B
silken	121-2769-B,121-2787-B
silky	121-2803-B
silly	121-2818-B
silo	121-2831-B
silt	121-2842-B,121-2851-B
silver	121-2861-B,121-2876-B
silvery	121-2890-B
similar	121-2906-B
similarity	121-2922-B
similarly	121-2947-B,121-2966-B
similitude	121-2984-B
simper	121-3009-B,121-3025-B
simple	121-3049-B,121-3063-B,121-3079-B,121-3093-B,121-3107-B,121-3125-B,121-3139-B
simplicity	121-3154-B,121-3174-B
simplify	121-3196-B
simply	121-3216-B,121-3233-B
simulate	121-3247-B,122-0-B
simulation	122-17-B
simultaneous	122-38-B
sin	122-64-B,122-75-B
since	122-89-B,122-98-B,122-118-B,122-131-B
sincere	122-147-B,122-165-B,122-181-B
sincerely	122-197-B,122-216-B
sincerity	122-235-B
sinew	122-257-B
sinful	122-273-B
sing	122-289-B
singer	122-304-B
single	122-320-B,122-334-B,122-352-B
single out	122-365-B
single track	122-386-B
singular	122-411-B,122-430-B,122-446-B,122-473-B,122-495-B
singularity	122-515-B
singularly	122-540-B
sinister	122-561-B,122-577-B
sink	122-599-B,122-612-B,122-626-B,122-641-B,122-655-B
sinner	122-665-B
sinuous	122-682-B
sip	122-697-B
siphon	122-706-B
sir	122-719-B
sire	122-727-B,122-739-B
siren	122-755-B
sirup	122-768-B
sister	122-778-B
sister in law	122-793-B,122-815-B
sisterly	122-840-B
sit	122-860-B
site	122-874-B,122-888-B,122-901-B,122-918-B
sitting	122-929-B,122-949-B
situated	122-963-B,122-983-B
situation	122-1002-B,122-1020-B,122-1037-B,122-1055-B,122-1077-B,122-1092-B,122-1113-B
six	122-1132-B,122-1144-B
sixteen	122-1157-B
sixth	122-1177-B
sixty	122-1200-B
sizable	122-1223-B
size	122-1239-B,122-1251-B,122-1261-B,122-1274-B,122-1290-B
size up	122-1302-B,122-1318-B
sizeable	122-1337-B
skate	122-1354-B
skater	122-1368-B
skates	122-1386-B
skeleton	122-1401-B,122-1415-B
skelter	65-208-S
skeptic	122-1433-B
skeptical	122-1452-B
sketch	122-1473-B,122-1486-B,122-1499-B
skew	122-1517-B
ski	122-1530-B
skid	122-1540-B,122-1554-B,122-1578-B
skier	122-1598-B
skilful	122-1613-B,122-1629-B
skill	122-1646-B,122-1659-B,122-1672-B,122-1685-B
skilled	122-1704-B,122-1728-B
skillful	122-1745-B,122-1762-B
skin	122-1780-B,122-1791-B,122-1804-B,122-1816-B,122-1829-B,122-1842-B
skinflint	122-1854-B,122-1874-B,122-1890-B,122-1907-B
skinned	135-748-S,135-768-S
skinny	122-1926-B
skip	122-1944-B,122-1959-B,122-1974-B,122-1993-B
skipper	122-2006-B
skirmish	122-2022-B
skirt	122-2040-B
skittish	122-2056-B,122-2077-B
skull	122-2097-B
skunk	122-2111-B
sky	122-2124-B
skydiver	122-2134-B
skyjack	122-2158-B
skylark	122-2174-B
skyscraper	122-2192-B
slab	122-2217-B
slack	122-2229-B,122-2242-B,122-2252-B,122-2265-B
slacken	122-2281-B,122-2301-B,122-2321-B
slacks	122-2338-B
slake	122-2353-B
slalom	122-2366-B
slam	122-2380-B,122-2392-B
slammer	122-2408-B,122-2422-B,122-2440-B
slander	122-2459-B,122-2477-B,122-2492-B,122-2507-B,122-2527-B
slang	122-2550-B,122-2562-B
slant	122-2576-B,122-2595-B,122-2606-B,122-2625-B
slanted	122-2636-B
slanting	122-2653-B
slap	122-2670-B
slapdash	122-2684-B
slash	122-2703-B
slate	122-2719-B
slaughter	122-2732-B,122-2750-B,122-2772-B,122-2788-B
slaughterhouse	122-2808-B
slav	122-2832-B
slave	122-2848-B
slavery	122-2864-B
slavic	1-769-B
slavonic	1-789-B,122-2885-B
slay	122-2907-B
slayer	122-2919-B,122-2935-B
sled	122-2951-B,122-2962-B
sledge	122-2973-B,122-2986-B
sleek	122-2999-B
sleep	122-3013-B,122-3027-B,122-3037-B
sleep in	122-3049-B
sleepiness	122-3066-B
sleepless	122-3087-B
sleeplessness	122-3106-B
sleepwalker	122-3133-B
sleepy	122-3153-B,122-3166-B
sleeve	122-3182-B
sleigh	122-3196-B,122-3209-B
sleight	122-3222-B
slender	122-3237-B,122-3251-B,123-0-B,123-16-B,123-34-B
sleuth	123-52-B
slice	123-68-B,123-83-B,123-97-B,123-110-B,123-123-B,123-139-B
slick	123-152-B,123-166-B
slide	123-180-B,123-195-B
slight	123-216-B,123-230-B,123-243-B,123-260-B,123-278-B,123-293-B
slightly	123-310-B,123-325-B,123-340-B,123-355-B,123-376-B,123-393-B
slim	123-409-B,123-420-B,123-432-B,123-448-B,123-461-B,123-476-B
slim down	123-491-B
slime	123-512-B
sling	123-524-B,123-538-B,123-550-B,123-564-B
slip	123-578-B,123-590-B,123-604-B,123-618-B,123-632-B,123-655-B,123-666-B
slipover	123-686-B
slipper	123-703-B
slippery	123-720-B,123-739-B
slippy	123-756-B
slipshod	123-771-B
slit	123-790-B
slithery	123-805-B
slob	123-822-B
slogan	123-836-B,123-850-B
slope	123-864-B,123-881-B,123-900-B,123-919-B
sloping	123-930-B,123-947-B,123-964-B
sloshed	123-980-B
slot	123-995-B
sloth	123-1010-B,123-1025-B
slothful	123-1046-B
slothfulness	123-1062-B,123-1084-B
slough	123-1112-B,123-1125-B
slovenly	123-1139-B
slow	123-1158-B,123-1170-B,123-1182-B,123-1195-B
slow down	123-1209-B
slowly	123-1228-B
sludge	123-1242-B
sluggard	123-1254-B,123-1271-B
sluggish	123-1285-B,123-1301-B
sluggishness	123-1318-B
sluice	123-1339-B
slumber	123-1353-B,123-1370-B,123-1386-B,123-1398-B
slumbrous	123-1423-B,123-1439-B
slump	123-1458-B
slur	123-1472-B
slurred	123-1484-B
sly	123-1504-B,123-1515-B
small	123-1531-B,123-1544-B,123-1562-B,123-1574-B
smaller	82-165-S
smallpox	123-1590-B
smart	123-1604-B,123-1617-B,123-1633-B,123-1645-B,123-1658-B,123-1674-B,123-1688-B
smartness	123-1702-B
smash	123-1722-B,123-1739-B,123-1753-B,123-1767-B,123-1786-B
smash up	123-1802-B
smashed	123-1819-B
smashing	123-1834-B
smear	123-1854-B,123-1867-B,123-1883-B
smell	123-1899-B,123-1912-B,123-1928-B,123-1940-B,123-1952-B,123-1964-B,123-1980-B,123-1993-B,123-2007-B,123-2019-B,123-2032-B
smelling	56-318-S,56-342-S
smelly	123-2051-B,123-2068-B
smelt	123-2088-B
smile	123-2101-B,123-2116-B
smirch	123-2139-B
smite	123-2156-B
smith	123-2167-B
smoke	123-2179-B,123-2189-B,123-2202-B,123-2216-B
smoke dried	123-2231-B
smoker	123-2252-B
smokestack	123-2266-B
smoky	123-2283-B
smolder	123-2299-B
smooth	123-2318-B,123-2333-B,123-2347-B,123-2363-B
smoothly	123-2382-B,123-2399-B
smoulder	123-2418-B
smug	123-2438-B
smuggle	123-2453-B
smuggler	123-2472-B
smut	123-2492-B
snack	123-2503-B
snag	123-2520-B,123-2533-B
snail	123-2549-B
snake	123-2563-B
snap	123-2575-B,123-2587-B,123-2601-B
snappy	123-2615-B,123-2631-B
snapshot	123-2649-B
snarl	123-2667-B,123-2683-B
snatch	123-2698-B,123-2714-B
sneak	123-2730-B
sneer	123-2745-B,123-2757-B,123-2782-B
sneeze	123-2797-B
sniff	123-2812-B,123-2835-B
sniper	123-2850-B
snitch	123-2865-B,123-2880-B
snob	123-2896-B
snooker	123-2906-B
snooty	123-2921-B
snooze	123-2938-B
snore	123-2954-B,123-2970-B
snotty	123-2985-B,123-3002-B
snow	123-3015-B,123-3025-B
snow white	123-3037-B
snowy	123-3064-B
snuff	123-3083-B
snug	123-3096-B,123-3111-B
so	124-0-B,124-11-B,124-24-B,124-31-B,124-41-B,124-50-B
so far	124-59-B
so much	124-73-B
so that	124-86-B
soak	124-100-B,124-115-B
soaked	124-126-B
soap	124-145-B
soar	124-160-B,124-175-B,124-193-B
sob	124-212-B
sober	124-226-B,124-241-B
sobriquet	124-256-B
soccer	124-277-B
sociable	124-298-B
social	124-318-B,124-334-B,124-352-B
socialism	124-370-B
socialist	124-390-B,124-411-B
society	124-436-B,124-460-B,124-477-B,124-500-B,124-520-B
sociology	124-537-B
sock	124-558-B,124-568-B
socket	124-583-B
socle	124-598-B
soda	124-612-B
sodality	124-622-B
sodden	124-639-B
sodium	124-658-B
