coreano	1-1562-B
cosmetico	41-2761-B
cosmico	41-2780-B
cosmo	41-2913-B
cosmogonia	41-2795-B
cosmografia	41-2816-B
cosmologia	41-2840-B
cosmonauta	14-2869-B,41-2861-B,177-2063-B
cosmonautica	14-2943-B
cosmopolitismo	41-2882-B
cosmotrone	41-2926-B
cospargere	20-2390-B,20-2453-B,179-2577-B
cospetto	171-1456-B,208-1690-B
cospicuo	58-689-B,143-1405-B
cospiratore	39-387-B,137-190-B
cospirazione	39-340-B,137-56-B
costa	33-1525-B,157-3380-B,158-437-B,165-147-B,165-903-B,170-812-B
costale	41-3046-B
costantana	39-584-B
costante	2-466-B,39-529-B,181-2905-B,181-3030-B
costanza	39-450-B,181-2956-B
costare	41-2999-B
coste	41-441-S
costei	194-473-B
costellazione	39-606-B
costernare	39-634-B
costernazione	39-657-B,51-4113-B
costiera	165-162-B
costiero	33-1566-B,93-1854-B
costipare	39-685-B
costipazione	39-706-B
costituente	39-757-B
costituire	39-781-B,72-2314-B
costitutore	73-572-B
costituzionale	39-936-B
costituzione	36-1716-B,39-887-B,61-2447-B,73-443-B
costo	41-3012-B,64-2257-B,141-2332-B,142-635-B
costola	157-3390-B
costoletta	31-214-B,44-2826-B
costolone	157-3402-B
costoro	194-870-B
costoso	41-3073-B,64-2365-B,141-2539-B,157-3610-B
costretto	39-1026-B,72-333-B
costringere	28-2481-B,33-2663-B,35-3507-B,39-966-B,54-2356-B,72-241-B,89-2127-B,108-3457-B,123-227-B
costrittivo	36-2528-B
costrizione	36-2483-B,39-1091-B,55-1478-B,72-259-B,141-902-B
costruire	25-498-B,39-1366-B,59-1689-B,66-32-B,108-3474-B,110-232-B
costruttivo	39-1511-B
costruttore	25-561-B,39-1536-B
costruttore navale	169-2730-B
costruzione	25-581-B,39-1406-B,56-1541-B,66-91-B,185-404-B
costruzioni navali	169-2788-B
costui	194-485-B
costumanza	81-1649-B,81-1884-B
costume	41-3116-B,44-2423-B,109-3319-B
costura	165-428-B
cotangente	41-3221-B
cote	79-3395-B,212-2501-B
cotesto	193-831-B
cotogna	147-2081-B
cotogno	147-2096-B
cotone	41-3341-B
cotonoso	41-3395-B
cotta	17-1373-B,92-1308-B
cotta di maglia	83-2352-B
cotto	22-2395-B
cottura	17-1386-B,25-2037-B,40-3285-B,69-2616-B
coulomb	41-3513-B
covata	42-2541-B
covone	169-384-B
coyote	42-2834-B
cozzare	99-1557-B,148-3197-B,184-2756-B
cozzo	89-1337-B
cracking	42-3133-B
crampo	43-0-B
cranico	43-53-B
cranio	173-880-B
crapulone	157-913-B
cratere	43-211-B
crauti	163-326-B
cravatta	119-2458-B,195-716-B
crawl	43-295-B
creare	11-2254-B,43-585-B
creativo	43-618-B
creatore	16-152-B,43-636-B,73-1723-B,109-247-B,126-740-B
creatura	20-470-B,43-669-B
creazione	43-599-B
credenza	171-978-B
credere	20-693-B,61-2753-B,69-703-B,81-391-S,151-91-B,155-2072-B,188-607-B,188-3249-B,193-3064-B,212-211-B
credibile	20-672-B,43-737-B
credito	20-630-B,43-703-B,43-779-B,102-3323-S,105-1698-B,199-3011-B
creditore	43-819-B
credulo	43-838-B,81-374-B
crema	43-469-B
cremare	43-891-B
crematorio	43-931-B
creolo	1-639-B
crepa	30-2769-B,43-1160-B,70-60-B,70-2024-B,101-2773-B,179-302-B
crepaccio	32-1361-B
crepacuore	84-1603-B,84-1642-B
crepare	25-2242-B,42-2915-B
crepitare	42-3151-B
crepitio	179-3328-B
crepito	43-990-B
crepuscolo	77-1097-B,200-2491-B
crescente	80-1581-B,91-1030-B,158-2503-B
crescere	15-3035-B,80-1472-B,84-2794-B,91-935-B
crescione	119-465-B
crescita	80-1712-B,91-953-B
cresima	37-3181-B
cresimare	37-3076-B
crespa	145-608-B,215-2801-B
crespino	18-884-B
crespo	43-977-B
cresta	34-3070-B,43-1043-B,158-449-B
crestato	43-1087-B
creta	29-2209-B,32-441-B
cretaceo	43-1125-B
cretino	43-1145-B,71-2764-B,139-3304-B,200-2917-B
cricca	26-392-B,32-2492-B,41-3260-B
cricco	96-1411-B
criceto	82-417-B
criminale	43-1320-B,68-1489-B,115-1610-B,126-3108-B
crimine	43-1249-B,109-614-B,114-2895-B
criminologo	43-1439-B
criminoso	43-1339-B
crinale	158-462-B
crine	87-266-B
criniera	109-2321-B
crinolina	43-1511-B
criolite	44-29-B
crioscopia	44-47-B
cripta	44-68-B,202-828-B,207-1142-B
cripto	99-2394-B
crisalide	31-816-B,145-2542-B
crisi	43-1618-B,48-1391-B,84-127-B,174-2481-B
crisolito	31-836-B
cristalleria	77-536-B
cristallino	44-107-B,44-145-B,102-2391-B
cristallizzare	44-203-B
cristallizzazione	44-169-B
cristallo	44-127-B
cristallo di rocca	131-1083-B
cristallografia	44-230-B
cristianesimo	1-612-B
cristiano	1-592-B,31-519-B
criterio	43-1647-B,163-1478-B,181-475-B,216-606-B
criticare	43-1698-B
critico	43-1666-B,43-1681-B,157-1742-B
crittografia	44-81-B
crivellare	158-161-B
crivello	158-179-B,171-1230-B
croato	1-653-B
croccante	43-1631-B
crocchio	80-1303-B
croce	43-1942-B,159-1801-B
crocicchio	43-2275-B
crocifissione	43-2650-B
crocifisso	43-2630-B,159-1812-B
croco	43-1775-B
crogiolo	43-2612-B
crollare	34-1011-B,66-2569-B
crollo	24-497-B,34-1029-B,43-157-B,170-89-B
croma	57-126-B
cromare	31-633-B
cromatico	31-539-B
cromatografia	31-559-B
cromite	31-601-B
cromo	31-588-B,31-618-B
cromosoma	31-656-B
cronaca	154-3733-B
cronico	31-677-B,95-2022-B
cronista	155-96-B
cronologia	31-771-B
cronologico	31-721-B,31-745-B
cronometrista	195-1644-B
cronometro	31-793-B,183-1752-B,195-1722-B
crosta	43-3192-B,163-1140-B,169-1134-B,173-321-B
crostaceo	43-3221-B,169-1207-B
crostata	134-2732-B,191-846-B
crostino	196-258-B
crotalo	149-2636-B
cruccio	79-2617-B,208-819-B,215-1208-B
cruciale	43-2558-B
cruciforme	43-2592-B,43-2676-B
cruciverba	43-2325-B
crudele	43-2746-B,69-175-B,82-3039-B,83-65-B,112-2895-B,135-2414-B,161-1770-B,163-412-B
crudo	83-1456-B,149-3120-B,181-1267-B
cruento	78-290-B
crumiraggio	184-2876-B
crumiro	184-2904-B
crusca	23-2761-B,138-793-B
cruscotto	45-1573-B
cubano	1-669-B
cubico	44-331-B,44-344-B
cubismo	44-375-B
cubistico	44-390-B
cubo	22-467-B,44-278-B,44-320-B,49-3114-B,49-3464-B
cuccagna	2-3450-B
cuccetta	20-2112-B,41-3440-B,173-2656-B
cucchiaia	164-1064-B,179-1065-B
cucchiaio	179-1081-B
cucchiaione	100-453-B,164-1080-B
cuccuma	98-2450-B
cucina	40-3219-B,99-791-B
cucinare	40-3170-B
cucinino	99-806-B
cucire	168-299-B,183-355-B
cucito	119-2931-B,168-416-B
cucitrice	119-2909-B,165-510-B,181-928-B,183-399-B
cucitura	165-441-B,168-430-B,183-418-B
cuculo	78-677-B
cucurbita	44-492-B
cuffia	27-864-B,28-704-B,34-71-B,84-752-B,86-2440-B
cugina	42-2040-B
cugino	42-2054-B
cui	212-2429-S
culla	42-3213-B,43-1223-B
cullare	42-3226-B,159-561-B
culminare	32-2098-B,44-638-B
culminazione	44-677-B
culmine	3-4090-B,10-3592-B,44-702-B,131-783-B,135-1101-B,196-1817-B,208-140-B,216-2433-B
culo	13-3234-B
culto	44-768-B,215-1425-B
cultura	15-1048-B,44-1009-B,56-1911-B
culturale	44-956-B
cumino	44-1149-B
cumulare	3-2622-B
cumulazione	3-2746-B
cumulo	44-1162-B,84-1368-B,134-3636-B
cuna	42-3241-B
cuneiforme	44-1177-B,211-3263-B
cuneo	32-1188-B,211-3201-B
cunetta	81-1091-B,98-2139-B
cuoca	40-3184-B
cuocere	17-1226-B,22-2350-B,25-1880-B,40-3195-B
cuoco	40-3208-B
cuoio	85-1962-B,102-488-B,173-333-B
cuore	41-511-B,84-1557-B,195-414-B
cuoriforme	41-390-B
cupidigia	16-1892-B,42-2518-B,44-1340-B,79-1537-B,107-2920-B
cupido	16-1880-B,44-1327-B,79-1571-B,107-3044-B
cupo	45-1326-B,46-2885-B,54-1616-B,77-1362-B,176-2497-B,185-2247-B
cupola	44-1359-B,53-2234-B
cuprite	44-1373-B
cura	10-2759-B,27-2474-B,44-1487-B,50-1124-B,84-2515-B,98-2040-B,162-2557-S,176-1728-B,185-1156-B,198-2846-B
curabile	198-2772-B
curare	44-1497-B,112-121-B,122-1757-B,198-2744-B
curaro	44-1403-B
curarsi di	114-618-B
curatore	44-1417-B,56-1690-B
curculione	212-306-B
curiale	44-1614-B
curioso	44-1629-B,93-1170-B,131-1286-B,184-547-B
curricolo	44-1856-B
cursore	174-270-B
curva	20-1297-B,23-1907-B,41-853-B,43-1788-B,44-2161-B,57-461-B,200-1524-B,213-2872-B
curvare	20-1308-B,44-2173-B
curvarsi	23-1917-B
curvatura	20-1321-B,44-2141-B,44-2187-B,44-2239-B,70-2732-B,70-2750-B
curvilineo	44-2216-B
curvo	20-1472-B,20-1884-B,44-2203-B
cuscinetto	19-1420-B,128-773-B
cuscino	44-2275-B,83-1855-B,135-418-B
cuspidato	178-3164-B
cuspide	195-2463-B
custode	15-1304-B,27-2971-B,80-2473-B,80-2747-B,98-1951-B,187-2384-B,210-1703-B
custodia	28-718-B,98-2053-B
custodire	80-2487-B,98-1796-B,211-285-B
cutaneo	44-2773-B
cute	173-344-B
cutrettola	210-56-B
d	45-31-B
d acciaio	182-254-B
d acqua	184-1241-S,211-788-S,211-1047-S,211-1230-S
d affari	25-2645-S
d altronde	20-2256-B
d ammissione	60-1283-S
d animo	73-1677-S,87-2089-S,116-2117-S,207-1576-S
d aria	7-713-S,93-458-S,207-2233-S
d arresto	31-0-S
d artificio	146-2296-S
d attrazione	145-1228-S
d autore	16-207-B
d aviazione	7-444-S
d azione	149-451-S
d estate	187-1078-B
d evasione	61-1733-B
d occasione	123-2636-B
d onda	211-1457-S,211-1486-S,211-1510-S,211-1533-S
d opera	58-1483-S
d ordine	130-1350-S,211-596-S
d oro	72-3588-S
d uomo	109-2681-S
d uovo	216-1763-S
da	14-3378-B,71-3216-B,74-758-B,124-171-B,124-244-B,126-2141-B,196-213-B
da bagno	19-110-S,19-130-S,19-221-S
da calce	104-677-S,104-703-S
da campo	26-2740-S
da capo	6-1385-B
da carico	73-3218-S
da corsa	147-3225-S,148-54-B
da fuoco	69-2488-S,81-631-S
da lettere	121-2837-S
da letto	19-2338-S,19-2514-S
da masticare	30-2108-S
da morto	33-2907-S
da parati	210-910-S
da parte a parte	194-3064-B
da pesca	69-3162-S
da polso	215-2888-S
da pranzo	50-1762-S
da rimorchio	197-692-S
da seta	171-2890-S
da spiaggia	19-850-B
da stiro	95-2813-S
da tasca	137-1734-S
da tavola	190-652-B,190-748-S
da tavolo	135-964-S
da zucchero	186-3871-S
dabbasso	20-1078-B
dabbene	77-2987-B,158-1167-B
dadaismo	45-102-B
dadi	49-3134-S
dado	49-3124-B,49-3473-B,122-1986-B
dafne	45-1066-B
daga	45-143-B
daino	66-2790-B
dal guscio	83-2135-S
dalia	45-186-B
dalla	74-766-B,124-177-B,124-251-B
dalmata	45-373-B
daltonico	34-2668-B,34-2691-B
dama	45-507-B,100-485-B
damasco	45-492-B
damerino	25-50-B,45-925-B,55-682-B,133-4014-B,196-432-B
damigella	24-1489-B,45-710-B,47-3053-B
damigiana	47-2771-B
danaro	116-613-B,132-178-B
danese	1-693-B
dannare	45-544-B,155-1067-B
dannato	21-2928-B,22-785-B,45-597-B,49-1474-B,77-2437-B,155-1085-B
dannazione	45-576-B,132-1475-B
danneggiare	45-414-B,83-829-B,87-2758-B,89-1393-B,163-2384-B
danno	45-433-B,52-2423-B,83-846-B,106-2379-B
dannoso	49-1409-B,83-899-B,93-69-B,114-2668-B,121-676-B,122-797-B,132-3688-B
danzare	45-786-B
danzatore	45-834-B
dappertutto	62-2581-B,194-3092-B
dappresso	32-3085-B
dapprima	14-3420-B,69-2828-B,69-2926-B
dardo	13-842-B,45-1504-B
dare	11-2172-B,20-2428-B,76-3146-B,101-1850-B,146-1218-B,216-1454-B
dare alloggio a	21-755-B
dare aria a	7-182-B
dare in affitto	102-286-B,154-1904-B
dare una mano	84-3207-B
darsi il caso	82-2397-B
data	45-1641-B
datare	45-1651-B
datazione	45-1728-B
dati	45-1631-B
dativo	45-1745-B
dato	76-3310-B
datore	76-3321-B
datore di lavoro	58-1511-B
dattero	45-1663-B
dattilo	45-77-B
dattilografia	201-119-B
datura	45-1759-B
davanti	6-3387-B
davvero	2-2546-B,4-1444-B,76-1361-B,91-1722-B,150-1012-B,199-2670-B
daziare	191-1680-B
daziario	44-2573-B
daziere	44-2642-B
dazio	55-1640-B,55-1727-S,196-836-B
dea	77-2476-B
deambulare	210-592-B
debellare	38-2532-B,185-2729-B
debilitare	45-2861-B,59-998-B,59-1083-B,211-2074-B
debito	45-2951-B,45-3004-B,55-709-B
debitore	45-3029-B,46-3036-B
