audio frequency	15-2722-B
balcony	17-1815-B,17-1831-B
bald	17-1846-B,17-1857-B,17-1870-B,17-1880-B,17-1892-B,17-1906-B
bald headed	17-1919-B
baldachin	17-1937-B
baldness	17-1959-B
bale	17-1977-B
baleful	17-1988-B,17-2004-B
balk	17-2021-B
ball	17-2035-B,17-2046-B,17-2057-B,17-2068-B,17-2081-B,17-2097-B
ballad	17-2108-B
ballade	17-2123-B
ballast	17-2139-B
ballet	17-2155-B
ballistic	17-2171-B
ballistics	17-2191-B
balloon	17-2212-B,17-2230-B,17-2249-B
balloonist	17-2265-B
ballot	17-2286-B
balls up	17-2303-B
bally	17-2322-B,17-2343-B
balm	17-2359-B
balmy	17-2372-B
balsam	17-2383-B
baluster	17-2398-B
balustrade	17-2417-B
bamboozle	17-2440-B,17-2461-B
ban	17-2483-B,17-2495-B,17-2505-B,17-2519-B,17-2536-B,17-2549-B,17-2565-B,17-2579-B
banal	17-2591-B
banana	17-2604-B
band	17-2618-B,17-2629-B,17-2640-B,17-2653-B,17-2668-B,17-2680-B,17-2692-B
bandage	17-2706-B,17-2720-B,17-2738-B,17-2753-B
bandit	17-2772-B,17-2787-B,17-2803-B
banditry	17-2821-B
bandmaster	17-2841-B
bandwidth	17-2862-B
bane	17-2891-B
baneful	17-2903-B,17-2920-B
bang	17-2939-B,17-2950-B,17-2963-B,17-2974-B,17-2991-B
banger	17-3007-B
banish	17-3022-B,17-3037-B
banishment	17-3053-B,17-3070-B
bank	17-3088-B,17-3100-B,17-3111-B,17-3122-B,17-3136-B,17-3150-B,17-3162-B,17-3173-B,17-3183-B,17-3195-B,17-3209-B,163-700-S
bank account	18-0-B
banker	18-28-B
banking	18-45-B
banknote	18-62-B,18-81-B
bankroll	18-109-B
bankrupt	18-129-B,18-152-B,18-169-B
bankruptcy	18-187-B,18-209-B,18-233-B
banner	18-255-B,18-271-B,18-289-B
banneret	18-305-B
banquet	18-325-B,18-345-B,18-363-B
banqueter	18-379-B
banter	18-402-B,18-419-B,18-438-B
baptism	18-458-B
baptismal	18-476-B
baptist	18-498-B,18-519-B
baptize	18-536-B
bar	18-555-B,18-565-B,18-573-B,18-583-B,18-596-B,18-612-B,18-625-B,18-636-B,18-648-B,18-663-B,18-674-B,18-688-B
barbarian	18-698-B,18-716-B
barbaric	18-734-B,18-753-B
barbarism	18-770-B
barbarity	18-789-B,18-808-B
barbarous	18-830-B
barber	18-848-B,18-864-B
barberry	18-884-B
barbiturate	18-902-B,18-926-B
barcarolle	18-950-B
bard	18-971-B
bare	18-982-B,18-996-B,18-1011-B,18-1021-B,18-1031-B,18-1042-B,18-1052-B,18-1066-B,18-1078-B,18-1092-B,18-1106-B,18-1123-B,18-1136-B,18-1149-B
barefaced	18-1160-B,18-1180-B
barefacedness	18-1200-B,18-1224-B
barefoot	18-1253-B
barely	18-1269-B,18-1288-B
bargain	18-1302-B,18-1318-B,18-1336-B,18-1350-B
bargaining	18-1370-B
baritone	18-1399-B,18-1419-B
barium	18-1437-B
bark	18-1450-B,18-1464-B,18-1476-B,18-1487-B,18-1502-B,18-1515-B,18-1528-B,18-1546-B
barkeeper	18-1558-B
barker	18-1576-B,18-1594-B
barking	18-1611-B
barley	18-1631-B
barman	18-1643-B
barn owl	18-1658-B
barogram	18-1679-B
barograph	18-1699-B
barometer	18-1719-B
barometric	18-1739-B
barometrical	18-1762-B
baron	18-1787-B,18-1800-B
baroness	18-1814-B
baronet	18-1833-B
baronial	18-1851-B,18-1869-B
barony	18-1888-B,18-1906-B
baroque	18-1921-B
barrack	18-1937-B,18-1953-B
barracks	18-1969-B
barrage	18-1986-B,18-1999-B
barrel	18-2019-B,18-2033-B,18-2050-B,18-2067-B,18-2080-B,18-2093-B,18-2106-B,18-2122-B
barren	18-2137-B,18-2150-B,18-2163-B,18-2183-B
barricade	18-2198-B
barrier	18-2218-B,18-2235-B
barring	18-2250-B,18-2266-B,18-2280-B
barrow	18-2295-B,18-2311-B
bars	82-1283-S
barter	18-2325-B
basal	18-2340-B,18-2353-B,18-2368-B
basalt	18-2387-B
basaltic	18-2402-B
bascule	18-2421-B
base	18-2436-B,18-2451-B,18-2461-B,18-2472-B,18-2488-B,18-2505-B,18-2522-B
baseball	18-2535-B
baseless	18-2554-B
basement	18-2573-B,18-2592-B,18-2606-B,18-2626-B,18-2646-B,18-2668-B
baseness	18-2689-B
bash	18-2709-B,18-2722-B
bashful	18-2733-B
basic	18-2751-B,18-2762-B,18-2775-B,18-2790-B,18-2807-B
basil	18-2826-B
basilica	18-2841-B
basilical	18-2859-B
basilisk	18-2880-B
basin	18-2899-B,18-2912-B,18-2928-B,18-2941-B,18-2954-B
basis	18-2966-B,18-2977-B,18-2994-B
basket	18-3010-B,18-3026-B,18-3039-B,18-3054-B,18-3067-B,18-3084-B
basketball	18-3099-B
basque	1-352-B,18-3124-B
bass	18-3137-B
basso	18-3148-B
bassoon	18-3160-B
bassoonist	18-3176-B
bast	18-3198-B
bastard	18-3209-B,18-3226-B,18-3253-B
baste	18-3273-B
bastille	18-3287-B
bastion	18-3305-B,19-0-B
bat	19-17-B
batch	19-33-B,19-46-B,19-58-B
bath	19-72-B,19-86-B,19-97-B,19-110-B
bath tub	19-130-B
bathe	19-154-B,19-168-B,19-187-B
bathtub	19-207-B,19-221-B
bathyscaphe	19-244-B
batiste	19-266-B
batman	19-282-B
baton	19-300-B,19-317-B
battalion	19-335-B
batten	19-357-B
batter	19-369-B,19-384-B
battery	19-401-B,19-422-B,19-439-B,183-2111-S
battle	19-452-B,19-469-B,19-488-B,19-506-B,19-521-B
bavarian	1-365-B
bawl	19-536-B,19-549-B
bay	19-561-B,19-572-B,19-581-B,19-590-B,19-600-B,19-612-B,19-621-B,19-632-B
bayonet	19-644-B
bazaar	19-662-B
be	19-675-B,19-687-B,19-697-B
be able	19-706-B
be ashamed	19-721-B
be born	19-744-B
be enough	19-760-B
be missing	19-778-B
be silent	19-797-B
be suitable	19-814-B
be valid	19-834-B
beach	19-850-B,19-868-B
beacon	19-883-B
bead	19-895-B,19-906-B,19-918-B
beak	19-931-B
beaker	19-942-B
beam	19-956-B,19-968-B,19-983-B,19-999-B,19-1011-B,19-1026-B,19-1037-B
beaming	19-1051-B,19-1072-B,19-1094-B
beamy	19-1112-B
bean	19-1128-B,19-1141-B
bear	19-1151-B,19-1161-B,19-1176-B,19-1189-B,19-1203-B,19-1216-B,19-1232-B
bearable	19-1247-B
beard	19-1269-B
bearded	19-1281-B
beardless	19-1297-B,19-1315-B
bearer	19-1334-B,19-1348-B,19-1366-B
bearing	19-1383-B,19-1400-B,19-1420-B,19-1439-B,19-1455-B,121-988-S,124-1467-S
beast	19-1472-B,19-1486-B
beastly	19-1499-B
beat	19-1516-B,19-1533-B,19-1546-B,19-1559-B,19-1572-B,19-1585-B,19-1596-B,19-1611-B,19-1627-B,19-1642-B,19-1655-B,19-1666-B,19-1680-B,124-269-S
beat up	19-1691-B
beatific	19-1709-B
beatification	19-1724-B
beatify	19-1753-B
beating	19-1773-B,19-1789-B,19-1807-B,19-1821-B
beatitude	19-1840-B
beau	19-1862-B,19-1879-B
beautician	19-1893-B
beautiful	19-1914-B
beautify	19-1930-B
beauty	19-1949-B,19-1965-B
beaver	19-1978-B
becalm	19-1993-B,19-2013-B,19-2031-B
because	19-2046-B,19-2059-B,19-2075-B,19-2091-B
bechamel	19-2107-B
beckon	19-2128-B,19-2145-B
becloud	19-2161-B
become	19-2180-B,19-2196-B
bed	19-2213-B,19-2223-B,19-2234-B,19-2244-B,19-2253-B,19-2268-B,19-2278-B,19-2292-B,19-2302-B
bedazzle	19-2318-B
bedding	19-2338-B,19-2366-B
bedeck	19-2390-B,19-2406-B
bedew	19-2420-B
bedlam	19-2435-B,19-2447-B,19-2465-B
bedlamite	19-2482-B
bedouin	19-2498-B
bedroom	19-2514-B
bedside table	19-2538-B
bedstead	19-2561-B
bee	19-2579-B
beech	19-2587-B
beef	19-2600-B
beefy	19-2611-B
beehive	19-2627-B
beep	19-2641-B
beer	19-2654-B
beet	19-2665-B
beetle	19-2683-B,19-2701-B
befall	19-2717-B,19-2733-B
befit	19-2749-B
befitting	19-2764-B
befog	19-2785-B
befool	19-2801-B
before	19-2818-B,19-2832-B,19-2847-B,19-2860-B
beforehand	19-2876-B
befoul	19-2899-B,19-2917-B
beg	19-2936-B,19-2950-B,19-2964-B,19-2976-B
beget	19-2991-B
beggar	19-3006-B,19-3025-B,19-3042-B
begging	19-3060-B
begin	19-3076-B,19-3093-B,19-3108-B,20-0-B
beginner	20-18-B,20-38-B
beginning	20-60-B,20-78-B,20-95-B,20-113-B
begird	20-133-B
begonia	20-148-B
begrudge	20-164-B
beguiling	20-183-B,20-204-B
behaved	212-1099-S
behavior	20-224-B,20-247-B
behaviour	20-265-B,20-289-B,20-308-B
behind	20-327-B,20-343-B,20-359-B,20-375-B,20-389-B,20-405-B,20-419-B
beholder	20-432-B
behove	20-452-B
being	20-470-B,20-485-B,20-501-B
belated	20-514-B
belay	20-532-B
belch	20-545-B
beldam	20-559-B
beleaguer	20-574-B
belfry	20-594-B
belgian	1-383-B
belief	20-611-B,20-630-B,20-645-B,20-657-B
believable	20-672-B
believe	20-693-B,20-709-B,20-728-B,109-172-S,109-191-S
belittle	20-744-B
bell	20-762-B,20-775-B,20-792-B
bell ringer	20-829-B
bell shaped	20-851-B
bell tower	20-808-B
belle	20-873-B
bellied	139-1264-S,216-1142-S
bellow	20-885-B,20-900-B
bellows	20-914-B
belly	20-932-B
belong	20-945-B
belong to	20-964-B
belongings	20-986-B,20-1002-B
beloved	20-1022-B,20-1035-B,20-1048-B
below	20-1064-B,20-1078-B,20-1093-B,20-1107-B,20-1119-B
belt	20-1137-B,20-1150-B,20-1163-B,20-1176-B,161-2989-S,165-1139-S
bemire	20-1191-B
bemoan	20-1211-B
bemuse	20-1227-B
bench	20-1245-B,20-1257-B,20-1269-B,20-1284-B
bend	20-1297-B,20-1308-B,20-1321-B,20-1336-B,20-1351-B,20-1365-B,20-1376-B,20-1392-B,20-1405-B,20-1420-B,20-1435-B,20-1447-B,20-1459-B
bended	20-1472-B
bending	20-1485-B,20-1503-B
beneath	20-1521-B,20-1537-B
benedict	20-1551-B
benediction	20-1570-B
benefaction	20-1594-B
benefactor	20-1618-B
beneficence	20-1641-B
beneficent	20-1665-B
benefit	20-1685-B,20-1704-B,20-1722-B,20-1741-B
benevolence	20-1758-B
benevolent	20-1781-B
benign	20-1801-B,20-1817-B,20-1832-B
benignity	20-1848-B
benjamin	20-1865-B
bent	20-1884-B
benumb	20-1895-B,20-1912-B
benzaldehyde	20-1931-B
benzene	20-1956-B,20-1972-B
