libro di testo	193-423-B
liquefazione	104-2322-B
liquidare	104-2393-B,167-2798-B
liquidatore	104-2463-B
liquidazione	3-2219-B,32-1076-B,104-2438-B,162-788-B,166-2150-B
liquido	71-986-B,104-2378-B,104-2532-B
liquirizia	103-1818-B,104-2562-B
liquore	104-2348-B,104-2547-B
lira	104-2583-B,108-525-B
lirica	108-535-B,108-609-B
lirico	108-548-B,108-561-B,108-593-B,125-838-B
lirismo	108-576-B
lisciare	70-1652-B,138-277-B,173-2579-B,174-43-B,175-984-B,176-694-B,185-26-B
liscio	70-1498-B,136-76-B,175-1000-B,204-2665-B,211-1561-B
liscivia	108-393-B
liso	194-1739-B,212-1289-B,215-1072-B
lista	104-2810-B,184-3181-B
listato	184-3324-B
listello	101-559-B,102-975-B
listino	104-2821-B,141-2413-B
listino prezzi	141-2432-B
litania	104-3134-B
lite	101-1605-B,105-288-B,146-3662-B,167-2441-B,180-246-B,187-195-B
litigare	8-1235-B,12-2318-B,52-1694-B,147-0-B,215-1840-B
litigio	69-474-B,147-17-B,177-2962-B,180-260-B,195-929-B,215-1857-B
litigioso	27-614-B,52-1603-B,147-51-B,192-2465-B
litio	105-141-B
litografia	105-155-B,105-225-B
litografico	105-200-B
litografo	105-177-B
litorale	33-1537-B,105-710-B,165-180-B,211-1176-B
litoraneo	33-1583-B,105-728-B,211-1195-B
litro	104-3149-B,105-341-B
lituano	1-1606-B
liturgia	105-768-B
liturgico	105-747-B
liutista	108-0-B
liuto	108-18-B
livella	103-248-B,178-3032-B
livellamento	103-411-B
livellare	17-1653-B,35-3665-B,60-3358-B,60-3541-B,71-1135-B,103-262-B,103-366-B
livello	103-278-B,181-493-B,195-874-B
lo	85-2597-B,96-981-B,193-1118-B
lo meno	14-3521-S
lo stesso	162-1968-B,166-2007-B
lobato	105-1937-B
lobo	105-2012-B
lobulo	105-2022-B,105-2081-B
locale	105-2095-B,135-2684-B,155-3553-B,159-2035-B
localizzare	105-2151-B,105-2189-B
localizzatore	105-2405-B
localizzazione	105-2123-B
locanda	191-1602-B
locandiera	100-1492-B
locandiere	93-530-B,145-392-B
locandina	21-660-B
locatario	102-404-B,102-2723-B,123-3026-B,192-1485-B
locativo	105-2387-B
locatore	102-2858-B
locazione	102-308-B,103-32-B,192-1414-B
loco	135-2697-B,159-2047-B,172-2149-B
locomotiva	105-2800-B,105-2838-B
locomotore	105-2860-B,105-2903-B
locusta	78-3013-B,105-2942-B
locuzione	105-2988-B,134-1568-B
lodabile	101-822-B,139-3204-B
lodare	35-1006-B,62-3603-B,65-2388-B,101-810-B,139-3133-B
lode	35-1087-B,139-3147-B
lodevole	35-1045-B,101-840-B,139-3226-B
lodola	173-980-B
logaritmico	106-441-B
logaritmo	106-421-B
loggia	106-33-B
logica	106-520-B
logico	33-3436-B,106-533-B,106-548-B,150-1569-B
logoramento	211-2509-B,211-2717-B
logorare	211-2526-B,211-2623-B
logorio	211-2540-B,211-2601-B
logoro	15-2358-B,168-659-B,194-1755-B,215-1086-B
lombaggine	107-1987-B
lombare	107-2006-B
lombrico	9-2641-B,215-1003-B
longevo	106-857-B
longitudinale	106-1005-B
longitudine	106-963-B
lontananza	52-3082-B,154-521-B
lontano	5-3977-B,16-2371-B,52-3135-B,67-915-B,67-1055-B,126-3503-B,154-440-B,154-894-B
lontra	126-1948-B
looping	106-1573-B
loppa	87-2982-B,173-1396-B
loquace	30-718-B,30-735-B,75-2617-B,117-1908-B,190-2484-B,209-2255-B
lordare	47-36-B
lordo	50-2706-B,80-775-B
loricato	12-3141-B
loro	193-1242-B,193-1269-B,193-2300-B,216-1821-B,216-1960-B,216-2092-B
losanga	107-1025-B
losco	52-1881-B,71-1487-B,168-949-B,173-2526-B,188-3559-B
loto	106-2666-B
lotta	34-3149-B,39-3280-B,69-488-B,185-564-B,215-2555-B
lottare	19-506-B,34-3162-B,39-2761-B,69-500-B,185-579-B,215-2520-B
lottatore	69-575-B,215-2536-B
lotteria	106-2635-B
lotto	19-46-B,106-2530-B,106-2652-B,137-102-B
lozione	210-2999-B
lubrico	107-1224-B,174-1097-B,174-1283-B
lubrificante	79-900-S,107-1106-B
lubrificare	79-945-B,107-1150-B,124-1396-B
lubrificazione	107-1197-B
lucchetto	128-952-B
luccichio	77-971-B
luccio	96-1434-B,134-3532-B
lucciola	103-3223-B
luce	103-2699-B,103-2788-S,103-3272-S,177-2273-B
luce diurna	45-2059-B
luce solare	187-1530-B
lucente	24-1779-B,107-1243-B,107-3179-B,169-2492-B
lucentezza	77-1507-B,77-1556-B,107-3094-B,138-293-B,169-673-B
lucere	77-790-B,169-2282-B
lucernario	53-2723-B
lucertola	105-1307-B
lucidare	25-2087-B,138-311-B,160-1438-B,174-58-B
lucidatore	25-2143-B,138-389-B
lucidatura	25-2104-B,138-327-B,138-430-B
lucido	107-1321-B,107-1688-B,138-345-B,138-373-B,169-2578-B
lucignolo	213-1255-B
lucrativo	75-1144-B,107-1571-B,131-245-B,142-3406-B
lucro	75-1050-B,142-3331-B
lucroso	75-1162-B,107-1591-B,142-3427-B
ludibrio	48-1847-B,115-1902-B
luetico	190-391-B
luglio	1-1525-B
lugubre	51-3991-B,107-1845-B,161-2502-B
lui	84-16-B,85-2604-B,85-3063-S
lumaca	175-1349-B
lume	100-1050-B,103-2710-B
lumen	107-2207-B
luminare	107-2219-B
luminescenza	107-2237-B
luminoso	103-2721-B,107-1258-B,107-2263-B
luna	116-2215-B
luna di miele	86-2108-B
lunare	107-2435-B
lunatico	116-2200-B
lunghesso	8-660-B
lunghezza	102-2133-B,106-985-B,161-679-B
lunghezza d onda	211-1457-B,211-1533-B
lungi	5-3990-B,67-927-B
lungimirante	67-997-B
lungo	8-676-B,8-698-B,102-2150-B,102-2202-B,106-789-S,106-829-B,174-1998-B,211-1346-B
lungofiume	211-876-B
luogo	10-3224-S,122-734-S,135-2708-B,159-2057-B,172-2159-B,172-2406-B,176-2814-S,176-3089-S
luogo comune	24-2592-B
luogo di nascita	135-2838-B
lupa	21-1745-B
lupicante	105-2049-B
lupino	107-2651-B,107-2664-B,214-2159-B
lupo	214-2149-B
lupo mannaro	108-337-B,212-1387-B
luppolo	86-2699-B
luride	168-352-S
lurido	117-2528-B
lusinga	70-1771-B
lusingare	8-166-B,60-617-B,70-1669-B,77-1629-B,107-2765-B,176-713-B
lusinghiero	8-265-B,70-1728-B,177-249-B
lussare	51-3883-B
lusso	108-46-B,108-271-B
lussuoso	108-220-B,108-284-B,137-1315-B,187-1303-B
lussuria	107-2973-B
lustra	141-1276-B
lustrale	28-2029-B,32-796-B
lustrare	32-536-B,77-655-B,169-2295-B,174-73-B
lustrino	177-2283-B
lustro	77-1524-B,107-3112-B,107-3196-B,138-359-B,169-706-B,169-2591-B
lutezio	108-29-B
lutto	117-1667-B
luttuoso	117-1599-B
m	108-623-B
ma	25-2762-B,216-1341-B
macabro	80-204-B,80-1983-B,108-636-B
macadam	108-652-B
macadamizzare	108-668-B
macchia	22-868-B,70-2237-B,108-1164-B,110-1432-B,117-944-B,130-1883-B,174-2511-B,175-281-B,175-1156-B,179-519-B,180-2357-B
macchiare	89-184-B,180-2371-B,187-598-B
macchiarsi	179-1321-B,180-2387-B
macchiata	179-1501-S
macchiato	130-2057-B
macchietta	172-3116-B
macchiettare	178-598-B
macchina	59-1577-B,108-809-B,108-842-B,117-529-B,200-3158-S
macchina fotografica	26-2508-B
macchinale	111-3010-B
macchinario	108-861-B,136-1042-B
macchinatore	163-3251-B
macchinazione	108-783-B,137-113-B
macchine	108-883-B
macchinista	59-1637-B,59-1663-B,59-1763-B,79-1017-B,108-923-B,117-888-B
macchinoso	36-1153-B
macellaio	25-2823-B
macellatore	25-2841-B
macello	1-3001-B,110-3137-B,173-2144-B,173-2257-B
macerare	108-722-B,182-353-B
macerazione	108-740-B
macerie	45-2964-B,160-1691-B,215-2399-B
machmetro	108-965-B
macilento	173-557-B
macina	79-3136-B,114-343-B
macinare	79-3067-B,113-3636-B
macinato	80-1040-B,113-3703-B
macinatura	79-3276-B,114-226-B
macinazione	79-3296-B,114-245-B
macinino	113-3650-B
maciullare	109-2509-B
macrocosmo	108-1061-B
macroeconomia	108-1082-B
macromolecola	108-1111-B
macroscopico	108-1139-B
maculato	179-1400-B,179-1531-B
madama	108-1292-B
madido	115-3075-B,212-1546-B
madonna	108-1550-B
madre	111-575-B,117-95-B,129-2387-B
madreperla	117-130-B,118-2548-B,131-945-B
madreperlaceo	118-2565-B
madrigalista	108-1566-B
madrina	77-2564-B
maestoso	15-3218-B,50-727-B,181-1998-B,185-3358-B
maestra	72-1662-B,115-612-B,146-120-S,191-1962-B
maestria	42-3299-B,42-3436-B,111-43-B,111-122-B
maestro	110-3385-B,164-361-B,191-1978-B
mafia	108-1591-B,108-1604-B
mafioso	108-1616-B
maga	58-2506-B
magagna	70-2065-B
magari	62-1628-B,88-2743-B
magazzinaggio	183-2089-B,183-2371-B,210-1907-B
magazziniere	183-2276-B,183-2301-B,210-1852-B
magazzino	48-1123-B,108-1658-B,155-270-B,183-2206-B,183-2255-B,210-1832-B
maggio	1-1637-B,111-1691-S
maggiolino	33-2098-B
maggiorana	110-1311-B
maggioranza	108-3382-B
maggiore	57-514-B,108-3332-B,166-3126-B
maggiorenne	108-3347-B
maggioritario	108-3403-B
magia	38-1638-S,108-1847-B,177-497-B,214-1759-B
magica	108-1783-S
magico	108-1859-B,108-1892-B,193-2284-B
magio	108-2606-B
magistero	111-63-B
magistrale	110-3465-B,111-0-B
magistratura	97-2844-B,97-2968-B
maglia	83-2352-S,202-1672-B,208-515-B
maglieria	99-1353-B
maglietta	1-2186-B,106-1586-B,202-1690-B,208-527-B
maglio	82-265-B,148-3223-B
maglione	96-2722-B,98-336-B,189-953-B
magma	108-1939-B
magmatico	108-1951-B
magnaccia	135-527-B
magnano	105-2782-B
magnate	18-1800-B,108-1970-B,115-3047-B
magnesia	108-1986-B
magnesio	108-2024-B
magnesite	108-2004-B
magnete	105-3043-B,108-2059-B
magnetico	108-2074-B
magnetismo	108-2114-B
magnetite	105-3061-B,108-2135-B
magnetizzare	108-2225-B
magnetizzazione	108-2155-B
magnetofono	151-1463-B
magnetometro	108-2248-B
magnetron	108-2274-B
magnificare	62-3616-B
magnificazione	62-3657-B
magnificenza	77-1473-B,108-2322-B,141-3447-B,179-83-B,179-122-B
magnifico	27-1152-B,53-1057-B,78-219-B,78-2042-B,79-1153-B,108-2390-B,178-3422-B,179-19-B,185-1661-B,187-1902-B,214-2543-B
mago	108-1907-B,108-2618-B,177-465-B,214-1731-B
magrezza	101-3051-B
magro	75-3232-B,101-2908-B,111-1985-B,173-3048-B,174-556-B,193-2890-B
mai	62-2154-B,119-1807-B,120-1581-B
maiale	80-2165-B,134-3197-B,138-2857-B,189-1994-B
maialesco	134-3291-B
maiolica	108-3314-B
maionese	111-1789-B
mais	41-700-B,108-3303-B
mal di mare	165-879-B
mala pena	18-1269-S,83-363-S,163-1990-S
mala voglia	153-3058-S
malaccorto	90-1034-B,90-2846-B
malachite	109-371-B
malandato	165-3124-B
malanno	50-3423-B,88-3309-B,171-734-B
malaria	109-473-B
malarico	109-489-B
malaticcio	6-3589-B,171-701-B
malato	51-1942-B,88-3059-B,95-1122-B,130-2556-B,171-528-B
malattia	36-380-B,51-1925-B,88-3325-B,109-435-B,171-751-B
malaugurato	90-2473-B
malavoglia	205-1865-B
malcontento	51-967-B,52-2043-B,109-507-B
maldestro	16-2513-B,33-518-B,75-3168-B,82-191-B,90-2248-B,92-872-B,109-415-B,203-1202-B,204-3673-B
maldicente	173-1657-B
male	3-3504-B,17-560-B,17-736-B,62-2811-B,128-1366-B,138-2380-B,171-769-B,177-592-B,216-0-B,216-238-B
maledettamente	17-2322-B
maledetto	3-2956-B,17-2343-B,21-2944-B,37-3840-B,44-1980-B,45-557-B,45-1487-B,49-1506-B
maledire	21-2791-B,44-1947-B,63-2664-B,89-4128-B
maledizione	44-1962-B,109-590-B
maleducato	88-3070-B,88-3090-B,160-1972-B,201-3085-B
malefico	17-2004-B,17-2903-B,133-0-B
malerba	211-3330-B
malevolenza	109-690-B
malevolo	109-714-B
malfattore	43-1399-B,109-655-B,216-93-B
malfermo	92-1943-B,93-1601-B,168-1251-B,204-4059-B
malgrado	48-3504-B
malia	30-128-B,58-2488-B,178-1599-B
maligno	109-734-B,109-828-B,109-866-B,109-881-B,111-2183-B,114-2688-B,178-3291-B,213-1317-B
malinconia	77-1295-B,112-1134-B,112-1181-B
malinconico	112-1157-B,112-1203-B,132-342-B,214-968-B
malintenzionato	109-753-B
malinteso	114-2293-B,115-832-B
malizia	109-798-B
malizioso	109-846-B,114-2708-B,174-2591-B,213-1332-B
malleabile	109-937-B,197-1364-B
mallevadore	17-1168-B,80-2313-B,80-2397-B,209-2782-B,210-2715-B
mallevadoria	80-2335-B
malleveria	80-2358-B,80-2453-B,188-1661-B
malloppo	189-151-B
malmenare	109-1058-B,114-3447-B
malo	17-569-B
malora	132-1514-B
malsano	93-1297-B,171-719-B,203-1376-B,203-1416-B,204-3856-B,205-1809-B
malsicuro	7-1568-B,93-1619-B,201-2802-B,204-2763-B,204-3872-B,205-93-B
malta	116-3233-B
malto	109-1009-B
maltosio	109-1020-B
maltrattamento	88-3114-B,109-1098-B,115-568-B
maltrattare	2-3605-B,109-1077-B,109-2644-B,114-3467-B,115-547-B
malumore	43-2219-B,116-2147-B,178-3393-B,187-510-B
malva	109-974-B
malvagio	119-2983-B,208-2598-B
malversatore	57-3787-B
malversazione	57-3760-B,109-1126-B
malvivente	43-1419-B
mamma	108-627-B,116-192-B,118-411-B
mammario	109-1206-B
mammella	24-744-B,55-757-B,191-2450-B,195-2900-B,201-388-B
mammifero	109-1189-B
mammina	109-1175-B,109-1304-B,116-362-B,116-376-B,118-332-B
mammona	109-1223-B
mammone	109-1238-B
mammut	109-1268-B
manager	109-1916-B
manageriale	109-2031-B
manata	82-816-B
manca	102-1106-S
mancante	2-2239-B,115-176-B
mancanza	2-2207-B,46-3725-B,66-1490-B,99-3140-B,170-1344-B,210-1407-B
mancanza di peso	212-536-B
mancanza di tatto	91-3316-B
mancare	19-778-B,49-3498-B,66-1378-B
mancato pagamento	121-1302-B
manchevolezza	170-1422-B
mancia	17-200-B,17-1422-B,79-331-B,206-2438-B
manciata	82-831-B
mancino	102-1135-B,102-1176-B,102-1196-B,102-1325-B,177-1768-B
mandante	109-2146-B,141-3528-B
mandare	166-2833-B
mandare in rovina	160-2707-B,215-2302-B
mandarino	109-2090-B,163-63-B,190-3137-B
mandatario	14-1033-B,15-1915-B,109-2109-B,109-2164-B,144-3273-B
mandato	109-2130-B,125-3162-B,144-3290-B,210-2621-B
mandibola	96-2346-B,97-2141-B
mandolino	109-2229-B
mandorla	8-551-B
mandorlo	8-567-B
mandragora	109-2248-B
mandria	70-3357-B,85-902-B
mandriano	54-2933-B
mandrillo	109-2302-B
mandrino	109-2268-B,109-2285-B,178-2657-B
maneggevole	109-1614-B,197-1385-B
maneggevolezza	109-1585-B
maneggiare	82-1171-B,109-1519-B,109-3066-B,158-852-B
maneggio	82-1341-B,109-1767-B,109-2348-B
manette	82-798-B
manganare	109-2527-B
manganato	109-2410-B
manganatura	109-2559-B
manganello	19-300-B,41-2681-B,120-2876-B,199-2787-B
manganese	109-2430-B
mangano	109-2544-B
mangereccio	56-1509-B
mangiare	56-54-B,67-1121-B,71-2656-B,80-1841-B,111-2038-B,190-1743-B
mangiatoia	109-2491-B,199-2207-B
mangiatore	56-138-B,198-3376-B
mangione	49-2304-B
mango	109-2580-B
mani	31-3292-S
mania	109-2702-B
maniaco	109-2740-B,109-2768-B
manica	173-2922-B
manicaretto	47-1635-B,98-2638-B
manichetta	87-497-B
manichino	109-3244-B
manico	25-2961-B,80-64-B,81-2180-B,82-1189-B,85-151-B,119-2393-B,168-1931-B
manicomio	19-2465-B,106-1506-B,107-2540-B,108-1382-B
manicure	109-2800-B,109-2818-B
maniera	67-1846-B,72-2396-B,109-3334-B,113-1162-B,115-1983-B,177-975-B,185-2314-B,211-1759-B,214-647-B
manierismo	109-3368-B
manierista	109-3389-B
manieroso	109-3349-B
manifattura	110-183-B,110-303-B
manifestare	109-2856-B
manifestarsi	198-1574-B
manifestazione	109-2955-B,148-3122-B
manifestino	70-2846-B,101-2648-B
manifesto	11-711-B,47-3429-B,62-2751-B,109-2877-B,109-2984-B,123-2410-B,127-2603-B,128-2644-B,130-2122-B,135-2600-B,139-541-B,201-3581-B
maniglia	82-1203-B
manigoldo	207-709-B
manipolatore	109-3136-B
manipolazione	82-1359-B,109-3088-B
manipolo	82-848-B
maniscalco	87-415-B
mannaia	16-2587-B,16-2629-B,31-270-B,32-1345-B
mannaro	108-337-S,212-1387-S
mano	33-1654-B,33-1725-B,79-2200-S,82-433-S,82-461-S,82-518-B,82-607-S,82-704-S,82-1040-S,82-1438-S,84-3207-S,110-115-S
manodopera	99-2766-B,109-3536-B
manometro	75-3201-B,109-3516-B
manopola	82-900-B,82-1219-B,99-1385-B
manoscritto	110-522-B
manovella	43-69-B,82-1235-B,103-445-B
manovra	82-1382-B,109-2377-B,109-3115-B,109-3498-B,117-2024-B,137-337-B
manovrare	109-1537-B,182-579-B
mansarda	15-1731-B,109-3556-B
