bollare	23-2832-B,180-3164-B
bollatura	180-3283-B
bollente	22-2442-B
bollettino	25-836-B
bollire	22-2337-B,22-2363-S
bollito	22-2380-B
bollitore	84-1925-B
bollitura	22-2459-B
bollo	180-3178-B
bomba	22-2944-B
bomba a mano	79-2200-B
bomba h	1-1139-B
bombardamento	22-2990-B,169-1246-B
bombardare	22-2955-B,22-2971-B,169-1088-B
bombardiere	22-3036-B
bombo	87-1879-B
bombola	23-1320-B
bonario	77-3170-B
bonifica	151-206-B
boom	205-3609-B
borace	23-478-B
borbottare	75-821-B,80-371-B,80-2043-B,87-1723-B,118-344-B,118-909-B,118-1774-B
borbottone	80-2062-B
bordare	23-509-B
bordello	23-491-B,24-2806-B
bordo	22-1767-B,56-1243-B,85-164-B,158-1361-B,188-2613-B
bordo di	2-815-S
boreale	23-753-B,121-2081-B
borgata	208-2349-B
borghese	31-2413-B,31-2558-B,121-1084-B
borghesia	23-1822-B
borgo	186-2230-B,208-2365-B
borgogna	25-1691-B
borgomastro	111-1809-B
boria	171-822-B
borico	23-824-B
borioso	70-1850-B,166-1434-B
boro	23-968-B
borraccia	27-653-B
borsa	17-799-B,63-1070-B,139-1625-B,146-640-B,162-2987-B
borsa di studio	78-2428-B,164-86-B,185-1038-B
borsaiolo	134-2317-B,193-2657-B
borsaiuolo	134-2338-B
borseggiatore	134-2360-B
borsellino	17-809-B,146-652-B
borsetta	17-824-B,82-590-B,146-669-B
borsista	64-18-B
boscaglia	202-701-B
boscaiolo	106-465-B,107-2036-B,107-2098-B,107-2142-B,214-2993-B
boschetto	80-1411-B,174-2885-B,178-2805-B,214-2768-B
boschi	72-1553-B
bosco	72-1363-B,214-2783-B,214-2981-B
boscoso	214-3065-B
bosone	23-1013-B
bosso	23-2051-B
botanica	23-1123-B
botanico	23-1066-B,23-1083-B
botola	109-2666-B,198-2017-B
botta	17-2939-B,22-968-B,86-62-B,99-1479-B,184-3497-B,194-3382-B,210-826-B
bottaio	40-3599-B
botte	18-2067-B,200-897-B
bottega	170-556-B,183-2157-B
bottegaio	112-2697-B
bottiglia	23-1335-B,23-1352-S
bottino	23-402-B,27-1612-B,83-2523-B,106-1957-B,137-1042-B,141-2271-B,142-621-B,179-535-B,179-744-B,189-111-B
botto	137-967-B
