ridurre al silenzio	171-2537-B
ripidezza	182-466-B
ripido	2-2021-B,140-652-B,182-381-B
ripiegare	71-2161-B,71-2176-B,74-3149-B
ripieno	69-1169-B,74-1929-B,185-1435-B
riporre	181-1824-B
riportare	157-173-B
riporto	93-1836-B
riposante	156-1657-B
riposare	155-240-B,156-1551-B
riposarsi	153-1577-B
riposo	147-1830-B,147-1968-B,155-256-B,156-1565-B,156-3466-B
ripostiglio	28-1757-B,32-3153-B
riposto	93-430-B
riprendere	69-1275-B,151-1679-B,155-311-B,155-1278-B,156-2804-B,157-192-B,205-2468-B
riprendersi	151-1698-B,151-2320-B
ripresa	151-1757-B,151-2389-B,155-988-B,157-2064-B,170-1815-B,190-1849-B
ripristinare	152-3852-B,154-1555-B,156-2080-B
ripristino	153-58-B,153-508-B,154-1654-B,154-1769-B,156-1952-B
riprodurre	41-130-B,155-1150-B
riprodursi	118-220-B
riproduttore	155-1171-B
riproduzione	41-146-B,136-2079-B,142-0-B,155-1195-B
riprova	143-2212-B
riprovare	155-332-B,155-1103-B,155-1297-B
riprovazione	21-2597-B
ripugnante	2-408-B,51-2668-B,51-2735-B,52-3226-B,85-2072-B,105-1897-B,123-3733-B,154-2922-B,155-1646-B,155-1909-B,157-2380-B,171-637-B,201-456-B
ripugnanza	2-365-B,2-1142-B,10-2355-B,16-1695-B,51-2592-B,51-3321-B,105-1819-B,155-1500-B,155-1564-B,155-1846-B,157-2630-B
ripulire	32-600-B,164-1722-B
ripulitura	32-667-B
ripulsa	24-3226-B,150-2029-B,152-1942-B,153-810-B,155-1790-B
ripulsivo	154-2943-B,155-1930-B
riquadro	128-3066-B,128-3163-B
risacca	188-1694-B
risalire	13-1812-B
risaltare	181-355-B
risalto	143-1365-B
risanamento	151-2993-B,162-2621-B
risanare	44-1551-B,84-1151-B,156-2101-B
risarcimento	35-3804-B,91-2016-B,91-2066-B,151-811-B,152-1873-B,153-297-B,154-2479-B
risarcire	35-3686-B,47-556-B,152-1893-B,153-229-B
risata	101-911-B,101-1008-B,101-1066-B
riscaldamento	84-2074-B,210-2163-B,210-2185-B
riscaldare	84-1861-B,84-1906-B,153-136-B,210-2054-B,210-2116-B
riscaldarsi	210-2070-B
riscaldatore	84-1960-B
riscattare	149-639-B,151-2766-B
riscatto	149-657-B,151-2918-B
rischiarare	88-3405-B,103-2736-B
rischiare	83-3125-B,158-2628-B,180-2795-B,207-2551-B
rischio	29-2682-B,45-987-B,83-3065-S,83-3142-B,96-2659-B,132-2611-B,158-2588-S,158-2643-B
rischioso	29-2720-B,49-3154-B,83-3228-B,93-1638-B,132-2645-B,158-2707-B,204-2798-B,207-2629-B,213-1919-B
risciacquare	71-1151-B,158-1615-B
risciacquatura	51-3176-B
riscontrare	69-1798-B
riscontro	154-3649-B
riscrivere	157-2822-B
riscuotere	28-563-B,34-1423-B,150-2915-B
riserbare	155-3144-B
riserbo	42-2818-B,155-3162-B,156-2359-B,156-3192-B
riserva	17-277-B,74-2463-B,141-378-B,155-3088-B,155-3178-B,183-675-B,188-57-B
riservare	23-94-B,155-3194-B
riservarsi	155-3212-B
riservatezza	155-3231-B,156-2377-B,156-3210-B
riservato	8-732-B,32-206-B,37-2823-B,42-2782-B,155-3306-B,156-2276-B,156-2494-B,156-3233-B,165-1675-B,165-1928-B,181-394-B,201-3452-B,202-587-B,202-788-B
riserve	204-2326-S
riservista	155-3325-B
risguardo	71-1590-B
risibile	101-989-B,107-1758-B,158-2468-B
risipola	159-2375-B
riso	101-924-B,101-1024-B,101-1082-B,157-3584-B
risolutezza	49-882-B,146-595-B
risoluto	46-1196-B,69-2740-B,94-1301-B,109-2394-B,146-526-B,156-137-B,156-411-B,183-2734-B
risolutore	156-429-B,176-2449-B
risoluzione	46-1116-B,49-908-B,156-204-B
risolvere	49-993-B,52-2932-B,156-304-B,167-2815-B,176-2381-B,204-2518-B
risolversi	46-856-B,156-322-B
risolvibile	156-227-B,176-2264-B,176-2342-B
risonante	156-469-B,156-545-B,208-1055-B
risonanza	156-449-B,157-1069-B
risorgere	158-2340-B
risorsa	156-638-B
risotto	158-2723-B
risparmiare	56-948-B,163-609-B,177-2459-B
risparmio	163-664-B,163-700-S,194-2149-B,194-2210-B
rispecchiare	152-488-B
rispettabile	156-946-B
rispettare	156-750-B
rispettivo	156-1014-B
rispetto	152-2367-B,156-769-B
rispettoso	156-992-B
risplendente	169-2508-B
risplendere	77-1058-B,169-2356-B
rispondente	38-1049-B
rispondenza	41-1972-B
rispondere	10-1031-B,154-3665-B
risposta	10-1049-B,154-3682-B,156-1302-B
rissa	6-1014-B,73-1157-B,161-174-B,164-2132-B,164-3192-B,200-2168-B
ristabilimento	151-1774-B,151-2410-B,156-1975-B
ristabilire	150-61-B,156-2118-B
ristabilirsi	151-1718-B,151-2343-B
ristagnare	180-2196-B
ristagno	53-2045-B,180-2143-B,180-2234-B
ristampa	153-533-B,155-971-B
ristampare	153-550-B
ristorante	50-1733-S,156-1635-B
ristoratore	152-1287-B
ristoro	35-335-B,152-1355-B,153-2607-B
ristretto	32-2929-B,37-2951-B,39-1224-B,104-987-B,119-250-B,129-2998-B,156-2515-B,183-475-S,184-401-B
ristrutturare	154-169-B
ristrutturazione	154-217-B
risucchio	186-3017-B
risultante	156-2745-B
risultanza	126-2394-B
risultare	3-2561-B,12-2558-B,58-407-B,59-3479-B,156-2696-B
risultato	3-1861-B,38-3286-B,56-2408-B,58-3578-B,96-876-B,126-2413-B,142-2509-B,156-2713-B
risurrezione	156-2843-B,156-2889-B
risuscitare	156-2867-B,156-2915-B
risvegliare	16-2129-B,210-544-B
risvegliarsi	16-2147-B
risveglio	16-2210-B,157-2080-B
risvolto	70-1256-B,100-2152-B,157-1346-B
ritaglio	32-2474-B,44-2883-B,154-120-B,175-1802-B,175-1819-B
ritardante	156-3131-B
ritardare	47-1131-B
ritardatario	101-341-B
ritardato	20-514-B,47-1176-B,156-3112-B
ritardatore	156-3151-B
ritardo	47-1147-B,101-275-S,101-403-B,156-3092-B
ritegno	156-2400-B,183-1617-B
ritenere	46-2871-B,86-720-B,97-2719-B,98-1909-B,194-58-B,202-1859-B
ritirare	34-1442-B
ritirarsi	70-2981-B,156-3413-B,214-1197-B
ritirata	32-3172-B,97-878-B,101-1354-B,106-1090-B,156-3775-B,196-597-B,214-1254-B
ritirato	156-3430-B
ritiro	26-3243-B,150-2360-B,156-3484-B,156-3657-B,156-3792-B,214-1274-B
ritmico	26-913-B,157-3318-B,157-3335-B
ritmo	19-1655-B,26-899-B,157-3305-B,192-841-B
rito	29-1257-B,158-2754-B
ritoccare	8-1073-B,156-3540-B,157-1830-B
ritorcere	200-2794-B
ritornare	157-555-B,157-1607-B
ritornello	31-445-B,152-1165-B
ritorno	157-572-B
ritrarre	48-2033-B,76-2015-B,88-3794-B,123-2065-B,134-2665-B,155-480-B,214-1216-B
ritrattare	150-2390-B,156-3575-B,204-2969-B,214-1234-B
ritrattazione	2-622-B,150-2427-B,156-3675-B,214-1292-B
ritrattista	138-3479-B
ritratto	138-3461-B,138-3503-B,139-0-B
ritrosia	171-419-B
ritroso	47-3576-B
ritrovamento	69-1815-B
ritrovo	112-949-B,154-1421-B,156-504-B
ritto	183-3027-B,205-3067-B
rituale	158-2764-B,158-2779-B
riunione	14-347-B,37-2314-B,38-762-B,38-822-B,39-1744-B,40-1730-B,75-3136-B,112-965-B,148-3156-B,157-619-B,167-1981-B
riunire	14-186-B,118-1519-B,157-636-B,203-1852-B
riunirsi	71-0-B,172-2092-B
riunito	203-2677-B
riuscire	34-3612-B,109-1569-B,186-2433-B
riuscita	97-2243-B,186-2545-B
riuscito	186-2622-B
riva	17-3173-B,170-851-B,211-1215-B
rivale	36-106-B,158-2799-B
rivaleggiare	208-1673-B
rivalsa	156-3028-B
rivalutare	150-1226-B,157-687-B
rivalutazione	150-1200-B,157-661-B
rivedere	208-673-B
rivelare	18-1052-B,51-541-B,125-335-B,157-745-B,201-2331-B,202-270-B,205-1485-B
rivelarsi	144-2450-B
rivelatore	49-559-B,157-812-B
rivelazione	49-475-B,51-616-B,65-425-B,157-890-B
rivendicare	31-2875-B
rivendicatore	31-2909-B,208-2859-B
rivendicazione	47-2665-B
rivendita	155-2603-B
riverberazione	157-1093-B
riverbero	157-1122-B
riverente	157-1232-B,157-1276-B
riverenza	122-2651-B
riverenziale	157-1298-B
riverire	157-1161-B
riverso	114-3349-B
rivestimento	33-1738-B,42-2334-B,66-766-B,104-1941-B,157-1639-B,169-517-B,173-410-B
rivestire	66-465-B
riviera	33-1552-B,165-198-B,165-932-B
rivierasco	158-1944-B
rivincita	157-932-B
rivista	97-1909-B,108-1646-B,108-1696-B,129-926-B,132-2870-B,157-1727-B,157-2595-B,170-2318-B
rivitalizzare	157-2039-B,209-1157-B
rivo	24-2742-B,184-1321-B
rivolgere	20-1420-B,200-1639-B
rivolgersi	200-1654-B
rivolo	199-127-B
rivolta	150-1876-B,157-2322-B,158-1741-B
rivoltante	157-2401-B
rivoltare	95-1572-B,157-1513-B,191-2685-B,200-1670-B
rivoltella	81-674-B,157-2575-B
rivolto	200-1865-B
rivoluzionario	22-2820-B,157-2480-B
rivoluzione	157-2457-B
rizoma	157-3076-B
rizzare	61-866-B
rizzarsi	158-2355-B
roba vecchia	98-777-B
robot	16-813-B,159-448-B
robotica	159-460-B
robustezza	159-539-B,160-2564-B,184-1626-B,185-2048-B,208-2186-B
robusto	31-953-B,82-3268-B,107-3258-B,159-508-B,160-2446-B,181-1320-B,183-2749-B,185-271-B,185-2118-B,208-2110-B
rocca	52-3012-B,131-1083-S
rocchettiera	213-2812-B
rocchetto	22-2133-B,34-206-B,151-3800-B,179-1037-B,188-2204-B
roccia	80-1138-B,159-616-B
roccioso	159-765-B
rodere	141-2307-B
rodio	157-3091-B
roditore	159-866-B
rododendro	157-3105-B
rodomontesco	159-882-B
rogna	96-1074-B,109-2450-B,163-1164-B
rognoso	109-2592-B
rollare	159-1442-B
romanesco	159-1658-B
romano	159-1674-B
romanticismo	159-1741-B
romantico	159-1722-B,159-1766-B
romanza	159-1687-B
romanzesco	159-1703-B
romanziere	122-447-B
romanzo	122-402-B
romba	159-107-B,161-187-B
rombare	161-200-B
rombico	157-3141-B
rombo	107-1076-B,157-3129-B,157-3197-B,159-118-B,161-215-B
romboidale	157-3175-B
romboide	157-3157-B
romitaggio	85-1247-B
romito	85-1195-B,106-675-B,176-2150-B
rompere	24-382-B,175-35-B,175-1417-B,191-2198-B
rompersi	42-2977-B,175-49-B,175-1430-B
rompicapo	191-2433-B
rompighiaccio	88-1551-B
ronda	130-2868-B,211-361-B
rondine	189-303-B
ronzare	87-1738-B,212-3123-B,216-2896-B
ronzino	96-1733-B
ronzio	26-141-B
rosa	135-1030-B,159-2389-B,159-2399-B,159-2438-B
rosa canina	56-3437-B
rosario	29-3275-B,159-2345-B
rosato	159-2625-B
roseo	159-2418-B,159-2451-B,159-2637-B
roseola	159-2465-B
rosetta	159-2498-B
rosicchiare	77-1929-B,120-2248-B
rosone	159-2514-B
rospo	196-232-B
rossetto	104-2304-B,128-1575-B,160-166-B
rosso	77-2731-S,151-2562-B,158-2951-S,160-1892-B,179-2847-S
rosso d uovo	216-1763-B
rossore	71-1170-B
rosticceria	79-2861-B,159-2968-B
rotaia	148-2133-B,197-1181-B
rotante	159-2802-B
rotare	159-2847-B
rotativo	159-2817-B,159-2909-B
rotatorio	159-2927-B
rotazione	31-2282-B,81-1481-B,159-2890-B,178-2553-B,209-2537-B
rotolare	159-1455-B,199-2849-B
rotolarsi	159-1469-B
rotolo	34-221-B,151-3815-B,159-1484-B,164-2962-B
rotonda	160-137-B,160-713-S
rotondo	31-1706-B,160-109-B,160-601-B
rotore	89-2191-B,159-2991-B
rotta	100-1718-B,160-989-B,197-1194-B
rottame	164-2144-B,164-2218-B,215-2357-B
rottami	164-2158-B
rotto	24-2457-B,31-286-B,73-1336-B
rottura	24-152-B,24-396-B,24-611-B,161-1115-B
rotula	99-1238-B
roulette	160-470-B
roulotte	27-1909-B,197-2212-B
routine	160-1024-B
rovente	87-783-B,151-2627-B
rovesciamento	157-1382-B
rovesciare	62-2309-B,127-2714-B,127-2839-B,157-1531-B,178-2460-B,186-2324-B,195-1425-B,196-2033-B,200-708-B
rovesciarsi	127-2859-B
rovescio	16-3304-B,17-99-B,157-1550-B
rovina	17-2891-B,34-1062-B,49-103-B,83-2849-B,132-1552-B,160-2707-S,160-2730-B,215-1746-B,215-2302-S
