forense	72-1086-B
fortezza	72-2946-B,72-3329-B,75-2540-B
fortificare	72-3238-B,83-110-B,165-2370-B,184-1787-B
fortificazione	72-3151-B,72-3347-B
fortuito	3-1072-B,28-1192-B,34-536-B,39-3596-B,72-3394-B,82-2246-B,90-3178-B,149-285-B
fortuna	29-1770-B,29-2649-B,72-3514-B,82-2492-B,82-2536-S,97-2198-B,107-1395-B
fortunatamente	72-3487-B,82-2513-B,107-1432-B
fortunato	72-3448-B,82-2616-B,107-1540-B
foruncolosi	75-237-B
forza	72-291-B,113-2730-B,139-2111-B,184-433-S,184-1526-B,208-2160-B
forza ascensionale	25-1211-B
forza centrifuga	29-932-B
forza d attrazione	145-1228-B
forzare	33-2682-B,35-3526-B,39-988-B,72-303-B,89-2145-B
forzato	36-2573-B,39-1048-B,40-2659-B,59-1177-B,72-350-B,72-400-B
forze	184-1541-B
forze armate	12-2899-B
forzoso	36-2592-B
fosco	51-3978-B,54-1628-B,55-1512-B,77-1374-B,161-1932-B,176-2484-B,176-2509-B
fosfato	134-726-B
fosfito	134-762-B
fosforeggiare	134-780-B
fosforescente	134-837-B
fosforescenza	134-807-B
fosforite	134-866-B
fosforo	134-910-B
fosforoso	134-888-B
fosfuro	134-744-B
fosgene	134-709-B
fossa	53-568-B,79-363-B,86-1011-B,135-1810-B,198-3293-B
fossetta	50-1566-B,73-1021-B
fossile	73-175-B
fossilizzarsi	73-220-B
fossilizzazione	73-190-B
fosso	53-580-B,115-1465-B,135-1820-B,198-3306-B
foto	134-929-B,134-1197-B
fotocellula	134-957-B,134-1114-B
fotochimica	134-1005-B
fotochimico	134-979-B
fotocompositrice	134-1469-B
fotocomposizione	134-1032-B
fotocopia	134-1066-B
fotoelettrico	134-1086-B
fotogenico	134-1145-B
fotografare	134-1213-B
fotografia	134-940-B,134-1236-B,134-1306-B,134-2525-B,170-1718-B
fotografica	26-2508-S
fotografico	134-1281-B
fotografo	134-1258-B
fotogrammetria	134-1167-B
fotometria	134-1350-B
fotometro	134-1329-B
fotomontaggio	134-1372-B
fotone	134-1399-B
fotosensibile	134-1413-B
fotosintesi	134-1442-B
fottere	74-1547-B
fra	8-3250-B,8-3591-B,8-3611-B,20-2720-B,20-2744-B,113-2592-B,194-2978-B,214-1435-B
fra breve	176-3388-B
fra poco	141-49-B,177-0-B
fracassare	174-3201-B
fracassarsi	175-0-B
fracasso	50-1653-B,121-594-B,148-166-B,149-2530-B,158-1677-B
fradicio	159-3020-B,176-935-B
fragile	24-461-B,24-2250-B,47-1703-B,68-718-B,73-1352-B,73-1500-B,73-1914-B,170-953-B,173-3032-B,174-387-B
fragola	184-1116-B
fragore	131-880-B
fragrante	12-3350-B,70-1981-B,73-1464-B,123-3764-B,123-3786-B,189-1145-B
fraintendere	114-2242-B,114-2789-B,114-3586-B,115-747-B
frale	47-1720-B,73-1514-B
frammassoneria	73-2880-B
frammentario	73-1405-B
frammento	73-1368-B,168-2272-B,169-3176-B,174-1343-B,175-1784-B,177-2210-B,179-265-B
frammescolare	94-2730-B
frammettersi	94-2014-B,111-3242-B
frammischiare	94-2868-B
franare	34-1045-B
francamente	125-665-B,172-736-B
francare	180-3190-B
francescano	1-1004-B
francese	1-1027-B
franchezza	27-196-B,73-2007-B,125-684-B,127-625-B,172-758-B,183-3364-B,184-55-B
franco	50-2240-B,54-137-B,72-3066-B,73-1879-B,73-1945-B,73-2613-B,92-3099-B,125-278-B,127-589-B,172-672-B,183-2926-B,183-3192-B
franco di dazio	55-1727-B
frangente	188-1679-B,188-1894-B
frangere	24-283-B,141-543-B
frangia	74-456-B
frangiflutti	24-720-B,80-1761-B
frangivento	213-2717-B
frantoio	43-3132-B
frantumare	24-3095-B,43-3042-B,175-18-B
frantumatore	43-3149-B
frantumazione	43-2898-B,43-3059-B
frapporre	93-1746-B
frapporsi	94-3943-B
frapposizione	94-3343-B
frasca	179-1719-B
frase	105-2957-B,134-1555-B,166-3783-B
fraseggio	134-1657-B
fraseologia	134-1633-B
fraseologico	134-1605-B
frassino	13-2384-B
frastagliato	96-1757-B,148-1715-B
frastornare	23-1219-B,53-386-B,195-185-B
frastuono	50-1666-B,121-609-B,148-182-B,158-1691-B,205-3226-B
frate	73-3533-B,116-1053-B
fratellanza	73-2113-B
fratellastro	81-2850-B,182-1155-B
fratelli	24-2964-B
fratello	24-2879-B,171-470-B
fraterno	24-2945-B,73-2069-B
fratesco	116-1120-B
fratricida	73-2136-B
fratricidio	73-2159-B
fratta	193-2512-B
frattaglie	60-1155-B,76-2499-B,124-309-B,137-365-B
frattanto	111-2568-B,111-2604-B
frattura	67-2868-B,73-1318-B,161-1098-B
fraudolento	73-2287-B
frazionamento	73-1271-B
frazionare	73-1248-B
frazionario	73-1206-B
frazione	73-1170-B,173-1984-S,176-1966-S
freccia	13-854-B,91-2752-B,197-2013-B
freddezza	34-796-B,40-3328-B,40-3580-B
freddo	34-687-B,40-3343-B,134-344-B,202-3408-B,214-400-B
freddura	145-1822-B
freddurista	145-2496-B
fregamento	160-1534-B
fregare	29-1880-B,55-1126-B,160-1413-B,164-1681-B,166-2040-B
fregata	74-281-B
fregatura	30-898-B,166-2053-B
fregiare	5-1235-B,46-1982-B,57-3653-B
fregio	74-267-B
fremere	147-2563-B,208-1105-B
fremito	194-2387-B,195-2140-B,198-3037-B,198-3137-B,198-3229-B,208-1190-B
frenaggio	23-2712-B
frenare	23-2686-B,39-2088-B,115-2294-B,156-2202-B
frenarsi	152-1148-B
frenastenia	68-733-B
frenastenico	81-2944-B
frenatura	23-2730-B
frenetico	20-2094-B,73-3243-B,134-1676-B,149-1172-B
freno	23-2700-B,44-1447-B,153-337-B
freno a mano	82-704-B
freno a pedale	71-2969-B
freno di emergenza	58-502-B
frequentare	15-1188-B,209-834-B
frequentatore	15-1322-B,73-3329-B
frequente	73-3310-B,73-3354-S
frequenza	15-1263-B,73-3290-B
fresare	113-3623-B
fresatrice	114-43-B
freschezza	73-3512-B,79-1975-B,209-219-B
fresco	30-2571-B,40-3355-B,73-3412-B,79-1675-B,120-1756-B
fretta	10-3277-S,67-1996-S,83-1871-B,83-1929-B,87-2699-B,140-421-B,140-441-B,161-1315-B
frettoloso	83-1995-B
friabile	24-2266-B,43-2922-B,170-967-B
friggere	74-1453-B,172-2773-B
frigido	30-2585-B,34-699-B,74-426-B,168-495-B
frignare	113-1618-B,145-1182-B,175-1851-B
frignone	212-2906-B
frigo	74-0-B
frigorifero	74-13-B,152-1477-B
fringuello	29-1935-B,69-1750-B
frittata	124-2070-B,124-2086-B,128-2910-B
frittella	128-2927-B
fritto	74-32-B
frivolezza	103-3047-B
frivolo	74-512-B,122-1179-B
frizione	33-603-B,73-3562-B,160-1553-B
frizzante	75-2849-B,145-2283-B,174-3074-B
frizzo	96-2835-B,147-2284-B
frodare	47-526-B
frodatore	89-3777-B
frode	30-914-B,73-2193-B,198-3936-B,199-95-B
frodo	137-1572-S,137-1629-S
frogia	121-2323-B
frollo	170-982-B
frombola	28-1512-B
frondoso	101-2705-B
frontale	74-843-B,74-871-B
fronte	24-2982-B,66-396-B,72-827-B,74-858-B,125-1671-S
fronte a	6-1446-S,125-1690-S
fronte d onda	211-1486-B
fronteggiare	66-408-B
frontespizio	74-924-B
frontiera	23-555-B,23-1629-B,74-905-B,104-822-B,110-752-B
frontone	75-839-B
fronzolo	76-2297-B,199-940-B
fronzuto	71-2246-B,101-2720-B
frotta	20-2885-B,43-2439-B,170-52-B,189-626-B
frottole	80-3070-B
frugale	2-2922-B,74-1192-B
frugare	73-159-B,80-1802-B,165-603-B
frullatore	104-2510-B,115-1242-B
frumento	78-1682-B,212-1866-B
frumentone	108-3253-B
frusciare	161-1593-B
fruscio	161-1610-B,189-25-B
frusone	83-2862-B
frusta	100-2931-B,164-1804-B,212-2968-B
frustare	100-2943-B,164-1819-B,173-1953-B,212-2980-B
frustata	100-2957-B
frustatura	100-3031-B
frusto	168-645-B,194-1721-B
frustrare	22-0-B,74-1340-B,195-204-B
frustrato	74-1360-B
frustrazione	46-3095-B,74-1428-B
frutta	74-1227-B,74-1253-S
fruttare	216-1465-B
fruttivendolo	79-1874-B
frutto	74-1240-B,142-2477-B,142-3250-B,216-1480-B
fruttosio	74-1173-B
fruttuoso	74-1281-B
fu	210-2884-B
fucile	158-685-B
fuciliere	158-713-B
fucina	175-702-B,175-718-B
fucinare	72-1813-B
fucinatura	72-2035-B
fuco	54-2650-B,98-2115-B
fucsia	74-1485-B
fucsina	74-1500-B,74-1516-B
fuga	57-2643-B,61-1560-B,74-1682-B,76-2264-B,101-2837-B,101-2879-B
fugace	62-1256-B,130-1174-B,198-644-B
fuggiasco	61-1680-B,74-1644-B,161-887-B
fuggire	61-1572-B,161-631-B,161-767-B,171-121-B
fuggitivo	2-2153-B,70-2388-B,161-905-B
fulcro	104-1180-B
fulgente	24-1743-B,148-436-B,169-2459-B
fulgere	169-2254-B
fulgidezza	56-3190-B
fulgido	56-3231-B,148-453-B,152-1746-B,169-2476-B,169-2564-B
fulgore	56-3212-B,148-362-B,152-1686-B,169-2268-B
fuliggine	177-58-B
fulminante	141-3291-B
fulminato	74-2128-B
fulmine	70-1363-B,103-3172-B,195-50-B
fumaiolo	30-2655-B,74-2873-B,175-868-B
fumaiuolo	175-888-B
fumare	74-2198-B,145-831-B,175-772-B
fumatore	121-1508-S,175-852-B
fumigatore	74-2224-B
fumo	175-785-B,175-831-S,175-909-B
funambolo	74-2298-B
fune	26-576-B,159-2262-B,195-1251-B
funebre	74-2614-B,122-2943-B
funerale	74-2630-B
funerario	74-2647-B,74-2699-B,74-2718-B
funere	43-1295-B,118-727-B
funereo	74-2665-B,74-2737-B
funestare	6-595-B
funesto	17-1988-B,67-2370-B,132-3727-B,172-1369-B
funghicida	74-2781-B
fungicida	74-2802-B
fungo	74-2822-B,84-153-B,118-1147-B
funicella	41-331-B,200-2571-B
funicolare	74-2835-B
funivia	159-2296-B
funzionale	74-2375-B
funzionamento	4-1038-B,74-2421-B,125-936-B,161-1061-B,215-633-B
funzionare	4-881-B,74-2320-B,125-787-B,161-643-B,215-270-B
funzionario	74-2397-B
funzione	27-1013-B,55-1688-B,74-2340-B,124-844-B,215-655-S
fuochi d artificio	146-2296-B
fuochista	183-832-B
fuoco	28-3174-S,69-2410-B,69-2488-S,69-2564-S,71-1873-B,71-1885-S,71-1950-S,81-631-S,88-2805-S
fuoco da campo	26-2740-B
fuoco fatuo	96-1491-B,213-2167-B
fuori	25-2752-B,72-2990-B,126-2118-B,126-2634-B,127-524-B
fuori di	126-2128-B,127-538-B
fuoriclasse	181-992-B
fuorilegge	17-762-B,126-3125-B
fuoruscita	96-730-B
furbacchione	73-1047-B,174-2617-B
furberia	13-1155-B,42-3358-B,44-1231-B
furbesco	44-1248-B
furbizia	14-3164-B
furbo	44-1265-B,174-2581-B,213-2485-B
furetto	68-2024-B
furfante	114-2833-B,149-1461-B,159-1009-B,207-693-B,208-2463-B
furfanteria	99-1126-B,149-1553-B,159-1153-B,159-1279-B,208-2640-B
furfantesco	99-1146-B,208-2557-B
furia	9-2515-B,75-279-B,83-1884-B,83-1946-B,87-2712-B,148-1549-B,161-1327-B,191-198-B,192-349-B
furibondo	74-3084-B,108-1231-B,148-1812-B,213-1811-B
furioso	74-3102-B,147-3025-B,148-1829-B
furore	75-290-B,108-1505-B,147-3069-B,148-1560-B
furtivo	181-3319-B,188-2550-B
furto	25-1641-B,100-2386-B,158-1930-B,181-3216-B,193-1230-B,193-2702-B
fuscello	184-1072-B,200-2419-B
fusibile	75-332-B,75-426-B
fusione	8-2009-B,28-905-B,33-1292-B,34-3338-B,75-443-B,91-652-B,112-1693-B,112-3153-B,112-3168-B
fuso	75-396-B,112-1625-S,116-159-B,168-1884-B,178-2644-B
fusoliera	75-407-B,87-1640-B
fustigare	173-1968-B,212-2994-B
fustigatore	212-3063-B
fustigazione	100-3050-B,212-3083-B
fusto	26-2859-B,28-792-B,168-999-B,168-1895-B,180-2905-B,182-887-B,183-534-B,199-2908-B
futile	71-3090-B,75-568-B,122-1196-B,131-1685-B,133-3213-B,134-3181-B,199-459-B
futurismo	75-627-B
futurista	75-646-B
futuristico	75-665-B
futuro	75-598-B,75-688-B,144-944-B
futurologia	75-704-B
g	75-758-B
gabbare	42-2848-B
gabbia	26-1024-B
gabbiano	81-320-B,165-129-B,165-235-B
gabella	196-847-B
gabinetto	26-533-B,32-3136-B,97-863-B,101-1318-B,106-1064-B,196-580-B
gaffe	75-889-B
gagliardia	185-2004-B
gagliardo	107-3242-B,159-491-B,181-1291-B,182-2197-B,183-2718-B,185-205-B,185-2083-B
gaiezza	74-735-B,75-984-B,96-2233-B,97-834-B,112-3377-B,114-1980-B
gaio	22-267-B,96-2267-B,97-793-B,97-1594-B,103-2831-B,103-3029-B,112-3439-B
gala	75-1219-B
galante	75-1329-B,134-0-B
galanteria	45-257-B
galassia	75-1229-B
galaverna	86-275-B
galea	75-1398-B,84-3136-B
galera	75-1411-B,96-1806-B
galleggiamento	70-3241-B
galleggiante	6-1060-B,70-3118-B,70-3220-B,70-3265-B,138-2090-B
galleggiare	70-3137-B,189-1783-B
galleria	75-1381-B,200-1163-B
galletto	33-2007-B
gallina	85-406-B
gallinaceo	75-1447-B
gallo	29-3124-B,33-2021-B,159-2167-B
gallo cedrone	80-1355-B
gallone	23-2587-B,75-1471-B
galoppo	75-1486-B
galoscia	75-1548-B,77-2796-B
galvanico	75-1564-B
galvanismo	75-1583-B
galvanizzare	75-1653-B
galvanizzazione	75-1604-B
galvanometro	75-1694-B
galvanotipia	57-1628-B
gamba	102-1339-B,168-1907-B,182-898-B
gambe	102-1970-B
gambero	43-307-B
gambo	82-1125-B,83-2612-B,168-1011-B,168-1919-B,180-2917-B,182-909-B
gamete	75-1812-B
gamma	75-1840-B,75-1852-S,75-1875-B,104-1338-B,149-396-B,163-1493-B
ganascia	96-2333-B
gancio	86-2465-B
ganga	75-1921-B
ganglio	75-1945-B
gangster	75-1980-B,81-743-B,115-1628-B
gara	36-0-B,39-3248-B,62-1951-B,111-363-B,147-3162-B
garage	75-2171-B
garante	17-1151-B,80-2256-B,80-2379-B,209-2766-B,210-2679-B,210-2697-B
garantire	14-2325-B,16-2005-B,59-3544-B,80-2274-B,165-2389-B,209-2719-B,210-2582-B
garanzia	14-2249-B,17-1099-B,80-2294-B,80-2435-B,136-2899-B,165-2518-B,188-1645-B,210-2737-B
garbare	136-2562-B
garbatezza	138-581-B
garbato	99-23-B,138-512-B,185-2564-B
garbo	42-1966-B,138-603-B
garbuglio	20-2994-B,37-4128-B,190-3193-B
gareggiare	35-3895-B,39-2742-B,39-3261-B,147-3172-B,208-1658-B
gargarismo	75-2294-B,75-2332-B
gargarizzare	75-2312-B
garofano	27-3087-B,76-2768-B
garza	76-12-B
garzare	191-2340-B,191-2418-B
gas	75-2670-B,75-2782-S
gas di scarico	63-3569-B
gas esilarante	101-1038-B
gas lacrimogeno	191-2269-B
gasdotto	135-1336-B
gasolio	49-3667-S
gasometro	75-2726-B
gassiforme	75-2678-B
gassometro	75-2828-B
gassoso	75-2697-B,75-2746-B,75-2865-B
gastrico	75-2879-B,183-929-B
gastrite	75-2896-B
gastronomia	40-3249-B,75-2940-B
gastronomico	75-2915-B
gatta	28-1288-B,146-1119-B
gattabuia	147-2712-B,173-1480-B
gattice	2-158-B
gattino	28-2220-B,28-2250-B,99-898-B,99-913-B,146-1143-B
gatto	28-1298-B,196-1003-B
gaudio	97-2210-B
gauss	76-0-B
gazza	108-2577-B
gazzarra	205-3243-B
gazzella	76-91-B
gazzetta	76-108-B,120-1970-B,129-476-B
geco	76-163-B
gel	76-174-B
gelare	30-2558-B,73-2977-B
gelarsi	44-1472-B
gelatina	76-182-B,96-2571-B
gelatinizzarsi	76-199-B
gelatinoso	76-225-B
gelato	74-950-B,74-1141-B,88-1337-B,88-1394-B
gelido	74-1033-B,76-247-B,88-1481-B,88-1764-B
gelo	74-992-B,74-1003-S
gelone	30-2345-B
gelosia	96-1902-B,96-2419-B,96-2439-B
geloso	96-2404-B,216-1114-B
gelso	117-2954-B
gelsomino	96-2200-B,96-2754-B
gemelli	200-2680-B
gemello	55-1301-B,200-2511-B
gemere	80-424-B,115-1411-B,175-2888-B
geminato	200-2524-B
gemito	80-437-B
gemma	65-3502-B,76-260-B,97-78-B
gemmare	145-1419-B
gene	76-304-B
genealogia	76-314-B,104-1349-B,131-1929-B
genealogico	131-1880-S
generale	76-335-B,127-1716-B,203-2767-B
generalissimo	76-386-B
generalizzare	76-446-B,203-2807-B
generalizzazione	76-414-B
generalmente	76-471-B,206-1100-B
generare	59-1521-B,76-494-B,172-1857-B,177-3034-B
generatore	76-639-B
generazionale	76-595-B
generazione	76-530-B,142-3869-B
genere	76-290-B,76-1379-B,99-36-B,125-3122-B,177-963-B,178-288-B,185-2301-B
generi alimentari	71-2633-B,71-2710-B
generico	76-352-B,76-660-B
genero	176-3247-B
generoso	23-1765-B,76-677-B,101-1389-B,103-960-B,118-588-B,125-417-B,142-3643-B,203-1089-B,204-3890-B
genesi	76-731-B
genetica	76-784-B
genetico	76-746-B
genetista	76-763-B
gengiva	76-2886-B,81-499-B
gengivale	76-2902-B
gengivite	76-2921-B
genia	198-3767-B
geniale	24-1927-B,76-833-B
genico	76-848-B
genio	76-897-B
genitale	76-861-B
genitivo	76-878-B
genitore	129-2354-B,172-1871-B
genitori	129-2492-B
genitrice	129-2370-B
gennaio	1-1429-B
genocidio	76-910-B
gentaglia	115-1476-B,148-1922-B
gente	71-2263-B,71-2292-B,132-696-B
