sovreccitare	127-1541-B
sovrumano	187-2279-B
sovvenire	14-1354-B,85-14-B
sovvenzionare	188-379-B
sovvenzione	23-1803-B,78-2514-B,186-982-B,186-2264-B
sovversivo	186-2287-B
sovvertire	186-2343-B
sozzo	69-1477-B,177-526-B
spaccalegna	85-1682-B
spaccare	24-410-B,31-243-B,42-3059-B,81-1920-B,85-1669-B,179-432-B
spaccato	42-3116-B
spaccatura	32-1276-B,179-447-B
spacchettare	204-962-B
spacciare	52-573-B
spaccio	126-3236-B,170-624-B
spacco	32-1407-B,42-3074-B,173-2023-B
spacconata	159-907-B
spaccone	23-2533-B
spada	149-1002-B,189-2463-B
spadaccino	189-2497-B
spaghetti	177-2190-B
spagnolo	1-2137-B
spago	41-346-B,128-704-B,184-3138-B
spaiato	123-3632-B
spalla	3-0-B,170-1923-B
spalle	170-3257-S
spalliera	61-1928-B
spallina	60-2214-B
spallone	175-1232-B
spallucciata	170-3280-B
spalmare	175-309-B
spandere	178-2477-B,179-2186-B
spannare	173-275-B
spannatura	173-289-B
sparare	69-2465-B,170-470-B
sparatoria	69-2646-B,81-708-B,170-484-B,170-522-B
spargere	20-2472-B,56-3307-B,163-2507-B,169-627-B,178-2492-B,179-2202-B
sparire	50-3092-B,207-200-B
sparizione	50-3134-B
sparo	81-776-B,170-1828-B
sparpagliamento	94-3751-B,163-2630-B
sparpagliare	163-2524-B
sparso	163-2590-B,179-2218-B,183-2876-B
spartano	177-2847-B
spartiacque	53-967-B,211-1154-B
spartito	164-1428-B
spartizione	11-2478-B,130-552-B,168-2457-B
sparuto	81-2220-B,177-2490-B
spasimo	6-2756-B,9-2759-B,177-2892-B
spasmo	177-2906-B
spasmodico	177-2943-B
spassionato	52-497-B
spasso	9-878-B,60-233-B,74-2287-B
spassoso	9-931-B
spata	177-2988-B
spatola	128-918-B,173-3287-B,177-3018-B
spauracchio	163-2252-B
spavalderia	83-320-B
spavaldo	22-2648-B
spaventapasseri	163-2274-B
spaventare	74-345-B,181-1769-B,192-3104-B
spavento	74-310-B,87-163-B,163-2223-B,192-3220-B
spaventoso	11-417-B,16-2432-B,54-1472-B,74-386-B,80-250-B,87-18-B,170-262-B,192-2946-B,192-3024-B
spaziale	177-1965-B,177-3001-B
spaziatura	177-1980-B
spazio	52-3102-B,75-2114-B,135-2825-B,159-2079-B,174-1755-B,177-1997-B
spazio aereo	7-691-B
spazio di tempo	132-2779-B,177-2010-B
spazioso	9-402-B,35-1923-B,100-2561-B,159-2125-B,213-1464-B
spazzacamino	30-2672-B
spazzaneve	175-2304-B
spazzare	189-1024-B
spazzatura	55-1608-B,152-2085-B,160-1657-B,198-2128-B
spazzino	189-1058-B
spazzola	24-3177-B
spazzolare	24-3192-B
spazzolino	24-3209-B
spazzolone	116-2480-B
speaker	120-1910-B,120-2032-B
specchietto	190-95-B
specchio	106-1384-B,106-1407-B,114-1937-B,178-1123-B,188-1780-B
speciale	61-1968-B,130-171-B,131-1401-B,178-166-B
specialista	64-2702-B,178-233-B
specializzato	173-207-B
specializzazione	178-205-B,178-256-B
specie	99-98-B,177-1027-B,178-317-B,185-2381-B,201-11-B
specificare	130-245-B,178-455-B
specificazione	178-392-B
specifico	178-373-B
specillo	142-949-B
specioso	178-580-B
speco	28-2938-B,28-3039-B
specolo	178-1141-B
speculativo	178-1030-B
speculatore	178-1100-B
speculatorio	178-1054-B
speculazione	178-981-B
spedire	48-3422-B,52-592-B,73-92-B,166-2861-B
speditezza	64-2087-B
speditore	73-108-B,166-2962-B
spedizione	38-4132-B,52-609-B,64-1964-B,166-2993-B,169-2837-B,169-2932-B
spedizioniere	73-128-B,169-2876-B
spegnere	53-3366-B,65-2191-B,147-665-B,173-1419-B,175-1124-B,175-2396-B,189-2208-B
spegnersi	64-2930-B
spegnimento	147-726-B
spellatura	131-2090-B
spelonca	28-2949-B,47-3591-B
speme	86-2749-B
spendaccione	178-1821-B,178-1919-B
spendere	64-2164-B,178-1756-B
spendereccio	211-181-B
spennare	137-382-B
spensieratezza	27-2882-B,93-2577-B,103-552-B
spensierato	27-2811-B,82-2644-B,93-2626-B,205-516-B
spento	65-2176-B,65-2239-B,100-18-B
speranza	64-1770-B,86-2760-B,144-849-B
speranzoso	86-2807-B
sperare	86-2774-B
sperdere	106-2316-B
sperdersi	76-2163-B
sperequazione	92-329-B
spergiurare	132-3238-B
spergiuro	72-2916-B,132-3258-B
spericolato	149-1652-B
sperimentale	64-2556-B,135-492-B
sperimentare	64-2532-B
sperimentatore	64-2614-B
sperimentazione	64-2582-B,144-2808-B
sperma	165-3112-B,166-2308-B,178-1944-B
spermatico	178-1957-B
speronare	148-3278-B
sperone	25-3192-B,179-3066-B
sperperare	180-529-B,211-104-B
sperperatore	180-641-B
sperpero	180-710-B,211-121-B
spersonalizzazione	48-633-B
spesa	26-85-B,41-3035-B,64-2202-B,64-2307-B,126-3207-B,170-797-B,178-1842-B
