zlatanina	261-871-B
zmiznutie	58-2144-B,66-83-B
zmizol	66-107-B
zmlatit	69-848-B,245-871-B
zmluva	4-3815-B,9-2056-B,27-577-B,38-2433-B,50-2507-B,53-1574-B,59-3576-B,115-2521-B,163-1142-B,250-3242-B,255-3552-B
zmluvny	50-2523-B,50-2717-B,51-450-B
zmluvy	9-2073-B
zmocnenec	45-758-B,87-813-B
zmocnenie	19-1104-B,19-1190-B,61-732-B,136-2595-B,178-198-B
zmocnit	19-1256-B,45-624-B,75-3509-B,75-3526-B,76-143-B,77-3504-B,260-882-B
zmocnit sa	34-2414-B,206-2696-B
zmocnitel	136-2613-B,175-1387-B,267-1563-B
zmontovat	17-546-B
zmotat	43-1929-B,197-657-B,253-2633-B,253-2675-B
zmrazit	95-631-B,95-2394-B,112-979-B
zmrazovanie	95-710-B
zmrstit	125-1020-B
zmrzaceny	60-3216-B,135-1133-B
zmrzacit	54-2651-B,126-652-B,135-1103-B,149-1311-B
zmrzlina	112-992-B,112-1027-B,211-2815-B
zmrznut	95-647-B
zmurkat	26-0-B,253-2346-B,271-627-B
zmykacka	223-2375-B,273-1335-B
zmykat	273-1319-B
zmylit sa	144-2518-B
zmysel	73-2505-B,93-441-B,113-3593-B,118-2741-B,139-2018-B,171-1520-B,179-625-B,179-746-B,207-3305-B,214-2245-B,214-2501-B,223-2918-B,242-2818-B,259-3345-B
zmyselnost	35-1292-B,208-54-B,208-77-B
zmyselny	35-1232-B,90-2156-B,126-2851-B,134-922-B,134-1100-B,182-1129-B,208-18-B,265-2446-B
zmyslanie	141-797-B,143-671-B
zmyslovy	207-3972-B,207-4084-B,208-0-B,208-36-B,208-100-B
zmysluplny	139-2071-B
zmyt	267-1850-B
znacenie	137-2510-B,137-3134-B
znacit	137-2525-B
znacka	28-1834-B,38-1392-B,87-2192-B,135-2469-B,137-2539-B,137-2886-B,208-735-B,214-1731-B,227-43-B,238-3068-B,253-3248-B
znackovac	137-2901-B
znackovanie	32-2692-B,137-3152-B
znackovat	32-2621-B,137-2552-B
znacne	49-1003-B,101-2077-B,103-189-B,234-2012-B
znacny	14-3655-B,49-958-B,101-2092-B,126-2371-B,137-2802-B,153-3472-B,192-2897-B,216-148-B,234-1944-B,234-2322-B
znak	18-3367-B,20-1506-B,20-2172-B,25-2642-B,38-1377-B,56-2757-B,75-1296-B,85-3188-B,87-2180-B,115-2827-B,137-2471-B,191-134-B,214-1692-B,214-2150-B,224-2609-B,238-3056-B,247-1951-B
znalec	7-472-B,48-3725-B,81-3332-B,116-3861-B,123-562-B
znalost	84-1888-B,125-2027-B
znaly	125-1898-B
znama	5-3369-B,95-1372-B
znamenat	24-1520-B,48-3744-B,49-2756-B,62-706-B,77-2438-B,120-1125-B,139-1903-B,172-1275-B,179-640-B,190-3672-B,214-2559-B,223-1017-B,227-688-B
znamenie	19-468-B,20-2183-B,89-3050-B,115-2838-B,137-2481-B,158-1129-B,174-1122-B,191-154-B,214-1702-B,214-1991-B,247-1962-B
znamenity	80-1684-B,182-2516-B,224-269-B,236-492-B
znamienko	137-2495-B,214-1716-B
znamka	102-188-B,115-3050-B,137-2569-B,154-346-B,227-57-B
znamkovat	137-2582-B
znamost	5-3389-B,5-3457-B,50-103-B,53-1436-B
znamy	5-3412-B,84-1799-B,84-2268-B,95-1386-B,125-2074-B,154-479-B,154-1609-B,269-649-B
znarodnenie	150-1419-B
znarodnit	150-1448-B
znasanlivost	247-2056-B,247-2205-B
znasanlivy	166-1529-B,247-2103-B
znasat	2-2869-B,22-2705-B,227-636-B,230-965-B,235-780-B,236-3341-B,247-2164-B
znasilnenie	17-340-B,54-2526-B,182-2019-B,182-2214-B,183-1521-B
znasilnit	17-361-B,161-2687-B,182-2037-B,264-948-B
znatelny	154-1031-B
znazornenie	191-178-B
znazornit	62-1765-B,87-2207-B,112-3526-B,113-74-B,190-3692-B
znazornovat	190-3714-B
znec	184-874-B
znechutit	214-331-B
znecistenie	50-435-B,60-2126-B,171-2896-B
znecistit	50-362-B,60-2061-B,171-2850-B,226-2078-B
znecistovat	171-2919-B
znecistovatel	50-462-B,171-2823-B,171-2870-B
znehodnotenie	33-2146-B,58-1648-B,62-2682-B
znehodnotit	58-1588-B,60-3882-B,62-2639-B
znely	265-1400-B
znemoznit	124-1895-B
znenie	183-3179-B,222-0-B,243-2622-B,262-3259-B,272-1339-B
znepokojenie	47-881-B,66-1779-B,251-83-B
znepokojeny	13-3264-B
znepokojit	10-28-B,66-1756-B,68-2839-B
znepokojovat	67-3991-B,107-423-B,145-2676-B,251-3276-B,263-785-B,272-3066-B
znepokojujuci	10-80-B,272-2942-B
znervoznit	259-1802-B
znesitelny	22-2739-B,76-2665-B,76-2687-B,131-1941-B,131-1961-B,235-797-B,236-3375-B,236-3399-B,247-1990-B,247-2012-B
zneskodnit	58-216-B,60-3554-B,65-3240-B,67-3279-B,164-2509-B
znesvatenie	60-2080-B,264-1072-B
znesvatit	60-2025-B,176-764-B,264-910-B
znetvorenie	60-3170-B,60-3258-B,136-345-B
znetvoreny	60-3237-B,136-370-B,144-2159-B
znetvorit	60-233-B,60-3104-B,66-3983-B,144-2092-B
zneuctenie	60-2104-B,210-2007-B,264-1095-B
zneuctit	60-2044-B,67-310-B,67-394-B,219-838-B,264-930-B
zneuzit	4-95-B,143-3530-B,144-3072-B,259-3356-B
zneuzitie	4-78-B,4-130-B,113-3997-B,143-3346-B,144-3054-B
zneuzivat	4-111-B,82-194-B,143-3394-B,144-3089-B
znevazovat	67-2000-B
znevyhodnit	105-2729-B
znicenie	1-1000-B,12-3414-B,57-408-B,61-3668-B,63-3018-B,64-555-B,107-812-B,167-1552-B,198-1483-B,219-174-B
zniceny	90-1017-B,198-1503-B
znicil	183-1217-B
znicit	2-319-B,12-3372-B,25-3166-B,26-1517-B,27-2411-B,33-1946-B,49-4103-B,55-1450-B,57-425-B,57-626-B,60-735-B,61-3591-B,63-2856-B,63-2937-B,64-1471-B,67-1377-B,67-3300-B,68-109-B,69-812-B,73-65-B,114-2830-B,124-1912-B,125-1471-B,137-1499-B,148-1286-B,156-19-B,183-2035-B,198-1425-B,199-807-B,204-1949-B,204-2217-B,215-2351-B,224-1343-B,234-3371-B,256-399-B,257-1702-B,271-1091-B,273-803-B
zniest	2-2855-B,76-2903-B,179-3025-B,230-949-B,236-3325-B,271-2828-B
zniet	40-3404-B,100-2877-B,183-2821-B,192-1962-B,192-2086-B,196-406-B,221-3201-B,246-2681-B
znizenie	2-2017-B,3-1240-B,56-1570-B,56-2074-B,58-1673-B,59-2690-B,59-2911-B,60-3798-B,62-2709-B,65-1256-B,71-1259-B,84-710-B,133-855-B,133-2412-B,144-3234-B,186-1916-B
znizil	2-1923-B
znizit	2-1798-B,56-1585-B,56-1689-B,58-1608-B,61-0-B,90-1260-B,129-206-B,133-2376-B,186-1613-B,189-1824-B,201-3206-B,212-3349-B,226-110-B
znizit sa	61-3069-B
znizovanie	186-1894-B
znizovat	63-20-B,129-188-B,133-2359-B
znova	12-2568-B,152-659-B
znovu	9-197-B,158-1924-B
znovu nadobudnut	185-3147-B
znovu otvorit	190-504-B
znovu sa ozenit	189-920-B
znovu sa vydat	189-946-B
znovu vydat	188-641-B
znovunastolenie	193-1122-B
znovuzrodenie	184-1848-B
znovuzrodeny	184-1870-B
znudeny	27-2047-B
zo	95-1955-B,157-1378-B,161-25-B
zob	175-2158-S
zobak	22-2454-B,24-3082-B,152-1184-B
zobat	166-2023-B
zobrak	23-1578-B,32-893-B,141-517-B
zobranie	141-476-B
zobrat	23-1458-B,43-3296-B,97-2318-B,216-1393-B
zobrazenie	61-1900-B,113-92-B,137-1425-B,169-512-B,191-206-B
zobrazit	63-497-B,67-2915-B,87-2226-B,113-109-B,163-2011-B,169-531-B,190-3739-B
zobrazovat	67-2933-B,169-549-B,186-3375-B,191-0-B
zobrota	141-497-B
zobudit	16-276-B,19-3088-B,266-1414-B
zobudit sa	19-3104-B
zobudzat sa	266-1443-B
zocelit	228-2352-B
zodpovedajuci	15-877-B,48-2573-B,52-1404-B,52-1460-B,78-2338-B,138-2621-B,192-3534-B,235-1981-B
zodpovedat	89-1845-B,138-2482-B,140-1919-B
zodpovednost	5-226-B,5-351-B,11-2269-B,129-1679-B,192-3715-B,252-1086-B
zodpovedny	5-404-B,13-1272-B,129-1761-B,192-3841-B
zohavit	60-251-B,135-1119-B,149-1331-B
zohladnit	239-3479-B
zohnat	44-1923-B,88-1223-B,99-477-B,175-3654-B,181-3203-B,204-870-B
zohnut	24-78-B,28-565-B
zohrat	6-449-B,170-1804-B
zohriat	267-886-B
zohyzdit	25-2861-B
zoldnier	141-1228-B
zolik	122-2095-B
zomknutost	257-574-B
zomrel	64-2606-B
zomrely	58-293-B,58-2531-B,62-1212-B
zomriet	54-3390-B,54-3417-B,58-2498-B,64-2465-B,81-3547-B,165-2076-B
zona	15-2868-B,205-3110-B,275-219-B
zonalny	275-141-B
zongler	123-1328-B
zonglovat	123-1252-B
zonovy	275-156-B
zoo	275-247-B
zoofilia	275-408-B
zoolog	275-278-B
zoologia	275-310-B
zoologicky	275-255-B
zopakovanie	188-703-B
zopakovat	188-682-B,190-1272-B,193-360-B
zopnut	42-333-B
zoradit	10-841-B,16-798-B,41-828-B,130-2920-B,138-340-B,160-712-B,182-1710-B
zorganizovat	89-2373-B
zosadenie	60-3821-B
zosadit	61-18-B,62-2131-B,126-1254-B,189-2739-B
zosikmenie	24-1791-B,218-895-B
zosikmeny	216-760-B
zosikmit	216-3217-B,218-913-B
zosilnenie	12-166-B,54-2043-B,96-2822-B,118-2513-B
zosilnit	94-478-B,118-2560-B,188-370-B,231-3358-B
zosilnovac	12-239-B,190-1377-B
zosilnovat	12-301-B,27-1616-B
zosilovac	11-3442-B,12-218-B
zosilovat	12-282-B
zosit	27-1074-B,27-1364-B,81-547-B,122-2614-B,154-412-B,230-136-B,239-2083-B
zosivacka	227-1655-B
zoskrabat	203-2578-B,232-2347-B
zoskrabovat	203-2597-B
zoskupenie	9-1154-B,10-1023-B,130-2937-B
zoskupit	16-813-B
zoskupovanie	9-1106-B,103-2825-B
zoskupovat	103-2807-B
zoslabenie	18-2525-B
zoslabit	18-2465-B,62-2769-B,75-506-B,186-1630-B
zoslabnut	83-2600-B
zoslabnutie	186-1937-B
zoslabnuty	83-2582-B
zosmiesnenie	233-1355-B
zosmiesnovat	145-470-B,200-3357-B
zosnuly	58-2549-B,58-2567-B,62-1230-B,127-607-B
zosobnit	168-654-B
zosrotovat	203-2455-B
zostal	168-192-B,189-619-B,228-1210-B
zostat	22-1886-B,50-2139-B,168-174-B,189-447-B,193-287-B,228-1162-B
zostatnit	150-1472-B
zostatok	20-3171-B,128-1680-B,189-582-B,189-1914-B,192-510-B,193-273-B
zostava	130-2956-B,130-3222-B,131-764-B,209-1028-B,209-2292-B,228-1224-B,235-2737-B
zostavat	22-1902-B,124-676-B,189-462-B,228-1175-B,228-1191-B
zostavenie	17-771-B,46-197-B,46-2320-B
zostaveny	17-606-B
zostavit	17-566-B,46-278-B,46-2654-B,89-2391-B,93-2759-B,135-2936-B,174-726-B,179-2985-B
zostavovanie	17-647-B,17-791-B,93-3022-B
zostavovat	17-585-B
zostihliet	217-1918-B
zostrelit	29-2505-B,212-2078-B
zostrit	211-324-B
zostrojit	49-3330-B,53-2875-B,63-1305-B
zostrucnit	2-2265-B,3-1103-B
zostup	59-923-B,63-288-B,63-426-B,70-818-B,188-2651-B
zostupit	10-754-B,63-323-B
zostupny	70-881-B,70-1163-B
zostupovat	63-303-B
zosuvanie	217-2454-B,217-2522-B
zotavenie	185-3267-B,185-3304-B,185-3757-B,188-2089-B
zotavit sa	185-3174-B
zotliet	197-1787-B
zotriet	146-2569-B,271-896-B,271-928-B,271-981-B
zotrocenie	77-2265-B,233-3304-B
zotrocit	77-2246-B
zotrvacnik	92-24-B
zotrvacnost	116-513-B
zotrvat	2-2885-B,168-210-B,189-480-B
zotrvavat	189-496-B
zovialnost	98-2674-B
zovialny	51-1837-B,122-3032-B
zovnajsi	161-866-B
zovnajsok	16-3387-B,83-826-B,161-3249-B
zovretie	41-393-B,41-2776-B,42-52-B,42-2353-B,75-1672-B,103-1682-B,109-2142-B
zovrety	208-3245-B
zovriet	41-408-B,41-2792-B,42-68-B,42-2369-B,49-3118-B,92-752-B,102-1904-B,103-1696-B,121-1538-B,226-128-B
zovseobecnenie	98-1729-B
zovseobecnit	98-1786-B
zozaciatku	18-256-B
zozadu	95-1988-B,95-2064-B
zozenstit	272-138-B
zoznam	36-1936-B,36-1988-B,39-0-B,65-2968-B,87-2611-B,115-2853-B,131-777-B,131-1031-B,187-2150-B,187-2582-B,197-670-B,202-2686-B,217-477-B,235-2753-B
zoznamenie	5-3432-B
zoznamit	5-3324-B
zoznamit sa	140-1936-B
zozrat	64-1487-B,203-1018-B,272-42-B
zpredu	95-2085-B
zrada	24-1571-B,167-1894-B,207-1669-B,250-2340-B,250-2518-B
zradca	24-1586-B,70-142-B,128-565-B,180-3016-B,189-3613-B,249-1717-B
zradit	24-1556-B,207-1581-B
zradlo	104-37-B
zradnost	95-38-B,146-1653-B
zradny	58-2649-B,104-1647-B,167-1875-B,249-1732-B,250-2298-B,250-2532-B,256-2066-B
zrak	83-210-B,214-1378-B,264-3150-B
zrakovy	157-525-B,265-36-B
zralok	210-3031-B
zranenie	26-2752-B,106-2305-B,117-50-B,129-76-B,221-2240-B,273-219-B
zraneny	9-1356-B,117-0-B,273-264-B
zranit	111-2859-B,116-4051-B,273-234-B
zranitelnost	266-89-B
zranitelny	266-184-B
zrast	5-802-B,5-854-B,7-874-B,42-2929-B,47-1815-B,103-2952-B,103-2974-B,257-468-B
zrat	72-3180-B,100-2438-B,104-2757-B
zratat	154-3282-B,248-1361-B,248-1477-B
zravy	265-2594-B
zraz	140-1955-B,140-2098-B,173-2308-B,182-395-B,194-1171-B,202-1263-B
zrazanie	42-2787-B,173-2439-B
zrazat	173-2390-B
zrazenina	42-1391-B,42-2810-B,173-2368-B,206-333-B
zrazit	47-2398-B,125-1274-B,125-1374-B,125-1433-B
zrazka	22-1173-B,41-324-B,44-174-B,48-1139-B,59-3462-B,66-2460-B,76-1311-B,77-64-B,113-1679-B,122-2588-B,186-1959-B,212-1468-B,216-1928-B,219-190-B
zrazky	173-2464-B
zrazu	212-2904-B,235-557-B
zrd	210-1025-B,210-2317-B,226-1265-B
zreb	133-1068-B,246-239-B
zrebcinec	233-609-B
zrebec	226-2859-B,233-596-B
zredukovat	186-1647-B
zrejme	14-1170-B,14-1258-B,19-2933-B,29-3147-B,41-1780-B,41-1961-B,41-2482-B,49-2066-B,79-3675-B,80-0-B,82-20-B,136-3402-B,136-3529-B,156-3035-B,156-3102-B,162-0-B,163-3025-B,163-3077-B,165-3471-B,165-3500-B,170-566-B,170-610-B,175-798-B,231-854-B,257-1860-B,258-1604-B
zrejmost	264-2844-B
zrejmy	14-1186-B,41-1793-B,49-2085-B,90-1032-B,136-3418-B,137-2818-B,156-3050-B,157-541-B,163-3041-B,231-877-B,257-1880-B,264-2936-B
zrekapitulovat	235-2519-B
zrelost	139-657-B,139-717-B
zrely	139-643-B,196-969-B
zretazenie	46-3997-B
zretel	16-3406-B,49-1164-B,108-318-B,187-1395-B,192-2581-B,268-897-B
zretelne	137-2867-B
zretelny	27-73-B,41-1807-B,41-1872-B,49-2105-B,68-1425-B,82-36-B,131-417-B,133-2769-B,137-2833-B,154-1053-B,156-3066-B,167-1256-B,168-857-B,170-579-B,207-3663-B,231-901-B
zrevidovat	262-2436-B
zriadenec	18-2194-B
zriadenie	49-2867-B,79-772-B,94-1810-B,187-1700-B
zriadit	49-2777-B,79-512-B,94-1731-B,118-136-B,209-945-B
zriadovatel	160-1570-B
zrieba	44-1093-B,92-46-B
zriect sa	66-1512-B
zriedenie	18-2548-B,65-1001-B,182-2548-B
zriedit	65-948-B
zriedka	116-2684-B,182-2587-B,206-2840-B,222-2047-B
zriedkakedy	182-2602-B,206-2855-B
zriedkavost	182-2653-B
zriedkavy	116-2662-B,182-2532-B
zriedlo	94-2050-B,94-2151-B,222-387-B,225-820-B,269-205-B
zrieknutie sa	2-1275-B,2-3429-B,66-1576-B,190-58-B
zriet	196-996-B
zrkadlenie	143-2939-B,143-3019-B,186-3563-B,186-3705-B
zrkadlit	143-2957-B,186-3395-B
zrkadlo	100-490-B,132-3175-B,132-3197-B,143-2974-B
zrkadlovy obraz	143-2989-B
zrnenie	102-1559-B
zrnit	102-1542-B
zrnitost	102-1520-B
zrnity	102-614-B,102-1503-B
zrnko	102-572-B,122-2604-B
zrno	52-58-B,102-584-B,124-1139-B,206-1324-B
zrod	25-966-B,98-2535-B
zrodenie	98-2728-B,150-803-B,150-1720-B
zrovnanie	185-2021-B
zrovnat	10-1118-B,45-2744-B,48-1607-B,78-1754-B,79-2730-B,129-1291-B,138-2500-B,160-1481-B,185-1878-B,231-728-B
zrozumitelne	46-2836-B,118-2212-B,168-880-B,255-3192-B
zrozumitelnost	118-2151-B
zrozumitelny	41-1824-B,46-2806-B,102-1919-B,118-2184-B,133-2786-B
zrub	132-1747-B
zrucanina	2-93-B,198-1455-B
zrucat	61-3609-B
zrucnost	2-3095-B,5-3834-B,7-208-B,8-282-B,15-1581-B,16-1529-B,53-2892-B,53-3036-B,64-1602-B,81-3380-B,83-1210-B,105-2795-B,125-575-B,128-2559-B,216-1119-B,217-1739-B,272-2423-B
zrucny	8-266-B,81-3346-B,106-18-B,216-1032-B,216-1227-B,216-1326-B
zruinovat	198-1439-B
zrusenie	2-2038-B,2-2118-B,3-96-B,3-141-B,3-1371-B,13-648-B,33-2173-B,61-866-B,66-3895-B,68-798-B,114-2872-B,131-493-B,190-1204-B,191-2807-B,194-21-B,194-1935-B,194-3294-B,214-1798-B,265-1656-B
zruseny	114-2850-B,256-444-B
zrusil	2-1939-B,3-1353-B,33-2035-B
zrusit	2-1814-B,3-54-B,3-359-B,3-1335-B,13-576-B,28-3128-B,33-1962-B,42-1038-B,53-23-B,60-751-B,66-1031-B,68-884-B,82-2576-B,119-3556-B,130-40-B,131-450-B,154-2963-B,162-2380-B,181-3217-B,190-1221-B,191-2748-B,193-3848-B,194-2183-B,194-3331-B,209-612-B,236-3889-B,256-413-B,265-1599-B
zrusitelny	60-555-B
zrut	100-2405-B
zrutenie	29-291-B,43-2838-B,43-2900-B
zrutit sa	28-3022-B,43-2857-B,94-1952-B
zrychlenie	4-981-B
zrychleny	4-878-B
zrychlit	4-831-B,29-2891-B,93-454-B,111-2751-B,111-2768-B,180-2407-B,223-810-B
zrychlovat	4-853-B
zub	43-1387-B,152-1734-B,248-77-B
zubac	274-2169-B
zubar	62-927-B
zubaty	181-2205-B,248-117-B
zubkovany	121-1170-B,208-3189-B,208-3209-B,248-133-B
zubkovat	121-1116-B
zubny	62-875-B
zubny kamen	240-3065-B
zubny lekar	62-905-B
zubok	62-889-B,131-1858-B,248-87-B
zucastnit sa	165-799-B
zuctovanie	5-572-B,41-2191-B,41-2342-B,180-2852-B,185-844-B,209-2184-B,213-1291-B
zuctovat	185-786-B
zufalstvo	63-2225-B,63-2354-B
