kolar	269-2093-B
koleda	35-1385-B
kolednik	35-1398-B
kolega	43-3125-B,86-1434-B,138-2789-B,159-2750-B
kolegium	44-0-B
kolegyna	43-3142-B
kolekcia	17-2471-B,43-3353-B,46-134-B,209-215-B
kolektiv	220-1752-B
kolektivita	43-3557-B
kolektivizacia	43-3582-B
kolektivizovat	43-3615-B
kolektivny	43-3489-B
kolektor	43-3644-B
koleno	74-1248-B,98-2100-B,125-806-B
kolesa	24-2397-B,43-264-B,43-2237-B,43-2250-B,198-115-B,269-2078-B
koleso	269-1905-B
koliba	37-3288-B
kolibrik	111-1807-B
kolidovat	41-277-B
koliesko	196-164-B
kolik	166-2940-B,169-1776-B,226-2310-B,229-824-B
kolika	43-2603-B
kolisanie	70-3342-B,91-1953-B,160-2836-B,226-1609-B,238-1982-B,238-2065-B,260-2360-B,271-3183-B
kolisat	84-1555-B,91-28-B,91-1933-B,160-2716-B,169-2837-B,182-1183-B,196-2888-B,197-377-B,206-1959-B,226-1628-B,238-1999-B,260-2322-B,261-2838-B,263-1238-B
kolisat sa	196-2903-B,238-342-B
kolisavost	258-1093-B
kolisavy	210-1477-B,254-3866-B,258-942-B,261-1582-B
koliska	53-2768-B
kolizia	41-294-B,44-155-B
kolko	111-478-B,111-494-B
kolky	152-2417-B
kolmica	167-3422-B,262-3357-B
kolmo	259-1049-B
kolmy	153-2532-B,167-3444-B,211-1687-B,225-2519-B,259-1063-B,262-3374-B
kolna	161-1324-B,211-1299-B
kolo	126-2014-B,197-2623-B
kolobeh	56-2442-B
kolobezka	203-1226-B
kolofonia	44-539-B
kolok	226-3135-B
kolona	44-1125-B,51-1986-B,90-1976-B,249-1246-B
kolonada	44-481-B
kolonia	44-523-B
kolonialny	44-397-B
kolonista	44-418-B,209-2130-B
kolonizacia	44-455-B,209-1819-B
kolorit	44-826-B
kolos	44-752-B,146-1535-B
kolosalny	44-713-B
kolotoc	35-1450-B,141-2513-B,197-2968-B
kolporter	44-1071-B
koma	44-1180-B
komar	100-2636-B,142-1803-B,147-427-B
kombajn	106-2965-B
kombinacia	44-1305-B,44-1374-B
kombinacny	44-1399-B
kombinat	44-1472-B
kombinatorika	44-1424-B
kombineza	162-422-B
kombinovany	44-1509-B,48-2801-B
kombinovat	44-1452-B
komedia	44-2610-B
komediant	44-2576-B
komentar	45-164-B,45-216-B,156-1385-B,189-693-B
komentovat	12-3510-B,45-144-B
komercny	45-286-B
kometa	44-2684-B
komfort	11-2497-B
komickost	44-3042-B
komicky	44-2949-B,44-2991-B,96-1065-B,180-3338-B
komik	44-2595-B,44-2964-B,77-2936-B
komin	39-2323-B,219-1190-B,226-1017-B
komisar	45-460-B,45-736-B
komisia	26-2327-B,45-479-B,45-781-B,45-1036-B
komisionar	30-72-B,83-1535-B
komora	37-3620-B,55-2107-B,126-2298-B,164-1343-B,197-1138-B,226-2693-B
komornik	260-3252-B
kompa	181-1900-B
kompaktnost	45-2312-B
kompaktny	45-2258-B
kompas	45-2996-B
kompatibilita	45-3081-B
kompenzacia	45-3501-B,157-3081-B,186-556-B
kompenzator	45-3673-B
kompenzovat	45-3318-B,157-3061-B,186-216-B
kompetencia	45-3806-B,45-3923-B,179-1471-B
kompetentny	45-3997-B
kompilovat	46-220-B
komplement	46-696-B
komplet	209-228-B
kompletne	46-1123-B,248-1598-B
kompletny	39-2973-B,46-883-B,77-3318-B,254-1571-B
komplex	46-1222-B
komplexnost	46-1358-B
komplexny	46-1238-B,46-2966-B
komplikovany	46-1469-B,56-3082-B,74-991-B,119-2346-B
komplikovat	46-1445-B,120-974-B
kompliment	46-1568-B
komponent	46-1772-B
komponovat	46-1941-B
kompost	46-2362-B
kompot	46-2417-B,95-2625-B,201-608-B,229-768-B
kompoyicia	20-214-B,22-2984-B,46-2169-B,149-464-B
kompozicia	46-2193-B,149-482-B
kompresia	46-3140-B,46-3355-B
kompresor	46-3448-B
komprimovat	46-3159-B
kompromis	46-3609-B,99-3115-B,249-732-B
kompromitovat	46-3630-B
komuna	45-1632-B
komunalny	45-1536-B
komunikacia	45-1835-B,45-1932-B
komunikacny	45-1807-B
komunikovat	45-1690-B
komunista	45-2008-B
komunizmus	45-1987-B
komutativny	45-2131-B
komutator	45-2156-B
kon	35-2758-S,78-1980-B,110-2359-B,110-2484-B,147-2685-B,163-2641-S,181-343-S
kona	167-2384-B
konak	28-1865-B
