a	12-2319-B
aktualizacia	6-1403-B,6-1515-B,259-237-B,259-274-B,259-296-B,259-341-B,259-398-B,259-421-B
aktualizovat	259-216-B,259-319-B
aktualne	56-399-B
aktualnost	248-491-B
aktualny	6-1281-B,56-297-B,131-1982-B,205-652-B,246-2216-B,248-473-B,258-3855-B,258-3958-B,259-174-B
akty	69-3170-B,69-3201-B
akumulacia	5-1073-B,230-2091-B
akumulator	5-1282-B,22-1107-B,230-2303-B
akumulovat	5-891-B,5-958-B,230-2356-B,230-2490-B
akupunktura	6-1907-B
akurat	80-479-B,123-2576-B
akuratny	5-1409-B
akusticky	5-3228-B,18-3594-B
akustika	5-3305-B
akutnost	6-2070-B
akutny	6-1932-B
akuzativ	5-1654-B
akvarel	268-22-B
akvarium	15-1600-B,265-644-B
aky	269-1680-B,269-2582-B
akykolvek	13-3306-B
akysi	2-30-B,12-694-B,221-778-B
album	10-167-B
alchymia	10-198-B
ale	31-1826-B,80-1816-B,158-2443-B,229-1906-B,245-71-B,274-665-B
alebo	159-3528-B,159-3552-B
alegoria	10-2039-B
alegoricky	10-1993-B,10-2015-B
alej	19-2410-B
aleja	10-2176-B
alergia	10-2078-B,112-1931-B
alergicky	10-2058-B
alfa	11-150-B
algebra	10-506-B
algebraicky	10-522-B
algoritmicky	10-566-B
algoritmus	10-545-B
alkalicky	10-1177-B
alkohol	10-216-B,123-1385-B,223-2658-B,223-3007-B,247-190-B
alkoholicky	10-245-B
alkoholik	10-268-B
alkoholizmus	10-288-B
alkyl	10-1236-B
almanach	10-3270-B
almuzna	10-3380-B
alokacia	10-2465-B
alpsky	11-222-B
alpy	11-237-B
alt	11-969-B,53-203-B
altan	15-1841-B,97-2011-B,235-2794-B,235-2814-B
alternativa	11-727-B
alternativny	11-490-B,11-752-B
alternator	11-801-B
alternovany	11-572-B
alternujuci	11-618-B
altruista	11-1035-B
altruisticky	11-1054-B,11-1079-B
aluminium	11-1166-B
aluminotermia	11-1138-B
alzbeta	1-1100-B
amalgam	11-1266-B
amater	11-1336-B,56-2877-B
amatersky	11-1352-B,11-1406-B,65-789-B
ambicia	11-1881-B
ambra	11-1650-B
ambroziovy	11-1998-B,11-2021-B
ambulancia	11-2044-B,75-2116-B
ambulantny	11-2083-B
ambulantny pacient	161-2319-B
ameba	11-2153-B,11-3152-B,11-3166-B
amen	11-2233-B
americanka	1-298-B
americky	1-279-B,2-13-B
amerika	11-2585-B,273-2619-B
amerikanizuje	1-319-B
ametyst	11-2601-B
ametystovy	11-2618-B
amfibol	110-1969-B
amfiteater	12-25-B
amfora	12-50-B,169-2891-B
amid	11-2818-B
amin	11-2876-B
aminokyselina	11-2888-B
amnestia	11-3119-B
amok	11-3181-B,12-503-B
amoniak	11-3003-B
amoniakovy	11-3035-B,11-3056-B
amortizacia	11-3265-B,186-532-B
amortizovany	273-2073-B
amortizovat	11-3243-B,11-3291-B,186-196-B
amper	11-3431-B,11-3457-B
amperhodina	11-3471-B
ampermeter	11-2969-B
ampersekunda	11-3496-B
amperzavit	11-3524-B
amplion	240-2153-B
amplituda	12-360-B
ampulka	12-416-B,12-432-B,12-446-B,168-2476-B
amputacia	12-481-B
amputovat	12-461-B
amulet	12-514-B,168-3625-B,240-793-B
amylaza	12-677-B,64-2042-B
anachronicky	12-772-B
anachronizmus	12-724-B
anafora	12-1666-B
anaforicky	12-1683-B,12-1705-B
anagram	12-901-B
anakonda	12-800-B
analfabet	12-1203-B,112-3225-B
analgeticky	12-917-B
analgetikum	12-940-B
analogia	12-1170-B
analogicky	12-962-B,12-1000-B,12-1043-B,12-1067-B,12-1128-B,164-2089-B
analogovy	12-981-B,12-1149-B
analy	13-3919-B,14-0-B
analyticka	12-1395-B
analyticky	12-1375-B,12-1416-B,12-1437-B,12-1459-B,12-1482-B
analytik	12-1358-B,17-425-B
analytika	12-1506-B
analyza	12-1324-B,29-181-B,243-1901-B
analyzator	12-1285-B,12-1600-B
analyzovany	12-1263-B
analyzovat	12-1224-B,12-1526-B,59-1608-B,165-197-B
analyzy	12-1306-B
anamneza	12-1621-B
anamorfoza	12-1641-B
ananas	169-2032-B
anarchia	12-1848-B
anarchicky	12-1731-B
anarchista	12-1800-B
anarchisticky	12-1752-B,12-1821-B
anarchizmus	12-1778-B
anatomia	12-1972-B
anatomicky	12-1904-B,12-1925-B,12-1948-B
andezit	12-2345-B
andsky	1-346-B
andulka	30-1364-B,30-1414-B
anekdota	12-2385-B,122-1991-B
anekdoticky	12-2362-B,12-2403-B,12-2426-B
anemia	12-818-B,12-2451-B
anemicky	12-2487-B,82-1521-B
anestetikum	12-877-B,12-2524-B
anexia	12-3281-B
angazman	76-3749-B
angazovany	45-1013-B,76-3603-B
angina	12-2665-B,180-2933-B,247-2880-B,247-2899-B
anginovy	12-2680-B
anglican	29-2983-B,77-355-B,77-375-B,77-393-B,130-2099-B
anglicanka	77-414-B
anglicko	1-1119-B,77-338-B
anglicky	1-361-B,1-1136-B,1-1153-B
anglictina	1-1171-B,1-1191-B
anglikan	1-380-B
anglistika	1-399-B
angloamericky	1-421-B
anglofil	1-475-B,1-494-B
anglosasky	1-451-B
angolsky	1-514-B
ani	74-801-B,79-2465-B,151-2879-B,153-2498-B
anilin	12-2880-B
animacia	12-3027-B
animator	12-3047-B
animovany	12-2988-B
anion	12-3124-B
aniz	12-3137-B
anjel	12-2579-B,208-2354-B,208-2386-B
anjelik	39-959-B
anjelsky	208-2367-B
anketa	117-1057-B,171-2725-B
ano	20-105-B,20-112-B,180-3122-B,273-3002-B,273-3010-B,273-3019-B,274-595-B,274-1058-B,274-2133-B
ano hej	273-3028-B,274-582-B,274-603-B,274-2141-B
anoda	13-745-B
anomalia	2-2576-B,2-3626-B,13-758-B,13-905-B
anomalny	13-778-B
anonym	13-947-B
anonymita	13-961-B
anonymny	13-981-B,83-919-B
anorganicky	117-814-B
anotacia	12-3531-B
antagonista	13-1375-B
antagonisticky	13-1398-B,159-2479-B
antapex	14-459-B
antarkticky	13-1452-B
antedatovat	20-1073-B
antena	8-1983-B,13-1669-B,13-1701-B
antibioticky	13-2032-B
antibiotikum	13-2057-B
anticastica	13-2685-B
anticky	12-2157-B,13-2871-B
anticyklona	13-2450-B
antifasista	13-2006-B,13-2493-B
antiferomagnetizmus	13-2518-B
antihmota	13-2610-B
antika	13-2436-B,13-2931-B
antiklinala	13-2300-B
antikomunista	13-2376-B
antikomunisticky	13-2404-B
antikrist	1-532-B,13-2111-B
antikvariat	13-2768-B,205-1902-B
antilogaritmus	13-2581-B
antilopa	13-1651-B
antimon	13-2631-B,13-2648-B
antipatia	13-2711-B
antipatie	13-2731-B
antireflexny	13-2557-B,153-1458-B
antirezonancia	13-3008-B
antisemita	13-1928-B
antisemitizmus	13-3063-B
antisemitsky	13-1951-B,13-3037-B
antisepticky	13-3091-B
antiseptikum	13-3116-B
antistaticky	13-3146-B
antologia	13-1823-B
antracit	13-1861-B,106-1452-B
antrax	13-1881-B
antropologicky	13-1896-B
antuka	41-1037-B
antukovy	41-1049-B
anuita	13-513-B
anuloid	248-716-B
anulovanie	190-1169-B,265-1613-B
anulovany	33-2015-B,119-3576-B,154-2924-B,191-2765-B,194-2200-B
anulovat	3-16-B,3-1295-B,13-560-B,33-1823-B,52-3745-B,60-580-B,65-3448-B,119-3513-B,154-2945-B,162-2361-B,180-1620-B,191-2713-B,193-3813-B,265-1449-B
apanaz	10-2871-B,14-43-B,14-106-B,14-947-B
aparat	14-985-B,96-2418-B,134-1852-B,134-2081-B,209-179-B
aparatura	64-992-B,117-3037-B,170-1069-B
aparaty	113-2036-B,129-844-B,230-902-B
apartman	14-965-B,14-2362-B,64-1010-B,235-2063-B
apatia	14-253-B,126-1854-B,129-867-B
apaticky	14-233-B,113-1997-B,117-1548-B,129-824-B,131-1046-B,230-832-B
apatit	14-289-B
apendix	14-1946-B
aperiodicky	14-364-B
aperitiv	14-387-B,14-406-B,14-2186-B,14-2206-B
aplauz	40-3467-B,170-1651-B
aplikacia	7-2663-B,14-2586-B,14-2726-B,259-3109-B
aplikovane	14-2798-B
aplikovany	14-2775-B,14-2818-B
aplikovat	14-2857-B
apofyza	14-720-B
aportovat	194-363-B
apostol	14-757-B
apostolsky	14-774-B
apostrof	14-797-B
april	1-553-B
aproximacia	15-1277-B
ar	15-2749-B
aranzma	16-489-B
arasid	166-1800-B
arasidovy	166-1815-B
archaicky	15-2061-B
archanjel	15-2118-B
archeologia	15-2036-B,15-2233-B
archeologicky	15-1978-B,15-2006-B,15-2177-B,15-2204-B
architekt	15-2276-B
architektonicky	15-2316-B
architektura	15-2347-B
archiv	15-2421-B,15-2437-B
archivacia	15-2454-B
archivovat	15-2401-B
arcibiskup	15-2138-B
arena	196-130-B
arenda	128-1081-B
aretacia	16-964-B
argentina	1-566-B
argon	15-2934-B
argument	15-3107-B
argumentovat	15-2947-B
aria	15-3231-B
aristokracia	153-0-B
aristokraticky	153-156-B
aritmeticky	15-3436-B,15-3482-B
aritmetika	15-3460-B
arkticky	15-2531-B
armada	16-105-B,142-2704-B
armadny	142-2721-B
armatura	15-3611-B,89-2119-B
arogancia	16-1188-B,111-732-B
arogantny	16-1296-B,162-497-B,219-1836-B,259-995-B
aroma	16-130-B,90-1475-B,90-1520-B,90-1617-B,157-1259-B,188-3806-B,219-395-B,223-1716-B
aromaticky	157-1215-B,157-1239-B
artikel	16-1636-B,45-1131-B
artikulacia	16-1774-B
artikulovany	16-1704-B
artikulovat	16-1729-B
artista	16-2041-B
arzen	16-1432-B
arzenal	16-1397-B,160-1045-B
asanacia	200-2200-B
asanovat	59-1928-B
asfalt	16-3471-B,240-2547-B
asfaltovat	16-3486-B
asi	3-486-B,221-790-B
asimilovat	17-1722-B
asistencia	17-1840-B
asistent	17-1898-B
asistovat	17-1770-B
asketicky	16-2754-B
asociacia	17-2157-B,86-1723-B
asociativny	17-2312-B
asociovany	17-2088-B
asparagus	16-3208-B,16-3265-B
aspekt	16-3291-B
aspik	16-3525-B,121-2584-B
aspirin	17-117-B
aspon	18-332-B,128-1156-B,128-1173-B
assembler	17-627-B
asteroid	17-3138-B
astigmaticky	17-3210-B
astigmatizmus	17-3235-B
astma	17-3156-B
astmaticky	17-3169-B
astmatik	17-3191-B
astrolog	17-3496-B,135-690-B
astrologia	17-3544-B
astrologicky	17-3517-B
astronaut	17-3566-B,52-2324-B
astronavigacia	17-3606-B,37-975-B
astronom	17-3638-B
astronomia	17-3711-B
astronomicky	17-3659-B,17-3684-B
asymetria	17-3881-B
asymetricky	17-3808-B,17-3855-B,216-673-B
asynchronny	17-3901-B
atd	79-1250-B,79-1259-B
ateista	18-832-B,116-1465-B
ateisticky	18-848-B,18-870-B
atelier	18-815-B,233-825-B
atentat	17-236-B
atentatnik	17-177-B
atest	18-2606-B,37-2530-B
atestacia	18-2670-B
atlas	18-1058-B,200-3203-B
atlet	18-894-B
atleti	18-928-B
atleticky	18-945-B,249-370-B,249-419-B
atletika	18-1007-B
atmosfera	11-1666-B,18-1070-B,86-641-B,169-3220-B
atmosfericky	18-1113-B,18-1139-B,18-1166-B
atol	18-1195-B
atom	18-1206-B
atomizovat	18-1287-B
atomovy	18-1217-B,154-2488-B
atomy	18-1329-B
atrakcia	18-2980-B,223-41-B
atraktivne	18-3206-B
atraktivny	18-3064-B,134-849-B,170-2595-B
atrament	117-158-B
atramentovy	117-206-B
atrapa	72-0-B,145-698-B
atribut	18-3285-B,180-775-B
atritida	16-1616-B
atrium	18-1384-B
atypicky	18-3428-B
audiencia	18-3651-B
audiometer	18-3755-B
audiovizualny	18-3777-B
audit	18-3804-B
auditor	19-55-B
august	1-598-B
aukcia	18-3468-B,178-1029-B,199-2963-B
australia	1-612-B
australsky	1-633-B,19-593-B
autenticky	19-652-B,98-3222-B,178-1469-B,178-1791-B,262-2518-B
auto	19-1344-B,19-1801-B,34-2469-B,147-1545-B
autoalarm	34-2546-B
