pohryznutie	25-1324-B
polcas	105-1340-B,105-1396-B
pole	6-48-B,69-2007-B,87-919-B,187-1822-B,203-1303-B,222-1450-B,223-1591-B
polemicky	50-3967-B
poleno	132-1667-B
polepsovna	187-104-B
poletovat	90-3233-B
poleva	43-113-B,100-610-B,201-637-B,248-587-B,261-2804-B
poliat	223-1960-B
polica	181-578-B,211-2143-B
policajny	171-2257-B
policajny dostojnik	171-2291-B
policajt	51-2913-B,51-3064-B,157-2751-B,204-98-B
policia	49-2221-B,171-2275-B
policka	128-1872-B,211-2156-B
polievat	267-3101-B
polievka	30-328-B,222-226-B
politicky	171-2609-B,171-2630-B
politik	171-2652-B
politika	171-2344-B,171-2695-B
politizovat	171-2671-B
politura	171-2439-B
polka	105-1050-B,171-2713-B
polkruh	207-2037-B
polkruhovy	207-2080-B
polkruznica	207-2056-B
pollitrak	252-1788-B
polmesacny	207-1991-B
polmesiac	54-2064-B,105-1358-B
polnica	30-1646-B,41-243-B
polnoc	142-1854-B
polnocny	142-1870-B
polnohospodar	85-0-B
polnohospodarsky	9-151-B,9-1799-B,9-2108-B,9-2140-B,9-2226-B,9-2280-B,84-3364-B
polnohospodarstvo	9-2171-B,9-2311-B,85-93-B,111-2981-B
polny	87-930-B
poloboh	61-3220-B
polodrahokam	98-1314-B
pologula	108-1182-B
poloha	127-2220-B,132-380-B,172-1379-B,215-2873-B,215-3069-B,227-394-B
polomer	181-1447-B,181-1782-B
polopenzia	105-1123-B
polosamohlaska	207-2227-B
polostrov	167-258-B
polotien	167-666-B
polotma	253-1906-B
polovacka	111-2335-B,212-1902-B
polovat	111-2352-B
polovica	105-1061-B,142-1537-B,145-2123-B
polovicatost	105-1291-B
polovicaty	105-1239-B
polovicny	105-1089-B
polovina	105-1075-B
polovnik	111-2461-B,121-1057-B
polovny pes	110-3283-B
polovodic	207-2128-B
polovojensky	164-2605-B
polozeny	126-363-B,215-2992-B
polozit	62-2263-B,127-2231-B,127-2355-B,132-235-B,169-3281-B,179-2074-B,209-268-B
polozit sa	185-975-B
polozka	78-240-B,121-95-B
polpriamka	183-1956-B
polrocny	24-2130-B
polrok	243-219-B
polton	105-1378-B,105-1414-B,207-2210-B
poltopanka	212-1765-B
poludnajsi	142-1454-B
poludnie	142-1438-B,153-2399-B,153-2413-B,153-2430-B
poludnik	141-2101-B
poludnikovy	141-2177-B
polutovaniahodny	126-852-B,187-2956-B,199-1194-B,256-2883-B,271-3346-B
polutovanie	187-2757-B
polyester	171-2982-B
polyetylen	171-3002-B
polygamia	171-3027-B
polymerizacia	171-3089-B
polyp	171-3119-B
polyuretan	171-3156-B
pomada	102-3342-B,171-3181-B
pomahat	9-2442-B,17-1807-B,108-848-B,179-2488-B,188-3390-B
pomalost	218-1745-B,218-2020-B,240-2618-B
pomaly	126-1728-B,128-3373-B,133-2076-B,216-2443-B,218-1619-B,218-1631-B,218-1731-B,218-1942-B,240-2686-B
pomaranc	159-3721-B
pomarancovy	159-3738-B
pomatenost	134-411-B
pomateny	134-501-B,134-2495-B
pomazanie	255-1528-B
pomazanka	225-17-B
pomenovanie	62-567-B,149-3013-B,243-231-B,247-867-B
pomenovat	32-2924-B,149-3030-B,243-248-B
pomer	18-2807-B,48-3576-B,57-188-B,92-2559-B,177-778-B,183-12-B,183-610-B,188-1269-B,188-1480-B,227-161-B
pomerenie	185-1926-B
pomerit	185-1818-B
pomerne	45-2683-B,83-3214-B,183-289-B,184-1345-B,188-1711-B
pomernost	188-1801-B
pomerny	45-2636-B,188-1615-B
pomery	47-2640-B
pomiesat	143-1210-B,144-3328-B,203-2322-B,213-2621-B,229-3128-B
pominutelny	249-3497-B
pomlcka	1-0-B,57-2044-B,193-175-B
pomliazdenina	50-4138-B
pomliazdit	50-4117-B
pomnik	140-3666-B,146-1951-B
pomoc	9-2432-B,17-1881-B,20-1288-B,20-2628-B,108-822-B,188-3234-B,189-1134-B,234-3936-B,234-3983-B,236-3186-B
pomocit	269-1402-B
pomocka	9-2456-B,108-863-B,248-0-B
pomocnik	5-3166-B,17-1939-B,20-1164-B,108-833-B,108-905-B,108-1098-B,138-2838-B,205-1464-B,234-3997-B,236-3461-B
pomocny	12-2244-B,19-2091-B
pomocou	31-2472-B,65-1706-B,167-899-B,263-978-B,271-1971-B,271-1995-B
pomoct	9-2469-B,17-1824-B,108-877-B,188-3408-B,236-3200-B
pompa	163-1516-B,171-3196-B
pomsta	191-2663-B,194-285-B,194-1549-B,262-963-B
pomstit sa	19-2391-B
pomstivy	264-520-B,264-542-B
pomstychtivy	194-1580-B,264-563-B
pomyleny	144-2629-B
pomylit	48-1685-B,75-1752-B,77-1158-B,144-1422-B,170-702-B
pomyslenie	245-217-B
ponad	162-234-B
ponahlat	23-3172-B,106-3188-B,108-2922-B,110-3215-B,111-2698-B,111-3195-B,199-43-B,223-701-B
ponahlat sa	106-3167-B,106-3207-B,111-2716-B,111-3214-B,223-719-B
ponajprv	89-608-B
ponasat sa	191-3304-B
ponatie	47-635-B,47-732-B,154-1332-B
ponaucenie	129-307-B
pondelok	1-2108-B
ponechat	124-480-B,193-2530-B
ponevierat sa	106-177-B
ponik	171-3356-B
poniklovat	152-1780-B
ponizenie	2-1391-B,2-3128-B,58-1625-B,60-3774-B,111-1747-B,147-223-B
ponizeny	111-1454-B
ponizit	2-1334-B,58-1570-B,60-3863-B,61-3051-B,111-1473-B,111-1704-B,147-310-B
ponizovat	263-3232-B
ponizujuci	61-35-B
ponorenie	68-3282-B,113-1094-B
ponorit	61-2702-B,65-1816-B,68-3297-B,71-2452-B,113-1037-B,143-2836-B,215-2231-B,222-434-B
ponorit sa	113-1054-B
ponorka	233-2555-B,234-44-B
ponorny	234-62-B
ponoru	268-187-S
ponosovat sa	46-415-B
ponozka	220-1869-B
ponton	171-3329-B
ponuka	24-2426-B,24-2507-B,141-1082-B,146-282-B,157-2242-B,157-2407-B,157-2437-B,177-1028-B,177-1163-B,180-3472-B,236-2676-B,242-2168-B
ponukat	24-2437-B,157-2255-B,213-1023-B,242-2182-B,248-2615-B,259-2507-B
ponukat sa	220-2886-B
ponuknut	24-2451-B,99-2616-B,135-2496-B,157-2289-B,176-1073-B,177-1082-B,179-2510-B,180-3563-B
ponuknutie	157-2271-B
ponuky	157-2423-B
ponury	57-1711-B,100-1600-B
popalenina	31-614-B,201-2963-B
popalit	31-631-B,204-3221-B,215-1455-B
popevok	68-3200-B
popierat	37-3485-B,50-2782-B,50-4031-B,62-1031-B,66-1493-B,96-2950-B,151-1126-B
popijat	215-2459-B,247-235-B
popis	5-85-B,63-550-B
popisat	63-478-B,169-459-B,255-3615-B,273-1660-B
poplach	10-14-B,10-416-B,247-1450-B
poplatnik	183-226-B,241-986-B
poplatny	251-728-B
poplatok	17-1164-B,38-1751-B,72-1087-B,86-90-B,88-1552-B,113-3939-B,130-2972-B,190-298-B,198-698-B,203-1860-B,234-705-B,240-2837-B,241-791-B,247-2252-B,251-806-B
poplaz	198-2645-B
popleteny	202-1476-B
popliest	48-1703-B,144-3343-B,144-3446-B,148-1510-B,155-2058-B
popohanat	101-544-B
popohnat	225-1470-B
popol	16-2844-B,16-2873-B,40-1094-B
popolavy	102-3145-B,103-869-B
popoludni	172-2316-B
popoludnie	9-76-B
poprasit	72-849-B,225-919-B
poprava	80-3743-B
popravisko	201-2832-B
popravit	80-3506-B
popredie	93-1093-B
popredny	176-2791-B
poprenie	50-2851-B,62-407-B,66-679-B,187-1068-B
popretie	151-1161-B,151-1273-B
popri	31-2483-B
popriat	271-1428-B
popriet	62-1046-B,66-662-B,96-2968-B,184-2391-B,187-1111-B
poprosit	16-2955-B,191-1846-B,235-572-B
poprsie	27-2261-B,31-1659-B
popruh	231-2330-B
poprvy	89-623-B,89-915-B,92-3007-B
popucit	138-951-B
popud	114-1463-B,145-3452-B,147-1388-B,184-1152-B,225-553-B,225-1485-B,229-2527-B
popudlivy	120-1314-B,207-3931-B,267-2331-B
populacia	172-571-B
popularita	85-2263-B,265-1285-B
popularizacia	172-428-B
popularizovat	172-458-B
popularny	172-373-B
popustit	2-1621-B,129-630-B,133-219-B
por	172-681-B
porada	47-3849-B,49-3962-B,52-2977-B,61-1090-B,209-74-B
poradca	8-1761-B,8-1791-B,49-3917-B,52-3049-B,52-3068-B,220-2992-S
poradenstvo	49-3871-B,52-3005-B,104-1302-B
poradie	131-694-B,160-422-B,182-1543-B,208-2027-B,208-2091-B,234-3625-B,253-290-B
poradit	8-1569-B,8-1731-B,185-1559-B
poradit sa	49-3814-B
poradna	49-4004-B
poradny	8-1807-B,49-3982-B,61-1202-B
poradovnik	266-1228-B
poradovy	208-2623-B
poranenie	273-146-B
poranit	111-2801-B,116-3984-B,157-1750-B
porast	103-448-B,103-3161-B,255-1994-B
porazat	217-540-B
porazenec	60-829-B
porazenectvo	60-786-B
porazeny	133-801-B
porazit	41-1264-B,60-597-B,86-1312-B,125-1354-B,125-1490-B,179-2329-B,232-1504-B,245-2422-B,252-57-B,259-1600-B,261-1169-B
porazka	60-613-B,217-561-B
porcelan	39-2369-B,172-593-B
porcia	108-1020-B,172-1081-B,183-688-B
porekadlo	6-2253-B,201-2156-B,201-2503-B,208-193-B
porezanie	56-1400-B,114-4013-B,219-2842-B
porezat	56-1414-B,56-1989-B,152-1665-B
porezny	172-769-B
poriadne	24-2621-B,58-2991-B,71-2988-B,177-166-B,195-2011-B,198-83-B,251-1683-B
poriadny	58-2945-B,101-1660-B,160-771-B,177-40-B,192-2812-B,195-2026-B,216-95-B,244-3112-B,246-546-B
poriadok	124-2211-B,142-322-B,160-436-B,202-2487-S,239-1054-B,246-480-B,246-2314-S,251-1697-B
porik	128-2016-B
porisko	105-2982-B
poroba	217-794-B,245-753-B
porod	4-4093-B,39-1775-B,61-2483-B,165-1746-B
porodit	22-2637-B
porodnica	139-0-B
porodnictvo	142-2002-B,156-1996-B
porodnik	4-4113-B,156-1972-B
porodnost	25-1016-B,150-1056-B
porota	123-2511-B,164-708-B
porotca	123-2497-B,123-2523-B
porotkyna	123-2539-B
porovitost	172-747-B
porovity	37-1151-B,159-44-B,172-785-B
porovnanie	43-3104-B,45-2761-B,45-2806-B,45-2896-B,78-1770-B,138-2560-B
porovnat	45-2705-B,130-1610-B,138-2381-B
porovnatelny	45-2610-B,185-1790-B
porovnavaci	45-2657-B
porovnavanie	45-2782-B
porovnavat	20-2875-B,43-2980-B,45-2723-B,78-1734-B,130-1626-B,138-2397-B
porozpravat	38-2822-B
porozumenie	86-985-B,255-3413-B
porozumiet	15-71-B,15-278-B,36-2232-B,46-2940-B,86-1005-B,117-2218-B,206-2532-B,255-3439-B
portal	97-1472-B,172-878-B
portfolio	172-986-B
portikus	172-1024-B
portret	33-1025-B,130-1733-B,172-1201-B
porucha	4-2345-B,29-219-B,30-1615-B,60-891-B,62-3421-B,67-1782-B,68-2879-B,83-2366-B,85-1901-B,136-392-B,161-229-B,168-1289-B,251-3101-B
poruchovy	85-2024-B
porucik	129-2938-B
porucnictvo	104-1014-B,252-1017-B
porucnik	104-950-B
poruke	105-3419-B
porusenie	28-2501-B,50-3239-B,251-129-B,264-1011-B
poruseny	52-1809-B,52-1933-B,264-968-B
porusit	28-2753-B,63-2821-B,68-2747-B,116-2607-B,116-2726-B,157-1766-B,249-3352-B,264-836-B
poryv	104-2494-B,225-2324-B
posadit	205-820-B,215-2725-B
posadit sa	215-2738-B
posadka	54-2280-B,97-2557-B
posadnut	156-1762-B,172-1754-B
posadnutost	32-577-B,156-1822-B,172-1889-B
posadnuty	54-543-B,111-2149-B,124-282-B,156-1802-B,156-1845-B,172-1791-B
poschodie	22-1339-B,59-369-B,90-2724-B,91-852-B,91-959-B,163-2387-B,226-1499-B,230-2630-B,230-2953-B,246-1077-B
posekat	148-978-B
posepkat	270-218-B
posiela	172-2706-B,207-2723-B
posielat	207-2334-B
posila	94-362-B,188-424-B,188-3247-B
posilnenie	188-445-B
posilnit	28-1120-B,48-657-B,49-1781-B,94-424-B,118-2540-B,120-444-B,188-289-B,188-618-B,194-3036-B,231-3274-B,247-2705-B
posilnovat	120-465-B
posilnujuci	247-2796-B
posilovat	94-442-B,188-309-B,231-3141-B
poskakovanie	200-365-B,216-1703-B
poskakovat	26-2610-B,91-1216-B,110-1573-B,173-1570-B,216-1721-B,251-1855-B
poskladat	179-2892-B
poskocit	123-1610-B
poskodenie	57-357-B,60-906-B,68-451-B,85-1915-B,106-2214-B,117-31-B
poskodeny	57-455-B,106-2345-B,113-1775-B,235-855-B
poskodit	57-376-B,63-0-B,106-2231-B,111-2815-B,113-1740-B,116-4000-B
poskok	34-1717-B,230-1228-B
poskrabat	203-2777-B
poskvrnit	23-1376-B,25-2841-B,26-1170-B,60-1972-B,134-2436-B,219-801-B,224-2490-B,226-2013-B,235-2226-B,239-2787-B,240-2927-B
poskytnut	4-3739-B,7-2411-B,8-3286-B,10-2712-B,24-1306-B,96-1361-B,99-2632-B,102-1359-B,113-1858-B,128-3015-B,157-2306-B,174-1515-B,177-3277-B,189-3147-B,236-2709-B,274-803-B
poskytnutie	177-3610-B,236-2690-B
poskytovanie	236-2936-B
poskytovat	8-3305-B,10-2730-B,24-1325-B,99-2649-B,157-2324-B,174-1535-B,177-3297-B,189-3166-B,274-821-B
poslanec	62-3325-B,165-0-B
poslanie	45-516-B,144-2322-B,207-2670-B
poslat	61-2223-B,67-2247-B,172-2175-B,189-1748-B,207-2349-B,207-2489-B,212-913-B
posledny	88-635-B,127-57-B,127-881-B,127-1086-B,184-1001-B,184-3312-B,254-1025-B,254-1149-B
poslicek	141-3026-B
poslik	163-1532-B
posluchac	19-71-B,107-2251-B,131-925-B
posluchaci	18-3690-B
posluchacstvo	18-3712-B,91-868-B
poslucharen	19-129-B
posluchat	107-2151-B,131-823-B,131-860-B,131-882-B,155-1989-B,192-3436-B
posluchnut	155-2006-B
poslusne	155-1804-B
poslusnost	69-1110-B,155-1743-B,234-164-B
poslusny	69-1036-B,72-1037-B,101-1674-B,127-1780-B,136-2005-B,155-1784-B,249-517-B
posluzit	208-3427-B
posmech	99-1539-B,121-2356-B,122-409-B,145-389-B,145-510-B,195-1396-B,203-989-B,203-1769-B,219-2763-B
posmelovat	76-1394-B
posmeskar	121-2402-B,145-491-B
posmesny	62-3518-B,180-3357-B,219-2890-B,241-500-B
posmesok	99-1552-B,122-422-B,241-429-B
posmievat sa	121-2369-B,145-402-B,241-445-B
posmrkavat	219-2907-B
posmrtny	172-2538-B
posobenie	6-671-B,6-1124-B,6-1837-B,9-404-B,73-2388-B,96-509-B,96-660-B,113-1648-B,118-715-B,129-1416-B,159-1388-B
posobi	142-2793-B
posobit	6-398-B,6-1704-B,8-2353-B,36-3252-B,96-529-B,107-541-B,116-2066-B,142-2774-B,159-1018-B,183-2476-B,272-1504-B
posobivost	73-3141-B
posobivy	6-967-B,14-1435-B,73-2613-B,73-3068-B,93-621-B,114-761-B,223-138-B,241-3441-B
posobnost	6-1144-B,93-298-B,203-1329-B
posol	78-1095-B,108-1513-B,141-3010-B
posolstvo	62-3168-B,78-2990-B,141-2911-B,144-2339-B
pospevovat si	54-3108-B
pospinit	24-1085-B,60-1991-B,143-2850-B,219-305-B,219-1734-B,226-2031-B,235-2244-B
posraty	95-2956-B
post	85-775-B
posta	135-1020-B,135-1054-B,172-2202-B
postacit	235-980-B
postacujuci	12-127-B,201-0-B,235-1061-B
postar	35-1922-B,135-1032-B,135-1069-B,172-2625-B
postarsi	74-1289-B,158-885-B
postava	38-1292-B,87-2007-B,93-2666-B,210-2462-B,228-639-B
postavenie	75-3070-B,78-2752-B,92-2573-B,172-1395-B,182-1556-B,227-1363-B,228-118-B,228-703-B
postavit	29-2310-B,30-1676-B,49-3292-B,67-3182-B,78-2633-B,147-2790-B,159-2405-B,170-0-B,172-2806-B,179-2088-B,179-2533-B,179-3008-B,181-2894-B,182-1230-B,209-282-B,227-407-B,228-137-B
postavit sa	196-1070-B
postdatovat	172-2480-B
poste restante	98-1619-B
posteklit	246-288-B
postel	23-667-B,24-796-B,30-3145-B,217-1330-B,220-1910-B
postih	185-2982-B
postihnut	8-2314-B,8-2923-B,23-1162-B,36-2250-B,219-873-B,232-1186-B,264-3340-B
postihnuty	8-2995-B,105-2752-B
postipat	152-2561-B
postit sa	85-759-B
postoj	15-478-B,18-2822-B,172-1219-B,172-1415-B,228-155-B
postovy	172-2387-B
postovy urad	172-2341-B
postrach	243-1687-B
postradatelny	67-2400-B,81-2753-B
postranny	127-807-B,254-951-B
postrapatit	149-775-B,198-1296-B
postrasit	202-963-B,243-1491-B
postreh	6-1892-B,167-1296-B
postrek	224-3152-B
postrekovac	225-998-B
postrekovat	224-3166-B
postriebreny	215-199-B
postriebrit	215-144-B
postriekat	24-1153-B,223-3337-B,224-3185-B,225-940-B,226-397-B
postriezka	266-1047-B
postroj	106-2668-B
postup	8-508-B,137-1790-B,142-338-B,145-627-B,171-2360-B,173-1064-B,175-2760-B,175-3042-B,176-1883-B,176-1935-B,176-3097-B,196-1088-B,208-2108-B,241-2254-B,268-815-B,272-2095-B
postupit	8-523-B,64-1257-B,64-1276-B,94-934-B,101-18-B,135-2955-B,165-2155-B,176-1899-B,186-2621-B,188-2573-B,234-288-B
postupne	49-139-B,102-317-B,131-1691-B,176-2064-B,228-3133-B,229-23-B,234-3780-B
postupnost	160-451-B,176-1954-B,208-2124-B,234-3644-B
postupny	49-117-B,102-278-B,169-899-B,176-2017-B,197-866-B,208-2290-B,234-3759-B
postupovat	96-2750-B,175-2839-B
posudenie	7-1689-B,14-3490-B,117-936-B,185-1113-B
posudit	17-1030-B,49-849-B,123-488-B,180-680-B,194-2515-B
posudok	81-3362-B,123-609-B,159-2038-B,186-2868-B,190-2761-B,194-2481-B
posudzovat	7-1623-B,123-470-B,183-23-B,194-2496-B
posun	86-332-B,148-740-B,211-3104-B
posunok	147-1064-B,214-1598-B
posunovac	212-126-B,213-2774-B
posunovat	211-3116-B,213-2741-B,238-2273-B
posunut	148-469-B,178-439-B,211-3149-B,213-2758-B,217-2438-B,246-1645-B,250-207-B
posunutie	67-2665-B,211-3133-B
posuv	86-343-B,148-755-B,211-3165-B
posuvanie	211-3177-B
posuvat	86-354-B,148-484-B
posva	23-425-B,55-3021-B,133-1649-B,179-1974-B,201-2606-B,211-1064-B,260-2668-B
posvatit	105-1587-B,200-1364-B
posvatnost	199-972-B,199-2670-B,200-1544-B
posvatny	199-939-B,199-2615-B
posypat	91-1286-B,202-1323-B,225-961-B,232-657-B
pot	168-908-B,238-482-B
potacat sa	226-1685-B
potah	83-1314-B,137-863-B,211-1979-B,216-1521-B
potahovanie	43-143-B
potahovat	211-1112-B,252-2155-B
potajme	205-2570-B
potapac	65-2004-B,68-3346-B,95-1845-B,204-1533-B
potapacsky oblek	69-132-B
potapacsky zvon	69-101-B
potapanie	69-83-B
potapat sa	68-3328-B
potapka	56-2910-B,65-2021-B
potas	172-3000-B
potebovat	151-699-B,191-2077-B,266-2974-B
potencia	172-3171-B
potencial	172-3311-B,242-3132-B
potencialny	172-3332-B
