do	92-2795-B,119-1962-B,158-2692-B,246-1477-S,246-1489-B,247-995-B,248-2719-B,248-2774-B,258-1950-B
do dazda	134-1634-S,181-2707-S
do riti	57-566-B,57-582-B
do rozpakov	75-707-S
do stredu	119-1978-B
do vysluzby	193-3495-S
doba	9-253-B,57-2453-B,167-2613-B,222-974-B,223-961-B,232-2594-B,243-126-B,246-1906-B
doba kvitnutia	73-3412-B
dobat	166-2035-B
dobiedzat	241-1814-B
dobierka	1-749-B,36-215-B,163-1646-B
dobit	185-146-B
dobra	101-1593-B,158-620-B
dobre	1-2261-B,1-2272-B,10-1522-B,11-274-B,88-1442-B,101-1571-B,152-1461-B,158-600-B,158-609-B,195-1834-B,195-2611-B,269-58-B,269-411-B
dobre vybaveny	269-219-B
dobre vychovany	269-332-B,269-667-B
dobro	101-1582-B,269-69-B
dobrocinnost	10-3394-B,24-175-B,24-202-B,24-502-B,38-2065-B,168-2540-B
dobrocinny	24-254-B,38-2020-B,168-2513-B
dobrodenie	24-346-B
dobrodruh	8-1057-B
dobrodruzny	8-1102-B
dobrodruzstvo	8-1032-B
dobromyselny	101-1947-B
dobropis	54-1590-B
dobroprajnik	269-952-B
dobrosrdecny	124-2432-B
dobrota	101-2108-B,124-2719-B
dobrotka	101-2214-B
dobrovolnik	265-2349-B
dobrovolny	95-168-B,207-574-B,265-2285-B
dobrucky	274-2101-B
dobry	101-1605-B,122-3003-B,152-1226-B,220-712-B,269-80-B
dobry vecer	101-1811-B
dobyt	34-2214-B,48-3784-B,162-2522-B,239-3360-B
dobytie	48-3892-B,206-2732-B
dobytok	1-2648-B,36-3049-B,124-2873-B,131-2422-B,230-254-B
dobyvanie	143-1576-B
dobyvat	82-2891-B,143-904-B,272-1432-B
dobyvatel	48-3853-B
docahovat	183-2279-B
docasne	175-2367-B,175-2384-B,177-3746-B,242-881-B
docasny	135-3271-B,177-3700-B,242-902-B
docent	128-1820-B
dochadza	18-1958-B,44-2415-B
dochadzka	18-2050-B
dochodca	13-493-B,167-529-B,167-550-B,193-3456-B
dochodkovy	167-504-B
dochodok	13-528-B,115-512-B,167-450-B,193-3474-B,194-1605-B,229-2921-B
dochvilny	178-2867-B
dociahnut	183-2297-B
docielit	156-2467-B,183-2154-B,203-1465-B
docitat	88-2115-B
dodal	61-2358-B
dodanie	61-2374-B,175-3687-B
dodat	6-2763-B,6-2939-B,61-2115-B,96-1346-B,177-3209-B,218-299-B,233-3210-B,236-2559-B,247-1201-B,248-1310-B
dodatkovy	6-3361-B,6-3526-B,236-2272-B
dodatocne	6-3502-B,114-1708-B,234-855-B
dodatocny	4-2111-B,6-3383-B,8-3684-B,82-2775-B,234-1139-B,236-2247-B,236-2297-B
dodatok	6-3089-B,6-3191-B,7-1778-B,11-2393-B,14-1963-B,14-2017-B,43-826-B,76-2507-B,172-2720-B,195-1312-B,233-2609-B,236-2146-B,236-2544-B
dodava	236-2505-B
dodavat	6-2774-B,61-2130-B,177-3224-B,236-2573-B
dodavatel	29-2791-B,36-2743-B,50-2648-B,177-3496-B,179-1450-B,236-2461-B
dodavka	61-2391-B,236-2590-B
dodrzat	2-2764-B
dodrziavanie	7-663-B,156-1217-B
dodrziavat	7-590-B,124-384-B,156-1504-B
dogma	242-2589-B
dohad	48-2663-B,104-1128-B,244-532-B
dohadovanie	15-3050-B,105-571-B,163-2442-B
dohadovat sa	21-2197-B
dohadzovac	30-53-B,122-844-B,138-2694-B
dohasinat	90-2666-B
dohlad	35-56-B,50-3552-B,50-3944-B,83-194-B,214-1223-B,236-1847-B,237-1884-B,263-2201-B,264-2986-B
dohladnost	264-2795-B
dohnat	71-455-B,113-2405-B
dohoda	4-2935-B,4-3710-B,9-2005-B,16-511-B,45-2228-B,46-3591-B,50-2472-B,51-250-B,58-791-B,77-2513-B,209-1801-B,250-3207-B,255-3269-B
dohodit	175-3579-B
dohodnut	9-1827-B,47-1308-B,89-436-B,151-1903-B,209-1284-B
dohodnut sa	9-1844-B,209-1302-B,209-1598-B
dohodnute	9-1987-B
dohodnuty	51-354-B
dohonit	36-2509-B
dohora	258-3793-B
dohorievat	31-762-B
dohovor	255-3290-B
dohovoreny	51-378-B
dohovorit	9-1864-B,16-459-B,209-1323-B
dohra	208-1959-B
dohromady	10-1452-B,11-996-B,247-1615-B
dojat	8-2279-B,148-335-B
dojatie	75-2547-B
dojca	20-533-B,116-1074-B,155-747-B,155-906-B,235-333-B
dojcit	155-600-B,235-299-B
dojednanie	16-530-B
dojednat	16-334-B,151-1924-B,209-1341-B
dojem	73-2317-B,112-3627-B,114-652-B,154-1230-B,167-1279-B,207-2968-B
dojemnost	208-382-B
dojemny	148-906-B,229-3265-B,248-2057-B
dojic	142-2951-B
dojicka	142-2965-B
dojimat	248-1697-B
dojimavy	139-876-B,169-2938-B,171-1310-B,238-3302-B,248-2075-B
dojit	142-2870-B
dojka	155-588-B,269-1440-B
dojnica	142-2981-B
dojny	142-2411-B
dojst	16-1069-B,22-2229-B,44-1648-B,44-2433-B,99-437-B,142-2882-B,183-2315-B,198-2329-B
dok	69-1132-B
dokalicit	135-1086-B,149-1272-B
dokaz	15-3141-B,62-0-B,79-3551-B,168-3729-B,176-3616-B,243-2354-B,262-2183-B
dokazat	4-3240-B,5-2148-B,50-3436-B,61-3776-B,136-1767-B,136-3231-B,177-3011-B,211-2847-B,213-953-B,234-2034-B
dokazatelny	61-3721-B
dokazovanie	15-3205-B
dokazovat	136-3211-B,177-2994-B
doklad	69-1300-B,79-3535-B,176-3603-B,185-2449-B,262-2163-B,265-2935-B
dokladne	31-1881-B,42-1174-B,81-946-B,83-3181-B,177-147-B,222-72-B,244-3256-B
dokladny	35-312-B,81-877-B,89-185-B,101-1617-B,142-467-B,152-1238-B,181-1320-B,220-3108-B,221-3044-B,244-3076-B,244-3213-B
dokonale	167-1856-B
dokonalost	4-3514-B,80-1601-B,167-1809-B
dokonaly	4-3446-B,16-734-B,95-3368-B,112-1336-B,113-2241-B,119-1737-B,161-2827-B,167-1705-B,244-3057-B,244-3189-B,254-3590-B,260-1549-B
dokonanie	4-3541-B
dokonat	4-3198-B
dokonca	6-1578-B,79-2474-B
