chromozom	40-509-B
chvilkovy	145-3208-B,146-2082-B
chvost	30-680-B,229-288-B,238-2259-B,239-2593-B
chyba	25-2827-B,26-1975-B,30-1582-B,60-849-B,60-1770-B,78-3126-B,83-2286-B,85-1820-B,90-1694-B,120-2985-B,126-2089-B,144-2455-B,155-2306-B,212-3202-B
chybajuci	3-1856-B,144-2211-B,266-3094-B
chybat	22-1580-B,22-1641-B,22-1944-B,78-2949-B,125-2923-B,144-1852-B,144-2469-B
chybne	11-2913-B,144-2649-B
chybny	11-2926-B,20-1923-B,60-1000-B,78-3067-B,78-3106-B,85-1990-B,144-1460-B,144-2538-B,144-2667-B,155-2436-B,273-2116-B
chyr	190-2650-B
chyrny	190-194-B
chyry	198-1882-B,198-1909-B
chystat	170-718-B,174-649-B
chytac	219-2614-B
chytanie	34-2165-B
chytat	34-2182-B,36-2155-B,175-200-B,239-2115-B,252-1640-B
chytit	34-2198-B,36-2169-B,42-2308-B,111-2396-B,149-2373-B,183-2140-B,206-2471-B,219-2565-B,239-2130-B,239-2842-B
chytnut	36-2183-B,101-2974-B,206-2485-B
chytracky	218-2956-B
chytry	29-1754-B,41-3016-B,210-3073-B
chyzna	37-3652-B
ci	112-2346-B,269-2522-B,270-1500-B
ciacha	98-376-B
ciapka	34-567-B
ciapocka	216-2146-B
ciara	130-2851-B,231-2727-B
ciara ponoru	268-187-B
ciarka	6-2034-B,44-1191-B,44-3137-B
ciastka	11-3378-B,87-2243-B,172-1111-B,235-2414-B,235-2427-B,261-643-B
ciastkovy	165-690-B
ciastocka	165-963-B
ciastocne	94-2477-B,105-1106-B,165-482-B,165-753-B,165-1572-B,165-1765-B
ciastocny	165-710-B
cibula	30-2153-B,158-2413-B
cibulka	30-2166-B
cicanie	235-385-B
cicat	3-2363-B,235-124-B
cicavec	136-1434-B,136-1462-B
cicik	71-2836-B,247-656-B
ciel	9-2630-B,63-2631-B,76-1859-B,101-587-B,155-2156-B,155-2661-B,179-732-B,179-1224-B,203-1261-B,240-2715-B,243-1018-B,263-2190-B
cielavedomy	92-277-B,179-816-B,179-839-B,215-1781-B
ciele	9-2715-B,101-656-B,155-2912-B
cieleny	171-1660-B,240-2774-B
cielovy	155-2677-B,240-2728-B
cierna	25-1604-B,25-1991-B
cierno	25-1618-B
cierny	25-1632-B,199-531-B
cierny pasazier	58-427-B,231-300-B
cieva	26-817-B,263-142-B
cievka	26-2651-B,43-1862-B,186-2406-B,224-1999-B
cifernik	64-1784-B,83-650-B
cigan	99-2170-B,99-2198-B,104-3079-B,104-3107-B
ciganka	99-2183-B,104-3092-B
cigara	40-1008-B
cigareta	40-1046-B,83-2063-B
cihat	134-835-B
cim	244-719-B,269-2372-B
cimbal	56-2695-B
cimburie	22-1251-B,54-1979-B
cin	4-3690-B,6-472-B,6-720-B,59-3588-B,82-111-S,85-2998-B,136-319-S,168-2045-B,203-587-S,246-2474-B
cinidlo	9-563-B
cinit	11-3394-B,69-692-B
cinitel	9-578-B,83-1616-B
cinknut	42-201-B
cinnost	6-732-B,6-1186-B,69-703-B,69-1720-B,76-3113-B,96-579-B,122-830-B,159-1445-B,179-1355-B,272-1645-B
cinny	6-1002-B,159-1536-B
cinorody	6-1017-B
cinovat	246-2483-B
cinovec	36-680-B
cintorin	37-1287-B,37-1307-B,40-872-B,40-928-B,102-2875-B
cinziak	14-207-B,26-414-B
cip	164-860-B,246-3045-B
cipka	125-2833-B
cipkovy	125-3070-B
cirkev	1-863-B,40-809-B,62-502-B
cirkevny	40-823-B,40-893-B,41-2881-B,73-461-B,73-526-B,199-735-B,199-861-B
cirkularka	40-1556-B
cirkus	40-2175-B
ciry	25-2301-B,29-1813-B,41-1859-B,130-2583-B,141-1780-B,179-150-B,211-1862-B,227-1941-B,254-1984-B,260-1655-B
cisar	75-2741-B,75-2756-B
cisarovna	75-3568-B
cisarsky	113-2630-B
cisarstvo	75-2962-B
ciselnik	64-1799-B,83-867-B
ciselny	155-159-B,155-277-B,155-338-B
cislica	65-337-B,87-2259-B,155-0-B,155-178-B
cislicovy	65-372-B,155-296-B,155-359-B
cislo	155-17-B,216-52-B
cislovanie	155-111-B
cislovat	155-32-B,155-215-B
cislovka	155-196-B
cistenie	41-128-B,41-1383-B,41-1555-B,41-2364-B,179-373-B,203-2023-B,204-1581-B
cisterna	40-2204-B,240-1971-B,267-3289-B,267-3331-B
cistic	41-1345-B
cistina	41-2383-B,100-70-B
cistit	41-1164-B,179-396-B,195-1175-B,202-1660-B
cistka	179-338-B
cisto	41-1179-B,41-1451-B,83-3055-B
cistokrvny	26-836-B,96-135-B,179-119-B,179-162-B,252-514-B,252-537-B
cistopis	83-3080-B
cistota	41-1430-B,41-1485-B,179-506-B
cistotny	41-1192-B,41-1466-B,111-75-B,150-3422-B,246-671-B
cisty	41-1209-B,41-1845-B,83-3067-B,130-2568-B,131-435-B,150-1666-B,150-3438-B,151-3519-B,179-137-B,183-1801-B,186-3179-B,211-1848-B,218-3096-B,224-2653-B,231-642-B,238-1029-B,246-687-B,250-983-B,254-1962-B,264-1734-B
cit	75-2535-B,86-657-B,86-877-B,207-2954-B,208-349-B,221-2952-B
cita	183-3312-B
citacia	40-2240-B,180-3436-B,180-3515-B
citacka	202-460-B
cital	183-2833-B
citam	112-947-B
citanie	183-2846-B,183-3194-B
citaren	183-3212-B,183-3236-B,183-3260-B,233-1095-B
citat	40-2258-B,80-2018-B,180-3455-B,180-3550-B,183-2861-B,206-1084-B
citatel	155-257-B,183-2972-B
citatelia	183-2989-B
citatelnost	128-2599-B,183-2891-B
citatelny	128-2625-B,183-2918-B
citenie	86-906-B,208-310-B,208-363-B
citit	86-666-B,86-678-B,86-1289-B,202-1991-B,202-2004-B,219-408-B,219-421-B
citit odpor	191-3327-B
citit sa	86-691-B
citlivost	114-626-B,114-732-B,207-3545-B,207-3992-B,207-4017-B,242-2383-B
citlivy	86-889-B,183-1558-B,192-3865-B,207-3814-B,225-3121-B,234-2857-B,237-2371-B,242-1960-B,266-140-B
citoslovce	118-3956-B
citovat	7-330-B,40-2274-B,149-2920-B,180-3535-B
citovo	75-2661-B
citovost	75-2638-B
citovy	75-2599-B,207-3833-B,208-584-B
citron	40-2423-B,128-2962-B
citronovnik	40-2438-B,128-2976-B
civiet	97-1662-B
civil	40-2640-B
civilista	40-2655-B
civilizacia	40-2760-B
civilizovanie	40-2733-B
civilny	40-2536-B,40-2674-B
cizelovat	110-551-B
clankov	16-1685-B
clankovany	122-1854-B
clanok	16-1668-B,37-1084-B,73-1757-B,74-2818-B,121-142-B,131-109-B,140-3313-B,205-2987-B,206-2176-B,243-2634-B
clapkanica	217-1603-B,218-2294-B
clapotat	224-17-B,226-165-B
clearing	41-2263-B
clen	2-49-S,12-704-S,37-1073-B,74-2804-B,140-3283-B
clenenie	69-381-B,206-2219-B
clenok	12-3149-B
clensky	140-3296-B
clensky prispevok	234-777-B
clenstvo	140-3329-B
cln	26-2600-B,147-1637-S,252-1831-B
clnok	35-1009-B,213-3277-B
clo	56-1203-B,72-1056-B,240-2826-B,247-2232-B
clona	53-1934-B,120-1402-B,203-3305-B,211-2915-B,213-2363-B,262-341-B
clonit	213-2376-B
clovek	54-1194-B,109-2774-B,111-1023-B,111-1052-B,136-1652-B,168-431-B,221-2993-B,262-2648-S
cmar	31-2065-B
cmeliak	30-2733-B,111-1507-B
cmudit	219-1137-B
cmulat	235-136-B
cniet	196-1443-B,248-2899-B
cnost	264-2029-B,264-2290-B
cnostny	264-2185-B
co	16-2195-S,202-776-S,269-1702-B,269-1734-B,269-2352-S,269-2637-B,269-2647-B,269-2813-S,269-2857-S
coho	269-1711-B
cokolada	39-3020-B
cokoladovy	39-3041-B
cokolvek	13-3682-B,269-1779-B
colnica	56-1054-B,56-1075-B,56-1155-B,56-1215-B,56-1271-B,56-1337-B
colnik	56-1175-B,56-1246-B,56-1293-B,56-1313-B
colny	56-1231-B
coniaci	186-1060-B,202-2243-B
cop	28-1327-B,169-1325-B,171-3386-B
cosi	221-1079-B
coskoro	221-1739-B
coze	269-1722-B
cpavok	11-3019-B
crep	172-3453-B,210-2761-B
crepina	94-2438-B,210-2773-B,224-652-B
creva	28-637-B,104-2637-B,119-1643-B
crevny	119-1606-B
crevo	28-589-B,104-2609-B,119-1626-B
crieda	163-782-B
crta	85-3201-B,130-3048-B,216-608-B,232-2790-B,248-1890-B,249-1705-B
cteny	261-672-B
cti	110-1258-B
ctihodnost	262-808-B
ctihodny	110-946-B,110-1152-B,194-1810-B,262-833-B,272-3276-B
ctit	79-894-B,110-1041-B,192-2375-B
ctitel	7-3120-B,8-138-B,64-1366-B,272-1011-B,272-3319-B
ctiziadost	11-1899-B
ctiziadostivec	108-3124-B
ctiziadostivy	11-1972-B
ctnost	101-2989-B,146-2748-B,264-2043-B,264-2310-B
cucat	235-151-B
cuch	89-3248-B,153-3020-B,202-2168-B,219-575-B
cuchat	202-2180-B,220-623-B
cuchovy	158-981-B
cucoriedka	24-2884-B,25-1691-B,25-2081-B,26-1828-B,111-749-B,181-57-B,181-91-B,270-1453-B
cudacky	95-88-B,269-2941-B
cudak	2-118-B,43-811-B,95-54-B,98-1071-B,139-803-B,157-818-B,268-3116-B
cudne	157-893-B
cudnost	38-2778-B,264-2058-B,264-2331-B
cudny	38-2690-B,145-1430-B,161-1459-B,180-1737-B,231-2066-B,264-2203-B,268-3102-B
cudo	138-626-B,272-319-B
cudovat sa	272-332-B
cudzi	8-989-B,10-639-B,82-3770-B,93-1151-B,93-1257-B,161-1397-B,231-1958-B,256-2128-B,257-955-B
cudzinec	10-624-B,93-1219-B,103-1540-B,161-1378-B,231-2152-B
cudzinka	93-1238-B,231-2170-B
cudzojazycny	93-1128-B,93-1187-B
cudzolozstvo	8-374-B,144-777-B
cudzopasnik	32-858-B,224-1651-B
cudzopasny	164-2861-B,164-2883-B
cudzost	231-2082-B
cuketa	53-967-B,275-428-B
cukor	34-2872-B,136-1296-S,235-1247-B,270-648-B
cukornicka	235-1289-B
cukrar	47-3546-B
cukraren	32-1496-B,47-3567-B,47-3618-B,166-246-B
cukrarstvo	47-3592-B
cukrik	33-2658-B,238-789-B,238-1169-B
cukrovinka	33-2641-B
cukrovka	64-1660-B
culo	180-2338-B
culost	6-1205-B,9-1433-B,145-280-B
culy	6-1035-B,9-1407-B,10-467-B,29-2865-B,31-1802-B,121-2020-B,131-2057-B,131-2298-B,145-171-B,152-2359-B,218-3110-B,225-1288-B,263-2958-B
cumel	44-2827-B,152-2773-B,163-387-B,241-1960-B
cumiet	97-1715-B
cumil	98-892-B,101-1129-B,166-2838-B,227-1844-B
cumlik	72-13-B
cundra	217-507-B,218-2313-B,251-2746-B
cupiet	225-2919-B
cupkat	204-2108-B
cut	107-2227-B
cutora	90-753-B
cuvat	20-776-B
cuvnut	213-2284-B
cvakat	38-2923-B,41-3120-B
cvaknut	41-3134-B
cval	97-339-B
cvalat	97-351-B
cvarga	181-2279-B
cvicebnica	102-639-B
cvicenec	104-2833-B
cvicenie	81-312-B,81-568-B,168-3754-B,173-1027-B,249-1516-B,253-1388-B
cvicit	71-96-B,81-331-B,173-1161-B,249-1181-B,272-1695-B
cvicitel	118-478-B,249-1461-B
cvicny	173-1046-B
cviker	169-1837-B
cvikla	23-1108-B,23-1146-B
cvok	125-2169-B
cvrlikat	39-2609-B
cyklicky	56-2482-B
cyklistika	56-2515-B
cyklon	56-2553-B
cyklostyl	143-249-B
cyklostylovat	56-2615-B
cyklus	56-2429-B,132-3255-B
cylinder	39-2306-B,56-2641-B,197-320-B,214-3117-B,248-379-B,248-571-B
cynicky	56-2722-B
cynik	56-2710-B
cynizmus	56-2739-B
cyprus	56-2783-B
cysoko	109-152-B
cysta	56-2798-B
d	56-2837-B
dabing	71-2296-B
dabovat	71-2254-B
dajte	99-2524-B
dakovat	162-3540-B,243-2843-B
daktyloskopia	56-2981-B
daktylsky	56-2961-B
dakuje	5-3035-B
dakujem	243-2859-B
dalej	11-36-B,44-2047-B,85-277-B,94-24-B,96-1748-B,96-1780-B,146-3245-B,158-1519-B,158-2764-B,158-2819-B,244-282-B,244-301-B
daleko	2-497-B,8-2183-B,18-190-B,19-3318-B,84-2863-B,84-2888-B
dalekohlad	25-325-B,87-1079-B,100-504-B,241-3026-B
dalekonosny	132-2464-B
dalekopis	241-2984-B,241-3049-B,241-3069-B,241-3186-B
dalekosiahly	84-2943-B
dalekozraky	84-2994-B,132-2489-B
daleky	84-2875-B,84-3039-B,132-2309-B,189-2182-B,270-1727-B
dalmatinec	57-221-B
dalsi	6-3450-B,13-1072-B,92-1594-B,96-1763-B,146-3081-B,152-1064-B,234-835-B
dama	57-529-B,126-83-B,180-1669-B
damasek	57-513-B
damsky	126-35-B
dan	72-1065-B,113-3905-B,241-759-B,251-766-B
dane	241-876-B
danovnik	241-966-B
danovy	89-1163-B
dansko	1-1017-B
dany	99-3155-B
dar	69-2667-B,99-1644-B,174-1449-B
daravanie	69-2648-B,69-2680-B
darca	69-2803-B,99-3199-B
darca krvi	26-794-B
darcek	69-1771-B,99-1653-B,174-1461-B
darebacky	125-723-B
darebactvo	125-684-B,144-502-B
darebak	25-1845-B,54-2969-B,125-641-B,182-2694-B,197-225-B,201-2886-B,202-17-B,202-121-B,203-1915-B,238-1877-B,259-2383-B,264-67-B
darit sa	91-1316-B
darovanie	69-2699-B
darovat	69-2616-B,99-2535-B
dasna	104-2206-B,123-14-B
dasno	104-2090-B
dat	99-2549-B,102-1304-B,179-2041-B,209-191-B
data	57-2274-B
databanka	57-2314-B
databaza	57-2334-B,57-2402-B,57-2421-B
datelina	42-1914-B,210-2221-B,250-3376-B,251-1451-B
dativ	57-2665-B
datla	57-2441-B
datlovnik	57-2540-B
datum	57-2463-B,57-2634-B
datumovka	57-2562-B,57-2602-B
dav	55-577-B,145-56-B,148-2739-B,181-114-B,245-2009-B,245-2105-B
dava	99-3211-B,179-3190-B
davat	20-586-B,99-2559-B,104-586-B,105-2341-B,124-415-B,124-734-B,179-2050-B,267-2702-B,267-2892-B,274-753-B
davenie	265-2481-B
david	1-953-B
davidlo	265-2496-B
davit	178-1764-B,265-2511-B
davka	22-656-B,69-3158-B,72-1075-B,108-1005-B,113-3921-B,133-936-B,183-674-B,241-768-B
davkovat	142-157-B
davno	132-2283-B,132-2323-B
davny	9-353-B,31-2808-B,158-859-B
dazd	181-2667-B,181-2736-B
dazda	134-1634-S,181-2707-S
dazdivy	181-2830-B,213-1437-B,269-1348-B
dazdnik	254-1433-B
dazdovka	72-2553-B
dazdovy	181-2651-B
dbat	108-279-B,143-496-B,187-1182-B,192-2389-B
dcera	57-2748-B
dcery	57-2764-B
ddacnost	15-0-B,102-2199-B,102-2569-B,243-2917-B
debakel	58-1461-B,198-256-B,266-2175-B,271-1144-B
debata	15-3125-B,58-1695-B,66-3473-B,67-3698-B,67-3756-B
debatovat	58-1709-B
debet	58-1866-B
debilny	54-2197-B,71-3040-B,112-1998-B,146-3362-B,233-1790-B,271-2846-B
debna	28-761-B,35-3379-B,39-1085-B
debnar	51-2657-B
debnarstvo	51-2672-B
debnenie	36-383-B,83-1249-B,93-2586-B,211-2053-B
december	1-964-B,1-982-B
decentralizacia	58-3026-B
decentralizovat	58-3060-B
decht	240-2558-B
dechtovat	240-2568-B
dechtovy	240-2965-B
decibel	58-3179-B
decigram	58-3396-B
decimalny	58-3414-B
decimeter	58-3492-B
decimovat	58-3472-B
decko	124-1563-B,124-1706-B,248-1325-B
dedic	108-598-B
dedicka	108-610-B
dedicnost	108-1784-B
dedicny	108-1763-B,108-1943-B
dedicsky	166-305-B
dedicstvo	108-1963-B,116-3263-B,128-2318-B,209-1779-B
dedikacia	59-3166-B
dedina	209-1761-B,263-3294-B,264-51-B
dedincan	264-13-B
dedinka	105-1936-B
dedinsky	199-151-B,263-3309-B
dedit	116-3232-B
dedko	102-964-B,102-1019-B,102-1103-B,102-1202-B
dedo	102-1034-B
dedukcia	59-3400-B,112-2924-B,116-1309-B,184-1422-B
dedukovat	59-3277-B,80-154-B,116-1257-B
deduktivny	59-3515-B
defekt	90-1705-B
defenziva	60-1493-B
defenzivny	60-1514-B
defetista	60-809-B
deficit	60-1787-B,60-1908-B,213-0-B
defilovat	60-1954-B
definicia	60-2593-B
definitivne	60-2455-B,60-2771-B,88-856-B,158-1898-B
definitivny	60-2681-B,88-556-B,254-1042-B
definovat	60-2219-B
definovatelny	60-2169-B
deflacia	60-2900-B
deformacia	30-1212-B,60-3122-B,68-1897-B,253-2398-B
deformovany	60-3194-B,144-2112-B
deformovat	60-3085-B,144-2071-B,231-1131-B
defraudant	60-313-B,75-1210-B
defraudovat	60-3280-B
degeneracia	60-3671-B,64-1211-B
degenerativny	60-3697-B
degenerovany	60-3622-B
degenerovat	60-3647-B,197-1637-B
degradacia	60-3750-B
degradovanie	60-3725-B
degradovany	2-1351-B
degradovat	2-1301-B,36-264-B,60-3843-B,62-175-B,70-796-B,186-1436-B,188-2533-B
dehydratacia	61-142-B
dej	6-617-B
dejepis	109-1136-B,230-2894-B
dejiny	109-1152-B
dejisko	215-2835-B,226-1338-B
dejstvo	6-314-B
dekada	58-1991-B
dekagram	58-2087-B
dekan	58-1129-B,178-0-B
dekanat	58-1158-B
dekansky	58-2165-B
dekanstvo	58-1140-B
deklamacia	59-444-B
deklamovat	59-403-B
deklaracia	59-534-B
deklarovat	59-628-B
dekodovanie	59-1421-B
dekodovat	58-3512-B,59-1362-B,59-3009-B
dekolonizacia	59-1443-B
dekolonizovat	59-1473-B
dekompozicia	59-1709-B
dekompresia	59-1853-B
dekompresor	59-1879-B
dekontaminacia	59-1952-B
dekoracia	59-1984-B,160-2359-B
dekoracny	59-2251-B
dekorater	59-2314-B
dekorativny	59-2227-B
dekorovat	59-2031-B
dekret	59-2749-B,191-2828-B
delba	69-203-B
delegacia	61-753-B,62-3146-B,144-2289-B
delegat	61-617-B
delegovat	61-597-B,62-3189-B
delenec	68-3916-B
delenie	68-3967-B,69-186-B
deleny	68-3900-B,224-670-B
delfin	69-1934-B
deliaci	68-3984-B
delic	68-3952-B
delikatnost	152-1487-B,152-1579-B
delikatny	56-3300-B,61-1319-B,207-3851-B,242-1976-B,246-380-B
delikvent	61-1968-B,157-1833-B
delirium	61-2096-B
delit	68-3767-B,165-316-B,208-860-B,209-2504-B,224-684-B
delit sa	68-3781-B
delitel	69-400-B,83-1488-B
delitelny	69-164-B
delo	33-3095-B
deloha	139-291-B,260-1046-B,260-1059-B,260-1074-B,272-196-B
delostrelba	33-3121-B
delostrelec	33-3144-B,104-2305-B
delostrelectvo	16-1965-B
delta	61-2499-B
demagogia	61-2740-B
demagogicky	61-2717-B
