letterpress	129-1033-B
light	130-215-B,130-225-B,130-237-B,130-252-B,130-269-B,130-288-B,130-306-B,130-319-B,130-335-B,130-348-B,130-362-B,130-377-B,130-395-B,130-411-B,130-427-B,130-442-B,130-455-B,179-2751-S
light athletic	130-559-B
light bulb	130-469-B,130-591-B
light coloured	130-612-B
light headed	130-635-B,130-661-B,130-684-B,130-706-B
light hearted	130-735-B,130-763-B
light minded	130-785-B
light on	211-1357-S
light up	130-490-B,130-509-B
light up the fire	130-531-B
lightbulb	130-814-B
lighten	130-834-B,130-852-B,130-873-B,130-891-B,130-909-B
lighter	40-1021-S,40-1065-S,130-926-B,130-945-B
lighthouse	130-965-B
lighting	130-983-B
lightly	130-1003-B,130-1020-B,130-1037-B,130-1053-B,130-1069-B
lightness	130-1084-B,130-1110-B
lightning	130-1130-B
lightning bug	130-1146-B
lightning conductor	130-1171-B
lights	130-1202-B
lightship	130-1216-B
lightweight	130-1242-B
likable	130-1262-B
likableness	130-1281-B
like	69-1541-S,112-2367-S,130-1306-B,130-1315-B,130-1326-B,130-1339-B,130-1353-B,130-1370-B,130-1384-B,130-1394-B,130-1407-B,132-3035-S
like better	130-1421-B
like this	130-1441-B
liked	130-1457-B
likelihood	130-1475-B
likely	130-1503-B,130-1517-B,130-1538-B,130-1560-B,130-1579-B,130-1595-B,146-3119-S,146-3140-S
liken	130-1610-B,130-1626-B,130-1645-B
likeness	130-1662-B,130-1677-B,130-1693-B,130-1713-B,130-1733-B
likewise	130-1751-B,130-1768-B
liking	130-1785-B,130-1798-B,130-1818-B,130-1830-B
lilac	130-1846-B,130-1861-B,130-1876-B
lily	130-1895-B
limb	130-1907-B,130-1918-B,130-1930-B,130-1941-B
limber	130-1950-B,130-1964-B,130-1979-B
limbo	130-1995-B,130-2010-B,130-2027-B
lime	130-2044-B,130-2054-B,130-2068-B
limestone	130-2080-B
limey	130-2099-B
liminal	130-2115-B
limit	130-2132-B,130-2146-B,130-2158-B,130-2175-B,130-2187-B,130-2204-B,130-2220-B,130-2238-B,130-2256-B,246-1991-S
limitation	130-2276-B,130-2298-B
limited	130-2322-B,130-2341-B
limiter	130-2362-B
limiting	130-2382-B
limousine	130-2402-B
limp	107-520-S,130-2422-B,130-2434-B,130-2448-B,130-2463-B,130-2477-B,130-2490-B,130-2503-B
limpid	130-2515-B,130-2529-B,130-2548-B,130-2568-B,130-2583-B
limy	130-2597-B
linden	130-2613-B
line	50-2414-S,70-687-S,70-2428-S,106-1539-S,130-2625-B,130-2636-B,130-2649-B,130-2661-B,130-2675-B,130-2686-B,130-2701-B,130-2713-B,130-2724-B,130-2738-B,130-2750-B,130-2759-B,130-2769-B,130-2781-B,130-2796-B,130-2806-B,130-2816-B,130-2827-B,130-2838-B,130-2851-B,130-2863-B,130-2876-B,157-1598-S
line up	130-2886-B,130-2902-B,130-2920-B,130-2937-B,130-2956-B
lineage	130-2972-B,130-2989-B,130-3004-B,130-3016-B
lineal	130-3034-B
lineament	130-3048-B
linear	130-3064-B,130-3081-B,153-1574-S
linearity	130-3095-B
linearization	130-3115-B
lined	130-3143-B
linen	130-3160-B,130-3176-B,130-3193-B,130-3207-B
lineup	130-3222-B
linger	130-3237-B,130-3251-B,130-3268-B
lingo	130-3283-B
lining	130-3298-B,131-0-B
link	131-18-B,131-29-B,131-39-B,131-51-B,131-66-B,131-80-B,131-97-B,131-109-B
link up	131-123-B
linkage	131-140-B,131-157-B
linked	131-172-B
lino	131-188-B
linseed oil	131-202-B
lion	131-228-B,204-2347-S
lioness	131-237-B
lip	131-252-B,131-269-B,131-279-B
lipstick	131-288-B
liqueur	131-303-B
liquid	131-318-B,131-332-B,131-349-B,131-366-B,131-386-B,131-402-B,131-417-B,131-435-B
liquidate	131-450-B
liquidation	131-469-B,131-493-B
liquor	131-515-B,131-532-B,131-549-B
lisp	131-565-B,131-581-B
lissom	131-596-B
lissome	131-610-B
list	39-0-S,131-625-B,131-640-B,131-654-B,131-667-B,131-682-B,131-694-B,131-707-B,131-722-B,131-736-B,131-748-B,131-764-B,131-777-B,175-318-S,175-360-S,266-1228-S
listed	131-789-B
listen	131-805-B,131-823-B,131-842-B
listen in	131-860-B
listen to	131-882-B,131-904-B
listener	131-925-B
listening	131-946-B
listing	131-965-B,131-984-B,131-1001-B,131-1016-B,131-1031-B
listless	131-1046-B,131-1065-B,131-1087-B
listlessness	131-1109-B
lit	266-815-S
lite	131-1137-B
liter	131-1150-B
literacy	131-1162-B
literal	131-1183-B,131-1201-B
literally	131-1217-B
literary	131-1235-B,131-1255-B
literate	131-1274-B
literature	131-1293-B,131-1316-B
lithe	131-1341-B,131-1354-B,131-1368-B
litheness	131-1383-B
lithuanian	1-2037-B
litigate	131-1404-B
litigation	131-1424-B
litmus	131-1439-B
litmus paper	131-1453-B
litre	131-1484-B
litter	131-1496-B,131-1512-B,131-1527-B,131-1542-B
little	2-583-S,19-2161-S,131-1553-B,131-1568-B,131-1583-B,131-1602-B,131-1619-B,131-1632-B,131-1645-B,131-1659-B,131-1691-S
little bit	131-1673-B
little by little	131-1691-B
little finger	131-1717-B
little girl	131-1741-B
little house	131-1764-B
little sweetie	131-1785-B
little table	131-1812-B
little thing	131-1833-B
little tooth	131-1858-B
littleness	131-1878-B
littlest	131-1899-B
livable	131-1919-B,131-1941-B,131-1961-B
live	131-1982-B,131-1997-B,131-2011-B,131-2024-B,131-2041-B,131-2057-B,131-2069-B,131-2083-B,131-2095-B
live down	131-2106-B
live out	131-2125-B
live through	131-2143-B
lived	131-2165-B,132-2443-S
livelihood	131-2176-B,131-2198-B
liveliness	131-2220-B
lively	131-2240-B,131-2254-B,131-2268-B,131-2283-B,131-2298-B,131-2312-B
liven	131-2326-B
liveness	131-2341-B
liver	131-2362-B
livered	39-1405-S
liverish	131-2376-B,131-2393-B
lives	131-2410-B
livestock	131-2422-B
livid	131-2440-B
living	131-2458-B,131-2475-B,131-2491-B,131-2509-B,131-2523-B,131-2537-B
living room	131-2550-B
lizard	131-2573-B
ll	112-936-S
load	131-2591-B,131-2604-B,131-2617-B,131-2629-B,131-2644-B,131-2659-B,131-2674-B,131-2686-B,131-2699-B,131-2712-B,131-2724-B,131-2741-B,131-2757-B,131-2775-B,131-2789-B,131-2803-B,139-1033-S,152-3097-S
load down	131-2816-B
load up	131-2836-B,131-2854-B
loaded	131-2872-B,131-2887-B
loader	131-2906-B
loading	131-2933-B,131-2953-B,131-2973-B,131-2995-B
loads	131-3012-B
loaf	131-3024-B,131-3038-B,131-3051-B,131-3063-B,131-3083-B
loafer	131-3099-B,131-3116-B
loam	131-3134-B
loan	131-3143-B,131-3160-B,131-3176-B,131-3195-B,131-3211-B
loath	131-3222-B
loathe	131-3235-B
loathing	131-3255-B,131-3269-B
lobby	131-3284-B,131-3304-B,132-0-B
lobe	132-15-B
local	132-26-B,132-42-B,132-57-B,132-71-B
localise	132-87-B
locality	132-109-B
localize	132-126-B,132-148-B
localized	132-166-B
locate	132-184-B,132-204-B,132-219-B,132-235-B,132-252-B,132-270-B,132-286-B,132-304-B
located	132-320-B
locating	132-340-B
location	132-364-B,132-380-B,132-396-B,132-413-B,132-431-B,132-451-B
loch	132-472-B
loci	132-484-B
lock	132-496-B,132-507-B,132-520-B,132-536-B,132-550-B,132-565-B,132-580-B,132-593-B,132-609-B,132-623-B,132-638-B,132-653-B,132-665-B
lock in	132-677-B,132-695-B
lock out	132-712-B,132-732-B
lock up	132-751-B,132-769-B,132-788-B,132-806-B,132-824-B,132-842-B
locker	132-859-B
locket	132-874-B
locking	132-891-B
lockout	132-910-B
locksmith	132-926-B
lockup	132-948-B
loco	132-964-B,132-977-B
locomotion	132-994-B
locomotive	132-1018-B,132-1041-B,132-1063-B,132-1082-B
locution	132-1104-B,132-1120-B,132-1135-B
lode	132-1151-B
lodestar	132-1165-B
lodge	132-1183-B,132-1195-B,132-1207-B,132-1221-B,132-1233-B,132-1247-B,132-1261-B,132-1274-B,132-1287-B,132-1302-B,132-1318-B,132-1331-B
lodged	132-1347-B
lodger	132-1361-B,132-1379-B
lodging	132-1400-B,132-1412-B
lodgings	132-1431-B
loft	132-1447-B,132-1462-B,132-1476-B,132-1491-B,132-1503-B,132-1514-B,132-1525-B,160-1112-S
lofty	132-1538-B,132-1555-B,132-1576-B,132-1590-B,132-1610-B
log	132-1627-B,132-1637-B,132-1647-B,132-1657-B,132-1667-B,132-1678-B,132-1691-B,132-1706-B,132-1720-B,132-1736-B
log cabin	132-1747-B
logarithm	132-1762-B
logarithmic	132-1783-B
logbook	132-1809-B
logger	132-1825-B
loggerhead	132-1843-B
logging	132-1862-B
logic	132-1878-B,132-1895-B
logical	132-1908-B,132-1927-B
logically	132-1944-B
logjam	132-1962-B
loins	132-1980-B
loiter	132-1993-B
loiterer	132-2012-B,132-2031-B
lollipop	132-2051-B
lolly	132-2068-B
lone	132-2082-B,132-2095-B,132-2109-B
loneliness	132-2125-B
lonely	132-2147-B,132-2164-B,132-2180-B
loner	132-2196-B
lonesome	132-2211-B,132-2230-B
long	57-3090-S,132-2248-B,132-2258-B,132-2269-B,132-2283-B,132-2295-B,132-2309-B
long ago	132-2323-B
long as	16-2366-S
long awaited	132-2378-B
long distance	132-2396-B
long last	18-410-S
long legged	132-2421-B
long lived	132-2443-B
long range	132-2464-B
long run	132-2339-B
long sighted	132-2489-B
long suffering	132-2516-B
long term	114-2446-S,132-2358-B,132-2542-B
long time	92-2875-S
long winded	132-2562-B
longer	132-2586-B,132-2601-B,132-2616-B
longevity	132-2627-B
longing	132-2649-B,132-2665-B
longitude	132-2684-B
longs	132-2702-B
longshoreman	132-2715-B
longtime	132-2750-B
longwoolled	132-2769-B
look	132-2792-B,132-2808-B,132-2822-B,132-2837-B,132-2850-B,132-2864-B,132-2881-B,132-2898-B,132-2915-B,132-2929-B,132-2942-B
look at	132-2954-B,132-2971-B
look for	132-2992-B
look forward	132-3010-B
look like	132-3035-B
look over	132-3054-B
look up	132-3077-B,132-3096-B
look up to	132-3116-B
looker on	132-3138-B
looking	94-1079-S,96-1142-S,101-1976-S,132-3155-B,152-1438-S
looking for	112-778-S
looking glass	132-3175-B,132-3197-B
lookout	132-3219-B
lookup	132-3237-B
loop	132-3255-B,132-3267-B,132-3281-B,132-3292-B,132-3304-B,132-3317-B
looped	133-0-B
loophole	133-14-B,133-29-B
loose	129-515-S,129-534-S,129-554-S,133-46-B,133-59-B,133-76-B,133-92-B,133-110-B,133-128-B,133-145-B,133-160-B,133-173-B,133-190-B
loosely	133-204-B
loosen	133-219-B,133-236-B,133-252-B,133-269-B
loosening	133-286-B
loot	133-309-B,133-325-B,133-338-B,133-347-B,133-360-B,133-374-B,133-392-B,133-408-B
looting	133-422-B,133-438-B
loquacious	133-456-B
loquacity	133-480-B
lord	133-505-B,133-515-B
lordly	133-528-B,133-546-B,133-565-B,133-580-B
lords	1-1554-S,133-598-B
lordship	133-610-B,133-623-B,133-640-B
lore	133-656-B
lorn	133-668-B
lorry	133-683-B
lose	133-710-B,133-724-B,133-738-B
lose all love for	133-753-B
lose game	133-782-B
loser	133-801-B
loses	133-817-B
loss	133-831-B,133-843-B,133-855-B,133-871-B
lossless	133-883-B
lossy	133-905-B
lost	133-921-B
lot	2-599-S,133-936-B,133-947-B,133-958-B,133-972-B,133-980-B,133-989-B,133-1000-B,133-1011-B,133-1023-B,133-1035-B,133-1045-B,133-1055-B,133-1068-B,164-3506-S
lot of	2-609-S
lots	133-1078-B,133-1087-B
lots of	133-1098-B
lottery	133-1112-B
loud	133-1129-B,133-1141-B,133-1154-B,133-1168-B,133-1184-B
loudness	133-1196-B
loudspeaker	133-1216-B
lough	133-1240-B
lounge	133-1253-B,133-1265-B,133-1284-B,133-1302-B,133-1317-B,133-1331-B,133-1349-B
lounger	133-1367-B
louse	133-1385-B,133-1396-B
lousily	133-1409-B
lousy	133-1424-B,133-1437-B,133-1451-B,133-1466-B,133-1482-B
lout	133-1493-B
louver	133-1512-B
louvre	133-1529-B
love	133-1546-B,133-1558-B,133-1575-B,133-1589-B,133-1600-B,133-1615-B,135-2743-S
love apple	133-1629-B
love canal	133-1649-B
love for	133-753-S
loveliest	133-1667-B
lovely	133-1693-B,133-1708-B,133-1723-B,133-1741-B,133-1755-B,133-1773-B,133-1790-B,133-1808-B
lover	133-1828-B,133-1842-B
loves	133-1858-B
lovesick	133-1871-B
loving	133-1893-B,133-1912-B,166-1459-S
low	31-762-S,133-1929-B,133-1941-B,133-1952-B,133-1964-B,133-1974-B,133-1987-B,133-1998-B,133-2009-B,133-2019-B,133-2031-B,133-2042-B,133-2053-B,133-2067-B
low cost	133-2138-B
low gear	133-2076-B
low key	133-2154-B
low pressure area	133-2092-B
low spirited	133-2170-B,133-2196-B
low water	133-2119-B
lower	133-2222-B,133-2235-B,133-2250-B,133-2265-B,133-2280-B,133-2296-B,133-2310-B,133-2325-B,133-2343-B,133-2359-B,133-2376-B
lower down	133-2392-B
lowering	133-2412-B
lowermost	133-2432-B
lowest	133-2454-B
lowland	133-2473-B
lowliest	133-2490-B
lowly	133-2511-B,133-2524-B,133-2537-B,133-2551-B,133-2565-B
loyal	133-2580-B,133-2594-B
loyalty	133-2607-B
lubber	133-2624-B
lubricate	133-2637-B,133-2655-B
lucent	133-2672-B
lucerne	133-2689-B
lucid	133-2705-B,133-2718-B,133-2737-B,133-2755-B,133-2769-B,133-2786-B
lucidity	133-2807-B
luck	20-2067-S,20-2088-S,101-1838-S,112-2841-S,112-2862-S,133-2830-B,133-2843-B,133-2856-B,248-2324-S
luckily	133-2871-B
lucky	106-833-S,133-2891-B
lucrative	133-2908-B,133-2928-B
lucrativeness	133-2948-B
ludic	133-2974-B
ludicrous	133-2986-B,133-3006-B,133-3028-B
lug	133-3047-B
luggage	133-3060-B
lugubrious	133-3078-B,133-3097-B
lukewarm	133-3119-B,133-3137-B
lukewarmness	134-0-B
lull	134-28-B,134-44-B,134-60-B,134-75-B
lullaby	134-93-B
lumbago	134-112-B
lumbar	134-126-B
lumber	134-142-B,134-155-B
luminary	134-169-B
luminosity	134-188-B
luminous	134-211-B,134-235-B,134-254-B
lump	134-273-B,134-286-B,134-297-B,134-308-B,134-319-B,134-330-B,134-339-B
lumped	134-354-B
lumpish	134-374-B
lunacy	134-393-B,134-411-B,134-431-B
lunar	134-450-B
lunatic	134-466-B,134-485-B,134-501-B,134-520-B,134-538-B
lunch	134-556-B,134-567-B
luncheon	134-583-B
lunchroom	134-597-B
lunge	134-617-B
lungs	134-632-B
lure	134-646-B,134-659-B,134-673-B,134-689-B,134-705-B,134-717-B,134-731-B,134-744-B
lurid	134-755-B,134-769-B,134-786-B,134-803-B
lurk	134-819-B,134-835-B
luscious	134-849-B,134-870-B,134-887-B,134-904-B,134-922-B
lusciously	134-941-B
lusciousness	134-959-B
lush	134-982-B,134-994-B,134-1007-B
lust	134-1024-B,134-1037-B,134-1053-B,134-1066-B,134-1080-B
lustful	134-1100-B,134-1118-B
lustily	134-1139-B
lusting	134-1155-B
lustre	134-1171-B,134-1183-B,134-1196-B,134-1210-B
lustrous	134-1224-B
lusty	134-1247-B,134-1260-B,134-1273-B,134-1287-B
lute	134-1301-B,134-1310-B,134-1321-B
luxe	58-153-S
luxmeter	134-1331-B
luxuriant	134-1349-B,134-1366-B
luxurious	134-1383-B,134-1402-B
luxury	134-1424-B,134-1437-B,134-1453-B
lye	134-1468-B
lying	134-1477-B,134-1491-B,134-1506-B
lying position	22-1722-S
lynch	134-1520-B
lyre	134-1537-B
lyric	134-1548-B
lyrical	134-1563-B,134-1580-B
lyricism	134-1598-B
m	134-1618-B
m reding	112-947-S
ma	134-1622-B
mac	134-1634-B
macabre	134-1658-B,134-1674-B
macaroni	134-1692-B
macaw	134-1711-B
mace	134-1726-B,134-1737-B
maceration	134-1750-B
machete	134-1771-B
machination	134-1787-B,134-1807-B
machinator	134-1831-B
machine	19-1657-S,71-221-S,92-0-S,103-1515-S,134-1852-B,134-1868-B,134-1884-B,134-1904-B,134-1922-B,134-1944-B,134-1958-B,134-1975-B,209-3405-S
machine rifle	134-1994-B
machine room	134-2016-B
machine tool	134-2040-B
machinelike	134-2059-B
machinery	134-2081-B,134-2099-B,134-2121-B,134-2143-B,134-2160-B,134-2181-B
machining	134-2205-B
machinist	134-2226-B,134-2245-B
machismo	134-2265-B
mackerel	134-2284-B
mackintosh	134-2301-B
macromolecule	134-2334-B
macroscopic	134-2362-B
macrostructure	134-2389-B
macula	134-2421-B
maculate	134-2436-B
mad	134-2457-B,134-2468-B,134-2483-B,134-2495-B,134-2510-B
madcap	134-2524-B,134-2540-B
madden	134-2558-B
madding	134-2577-B
made	109-2914-S,134-2595-B,136-1723-S,184-136-S,207-630-S
made up	134-2608-B
madeira cake	134-2627-B
mademoiselle	134-2649-B
madly	134-2670-B
madman	134-2685-B
madness	134-2700-B,134-2721-B,134-2740-B,134-2759-B,134-2779-B
maelstrom	134-2799-B
maestri	134-2814-B
maestro	134-2830-B
mag	134-2846-B
magazine	134-2859-B,134-2875-B,134-2894-B,134-2914-B,268-2410-S
maggot	134-2932-B,134-2945-B,134-2959-B
maggoty	134-2972-B,134-2990-B
magic	134-3008-B,134-3028-B,134-3044-B,134-3057-B,134-3072-B,134-3085-B,134-3096-B,134-3108-B
magical	134-3124-B,134-3142-B,134-3159-B
