forferdet	3-630-B
forsinke	22-1820-B,23-2002-B,79-3442-B
forsinkelse	22-1835-B,52-1210-B,79-3471-B
forsinket	8-849-B,52-2290-B
forskane	30-2608-B
forske	84-1348-B
forskjell	24-78-B,25-1569-B,106-658-B
forskjellig	24-99-B,25-1112-B,25-1499-B,25-2327-B,106-581-B,106-818-B
forskjonne	8-129-B,28-557-B,47-373-B
forskning	79-965-B
forskrekke	4-2161-B,93-18-B
forskrekkelse	83-1648-B
forskrift	64-1533-B,71-1157-B,71-2766-B,77-3263-B,82-473-B
forskudd	2-2417-B
forskyve	25-487-B
forslag	60-263-B,65-664-B,73-2124-B,73-2174-B,95-2358-B
forslitt	19-15-B,41-2460-B,102-1679-B
forsma	24-2815-B,92-181-B
forsmedelig	46-822-B
forsok	6-916-B,27-2396-B,29-2516-B,39-1745-B,102-915-B,103-0-B
forsoke	6-932-B,29-2530-B,84-2683-B,103-12-B
forsoksvis	98-1931-B,98-1953-B
forsomme	31-3307-B,59-482-B,61-1422-B
forsommelse	22-940-B,32-47-B,61-1440-B,63-2956-B
forsone	4-2627-B,17-1879-B,73-1962-B,77-430-B
forsoning	17-1898-B,77-448-B
forsorge	33-9-B,96-934-B,96-2433-B
forsorgelse	96-952-B
forspill	65-681-B
forsprang	53-495-B,93-35-B
forst	34-614-B,35-2484-B,64-153-B
forsta	4-3302-B,5-73-B,17-194-B,24-224-B,35-1341-B,38-2297-B,40-1284-B,76-1336-B,76-1675-B,84-2542-B,103-1581-B,104-1134-B
forstad	95-1513-B
forstaelig	49-2576-B
forstaelse	5-162-B,40-1298-B,49-587-B,104-1301-B
forstaelsesfull	104-1327-B
forstand	10-1382-B,10-1442-B,43-265-B,49-2426-B,58-2264-B,76-1928-B,85-560-B,104-1253-B,109-2598-B
forstandig	49-2512-B,51-1250-B,104-1276-B,109-2539-B
forstavelse	71-1968-B
forstavn	93-1323-B
forste	34-581-S,34-627-B,34-654-S,72-1144-B
forsteinet	36-980-B
forsteklasses	19-2177-B,72-1180-B
forsterke	4-275-B,10-181-B,36-634-B,47-2674-B,49-2742-B,78-0-B,94-1519-B
forsterker	4-254-B,10-208-B
forsterkning	36-607-B,49-2713-B,78-43-B
forstkommende	61-2165-B
forstmann	35-2528-B,110-894-B
forstoppelse	18-609-B
forstorre	3-487-B,28-3064-B,56-1063-B
forstorrelse	9-1697-B,28-3098-B,56-906-B
forstorrelsesglass	39-703-B,56-1018-B
forstrekke	20-571-B,94-782-B
forstue	91-2403-B,94-800-B
forstuing	91-2418-B
forstyrre	23-747-B,25-2092-B,49-3289-B,50-3039-B,67-3303-B,102-2072-B
forstyrrelse	25-198-B,25-2110-B,50-869-B,102-2090-B,105-1720-B
forstyrret	25-1809-B,25-1855-B,83-1813-B
forsvar	22-1065-B
forsvare	22-1094-B,33-676-B,51-1902-B,56-1358-B,107-250-B
forsvarlig	51-1879-B
forsvinne	24-1591-B,106-394-B
forsvunnet	59-594-B
forsyne	56-1376-B,73-3074-B,74-2224-B,85-1450-B,96-781-B
forsyning	73-3248-B,96-796-B
fort	90-1021-B
fortann	61-2855-B
fortapt	39-2202-B
fortare	27-1472-B,29-1884-B
fortau	66-2555-B,87-1252-B
fortegnelse	33-2299-B,54-2220-B,83-2007-B
fortelle	61-212-B,78-239-B,98-904-B
fortelling	61-229-B,76-2884-B,78-311-B,94-338-B,97-1651-B,110-2664-B
fortersket	102-1694-B
forti	36-822-B
fortid	66-1782-B
fortinne	100-711-B
fortjene	23-1237-B,27-1022-B,58-1121-B
fortjeneste	37-2455-B,58-1136-B,73-297-B
fortne	37-2472-B
fortolke	49-3721-B
fortoye	59-2611-B
fortoyning	59-2650-B,59-2670-B
fortreffelig	30-1567-B
fortrenge	96-404-B,96-566-B
fortrinn	2-2487-B,30-1547-B,58-1154-B,72-1688-B
fortrinnsvis	71-1944-B
fortrolig	32-900-B,50-466-B,72-1836-B
fortrolighet	32-919-B
fortrylle	12-2394-B,14-915-B,28-1608-B,32-1603-B
fortryllelse	28-1646-B
fortryllet	91-598-B
fortsette	18-1903-B,72-2289-B
fortsettelse	18-1877-B,85-1073-B
fortvile	23-1605-B
fortvilelse	23-1622-B
fortvilet	23-1642-B,23-1700-B,35-2818-B
fortynne	6-1093-B,24-546-B,76-481-B,99-673-B
forulempe	59-1850-B
forundring	110-678-B,110-762-B
forurense	18-1091-B,22-1343-B,70-1028-B,107-972-B
forurensing	70-1062-B
forurettet	3-609-B
forurolige	3-1345-B,17-1663-B,25-820-B,67-3321-B,102-2111-B
foruroligende	3-1388-B,25-867-B,110-1559-B
forut	3-914-B,35-2179-B
forutanelse	71-2384-B,71-3113-B
foruten	8-1728-B
forutgaende	72-748-B
forutinntatt	8-2163-B
forutse	4-1605-B,29-1082-B,35-2500-B
forutsetning	71-2277-B,71-2682-B,74-2888-B,96-1112-B,104-1358-B
forutsette	46-3066-B,72-237-B,72-327-B,96-1071-B
forutsi	35-2220-B,71-1698-B
forvalte	2-1988-B,56-2243-B
forvalter	56-2517-B,93-1540-B
forvaltning	2-2022-B,56-2374-B
forvandle	18-2639-B,101-2368-B,101-2411-B
forvandling	18-2616-B,101-2431-B
forvanske	38-559-B,68-168-B
forvaring	23-2149-B,51-2109-B,102-2687-B,108-61-B
forvarsel	71-2708-B
forveksle	17-2936-B,59-774-B,59-1047-B
forvente	31-198-B
forventning	4-1624-B,31-238-B,31-288-B
forventningsfull	31-261-B
forverre	3-509-B,30-1096-B
forvikling	50-664-B
forvirre	8-1232-B,8-2093-B,17-2897-B,17-2954-B,23-765-B,25-1791-B,28-477-B,35-719-B,37-861-B,60-1498-B,67-2691-B,74-2640-B,105-430-B
forvirret	60-1525-B
forvirring	8-2111-B,25-220-B,35-736-B,67-2708-B,105-1739-B
forvise	7-819-B,31-138-B,78-576-B
forvitre	108-1897-B
forvrenge	25-1713-B,68-186-B,103-1855-B
forvrengning	25-1731-B
forvri	56-464-B
forvridning	24-3368-B,110-1997-B
forynge	78-185-B
foss	13-534-B,13-1029-B,32-595-B,32-693-B,108-1245-B
fosse	41-1969-B
fossil	36-998-B
foster	28-811-B
fostre	10-2437-B,62-2298-B,75-2386-B
fot	35-1692-B
fotball	35-1716-B,89-2160-B
fotfeste	35-1733-B,35-1765-B,44-1186-B
fotoapparat	12-1390-B
fotograf	68-1082-B
fotografere	68-1038-B
fotografi	68-1061-B,68-1104-B
fotokopi	68-1002-B
fotpleie	14-2773-B,67-268-B
fotspor	35-1833-B,101-1120-B
fottrinn	35-1851-B,93-1373-B
foydalisme	33-1323-B
foyelig	25-2792-B,69-2230-B
fra	22-734-S,24-2257-S,26-1829-S,30-1089-B,37-452-B,63-1918-B,95-1493-S,104-612-S
fra hverandre	25-2301-S
frade	35-912-B,37-568-B
fradrag	22-752-B
fraflytte	105-2964-B
frakk	16-540-B
frakt	36-2717-B
frakte	18-2753-B,36-2731-B
fram	72-2307-S,72-3127-S
frambringe	10-2450-B
framkommelig	66-1479-B
framsteg	2-2434-B,73-693-B
frankere	92-1899-B
frase	68-1143-B
fraskrive seg	24-2100-B
frastote	78-2643-B
frastotende	35-2055-B,78-2659-B,79-315-B,79-356-B
fratre	79-1500-B,105-2981-B
fratredelse	79-1570-B,80-0-B
fravar	1-1723-B
fravarende	1-1739-B,59-613-B
fred	66-2859-B
fredag	1-221-B
fredelig	65-944-B,66-2879-B,66-2898-B,69-486-B
fredlos	64-2798-B
fredning	71-3204-B,73-2708-B
fregne	36-2457-B
freidig	9-2443-B
frekk	7-1192-B,9-2456-B,10-1834-B,14-1649-B,36-2906-B,83-418-B
frekkhet	20-1660-B,27-2455-B
frekvens	36-2821-B
frelse	77-1156-B,77-1221-B,79-923-B,80-193-B,82-2704-B,83-888-B,83-991-B
frembringe	20-142-B,38-1703-B,72-3038-B
frembrudd	21-1825-B
fremdrift	73-2231-B
fremferd	72-2204-B,72-2361-B
fremfore	67-1810-B,73-137-B
fremgang	73-711-B,73-2481-B
fremgangsmate	64-580-B,72-2223-B,72-2505-B
fremgangsrik	95-1648-B
fremherskende	25-3264-B,71-1764-B,80-2290-B
fremheve	1-2341-B,94-1683-B
fremkalle	23-2509-B,30-1026-B,30-1936-B,72-2528-B,73-3397-B
fremkalling	23-2594-B
fremkommelig	61-941-B
fremleie	95-750-B
fremme	36-868-B,37-1864-B
fremmed	3-1536-B,35-2405-B,94-1100-B,94-1162-B,107-881-B
fremmelig	36-883-B
fremover	36-901-B
fremragende	18-363-B,28-957-B,40-2137-B,65-75-B,71-1790-B,82-2364-B
fremsette	93-302-B
fremskritt	2-2451-B,43-622-B,47-416-B,73-729-B
fremskrittsvennlig	73-786-B
fremskynde	1-2246-B,31-362-B,45-2317-B,71-1318-B,75-980-B
fremstille	23-1087-B,46-2777-B,56-1588-B,57-167-B,65-1586-B,67-2984-B,69-1366-B,70-2110-B,71-2859-B,72-3057-B,78-3255-B
fremstilling	25-520-B,56-1749-B,57-190-B,71-3022-B,71-3154-B,72-3226-B,78-3299-B,93-408-B
fremtid	37-2168-B
fremtidig	37-2183-B,73-2390-B
fremtredende	18-387-B,82-2384-B
fremtvinge	28-2449-B
fremvisning	25-541-B,30-3039-B,87-447-B
frese	34-1192-B,34-1203-B,44-578-B,58-2104-B,88-317-B,91-1273-B,91-1781-B,92-286-B
fri	36-2483-B,104-1818-B
frieri	73-2141-B,95-2443-B
frigivelse	57-238-B,78-557-B
frigjore	2-3268-B,28-351-B,30-3349-B,31-2554-B,36-2492-B,53-2794-B,80-2053-B,104-221-B
frigjoring	53-2834-B
frihet	36-2579-B,54-0-B
frikjenne	2-767-B,24-1987-B
friksjon	36-3114-B
frikvarter	50-236-B,76-2720-B
frimerke	92-1914-B
frimerkesamler	68-813-B
frimodig	36-2088-B
frimurer	36-2609-B
frise	37-83-B
frisk	36-2918-B,36-2998-B,39-2289-B,43-750-B,76-2543-B,90-1514-B,108-2419-B
friske opp	36-2979-B,77-2086-B
friskhet	36-3032-B
frist	21-1661-B,78-3409-B,79-2368-B,98-2060-B
friste	98-1274-B
fristelse	98-1287-B
frita	30-2297-B,30-2625-B,31-0-B,78-914-B
fritagelse	30-2638-B
frivillig	107-1457-B,107-1498-B
fro	84-2629-B
frodig	31-2594-B,56-326-B,75-2636-B,76-112-B
froken	59-497-B
frokost	10-2135-B
from	39-2062-B,68-2555-B,78-1006-B
fromasj	60-972-B
fromhet	68-1774-B
front	37-489-B
frontglass	109-2230-B
frontlys	43-457-B
frosk	37-401-B
froskemann	37-412-B
frost	37-546-B
frue	52-1200-B
frukt	37-724-B
fruktbar	32-2735-B,33-973-B,37-751-B
fruktbarhet	33-1002-B
frukthage	64-1356-B
fryd	22-2216-B,51-1086-B
fryde	22-2229-B,78-144-B
frykt	26-953-B,32-2463-B
frykte	5-91-B,26-965-B,32-2474-B
fryktelig	6-774-B,6-2411-B,26-978-B,26-1011-B,32-2536-B,36-290-B,37-141-B,45-95-B,77-1272-B,98-2444-B,102-702-B
fryktlos	32-2554-B
fryktsom	100-592-B,100-650-B
frynse	37-232-B
fryse	36-2645-B
frysepunkt	111-688-B
fuge	51-663-B,84-1230-B
fugl	8-2751-B
fukte	21-1031-B,21-1093-B,59-1702-B
fuktig	21-1042-B,45-1722-B,59-1689-B,109-37-B
fuktighet	21-1054-B,45-1735-B,59-1716-B
ful	53-1517-B,86-613-B
full	26-2241-B,36-2381-B,37-1009-B,68-1539-B,78-2940-B,104-1549-B
fullbyrde	30-2398-B,37-962-B
fullendt	46-254-B
fullfore	1-2838-B,2-298-B
fullkommen	67-1595-B,67-1709-B
fullmakt	16-2394-B,71-550-B,74-40-B,108-548-B
fullmektig	56-2551-B
fullstendig	1-1791-B,15-1740-B,17-557-B,21-1926-B,29-581-B,37-1019-B,37-1141-B,67-1614-B,92-2695-B,99-1153-B,101-172-B,101-252-B,104-3327-B,105-2694-B,105-2828-B,109-1231-B
fundament	36-1179-B,84-1768-B
fungere	2-859-B,37-1395-B,63-2579-B,110-1110-B
funkle	39-1093-B,83-2547-B,90-2417-B,103-1769-B
funksjon	37-1412-B
funksjonar	63-2397-B,63-2517-B
funksjonsfeil	56-1918-B
funn	33-2846-B,33-2906-B
fure	26-1399-B,37-1839-B,41-2113-B,54-1564-B
furte	71-419-B,95-2605-B
furten	95-2629-B
furu	68-2453-B
furutre	68-2463-B
fusjon	37-2045-B
fuske	83-1402-B
futt	21-1520-B,39-0-B,39-1756-B,67-1166-B,89-1284-B,92-135-B,111-748-B
fy	103-2196-B
fylde	37-1110-B
fyldig	4-206-B,37-1036-B,58-157-B,69-2614-B,80-1891-B
fylke	19-1293-B
fyll	33-2504-B
fylle	33-2417-B
fylle bensin	77-2260-B
fyllik	82-801-B,90-1774-B
fylling	33-2517-B,65-2266-B
fylt	95-196-B
fyr	7-2313-B,9-1071-B,14-279-B,21-81-B,26-2462-B,33-342-B,34-376-B,54-864-B
fyrboter	43-1328-B,93-2568-B
fyre	34-385-B,93-2557-B
fyre av	34-395-B
fyrste	72-1291-B
fyrstedomme	72-1429-B
fyrstelig	72-1318-B
fyrstikk	57-1629-B
fyrstikkeske	57-1693-B
fysiker	68-1302-B
fysikk	68-1320-B
fysisk	68-1234-B
ga	39-1764-B,65-908-B,70-9-B,82-928-B,102-134-B,107-2365-B,110-1149-B
ga av	79-3578-B,110-134-B
ga forbi	66-1326-B
ga fra hverandre	25-2301-B
ga fram	72-2307-B
ga galt	39-1837-B
ga glipp av	55-1472-B,59-510-B
ga i stykker	19-2198-B,86-799-B
ga ned	85-1788-B
ga over	66-1341-B
ga til bunns	36-1327-B
ga til verks	72-2324-B
ga tilbake	76-2330-B,80-278-B
ga ut	93-51-B
gaende	67-249-B
gaffel	35-2790-B
gagn	8-1411-B,37-2493-B,58-1169-B,73-316-B,105-2304-B,105-2607-B
gagne	8-1424-B
gal	7-1294-B,49-161-B,55-646-B,56-689-B,62-2534-B,62-2576-B,83-1831-B,107-1863-B,110-2468-B
galakse	37-2664-B
galant	37-2735-B
gale	20-1231-B
galehus	8-323-B
galei	37-2827-B
galge	38-31-B,38-2506-B
galle	37-2701-B
galleri	37-2781-B
