sjokart	14-1002-B
skrik	44-1485-B,44-2417-B,64-2674-B,84-493-B,84-547-B,87-252-B,87-581-B,111-105-B
skrike	7-2170-B,12-1122-B,15-1336-B,20-1722-B,20-1733-B,44-1498-B,44-2428-B,84-506-B,84-561-B,87-264-B,87-594-B,92-425-B,92-827-B,111-116-B
skrikende	38-695-B,38-1232-B,39-669-B,55-1705-B
skrin	13-621-B,13-714-B,14-1990-B
skrinn	38-1283-B,52-1762-B,53-868-B,57-2333-B,88-726-B,99-698-B
skritt	20-1193-B,65-932-B,93-1387-B,94-1976-B,102-300-B
skriv	53-2274-B
skrive	67-676-B,91-546-B,103-2000-B,110-2347-B,110-2410-B
skrive inn	29-14-B,77-2958-B
skrive ut	72-1594-B
skrivemaskin	103-2032-B
skriver	72-1633-B
skrog	9-2273-B,12-2526-B,45-1417-B,45-1451-B
skrone	33-1452-B
skropelig	10-2081-B,11-530-B,36-1730-B,36-1803-B,48-1570-B,80-2005-B,108-1580-B
skrot	56-29-B
skru	84-683-B
skrubb	110-552-B
skrubbe	81-2416-B,84-84-B,84-845-B,96-2623-B
skrubbsar	40-2013-B
skrubbsulten	76-1057-B
skrue	73-1512-B,84-694-B
skruestikke	106-2726-B
skrujern	84-706-B
skrukket	110-2301-B
skrunokkel	90-2281-B
skryt	9-2081-B,32-1179-B,96-2819-B
skryte	9-2093-B,10-1346-B,96-2831-B
skubb	51-587-B,74-2336-B,87-277-B,99-2134-B
skubbe	45-2584-B,50-2834-B,51-607-B,51-850-B,62-1925-B,74-2347-B,87-289-B,87-833-B
skudd	41-1913-B,81-2037-B,83-2581-B,86-2371-B,87-104-B,92-49-B
skuespill	65-1394-B,69-1401-B,91-168-B
skuespiller	2-1203-B,16-1890-B,69-1481-B
skuespillforfatter	69-1554-B
skuff	26-907-B
skuffe	21-2637-B,24-1611-B,37-802-B,83-2770-B,87-327-B
skuffelse	24-1650-B,37-819-B
skuffet	24-1629-B
skulder	87-201-B
skuldertrekning	87-771-B
skulke	21-337-B,69-1462-B
skulptur	84-999-B
skuls	75-1301-B
skum	35-924-B,37-581-B,52-2390-B,84-1029-B,92-124-B,95-1984-B,111-75-B
skumme	35-934-B,37-592-B,52-2402-B,88-628-B
skummel	60-2052-B,75-597-B,87-2592-B
skumring	27-479-B,39-1137-B,61-2645-B,103-1626-B
skur	45-978-B,85-2829-B,86-351-B,86-1068-B,87-435-B
skure	13-2611-B,81-2428-B,84-98-B,84-859-B
skurk	59-183-B,76-529-B,84-20-B,107-236-B
skurv	83-1234-B,84-1064-B
skvaldre	14-1303-B
skvalpe	89-28-B
skvett	21-1551-B,90-2501-B,91-112-B,91-1417-B,91-2819-B
skvette	51-1429-B,90-2516-B,91-1431-B,91-2835-B,93-112-B,109-2033-B
skvettlapp	60-1558-B
sky	6-2170-B,16-46-B,51-417-B,87-862-B,87-1024-B,88-861-B,100-621-B
skygge	38-2388-B,85-2898-B,85-2928-B,97-1362-B
skyggefull	85-2942-B
skyld	9-465-B,32-2231-B,41-1587-B,53-2595-B
skylde	65-736-B
skyldig	26-2518-B,41-1599-B
skylle	80-2910-B,97-135-B,108-715-B
skypumpe	91-2363-B
skyskraper	88-1001-B
skyte	71-52-B,83-2888-B,86-2383-B,92-62-B
skyteskive	12-175-B,97-2376-B
skyttel	87-967-B
skytteltrafikk	87-983-B
skytter	86-2408-B,87-115-B
skyve	70-599-B,87-302-B
sla	7-768-B,7-1064-B,7-1739-B,7-2005-B,9-2527-B,16-109-B,16-1113-B,22-977-B,23-3046-B,34-1544-B,34-2655-B,44-724-B,51-2359-B,52-533-B,52-2251-B,74-1235-B,88-1286-B,88-1370-B,89-849-B,89-2331-B,94-1254-B,94-2049-B,99-1796-B,99-2012-B,99-2370-B,109-843-B,109-899-B
sla feil	31-3337-B,59-18-B
sla leir	12-1433-B,28-1561-B
sla seg ned	85-2199-B
sladre	9-212-B,39-2769-B,89-1477-B,92-841-B,97-1845-B,98-13-B,98-926-B
slag	7-758-B,7-2094-B,7-2638-B,9-1661-B,15-1488-B,20-1923-B,21-348-B,44-715-B,52-2099-B,67-631-B,67-1489-B,74-1124-B,74-1150-B,74-1224-B,88-1276-B,89-671-B,89-2321-B,90-1371-B,94-889-B,94-2303-B,94-2371-B,97-1085-B,103-2012-B,107-2491-B
slagg	26-1911-B,88-1145-B
slagmark	7-2120-B
slagord	13-1120-B,88-2558-B
slags	95-1825-S,95-1861-S
slagsmal	2-3290-B,10-1806-B,33-1978-B,36-2404-B
slakk	34-1277-B,34-1303-B,35-75-B,54-1484-B,88-1080-B
slakke	27-1248-B,88-1130-B,103-2742-B
slakte	51-2501-B
slakter	12-159-B
slakteri	1-780-B,86-174-B,88-1423-B
slam	64-305-B,87-1886-B,88-2113-B
slange	45-404-B,85-1361-B,89-1271-B,103-212-B
slank	88-1727-B,88-2052-B,96-2610-B
slanke seg	77-1343-B,88-2063-B
slapp	34-1290-B,34-1317-B,35-88-B,53-223-B,54-1495-B,88-1092-B
slaps	89-354-B
slass	33-1994-B
slave	9-2560-B,88-1447-B
slede	88-1519-B,88-1544-B,88-1686-B,88-1946-B
slegge	42-362-B
sleip	40-2083-B,88-2386-B
slekt	32-959-B,38-2074-B,51-2615-B,54-1725-B,75-1546-B,102-1019-B
slektskap	17-3404-B,51-2625-B,52-47-B,78-348-B,78-413-B
slem	6-2815-B,30-971-B,40-2647-B,50-1470-B,61-808-B,103-2215-B,109-1456-B
slenge	34-2294-B,88-2183-B,99-1986-B,101-121-B
slentre	83-757-B,94-2461-B
slep	101-1828-B
slepe	13-402-B,26-596-B,55-2537-B,101-736-B,101-1666-B,103-348-B
slepebat	103-358-B,103-412-B
slepenot	26-637-B
slett	6-2824-B,6-2923-B,30-210-B,30-981-B,46-998-B,89-1077-B,109-1468-B
slette	22-1962-B,34-1756-B,53-2411-B,69-686-B
slibrig	63-422-B,82-2199-B,88-2401-B
slik	89-1958-B,95-1840-B
slike	95-1880-B
slikke	52-1824-B,54-294-B
slim	68-899-B,88-2124-B
slimet	60-1442-B,88-2135-B
slimlosende	31-312-B
slingre	56-223-B,81-1022-B
slipe	21-357-B,40-2883-B,44-1908-B,109-462-B
slipestein	40-2921-B,109-501-B
slippe	78-1086-B,104-2405-B
slips	19-2807-B,61-1201-B,100-114-B
slit	40-2895-B
slitasje	1-1538-B,108-1825-B
slite	84-949-B,98-417-B,100-1707-B,103-372-B,108-1839-B
slitsom	52-825-B
slokke	31-2116-B,75-668-B,88-1168-B
slor	20-2811-B,106-1255-B
slose	53-19-B,92-495-B,108-947-B
slosing	108-960-B
slott	13-870-B,65-1780-B
slov	9-1846-B,26-2642-B,63-1128-B,93-2597-B
slove	9-1858-B,26-2653-B
slovhet	4-2005-B,27-37-B
sloyfe	10-952-B,55-1214-B,80-1856-B,88-777-B
slu	6-476-B,12-1891-B,20-2186-B,89-397-B,102-1279-B,109-1943-B
sludd	88-1649-B
sludder	9-426-B,11-1806-B,11-2163-B,41-1452-B,44-2250-B,59-2578-B,62-667-B,68-1788-B,81-2591-B,86-2074-B,101-76-B,103-1388-B
sludre	37-2268-B,50-2916-B
sluke	1-1923-B,23-2862-B,39-1907-B,41-1770-B,96-2673-B
slummer	89-256-B
slump	1-2559-B,13-3041-B
slumre	26-454-B,26-1989-B,89-272-B
slunken	55-1269-B
slurk	26-768-B,26-1476-B,26-1876-B,41-1781-B,96-2687-B
sluse	55-583-B,89-243-B
slutning	15-2640-B,28-2004-B,28-2144-B,34-219-B,48-1375-B,98-2251-B
slutt	28-2017-B,28-2160-B,31-936-B,34-235-B,52-2221-S
slutte	15-2655-B,17-1968-B,18-1983-B,22-720-B,28-2027-B,34-248-B,48-1362-B,75-1253-B,76-1985-B,93-2779-B,98-2174-B
slyng	109-2079-B
slynge	13-1013-B,21-1563-B,34-2307-B,45-2247-B,71-1341-B,88-2196-B,99-1999-B,109-2090-B
slyngel	76-542-B
slyngplante	20-384-B
smadre	86-835-B,89-682-B
smak	34-1888-B,41-2057-B,54-1185-B,78-1104-B,83-1098-B,89-417-B,97-2672-B
smake	83-1110-B,97-2683-B
smakfull	27-3015-B,97-2708-B
smaklos	49-780-B
smakoke	93-1526-B
smaksprove	83-97-B
smal	61-263-B,99-710-B
smalig	61-2605-B,68-578-B
smapenger	14-146-B
smart	61-635-B,61-2579-B,87-532-B,89-594-B,100-2087-B
smask	89-451-B
smating	102-1319-B
smatte	89-341-B
smatteri	102-1335-B
smed	89-860-B
smekk	76-245-B,88-1296-B,89-428-B,90-2201-B
smekke	8-2198-B,96-2984-B
smekker	88-1741-B,88-2079-B
smekklas	52-2262-B
smekte	52-1716-B
smell	7-778-B,19-2282-B,70-1487-B,78-3128-B,88-1181-B,89-1328-B
smelle	15-2089-B,19-2294-B,70-1497-B
smelte	37-2033-B,58-272-B,89-813-B
smerte	2-275-B,40-2555-B,65-1499-B,65-2314-B,89-606-B
smertefri	65-1555-B
smertefull	65-1536-B
smertelig	25-3113-B
smertestillende	4-1280-B
smette	88-2317-B
smi	35-2657-B
smidig	54-2205-B,54-2482-B,96-612-B
smidighet	69-2192-B
smie	35-2667-B,89-871-B
smiger	34-1839-B
smigre	9-527-B,12-821-B,16-653-B,34-1824-B
smil	89-826-B
smile	89-837-B
smilehull	24-779-B
sminke	56-1702-B,65-1654-B
smitte	18-1037-B,48-1218-B,48-1252-B,97-1447-B
smittende	48-1269-B
smittsom	13-1102-B,48-1290-B
smoking	103-1373-B
smor	12-238-B
smorbrod	83-265-B
smore	55-2197-B,63-2750-B,89-737-B,91-2511-B,97-1966-B
smoring	55-2178-B,55-2214-B
smug	93-1034-S
smugle	10-287-B,89-1156-B
smul	89-1090-B
smuldre	60-564-B
smule	20-1525-B
smult	52-1945-B
smuss	24-1415-B,33-2636-B,40-2777-B,89-1193-B,90-104-B,92-481-B
smutte	88-2329-B
smutthull	55-1239-B
smykke	2-2348-B,5-1687-B,6-1200-B,22-440-B,38-814-B,40-369-B,51-344-B,64-2247-B,102-1551-B
smykker	51-375-B
snabel	7-2364-B,89-1791-B,102-2637-B
snakk	37-2258-B,100-1379-B
snakke	90-2583-B,97-1857-B
snakkesalig	97-1879-B
snappe	40-292-B,89-1339-B
snar	73-1257-B
snare	89-1380-B,102-22-B
snarere	76-791-B,90-1080-B
snarlig	91-506-B
snart	71-3138-B,87-40-B,90-1043-B
snarvei	86-2753-B
snau	7-1182-B,61-78-B
snaut	83-1599-B
snedig	102-1239-B
snegle	89-189-B,89-1248-B
snekker	13-134-B
snelle	9-2116-B,77-1608-B
snerk	88-715-B
snerpet	74-143-B,92-873-B
snerre	89-1405-B
snerte	40-2030-B
snev	89-440-B,94-1354-B,100-772-B,101-1028-B
snever	61-275-B
sneversynt	8-2361-B
snike	89-1490-B
snikende	93-1052-B
snikskytter	89-1654-B
snill	21-2286-B,39-2323-B,51-2671-B,61-2329-B,69-1844-S
snipp	16-1326-B,52-1847-B
snippkjole	96-2730-B,97-1415-B
snitt	21-367-B,61-2464-B,84-2160-B,86-451-B,89-1643-B
snitte	13-521-B,89-1538-B,109-1130-B
sno	89-1828-B,99-2023-B,103-1692-B,103-1871-B,109-2102-B,110-2216-B
snobb	89-1687-B
snodig	26-1735-B,75-611-B
snodrive	26-1259-B
snofte	89-1604-B,89-1749-B
snogg	73-1269-B,75-967-B,76-353-B
snor	10-1371-B,18-3315-B,53-1148-B,54-1685-B,81-1406-B,94-2193-B,103-1702-B
snore	52-968-B
snorke	89-1711-B
snorr	89-1763-B
snorret	89-1775-B
snostorm	9-1216-B,89-1838-B
snovle	89-1896-B,103-1426-B
snu	81-1585-B,103-1033-B,106-1137-B
snuble	95-256-B,102-1577-B
snue	16-1252-B
snufse	89-1579-B,89-1673-B
snurrebass	100-2336-B
snurrig	63-1786-B
snurt	45-1296-B
snuse	74-188-B,89-1592-B,89-1858-B,89-1882-B
snute	60-2597-B,62-947-B,89-1804-B
snyltegjest	65-2859-B,91-1932-B
snylter	65-2880-B
snyte	8-0-B,14-2899-B,17-1248-B,23-3395-B,35-955-B,36-1620-B,89-1870-B
soda	89-2421-B
sofa	19-818-B,85-1977-B,89-2451-B
sogn	66-172-B
sogneprest	66-380-B,77-955-B,106-2699-B
sok	84-1440-B
soke	75-731-B,84-1452-B,84-2697-B
sokk	44-1592-B,87-2682-B,89-2341-B
sokkel	60-899-B,67-233-B,89-2365-B,89-2398-B
soknad	4-2966-B,68-474-B,79-540-B
soksmal	2-1072-B,95-2500-B
sol	95-2980-B
solbrent	95-3027-B
solbrenthet	95-3007-B
soldat	66-2668-B,85-1628-B,90-231-B
sole	24-1426-B,60-1417-B,60-1488-B,89-166-B,90-115-B,91-986-B
sole til	8-350-B,8-1760-B,26-619-B,90-126-B
solepytt	74-725-B
solid	90-464-B,90-1596-B,93-955-B
solidaritet	90-476-B
solnedgang	95-3120-B
solo	90-599-B
solsikke	95-3101-B
solstikk	95-3138-B
solstrale	95-2988-B
solv	5-1154-B,87-1896-B
solverv	90-609-B
solvtoy	69-1144-B
som	5-2290-B,43-2139-B,45-1076-B,54-955-B,84-1272-B,96-2587-B,109-557-B,109-1202-S,109-1223-B
som helst	4-1906-S,109-402-S
som kan fas	72-2840-B
som om	5-2297-B
somle	21-1784-B,55-959-B
somme	90-765-B
sommelig	21-2743-B,22-494-B,59-1544-B,73-1729-B,84-2792-B
sommelighet	21-2705-B,22-513-B
sommer	95-2829-B
sommerfugl	12-251-B
sondag	95-3045-B
sonde	72-2160-B
sondre	84-1812-B,90-1797-B
sone	6-728-B,6-739-B,31-907-B,111-802-B
sonn	90-953-B
sope	96-3171-B
sopp	37-1525-B,60-2162-B,100-1452-S
soppel	38-543-B,77-2480-B,82-0-B,102-107-B
sor	90-1811-B
sordin	21-1106-B,60-2381-B
