shrubbery	87-754-B
sling	88-2148-B,88-2159-B,88-2171-B,88-2183-B,88-2196-B,88-2209-B
slink	88-2222-B
slip	88-2238-B,88-2251-B,88-2261-B,88-2276-B,88-2285-B,88-2294-B,88-2304-B,88-2317-B,88-2329-B,88-2341-B
slipper	88-2355-B
slippery	88-2371-B,88-2386-B,88-2401-B
slippy	88-2418-B
slipshod	88-2431-B
slit	88-2448-B,88-2459-B,88-2469-B,88-2481-B
slither	88-2493-B,88-2505-B
sliver	88-2518-B,88-2530-B
slobber	88-2544-B
slogan	88-2558-B
slop	88-2573-B
slope	88-2585-B,88-2597-B,88-2611-B
sloping	88-2627-B
sloppy	89-0-B
slosh	89-15-B,89-28-B
slot	89-42-B
slough	89-54-B,89-68-B
slovenly	89-80-B
slow	89-97-B,89-111-B,89-124-B
sludge	89-137-B,89-152-B,89-166-B
slug	89-179-B,89-189-B
sluggish	89-201-B,89-216-B
sluice	89-230-B,89-243-B
slumber	89-256-B,89-272-B
slumberous	89-287-B
slump	89-306-B,89-318-B,89-329-B
slurp	89-341-B
slush	89-354-B
slut	89-366-B
sly	89-378-B,89-389-B,89-397-B
smack	89-405-B,89-417-B,89-428-B,89-440-B
smacker	89-451-B
small	89-465-B,89-477-B
smallpox	89-494-B
smart	89-510-B,89-523-B,89-536-B,89-547-B,89-559-B,89-572-B,89-584-B,89-594-B,89-606-B,89-619-B
smash	89-630-B,89-641-B,89-653-B,89-671-B,89-682-B
smashing	89-695-B
smear	89-710-B,89-725-B,89-737-B
smeary	89-750-B
smell	89-765-B,89-777-B,89-788-B,89-800-B
smelt	89-813-B
smile	89-826-B,89-837-B
smite	89-849-B
smith	89-860-B
smithy	89-871-B
smoke	89-883-B,89-894-B,89-906-B
smoker	89-919-B
smokestack	89-934-B
smooth	89-955-B,89-971-B,89-984-B,89-1000-B,89-1013-B,89-1027-B,89-1039-B,89-1052-B,89-1064-B,89-1077-B,89-1090-B
smother	89-1102-B
smoulder	89-1116-B
smudge	89-1130-B
smug	89-1143-B
smuggle	89-1156-B
smut	89-1171-B,89-1182-B,89-1193-B
smutty	89-1204-B
snag	89-1219-B,89-1230-B
snail	89-1248-B
snake	89-1261-B,89-1271-B
snap	89-1284-B,89-1294-B,89-1306-B,89-1317-B,89-1328-B,89-1339-B
snappy	89-1351-B,89-1363-B
snare	89-1380-B
snarl	89-1392-B,89-1405-B
snatch	89-1418-B,89-1437-B,89-1453-B
sneak	89-1465-B,89-1477-B,89-1490-B
sneer	89-1502-B
sneeze	89-1515-B
snick	89-1527-B,89-1538-B
snicker	89-1551-B,89-1565-B
sniff	89-1579-B,89-1592-B,89-1604-B
snigger	89-1618-B
snip	89-1632-B,89-1643-B
sniper	89-1654-B
snivel	89-1673-B
snob	89-1687-B
snooze	89-1698-B
snore	89-1711-B
snort	89-1724-B,89-1736-B,89-1749-B
snot	89-1763-B
snotty	89-1775-B
snout	89-1791-B,89-1804-B,89-1816-B
snow	89-1828-B
snowstorm	89-1838-B
snuff	89-1858-B,89-1870-B
snuffle	89-1882-B,89-1896-B
snug	89-1912-B,89-1926-B,89-1939-B
so	89-1948-B,89-1958-B,89-1966-B
so called	89-1987-B
so far	89-1973-B
soak	89-2005-B
soaked	89-2017-B
soap	89-2036-B
soar	89-2047-B
sob	89-2058-B,89-2069-B
sober	89-2079-B,89-2090-B,89-2105-B
sobriety	89-2120-B
sobriquet	89-2141-B
soccer	89-2160-B
sociable	89-2175-B,89-2196-B
social	89-2217-B,89-2236-B
socialize	89-2250-B
society	89-2272-B,89-2289-B,89-2305-B
sock	89-2321-B,89-2331-B,89-2341-B,89-2351-B
socket	89-2365-B,89-2379-B
socle	89-2398-B
soda	89-2411-B,89-2421-B
sodden	89-2431-B
sofa	89-2451-B
soft	89-2461-B,89-2471-B,89-2482-B,89-2491-B,89-2501-B,89-2511-B,89-2524-B,89-2534-B,89-2543-B,89-2554-B
soften	89-2564-B,89-2583-B,89-2596-B,89-2610-B
softness	90-0-B
software	90-18-B
soggy	90-39-B
soil	90-57-B,90-68-B,90-78-B,90-93-B,90-104-B,90-115-B,90-126-B
soiled	90-141-B
sojourn	90-156-B,90-172-B
solace	90-189-B,90-203-B
solder	90-218-B
soldier	90-231-B
sole	90-246-B,90-258-B,90-269-B,90-280-B
solely	90-297-B
solemn	90-310-B
solemnity	90-329-B
solicitor	90-354-B,90-372-B
solicitous	90-392-B
solid	90-412-B,90-423-B,90-434-B,90-447-B,90-464-B
solidarity	90-476-B
solidify	90-499-B
solitary	90-517-B,90-534-B,90-550-B,90-566-B
solitude	90-581-B
solo	90-599-B
solstice	90-609-B
solution	90-626-B,90-644-B
solve	90-665-B
sombre	90-677-B,90-690-B
some	90-703-B,90-723-B,90-743-B,90-752-B,90-765-B
somebody	90-776-B
somehow	90-790-B
someone	90-823-B
something	90-836-B,90-861-B
somewhat	90-875-B,90-896-B,90-910-B
somewhere	90-923-B
son	90-953-B
son in law	90-963-B
song	90-986-B,90-996-B
sonority	90-1006-B
soon	90-1021-B,90-1031-B,90-1043-B,90-1054-B
sooner	90-1066-B,90-1080-B
soot	90-1095-B
soothe	90-1104-B,90-1120-B
sorcerer	90-1136-B
sordid	90-1155-B,90-1170-B,90-1184-B
sore	90-1199-B,90-1209-B,90-1223-B,90-1233-B
soreness	90-1242-B
sorrel	90-1258-B
sorrow	90-1270-B,90-1289-B
sorry	90-1301-B,90-1317-B,90-1327-B,90-1343-B
sort	90-1360-B,90-1371-B,90-1381-B,90-1391-B
sorting	90-1404-B
sot	90-1422-B
sottish	90-1438-B
sough	90-1457-B
soul	90-1468-B,90-1482-B,90-1494-B
sound	82-1800-S,90-1504-B,90-1514-B,90-1526-B,90-1538-B,90-1551-B,90-1563-B,90-1573-B,90-1584-B,90-1596-B,90-1608-B,90-1620-B,90-1631-B
soundless	90-1642-B
soup	90-1660-B
sour	90-1671-B,90-1683-B,90-1692-B
source	90-1702-B,90-1715-B,90-1731-B
souse	90-1750-B,90-1762-B,90-1774-B
south	90-1787-B,90-1797-B,90-1811-B,90-1822-B
southerly	90-1837-B
southern	90-1855-B
southwards	90-1872-B
souvenir	90-1892-B
sovereign	90-1911-B,90-1929-B,90-1946-B
soviet	90-1965-B
sow	90-1979-B,90-1989-B
soy	90-1997-B
spa	90-2012-B
space	90-2024-B,90-2040-B,90-2052-B,90-2062-B
spacious	90-2076-B
spade	90-2094-B,90-2106-B
spall	90-2117-B,90-2128-B
span	90-2141-B,90-2152-B
spanish	90-2163-B
spank	90-2178-B,90-2189-B,90-2201-B
spanking	90-2213-B,90-2229-B,90-2245-B
spanner	90-2259-B,90-2281-B
spar	90-2301-B
spare	90-2312-B,90-2323-B,90-2335-B,90-2347-B,90-2365-B,90-2378-B,90-2390-B
spark	90-2405-B
sparkle	90-2417-B,90-2432-B,90-2446-B
sparrow	90-2461-B
spasm	90-2475-B
spat	90-2488-B
spatter	90-2501-B,90-2516-B,90-2532-B
spawn	90-2549-B,90-2561-B,90-2572-B
speak	90-2583-B,90-2596-B,90-2607-B,90-2620-B
speaker	90-2631-B,90-2650-B
speaking	90-2664-B
spear	90-2678-B,90-2690-B,90-2703-B,90-2715-B
special	90-2726-B,90-2741-B,90-2758-B,90-2776-B,90-2792-B
specialist	90-2812-B
speciality	90-2831-B
specialty	90-2854-B
species	91-0-B
specific	91-12-B,91-28-B
specimen	91-47-B,91-66-B,91-84-B
speck	91-100-B,91-112-B,91-125-B
speckle	91-137-B
speckled	91-151-B
spectacle	91-168-B
spectacles	91-188-B
spectator	91-207-B
spectre	91-226-B,91-243-B
speculate	91-261-B,91-278-B
speculation	91-298-B
speech	91-322-B,91-336-B
speechless	91-348-B,91-368-B
speed	91-384-B,91-395-B,91-406-B,91-416-B,91-427-B
speedometer	91-443-B
speedy	91-467-B,91-481-B,91-494-B,91-506-B
spell	91-521-B,91-532-B,91-546-B,91-559-B,91-571-B,91-583-B
spellbound	91-598-B
spelling	91-620-B,91-643-B
spend	91-663-B,91-675-B,91-691-B,91-706-B,91-718-B
spendthrift	91-734-B
spent	91-755-B
spew	91-770-B,91-786-B
sphere	91-795-B,91-807-B
spice	91-821-B,91-835-B
spider	91-848-B
spiel	91-865-B
spigot	91-880-B
spike	91-892-B,91-902-B,91-914-B,91-925-B,91-938-B
spiky	91-950-B
spill	91-962-B,91-973-B,91-986-B
spin	91-998-B,91-1009-B,91-1021-B
spin dry	91-1035-B
spinach	91-1057-B
spine	91-1072-B,91-1083-B
spinner	91-1097-B
spiny	91-1113-B
spire	91-1126-B
spirit	91-1137-B,91-1151-B,91-1164-B,91-1181-B
spirited	91-1193-B
spiritual	91-1209-B,91-1228-B
spirt	91-1247-B,91-1259-B
spit	91-1273-B,91-1284-B,91-1295-B,91-1307-B,91-1318-B,91-1330-B
spite	91-1341-B,91-1353-B
spiteful	91-1367-B
spittle	91-1389-B
splash	91-1403-B,91-1417-B,91-1431-B
spleen	91-1446-B,91-1462-B,91-1474-B
splendid	91-1487-B,91-1506-B,91-1525-B
splendour	91-1545-B,91-1561-B
splice	91-1577-B
splint	91-1592-B,91-1606-B
splinter	91-1620-B,91-1634-B,91-1650-B
split	91-1664-B,91-1676-B,91-1687-B,91-1701-B,91-1713-B,91-1726-B,91-1740-B
splodge	91-1753-B,91-1767-B
splutter	91-1781-B
spoil	91-1796-B,91-1808-B,91-1823-B,91-1833-B,91-1847-B,91-1861-B
spoke	91-1877-B,91-1888-B
spokesman	91-1900-B
sponge	91-1919-B
sponger	91-1932-B
spongy	91-1952-B,91-1965-B
sponsion	91-1979-B
sponsor	91-1996-B,91-2011-B,91-2026-B
spontaneous	91-2042-B,91-2062-B
spook	91-2086-B
spooky	91-2102-B
spool	91-2114-B
spoon	91-2126-B
spoor	91-2137-B,91-2147-B
sport	91-2158-B,91-2171-B,91-2182-B
sportsman	91-2194-B
sportswear	91-2215-B
spot	91-2238-B,91-2252-B,91-2263-B,91-2275-B,91-2286-B,91-2299-B,91-2310-B,91-2321-B
spotted	91-2331-B,91-2347-B
spout	91-2363-B,91-2378-B,91-2393-B
sprain	91-2403-B,91-2418-B
spray	91-2435-B,91-2446-B,91-2458-B,91-2473-B
spread	91-2482-B,91-2497-B,91-2511-B,91-2525-B,91-2537-B,91-2551-B,91-2564-B
spree	91-2583-B
sprig	91-2594-B
sprightly	91-2606-B
spring	91-2623-B,91-2636-B,91-2648-B,91-2661-B,91-2676-B,91-2690-B,91-2704-B,91-2719-B,91-2734-B
springboard	91-2746-B
springtime	91-2770-B
springy	91-2786-B
sprinkle	91-2803-B,91-2819-B,91-2835-B,91-2852-B,91-2867-B,91-2883-B
sprint	92-0-B,92-13-B
sprite	92-27-B
sprout	92-38-B,92-49-B,92-62-B,92-75-B,92-88-B
spruce	92-101-B
spud	92-113-B
spume	92-124-B
spunk	92-135-B
spur	92-146-B,92-159-B,92-170-B
spurn	92-181-B,92-195-B
spurt	92-207-B,92-219-B,92-232-B,92-247-B,92-259-B,92-272-B
sputter	92-286-B,92-300-B
spy	92-315-B
spyhole	92-325-B
squabble	92-342-B,92-357-B
squad	92-373-B
squalid	92-383-B,92-399-B
squall	92-413-B,92-425-B,92-439-B
squally	92-453-B
squalor	92-467-B,92-481-B
squander	92-495-B
square	92-511-B,92-526-B,92-543-B,92-561-B,92-575-B,92-590-B,92-608-B,92-621-B,92-640-B,92-652-B
squash	92-666-B,92-682-B,92-696-B
squat	92-712-B
squatter	92-732-B
squeak	92-753-B,92-765-B,92-778-B
squeal	92-790-B,92-802-B,92-815-B,92-827-B,92-841-B
squeamish	92-855-B,92-873-B
squeeze	92-891-B,92-904-B,92-919-B,92-938-B,92-953-B
squint	92-968-B,92-983-B,92-995-B
squint eyed	92-1009-B
squire	92-1031-B
squirrel	92-1046-B
squirt	92-1061-B,92-1074-B,92-1088-B,92-1104-B
stab	92-1119-B,92-1130-B,92-1141-B,92-1153-B
stable	92-1164-B,92-1177-B,92-1189-B,92-1202-B
stack	92-1215-B,92-1227-B,92-1238-B,92-1254-B,92-1267-B
stadium	92-1280-B
staff	92-1296-B,92-1312-B,92-1323-B
stag	92-1334-B
stage	92-1345-B,92-1361-B,92-1374-B,92-1385-B,92-1397-B,92-1411-B,92-1425-B
stagger	92-1438-B,92-1451-B,92-1467-B,92-1481-B
stagnate	92-1496-B
staid	92-1514-B
stain	92-1526-B,92-1537-B,92-1549-B,92-1561-B,92-1573-B
stainless	92-1586-B,92-1605-B
stair	92-1623-B
staircase	92-1641-B
stairs	92-1657-B
stake	92-1670-B,92-1682-B,92-1696-B,92-1708-B
stale	92-1720-B,92-1732-B,92-1743-B
stalk	92-1756-B,92-1770-B,92-1782-B
stall	92-1794-B,92-1805-B
