biskop	8-2876-B
blodare	106-1266-B
blodbad	13-33-B,57-1331-B,88-1405-B
bloder	9-930-B
blodfattig	4-390-B
blodig	9-1413-B,39-2710-B
blodmangel	4-371-B
blodning	41-2506-B
blodsutgytelse	9-1388-B
bloffe	9-1764-B
bloffmaker	68-954-B
blokade	9-1322-B
blokk	9-1271-B,10-2617-B,65-1228-B
blokkering	63-935-B
blokkfloyte	77-626-B
blomkal	13-1369-B
blomst	9-1459-B,9-1524-B,35-388-B
blomstre	9-1472-B,9-1539-B,35-199-B,35-402-B,99-1703-B
blomstrende	9-1503-B,35-283-B,73-2537-B
blomstring	9-1556-B,27-2332-B,35-113-B,35-418-B,35-436-B,35-626-B,48-1823-B
blond	9-1339-B,32-184-B
blondine	9-1361-B
blot	20-1537-B,58-144-B,89-971-B,89-2471-B,91-1952-B,98-1542-B
blotgjore	89-2564-B
blothet	74-1060-B,90-0-B
blott	58-1060-B,64-130-B
blotte	25-2463-B,31-1422-B,94-2236-B,104-677-B
bluferdig	19-2059-B
blund	89-1698-B
blunde	61-127-B
blunk	109-2339-B
blunke	9-1140-B,103-1754-B,109-2350-B
bluse	9-1609-B
bly	53-486-B,69-2534-B
blyant	67-728-B
blyfri	104-3063-B
blyg	19-2073-B,86-1109-B,87-1006-B
blyinnfattet	53-570-B
bo	27-687-B,44-1681-B,54-2639-B,79-1332-B,93-773-B
boble	11-1201-B
bod	10-268-B,92-2077-B
boddel	30-2528-B,42-1163-B
bofast	79-1425-B
boffel	11-1424-B
bog	87-188-B
boikotte	10-1134-B
bok	10-0-B,107-1346-B
bokbind	8-2601-B
bokfore	10-9-B,29-130-B,77-580-B,77-2887-B
bokforing	29-858-B
bokhandel	10-49-B
bokholder	1-3203-B
bokholderi	1-3270-B
boks	10-1064-B,12-1501-B,12-1830-B,100-692-B
bokse	10-1073-B,90-2301-B
bokstav	14-388-B,53-2247-B
bokstavelig	54-2356-B,54-2409-B
boktrykker	72-1614-B
bolge	8-2524-B,96-1426-B,104-1650-B,108-1329-B
bolgebryter	10-2223-B
bolgelengde	108-1397-B
bolig	1-1272-B,27-696-B,41-2371-B,55-799-B,79-1342-B,98-1719-B
boling	43-2236-B
bolle	10-1020-B,11-1837-B,11-1980-B,44-2220-B,44-2366-B,81-951-B,81-1851-B,81-2340-B,82-281-B,101-577-B
bolt	9-2508-B,68-2257-B,94-2817-B
bom	7-1001-B,7-1533-B,10-68-B,59-451-B
bombardere	67-605-B
bombe	9-2549-B
bomme	59-460-B
bommert	9-1778-B,45-1157-B
boms	11-1868-B
bomull	19-780-B
bomvei	103-1240-B
bonde	15-481-B,19-1276-B,32-1406-B,66-2632-B,67-86-B
bondegard	32-1455-B,40-952-B
bone	108-1446-B
bong	99-2550-B
bonn	68-444-B,69-1608-B,71-974-B,79-504-B,95-2410-B,96-726-B
bonne	7-2401-B
bonnfalle	29-778-B,46-3034-B,95-2013-B,96-704-B
bonus	71-2334-B
bopel	25-3231-B,79-1358-B
bor	6-1485-B,26-1322-B,38-2762-B,109-1969-B
bord	9-1923-B,27-1891-B,97-895-B
bordbonn	40-304-B
bordduk	15-2816-B
borde	9-1934-B
bordell	11-864-B
bore	10-403-B,26-1332-B
boretarn	23-949-B
borg	13-858-B
borger	11-2306-B,15-989-B,36-2594-B
borgerlig	15-1086-B
borgermester	57-2255-B,73-3510-B
boring	10-413-B,26-1435-B
borre	11-2241-B,11-2459-B
bors	14-85-B,30-1766-B,74-2076-B
borse	41-1854-B
borste	11-1059-B
bort	6-2354-B,22-3255-S,53-1286-S,63-1964-B
borte	6-2364-B,39-2191-B,63-1973-B,106-377-S
bortfore	1-880-B
bortforing	1-913-B
bortimot	61-995-B
bortlede	25-2429-B
bosatt	79-1441-B
boss	77-2455-B,81-2548-B
bosted	1-1284-B,79-1374-B
bot	33-2919-B,35-2575-B,60-1721-B,66-1960-B,67-702-B
bote	66-1970-B
botte	11-1235-B,65-1424-B
boye	8-1273-B,10-942-B,11-2230-B,20-2839-B,34-2025-B,48-1751-B
boye av	22-1457-B,103-967-B
boyelig	34-2075-B,54-1264-B,56-2117-B,69-2213-B,69-2247-B,96-585-B
boyning	8-1284-B,48-1765-B
bra	1-1653-B,61-2367-B,71-1437-B,86-602-B,95-1940-B,108-2398-B
brak	19-2130-B,19-2712-B,24-796-B,37-2059-B,62-292-B,75-1632-B,81-2235-B,82-888-B,86-1755-B,89-630-B
brake	19-2141-B,19-2723-B,81-361-B,81-911-B
brakk	32-680-B
brakke	45-2628-B,86-324-B
brann	9-750-B,9-1022-B,34-343-B,34-459-B,59-3104-B,82-1333-B,89-1171-B
brannmann	34-475-B
brannsar	11-2370-B
brannstiftelse	5-1960-B
brannstifter	5-1981-B,47-1330-B
bransje	10-1566-B,22-3309-B,54-1551-B,101-1319-B
brase	37-841-B
brate	55-1554-B
bratsj	107-357-B
bratt	1-1640-B,71-1419-B,76-317-B,93-1195-B
braute	10-1334-B
bravur	10-1777-B
bre ut	25-505-B
bred	11-594-B,109-1548-B
bredd	7-873-B,57-528-B
bredde	10-1872-B,52-2445-B,109-1629-B
breddegrad	52-2461-B
bredside	11-652-B
bregne	10-1293-B,10-1472-B,33-849-B
breke	9-871-B
brekke	10-1948-B
brekke seg	13-931-B,79-3495-B,91-770-B
brekkjern	20-1253-B,51-144-B,51-425-B
brekkmiddel	28-868-B
brekning	87-1133-B,107-1518-B
brem	11-322-B,80-2646-B
brems	10-1485-B,37-2293-B
bremse	10-1497-B,79-3413-B
brenne	11-2385-B,20-404-B,34-354-B,47-1577-B,65-2910-B,81-476-B,83-2826-B,84-1327-B,93-2028-B
brennemerke	10-1608-B,93-1886-B
brennevin	10-1693-B,54-2122-B
brenning	96-1340-B
brennpunkt	35-965-B
brennstoff	37-877-B
brensel	37-893-B
brett	9-1946-B,20-104-B,102-219-B
brette	35-1129-B
brev	53-2262-B
brevkort	70-2721-B
brevordner	33-2274-B
brigade	11-116-B
brigg	11-105-B
brikke	10-2629-B,14-2703-B,56-2190-B
briljant	11-282-B
briller	39-770-B,91-188-B
brilleslange	16-691-B
bringe	10-2259-B,11-388-B,13-286-B,14-1936-B,18-2723-B,39-229-B,74-2433-B,97-1470-B
bringebar	76-591-B
bris	10-2512-B
brist	19-2153-B,82-1166-B
briste	10-1961-B,11-2482-B,82-1180-B
britisk	11-499-B
bro	10-2737-B
brod	10-1860-B,55-107-B
brodd	7-1098-B,39-1855-B,68-1913-B,72-873-B,72-923-B,91-902-B,92-159-B,93-2041-B
brodere	28-774-B,110-1075-B
broderi	28-792-B
broderlig	36-2231-B
brokdel	36-1645-B
broket	38-1193-B,60-309-B
brokk	43-2460-B,82-1195-B
brol	8-1046-B,44-1459-B,81-383-B,81-462-B
brole	7-2158-B,8-1059-B,81-394-B,87-218-B
broler	9-1487-B,35-457-B,39-2500-B
bronkitt	11-695-B
bronn	108-2407-B
bronse	11-715-B
bror	11-880-B
brordatter	61-2527-B
brorskap	36-2251-B
brorsonn	61-1773-B
brosje	11-729-B
brosjyre	53-727-B,65-2079-B
brott	96-1354-B
brottsjo	10-2117-B
bru	10-2748-B
brud	10-2707-B
brudd	10-1847-B,10-1974-B,10-2102-B,11-2495-B,19-2165-B,36-1630-B,36-1700-B,48-2165-B,82-1209-B,91-1664-B
bruddstykke	36-1749-B,89-1418-B
brudgom	10-2718-B,41-297-B
bruk	17-1597-B,18-2553-S,21-131-B,30-2679-B,32-1708-S,42-854-B,71-699-B,105-2159-B,105-2198-S,105-2285-B,105-2345-S
bruk for	61-1239-S,107-2718-S
brukbar	85-1608-B,105-2111-B,105-2393-B
bruke	4-3015-B,28-1269-B,30-2837-B,31-516-B,69-2841-B,91-663-B,97-1482-B,105-2294-B,105-2634-B
bruke opp	30-2914-B,91-675-B
brukelig	105-2126-B
bruker	105-2474-B
bruksanvisning	49-1851-B
brukt	84-1870-B,105-2372-B
brumme	41-746-B,41-987-B,45-1462-B
brun	11-952-B
brune	11-963-B
brunst	43-1263-B,82-1407-B
brus	34-1171-B,89-2411-B
bruse	34-1181-B,60-2066-B,81-372-B
brusk	41-145-B
brustein	16-675-B
bry	4-1108-B,10-572-B,47-2453-B,59-1839-B,68-306-B,102-2060-B,110-1490-B
bryderi	10-583-B
brygg	10-2524-B
brygge	10-2535-B,68-1682-B,75-479-B,109-97-B
bryggeri	10-2547-B
bryllup	57-868-B,62-2260-B,108-1979-B
bryllupsreise	44-1996-B
bryn	11-931-B
bryne	109-426-B
brysk	9-1808-B,11-1140-B,20-2734-B,86-2572-B
brysom	46-3298-B,47-2471-B,102-2260-B
bryst	10-512-B,10-2273-B,14-1949-B,99-1115-B
brystkasse	14-1961-B
brystvern	65-2782-B
brystvorte	61-2881-B,98-491-B,100-1226-B
bryte	10-1986-B,85-2448-B,107-370-B,110-2068-B
bryte ut	31-1098-B
bryter	97-370-B,110-2082-B
bryting	110-2098-B
bu	10-278-B,19-736-B,92-2087-B
bud	8-2259-B,13-230-B,16-2180-B,58-1320-B,58-1348-B,82-1094-B
budbringer	58-1362-B
budsjett	11-1396-B
budskap	58-1332-B
bue	5-734-B,5-757-B,10-925-B
buegang	5-742-B,70-1658-B
bueskyting	5-926-B
bueskytter	5-908-B
buffer	11-1440-B
buffet	11-1454-B
buk	1-851-B,8-1105-B,11-1671-B,66-2485-B,103-566-B,106-1581-B
bukett	10-853-B,11-1990-B
bukk	10-933-B,75-2541-B,75-2613-B
buksere	101-724-B
buksesmekk	35-800-B
bukspyttkjertel	65-2160-B
bukt	7-2207-B,8-2350-B,19-1624-B,20-852-B,57-2465-B
buktaler	106-1593-B
buktning	57-2478-B
buldre	81-406-B,82-689-B
bule	11-1928-B
buljong	10-662-B,93-2417-B
bulk	22-3104-B,47-3325-B
bulke	22-3114-B
bunke	43-794-B,60-623-B,68-1934-B
bunker	11-2187-B
bunn	10-625-B,35-40-B,41-441-B
bunnfall	23-353-B,26-1084-B,71-1279-B,84-2457-B
bunns	36-1327-S
bunt	11-2003-B,11-2065-B,32-1573-B,42-1195-B,65-1140-B,86-994-B,102-2663-B
bunte	11-2077-B,86-1055-B
buntmaker	37-1821-B
bur	12-800-B
burde	64-2518-B
busemann	9-2299-B,11-1548-B
busk	11-2591-B,87-743-B
buskas	87-754-B
bust	11-486-B
butikk	10-880-B,11-2661-B,86-2438-B,94-111-B
butikktyv	86-2513-B
butterdeig	66-1907-B
by	8-2267-B,15-1066-B,16-2119-B,98-896-B,101-883-B
bydel	61-1679-B
bydende	46-2718-B,67-1560-B
bygd	107-189-B
byge	87-411-B,92-413-B
byget	92-453-B
bygg	7-1282-B
bygge	11-1579-B,18-871-B
bygge om	76-2186-B
bygge til	2-1453-B
bygge ut	31-1700-B
byggekloss	10-2642-B
bygging	36-2033-B
byggverk	27-1952-B,94-2536-B
bygning	11-1633-B,94-2555-B
bygsel	53-1058-B
bykart	57-327-B
byll	1-1695-B,90-1199-B
bylt	11-2090-B,65-1006-B
bymessig	105-1952-B
byra	11-2264-B
byrd	4-546-B,8-2761-B
byrde	11-2251-B,55-0-B,55-80-B,64-238-B,98-170-B,108-2184-B
bysse	12-674-B,37-2814-B
byste	12-54-B
bysteholder	10-1168-B
bystyremedlem	19-854-B
bytte	7-1613-B,10-302-B,14-72-B,30-1751-B,49-2995-B,55-1293-B,68-2044-B,72-791-B,75-231-B,91-1796-B,96-2662-B,96-2844-B,101-1333-B
byttehandel	7-1626-B
campingvogn	101-1722-B
celle	13-1887-B
cellofan	13-1913-B
cellulose	13-1933-B
cembalo	42-2127-B
chartre	14-1030-B
chassis	14-1159-B
crawle	19-2835-B
cyste	21-660-B
da	5-2254-B,8-197-B,99-232-B,109-296-B
dad	22-784-B,31-1182-B,32-2647-B
dadda	61-115-B
daddel	21-1627-B
dag	21-1877-B,100-1560-S
dagbok	23-3253-B,51-890-B
dager	100-1572-S
daggry	21-1813-B
daglig	21-785-B,25-2209-B,30-650-B
dagligstue	88-81-B
dagsavis	21-798-B
dagslys	21-1885-B
dal	106-185-B
dale	23-983-B,107-2673-B
dam	24-442-B,52-65-B,53-2329-B,70-1183-B,70-1291-B
damask	21-940-B
dame	21-954-B,52-1190-B,75-500-B,110-583-B
dameveske	42-506-B
damp	37-1248-B,93-1070-B,106-507-B
dampe	37-1258-B,74-779-B,93-1081-B
dampkjele	9-2336-B
dampkoke	93-1093-B
dampskip	93-1135-B,93-1152-B
dane	32-138-B,97-546-B
dank	46-541-S,55-118-S
danmark	1-126-B
danne	32-1639-B,35-2860-B,36-1861-B,60-454-B,77-1779-B,86-363-B
dannelse	20-2072-B,36-194-B
dans	21-1145-B,44-2491-B
danse	21-1156-B,35-1681-B,44-2500-B
dansk	21-1284-B
danske	21-1229-B
dap	7-980-B,15-244-B
darlig	6-2791-B,6-2909-B,30-939-B,46-947-B,48-1394-B,61-319-B,70-1350-B,70-1424-B,105-501-B
dase	12-1526-B,100-701-B
dashbord	21-1586-B
dask	20-1888-B,88-1243-B,90-2178-B,97-2216-B
data	21-1605-B
datamaskin	17-1189-B
datere	21-1639-B
dato	21-1651-B
datter	21-1745-B
davarende	99-240-B
de	99-73-B,99-145-B,99-532-B,99-1235-B,111-470-B
debatt	21-2360-B
debattere	24-2706-B
debet	21-2409-B
debitor	21-2438-B
debut	21-2453-B
dechiffrere	22-65-B,22-388-B
defensiv	22-1123-B
definere	22-1360-B
definisjon	22-1393-B
definitiv	22-1415-B
deg	99-123-B,111-477-B,111-570-B
degenerasjon	22-1662-B
degradere	22-1728-B
degradering	22-1704-B
deig	7-1993-B,26-342-B,66-1804-B
deilig	8-61-B,9-2658-B,22-2165-B,22-2272-B,31-1683-B,40-2112-B,55-1854-B,61-2556-B,71-1194-B
dekk	22-196-B,100-1081-B,103-2143-B
dekke	12-2061-B,19-1765-B,57-3000-B,81-1188-B
dekke til	19-1777-B
deklamere	22-206-B
deklarasjon	22-224-B
dekning	19-1793-B,84-2291-B
dekorasjon	22-456-B,64-2263-B
dekorere	22-407-B
dekret	22-600-B
deksel	12-2071-B,19-1807-B,54-322-B
del	21-2145-B,66-423-B,68-1659-B,70-1979-B,73-2035-B,84-2115-B,84-2856-B,86-499-B,88-1799-B
dele	25-2477-B,66-432-B,66-991-B,86-509-B,91-1676-B,95-3060-B
dele ut	21-2154-B,25-1927-B
delegasjon	59-648-B
delegere	22-1925-B
delfin	25-3132-B
delikat	21-813-B,22-2099-B,22-2182-B,61-2240-B,83-1123-B
deling	25-2621-B,66-943-B,66-1006-B
delta	66-522-B,66-611-B
deltager	18-3066-B,66-1075-B
delvis	66-442-B,66-554-B,66-1061-B
dem	99-153-B,99-1244-B,111-485-B
dementere	24-2081-B
demme	93-1312-B
demning	7-1390-B,21-884-B,24-451-B,28-427-B,53-2339-B
demokrati	22-2787-B
demon	22-2826-B
demonstrere	22-2838-B
demontere	22-2862-B,24-1754-B,25-48-B
dempe	21-0-B,21-1080-B,24-562-B,59-1381-B,60-1592-B,60-2344-B,89-2583-B
demper	21-1019-B,60-2355-B
den	43-244-B,44-277-B,50-2638-B,99-8-B,99-80-B,99-1009-B
den gang	99-256-B
den slags	95-1825-B,95-1861-B
den som	109-1202-B
denge	34-2633-B,99-1441-B
denne	99-1018-B
dens	50-2744-B
departement	22-3328-B,58-2607-B
deponere	23-370-B,55-746-B
deportere	23-249-B
depositum	23-387-B
depot	23-513-B,56-713-B,94-124-B
depresjon	23-596-B
der	99-387-B
derav	99-305-B
dere	111-493-B
deretter	61-2151-B,99-270-B,99-407-B
derfor	43-2188-B,99-318-B,99-442-B,99-2349-B
derpa	99-284-B,99-459-B
dersom	46-705-B
dertil	110-104-B
derved	99-427-B
desember	1-108-B
desertere	23-1144-B
