desinfeksjonsmiddel	24-3248-B
drive	25-2754-B,26-1233-B,26-1553-B,34-2462-B,60-1171-B,64-520-B,69-2851-B,71-779-B,73-1481-B,74-2137-B,74-2304-B,105-1999-B,110-1088-B
drive dank	46-541-B,55-118-B
drive ut	31-441-B
drivhus	18-94-B,39-801-B,40-2437-B
drivkraft	60-1307-B
drofte	5-1227-B,24-2742-B
droftelse	97-1729-B
drofting	24-2779-B
drom	26-1030-B
dromme	26-1042-B
dronn	10-77-B
dronne	10-89-B,67-0-B,82-703-B,99-2214-B
dronning	75-511-B
drops	55-2135-B
drosje	12-529-B,98-190-B
drov	82-747-S
drovel	105-2894-B
droy	11-605-B,19-2772-B,101-590-B
drue	40-1136-B
drukken	26-2227-B
drukkenbolt	26-2252-B,90-1422-B
drukkenskap	26-2273-B
drukne	26-1950-B
drypp	26-1219-B,26-1518-B
dryppe	26-1529-B,26-1784-B,102-1169-B
drysse	91-2803-B
du	99-1254-B,111-502-B
dublett	26-243-B,27-275-B
due	26-353-B,68-1857-B
duell	26-2550-B
duft	5-1517-B,36-1770-B,67-2081-B,77-1239-B,83-1910-B
dufte	89-765-B
duftende	36-1785-B
dugelig	1-1160-B,12-2159-B,34-824-B
dukke	24-877-B,25-2236-B,25-3078-B,26-2417-B,27-119-B,74-1534-B,90-1750-B,95-790-B
dukke opp	28-836-B,70-1508-B,96-1376-B,103-1153-B
dulme	78-885-B
dulte	62-1913-B
dum	5-2467-B,24-582-B,26-2586-B,27-55-B,35-1634-B,87-1864-B,95-433-B
dumdristig	35-1613-B
dumhet	22-3073-B,27-21-B,35-1452-B,87-1847-B,95-444-B
dumming	27-131-B
dump	26-2595-B,44-1512-B,99-2227-B
dumpe	27-159-B,31-3296-B,35-571-B,89-306-B
dumrian	27-186-B,32-2013-B,41-1697-B,87-1967-B
dun	26-375-B,35-507-B
dundre	37-1199-B
dunk	12-1517-B,70-558-B,99-2237-B
dunke	52-521-B,74-1110-B,99-1784-B,99-2266-B
dunkel	1-2076-B,24-590-B,27-493-B,43-232-B,63-473-B,77-473-B
dunst	37-1269-B,93-1108-B,106-519-B
dupp	34-2474-B
dur	56-1517-B
dure	81-418-B
dusin	26-466-B
dusj	26-317-B,87-423-B,91-2435-B
dusje	26-329-B
dusk	97-2634-B,103-309-B
duskregn	26-1677-B
duskregne	26-1694-B
dusor	80-1621-B
dust	51-174-B
dvale	43-2664-B
dvele	54-1820-B,66-2507-B,97-2531-B
dverg	27-675-B,39-1715-B,58-1797-B,68-1901-B
dybde	23-649-B,73-479-B
dyd	39-2397-B,107-566-B
dydig	59-2722-B,107-589-B
dykk	25-2247-B
dykke	25-2257-B
dykker	24-955-B,25-2288-B,69-2787-B
dyktig	1-1173-B,1-1207-B,2-2377-B,12-2175-B,15-2037-B,39-2255-B,73-206-B,88-565-B,88-596-B,89-523-B
dyktighet	1-1083-B,12-2122-B,27-2268-B,31-3165-B,73-184-B
dynamikk	27-743-B
dynamisk	27-726-B
dynamitt	27-761-B
dyne	16-1992-B
dynge	43-805-B,45-1248-B,68-1955-B,92-1215-B
dynn	58-2889-B,60-1456-B,64-260-B,88-2102-B,108-434-B
dyp	22-808-B,23-661-B,40-1761-B,55-1927-B,73-410-B,90-1504-B
dyppe	24-887-B,27-243-B,46-1954-B,90-1762-B,93-1207-B
dypsindig	73-423-B
dyr	4-836-B,7-2573-B,11-1154-B,19-639-B,20-206-B,21-2228-B,31-618-B,72-847-B
dyrebar	21-2237-B,71-1210-B
dyregrav	68-2748-B,69-194-B
dyrisk	4-847-B,7-2601-B,11-1164-B
dyrke	20-2013-B,41-704-B,110-1099-B,110-1582-B
dyrkelse	110-1596-B
dyrking	20-2029-B,20-2089-B
dyrlege	106-2459-B
dyse	62-1845-B
dyst	100-361-B
dyster	9-224-B,39-1257-B,60-2039-B
dytt	70-568-B
ebbe	27-1521-B
ed	20-2673-B,62-2638-B
edderkopp	91-848-B
eddik	107-292-B
edel	38-1979-B,62-135-B
edelgran	34-293-B
edelstein	38-1511-B,51-316-B
edru	89-2079-B
edruelig	89-2090-B
edruelighet	89-2120-B,98-1075-B
effekt	27-2166-B
effektiv	27-2196-B,27-2313-B,64-680-B
effektivitet	27-2289-B
efoy	50-2824-B
egenkjarlig	85-293-B
egenradig	85-270-B
egenskap	14-406-B,73-1799-B,74-3092-B
egentlig	2-1236-B,73-1587-B,76-1747-B
egg	27-1872-B,27-2492-B
eggehvite	39-476-B,109-1041-B
eggeplomme	111-128-B,111-454-B
eggleder	103-188-B
eggstokk	65-142-B
egn	5-1103-B,19-1235-B,61-1699-B,73-3179-B,75-274-B,77-2833-B
egnet	39-2267-B,74-2983-B
egoisme	27-2500-B
egoist	27-2515-B
egoistisk	27-2529-B,85-314-B
egyptisk	27-2562-B
eie	44-1177-B,65-771-B,70-2435-B,70-2508-B
eiendeler	8-1157-B,39-2426-B
eiendom	29-2843-B,70-2523-B,71-2298-B,73-1817-B
eiendommelig	67-132-B,73-1603-B
eier	65-824-B,70-2542-B,73-2215-B
eik	62-2598-B
eike	75-1886-B,91-1877-B
eiketre	62-2606-B
eim	37-1280-B,106-532-B
einer	51-1591-B
ekkel	61-333-B,61-870-B,105-295-B,107-155-B
ekko	27-1625-B
ekorn	92-1046-B
eksamen	30-1261-B
eksaminator	30-1427-B
eksaminere	30-1389-B,75-1374-B
eksekusjon	30-2464-B
eksempel	30-1448-B,49-1228-B
eksemplar	18-3190-B,30-2564-B,91-47-B
eksentrisk	27-1541-B
eksersere	26-1368-B,30-2693-B
eksersis	26-1384-B,30-2712-B
eksil	30-3138-B
eksistens	8-776-B,30-3257-B,95-1057-B
eksistere	30-3193-B,95-1026-B
eksisterende	30-3299-B
ekskludere	31-456-B
eksklusiv	30-2124-B
eksos	30-2932-B
ekspedere	25-311-B,85-1434-B,85-2138-B
ekspedisjon	25-330-B,31-382-B
ekspeditor	15-1973-B,82-2327-B
eksperiment	31-808-B
ekspert	31-831-B
eksplodere	9-1634-B,11-2507-B,23-2350-B,31-1115-B
eksplosiv	31-1294-B
eksplosjon	31-1273-B
eksport	31-1336-B,31-1386-B
eksportere	31-1351-B
ekspress	31-1557-B
ekspropriere	31-1638-B
ekstase	27-1824-B,101-2090-B
ekstra	1-2542-B,31-2232-B,90-2726-B,96-324-B
ekstranummer	28-1756-B
ekte	6-1597-B,38-2043-B,76-1571-B,87-2260-B,90-412-B,93-1467-B,102-2367-B
ektefelle	45-2457-B,66-1092-B
ektefodt	53-1787-B
ektemann	45-2475-B
ektepar	19-1322-B
ekteskap	57-885-B,57-1934-B,108-2006-B
ekteskapelig	57-594-B,57-1909-B
ekvator	29-1421-B
elastisk	27-2776-B,79-1635-B
elde	3-339-B,44-878-B
eldes	3-348-B,63-2856-B
elefant	28-22-B
eleganse	27-2981-B
elegant	14-2059-B,27-2999-B,32-1742-B,38-1892-B,70-2252-B
elektriker	27-2913-B
elektrisitet	27-2936-B
elektrisk	27-2894-B
elektrode	27-2961-B
element	27-3051-B,104-2767-B
elementar	28-0-B,72-1125-B
elendig	59-211-B,70-1363-B,90-1155-B,110-2130-B
elendighet	59-316-B
elev	74-1510-B,83-2212-B,94-2861-B
elevator	44-1139-B,54-595-B
elg	28-179-B,59-2691-B
eller	64-1222-B
eller annen	90-703-S
eller annen mate	90-790-S
eller annet	90-723-S,90-836-S
eller annet sted	90-923-S
ellers	28-275-B,64-1239-B,64-2461-B
elleve	28-113-B
ellevte	28-127-B
ellipse	28-187-B
elske	55-1784-B,56-1686-B
elskede	59-834-B
elsker	55-1898-B,65-2766-B
elskerinne	59-851-B
elskling	21-1421-B,96-3227-B
elskverdig	4-71-B
elte	52-353-B
elv	81-263-B,94-1405-B
elvebredd	81-284-B
emalje	28-1490-B
emaljere	28-1504-B
emballasje	65-1165-B,110-1836-B
emballere	65-1016-B
embete	63-2304-B,70-2648-B,93-466-B
embetsmann	63-2378-B
emblem	6-2851-B,28-637-B,49-640-B
emboli	28-686-B
emne	57-1783-B,57-1971-B,95-618-B,100-2411-B
emosjonell	28-1084-B
en	1-575-B,4-345-B,63-3194-B
en eller annen	90-703-B
en eller annen mate	90-790-S
en gang	63-3153-B,80-2477-S
enda	93-1920-B,99-1262-B,111-253-B
ende	6-2710-B,8-711-B,10-637-B,11-1877-B,13-2584-B,15-2576-B,17-1954-B,28-1961-B,31-920-B,32-1211-B,34-175-B,37-1460-B,50-2510-B,79-3112-B,82-852-B,97-1322-B,98-2214-B,100-962-B,105-1781-B
endelig	6-575-B,30-397-B,30-433-B,33-2691-B,33-2743-B,34-278-B,52-2206-B
endelos	21-1715-B,28-2173-B,29-3089-B,49-3486-B
endelse	28-2115-B,95-2199-B,98-2231-B
endestasjon	98-2272-B
endevende	76-198-B,80-987-B
ending	28-2130-B
endog	30-109-B
endre	3-2436-B,3-3030-B,59-1631-B
endring	59-1610-B
eneboer	77-74-B
ener	104-2780-B
enerett	59-2258-B
energi	28-2356-B,107-128-B
energisk	28-2337-B,94-1581-B
enestaende	87-2504-B,104-1936-B,104-2734-B,104-3257-B,104-3527-B
eneste	63-3201-B,64-141-B,87-2350-B,87-2488-B,90-246-B,90-534-B
enetale	59-2240-B
enevelde	1-1873-B
enfoldig	87-1982-B
eng	33-1682-B,40-1361-B,57-2295-B
engang	63-3166-B
engasjement	28-2613-B,50-1764-B
engasjere	10-23-B,28-2532-B
engel	4-719-B
engelsk	28-2753-B
engelsk kvinne	28-2769-B
england	1-174-B
engstelig	4-1862-B,32-2518-B,100-562-B,100-631-B,102-782-B,104-1709-B
engstelse	4-1832-B,110-1500-B
enhet	59-1676-B,64-22-B,104-2790-B,104-2827-B
enhver	4-1895-B,30-609-B,30-633-B
enig	3-786-S
enighet	1-2913-B,3-840-B,17-1984-B,104-2620-B,104-2839-B
enke	26-362-B,78-723-B,109-1601-B
enkel	44-1794-B,64-1787-B,69-588-B,87-1998-B,94-664-B,104-402-B,105-479-B
enkelhet	44-1774-B,87-2047-B
enkelt	48-213-B,63-1767-B,66-723-B,87-2364-B
enkelthet	66-741-B
enkeltspent	87-2422-B
enkeltvis	87-2378-B,87-2450-B
enkemann	109-1612-B
enn	98-2992-B
enna	93-1931-B,111-262-B
enorm	28-3243-B,59-2442-B,98-2429-B,102-685-B,106-952-B
ens	3-1583-B,29-1318-B
ensartet	104-2508-B
ense	43-1692-B,58-2239-B
ensfarget	69-600-B
ensformig	26-478-B,45-1684-B,59-2275-B,104-2525-B
enslig	3-2303-B,55-972-B,87-2395-B,90-550-B
ensom	55-984-B,55-995-B,55-1008-B,90-566-B
ensomhet	72-1776-B,90-581-B
enstemmig	103-2521-B
entall	87-2525-B
enten	27-2699-B
entre	9-1958-B,15-2182-B,29-713-B,42-123-B
entusiasme	29-485-B
entusiastisk	29-531-B
epidemi	29-1144-B
epidemisk	29-1161-B
epilepsi	29-1197-B
epileptiker	29-1215-B
epileptisk	29-1237-B
episode	29-1274-B,47-1460-B
eple	4-2852-B
eplemos	4-2863-B
eplevin	15-530-B
epoke	29-1306-B
eremitt	4-625-B,43-2445-B
erfare	31-650-B,43-846-B,53-973-B
erfaren	31-788-B,31-846-B
erfaring	31-668-B
ergerlig	36-3086-B,79-1060-B,106-2570-B
ergre	4-1118-B,30-1465-B,37-2690-B,50-1923-B,61-1308-B,61-1882-B,91-1341-B,106-2519-B
ergrelse	4-1171-B,13-2623-B,36-3072-B,50-2358-B,79-1079-B,91-1446-B,106-2552-B
erindring	51-2127-B,58-394-B,58-2249-B,77-207-B,78-655-B,78-1452-B,78-1549-B,90-1892-B,100-1745-B
erkebiskop	5-886-B
erkjenne	2-450-B,65-779-B
erkjennelse	16-942-B,77-116-B
erklare	2-3083-B,6-2193-B,22-271-B,29-900-B,72-2667-B,72-3308-B,73-1322-B,93-271-B
erklaring	13-2466-B,22-248-B,72-3381-B,93-387-B
erme	88-1661-B
ernare	32-2837-B,62-1710-B
ernaring	62-2514-B
erobre	12-2428-B,13-330-B,17-3464-B
erobring	17-3479-B
erotisk	29-1899-B
erstatning	4-33-B,77-350-B,78-2474-B,78-2859-B,79-2704-B,80-1635-B,95-1322-B,96-1778-B
erstatte	17-336-B,77-372-B,78-2842-B,96-385-B
ert	66-2851-B
erte	7-968-B,98-452-B
erverve	2-693-B,74-1579-B
ervervelse	2-721-B,2-744-B,74-1596-B
esel	5-2673-B,25-3400-B,50-2940-B,59-1735-B
esing	41-1927-B
eske	10-1083-B
eskimo	29-2405-B
eskorte	18-2818-B,29-2333-B
essens	29-2569-B
estragon	97-2513-B
et	1-580-B,4-351-B
et eller annet	90-723-B,90-836-B
et eller annet sted	90-923-B
etablere	29-2690-B
etablering	29-2782-B
etappe	53-1582-B,92-1361-B
etasje	35-51-B,94-220-B,94-325-B
ete	27-1464-B,33-0-B
etikett	52-723-B,97-836-B,97-1249-B,99-2562-B
etisk	29-3156-B
etse	19-287-B,29-3067-B
etsende	13-1473-B,19-314-B
ett	1-585-B,63-3212-B
etter	3-177-B,12-365-B,54-2273-S,95-1596-S,111-333-S
etterape	4-2029-B
etterfolger	95-1752-B
