biskajujo	2-2156-B
brunhildo	2-2895-B
bruno	26-419-B
brunokula	26-431-B
bruo	14-964-B,38-560-B,65-1896-B
brusela	2-2931-B
brusela brasiko	2-2948-B
bruselo	2-2914-B
bruska	10-2967-B
bruske	10-3043-B
brusto	25-613-B,25-2301-B,29-1158-B
bruta	26-629-B,51-221-B
brutaro	58-2688-B
brutigi	40-810-B
brutoj	58-2706-B
bruĝo	2-2815-B
bubaco	70-2217-B
bubalo	26-936-B
buci	26-2478-B,83-2178-B
bucisto	26-2492-B
budaismo	2-3035-B
budaisto	2-3053-B
budao	2-3022-B
budapeŝto	2-3002-B
budo	82-374-B,86-521-B
bufedo	22-733-B,26-964-B
bufo	91-2169-B
bufro	26-951-B,26-1599-B
bugo	2-3071-B
bugri	26-1022-B,84-1311-B
bukanisto	26-684-B
bukedo²	25-980-B
bukedo¹	25-997-B
buki	26-803-B
bukli	34-3110-B
buklo	35-0-B
buko	26-815-B
bukso	25-1321-B
bukureŝto	2-2981-B
bulbo	26-1370-B
buldozo	26-1423-B
bulgara	2-3114-B
bulgaro	2-3080-B,2-3132-B
bulgarujo	2-3095-B
buljono	25-902-B
bulko	78-2804-B
bulo	21-2934-B,29-2331-B,30-1111-B,59-1326-B
bulteno	26-1454-B
bulvardo	25-936-B
bunkro	26-1723-B,82-682-B
bunta	63-2080-B
buo	26-1753-B
burdo	26-1523-B
burgunda	2-3150-B
burgunda vino	26-1956-B
burgundio	2-3190-B
burgundo	2-3170-B
burgundujo	2-3209-B
buro	1-824-B,2-2234-B
burokrataro	26-1886-B,66-2652-B
burundia	2-3288-B
burundiano	2-3307-B
burundio	2-3271-B
burĝa	25-1014-B,61-2434-B
burĝaro	25-1050-B
burĝoni	26-827-B
burĝono	26-840-B
bushaltejo	26-2386-B
buso²	26-2227-B
butana	2-2091-B
butanano	2-2108-B
buterigi	29-2466-B
butero	26-2527-B
buti	40-1849-B,52-15-B
butika centro	82-1453-B
butikisto	82-1432-B
butiko	25-1071-B,82-1393-B,87-487-B
butikumi	82-1405-B
butoni	26-2643-B
butono	26-2657-B,56-2688-B
buĝeto	26-886-B
buŝa	67-1254-B
buŝego	56-331-B,63-1462-B,63-3444-B
buŝmeno	2-3345-B
buŝo	63-1476-B
buŝpleno	62-3342-B,63-1516-B
buŝpreno	24-687-B
buŝtuko	64-840-B
buŝumi	63-3459-B
buŝumo	64-0-B
bv	71-1485-B
cado	3-1234-B
cagrenita	79-1843-B,84-2646-B
cambristino	59-2285-B
cambro	28-2207-B,79-25-B
cambroj	74-2491-B
camo	28-2243-B
campano	28-2271-B
campiono	28-2290-B
cano	92-3128-B
capelistino	61-2974-B
capelo	51-412-B
capitro	28-2763-B
capo	23-2130-S,27-1616-B
car	19-3125-B,23-103-B,46-1426-B,83-528-B
careto	27-2825-B
carino	35-1071-B
carlatani	23-3122-B,29-582-B
carma	29-26-B,59-961-B
carmi	29-0-B
carmo	29-13-B
carniro	52-260-B
caro	27-2979-B,28-3130-B,35-1061-B
carpenti	26-1081-B
carpentisto	27-2738-B
carto	29-42-B
carumo	97-346-B
casaĵo	28-250-B
casi	29-112-B,53-481-B
casisto	53-492-B
caskuri	29-124-B
casta	29-168-B,74-1667-B
casteco	29-259-B,74-1777-B
castigi	25-1169-B,29-182-B,43-2543-B,74-1713-B
castrancilego	35-787-B
catrio	29-303-B
ce	20-1692-B,23-2334-B,97-2445-B
ce flanko	10-2556-S
cecena	3-1342-B
cecenio	3-1376-B
ceceno	3-1359-B
cecenujo	3-1396-B
cedema	11-3116-B
cedemo	11-3281-B
cedo	9-1753-B
cedra	28-1008-B
cedro	28-1020-B
ceestanta	72-2708-B
ceesti	20-2594-B,97-2644-B
ceesto	72-2596-B
cef	19-954-B,29-1495-B
cefa	29-1471-B,59-2400-B,59-2640-B,73-395-B
cefanĝelo	19-1139-B
cefduklando	19-1262-B
cefduko	19-1285-B
cefe	29-1524-B,73-435-B
cefepiskoplando	19-1208-B
cefepiskopo	19-1184-B
cefkuiristo	29-882-B
cefministro	72-2326-B
cefo	25-660-B,29-1483-B
cefurbo	27-1734-B,61-2242-B
cejano	33-2066-B
cejlona	3-1196-B
cejlonano	3-1214-B
cejlono	3-1181-B
cekaro	29-1000-B
ceko	29-987-B
celado	41-2571-B
celebeso	3-1087-B
celebrado	28-1099-B
celebri	28-1048-B
celerio	28-1247-B
celilo	50-1123-B,82-2918-B
celo	16-226-B,28-1302-B,48-2915-B,74-1849-B,89-2783-B
celsiuso	3-1104-B
celtrafa	41-0-B
celtuŝi	45-1113-B
celulito	28-1343-B
cemento	28-1362-B
cemizo	8-1593-S,82-1066-B
cendo	28-1547-B
cenero	58-2110-B
ceno	28-2049-B
cent	53-438-B
centauro	28-1558-B
centavo	28-1576-B
centimetro	28-1612-B
centona bado	80-303-B
centra	28-1654-B
centralo	43-330-B
centro	28-1669-B,82-1453-S
cenzuri	28-1428-B
cepo	67-345-B
cerasto	28-1700-B
cerbero	3-1164-B
cerbo	25-1667-B
cerbumaĵoj	98-495-B
cerefolio	51-2056-S
ceremonia	46-2153-B,61-193-B,86-2625-B
ceremonieco	28-1736-B,84-1660-B
ceremonio	28-1757-B,96-2352-S
cerio	28-1829-B
cerizarbo	29-1056-B
cerizo	29-1041-B,62-3051-S
cerizujo	29-1079-B
cerkesio	3-1727-B
cerkesujo	3-1747-B
cerko	30-2388-B
cerkopiteko	61-830-B
cerpi	39-2333-B
certa	28-1842-B,88-2836-B
certe	28-1856-B
certeco	28-1885-B
certigi	15-239-B,20-1165-B,28-1965-B
certigo	15-282-B
cerva	36-1175-B,36-1197-B
cervido	44-1952-B
cervino	39-1169-B,52-103-B
cervo	36-1186-B,41-1039-S,96-541-S
cervoparko	36-1209-B
cesi	28-996-B,41-2513-B,87-446-B
cesigi	50-1968-B,87-457-B
cetera	13-2245-B,76-3474-B
cetere	23-2345-B,47-1983-B,47-2080-B,62-3091-B
cetero	76-3422-B,77-3347-B
cevala	52-2180-B
cevalbleki	64-3071-B,97-721-B
cevalbredejo	87-2646-B
cevalejo	33-2251-B,85-2858-B
cevaleto	64-403-B,71-2647-B
cevalisto	49-2848-B,85-2891-B
cevalo	52-2194-B
cevalpiedo	31-59-B
cevalpovo	52-2294-B
cezaro	3-76-B
cezio	27-182-B
ceĥa	3-2626-B
ceĥo	3-2639-B
ceĥoslovaka	3-2652-B,3-2737-B
ceĥoslovako	3-2679-B,3-2767-B
ceĥoslovakujo	3-2706-B
ci	51-2140-S,51-2292-S,51-2305-S,52-615-S,91-173-S,91-186-S,91-337-B,98-2122-B
ci nokton	91-2599-S
ci tie	51-2157-S
ci tien	51-2319-B,52-631-B
ci tiun nokton	91-2623-B
cia	16-3012-B,98-2198-B,98-2216-S
ciam	17-1101-B,42-2595-B
ciama	32-2871-B,42-1987-B,42-2645-B
cibelo	3-2536-B
cibernetiko	35-845-B
cicerono	50-769-B
cico	65-1554-B
cicumo	65-1566-B
cidonio	74-3028-B
cidro	29-2481-B
cie	42-2776-B
cieesta	67-135-B,93-2162-B
ciela	28-1262-B,51-1464-B
cielarko	75-704-B
cielglora	51-1480-B
cieliro	2-62-B
cielo	51-1450-B,83-1917-B
cies	42-2743-B
ciesulino	83-2918-B,93-57-B,97-1240-B
ciferi	45-483-B
cifero	29-2699-B,38-38-B,45-497-B,66-104-B
ciferplato	37-2864-B
cifi	34-1236-B,34-2299-B
cifonisto	75-583-B
cifono	75-558-B,80-1673-B
cifro	30-2288-B
cigaredo	29-2551-B
cigaredstumpo	29-2570-B,87-2532-B
cigareto	29-2598-B
cigaro	29-2493-B
cigarstumpo	29-2506-B,29-2528-B
