a	20-1991-S,84-410-S
acefala	12-2130-B
acefaloj	12-2110-B
acera	60-881-B,60-905-B
acerba	12-2149-B,12-2756-B,13-270-B,51-208-B,84-2734-B,89-2795-B
acero	60-893-B,89-1124-S
acetado	13-39-B,74-1528-B
acetakiri	12-3600-B,26-2671-B,74-1546-B
acetanta regiono	60-1257-B,67-2765-B
acetanto	26-2745-B,74-1617-B
acetato	12-2333-B
acetaĵo	13-60-B,74-1566-B
aceti	26-2686-B,74-1585-B
acetil	12-2379-B
acetileno	12-2395-B
acetinto	26-2761-B,74-1637-B
aceto	13-82-B,26-2697-B,74-1601-B
acetono	12-2349-B
acida	12-2365-B,12-2768-B,84-2746-B,89-2807-B
acida cerizo	62-3051-B
acideco	12-2837-B,12-2871-B
acidgrado	12-2853-B
acidigi	12-2804-B,84-2757-B
acidiĝi	12-2820-B,84-2770-B
acido	12-2779-B
acoroj	2-761-B
adamantino	41-2079-B
adamo	1-533-B
adamtero	79-1037-B
adaptado	13-1952-B
adaptebla	13-1909-B
adapti por orkestro	67-1525-B,80-1545-B
adaptigo	11-3184-B
adaptinto	13-2028-B
adaptita	13-2011-B
adapti³	20-3013-B,93-981-B
adaptiĝemo	13-1855-B
adaptiĝi	13-1792-B
adaptiĝo	13-1972-B,13-3340-B
adapti⁴	13-1808-B
adapto	13-1993-B,13-3361-B
adapto por orkestro	67-1580-B
adaĝe	13-1690-B
adaĝo	13-1704-B
adekvata	13-2523-B
adeno	1-544-B
adhera	13-2725-B
adhero	13-2709-B
adi	56-1707-B
adiabata	13-2757-B
adianto	59-2303-B
adiau	13-2776-B,26-2916-B,44-995-B,49-375-B
adiaua	49-426-B
adiauo	44-1011-B,49-390-B
adicii	13-2046-B
adicio	13-2176-B
adipozo	13-2789-B
adjektiva	13-2876-B
adjektivo	13-2897-B
adjunkto	20-917-B
adjutanto	14-19-B,16-129-B
administra	14-284-B
administra ofico	86-2441-B
administracia	14-310-B
administracio	14-86-B,60-195-B
administrado	14-115-B,60-220-B
administrantaro	14-143-B,60-244-B
administranto	14-339-B,60-320-B
administratoro	14-367-B,60-342-B
administrejo	14-174-B
administristaro	14-202-B,60-271-B
administristo	14-396-B
administri²	14-38-B
administri¹	14-62-B,60-83-B
administro	14-233-B,60-298-B
admira	14-599-B
admiraleco	14-506-B
admiralitato	14-482-B
admiralo	14-444-B
admiralŝipo	14-461-B
admirantino	14-561-B
admiranto	14-581-B
admiri	14-547-B
admirinda	14-424-B
admiro	14-529-B
admitanco	14-809-B
admonletero	40-1030-B
admono	14-946-B,43-1177-B
adobo	14-973-B
adoleska	14-1008-B
adoleskantino	45-2434-B
adoleskanto	14-1028-B
adoleskeco	14-985-B,74-670-B
adoleskulino	14-1051-B
adoleskulo	14-1075-B
adopta	14-1164-B
adoptado	14-1114-B
adoptaj gepatroj	46-2611-B
adoptita	14-1097-B
adopto	14-1132-B
adorado	14-1198-B,98-577-B
adorantino	14-1244-B,98-635-B
adoranto	98-657-B
adori	14-1232-B,98-593-B
adorinda	14-1180-B
adoro	14-1216-B,98-607-B
adrenalino	14-1329-B
adresaro	38-879-B
adresato	13-2427-B
adresi	13-2380-B
adresiga maŝino	13-2465-B
adresito	13-2446-B
adreslibro	38-898-B
adreso	13-2395-B
adriano	1-555-B
adrianopolo	1-570-B
adriatika maro	1-593-B
adriatiko	1-617-B
adstringa	12-2164-B,20-1348-B,32-3138-B,89-2818-B
adstringeco	12-2241-B
adstringilo	14-1395-B
adulta	14-1615-B
adulteri	38-197-B,96-1998-B
adulto	14-1633-B
adultulino	14-1593-B
adultulo	14-1574-B
advento	14-2303-B
adverba	14-2552-B
adverbo	14-2537-B
advokataco	70-1140-B,82-2454-B
advokati	14-2946-B
advokato	14-2964-B,57-1837-B,84-1701-B
adzo	14-3001-B
aera	14-3074-B,68-252-B,68-348-B
aera rezisto	16-584-B
aeratako	16-1315-B
aerbuso	16-704-B
aerdefenda artilerio	12-2906-B
aerdefendo	16-407-B
aerdinamiko	14-3169-B
aere malvarmigata	16-378-B
aereskadro	16-612-B
aerfiltrilo	16-430-B
aerfloto	16-453-B
aerhelico	16-1180-B
aerklapo	16-636-B,94-3104-B
aerkluzo	16-1058-B
aerlinia piloto	16-1028-B
aerlinio	16-1011-B,16-1425-B
aermalpurigo	16-535-B
aermalsana	16-1236-B
aermalsano	16-1255-B
aernavigado	14-3322-B,21-1271-B
aero	16-283-B
aerobatiko	14-3086-B
aerobia	14-3108-B
aerodinamika	14-3144-B
aerodinamiko	14-3194-B
aerodromo	14-3124-B,16-793-B,16-812-B
aerogramo	14-3251-B
aerohaveno	16-1128-B
aeronautiko	14-3346-B
aerosolo	14-3390-B
aerostato	16-301-B,21-3143-B
aerpafilo	16-517-B
aerpirato	83-1928-B
aerponto	16-994-B
aerpoŝta letero	14-3272-B
aerpoŝto	16-1075-B
aerpremo	16-562-B
aerrapido	16-1296-B
aerspaco	16-1278-B
aerstevardino	86-2394-B
aertubo¹	93-732-B
aeruma	16-1513-B
aeruma krado	16-495-B
aerumi	14-3045-B,95-419-B
aerveturilo	16-1199-B
aervojo	16-1441-B
aerŝarĝo	16-472-B
aerŝipo	16-1219-B
afabla	14-3524-B,33-1848-S,47-601-B,51-1298-S,56-2159-B,96-728-S
afableco	56-2267-B
afazio	18-2034-B
afekcii	14-3566-B
afekciita	14-3657-B
afekta	14-3676-B,19-2920-B
afektado	14-3595-B
afektaĵo	14-3616-B,72-202-B
afekte milda	24-1178-B,88-1305-B
afektema	14-3692-B
afekti	20-2783-B,72-217-B
afektita	54-2563-B
afekto	14-3638-B
afektulo	20-2803-B,72-249-B
aferisto	26-2342-B
aferkoncerneco	76-3143-B
afero	14-3539-B,26-2310-B,27-3035-B,60-2673-B,90-3080-B
afgana	1-689-B
afgano	1-703-B
afganujo	1-717-B
afidavito	15-43-B
afikso	15-423-B
afina	15-173-B
afineco	15-203-B
afiŝi	71-77-B,72-557-B
afiŝo	71-92-B,72-725-B
afiŝtabulo	24-48-B,65-2731-B
afliktado	15-541-B,67-1644-B,92-2742-B
afliktita	79-1777-B
afliktiĝo	49-2533-B,79-1962-B
aflikto	15-562-B,84-2579-B,92-2758-B
aforismo	18-2049-B
aframerika	1-839-B
aframerikano	1-864-B
afranki	72-2517-B
afrankita	72-669-B,86-487-B
afranko	72-689-B
afraziano	1-891-B
afrika	1-752-B
afrikano	1-767-B
afrikansa	1-784-B
afrikanso	1-804-B
afrikazia	1-912-B
afriko	1-738-B
afrodito	1-2553-B
afrodiziigaĵo	18-2067-B
afusto	27-2776-B,50-1067-B
agaca	12-2182-B,13-283-B,89-2833-B
agaceco	12-2262-B
agado	13-790-B,13-1136-B
agamemno	1-933-B
agapo	15-1475-B
agaragaro	15-1487-B,15-1502-B
agariko	63-2629-B
agata	15-1522-B
agato	1-952-B,15-1534-B
agavo	15-1546-B
agema	13-1021-B
agemo	13-1151-B
agendo	15-1750-B
agenteco	15-1702-B
agentejo	15-1718-B
agento	15-1779-B
agenturo	15-1734-B
agi	13-613-B
agi lau	46-878-B,66-1200-B
agita	54-2509-B
agitacio	15-2639-B,43-451-B,46-607-B
agitado	15-2658-B,31-1275-B
agitanto	13-1100-B,15-2815-B
agiti	9-3130-B,15-2500-B,54-322-B
agitismo	13-1082-B
agitisto	15-2833-B
agitiĝo	15-2676-B,31-1293-B
agito	15-2695-B,31-1312-B,39-510-B,43-471-B,46-624-B,93-1152-B
aglibero	41-375-B
aglido	40-1611-B
aglo	40-1600-B
aglomerado	15-1874-B
aglomerato	15-1899-B
aglomeraĵo	15-1924-B
aglomeri	15-1853-B
aglomero	15-1950-B
aglutini	15-1973-B
agnoski	12-2935-B,76-328-B
agnosko	12-3018-B
agnostika	15-2862-B
agnostikisto	15-2881-B
agnostikulo	15-2903-B
ago	13-621-B,13-803-B
agonii	15-2966-B
agonio	15-3033-B
agorafobio	15-3103-B
agordi	93-995-B
agordiĝemo	60-146-B,92-921-B
agordo	15-3290-B
agrabla	15-3206-B,41-3218-B,59-896-B,65-499-B,71-1378-B
agrable	15-3242-B,31-505-B,71-1428-B
agrableco	71-1447-B
agrafi	30-220-B
agrafo	30-233-B,52-1629-B
agrara	15-3126-B,15-3367-B,44-1061-B
agregaĵo	15-2190-B
agresa	15-2245-B
agresanto	15-2340-B,20-59-B,20-2360-B
agresema	15-2263-B
agresi	20-2305-B
agresinto	15-2360-B,20-79-B,20-2379-B
agresiva	15-2283-B
agreso	15-2210-B,15-2418-B
agrikulturisto	44-1074-B
agrimonio	15-3483-B
agripo	1-965-B
agro	45-253-B
agrokulturo	15-3410-B
agronomia	15-3387-B
agronomiisto	15-3456-B
agronomio	15-3434-B,15-3502-B
agropiro	33-2743-B
aha	15-3536-B
aideso	16-152-B
aj	67-2621-B,68-754-B
ajaco	1-1036-B
ajakso	1-1047-B
ajlo	47-3082-B
ajn	1-43-B,18-1769-S,18-1791-S,97-262-S,97-279-S,97-592-S,97-647-S,97-1095-S
ajnuo	1-980-B
akacio	11-1281-B
akademia	11-1295-B
akademiano	11-1417-B
akademio	11-1440-B
akanto	11-1509-B
akapari	33-2018-B
akaro	62-1056-B
akcelado	11-1693-B
akcelanta	11-1809-B
akcelanto	73-2176-B
akceli	11-1586-B,14-1696-B
akceliĝi	11-1604-B
akceliĝo	11-1715-B
akcelo	11-1738-B
akcenti	11-1854-B,11-1952-B,87-1551-B
akcento	11-1869-B,41-1756-B,87-1566-B
akcentsigno	87-1581-B
akceptanto	11-2131-B
akceptebla	11-1989-B
akcepti solene	96-2805-B
akcepti vizitantojn	42-239-B,75-3048-B
akceptigi	46-1474-B
akceptinda	11-2011-B
akceptindeco	88-3358-B
akceptistino	76-57-B
akceptita	11-2083-B,11-2102-S
akceptosalono	76-0-B
akceptsalono	76-29-B
akcesora	11-2436-B,14-2318-B,80-2705-B
akcesora tono	68-675-B
akcesoraĵo	11-2455-B,82-2597-B
akcesoraĵoj	11-2411-B
akcia kompanio	31-1683-B
akciaro	81-3262-B
akcidenta	11-2661-B
akcidente	11-2735-B
akcidentema	11-2634-B
akcihavanto	81-3284-B
akcio	81-3150-B
akcipitro	51-547-B
akciuleco	81-3328-B
akciulo	81-3308-B
akcizo	43-370-B,43-384-B
akeno	1-991-B
akerono	1-437-B
akileo	98-1670-B
akilo	1-470-B
akirado	12-3659-B,12-3701-B
akiraĵo	11-2273-B,13-0-B,47-2380-B
akirebla	66-1592-B
akiri	12-3586-B,47-2394-B,48-1681-B,66-1579-B
akiri pene	76-286-B
akiro	11-2292-B,13-21-B,20-695-B
aklamado	11-2758-B,11-2854-B
aklami	11-2775-B,18-3028-B
aklamo	11-2790-B,11-2875-B,19-223-B
aklimatizi	11-2990-B
akmeo	12-3116-B
akneo	12-3166-B
akno	70-2914-B
akolito	12-3189-B
akomodi	11-3096-B,13-1824-B,13-3202-B
akomodiĝi	13-1838-B
akomodiĝo	11-3207-B
akomodo	11-3232-B,13-3379-B
akompanado	11-3607-B
akompanantaro	88-1544-B,92-1304-B
akompanantino	28-2694-B,40-767-B
akompananto	11-3632-B,31-1625-B
akompani	61-930-S
akompani varte	28-2717-B,85-2737-B
akonito	12-3217-B,62-2201-B
akordi	12-140-B,15-3142-B
akordionisto	12-319-B
akordiono	12-299-B
akordiĝema	60-172-B,92-946-B
akordo	12-154-B,12-220-B,15-3307-B,32-326-B
akoro	27-298-B
akra	12-2196-B,13-295-B,13-321-B,59-1552-B,82-0-B
akra tono	89-2855-B
akraflanka	17-3413-B,82-80-B
akratona	10-2441-B,13-306-B,13-338-B,82-103-B,82-2175-B,84-466-B,89-2744-B
akratoneco	13-359-B
akreaĵo	13-253-B
akreco	12-2279-B,13-379-B,13-1495-B,82-139-B
akreditaĵo	34-1339-B
akrediti	12-887-B
akreditilo	34-1362-B
akresona	82-11-B,82-2191-B
akrido	49-1604-B,59-52-B
akrigi	82-124-B
akrigrimeno	87-2430-B
akro	13-243-B
akrobata	13-412-B
akrobatado	13-431-B
