sino	25-626-B
spirado	77-3129-B
spiralo	85-1355-B
spirblovi	84-839-B
spiri	25-2365-B
spirita	85-1420-B
spiritforesta	10-3304-B
spiritismo	85-1438-B
spirito	85-1370-B
spirkanalo	16-1456-B
spirmanko	40-1465-B
spiro	25-2327-B
spiron	48-75-S
spirpauzo	25-2379-B
spite	36-1462-B,37-1598-B
spiti	36-1853-B
spito	36-1447-B,85-1503-B
spliti	85-1565-B,85-1643-B
splitigi	85-1656-B
splitiĝi	85-1581-B
splito	85-1600-B
sponga	85-1832-B
spongeca	85-1846-B
spongi	85-1787-B
spongo	85-1801-B
spontana	85-1862-B
spontanea	85-1883-B
sporada	85-1946-B
sportisto	85-1976-B
sporto	85-1963-B
sportulo	85-1996-B
spraji	85-2089-B
sprita	58-2648-B,97-2680-B
spritaĵo	97-2660-B
sprito	97-2364-B
sproni	54-364-B,79-445-B,85-2324-B,86-2784-B
sprono	85-2336-B
spuro	92-872-B,92-897-B
sputi	85-1474-B
stabejo	51-948-B
stabila	85-2815-B
stablo	23-1650-B,40-2116-B,92-2727-B,98-108-B
stablolaboristo	23-1663-B,45-2123-B
stabo	85-2996-B
stacidomo	86-1218-B
staciestro	86-1251-B
stacio	85-3085-B,86-1236-B,87-424-B
stadio	85-2964-B,85-3098-B
stadiono	85-2979-B
stagni	85-3135-B
stajo	25-1515-B,34-964-B
staki	85-2940-B
stakiso	98-876-B
stako	51-1098-B,70-2674-B,85-2952-B
stalfako	86-310-B
stalo	85-2830-B,86-325-B,87-3093-B
stalono	86-337-B
staltrogo	60-436-B
stampi	60-1245-B,86-421-B
stampi monerojn	30-2505-B,62-120-B
stana	91-1736-B
standardo	22-492-B,86-601-B
stando	86-546-B
stangeto	86-2560-B
stango	71-2214-B,78-2714-B,81-2784-B,86-151-B
stanita lado	91-1746-B
stano	91-1763-B
stapli	87-554-B
staranta	37-1949-S,47-224-S
starema	85-2843-B
stari	86-559-B
starigi	42-1308-B,42-1712-B,75-836-B
starigo	42-1772-B
stariĝi	78-2139-B,86-571-B
starpunkto	95-1492-B
startigi	86-981-B
startigilo	86-996-B
statistikisto	13-1435-S
statistiko	86-1277-B
statisto	24-653-B
stato	32-509-B,86-1175-B
statuo	86-1299-B
staturo	45-540-B,86-1313-B
statuto	26-2865-B,76-2592-B,86-1329-B
stebero	86-3137-B
stebi	74-3016-B,86-3152-B
stebilo	81-2503-B
stego	73-2505-B,88-2638-B
stela	82-2800-B,86-659-B,86-709-B
stelario	86-2470-B
steleto	20-1228-B
stelo	86-670-B
stelulino	28-1197-B,86-681-B
stelulo	28-1217-B,86-696-B
stenografio	82-1680-B,86-1885-B
stenotajpistino	86-1909-B
stepo	86-2155-B
stereotipo	86-2207-B
sterila	86-2250-B
steriligi	86-2266-B
sterkado	39-2816-B,44-2836-B,60-809-B
sterkakvo	63-1807-B,86-180-B
sterki	44-2859-B
sterko	44-2876-B,60-795-B
sterni	85-2136-B
stevardino	86-2419-B
stevardo	20-2628-B,86-2377-B
stikso	8-1153-B
stilo	87-3103-B
stimuli	9-3165-B,79-458-B,85-2348-B,86-2801-B
stimulo	53-2729-B,54-415-B,86-2854-B
stipendiulo	43-1152-B,80-1348-B
stirado	86-1709-B
stiranto	39-3168-B
stiri	86-1660-B
stirilo	56-1132-B,86-1726-B
stirio	8-1139-B
stiristo	39-3184-B
stirrado	86-1749-B
stivi	87-844-B
stivisto	86-2315-B
stoika	87-12-B,87-56-B
stoikisto	87-25-B
stoikulo	87-41-B
stokholmo	8-1097-B
stoki	86-3179-B,87-567-B
stoko	86-3191-B,86-3203-S
stomako	87-83-B
stop	87-436-B
storo	61-1358-B
stovo	87-807-B
strabi	85-2723-B
strandŝtelisto	22-2778-B
stranga	34-3079-B,66-2132-B,69-1849-B,87-1076-B
strangoli	29-1983-B,87-1148-B
strasburgo	8-1117-B
stratangulo	33-2047-B,87-1407-B
strategia	87-1198-B
strategio	87-1218-B
strateto	16-3204-B,57-1014-B
stratlanterno	87-1449-B,87-1474-B
strato	87-1393-B
strecanta	50-2815-B
strece	91-1446-B
streci	87-1361-B
strecita	87-952-B
streciĝo	90-1495-B
streco	90-1514-B
streki	39-2311-B
streko	87-1285-B,87-2226-B
strigli	35-266-B
strigo	68-778-B
striki	87-1878-B
striko	87-1892-B
strikodo	22-1103-B
strikta	87-1690-B,91-1390-B
strio	75-1770-B,87-1299-B,87-2140-B,87-2167-B
strofo	95-691-B
stroncio	87-2411-B
strukturo	87-2448-B
struto	67-2496-B
studado	87-2749-B
studanto	87-2593-B
studentino	87-2610-B
studento	11-1313-B,87-2629-B
studi	87-2763-B
studio	87-2685-B
studo	87-2775-B
stuki	71-754-B
stuko	71-768-B
stulta	13-2366-B,46-1231-B,87-2992-B
stulte	87-3006-B
stultulo	46-1180-B
stumbli	87-2930-B
stumpigi	91-2875-B,93-480-B
stupi	28-622-B
sturgo	87-3037-B
sturmi	20-240-B,87-688-B
sturmo	20-255-B,87-733-B
sturno	86-802-B
sub	23-1595-B,23-1841-B,93-2795-B,93-2989-B
subaceti	25-2532-B
subakva	94-152-B
subakviĝi	39-613-B,83-925-B
subauskulti	40-2272-B
subcemizo	95-885-B
sube	23-1605-B,23-1853-B,93-3004-B
suben	39-1758-B,93-3020-B
subenŝargi	39-1788-B
subenŝarĝi	39-1809-B
subfali	88-917-B
subfosa	88-754-B
subfosi	88-773-B,93-2928-B
subigi	87-3130-B,87-3211-B
subita	10-3012-B,88-994-B
subite	88-1008-B
subjektiva	87-3189-B
subjekto	87-3159-B
subjunkcio	88-18-B
subjunktivo	88-65-B
subjupo	70-1122-B
submeti	87-3144-B,88-0-B,88-154-B
submeti sin	88-169-B
submetiĝi	88-188-B
suboficiro	65-2139-B
subombro	81-2720-B
subpremi	88-2802-B
subskribi	82-3034-B
subskribo	82-3122-B
substanco	60-2715-B,87-2826-B,88-480-B
substantivo	65-2955-B,88-500-B
substitui	88-548-B
substreki	41-1806-B,93-2908-B
substreko	93-3056-B
subtaksi	93-2805-B
subtaso	80-547-B
subtegmento	20-2748-B
subtenado	59-2527-B
subtenanto	70-2809-B
subtenaĵo	11-1147-B
subteni	9-3178-B,88-2652-B,89-14-B
subtenilo	88-2668-B
subteno	88-2686-B
subtera	93-2847-B
subtila	36-2450-B,45-1039-B,88-619-B
subtrahata nombro	88-689-B
subtrahebla	36-1093-B
subtrahi	88-650-B
subtraho	88-668-B
subulo	88-229-B
subvencii	88-442-B
subvencio	88-462-B
subventra	9-2816-B
subventro	9-2764-B
subŝteli	70-2685-B,70-3018-B
subŝtofo	58-2082-B
subŝtupare	39-1851-B
sucbotelo	44-2257-B
suci	88-952-B
sucigi	88-979-B
sucilo	31-525-B,40-935-B,68-936-B,94-2834-B
suda	84-2850-B
sudafriko	57-123-S
sudana	8-1178-B
sudanano	8-1194-B
sudano	8-1165-B
suden	84-2827-B,84-2864-B,84-2880-B
sudo	84-2839-B
