after treatment	15-1115-B
aircrew	16-767-B
airdrome	16-793-B
airfield	16-812-B
airgun	16-831-B
airily	16-855-B,16-873-B,16-891-B
airiness	16-907-B
airless	16-925-B,16-946-B,16-962-B,16-979-B
airlift	16-994-B
airline	16-1011-B
airline pilot	16-1028-B
airlock	16-1058-B
airmail	16-1075-B
airman	16-1093-B
airplane	16-1110-B
airport	16-1128-B,16-1147-B
airs	16-1166-B
airscrew	16-1180-B
airship	16-1199-B,16-1219-B
airsick	16-1236-B
airsickness	16-1255-B
airspace	16-1278-B
airspeed	16-1296-B
airstrike	16-1315-B
airstrip	16-1334-B
airthreads	16-1360-B
airtight	16-1387-B
airwaves	16-1406-B
airway	16-1425-B,16-1441-B,16-1456-B
airwoman	16-1474-B
airworthy	16-1492-B
airy	16-1513-B,16-1525-B
airy fairy	16-1539-B,16-1561-B
aisle	16-1579-B,16-1595-B
aix la chapelle	1-991-B,1-1013-B
ajar	16-1610-B
ajax	1-1036-B,1-1047-B
akin	16-1628-B
alabaster	16-1641-B,16-1661-B
alacrity	16-1681-B,16-1698-B
alarm	16-1718-B,16-1731-B,16-1746-B,16-1759-B,16-1778-B,16-1791-B,16-1807-B,16-1826-B,16-1842-B,16-1860-B,16-1881-B,16-1894-B,45-1441-S
alarm bell	16-1912-B
alarm signal	16-1938-B
alarmbell	16-1964-B
alarmclock	16-1988-B
alarmed	16-2011-B
alarming	16-2029-B,16-2045-B
alarmist	16-2069-B
alas	16-2090-B,16-2107-B
alaska	1-1059-B
alb	16-2118-B
albania	1-1073-B
albanian	1-1090-B,1-1106-B,1-1129-B,1-1147-B
albatross	16-2127-B,16-2147-B
albert	1-1163-B,1-1178-B
albino	16-2166-B
albion	1-1195-B
album	16-2180-B
albumen	16-2193-B
albuminous	16-2210-B
alchemist	16-2233-B
alchemy	16-2255-B
alcohol	16-2272-B,16-2292-B
alcoholic	16-2309-B,16-2328-B,16-2356-B,16-2383-B,16-2405-B,16-2426-B,16-2447-B,65-2045-S
alcoholism	16-2466-B,16-2489-B
alcove	16-2509-B
aldehyde	16-2523-B
alder	16-2541-B,16-2552-B,16-2563-B
alderman	16-2575-B
aleppo	1-1210-B
alert	16-2592-B
alex	1-1223-B
alexander	1-1236-B
alexandrine	16-2604-B,16-2633-B
alfred	1-1257-B
alga	16-2656-B
algebra	16-2666-B
algebraic	16-2682-B
algeria	1-1272-B
algerian	1-1289-B,1-1307-B
algiers	1-1327-B
algorithm	16-2700-B
alias	16-2720-B,16-2734-B
alibi	16-2750-B
alien	16-2763-B,16-2780-B,16-2798-B,16-2818-B,16-2831-B,16-2847-B
alike	16-2860-B,16-2872-B,16-2883-B,16-2896-B
alimony	16-2909-B
alive	16-2926-B,16-2937-B
alkali	16-2951-B
alkaline	16-2965-B,16-2981-B
all	16-2999-B,16-3012-B,16-3021-B,16-3030-B,16-3040-B
all knowing	16-3050-B
all powerful	16-3071-B
all round	16-3093-B
allah	1-1343-B
allegedly	16-3115-B
allegoric	16-3134-B
allegory	16-3153-B
allergic	16-3171-B
allergy	16-3188-B
alley	16-3204-B
alliance	16-3219-B
alligator	16-3236-B
alliteration	16-3256-B
allot	16-3280-B
allow	16-3293-B,16-3306-B,16-3317-B
alloy	16-3331-B,16-3343-B
allude	16-3361-B
alluring	16-3374-B,16-3390-B
allusion	16-3406-B
alluvial	16-3421-B
alluvion	16-3437-B
alluvium	16-3453-B
almanac	16-3469-B
almighty	16-3486-B
almond	17-0-B,17-14-B,17-32-B,17-47-B
almond eyed	17-64-B
almonership	17-88-B
almonry	17-120-B
almost	17-141-B,17-157-B
alms	17-173-B
almshouse	17-185-B,17-206-B
aloe	17-229-B
aloetic	17-239-B
aloin	17-257-B
alone	17-270-B,17-281-B
along	17-292-B,17-303-B
alongside	17-322-B,17-337-B
alost	1-1355-B
alp	17-357-B,17-372-B
alpaca	17-381-B
alpha	17-395-B
alphabet	17-407-B,17-422-B
alphabetical	17-440-B
alpine	17-462-B
alpinist	1-1370-B,1-1387-B
alps	1-1410-B
already	17-474-B
alsace	1-1421-B,1-1435-B,1-1449-B
alsace lorraine	1-1463-B
alsatian	1-1493-B,1-1509-B
also	17-486-B
alt	17-498-B
altar	17-510-B
altarpiece	17-523-B,17-546-B
alter	17-579-B,17-593-B,17-607-B
alteration	17-624-B,17-642-B,17-661-B,17-683-B
alternate	17-702-B,17-720-B
alternately	17-738-B
alternating	17-758-B
alternation	17-778-B,17-800-B
alternative	17-820-B
although	17-844-B
altitude	17-861-B,17-877-B
alto	17-891-B
altogether	17-905-B,17-923-B,17-941-B
altruism	17-957-B
altruist	17-976-B
altruistic	17-995-B,17-1016-B
alum	17-1037-B
alumina	17-1048-B
aluminium	17-1064-B
aluminum	17-1083-B
alva	1-1527-B
always	17-1101-B
amadeus	1-1537-B
amalgamate	17-1114-B
amaranthus	17-1134-B
amaryllis	17-1154-B
amass	17-1174-B
amateur	17-1188-B,17-1204-B,17-1223-B
amateurish	17-1241-B,17-1263-B,17-1284-B
amaze	17-1307-B
amazing	17-1320-B
amazon	1-1552-B,1-1576-B
ambassador	17-1335-B,17-1359-B,17-1381-B
amber	17-1400-B,17-1412-B
ambiguous	17-1426-B,17-1444-B,17-1464-B,17-1482-B
ambition	17-1502-B,17-1519-B
ambitious	17-1535-B
ambivalence	17-1553-B
amboina	1-1591-B
amboinese	1-1606-B,1-1623-B
ambrosia	17-1577-B
ambulance	17-1595-B,17-1617-B,17-1639-B
ambush	17-1666-B,17-1681-B
amen	17-1696-B,17-1706-B
amend	17-1721-B
amendment	17-1734-B,17-1756-B
america	1-1642-B,1-1660-B
american	1-839-S,1-864-S,1-1674-B,1-1691-B,1-1710-B,1-1725-B
americanize	1-1742-B
americium	17-1773-B
amethyst	17-1792-B
amidst	17-1810-B
amirants	1-1762-B
amman	1-1781-B
ammeter	17-1825-B,17-1844-B
ammon	1-1793-B
ammonia	17-1864-B
ammunition	17-1881-B
amnesty	17-1900-B,17-1917-B
amoeba	17-1934-B
among	17-1947-B,17-1959-B
amorphous	17-1973-B
amount	17-1990-B,17-2005-B
amphetamine	17-2017-B
amphibian	17-2040-B
amphitheatre	17-2058-B
amphora	17-2082-B
ample	17-2097-B
amplitude	17-2112-B
amputate	17-2132-B
amputation	17-2148-B,17-2168-B
ampère	17-2186-B
amsterdam	1-1805-B,1-1826-B
amuck	17-2201-B,17-2213-B
amudaryra	1-1847-B
amulet	17-2229-B
amur	1-1866-B
amuse	17-2244-B
amusement	17-2256-B,17-2274-B,17-2293-B
amusing	17-2309-B,17-2323-B
an	17-2338-B,17-2361-B
anabaptism	17-2367-B
anachronism	17-2390-B
anaconda	17-2414-B
anaemia	17-2432-B,17-2447-B
anaemic	17-2466-B,17-2481-B
anaesthesia	17-2500-B,17-2523-B
anaesthesist	17-2544-B
anagram	17-2569-B
anal	17-2586-B
analogous	17-2597-B,17-2615-B
analogy	17-2634-B,17-2652-B
analyse	17-2669-B
analysis	17-2685-B
analyst	17-2702-B
analytic	17-2721-B
analytical	17-2740-B
anapaest	17-2761-B
anarchic	17-2779-B
anarchical	17-2797-B
anarchism	17-2817-B
anarchist	17-2839-B,17-2859-B,17-2878-B,17-2900-B
anarchy	17-2921-B
anastasia	1-1877-B
anathema	17-2938-B,17-2955-B
anatolia	1-1898-B
anatomical	17-2976-B
anatomist	17-2996-B
anatomy	17-3018-B
anchor	17-3035-B,17-3048-B
anchorage	17-3063-B,17-3081-B
anchovy	17-3096-B
ancient	17-3112-B
and	17-3128-B
and seek	51-2889-S
and sour	89-382-S
andalusia	1-1916-B
andalusian	1-1937-B,1-1957-B
andes	1-1977-B
andorra	1-1989-B
andorrian	1-2004-B,1-2021-B
andromeda	1-2040-B
anecdotal	17-3136-B
anecdote	17-3155-B
anemone	17-3173-B,80-2157-S
anew	17-3189-B
angel	17-3201-B,17-3217-B
angelic	17-3231-B
angelica	17-3247-B
angelus	17-3265-B
anger	17-3283-B
angina	17-3296-B
angle	17-3310-B,78-1737-S
angler	17-3323-B
anglican	1-2060-B,1-2079-B
anglicism	1-2098-B
anglo saxon	1-2119-B,1-2142-B
angolan	1-2165-B
angolese	1-2180-B
angora	1-2198-B
angry	17-3346-B
anguilla	1-2212-B
anguilliform	17-3359-B
anguish	17-3383-B,17-3398-B
angular	17-3413-B,17-3432-B
aniline	17-3450-B
animal	17-3466-B,18-0-B,18-15-B
animate	18-28-B,18-42-B
anise	18-57-B,18-69-B
ankara	1-2229-B
anker	18-83-B
ankh	18-96-B
ankle	18-107-B
ann	1-2243-B
annals	18-121-B
annexation	18-135-B
anniversary	18-155-B,18-177-B
annotate	18-199-B
annotation	18-216-B,18-238-B
announce	18-254-B
announcement	18-270-B,18-292-B
announcer	18-312-B,18-334-B
annoy	18-354-B
annual	18-370-B
annul	18-386-B
annunciation	1-2253-B
anode	18-399-B
anoint	18-411-B
anomaly	18-425-B
anonymity	18-442-B,18-462-B
anonymous	18-482-B
another	18-500-B,18-513-B,18-528-B,18-541-B
answer	18-554-B,18-578-B,18-594-B,18-613-B
answering	18-629-B
ant	18-650-B
ant eater	18-662-B,18-687-B,18-708-B
antarctic	1-2277-B,1-2298-B,1-2317-B,1-2336-B
antares	1-2357-B
antecedent	18-730-B,18-752-B,18-775-B
antecedents	18-795-B
antedate	18-820-B
antediluvian	18-840-B
antelope	18-866-B
anthem	18-884-B
anthology	18-897-B
anthracite	18-919-B
anthropology	18-940-B
anti semite	18-966-B
anti semitic	18-989-B
anti semitism	18-1013-B,18-1041-B,18-1073-B
antibiotic	18-1105-B
antichrist	1-2374-B
anticipate	18-1128-B
anticipation	18-1148-B
antidote	18-1170-B
antifreeze	18-1194-B
antilles	1-2396-B
antillian	1-2413-B,1-2430-B
antimony	18-1223-B
antioch	1-2449-B
antipathy	18-1241-B,18-1261-B
antipode	18-1283-B
antique	18-1301-B
antiquity	18-1317-B,18-1341-B
antiseptic	18-1361-B,18-1382-B,18-1405-B
antisocial	18-1430-B
antitank	18-1455-B
antithesis	18-1478-B,18-1501-B
antony	1-2468-B
antwerp	1-2483-B,1-2502-B
anubis	1-2521-B
anus	18-1521-B
anvil	18-1532-B,18-1545-B,18-1564-B
anxiety	18-1577-B
anxious	18-1594-B,18-1609-B,18-1630-B,18-1648-B,18-1666-B,18-1681-B
anxiously	18-1699-B,18-1722-B,18-1742-B
any	18-1762-B,18-1769-B,18-1780-B,18-1791-B
anybody	18-1803-B
anything	18-1814-B
anyway	18-1826-B
anywhere	18-1837-B
aorta	18-1849-B
apache	18-1861-B
apart	18-1875-B,18-1888-B,18-1901-B
apartheid	18-1912-B
apartment	18-1933-B
apathetic	18-1955-B
apathy	18-1972-B
ape	18-1986-B
ape like	18-1996-B,18-2013-B
apennines	1-2534-B
aphasia	18-2034-B
aphorism	18-2049-B
aphrodisiac	18-2067-B
aphrodite	1-2553-B
apiarist	18-2094-B
apiary	18-2112-B
apish	18-2127-B,18-2141-B
aplomb	18-2159-B
apocalypse	1-2572-B,18-2174-B
apocalyptic	18-2196-B
apocryphal	18-2219-B
apodeictic	18-2239-B
apollo	1-2594-B
apologize	18-2259-B,18-2281-B
apology	18-2306-B,18-2323-B
apostasy	18-2342-B
apostate	18-2364-B,18-2382-B
apostatize	18-2400-B,18-2423-B
apostle	18-2447-B
apostleship	18-2464-B
apostolate	18-2487-B
apostolic	18-2509-B
apostrophe	18-2528-B
apotheosis	18-2549-B
