傷痕 きずあと	262-3278-B
傷痕 しょうこん	262-3305-B
傷者 しょうしゃ	43-4770-B
傷薬 きずぐすり	204-4327-B,261-526-B
傷跡 きずあと	262-3335-B
傾 けい	154-3628-B,172-3993-B
傾き かたむき	29-2399-B,29-5549-B,88-4855-B,154-3298-B,176-2649-B,277-4847-B,304-3647-B,313-6031-B
傾く かたぶく	76-4373-B,179-5702-B,275-2531-B,276-5434-B,328-4398-B
傾く かたむく	76-4403-B,179-5730-B,275-2558-B,276-5462-B,328-4425-B
傾ぐ かしぐ	42-2828-B,76-4433-B,154-3649-B,172-4011-B,176-2676-B,179-5758-B,275-2585-B,276-5490-B,308-2560-B,308-5244-B,328-4452-B
傾ぐ かたぐ	42-2854-B,76-4460-B,154-3676-B,172-4035-B,176-2700-B,179-5783-B,275-2609-B,276-5515-B,308-2584-B,308-5267-B,328-4476-B
傾ける かたむける	29-338-B,100-2882-B,154-3703-B,172-4059-B,176-2724-B,276-5540-B,285-5654-B,308-2608-B,308-5290-B
傾げる かしげる	154-3739-B,172-4092-B,276-5574-B,308-2641-B
傾げる かたげる	154-3772-B,172-4122-B,276-5605-B,308-2671-B
傾らか なだらか	96-4423-B,131-1895-B
傾れる なだれる	80-6044-B,277-4875-B
傾倒 けいとう	6-2098-B,6-4977-B
傾向 けいこう	154-3332-B,304-3678-B,313-6059-B
傾国 けいこく	27-3597-B,68-1771-B,234-4093-B
傾城 けいせい	27-3626-B,68-1803-B,234-4126-B
傾度 けいど	154-3366-B
傾斜 けいしゃ	29-4754-B,85-913-B,154-3397-B,176-2757-B,276-5636-B,277-4906-B
傾斜度 けいしゃど	135-31-B
傾斜面 けいしゃめん	277-4934-B
傾注 けいちゅう	59-710-B,83-1336-B
傾角 けいかく	154-3431-B
僅々 きんきん	187-4989-B
僅か わずか	187-5018-B,205-2605-B
僅僅 きんきん	187-5044-B
僅少 きんしょう	117-5067-B,159-6448-B,176-4456-B
僊 せん	144-2432-B
働 どう	169-4771-B,334-5772-B
働き はたらき	1-3616-B,4-2187-B,4-6021-B,5-194-B,61-2802-B,128-1580-B,157-5224-B,169-4790-B,194-2140-B,194-5396-B,205-5622-B,302-1201-B,334-5790-B
働き中毒 はたらきちゅうどく	335-435-B
働き人 はたらきびと	335-726-B
働き口 はたらきぐち	100-2261-B,205-4495-B,225-3926-B,275-4251-B
働き手 はたらきて	35-3261-B,298-989-B,335-764-B
働き手 はたらきで	35-3301-B,298-1027-B,335-799-B
働き掛ける はたらきかける	157-5825-B
働き過ぎ はたらきすぎ	209-3752-B,210-3133-B
