飼い主 かいぬし	271-2407-B
館長 かんちょう	72-1899-B,85-3306-B,297-2205-B
饂飩粉 うどんこ	121-5420-B
饂飩粉病 うどんこびょう	189-2208-B
饑い ひだるい	149-605-B
饑える うえる	287-4261-B,306-3729-B
饑渇 きかつ	287-4146-B
饑餓 きが	149-419-B,287-4176-B
饑饉 ききん	114-4702-B
饒舌 じょうぜつ	130-331-B,178-3825-B,302-2389-B
饒舌家 じょうぜつか	47-3185-B
饗する きょうする	116-4091-B,313-3891-B
饗宴 きょうえん	116-4125-B
饗応 きょうおう	25-3288-B,103-126-B,116-4156-B,313-3925-B
首 くび	197-4846-B
首を切る くびをきる	28-4405-B
首を絞める くびをしめる	291-1845-B
首を長くして くびをながくして	96-425-B,110-438-B
首切り くびきり	75-5517-B,88-673-B,109-888-B,119-4051-B
首唱 しゅしょう	7-3043-B,233-2499-B
首尾 しゅび	165-4508-B
首尾よく しゅびよく	295-1977-B
首尾一貫 しゅびいっかん	62-3999-B
首尾一貫した しゅびいっかんした	62-4047-B
首尾良く しゅびよく	295-2021-B
首巻 くびまき	55-1516-B,195-770-B,197-4939-B
首巻き くびまき	55-1548-B,195-800-B,197-4973-B
首府 しゅふ	41-5157-B,188-4035-B
首座 しゅざ	142-822-B
首斬り くびきり	75-5555-B,88-708-B,109-923-B,119-4083-B
首班 しゅはん	142-846-B,172-2680-B
首肯 しゅこう	20-1480-B,61-6763-B
首肯く うなずく	199-4951-B
首脳 しゅのう	142-873-B
首謀 しゅぼう	222-1189-B,256-2048-B
首謀者 しゅぼうしゃ	256-2081-B
首輪 くびわ	49-1740-B,197-5063-B
首領 しゅりょう	34-783-B,48-3247-B,142-900-B,172-2709-B
首飾り くびかざり	197-5091-B
首魁 しゅかい	123-5633-B,256-2123-B
馘首 かくしゅ	88-743-B
香 こう	154-1095-B
香ばしい かんばしい	18-1578-B,125-4903-B,262-285-B,299-6163-B
香ばしい こうばしい	18-1618-B,125-4943-B,262-323-B,299-6200-B
香り かおり	18-1331-B,125-4776-B,263-115-B,278-3785-B
香具師 やし	47-26-B,114-796-B,237-4685-B,272-5177-B
香味 こうみ	283-4724-B
香味料 こうみりょう	283-4749-B
香料 こうりょう	217-1403-B
香気 こうき	125-4805-B
香水 こうすい	217-1436-B
香油 こうゆ	25-1448-B,224-4350-B
香炉 こうろ	45-186-B
香車 きょうしゃ	170-3445-B
馥郁たる ふくいくたる	125-4983-B
馨香 けいこう	18-1356-B,114-3658-B,125-4834-B,146-5898-B,217-1466-B
馬の背 うまのせ	147-2990-B
馬丁 ばてい	26-4237-B,123-2082-B
馬上 ばじょう	147-3025-B,255-5546-B
馬具 ばぐ	141-1713-B
馬小屋 うまごや	286-2226-B
馬肉 ばにく	147-3142-B
馬術 ばじゅつ	93-3962-B,147-3107-B
馬車 ばしゃ	53-150-B
馬鍬 まぐわ	141-1905-B,240-2015-B
馬陸 やすで	189-4227-B
馬鹿 ばか	122-5507-B,123-945-B,150-2932-B
馬鹿げた ばかげた	2-4567-B,123-1411-B
馬鹿な真似 ばかなまね	309-4275-B
馬鹿らしい ばからしい	2-4602-B
馬鹿臭い ばかくさい	2-4643-B
馬鹿馬鹿しい ばかばかしい	293-2958-B
馬鹿騒ぎ ばかさわぎ	147-3294-B
馭者 ぎょしゃ	39-5196-B,53-234-B,94-485-B
馳走 ちそう	25-3321-B,103-165-B,116-4187-B,313-3956-B
馴らし手 ならして	302-3197-B
馴らす ならす	91-4808-B,302-3093-B
馴れた なれた	302-3120-B
馴れっこ なれっこ	114-4184-B
馴れ合い なれあい	54-4049-B,62-5697-B,174-2582-B
馴化 じゅんか	3-3146-B
馴染 なじ	163-3151-B
馴染み なじみ	127-672-B,163-3176-B
駁論 ばくろん	61-998-B,246-3477-B
駄々っ子 だだっこ	284-5466-B
駄作 ださく	258-5127-B
駄弁 だべん	200-1808-B
駄弁る だべる	47-3116-B,165-5673-B
駄洒落 だじゃれ	236-2799-B
駄物 だもの	313-1057-B
駄犬 だけん	72-1781-B,192-6101-B
駄目 だめ	147-1834-B,322-1133-B
駄賃 だちん	255-2505-B,309-45-B
駄馬 だば	139-619-B,210-5448-B,335-1085-B
駄駄っ子 だだっこ	284-5501-B
駅 えき	288-30-B
駅伝 えきでん	286-2878-B
駅頭 えきとう	288-51-B
駅馬車 えきばしゃ	286-2911-B
駆けつける かけつける	141-3213-B
駆ける かける	41-3480-B,129-2066-B
駆け付ける かけつける	141-3254-B
駆け出し かけだし	28-2106-B,201-2754-B
駆け引き かけひき	25-5190-B,291-3212-B
駆け込み かけこみ	286-5852-B
駆け込む かけこむ	286-5889-B
駆り集める かりあつめる	191-5964-B
駆る かる	152-1963-B
駆引き かけひき	25-5229-B,291-3249-B
駆虫剤 くちゅうざい	159-3846-B
駆逐 くちく	82-1937-B,111-1620-B,111-4590-B
駆逐艦 くちくかん	82-1386-B
駆除 くじょ	82-1968-B,111-1649-B,111-4623-B
駈ける かける	7-720-B,129-2095-B,259-3568-B
駐在 ちゅうざい	251-6401-B,288-1122-B
駐在員 ちゅうざいいん	158-2754-B,252-0-B
駐屯 ちゅうとん	203-4505-B
駐屯地 ちゅうとんち	130-190-B
駐屯所 ちゅうとんじょ	225-6384-B
駐留 ちゅうりゅう	130-230-B
駒鳥 こまどり	257-2091-B
駕篭 かご	30-760-B,176-4364-B,211-2705-B
駕籠 かご	30-781-B,176-4387-B,211-2731-B
駝鳥 だちょう	208-3629-B
駱駝 らくだ	40-5524-B
駻馬 かんば	37-1271-B
駿才 しゅんさい	131-1560-B
騎乗 きじょう	194-3473-B
騎兵 きへい	44-3613-B
騎士 きし	169-2305-B
騎士道 きしどう	49-527-B
騎手 きしゅ	147-3079-B,255-4715-B
騒々しい そうぞうしい	32-5542-B,200-0-B
騒がしい さわがしい	200-40-B
騒がす さわがす	14-176-B
騒ぎ さわぎ	90-2593-B,321-3022-B
騒めく ざわめく	259-5190-B
騒乱 そうらん	90-2624-B,185-1982-B,256-2597-B
騒人 そうじん	223-5412-B
騒動 そうどう	242-5271-B,256-2624-B,292-870-B
騒擾 そうじょう	90-2658-B,256-2651-B
騒然 そうぜん	200-77-B,321-3048-B
騒然たる そうぜんたる	200-105-B
騒霊 そうれい	224-3528-B
騒音 そうおん	199-5298-B
騒騒しい そうぞうしい	32-5587-B,200-145-B
騙され易い だまされやすい	138-4267-B,196-2302-B
騙し込む だましこむ	76-462-B,102-5122-B
騙す だます	47-4005-B,76-501-B,314-2317-B
騙り かたり	126-2080-B,300-2089-B
騰貴 とうき	256-4135-B
騾馬 らば	195-935-B
驀進 ばくしん	74-4195-B,259-4514-B
驍将 ぎょうしょう	172-2741-B
驕傲 きょうごう	18-6019-B,230-1606-B
驕奢 きょうしゃ	112-1404-B,180-1452-B
驕慢 きょうまん	18-6054-B
驚かす おどろかす	127-2227-B,298-6018-B
驚がく きょうがく	127-2111-B,271-5593-B,298-6055-B
驚き おどろき	21-709-B,298-6092-B,334-4008-B
驚くべき おどろくべき	12-878-B,21-447-B,298-6232-B,334-4447-B
驚倒 きょうとう	267-4184-B
驚嘆 きょうたん	6-3133-B,334-4037-B
驚天動地 きょうてんどうち	12-920-B,287-4012-B
驚愕 きょうがく	127-2146-B,271-5627-B,298-6123-B
驚歎 きょうたん	6-3169-B,334-4532-B
驚異 きょうい	190-1631-B,334-4069-B
驚異的 きょういてき	334-4491-B
驢馬 ろば	92-201-B
骨 こつ	169-1483-B,276-1368-B
骨 ほね	33-1497-B
骨っぽい ほねっぽい	33-2100-B,223-2491-B,310-4341-B
骨っ節 ほねっぷし	24-2537-B,166-3779-B,284-1236-B
骨休め ほねやすめ	243-4374-B,244-7025-B,248-99-B
骨化 こっか	208-2566-B
骨太 ほねぶと	290-4643-B
骨子 こっし	183-4895-B
骨幹 こっかん	37-5771-B,275-5388-B,292-4651-B
骨惜しみ ほねおしみ	172-1377-B
骨折り ほねおり	6-4486-B,313-1102-B
骨材 こつざい	8-4673-B
骨柄 こつがら	16-369-B,37-5799-B,219-6459-B
骨格 こっかく	37-5827-B,125-5573-B,219-6490-B
骨法 こっぽう	169-1502-B
骨無し ほねなし	33-1515-B,283-5897-B
骨盤 こつばん	215-5251-B
骨相 こっそう	219-5312-B,219-6521-B
骨相学 こっそうがく	219-5345-B
骨相学者 こっそうがくしゃ	219-5217-B
骨粗鬆症 こつそしょうしょう	208-3218-B
骨組み ほねぐみ	125-6063-B,275-5419-B
骨肉腫 こつにくしゅ	208-3274-B
骨膜 こつまく	217-2846-B
骨董 こっとう	14-5979-B,72-2516-B
骨董品 こっとうひん	72-2544-B
骨軟化症 こつなんかしょう	208-3089-B
骨関節症 こつかんせつしょう	208-3031-B
骨頂 こっちょう	143-2345-B,220-4456-B
骨骼 こっかく	125-5601-B,125-6098-B,219-6552-B
骨髄 こつずい	183-4921-B
骨髄腫 こつずいしゅ	196-387-B
骭 はぎ	173-2163-B
骰子 さいころ	83-4544-B,83-6064-B
骸 むくろ	66-3626-B
骸骨 がいこつ	275-5453-B
髄膜炎 ずいまくえん	187-2713-B
髑髏 されこうべ	69-1138-B
髑髏 しゃりこうべ	69-1171-B
髑髏 しゃれこうべ	69-1207-B
髑髏 どくろ	69-1243-B
髑髏 ひとがしら	69-1270-B
高 たか	12-4071-B,201-5096-B,238-81-B,327-4276-B
高い たかい	302-2573-B
高さ たかさ	143-2377-B
高じる こうじる	82-6279-B
高まり たかまり	98-6175-B,256-4159-B,300-552-B,321-3760-B
高まる たかまる	256-4189-B,300-583-B
高み たかみ	143-2403-B
高める たかめる	33-4450-B,175-1273-B,240-1603-B
高らか たからか	178-5588-B,256-1730-B,281-2101-B
高を括る たかをくくる	318-1239-B
高位 こうい	84-3609-B,99-5882-B
高分子 こうぶんし	180-2421-B
高利貸し こうりがし	322-2730-B,322-3095-B
高原 こうげん	222-3061-B,301-3761-B
高台 たかだい	98-6210-B
高名 こうみょう	114-3685-B,249-2658-B
高名 こうめい	114-3715-B,249-2690-B
高圧的 こうあつてき	206-3831-B
高地 こうち	222-3091-B
高堂 こうどう	336-5506-B
高大 こうだい	135-2349-B,153-1884-B
高尚 こうしょう	145-493-B,199-4497-B
高層 こうそう	321-2118-B
高層ビル こうそうビル	276-4157-B
高山 こうざん	11-2350-B
高嶺の花 たかねのはな	317-2072-B
高度 こうど	11-5085-B,143-2429-B
高度計 こうどけい	11-5047-B
高座 こうざ	222-3319-B,236-1913-B,286-2805-B
高慢 こうまん	18-6237-B,141-4619-B,235-922-B
高所 こうしょ	98-6242-B
高揚 こうよう	102-1259-B,107-4277-B,233-2534-B,321-2025-B
高楼 こうろう	276-4202-B
高欄 こうらん	140-293-B
高潔 こうけつ	199-4157-B,237-2029-B
高潮 こうちょう	298-4702-B
高潮 たかしお	298-4733-B
高瀬舟 たかせぶね	120-4669-B
高然たる こうぜんたる	235-950-B,314-4682-B
高直 こうじき	110-2136-B
高血圧症 こうけつあつしょう	149-4570-B
高踏 こうとう	11-1992-B,145-699-B,312-1480-B
高踏的 こうとうてき	312-1515-B
高速道路 こうそくどうろ	126-3010-B,145-1267-B
高進 こうしん	256-4509-B
高遠 こうえん	177-4548-B,199-4528-B
高邁 こうまい	177-4576-B,199-4556-B
高陵土 こうりょうど	167-5962-B
高雅 こうが	47-2222-B,98-5493-B
高電位 こうでんい	145-608-B
高音 こうおん	281-3163-B
高音 たかね	281-3193-B
高音部 こうおんぶ	313-4974-B
高飛び たかとび	105-250-B,121-3215-B
高鳴り たかなり	256-1763-B
高鳴る たかなる	307-4109-B
髪 かみ	139-1388-B
髪型 かみがた	139-1557-B
髪床 かみどこ	25-4543-B,25-4611-B
髪形 かみがた	53-4551-B,139-1586-B
髪結い かみゆい	139-1615-B
髪結い床 かみゆいどこ	25-4644-B
髭 ひげ	27-1576-B,194-4343-B
髭剃り ひげそり	271-631-B
髷 まげ	48-3337-B,310-1307-B
鬘 かつら	139-1734-B,333-611-B
鬚 ひげ	27-1595-B,194-4366-B
鬱々 うつうつ	186-5882-B,218-5374-B
鬱屈 うっくつ	133-787-B
鬱憤 うっぷん	13-2590-B,137-4588-B,251-4591-B
鬱気 うっき	133-816-B,186-5915-B
鬱滞 うったい	61-1654-B
鬱然 うつぜん	79-5147-B,133-842-B,306-1834-B
鬱病 うつびょう	80-4610-B,186-5187-B
鬱積 うっせき	298-2684-B
鬱蒼 うっそう	79-5175-B,306-1862-B
鬱蒼たる うっそうたる	79-5203-B,180-978-B,306-1890-B
鬱金色 うこんいろ	336-3586-B
鬱陶しい うっとうしい	80-3875-B,133-871-B
鬱鬱 うつうつ	186-5945-B,218-5406-B
鬱鬱たる うつうつたる	133-912-B
鬼 おに	79-3098-B,204-3740-B
鬼兵隊 きへいたい	44-3640-B
鬼女 きじょ	271-843-B,334-852-B
鬼婆 おにばば	139-1002-B,334-877-B
鬼才 きさい	131-1592-B,334-3178-B
鬼気 きき	93-2468-B,131-5247-B
鬼気迫る ききせまる	131-5271-B
鬼火 おにび	333-2081-B
鬼瓦 おにがわら	129-5238-B
鬼畜 きちく	37-4068-B
魁 さきがけ	123-5666-B,140-4071-B,220-4968-B
魁偉 かいい	35-2907-B,132-1100-B,153-1917-B,195-4364-B
魂 こん	281-5196-B,284-1271-B
魂 たま	281-5214-B,284-1291-B
魂 たましい	281-5232-B,284-1311-B
魂胆 こんたん	163-5388-B,223-1940-B,263-1137-B
魂魄 こんぱく	131-5723-B,281-5256-B,284-1337-B
魅す ばかす	29-5221-B,60-6713-B,79-582-B,100-4440-B
魅了 みりょう	115-2127-B
魅力 みりょく	47-783-B,115-2161-B,132-3209-B
魅力的 みりょくてき	47-1386-B,115-2019-B
魅惑 みわく	22-2646-B,47-811-B,115-2195-B,180-276-B
魔 ま	79-3117-B,83-690-B
魔力 まりょく	47-836-B
魔女 まじょ	334-905-B
魔法 まほう	180-3618-B,281-3617-B,334-1075-B
魔法使い まほうつかい	180-3837-B,281-3288-B,334-930-B,334-3204-B
魔法的 まほうてき	180-3643-B
魔物 まもの	15-4360-B,133-5064-B
魔王 まおう	83-706-B
魔界 まかい	143-3608-B
魔睡 ますい	12-5431-B
魔神 ましん	83-731-B,131-862-B
魔神 まじん	83-756-B,131-887-B
魔窟 まくつ	37-2109-B
魔羅 まら	216-1412-B
魔術 まじゅつ	281-3644-B
魔術師 まじゅつし	61-3138-B,180-3880-B
魔街 まがい	37-2136-B
魔道 まどう	144-1937-B
魔除け まよけ	12-4914-B,302-1581-B
魚 うお	120-535-B
魚 さかな	120-553-B
魚つり うおつり	120-1067-B
魚つり さかなつり	120-1100-B
魚介 ぎょかい	264-3438-B
魚介類 ぎょかいるい	264-3468-B
魚信 ぎょしん	292-1869-B
魚族 ぎょぞく	120-574-B
魚籠 びく	69-4564-B
魚精 ぎょせい	189-4331-B
魚貝類 ぎょかいるい	264-3507-B
魚釣り うおつり	120-1136-B
魚釣り さかなつり	120-1169-B
魚雷 ぎょらい	310-2241-B
魯鈍 ろどん	151-2330-B,293-3380-B
鮃 ひらめ	120-4734-B,121-5351-B,139-2781-B
鮑 あわび	1-64-B
鮓 すし	299-2315-B
鮟鱇 あんこう	13-2841-B,193-492-B
鮠 はえ	190-209-B
鮠 はや	190-229-B
鮨 すし	299-2334-B
鮪 まぐろ	315-5296-B,316-415-B
鮫 さめ	270-5386-B
鮫皮 さめがわ	270-5452-B
鮭 さけ	260-5500-B
鮭 しゃけ	260-5520-B
鮮やか あざやか	36-5031-B,51-1965-B,327-2183-B
鮮明 せんめい	51-1996-B,89-4467-B,327-2214-B
鮮烈 せんれつ	327-2496-B
鮮紅 せんこう	262-4380-B
鮮紅色 せんこうしょく	121-5096-B
鮮鋭 せんえい	51-2024-B,271-146-B
鮮麗 せんれい	36-2957-B,134-1919-B,327-2242-B
鮹 たこ	203-6002-B
鯉 こい	43-46-B
鯑 かずのこ	144-3849-B
鯔 ぼら	195-956-B
鯔のつまり とどのつまり	321-3489-B
鯔背 いなせ	129-1401-B,278-2942-B
鯖 さば	180-2311-B
鯣 するめ	73-3288-B
鯨 くじら	331-4657-B
鯨脂 げいし	32-726-B
鯰 なまず	44-1319-B
鯱 しゃち	135-1705-B
鯱 しゃちほこ	135-1729-B
鰈 かれい	120-4759-B,121-5376-B,280-1876-B,316-580-B
鰉 ちょうざめ	293-3801-B
鰉 ひがい	293-3832-B
鰊 にしん	144-3876-B
鰌 どじょう	177-508-B
鰍 いなだ	38-1598-B
鰐 わに	10-4596-B,70-2946-B
鰐口 わにぐち	10-4619-B
鰐鮫 わにざめ	270-5405-B
鰒 あわび	1-88-B
鰕 えび	177-2248-B,227-2570-B,273-755-B
鰤 はまち	12-1144-B
鰤 ぶり	12-1170-B
鰥夫 やもめ	333-143-B
鰮 いわし	261-3784-B
鰯 いわし	261-3808-B
鰹 かつお	33-1652-B
鰺刺 あじさし	305-98-B
鰻 うなぎ	97-4138-B
鱒 ます	315-1600-B
鱗状 りんじょう	262-2241-B
鱶 ふか	270-5433-B
鱸 すずき	216-4740-B
鳥 とり	30-4407-B,125-3748-B,226-4258-B
鳥人 ちょうじん	23-4802-B
鳥兜 とりかぶと	4-3620-B
鳥威し とりおどし	262-4014-B
鳥小屋 とりごや	23-4678-B,144-298-B
鳥屋 とや	144-332-B
鳥屋 とりや	226-4113-B
鳥渡 ちょいと	96-3831-B,241-936-B,241-4250-B
鳥渡 ちょっと	96-3860-B,241-965-B,241-4280-B
鳥獣 ちょうじゅう	333-1440-B
鳥籠 とりかご	30-4425-B
鳥類学 ちょうるいがく	208-1516-B
鳩 はと	92-2988-B,220-2012-B
鳩小屋 はとごや	92-3030-B
鳩派 はとは	92-3006-B
鳩目 はとめ	112-3848-B
鳴き声 なきごえ	257-969-B
鳴く なく	237-2394-B
鳴らす ならす	27-2738-B,48-5310-B,256-1682-B,281-5633-B
鳴り なり	256-1796-B,281-5661-B
鳴り物 なりもの	114-5475-B,195-4636-B
鳴り響く なりひびく	97-556-B,252-2856-B,254-3727-B
鳴る なる	97-592-B,252-2895-B,256-1709-B,257-999-B,259-2822-B,281-5683-B
鳴咽 おえつ	279-4329-B,331-1283-B
鳴子 なるこ	50-3702-B
鳴戸 なると	180-3052-B
鳴禽 めいきん	281-1780-B
鴉 からす	70-5806-B
鴉片 あへん	206-860-B
鴎 かもめ	264-3546-B
鴕鳥 だちょう	208-3659-B
鴨 かも	295-3408-B
鴨の嘴 かものはし	222-3410-B
鴨居 かもい	176-1558-B
鴫 しぎ	261-2659-B,279-1669-B
鵙 もず	273-440-B
鵜 う	66-1542-B
鵝鳥 がちょう	134-1297-B
鵞鳥 がちょう	134-1325-B
鶉 うずら	237-5179-B
鶏冠 けいかん	69-5181-B
鶏冠 とさか	69-5209-B
鶏鳴 けいめい	74-5670-B
鶫 つぐみ	307-5409-B
