救い主 すくいぬし	251-3484-B
敷居 しきい	307-3305-B
敷居置 しきいち	307-3334-B
敷布 しきふ	271-1317-B
敷布団 しきぶとん	185-576-B
敷板 しきいた	121-4770-B,222-881-B
敷物 しきもの	43-255-B,72-5722-B,259-854-B
敷石 しきいし	214-5364-B
敷衍 ふえん	98-2695-B
敷設 ふせつ	63-876-B
斃死 へいし	95-4733-B
文 ふみ	174-315-B
文 ぶん	267-6443-B
文具 ぶんぐ	288-276-B
文典 ぶんてん	135-1480-B
文化 ぶんか	50-2196-B,72-643-B
文化的 ぶんかてき	72-297-B
文句 もんく	57-4235-B,219-4994-B
文句なし もんくなし	103-1522-B,216-5200-B
文句を付ける もんくをつける	57-3513-B
文句無し もんくなし	103-1562-B,216-5239-B
文字 もじ	46-4050-B
文字 もんじ	46-4076-B
文字通り もじどおり	176-3612-B
文学 ぶんがく	176-3745-B
文学的 ぶんがくてき	176-3675-B
文庫 ぶんこ	174-4080-B
文房具 ぶんぼうぐ	288-306-B
文教 ぶんきょう	72-670-B,97-3841-B
文旦 ぶんたん	224-4424-B
文明 ぶんめい	50-2228-B,72-703-B
文書 ぶんしょ	91-2732-B,174-335-B,200-4478-B,212-546-B,336-2051-B
文書 もんじょ	91-2763-B,174-364-B,200-4505-B,212-578-B,336-2081-B
文案 ぶんあん	92-4371-B
文様 もんよう	81-1467-B,214-4500-B
文民 ぶんみん	50-1846-B
文法 ぶんぽう	135-1510-B
文法的 ぶんぽうてき	135-1567-B
文無し もんなし	37-475-B,216-1991-B
文献 ぶんけん	176-3778-B
文献学 ぶんけんがく	30-176-B,219-2731-B
文理 ぶんり	63-5205-B
文目 あやめ	81-1496-B,89-4804-B,214-4530-B
文盲 もんもう	150-5563-B
文章 ぶんしょう	19-795-B,267-6465-B
文章論 ぶんしょうろん	301-1923-B
文筆 ぶんぴつ	336-2111-B
文筆業 ぶんぴつぎょう	336-2141-B
文節 ぶんせつ	212-1968-B,219-5020-B
文脈 ぶんみゃく	63-5232-B
文芸 ぶんげい	176-3811-B
文苑 ぶねん	14-3280-B
文言 もんごん	334-5568-B
文身 いれずみ	303-818-B
文身 ぶんしん	303-847-B
文通 ぶんつう	66-5356-B
文選工 ぶんせんこう	58-2873-B,316-4388-B
文鎮 ぶんちん	212-439-B
文集 ぶんしゅう	14-3309-B
文題 ぶんだい	294-216-B,305-4910-B
斉える ととのえる	6-550-B,18-2706-B,228-5305-B
斉しい ひとしい	104-781-B,104-3086-B,175-3281-B,274-2561-B
斉一 せいいつ	104-1166-B
斉備 せいび	62-4649-B
斉列 せいれつ	18-4130-B,212-1121-B
斉唱 せいしょう	319-6240-B
斉射 せいしゃ	128-5115-B,327-3709-B
斎く いつく	102-4757-B,335-4125-B
斎む いむ	23-5060-B,273-1748-B
斎戒 さいかい	237-821-B
斎戒もく浴 さいかいもくよく	237-856-B,329-2611-B
斎戒沐浴 さいかいもくよく	237-912-B,329-2662-B
斐然たる ひぜんたる	27-2994-B,121-4956-B
斑 むら	165-1228-B,318-6112-B
斑気 むらき	41-5865-B,193-4030-B,332-1352-B
斑点 はんてん	121-1460-B,283-792-B
料 りょう	46-5070-B,116-4938-B,184-4942-B,241-540-B
料率 りょうりつ	302-4706-B
料理 りょうり	65-2387-B,65-2585-B,71-5226-B
料理人 りょうりにん	48-892-B,65-2126-B
料理屋 りょうりや	252-6644-B
料理店 りょうりてん	252-6683-B
料理法 りょうりほう	243-4707-B
料理道具 りょうりどうぐ	65-2759-B
料簡 りょうけん	76-2092-B,81-1522-B,154-3561-B,161-6399-B,307-258-B,309-3473-B
料金 りょうきん	46-5093-B,115-493-B,116-4958-B
料金所 りょうきんしょ	309-3681-B
料金所 りょうきんじょ	309-3724-B
料金表 りょうきんひょう	302-4738-B
斜め ななめ	202-4559-B
斜めに ななめに	83-2978-B,202-4524-B,276-5739-B
斜交 はすかい	19-4415-B,83-2879-B,202-4384-B
斜交い はすかい	19-4444-B,83-2910-B,202-4414-B
斜格性 しゃかくせい	202-4590-B
斜視 しゃし	286-1283-B,290-4814-B
斜角 しゃかく	29-4782-B
斜辺 しゃへん	149-5332-B
斜陽 しゃよう	76-5444-B
斜面 しゃめん	29-4810-B,277-5018-B
斜頸 しゃけい	336-2503-B
斟酌 しんしゃく	62-2689-B
斡旋 あっせん	186-533-B
斡旋業者 あっせんぎょうしゃ	186-1097-B
斡旋者 あっせんしゃ	162-4974-B,186-1149-B
斤目 きんめ	331-1600-B
斤量 きんりょう	331-1626-B
斥く しりぞく	243-963-B,334-1571-B
斥ける しりぞける	247-3557-B,249-6550-B,251-30-B
斥候 せっこう	214-3460-B,263-4885-B,285-5144-B
斥力 せきりょく	251-134-B
斧 おの	24-544-B,141-3674-B
斧斤 ふきん	24-561-B
斧正 ふせい	66-4342-B,254-6412-B
斧鉞 ふえつ	24-584-B
斧鑿 ふさく	98-2726-B
斬る きる	28-4382-B,195-3667-B
斬新 ざんしん	198-6311-B,201-1736-B,207-6227-B
斬新奇抜 ざんしんきばつ	201-1764-B,317-6787-B
斬首 ざんしゅ	75-5482-B
断 だん	113-3086-B
断じて だんじて	2-1979-B,76-1484-B,225-4615-B
断ち切る たちきる	31-5301-B,86-4536-B,269-2624-B
断ち割る たちわる	284-4802-B
断つ たつ	269-2658-B,298-1997-B
断り ことわり	76-4011-B,76-5476-B,246-2901-B,247-4810-B
断る ことわる	76-4670-B,88-174-B,247-3592-B
断わり ことわり	76-4045-B,76-5508-B,246-2931-B,247-4842-B
断わる ことわる	76-4700-B,88-204-B,247-3621-B
断乎 だんこ	119-4565-B,252-1489-B
断乎たる だんこたる	59-4826-B,119-4589-B
断固 だんこ	119-4625-B,252-1517-B
断固たる だんこたる	59-4868-B,119-4649-B
断定 だんてい	59-4187-B,76-2126-B
断層 だんそう	87-6315-B
断崖 だんがい	51-5166-B,211-3636-B
断断乎 だんだんこ	2-2015-B,119-4685-B,252-1545-B
断断固 だんだんこ	2-2054-B,119-4718-B,252-1582-B
断案 だんあん	59-4220-B,76-2157-B
断然 だんぜん	2-2093-B,77-5748-B,119-5204-B
断熱 だんねつ	161-1730-B
断熱的 だんねつてき	5-6248-B
断片 だんぺん	71-2111-B,125-4297-B
断片的 だんぺんてき	125-4505-B
断種 だんしゅ	43-3794-B,288-5768-B
断続 だんぞく	162-5299-B
断続的 だんぞくてき	162-5334-B
断線 だんせん	86-4611-B,163-867-B
断罪 だんざい	65-1758-B
断腸 だんちょう	142-4345-B
断裁 だんさい	73-3051-B
断言 だんげん	7-6232-B,20-1634-B,76-3203-B
断面 だんめん	70-4508-B
断頭台 だんとうだい	138-3839-B
断食 だんじき	115-3742-B
斯う こう	295-3133-B,306-3883-B,307-6155-B
斯うした こうした	295-3154-B
斯うして こうして	307-6176-B
斯くして かくして	307-6209-B
斯くて かくて	307-6242-B
新 しん	198-5562-B
新しい あたらしい	198-5579-B
新しく あたらしく	13-1916-B,198-5611-B,198-6277-B
新た あらた	126-5655-B,198-5643-B,201-1807-B
新人 しんじん	198-6013-B
新任 しんにん	154-44-B,198-5666-B
新入り しんいり	158-4452-B,198-6044-B,201-2477-B
新入生 しんにゅうせい	126-6051-B
新参 しんざん	198-6078-B,316-5505-B
新参者 しんざんもの	198-6109-B
新古典派 しんこてんは	198-2513-B
新味 しんみ	201-2293-B
新奇 しんき	201-1832-B
新婚旅行 しんこんりょこう	146-5574-B
新婦 しんぷ	36-1290-B
新手 あらて	198-6149-B
新星 しんせい	201-1603-B
新札 しんさつ	25-2793-B
新来者 しんらいしゃ	198-6177-B
新案 しんあん	201-2320-B
新機軸 しんきじく	35-4817-B,159-1792-B,189-2582-B
新生 しんせい	196-4938-B,242-5379-B
新生物 しんせいぶつ	198-2744-B,315-4962-B
新石器時代 しんせっきじだい	198-2591-B
新米 しんまい	201-2509-B,316-5532-B
新聞 しんぶん	199-129-B
新聞紙 しんぶんし	199-161-B,199-199-B
新聞配達 しんぶんはいたつ	198-5692-B
新興 しんこう	82-6373-B,99-5474-B,256-4364-B
新芽 しんめ	37-4566-B,272-401-B,285-3991-B
新規 しんき	201-2350-B,208-179-B
新造 しんぞう	198-5736-B
新進 しんしん	256-4393-B
新郎 しんろう	36-1343-B
新陳代謝 しんちんたいしゃ	188-1402-B,249-2233-B,250-1822-B
新面目 しんめんぼく	268-4526-B
新面目 しんめんもく	268-4569-B
新顔 しんがお	198-6217-B
新館 しんかん	13-4456-B,13-4795-B
新鮮 しんせん	126-5680-B
新鮮さ しんせんさ	126-6094-B
方 ほう	85-2365-B,273-3153-B,330-1075-B
方々 かたがた	107-1340-B
方々 ほうぼう	107-1373-B
方今 ほうこん	201-3161-B,201-3597-B
方位 ほうい	85-2388-B
方位角 ほういかく	24-1035-B
方便 ほうべん	110-1385-B,161-1036-B
方向 ほうこう	68-868-B,85-2417-B,330-1092-B
方向舵 ほうこうだ	258-5418-B
方図 ほうず	101-1306-B
方式 ほうしき	124-3609-B,188-3153-B,301-2800-B
方形 ほうけい	286-67-B
方方 かたがた	107-1406-B
方方 ほうぼう	107-1439-B
方正 ほうせい	245-374-B
方法 ほうほう	182-5378-B,188-3182-B,231-3501-B,303-4087-B,330-1118-B
方法論 ほうほうろん	188-3482-B
方略 ほうりゃく	221-5969-B
方程式 ほうていしき	104-1540-B
方策 ほうさく	221-5999-B,224-2012-B
方術 ほうじゅつ	19-231-B,180-3587-B,188-3211-B
方角 ほうがく	85-2449-B,330-1144-B
方解石 ほうかいせき	40-1203-B
方言 ほうげん	83-3356-B
方途 ほうと	330-1170-B
方針 ほうしん	202-3605-B,221-6026-B,224-2041-B
方面 ほうめん	85-2481-B,90-1447-B
方面隊 ほうめんたい	18-1072-B
於 お	21-1854-B,153-5746-B,205-953-B
於いて おいて	21-1867-B,153-5759-B,205-966-B
於ける おける	21-1892-B,153-5784-B
施し ほどこし	46-5831-B
施し物 ほどこしもの	11-1410-B
施す ほどこす	16-3351-B,60-1442-B,91-5506-B,132-2680-B,217-206-B
施主 せしゅ	29-1227-B,92-370-B
施政 しせい	6-1344-B,134-4003-B,287-5960-B
施物 せもつ	11-1446-B
施策 しさく	185-4254-B,224-2070-B
施肥 せひ	117-3822-B
施設 しせつ	105-3199-B,112-6477-B,160-6655-B
施錠 せじょう	177-3633-B
旁 かたがた	154-2524-B
旁々 かたがた	154-2556-B
旁旁 かたがた	154-2591-B
旁註 ぼうちゅう	133-1825-B
旅 たび	166-5295-B,313-1178-B,314-3821-B
旅する たびする	313-1198-B
旅亭 りょてい	147-5117-B,159-294-B
旅人 たびにん	313-1375-B
旅人 たびびと	313-1407-B
旅人 りょじん	313-1439-B
旅先 たびさき	81-6336-B,133-4429-B
旅券 りょけん	214-72-B
旅券査証 りょけんさしょう	326-4885-B
旅商人 たびあきんど	215-3572-B
旅商人 たびしょうにん	215-3611-B
旅回り たびまわり	310-4650-B
旅団 りょだん	36-2191-B
旅次 りょじ	147-5145-B,159-320-B
旅烏 たびがらす	291-1706-B,328-3497-B
旅程 りょてい	165-5226-B
旅行 りょこう	313-1230-B,314-3839-B
旅行先 りょこうさき	81-6370-B
旅行家 りょこうか	313-1471-B
旅行日程 りょこうにってい	165-5258-B
旅行者 りょこうしゃ	313-1509-B
旅行鞄 りょこうかばん	296-2423-B
旅路 たびじ	166-5316-B
旅館 りょかん	159-343-B
旋光性 せんこうせい	258-1113-B
旋回 せんかい	255-1435-B,258-871-B,316-1466-B
旋廻 せんかい	255-1468-B,258-902-B
旋律 せんりつ	186-6387-B
旋毛曲がり つむじまがり	41-3284-B,96-5916-B,218-4981-B
旋盤 せんばん	171-3275-B
旋転 せんてん	138-5690-B,255-1501-B,258-933-B
旋風 せんぷう	267-3800-B,332-1811-B
旋風 つじかぜ	267-3832-B,332-1843-B
旋風 つむじかぜ	267-3864-B,332-1875-B
族 ぞく	137-3072-B,239-2516-B
族長 ぞくちょう	214-2848-B
旗 はた	120-2928-B
旗亭 きてい	159-369-B,253-0-B
旗印 はたじるし	159-6312-B,277-4669-B
旗幟 きし	25-2923-B,99-3687-B,102-4842-B,120-2946-B
旗手 きしゅ	287-1104-B
旗振り はたふり	160-6143-B,172-2241-B
旗標 はたじるし	159-6346-B,277-4701-B
旗竿 はたざお	120-3063-B
旗艦 きかん	120-3094-B
旗色 はたいろ	275-4513-B
旗頭 はたがしら	34-579-B,172-2273-B
旗鼓 きこ	18-1108-B
既に すでに	11-2640-B
既に すんでに	11-2667-B
既の事に すんでのことに	11-1141-B
既の所で すんでのところで	11-1185-B
既婚 きこん	183-4694-B
既存 きそん	109-4730-B
既定 きてい	77-2740-B
既往症 きおうしょう	12-6135-B
既成 きせい	109-4758-B
既成概念 きせいがいねん	288-5439-B
既知 きち	331-4132-B
既約 きやく	165-553-B
既製 きせい	241-5051-B
既設 きせつ	109-4786-B
既述 きじゅつ	8-652-B
日 ひ	74-5746-B,296-4800-B,297-210-B
日々 にちにち	73-5188-B
日々 ひび	73-5216-B
日ごろ ひごろ	139-493-B,200-3091-B
日にち ひにち	74-4459-B
日に日に ひにひに	73-5238-B
日の入り ひのいり	296-6102-B
日の出 ひので	296-5796-B
日の目 ひのめ	296-5529-B
日中 ひなか	75-319-B
日付 かづけ	74-4486-B,74-4660-B
日付 ひづけ	74-4510-B,74-4686-B
日付け かづけ	74-4534-B,74-4712-B
日付け ひづけ	74-4561-B,74-4741-B
日傘 ひがさ	212-3888-B,297-89-B
日傭取 ひようとり	166-5463-B
日光 にっこう	296-5560-B
日出 にっしゅつ	296-5826-B
日和 ひより	330-5090-B
日和見 ひよりみ	290-4875-B
日和見主義 ひよりみしゅぎ	206-1223-B
日増し ひまし	73-5272-B
日夕 にっせき	199-1994-B
日夜 にちや	11-6385-B
