遅遅 ちち	278-216-B
遠心的 えんしんてき	45-1269-B
遠慮 えんりょ	84-1968-B,251-5187-B,253-2276-B
遠景 えんけい	24-3185-B,218-3486-B,327-1131-B
遠望 えんぼう	327-1159-B
遠沈 えんちん	45-1538-B,265-5332-B
遠洋 えんよう	203-5547-B
遠浅 とおあさ	271-5236-B
遠海 えんかい	203-5575-B
遠見 えんけん	329-4918-B
遠見 とおみ	329-4951-B
遠謀 えんぼう	123-5974-B,124-538-B
遠足 えんそく	145-1505-B,220-422-B,314-3893-B
遠路 えんろ	82-5789-B,166-5436-B
遠近 えんきん	89-3218-B,218-3520-B
遠近 おちこち	89-3249-B,218-3554-B
遠近法 えんきんほう	218-3588-B
遠退く とおのく	243-1169-B
遠隔 えんかく	89-3583-B,249-419-B
遠隔性 えんかくせい	249-448-B
遡上 そじょう	254-1089-B
遡及的 そきゅうてき	254-896-B
遡求 そきゅう	245-1777-B
遡源 さくげん	254-0-B
遣い つかい	27-1675-B,104-4876-B,188-912-B,188-1215-B,191-1572-B,302-3172-B,311-4639-B,322-0-B,322-585-B
遣う つかう	88-2461-B,91-5535-B,267-2625-B
遣す よこす	125-1602-B
遣っつける やっつける	27-2660-B
遣っ付ける やっつける	27-2699-B
遣らかす やらかす	91-1734-B,217-5609-B
遣り出す やりだす	28-1970-B
遣り切れない やりきれない	163-4215-B,317-3360-B
遣り口 やりくち	188-3356-B,330-1391-B
遣り合う やりあう	238-1240-B
遣り抜く やりぬく	3-5563-B
遣り損なう やりそこなう	113-2403-B
遣り方 やりかた	188-3388-B,330-1420-B
遣り直す やりなおす	245-2132-B,248-4697-B,253-3441-B
遣り返す やりかえす	253-6535-B
遣り通す やりとおす	4-2117-B,57-5537-B
遣り遂げる やりとげる	3-5602-B
遣り過ぎ やりすぎ	209-6219-B
遣り過ぎる やりすぎる	209-4633-B
遣る やる	91-1765-B,168-3632-B,217-299-B,267-2649-B,293-1406-B
遣る瀬ない やるせない	48-665-B,86-4647-B,93-3414-B,143-5065-B,190-4721-B
遣る瀬無い やるせない	48-709-B,86-4694-B,93-3455-B,143-5108-B,190-4765-B
遣わす つかわす	88-2489-B,267-2670-B
遥か はるか	89-3613-B,115-0-B,249-486-B
遥かに はるかに	115-23-B
遥か彼方 はるかかなた	115-52-B,115-195-B
遥遠 ようえん	249-512-B
適する てきする	120-1832-B,296-1558-B
適不適 てきふてき	296-1942-B
適任 てきにん	57-1989-B
適例 てきれい	109-1494-B
適切 てきせつ	5-5168-B,16-7080-B,218-4425-B,248-845-B
適合 てきごう	5-2319-B,57-696-B,60-6107-B
適否 てきひ	17-1660-B,120-1953-B,234-1773-B
適宜 てきぎ	296-1982-B
適度 てきど	192-1099-B
適当 てきとう	5-5069-B,120-1980-B,248-877-B,296-2013-B
適応 てきおう	3-3512-B,5-2444-B,60-6277-B
適応性 てきおうせい	5-2178-B
適応障害 てきおうしょうがい	181-4890-B
適性 てきせい	17-1688-B
適時 てきじ	206-1010-B,308-3686-B
適格 てきかく	57-2055-B,99-288-B
適格 てっかく	57-2087-B,99-319-B
適正 てきせい	242-3671-B,296-2330-B
適法 てきほう	173-2550-B
適用性 てきようせい	16-2101-B
適用業務 てきようぎょうむ	16-3005-B
適確 てきかく	4-1165-B,227-5128-B
適確 てっかく	4-1196-B,227-5158-B
遭う あう	186-3857-B
遭遇 そうぐう	100-5315-B
遭遇戦 そうぐうせん	100-5347-B
遭難 そうなん	3-2711-B,86-1226-B,271-4520-B
遭難者 そうなんしゃ	295-5292-B,299-2179-B,325-4034-B
遮る さえぎる	162-935-B,163-476-B,203-2174-B
遮二無二 しゃにむに	81-4337-B,244-451-B
遮光 しゃこう	74-3429-B,270-204-B
遮断 しゃだん	162-1002-B,238-291-B
遮断壁 しゃだんぺき	38-611-B
遮蔽 しゃへい	264-706-B
遮蔽物 しゃへいぶつ	68-3239-B,271-2110-B
遵奉 じゅんぽう	122-5314-B,203-379-B
遵守 じゅんしゅ	202-5910-B
遵行 じゅんこう	202-2007-B
遷延 せんえん	78-3401-B,231-4538-B
遷移 せんい	312-4668-B
選 せん	49-1175-B,57-3005-B,97-3286-B,266-3113-B
選び出す えらびだす	266-2548-B
選び方 えらびかた	49-1195-B
選ぶ えらぶ	49-2150-B,266-2586-B
選り出す えりだす	266-2612-B
選り出す よりだす	266-2647-B
選り分ける えりわける	50-5647-B
選り分ける よりわける	50-5690-B
選り好み えりごのみ	115-3538-B
選り好み よりごのみ	115-3580-B
選り屑 えりくず	313-995-B
選り屑 よりくず	313-1026-B
選り抜く えりぬく	49-2176-B,266-2682-B
選り抜く よりぬく	49-2211-B,266-2717-B
選る よる	49-2246-B,266-2752-B
選任 せんにん	98-3693-B
選出 せんしゅつ	98-3724-B
選別 せんべつ	266-3136-B
選奨 せんしょう	244-3199-B
選定 せんてい	266-3168-B
選手団 せんしゅだん	285-5290-B,303-2543-B
選手権 せんしゅけん	45-6151-B,172-3418-B
選抜 せんばつ	49-1230-B,266-3200-B
選択 せんたく	49-1259-B,266-3232-B
選択子 せんたくし	266-3363-B
選択権 せんたくけん	49-1288-B,206-4782-B
選択項目 せんたくこうもく	49-1326-B
選挙 せんきょ	98-3758-B
選挙区 せんきょく	227-4170-B
選挙権 せんきょけん	295-6025-B
選挙民 せんきょみん	98-3831-B
選書 せんしょ	14-3446-B
選民思想 せんみんしそう	99-719-B
選考 せんこう	264-767-B,266-3264-B
選者 せんじゃ	167-941-B,266-3423-B
選集 せんしゅう	266-3296-B
遺す のこす	29-2578-B,251-5217-B,262-147-B
遺伝 いでん	144-1758-B,158-3064-B
遺伝子 いでんし	130-4122-B,131-625-B
遺伝子型 いでんしがた	131-1735-B
遺伝性 いでんせい	144-1688-B,158-3173-B
遺体 いたい	66-3574-B
遺児 いじ	208-1755-B
遺告 ゆいごう	305-1921-B,333-1889-B
遺命 いめい	333-1916-B
遺失 いしつ	178-4697-B
遺存種 いぞんしゅ	248-1610-B
遺孤 いこ	208-1778-B
遺尿 いにょう	103-4298-B
遺恨 いこん	102-3288-B,137-4562-B
遺愛 いあい	29-2606-B,248-1560-B
遺憾 いかん	246-6298-B,320-5416-B
遺憾無く いかんなく	128-742-B
遺棄 いき	1-957-B,81-1065-B,248-2646-B
遺棄罪 いきざい	1-985-B
遺漏 いろう	205-99-B
遺漏なく いろうなく	57-5577-B
遺物 いぶつ	248-1585-B
遺産 いさん	29-2633-B,158-3524-B
遺産相続 いさんそうぞく	158-3555-B
遺産相続人 いさんそうぞくにん	143-2986-B,143-3136-B,158-3711-B
遺留 いりゅう	29-2660-B
遺脱 いだつ	205-127-B
遺言 ゆいごん	305-1953-B,333-1940-B
遺言執行者 ゆいごんしっこうしゃ	109-1125-B
遺言書 ゆいごんしょ	305-1985-B
遺言状 ゆいごんじょう	305-2026-B,333-1967-B
遺言者 ゆいごんしゃ	305-2070-B
遺言補足書 ゆいごんほそくしょ	53-2767-B
遺財 いざい	29-2690-B,158-3604-B
遺贈 いぞう	29-2717-B,173-2180-B
遺風 いふう	311-2862-B
遺骸 いがい	66-3600-B
遼遠 りょうえん	249-541-B
避く さく	23-5107-B
避ける さける	23-4622-B
避ける よける	23-4650-B
避妊 ひにん	63-6959-B
避止 ひし	2-2973-B
避難所 ひなんじょ	271-2149-B
避難者 ひなんしゃ	106-2363-B
邀え撃つ むかえうつ	12-2342-B,20-474-B
邀撃 ようげき	12-2380-B,20-513-B
還る かえる	254-1922-B
還付 かんぷ	246-2537-B,253-1126-B,254-1948-B
還付金 かんぷきん	246-2563-B
還俗 げんぞく	265-4285-B
還元 かんげん	245-3302-B,252-2409-B
還流 かんりゅう	64-5395-B,246-219-B
邑落 ゆうらく	139-3622-B
那辺 なへん	332-328-B
邦 くに	67-5648-B
邦土 ほうど	67-5669-B,242-1167-B
邪 よこしま	107-2757-B
邪宗 じゃしゅう	144-1844-B
邪悪 じゃあく	107-2781-B
邪慳 じゃけん	71-1830-B
邪推 じゃすい	90-1835-B
邪教 じゃきょう	143-0-B,144-1876-B,210-6353-B
邪曲 じゃきょく	332-5287-B
邪淫 じゃいん	174-2205-B
邪道 じゃどう	144-1908-B
邪険 じゃけん	71-1421-B,320-884-B
邪鬼 じゃき	83-640-B,152-236-B
邪魔 じゃま	145-2473-B,163-7026-B
邪魔っ気 じゃまっけ	201-4839-B
邪魔ッ気 じゃまッけ	201-4879-B
邪魔物 じゃまもの	145-2502-B,203-845-B
邪魔臭い じゃまくさい	315-1322-B
邸 やしき	182-6212-B
邸宅 ていたく	182-6236-B,251-6369-B
郁々たる いくいくたる	18-1492-B,121-5819-B
郁郁たる いくいくたる	18-1535-B,121-5865-B
郊外 こうがい	295-1029-B
郡 ぐん	67-5696-B,90-1478-B
部 ぶ	44-883-B,80-216-B,213-526-B
部位 ぶい	213-541-B
部分 ぶぶん	213-562-B,225-2973-B,265-3980-B
部分け ぶわけ	50-5420-B
部分集合 ぶぶんしゅうごう	294-3811-B
部厚い ぶあつい	38-841-B,306-1803-B
部員 ぶいん	187-593-B,286-2622-B
部外者 ぶがいしゃ	209-2501-B
部室 ぶしつ	52-4909-B
部局 ぶきょく	38-4091-B,80-237-B,213-586-B,265-4007-B
部屋 へや	257-4744-B
部属 ぶぞく	91-769-B
部数 ぶすう	50-34-B
部族 ぶぞく	50-3482-B,148-38-B,314-1181-B
部財 ぶざい	187-619-B
部門 ぶもん	35-1278-B,44-902-B,50-4520-B,80-270-B,118-1480-B,137-3208-B
部隊 ぶたい	97-292-B,98-5791-B,123-3323-B,319-6386-B
部面 ぶめん	219-1617-B
部類 ぶるい	44-930-B,50-4545-B,137-3233-B,142-1367-B
郭公 かっこう	71-4942-B
郭清 かくせい	237-1207-B
郵便 ゆうびん	181-559-B
郵便受け ゆうびんうけ	181-616-B
郵便小包 ゆうびんこづつみ	212-4220-B
郵便屋 ゆうびんや	226-977-B
郵便屋さん ゆうびんやさん	226-1013-B
郵便料金 ゆうびんりょうきん	226-0-B
郵便箱 ゆうびんばこ	181-658-B
郵便葉書 ゆうびんはがき	226-137-B
郵便配達 ゆうびんはいたつ	181-805-B,226-1061-B
郵税 ゆうぜい	226-51-B
郵袋 ゆうたい	181-586-B
郵送 ゆうそう	181-775-B
郷愁 きょうしゅう	146-3442-B,200-3795-B
郷軍 ごうぐん	251-5279-B,325-2118-B
郷邑 きょうゆう	139-3651-B,326-222-B
都 と	188-4100-B,195-3349-B
都 みやこ	41-5133-B
都人 とじん	310-5700-B
都会 とかい	50-1659-B
都合 つごう	60-367-B,64-5730-B
都市 とし	50-1683-B,195-3369-B,310-5626-B,321-3986-B
都市化 としか	321-4073-B
都度 つど	332-45-B
都立 とりつ	188-3816-B,195-3395-B
都邑 とゆう	50-1704-B,310-5647-B,326-255-B
都雅 とが	134-5081-B
都風 みやこふう	188-4123-B
鄙劣 ひれつ	26-1807-B,68-4934-B,185-3278-B
鄙猥 ひわい	155-3883-B,202-5097-B
鄭重 ていちょう	68-1736-B,147-3768-B,224-2773-B
酉の方角 とりのほうがく	331-4389-B
酋長 しゅうちょう	48-3278-B
酌婦 しゃくふ	26-111-B,328-2286-B
酌量 しゃくりょう	62-3214-B,212-4790-B
配 はい	18-3852-B,88-5897-B,90-968-B
配り物 くばりもの	132-936-B,229-852-B
配る くばる	78-6157-B,90-646-B
配付 はいふ	16-4478-B
配信 はいしん	90-994-B
配偶 はいぐう	54-6309-B
配偶子 はいぐうし	129-3368-B
配偶者 はいぐうしゃ	149-2235-B,285-1268-B,333-558-B
配備 はいび	80-1801-B,80-1890-B
配分 はいぶん	10-6050-B,90-1029-B
配分法 はいぶんほう	10-5218-B
配列 はいれつ	88-5922-B
配合 はいごう	18-3877-B,54-6343-B,90-1064-B,141-1623-B,184-3960-B,191-5089-B
配属 はいぞく	21-4454-B
配布 はいふ	90-1099-B
配当 はいとう	90-5530-B,270-5001-B
配当金 はいとうきん	90-5561-B
配意 はいい	62-3256-B,246-3705-B,307-663-B
配慮 はいりょ	59-2085-B,62-3289-B,124-572-B
配流 はいる	25-2414-B,109-4040-B
配管 はいかん	220-5170-B,223-2841-B
配管工 はいかんこう	223-2802-B
配管工業 はいかんこうぎょう	223-2872-B
配線 はいせん	333-5417-B
配置 はいち	88-5956-B
配膳人 はいぜんにん	328-1919-B
配膳室 はいぜんしつ	212-23-B
配送 はいそう	79-324-B
配達 はいたつ	79-355-B,90-1131-B
配達先 はいたつさき	81-6478-B
配電盤 はいでんばん	300-3341-B
酎 ちゅう	260-4448-B
酒 さけ	9-5937-B,260-4469-B
酒保 しゅほ	41-3430-B
酒処 さけどころ	260-4487-B
酒呑 さけのみ	93-5900-B
酒場 さかば	25-3828-B
酒好き さけずき	93-5930-B
酒客 しゅかく	93-5963-B
酒宴 しゅえん	25-3258-B
酒家 しゅか	235-5969-B
酒徒 しゅと	93-5993-B
酒池肉林 しゅちにくりん	75-3647-B
酒色 しゅしょく	89-2543-B
酒造場 しゅぞうじょう	36-598-B,89-4002-B,333-4283-B
