水薬 すいやく	226-3790-B
治り なおり	244-6523-B
治る なおる	142-2081-B
治世 ちせい	95-5020-B,246-4312-B,247-2056-B,259-1903-B
治国 ちこく	134-4033-B
治山 ちさん	8-454-B
治略 ちりゃく	134-3420-B
治療法 ちりょうほう	72-2125-B,248-5391-B,313-4837-B
治癒 ちゆ	72-2161-B,142-2249-B,244-6551-B
治者 ちしゃ	259-2377-B
沼 ぬま	32-4505-B,170-2041-B,224-4702-B,299-4602-B
沼気 しょうき	188-2827-B
沼沢 しょうたく	183-5075-B,299-4621-B
沿う そう	122-4391-B
沿って そって	11-1945-B,39-4055-B
沿岸 えんがん	53-1162-B,272-1499-B
沿海 えんかい	53-1190-B,159-5233-B,272-1527-B
沿路 えんろ	258-3681-B
沿道 えんどう	68-897-B,257-523-B,258-3706-B
沿革 えんかく	82-6585-B,145-4548-B
泉 いずみ	125-3433-B,285-3244-B
泉水 せんすい	125-3458-B
泊まり とまり	13-582-B,288-1068-B,290-2631-B
泊める とめる	177-4038-B
泊り賃 とまりちん	302-4782-B
泊地 はくち	13-614-B,29-3017-B
泌み泌み しみじみ	77-1972-B,142-4752-B,168-387-B
泌尿器科 ひにょうきか	321-5860-B
法人 ほうじん	66-3122-B
法制 ほうせい	173-3175-B
法則 ほうそく	171-5082-B,259-1927-B
法外 ほうがい	109-5296-B,209-1460-B
法学 ほうがく	167-3915-B,171-5108-B
法学者 ほうがくしゃ	167-4074-B
法官 ほうかん	167-795-B
法定 ほうてい	173-2395-B
法度 はっと	25-1593-B,171-5134-B,207-1453-B,232-4119-B
法廷 ほうてい	68-2554-B
法式 ほうしき	256-4931-B,259-1954-B
法律 ほうりつ	171-5157-B
法律上 ほうりつじょう	173-2423-B
法律学 ほうりつがく	167-3951-B
法律家 ほうりつか	167-4112-B,171-5914-B
法悦 ほうえつ	97-2005-B
法曹 ほうそう	171-5949-B
法案審議 ほうあんしんぎ	87-1799-B
法理学 ほうりがく	167-3996-B
法的 ほうてき	173-2519-B
法網 ほうもう	167-4929-B
法蓮草 ほうれんそう	283-5589-B
法螺 ほら	32-3313-B,35-169-B
法螺吹き ほらふき	35-295-B
法螺貝 ほらがい	59-3108-B
法衣 ほうい	325-1270-B
法衣 ほうえ	325-1298-B
法論 ほうろん	167-4038-B
法院 ほういん	68-1247-B
泡 あわ	37-4189-B,122-2670-B,127-4196-B
泡沫 うたかた	103-5674-B,312-4201-B
泡沫 ほうまつ	103-5706-B,312-4233-B
泡沫的 ほうまつてき	103-5738-B,121-1911-B,213-5176-B,312-4265-B
泡立つ あわだつ	37-4209-B,122-2688-B,127-4215-B
泡立てる あわだてる	27-2588-B,332-1565-B
泡立て器 あわだてき	332-1942-B
波 なみ	330-367-B
波乃花 なみのはな	261-0-B
波動 はどう	298-4520-B
波及 はきゅう	111-3114-B,157-6608-B,285-2744-B
波打ち際 なみうちぎわ	27-553-B
波打つ なみうつ	143-321-B,318-4883-B,330-385-B
波止場 はとば	166-1911-B,238-2070-B,331-4794-B
波浪 はろう	298-4545-B
波瀾万丈 はらんばんじょう	290-4177-B
波状 はじょう	318-5008-B,330-588-B
波立つ なみだつ	30-2814-B,256-3246-B,300-332-B
波紋 はもん	256-3278-B
波長 はちょう	330-555-B
波除け なみよけ	35-4953-B
波風 なみかぜ	86-5273-B
泣き なき	331-1223-B
泣きじゃくる なきじゃくる	279-4088-B
泣きつく なきつく	15-4727-B
泣き付く なきつく	15-4762-B
泣き叫ぶ なきさけぶ	264-258-B
泣き味噌 なきみそ	71-3671-B
泣き喚く なきわめく	71-3587-B,264-296-B
泣き声 なきごえ	71-3622-B
泣き虫 なきむし	71-3707-B
泣き言 なきごと	57-4264-B
泣く なく	71-3651-B,148-2242-B,279-4132-B,331-1085-B
泣く泣く なくなく	71-3786-B,303-3023-B,331-1247-B
泥 どろ	195-343-B
泥土 でいど	195-360-B
泥坊 どろぼう	38-4710-B,257-1695-B,305-4475-B,306-2416-B
泥塗れ どろまみれ	195-464-B
泥板岩 でいばんがん	270-2142-B
泥棒 どろぼう	38-4740-B,257-1724-B,305-4503-B,306-2444-B
泥沼 どろぬま	32-4522-B,183-5106-B
泥濘 でいねい	190-1903-B,195-383-B,237-5117-B,278-849-B,278-1742-B
泥濘 ぬかるみ	190-1930-B,195-409-B,237-5148-B,278-878-B,278-1770-B
泥炭 でいたん	215-2490-B
泥状 でいじょう	195-498-B
泥臭い どろくさい	317-7001-B
泥除け どろよけ	117-2439-B,195-569-B
泥鰌 どじょう	177-480-B
注 ちゅう	13-5451-B
注ぎ口 つぎくち	285-1418-B
注ぎ口 つぎぐち	285-1449-B
注ぎ込む そそぎこむ	151-2430-B,152-4142-B,153-736-B,158-1817-B,158-4998-B,160-6221-B
注ぎ込む つぎこむ	151-2467-B,152-4181-B,153-778-B,158-1855-B,158-5036-B,160-6260-B
注ぐ そそぐ	118-4046-B,165-1874-B,214-5968-B
注ぐ つぐ	118-4070-B,165-1902-B,214-5991-B
注入 ちゅうにゅう	158-5170-B,226-4442-B
注射 ちゅうしゃ	158-5208-B
注射器 ちゅうしゃき	301-2530-B
注意 ちゅうい	7-2193-B,44-3139-B,329-1009-B
注意力 ちゅういりょく	22-1006-B
注意深い ちゅういぶかい	42-3734-B
注文 ちゅうもん	207-456-B,251-1567-B
注文取り ちゅうもんとり	260-5236-B
注水 ちゅうすい	92-2910-B,121-4583-B
注油 ちゅうゆ	179-3180-B
注目 ちゅうもく	22-742-B,200-5729-B,202-5982-B
注解 ちゅうかい	13-5478-B,133-1856-B
注記 ちゅうき	13-5514-B
注進 ちゅうしん	158-995-B
注釈 ちゅうしゃく	55-3670-B
泪 なみだ	303-2729-B
泰平 たいへい	215-1175-B,312-1048-B
泰然 たいぜん	40-4528-B
泰然たる たいぜんたる	40-4555-B,119-4778-B
泰然自若 たいぜんじじゃく	152-3470-B
泰然自若たる たいぜんじじゃくたる	152-3527-B
泳ぎ およぎ	300-1730-B
泳ぐ およぐ	300-1592-B
洋々たる ようようたる	34-3320-B,36-6257-B,324-867-B,332-5538-B
洋傘 ようがさ	212-3915-B
洋品 ようひん	138-5923-B
洋服屋 ようふくや	93-4468-B,301-6283-B
洋洋 ようよう	36-6297-B,324-906-B
洋洋たる ようようたる	34-3364-B,36-6325-B,324-933-B,332-5577-B
洋紅 ようこう	42-6045-B,70-633-B
洋芥子 ようがらし	195-5075-B
洋裁師 ようさいし	93-4507-B
洒脱 しゃだつ	317-6839-B
洒落 しゃらく	126-124-B
洒落 しゃれ	166-4345-B,236-2700-B,334-2882-B
洒落た しゃれた	115-2534-B,293-4641-B,303-177-B
洒落る しゃれる	166-4369-B
洒落臭い しゃらくくさい	47-5815-B,152-3241-B,153-4915-B
洒落臭い しゃらくさい	47-5859-B,152-3290-B,153-4961-B
洗い浚い あらいざらい	107-833-B
洗い清める あらいきよめる	51-646-B
洗い濯ぎ あらいすすぎ	51-441-B
洗い物 あらいもの	329-2710-B
洗い直す あらいなおす	244-3823-B
洗う あらう	329-2343-B
洗剤 せんざい	82-4125-B
洗浄 せんじょう	51-484-B,329-2746-B
洗浄器 せんじょうき	301-2569-B,329-2573-B
洗滌 せんじょう	51-518-B,165-1987-B,329-2779-B
洗滌 せんでき	51-552-B,165-2023-B,329-2812-B
洗濯 せんたく	171-4297-B,329-2842-B
洗濯屋 せんたくや	171-4233-B,171-4327-B
洗濯板 せんたくいた	329-2483-B
洗濯石鹸 せんたくせっけん	82-4157-B
洗濯粉 せんたくこ	82-4207-B
洗煉 せんれん	224-2313-B,245-5698-B
洗眼薬 せんがんやく	112-4071-B
洗礼 せんれい	25-3517-B
洗礼式 せんれいしき	25-3547-B
洗練 せんれん	224-2342-B,245-5385-B
洗錬 せんれん	224-2371-B,245-5731-B
洗面台 せんめんだい	329-2442-B,329-2993-B
洗面所 せんめんじょ	26-3918-B,329-2953-B
洗髪 せんぱつ	270-3911-B
洞 ほら	44-3784-B,79-3947-B,137-2463-B
洞察 どうさつ	86-1707-B,159-5711-B
洞察力 どうさつりょく	86-1741-B,159-5741-B
洞穴 どうけつ	44-3802-B,79-3964-B,137-2483-B
洞穴 ほらあな	44-3829-B,79-3990-B,137-2512-B
洞窟 どうくつ	44-3856-B
洞見 どうけん	86-1787-B,159-5783-B
洞門 どうもん	316-357-B
洟 はな	279-1746-B,279-2003-B
津波 つなみ	315-4008-B
洩らす もらす	254-2358-B
洩れる もれる	104-5833-B
洪大 こうだい	136-2550-B,151-4924-B
洪水 こうずい	121-4465-B
洵美 じゅんび	111-1852-B
洸々 こうこう	35-2120-B,323-1479-B
洸洋 こうよう	154-4863-B,319-900-B
洸洸 こうこう	35-2148-B,323-1509-B
活かす いかす	253-3828-B,255-766-B
活きる いきる	109-4189-B,176-4827-B
活力 かつりょく	101-5507-B,327-1635-B
活動 かつどう	4-6076-B,5-315-B
活動写真 かつどうしゃしん	194-5661-B
活動力 かつどうりょく	101-5539-B,327-1669-B
活動的 かつどうてき	4-6425-B
活動者 かつどうしゃ	5-123-B
活字体 かつじたい	316-4351-B
活性 かっせい	4-6463-B
活性剤 かっせいざい	4-6338-B
活性化 かっせいか	4-6260-B
活栓 かっせん	116-302-B,323-3065-B
活気 かっき	101-5580-B,176-5325-B
活況 かっきょう	5-346-B,36-5770-B,234-3127-B
活溌 かっぱつ	4-6492-B,176-5457-B
活版 かっぱん	230-4881-B,316-5035-B
活版印刷 かっぱんいんさつ	230-4912-B
活物寄生 かつぶつきせい	212-3737-B
活用 かつよう	61-2941-B
活発 かっぱつ	4-6521-B
活発化 かっぱつか	4-6299-B
活計 かっけい	176-5028-B
活躍 かつやく	5-380-B
活量 かつりょう	5-411-B
派 は	52-445-B,113-719-B,263-2393-B
派手 はで	120-4440-B,130-2788-B,130-3296-B,178-5540-B,272-5483-B
派生 はせい	80-5686-B
派生的 はせいてき	80-5746-B,265-908-B
派生語 はせいご	80-5785-B
派遣 はけん	88-2343-B,267-2460-B
派遣隊 はけんたい	63-5364-B,82-2465-B
流し ながし	275-2813-B
流しだい ながしだい	275-2837-B,329-3034-B
流し元 ながしもと	275-2873-B
流し台 ながしだい	275-2906-B,329-3075-B
流す ながす	92-5443-B,121-3765-B
流れ ながれ	72-3331-B,291-3849-B
流れる ながれる	291-3875-B
流れ出す ながれだす	172-3714-B
流れ出る ながれでる	172-3750-B
流れ星 ながれぼし	188-2506-B
流れ者 ながれもの	291-1740-B,312-50-B
流れ込む ながれこむ	121-6006-B,226-4406-B,291-3907-B
流亡 りゅうぼう	328-3964-B
流体 りゅうたい	122-843-B
流儀 りゅうぎ	115-2418-B,293-4147-B
流入 りゅうにゅう	157-6995-B
流出 りゅうしゅつ	86-2448-B
流刑 りゅうけい	80-2047-B,109-3931-B
流刑 るけい	80-2084-B,109-3962-B
流動 りゅうどう	121-6042-B
流動体 りゅうどうたい	176-2082-B
流動性 りゅうどうせい	176-2353-B
流動物 りゅうどうぶつ	122-874-B
流動的 りゅうどうてき	122-914-B
流布 るふ	49-6360-B,89-1834-B
流感 りゅうかん	53-5675-B,122-232-B,157-6898-B
流星 りゅうせい	188-2541-B
流暢 りゅうちょう	122-133-B
流木 りゅうぼく	93-4881-B
流水 りゅうすい	291-3945-B
流汗 りゅうかん	299-5547-B
流流 りゅうりゅう	293-4175-B,335-1375-B
流浪 るろう	322-5468-B,328-3999-B
流浪人 るろうにん	328-3531-B
流浪者 るろうしゃ	200-185-B
流産 りゅうざん	1-5628-B,190-2610-B
流用 りゅうよう	90-4325-B,190-2219-B
流石 さすが	5-5013-B,51-3922-B,134-291-B
流砂 りゅうさ	238-5039-B
