伝記 でんき	30-3751-B
但し ただし	39-2304-B,148-1507-B
但し付き ただしつき	60-396-B
但し付き ただしづき	60-439-B
但し書き ただしがき	235-2322-B
但書 ただしがき	235-2361-B
但書き ただしがき	235-2394-B
佇い たたずまい	15-5206-B,27-1779-B,118-2909-B,270-3960-B
佇まい たたずまい	15-5242-B,27-1812-B,118-2941-B,270-3991-B
佇む たたずむ	177-5579-B,290-1796-B
位 くらい	1-5756-B,11-1031-B,19-2947-B,71-261-B,84-2946-B,134-5662-B,199-4073-B,240-3121-B,241-774-B,275-4141-B,307-4358-B
位する くらいする	240-3142-B
位を下す くらいをくだす	78-1482-B
位付け くらいづけ	240-3490-B,319-6290-B
位取り くらいどり	50-4377-B,84-2822-B,134-5684-B,237-5577-B,319-6323-B
位取る くらいどる	262-1768-B
位地 いち	177-3139-B,221-2598-B,225-3722-B,275-4167-B
位相幾何学 いそうきかがく	310-1635-B
位相語 いそうご	212-6131-B
位置 いち	177-3164-B,221-2620-B,225-3747-B,275-4193-B
位置づける いちづける	177-2725-B,225-3772-B,240-3175-B
位置付け いちつけ	221-2916-B
位置付け いちづけ	221-2954-B
位置付ける いちずける	177-2766-B,225-3815-B,240-3214-B
位置付ける いちづける	177-2807-B,225-3858-B,240-3253-B
位置合わせ いちあわせ	10-1354-B,167-5102-B
位置揃え いちそろえ	167-5150-B
低い ひくい	148-4572-B,179-1801-B,272-1753-B
低く ひくく	179-2259-B
低まる ひくまる	179-2039-B
低める ひくめる	179-2070-B
低下 ていか	76-4316-B,82-4245-B,114-1099-B,179-2287-B
低体温 ていたいおん	149-5365-B
低俗 ていぞく	328-124-B
低劣 ていれつ	53-949-B,157-3760-B,328-548-B
低吟 ていぎん	148-2926-B
低唱 ていしょう	148-2952-B
低回 ていかい	176-691-B
低地 ていち	80-4091-B,221-3799-B
低声 ていせい	332-2097-B
低廉 ていれん	47-3481-B,157-1423-B
低木 ていぼく	273-1452-B,273-1508-B
低次元 ていじげん	53-722-B,179-1871-B,328-153-B
低気圧 ていきあつ	73-4034-B
低水準 ていすいじゅん	294-4888-B
低減 ていげん	76-6492-B,80-3569-B,114-1123-B,191-3755-B,245-2856-B
低温殺菌 ていおんさっきん	214-852-B
低級 ていきゅう	328-188-B
低能 ていのう	151-2168-B
低能者 ていのうしゃ	151-2098-B,193-6193-B
低落 ていらく	76-4343-B,114-1150-B,278-1532-B
低血圧症 ていけつあつしょう	149-5277-B
低語 ていご	332-2238-B
低調 ていちょう	94-5279-B,153-6127-B,276-4281-B,277-5706-B,278-1155-B,318-4367-B
低音 ていおん	26-3251-B
住 じゅう	95-3825-B,177-92-B
住い すまい	5-3987-B,95-3850-B,147-5459-B,251-5842-B
住する じゅうする	158-2583-B,176-4698-B,251-5665-B
住まい すまい	5-4014-B,95-3878-B,147-5484-B,251-5871-B
住まう すまう	158-2619-B,176-4731-B,251-5700-B
住みか すみか	79-3757-B,95-3909-B,139-62-B,147-5512-B,251-5903-B
住み処 すみか	79-3783-B,95-3940-B,139-92-B,147-5540-B,251-5935-B
住み家 すみか	79-3809-B,95-3971-B,139-122-B,147-5568-B,251-5967-B
住み所 すみどころ	5-4044-B,91-4842-B,251-5999-B
住む すむ	1-3339-B,95-3692-B,158-2649-B,251-5729-B
住人 じゅうにん	95-3739-B,158-2673-B,251-6436-B
住処 すみか	79-3835-B,95-4002-B,139-152-B,147-5596-B,251-6037-B
住宅 じゅうたく	148-847-B,251-6470-B
住宅ローン じゅうたくローン	194-485-B
住家 じゅうか	79-3858-B,95-4030-B,139-179-B,147-5621-B,251-6066-B
住家 すみか	79-3884-B,95-4061-B,139-209-B,147-5649-B,251-6098-B
住居 じゅうきょ	5-4080-B,95-4089-B,147-5674-B,251-6127-B
住居 すまい	5-4113-B,95-4123-B,147-5705-B,251-6162-B
住所 じゅうしょ	91-4879-B,251-6191-B
住民 じゅうみん	225-1194-B
住環境 じゅうかんきょう	139-236-B
佐 さ	143-3994-B
佐様 さよう	155-4385-B,295-3109-B,336-4027-B
佑 う	143-4009-B
佑 ゆう	143-4024-B
佑助 ゆうじょ	20-3851-B
体 たい	124-3108-B,202-1879-B,202-2614-B,241-5740-B,293-3919-B,294-4682-B
体 てい	9-3864-B,15-5281-B,59-6472-B,124-3126-B,287-4402-B
体を交わす たいをかわす	91-3140-B,213-79-B
体付き からだつき	118-2976-B
体位 たいい	219-6285-B,226-2760-B
体制 たいせい	207-160-B,207-3601-B,292-4345-B,301-2696-B
体勢 たいせい	226-2787-B,286-5946-B
体形 たいけい	118-3011-B,124-3144-B
体得 たいとく	58-3671-B,110-2192-B,169-1427-B,184-2584-B,242-162-B
体格 たいかく	62-7216-B,219-6313-B
体様 たいよう	275-4219-B
体現 たいげん	99-3851-B,152-2991-B,218-2972-B
体積 たいせき	41-4244-B,327-4071-B
体系 たいけい	207-3636-B,301-2725-B
体系化 たいけいか	207-3671-B,301-3373-B
体系的 たいけいてき	301-3040-B
体育家 たいいくか	21-2174-B
体良く ていよく	76-801-B,134-5205-B,222-3561-B,224-2805-B,301-5358-B
体裁 ていさい	15-5305-B,76-636-B,124-3171-B,124-4981-B,272-3905-B,293-3938-B
体裁良く ていさいよく	76-835-B,252-4158-B,303-257-B
体貌 たいぼう	15-5338-B
体質改善 たいしつかいぜん	246-746-B
体躯 たいく	62-7251-B,219-6344-B,288-656-B
体面 たいめん	84-2970-B,146-6086-B,229-4097-B,251-490-B
何 なに	331-4911-B
何 なん	331-4929-B
何か なにか	281-156-B
何か無しに なんかなしに	43-4394-B
何ごと なにごと	107-698-B,281-185-B
何しろ なにしろ	15-812-B,15-1472-B
何だか なんだか	280-5952-B,281-823-B
何でも なんでも	107-734-B
何でもない なんでもない	96-4339-B,141-644-B
何でも無い なんでもない	96-4381-B,141-690-B
何と なんと	148-1110-B,331-4947-B,331-5065-B
何とか なんとか	15-844-B,280-5985-B
何とぞ なにとぞ	168-5020-B
何とも なんとも	239-1210-B
何なり なんなり	15-505-B,15-1404-B,331-5093-B
何にも なににも	10-1981-B
何にも なんにも	200-5240-B
何の変哲もない なんのへんてつもない	56-1047-B,207-2113-B,221-3824-B
何の変哲も無い なんのへんてつもない	56-1114-B,207-2177-B,221-3885-B
何の様 どのよう	148-1133-B
何の気なし なんのきなし	43-4440-B,319-4513-B
何の気無し なんのきなし	43-4486-B,319-4564-B
何の道 どのみち	15-876-B,15-1504-B
何びと なんびと	10-2010-B,106-5893-B
何も なにも	200-5273-B
何やら なにやら	281-220-B
何より なにより	29-3360-B,194-1092-B
何ら なにら	15-534-B,331-4971-B,331-5127-B
何ら なんら	331-4995-B
何れ いずれ	15-908-B,15-1536-B,332-70-B,332-545-B,332-3136-B
何れ どれ	201-3044-B,331-3207-B
何れにしても いずれにしても	15-934-B
何れも いずれも	10-2039-B,15-557-B,34-1165-B,98-1767-B,106-4787-B
何れも どれも	10-2068-B,15-586-B,34-1195-B,98-1799-B,106-4818-B
何事 なにごと	107-770-B,281-255-B
何事もなく なにごともなく	215-1567-B,318-6174-B
何人 なんびと	10-2094-B,106-5927-B
何人 なんぴと	15-1279-B
何人も なんびとも	10-2120-B,106-5958-B
何人も なんぴとも	10-2152-B,106-5995-B
何共 なんとも	239-1241-B
何処 どこ	332-95-B
何処 どこいら	332-117-B
何処か どこか	15-1908-B,281-1043-B
何処でも どこでも	15-1939-B
何処とも無く どこともなく	9-3582-B,280-6018-B
何処と無く どことなく	280-6066-B,323-473-B
何処までも どこまでも	15-1976-B,218-1039-B,292-5954-B,306-4747-B
何処も どこも	107-1022-B
何処ら辺 どこらあたり	332-145-B
何処ら辺り どこらあたり	332-185-B
何処迄も どこまでも	15-2019-B,218-1086-B,292-5999-B,306-4792-B
何分 なにぶん	15-1562-B,222-5882-B
何分の なにぶんの	280-5563-B
何卒 なにとぞ	168-5052-B
何度も なんども	204-3384-B
何故 なぜ	148-1162-B,332-4842-B
何故 なにゆえ	148-1182-B,332-4862-B
何故か なぜか	280-6108-B
何故かと言うと なぜかというと	27-4180-B
何故なら なぜなら	27-4234-B
何故ならば なぜならば	27-4270-B,123-2561-B
何方 いずかた	332-228-B
何方 どちら	332-3159-B
何方でも どなたでも	15-1308-B
何方も どちらも	10-2184-B,15-612-B,34-1222-B,98-1828-B,106-4846-B
何方付かず どっちつかず	317-4195-B
何方道 どっちみち	15-1591-B
何時 いつ	332-0-B
何時か いつか	280-5868-B,281-351-B
何時ぞや いつぞや	205-1480-B
何時だって いつだって	11-6000-B
何時でも いつでも	11-6041-B
何時でも なんどきでも	11-6076-B
何時にない いつにない	320-7353-B
何時に無い いつにない	321-0-B
何時のなしに いつのなしに	197-767-B
何時までも いつまでも	105-5362-B,124-606-B,155-5057-B
何時も いつも	322-2288-B
何時もの いつもの	139-410-B,322-1682-B
何時何時までも いついつまでも	155-5104-B
何様 なにさま	112-2254-B,148-1208-B,155-4411-B,315-2023-B
何気ない なにげない	43-3880-B
何気無い なにげない	43-3918-B
何気無く なにげなく	40-4921-B,153-6564-B,159-1457-B,319-4778-B
何等 なんら	331-5019-B
何等か なんらか	15-641-B,280-5596-B
何者 なにもの	332-3182-B
何者か なにものか	280-6279-B
何遍も なんべんも	249-5809-B
佗 わび	279-4356-B
佗しい わびしい	55-1607-B,93-2967-B,177-5884-B,190-4172-B,269-5905-B
佗び わび	279-4378-B
余 よ	209-3716-B
余す あます	261-5749-B,282-3410-B
余す所無く あますところなく	128-529-B,306-4834-B
余っ程 よっぽど	136-2881-B,194-5991-B,239-1269-B,325-420-B
余り あまり	24-5562-B,108-3062-B,128-224-B,208-3689-B,248-4033-B,248-6399-B,252-43-B,252-6116-B,298-5592-B
余り あんまり	24-5589-B,108-3088-B,128-252-B,208-3714-B,248-4062-B,248-6426-B,252-70-B,252-6140-B,298-5619-B
余りに あまりに	108-3879-B,309-5511-B
余りにも あまりにも	108-3348-B,309-5540-B
余り物 あまりもの	248-6456-B,298-5649-B
余る あまる	248-3763-B
余儀ない よぎない	157-601-B,317-2388-B
余儀なく よぎなく	317-2756-B
余儀無い よぎない	157-640-B,317-2428-B
余儀無く よぎなく	157-862-B,197-4180-B,317-2796-B
余光 よこう	8-994-B
余分 よぶん	108-3117-B,111-5825-B,298-5685-B
余剰 よじょう	24-5619-B,245-3751-B,252-100-B,298-5712-B
余剰人員 よじょうじんいん	245-3334-B
余勢 よせい	152-3705-B,157-215-B,192-4787-B
余地 よち	183-2655-B,221-2642-B,257-4537-B,263-3541-B
余弊 よへい	146-706-B
余念無く よねんなく	96-1376-B,162-269-B
余憤 よふん	239-5193-B
余所乍ら よそながら	43-4532-B,156-1991-B
余所余所しい よそよそしい	53-5324-B,89-3370-B,124-3791-B
余所者 よそもの	209-2322-B,291-1632-B
余所聞き よそぎき	251-523-B,252-3727-B
余技 よぎ	23-4856-B,145-5649-B
余暇 よか	173-3666-B
余業 よぎょう	23-4882-B
余業無く よぎょうなく	157-901-B,197-4220-B,317-2836-B
余水吐 よすいはき	283-5278-B
余水路 よすいろ	283-5315-B
余波 よは	8-1163-B,62-0-B,268-2543-B
余白 よはく	183-2678-B
余程 よっぽど	136-2914-B,194-6021-B,239-1300-B,325-450-B
余程 よほど	136-2944-B,195-0-B,239-1328-B,325-477-B
余聞 よぶん	134-2144-B,259-3087-B
余興 よきょう	102-6605-B
余裕 よゆう	11-61-B,58-3095-B,183-2704-B,257-4558-B,257-5381-B,263-3563-B,298-5742-B,308-2935-B
余計 よけい	2-5079-B,108-3143-B,297-1556-B,298-5769-B,320-2371-B
余談 よだん	84-3636-B
余輩 よはい	330-1540-B
余録 よろく	259-3264-B
余震 よしん	8-1305-B
余韻 よいん	254-3809-B
佚 いつ	27-2899-B,144-5857-B,191-1815-B,215-847-B
佚 てつ	27-2922-B,144-5875-B,191-1836-B,215-866-B
佚楽 いつらく	222-6023-B
作り つくり	181-4041-B
作り上げる つくりあげる	57-4983-B,63-333-B,112-4430-B
作り事 つくりごと	112-4628-B,118-201-B,174-5204-B
作り出す つくりだす	231-5071-B
作り名 つくりな	10-469-B,235-4630-B
作り手 つくりて	37-5894-B,69-3217-B,181-4160-B
作り換える つくりかえる	5-1760-B,65-809-B,212-5909-B,244-4197-B
作り方 つくりかた	63-660-B,243-4672-B,335-1301-B
作り替える つくりかえる	5-1803-B,65-854-B,212-5953-B,244-4246-B,248-4533-B
作り物 つくりもの	70-3371-B,76-6048-B,114-505-B
作り直す つくりなおす	242-5745-B,248-4577-B
作り立てる つくりたてる	6-5499-B,76-5849-B
作り言 つくりごと	112-4668-B,118-237-B,174-5236-B
作り話 つくりばなし	112-4140-B,112-4708-B,118-273-B,196-1877-B
作り返す つくりかえす	248-4618-B
作る つくる	37-5668-B,53-4780-B,58-2003-B,63-380-B,69-2367-B,71-5484-B,105-2542-B,112-4477-B,181-3525-B,183-693-B,207-4315-B,336-1024-B
作付 さくつけ	222-2017-B
作付 さくづけ	222-2048-B
作付け さくつけ	222-2079-B
作付け さくづけ	222-2113-B
作劇術 さくげきじゅつ	93-395-B
作動 さどう	128-1881-B,205-5532-B,259-3984-B
作品 さくひん	206-5004-B,217-394-B,231-5897-B,334-5718-B
作場 さくば	115-1046-B,335-1669-B
作家 さっか	19-1980-B,22-6103-B,201-1965-B,336-1266-B
作意 さくい	59-1061-B,81-1337-B,150-141-B,161-6010-B,194-2067-B
作成 さくせい	125-5324-B,181-3549-B,336-1808-B
作成者 さくせいしゃ	22-6129-B
作戦 さくせん	291-2658-B
作戦上 さくせんじょう	206-0-B,291-2198-B
作文 さくぶん	58-2428-B,336-1838-B
作曲 さっきょく	58-2462-B
作曲家 さっきょくか	58-2154-B
作曲者 さっきょくしゃ	58-2194-B
作業 さぎょう	205-5561-B,334-5745-B
作業員 さぎょういん	335-650-B
作業場 さぎょうば	335-1697-B
作業領域 さぎょうりょういき	335-1950-B
作歌 さっか	223-5301-B
作況 さっきょう	237-5613-B
作法 さほう	106-908-B,234-1613-B
作為 さくい	4-5530-B,19-1578-B
作為的 さくいてき	161-6748-B
作用 さよう	4-5995-B,97-4528-B,128-1521-B,205-5593-B
作男 さくおとこ	304-3311-B
作者 さくしゃ	22-6167-B,22-6505-B
作者不知 さくしゃしらず	14-1487-B
作者未詳 さくしゃみしょう	14-1534-B
作製 さくせい	183-724-B
作詞家 さくしか	180-1956-B,281-1844-B
作詞者 さくししゃ	180-1990-B,281-1880-B
作詩 さくし	324-6198-B
作詩法 さくしほう	324-6231-B
佝僂 くる	149-37-B,255-4241-B
佝僂 せむし	149-63-B,255-4265-B
佝僂病 くるびょう	255-4292-B
佞 ねい	121-0-B,160-455-B
佞人 ねいじん	120-5446-B
佞奸 ねいかん	218-4784-B,313-1924-B
佞姦 ねいかん	218-4815-B,313-1958-B
佞弁 ねいべん	6-5790-B,40-481-B,121-22-B
佞臣 ねいしん	311-6028-B
佩 はい	330-3859-B
佩く はく	330-3877-B
佩びる おびる	330-3898-B
佩用 はいよう	330-4521-B
佳 か	27-2945-B,108-1873-B,134-180-B
佳肴 かこう	78-4523-B
佳良 かりょう	116-2389-B,134-195-B,295-1704-B
佳賞 かしょう	227-1175-B
佳麗 かれい	27-3571-B
併さる あわさる	319-6564-B
併し しかし	39-2327-B,148-1534-B
併し乍ら しかしながら	148-1561-B,198-5169-B
併せて あわせて	11-5275-B,54-3310-B
併せる あわせる	319-6595-B
併も しかも	128-4384-B,193-5774-B,198-5216-B
併合 へいごう	2-2616-B,13-4564-B,187-5167-B
併呑 へいどん	13-4597-B,187-5273-B
併存 へいそん	53-3600-B
併存 へいぞん	53-3634-B
併有 へいゆう	54-5773-B
併発 へいはつ	53-5017-B,59-5659-B
併置 へいち	167-5681-B
併行 へいこう	212-2299-B
併設 へいせつ	105-2791-B,176-1138-B
佶 きち	66-3820-B,142-2552-B
佶 きつ	66-3841-B,142-2573-B
佻 ちょう	127-2520-B
使い つかい	27-1614-B,104-4792-B,188-753-B,188-1090-B,191-1395-B,302-3147-B,311-4573-B,321-6183-B,322-25-B
使い処 つかいどころ	322-48-B
使い切る つかいきる	109-2175-B
使い尽くす つかいつくす	285-5562-B
使い慣らす つかいならす	311-4064-B
使い所 つかいどころ	322-83-B
使い手 つかいて	63-2076-B,100-1865-B,231-4691-B,283-3885-B,322-1378-B
使い捨 つかいすて	88-4608-B,307-5290-B
使い捨て つかいすて	88-4647-B,307-5328-B
使い料 つかいりょう	322-118-B
使い方 つかいかた	313-4315-B
使い果たす つかいはたす	285-5608-B
使い残し つかいのこし	248-4094-B,248-6492-B
使い残り つかいのこり	248-4138-B,249-0-B
使い熟す つかいこなす	139-5111-B,182-696-B
使い物 つかいもの	36-799-B,132-261-B,229-72-B
使い込み つかいこみ	99-3445-B
使い込む つかいこむ	99-3340-B
使い道 つかいみち	322-153-B
使い頃 つかいごろ	140-959-B
使う つかう	63-1976-B,100-829-B,139-5152-B,182-4132-B,283-3742-B,322-185-B,328-4550-B
使わす つかわす	88-2188-B,267-2367-B
使丁 してい	166-219-B,188-1119-B,268-5250-B
使命 しめい	104-4818-B,188-780-B,191-1422-B
使命者 しめいしゃ	188-1148-B
使嗾 しそう	160-5816-B
使役 しえき	102-4926-B,322-1555-B
使徒 しと	15-3587-B,86-2687-B
使用 しよう	16-2536-B,100-2141-B,322-208-B,322-3620-B
使用人 しようにん	100-1218-B,268-5277-B
使用可能 しようかのう	23-3395-B
使用料 しようりょう	145-3296-B,249-2719-B
使用権 しようけん	322-231-B
使用法 しようほう	322-263-B
使用禁止 しようきんし	317-2225-B
使用者 しようしゃ	63-2110-B
使用許可 しようきょか	174-4168-B,174-4462-B
使節 しせつ	78-3509-B,99-3171-B,103-5117-B,191-1449-B
使節団 しせつだん	78-3772-B,191-1476-B
使者 ししゃ	99-5909-B,103-5142-B,188-1186-B
使臣 ししん	103-5167-B
侃 かん	167-4359-B,255-5892-B,292-3201-B
侃々諤々 かんかんがくがく	209-2578-B
侃々諤諤 かんかんがくがく	209-2628-B
侃侃諤諤 かんかんがくがく	209-2678-B
侈 し	17-2325-B,112-1110-B,180-1139-B,230-1157-B,267-261-B
例 ためし	43-2212-B,73-291-B,107-5372-B,110-2225-B,151-736-B,160-4615-B,212-2330-B,227-3775-B,321-6208-B
例 れい	43-2233-B,73-314-B,107-5396-B,110-2252-B,151-765-B,160-4640-B,212-2355-B,227-3801-B,321-6230-B
例え たとえ	11-4988-B,107-5417-B,150-4000-B,306-5688-B
例えば たとえば	95-5438-B
例える たとえる	56-4989-B,151-561-B,175-3497-B
例に無く れいになく	321-350-B
例外 れいがい	108-2303-B
例外的 れいがいてき	108-2635-B
例年 れいねん	14-706-B
例示 れいじ	109-1383-B
例規 れいき	288-888-B
例解 れいかい	107-5444-B,151-791-B
例言 れいげん	124-1005-B,228-526-B
例証 れいしょう	107-5474-B,109-1418-B,151-826-B
例話 れいわ	151-864-B
例題 れいだい	107-5507-B
侍 さむらい	329-1869-B
侍する じする	268-5806-B
侍る はべる	268-5834-B
侍僧 じそう	4-3566-B
侍史 じし	252-4205-B
侍女 じじょ	181-15-B
侍従 じじゅう	45-5823-B
侍従官 じじゅうかん	45-5857-B
侍祭 じさい	4-3593-B
侍者 じしゃ	21-6686-B,323-1350-B
侍臣 じしん	21-6715-B,68-2371-B
侍衛 じえい	32-4406-B
侏 しゅ	5-573-B
侏儒 しゅじゅ	95-3536-B
侑 ゆう	132-294-B
侘しい わびしい	55-1644-B,93-2999-B,178-0-B,190-4207-B,269-5937-B
侘びる わびる	335-2922-B
供 きょう	204-1040-B,229-108-B,294-2271-B,297-6062-B
供 とも	3-4456-B,22-0-B,56-3210-B,253-5518-B
供え そなえ	204-1545-B
供える そなえる	77-365-B,204-1062-B,260-626-B
供え物 そなえもの	204-1573-B
供与 きょうよ	132-2840-B,235-1665-B
供人 ともびと	56-3233-B
供出 きょうしゅつ	78-6370-B
供勢 ともぜい	253-5539-B
供回り ともまわり	253-5569-B,296-2572-B
供奉 ぐぶ	3-4482-B
供宴 きょうえん	25-3018-B,85-383-B
