妖気 ようき	131-5751-B,318-5071-B,331-2308-B
妖精 ようせい	99-228-B,113-5169-B,285-3910-B
妖艶 ようえん	115-1886-B,327-4804-B
妖術 ようじゅつ	281-3518-B,334-970-B
妖術者 ようじゅつしゃ	180-3760-B,281-3245-B,281-3331-B
妖魔 ようま	15-4198-B,131-5517-B
妙 みょう	291-745-B,321-183-B
妙味 みょうみ	47-158-B,111-1791-B,232-1023-B
妙手 みょうしゅ	110-3136-B,184-1767-B,326-4396-B
妙齢 みょうれい	337-16-B
妥協 だきょう	58-4965-B
妥当 だとう	16-6892-B,233-5018-B,256-84-B,323-1589-B
妥当性 だとうせい	234-1642-B,323-1688-B,324-5100-B
妥結 だけつ	9-1350-B
妨げ さまたげ	145-2068-B,203-2350-B
妨げる さまたげる	90-2077-B,229-6123-B
妨害 ぼうがい	90-2417-B,145-2100-B,162-3512-B,203-2384-B
妨害工作 ぼうがいこうさく	260-81-B
妨害物 ぼうがいぶつ	203-691-B
妨害行為 ぼうがいこうい	162-3547-B,203-2418-B
妨業 ぼうぎょう	260-130-B
妨業員 ぼうぎょういん	260-250-B
妨碍 ぼうがい	90-2451-B,145-2132-B,162-3597-B,203-2467-B
妬ましい ねたましい	103-4628-B,166-993-B
妬み ねたみ	103-5217-B,166-1112-B
妬心 としん	166-1140-B
妻室 さいしつ	333-477-B
妻帯 さいたい	183-4567-B,183-4972-B
妾 めかけ	59-5548-B,191-2690-B
姉さん ねえさん	132-1900-B,328-2212-B
始まり はじまり	28-2489-B,207-5135-B
始まる はじまる	28-1831-B
始め はじめ	28-2524-B,207-5167-B,287-3467-B
始めは はじめは	208-449-B
始める はじめる	28-1862-B,287-3492-B
始原 しげん	207-5193-B,287-3523-B
始末 しまつ	269-1548-B
