神経過敏 しんけいかびん	210-1266-B
神聖 しんせい	84-3435-B,146-1152-B,260-561-B
神託 しんたく	206-5377-B
神話 しんわ	173-2969-B,196-1913-B
神話学 しんわがく	196-1937-B
神速 しんそく	300-1560-B
神降ろし かみおろし	225-5591-B,264-4324-B
神髄 しんずい	66-1315-B,105-1907-B,168-1361-B,196-1599-B,239-1037-B,281-5043-B
祟り たたり	72-4138-B
祟る たたる	72-4163-B
票 ひょう	25-1366-B,169-4609-B,273-5178-B,308-288-B
票決 ひょうけつ	25-1389-B,327-5414-B
祭 まつり	116-4044-B,117-4241-B
祭り まつり	116-4066-B,117-4266-B
祭る まつる	102-4785-B
祭事 さいじ	117-4294-B,256-5039-B
祭儀 さいぎ	256-5065-B
祭典 さいてん	117-4322-B
祭司 さいし	230-1798-B
祭壇 さいだん	11-3041-B
祭政一致 さいせいいっち	305-5378-B
祭殿 さいでん	261-1989-B,273-830-B
祭祀 さいし	117-4353-B,256-5091-B
祷り いのり	227-2859-B,297-5735-B
禀告 りんこく	200-6026-B,201-675-B
禀性 ひんせい	46-4247-B,197-1864-B
禀性 りんせい	46-4279-B,197-1893-B
禀請 りんせい	218-6571-B
禀請書 りんせいしょ	218-6602-B
禁 きん	232-4150-B
禁じる きんじる	232-4045-B
禁ずる きんずる	298-2022-B
禁中 きんちゅう	68-1275-B
禁令 きんれい	25-1616-B,99-2712-B,232-4175-B
禁制 きんせい	25-1642-B,99-2742-B,232-4209-B
禁則 きんそく	232-4243-B
禁固 きんこ	153-2522-B
禁圧 きんあつ	298-2446-B
禁忌 きんき	301-4162-B
禁慾 きんよく	2-3099-B,266-4039-B
禁断 きんだん	162-1990-B,232-4277-B
禁欲 きんよく	1-4329-B,2-3132-B
禁欲主義 きんよくしゅぎ	19-3694-B,290-817-B
禁欲主義者 きんよくしゅぎしゃ	19-3607-B,290-737-B
禁欲的 きんよくてき	2-2853-B
禁止 きんし	25-1668-B,232-4311-B
禁物 きんもつ	301-4187-B
禁獄 きんごく	153-2554-B
禁足 きんそく	60-4686-B
禁輸 きんゆ	99-2772-B
禁酒 きんしゅ	2-3165-B,232-4342-B,304-792-B
禁錮 きんこ	60-4720-B,153-2589-B
禍害 かがい	107-2733-B,141-503-B,190-3081-B
福利 ふくり	331-3060-B
福引 ふくびき	93-1825-B,178-5138-B,309-3904-B
福引き ふくびき	93-1855-B,178-5168-B,309-3934-B
福徳 ふくとく	125-1055-B
禿 はげ	25-467-B
禿げ上がる はげあがる	243-992-B
禿上がる はげあがる	243-1033-B
禿頭病 とくとうびょう	11-2113-B
禿鷹 はげたか	328-981-B
秀でる ひいでる	108-1249-B,298-5496-B
秀才 しゅうさい	231-4951-B
秀抜 しゅうばつ	209-3073-B,297-832-B
秀逸 しゅういつ	108-1739-B
秀麗 しゅうれい	27-3093-B,134-5016-B
私 わたくし	196-649-B
私 わたし	196-675-B
