監禁 かんきん	60-4652-B
目茶苦茶 めちゃくちゃ	2-4321-B,108-3748-B,320-4181-B
目薬 めぐすり	112-4110-B
目見え めみえ	163-2350-B
目視 もくし	112-3929-B,265-6210-B
目覚しい めざましい	36-4504-B,248-4867-B,284-3085-B,292-1990-B
目覚ましい めざましい	36-4545-B,248-4909-B,284-3125-B,292-2030-B
目覚め めざめ	328-2519-B
目論み もくろみ	133-4483-B,161-6466-B
目論む もくろむ	103-5083-B,222-177-B,263-977-B
目論見 もくろみ	133-4513-B,161-6501-B
目途 めど	133-4543-B,209-630-B
目途 もくと	133-4564-B,209-654-B
目録 もくろく	43-5269-B,43-5366-B,176-2862-B
目隠し めかくし	184-67-B
目顔 めがお	178-2350-B,273-5546-B
目高 めだか	168-3746-B
目鼻 めはな	124-3744-B,270-4398-B
盲 めくら	31-4878-B,150-4272-B,150-4501-B
盲 めしい	31-4904-B,150-4298-B,150-4527-B
盲信 もうしん	69-4240-B
盲想 ぼうそう	79-747-B
盲想 もうそう	79-778-B
盲滅法 めくらめっぽう	244-731-B
盲目 もうもく	31-4930-B
盲腸 もうちょう	16-1509-B,40-59-B
盲腸炎 もうちょうえん	16-1047-B
盲腸炎手術 もうちょうえんしゅじゅつ	16-956-B
盲進 もうしん	229-4379-B
直 じき	48-461-B,66-4752-B,85-1720-B,126-1238-B,146-5321-B,167-4542-B,274-4816-B,281-2327-B
直 ちょく	48-487-B,66-4777-B,85-1740-B,126-1261-B,146-5342-B,167-4560-B,274-4840-B,281-2345-B
直 なお	56-676-B,190-3059-B,207-2933-B,290-5209-B
直 ひた	96-1747-B,107-3480-B,151-4662-B
直々 じきじき	85-1763-B,218-2119-B
直き なおき	290-5231-B,321-2324-B
直ぐ すぐ	96-3427-B,146-4686-B,151-4687-B,281-2366-B,321-2351-B
直ぐに すぐに	151-4715-B,160-5192-B
直ぐ側 すぐそば	151-4749-B,197-2820-B
直ぐ様 すぐさま	151-4786-B,233-3184-B
直し なおし	66-4534-B,249-4290-B
直す なおす	66-4078-B,72-2263-B,120-2385-B,142-2129-B,249-4316-B
直ちに ただちに	85-2791-B,151-4823-B
直に じかに	85-2825-B,142-1620-B
直に じきに	85-2853-B,151-4860-B,241-4223-B
直らない なおらない	165-1254-B
直る なおる	142-2153-B
直上 ちょくじょう	1-6246-B
直中 ただなか	188-5905-B
直交 ちょっこう	208-2098-B
直交性 ちょっこうせい	208-2134-B
直伝 じきでん	158-4630-B
直喩 ちょくゆ	274-3065-B
直径 ちょっけい	83-3879-B
直情 ちょくじょう	126-1287-B,153-5251-B
直情径行 ちょくじょうけいこう	138-3681-B
直感 ちょっかん	148-5969-B,159-5813-B,160-6392-B,163-7169-B
直感的 ちょっかんてき	164-108-B
直截 ちょくさい	76-2884-B,85-2881-B,126-208-B,233-2624-B,290-5434-B
直截 ちょくせつ	76-2922-B,85-2917-B,126-239-B,233-2656-B,290-5475-B
直披 じきひ	218-2150-B
直披 ちょくひ	218-2178-B
直押しに ひたおしに	288-1567-B
直接 ちょくせつ	85-1792-B,120-431-B,151-4362-B,218-2209-B
直接的 ちょくせつてき	85-1824-B
直直 じきじき	85-1865-B,218-2243-B
直立 ちょくりつ	104-4047-B,217-5345-B,321-2375-B,325-255-B
直経 ちょっけい	83-3913-B
直腸 ちょくちょう	245-442-B
直行 ちょっこう	307-4790-B
直覚 ちょっかく	159-5846-B,163-7204-B
直覚的に ちょっかくてきに	164-196-B
直観 ちょっかん	148-6000-B,159-5879-B,160-6426-B,164-0-B
直観的 ちょっかんてき	164-152-B
直面 ちょくめん	60-6543-B
相 あい	117-894-B,195-6331-B,309-2120-B
相 そう	19-4823-B,67-3415-B,219-1598-B
相い性 あいしょう	7-6025-B,57-528-B
相の手 あいのて	3-3743-B,162-4573-B,273-3545-B
相まって あいまって	309-2142-B
相乗 そうじょう	195-1931-B,301-1438-B
相乗作用 そうじょうさよう	301-1473-B
相乗効果 そうじょうこうか	301-1544-B
相乗積 そうじょうせき	231-5801-B
相互 そうご	195-6240-B,243-5214-B
相互作用 そうごさよう	162-526-B
相互依存 そうごいぞん	162-1905-B
相互参照 そうごさんしょう	70-4452-B
相互通信 そうごつうしん	162-1616-B
相互関係 そうごかんけい	163-114-B
相伝 そうでん	158-3330-B
相伴う あいともなう	3-4304-B
相似 そうじ	12-5804-B,251-3959-B,274-2789-B
相似点 そうじてん	251-3990-B,274-2819-B
相俟って あいまって	309-2182-B
相克 そうこく	256-5557-B
相入れない あいいれない	154-5407-B
相剋 そうこく	256-5587-B
相反 あいはん	64-1379-B,85-5322-B
相反 そうはん	64-1410-B,85-5357-B
相反性 そうはんせい	243-5244-B
相反的 そうはんてき	243-5286-B,243-5401-B
相図 あいず	273-5127-B,273-5572-B
相場 そうば	105-4398-B,283-2277-B
相場師 そうばし	283-2497-B
相好 そうごう	15-6013-B
相姦 そうかん	6-6624-B
相婿 あいむこ	37-2203-B
相子 あいこ	93-1141-B,308-1241-B
相容れない あいいれない	154-5457-B
相対 あいたい	60-6582-B,112-6648-B,305-2618-B
相対 そうたい	247-6164-B
相対主義 そうたいしゅぎ	247-6526-B
相対性 そうたいせい	247-6574-B
相対的 そうたいてき	247-6195-B
相当 そうとう	113-4347-B,233-5248-B,309-3003-B
相役 あいやく	54-2175-B
相応 そうおう	120-1923-B,296-1908-B
相応しい ふさわしい	16-7000-B
相性 あいしょう	7-6062-B,57-570-B
相手 あいて	5-4927-B,56-4548-B,213-2860-B
相手取る あいてどる	45-5673-B
相手役 あいてやく	213-2887-B
相承 そうしょう	158-3364-B
相持ち あいもち	270-5317-B
相方 あいかた	56-3891-B,213-2923-B
相棒 あいぼう	3-4930-B,211-2297-B,213-2953-B
相次いで あいついで	295-2354-B
相称 そうしょう	300-5561-B
相続 そうぞく	158-3401-B,295-2101-B
相続人 そうぞくにん	143-2866-B,143-3037-B,158-3635-B
相続財産 そうぞくざいさん	144-2066-B,158-3435-B
相聟 あいむこ	37-2240-B
相補 そうほ	57-4626-B
相補性 そうほせい	57-4820-B
相補性原理 そうほせいげんり	57-4728-B
相談 そうだん	63-1836-B,87-1847-B
相談役 そうだんやく	7-2592-B
相談所 そうだんじょ	38-4027-B
相識 そうしき	4-4006-B
相違 そうい	84-561-B,87-117-B,323-4857-B
相関 そうかん	66-4889-B,163-38-B
相関的 そうかんてき	66-4975-B
相関関係 そうかんかんけい	66-4923-B
盾 たて	37-4468-B,105-701-B,229-5510-B,271-2749-B
盾突く たてつく	78-667-B,206-2385-B,252-1034-B
省く はぶく	72-4688-B,97-1363-B,99-420-B,205-335-B
省みる かえりみる	245-6203-B
省察 せいさつ	62-2917-B,245-6729-B
省略 しょうりゃく	1-2227-B,2-410-B,205-0-B
省略時 しょうりゃくじ	77-2797-B
省略記号 しょうりゃくきごう	99-957-B
省筆 しょうひつ	1-2268-B
省筆 せいひつ	1-2306-B
眇眇たる びょうびょうたる	34-3557-B
眉 まゆ	112-3769-B
眉唾物 まゆつばもの	67-4452-B,114-637-B
眉宇 びう	37-2405-B
眉目 びもく	112-5575-B
看做す みなす	246-3618-B
看守 かんしゅ	166-26-B
看守者 かんしゅしゃ	166-55-B
看客 かんかく	22-4197-B
看板 かんばん	15-6046-B,22-2370-B,30-2383-B,118-3495-B,224-2096-B,226-333-B,273-5151-B,274-131-B
看板倒れ かんばんだおれ	208-2826-B
看点 かんてん	325-5165-B
看病人 かんびょうにん	201-5643-B
看破 かんぱ	115-5694-B,216-852-B
看破る みやぶる	115-5720-B,216-291-B
看護 かんご	202-378-B
看護兵 かんごへい	186-1269-B
看護卒 かんごそつ	186-1303-B
看護士 かんごし	201-5683-B
看護師 かんごし	201-5714-B
看貫 かんかん	331-1414-B
看過 かんか	61-4440-B
県 けん	228-1208-B
県下 けんか	228-1232-B
県営 けんえい	228-1144-B
真 しん	131-3423-B,241-6016-B
真 ま	131-3183-B,167-4581-B,237-252-B,256-274-B,315-1841-B
真 まこと	131-3448-B,242-0-B
真っ先 まっさき	28-2975-B
真っ向 まっこう	37-2426-B,127-3571-B
真っ平 まっぴら	148-4883-B,275-425-B
真っ暗 まっくら	272-2668-B
真っ最中 まっさいちゅう	189-767-B
真っ直ぐ まっすぐ	85-1894-B,104-4078-B,126-270-B,146-4709-B,321-2408-B
真っ裸 まっぱだか	201-4430-B
真っ逆様 まっさかさま	142-1648-B
真に まことに	2-2126-B,5-1079-B,155-4649-B,242-1006-B,315-2200-B
真に受ける まにうける	28-5034-B
真の しんの	131-3201-B,241-5186-B,315-1856-B,322-3771-B
真ん中 まんなか	188-5934-B
真一文字 まいちもんじ	290-5259-B
真中 まなか	188-5966-B
真中 まんなか	188-5992-B
真似 まね	28-3862-B,151-3358-B,189-4610-B,229-4904-B
真似る まねる	151-2831-B,189-4456-B
真似事 まねごと	181-3922-B,270-2620-B
真個 しんこ	241-5210-B,315-1880-B
真偽 しんぎ	22-6027-B
真冬 まふゆ	189-1238-B
真剣 しんけん	96-1961-B
真向い まむかい	113-0-B
真向かい まむかい	113-32-B
真向き まむき	96-1192-B
真四角 ましかく	286-163-B
真夏 まなつ	189-940-B
真夜中 まよなか	189-677-B
真実 さな	242-24-B,315-3559-B
真実 さね	242-48-B,315-3581-B
真実 しんじつ	242-72-B,315-3603-B
真実性 しんじつせい	22-6059-B,69-3717-B,118-856-B,315-3631-B
真平 まっぴら	148-4915-B,275-460-B
真影 しんえい	225-3304-B
真心 まこころ	83-1615-B,275-1039-B
真心 まごころ	83-1646-B,275-1071-B
真性 しんせい	131-3228-B
真摯 しんし	96-1995-B,275-1103-B
真昼 まひる	188-5595-B
真暗 まくら	272-2710-B
真最中 まっさいちゅう	189-810-B
真桑瓜 まくわうり	187-0-B
真正 しんせい	22-5791-B,131-3258-B,237-267-B,315-1904-B
真率 しんそつ	126-1325-B,146-5366-B,275-1132-B
真珠 しんじゅ	215-2330-B
真珠層 しんじゅそう	194-1795-B
真珠母 しんじゅぼ	194-1842-B
真珠質 しんじゅしつ	194-1886-B
真理 しんり	315-3668-B
真田 さなだ	35-351-B,221-5339-B
真田紐 さなだひも	35-376-B
真田編み さなだあみ	221-5364-B
真田虫 さなだむし	302-4025-B
真直 ますぐ	85-1929-B,104-4112-B,126-304-B,146-4744-B,321-2444-B
真直 まっすぐ	85-1955-B,104-4137-B,126-329-B,146-4770-B,321-2471-B
真相 しんそう	315-3693-B
真砂 まさご	261-2068-B
真空 しんくう	100-3074-B,146-1400-B,322-5114-B
真筆 しんぴつ	23-1744-B
真箇 しんこ	241-5234-B,315-1931-B
真紅 しんく	70-663-B,262-4332-B
真菌 しんきん	128-2603-B
真虫 まむし	5-2922-B,19-4499-B,326-3200-B
真裸 まっぱだか	201-4465-B
真言 しんごん	183-212-B
真近 まぢか	197-3114-B,197-3364-B,235-3185-B,281-2387-B
真逆様に まさかさまに	142-1691-B
真鍮 しんちゅう	35-1626-B
真面 まとも	85-1984-B,146-5396-B,321-2748-B
真面目 しんめんもく	96-2026-B,205-2119-B,268-4677-B
真面目 まじめ	84-5120-B,146-4799-B,268-4104-B
真髄 しんずい	66-1261-B,105-1847-B,168-1332-B,196-1542-B,239-1002-B,281-5016-B
眠い ねむい	94-2466-B
眠け ねむけ	94-2376-B,277-1540-B
眠たい ねむたい	277-1708-B
眠り ねむり	277-1393-B
眠り草 ねむりぐさ	189-4651-B
眠り薬 ねむりぐすり	12-5524-B,196-3916-B
眠る ねむる	277-1418-B
眠気 ねむけ	94-2406-B,277-1570-B
眩い まばゆい	75-819-B,132-3595-B
眩い まぶい	73-2288-B,229-5749-B
眩しい まぶしい	75-850-B,239-3512-B
眩惑 げんわく	75-884-B
眩暈 めまい	91-1266-B,132-134-B
眷族 けんぞく	114-4479-B,148-334-B
眸子 ぼうし	112-3514-B,236-4818-B
眺め ながめ	209-681-B,234-2291-B,262-5583-B,325-4858-B
眺める ながめる	325-4882-B
眺望 ちょうぼう	209-708-B,234-2319-B,325-4912-B
眼 まなこ	112-3537-B,112-3622-B
眼 め	112-3557-B,112-3646-B
眼下 がんか	29-32-B
眼中 がんちゅう	62-2953-B
眼光 がんこう	86-1855-B
眼力 がんりき	159-5912-B
眼力 がんりょく	159-5942-B
眼医者 めいしゃ	203-6056-B
眼球 がんきゅう	112-3664-B
眼目 がんもく	66-1288-B,105-1877-B,132-2212-B,224-193-B
眼瞼 がんけん	112-3900-B
眼科 がんか	206-248-B
眼科医 がんかい	206-207-B
眼精疲労 がんせいひろう	112-4024-B
眼識 がんしき	87-1160-B,159-5975-B
眼鏡 がんきょう	132-3688-B
眼鏡 めがね	132-3721-B
眼鏡屋 めがねや	206-3941-B
眼鏡猿 めがねざる	302-4998-B
着々 ちゃくちゃく	288-1607-B
着く つく	241-3140-B
着く はく	330-4141-B
着ける つける	5-2766-B,7-6548-B,16-761-B,115-3114-B,133-2640-B,166-3004-B,270-631-B,289-978-B
着る きる	330-4162-B
着付け きつけ	93-4313-B,120-2142-B
着地 ちゃくち	170-3864-B
着実 ちゃくじつ	280-3726-B,281-5470-B,288-2089-B,315-3095-B
着席 ちゃくせき	264-5625-B
着床 ちゃくしょう	152-4217-B
着想 ちゃくそう	59-1313-B,150-507-B
着意 ちゃくい	44-3199-B,59-1349-B,150-537-B
着手 ちゃくしゅ	99-2915-B,171-4147-B
着服 ちゃくふく	99-3597-B
着物 きもの	168-4122-B
着用 ちゃくよう	330-4551-B
着目 ちゃくもく	22-777-B
着眼 ちゃくがん	22-812-B,200-5965-B,202-6050-B,325-5197-B
着着 ちゃくちゃく	288-1644-B
着色 ちゃくしょく	54-5190-B
着装 ちゃくそう	120-2584-B
着陸 ちゃくりく	170-3894-B
睡眠 すいみん	277-1443-B
睡眠発作 すいみんほっさ	196-3868-B
睡魔 すいま	94-2436-B,277-1600-B
督促 とくそく	79-1322-B,152-6702-B,321-4306-B
督励 とくれい	100-6483-B,321-4333-B
睦まじい むつまじい	141-996-B
睨み にらみ	132-3435-B
睿智 えいち	161-3862-B,161-4483-B,333-5631-B
瞑想 めいそう	63-3739-B,186-2682-B
瞞着 まんちゃく	47-4109-B,76-1155-B,126-2002-B,314-2428-B
瞬き またたき	333-4417-B
瞬き まばたき	333-4444-B
瞬く またたく	316-3071-B,330-725-B,333-4471-B
瞬く まばたく	31-4962-B,333-4498-B
瞬刻 しゅんこく	160-4920-B,192-4346-B
瞬時 しゅんじ	160-4953-B,192-4378-B
瞬間 しゅんかん	160-4983-B,192-4407-B,265-337-B
瞭然 りょうぜん	203-3456-B
瞳子 どうし	236-4843-B
瞳孔 どうこう	236-4868-B,236-4986-B
矇昧 もうまい	150-4553-B
矛 ほこ	139-1861-B
矛盾 むじゅん	64-1106-B,155-292-B
矛盾語法 むじゅんごほう	210-4113-B
矜持 きょうじ	84-3405-B,230-1413-B
矢 や	18-6338-B
矢っ張 やっぱ	2-2159-B,11-2889-B,289-3132-B
矢っ張り やっぱり	2-2192-B,11-2916-B,289-3160-B
矢先 やさき	18-6354-B,37-3035-B,302-4680-B
矢場 やば	37-2007-B
矢庭に やにわに	160-5224-B,295-4685-B
矢張り やはり	2-2231-B,11-2949-B,289-3194-B
矢弾 やだま	12-3296-B,191-1167-B,232-4913-B
矢玉 やだま	12-3326-B,191-1194-B,232-4943-B
矢鱈に やたらに	31-4771-B,240-2919-B,244-415-B
知っている しっている	169-3549-B
知らす しらす	116-5662-B,318-2070-B
知らず知らず しらずしらず	317-6322-B,321-1036-B
知らせ しらせ	200-5997-B
知らせる しらせる	7-2381-B,201-885-B
知らない しらない	291-976-B,320-1213-B
知らん顔 しらんかお	156-615-B
知り合い しりあい	4-4041-B
知る しる	116-5689-B,169-3588-B,318-2103-B
知る辺 しるべ	4-4082-B,127-480-B
知ろし召す しろしめす	247-2081-B
知人 ちじん	4-4117-B,127-509-B
知力 ちりょく	333-5657-B
知合い しりあい	4-4149-B
知名 ちめい	331-4159-B
知名度 ちめいど	225-738-B
知己 ちき	4-4187-B
知得 ちとく	58-4022-B,169-4155-B
知性 ちせい	161-4515-B
知性的 ちせいてき	161-4078-B
知恵 ちえ	7-2222-B,161-4547-B,260-2946-B,267-4591-B,333-5686-B,334-832-B
知情意 ちじょうい	161-3891-B
知慮 ちりょ	260-2971-B,333-5709-B
知略 ちりゃく	158-2259-B,252-3263-B
知的 ちてき	161-4119-B
知能 ちのう	161-4576-B
知能的 ちのうてき	161-4843-B
知行 ちぎょう	118-1246-B
知見 ちけん	83-2720-B,169-4184-B,206-588-B
知覚 ちかく	216-4590-B
知謀 ちぼう	158-2291-B,252-3301-B
知識 ちしき	158-1032-B,169-4213-B
知遇 ちぐう	116-2273-B
矩則 くそく	259-2035-B,287-846-B
矩形 くけい	245-111-B
矩象 くしょう	237-4958-B
短い みじかい	272-1812-B
短かい みじかい	272-1840-B
短兵急 たんぺいきゅう	152-3657-B
短刀 たんとう	73-5050-B,85-3717-B
短剣 たんけん	73-5079-B
短慮 たんりょ	153-4536-B
短所 たんしょ	79-1973-B
短歌 たんか	302-3628-B
短筒 たんづつ	220-5546-B,255-1863-B
短絡的 たんらくてき	196-5036-B
短編小説 たんぺんしょうせつ	201-2110-B
短縮 たんしゅく	1-2341-B,245-3194-B
短縮形 たんしゅくけい	1-2379-B
短艇 たんてい	32-3408-B
短銃 たんじゅう	220-5575-B,255-1894-B
矮人 わいじん	95-3620-B
矮小 わいしょう	84-6049-B
矯めつ眇めつ ためつすがめつ	262-2952-B,264-2513-B
矯める ためる	66-4105-B,72-2287-B,114-2990-B,290-5360-B
矯め直す ためなおす	66-4135-B,72-2314-B
矯正 きょうせい	66-4564-B,248-5461-B
矯激 きょうげき	96-5992-B,112-1896-B,239-4095-B
矯飾 きょうしょく	7-4774-B,229-4929-B
石 いし	290-1288-B
石けん せっけん	279-3478-B
石ころ いしころ	215-2572-B,257-2631-B,290-1307-B
石化 せっか	125-1759-B
石南花 しゃくなげ	255-3197-B
石塊 いしくれ	215-2604-B,257-2661-B,290-1338-B
石塊 いしころ	215-2633-B,257-2688-B,290-1366-B
石塊 せっかい	215-2662-B,257-2715-B,290-1394-B
石墨 せきぼく	135-4327-B
石工 いしく	184-317-B,290-1492-B
石工 せっこう	184-342-B,290-1522-B
石弓 いしゆみ	43-5539-B,70-4791-B,277-3737-B
石摺り いしずり	258-4902-B
石斑魚 うぐい	49-3752-B
石棺 せっかん	261-3705-B
石楠花 しゃくなげ	255-3238-B
石榴 ざくろ	224-4376-B
石油 せきゆ	168-1535-B,204-3840-B,219-428-B
石火 せっか	120-4175-B
石灰 いしばい	175-3913-B,238-4365-B
石灰 せっかい	175-3940-B,238-4397-B
石灰岩 せっかいがん	175-4060-B
石灰水 せっかいすい	175-4142-B
石灰石 せっかいせき	175-4101-B
石炭 せきたん	53-481-B
石炭酸 せきたんさん	219-1739-B
石版 せきばん	176-4009-B
石版画 せきばんが	176-3902-B
石突き いしづき	272-28-B
石筍 せきじゅん	286-4531-B
