条件づけ じょうけんづけ	60-648-B
桟橋 さんきょう	36-1429-B,166-1852-B,220-1276-B,331-4735-B
桟橋 さんばし	36-1461-B,166-1883-B,220-1306-B,331-4766-B
桟道 さんどう	66-1001-B
桶 おけ	37-4308-B
桿菌 かんきん	24-1860-B
梁木 りょうぼく	27-1296-B
梃 てこ	174-1549-B
梃入れ てこいれ	298-1505-B
梃子 てこ	174-1568-B
梅 うめ	223-2655-B
梅毒 ばいどく	301-2447-B
梓に上せる しにのぼせる	236-760-B
梓匠 ししょう	39-5026-B,334-5180-B
梔子 くちなし	129-5034-B
梗塞 こうそく	31-5335-B,157-2967-B,290-2823-B,308-2371-B
梗概 こうがい	104-396-B,208-6452-B,296-3660-B
梟 ふくろう	210-3546-B
梟猛 きょうもう	118-1864-B
梟雄 きょうゆう	256-1979-B
梢子 しょうし	32-3608-B
梨の実 なしのみ	215-2284-B
梭子魚 かます	26-609-B
梭魚 かます	26-641-B
梯子 ていし	170-875-B
梯子 はしご	170-901-B
梯子段 はしごだん	286-4051-B,288-4266-B
梯形 ていけい	313-754-B
梱包 こんぽう	210-5528-B
梵刹 ぼんさつ	304-1478-B
梵刹 ぼんせつ	304-1507-B
梶木 かじき	183-4379-B,300-3822-B
梶木鮪 かじきまぐろ	183-4405-B
棄てる すてる	1-457-B,252-278-B
棄世 きせい	75-2914-B
棄却 ききゃく	88-516-B,247-4877-B,249-3398-B,328-2317-B
棄捐 きえん	1-839-B,91-5819-B
棄損 きそん	74-183-B,158-5797-B,329-3389-B
棍棒 こんぼう	52-4781-B,71-5068-B,289-900-B
棒 ぼう	224-1597-B,257-2916-B,289-928-B
棒に振る ぼうにふる	260-798-B,329-3414-B
棒切れ ぼうきれ	289-947-B
棒引き ぼうびき	41-1727-B
棒杙 ぼうぐい	220-2300-B,286-4240-B
棒杭 ぼうぐい	220-2327-B,286-4268-B
棒立ち ぼうだち	242-2057-B
棘 いら	283-5756-B,284-4254-B,306-4200-B
棘 おどろ	306-2011-B
棘 とげ	283-5775-B,284-4276-B,306-4219-B
棘皮動物 きょくひどうぶつ	97-355-B
棚 たな	239-3138-B,271-1376-B
棚ぼた たなぼた	133-5674-B,333-3504-B
棚卸 たなおろし	164-2400-B
棚卸し たなおろし	164-2435-B
棚引く たなびく	176-603-B,311-3952-B
棚牡丹 たなぼた	133-5707-B,333-3538-B
棟 とう	38-261-B,221-2802-B,265-3896-B
棟梁 とうりょう	172-2334-B
森 もり	123-6122-B
森厳 しんげん	280-2234-B
森林 しんりん	124-0-B
森林再生 しんりんさいせい	246-251-B
森林学 しんりんがく	124-400-B
森林破壊 しんりんはかい	78-236-B
森閑 しんかん	274-1005-B
森閑とした しんかんとした	238-5762-B,289-2993-B
棲む すむ	176-4806-B
棲息 せいそく	177-202-B
棹 さお	224-1615-B,257-2933-B
棺 かん	43-3074-B,53-3923-B
棺桶 かんおけ	43-3094-B,53-3943-B
椀ぎ取る もぎとる	220-18-B
椅子 いす	45-4627-B
椋鳥 むくどり	38-2603-B
植えつける うえつける	222-1366-B
植える うえる	137-3482-B,222-1406-B
植え付け うえつけ	222-2228-B
植え付ける うえつける	222-1434-B
植え込み うえこみ	222-1810-B,273-1540-B
植え込む うえこむ	222-1474-B
植付 うえつけ	222-2265-B
植付ける うえつける	222-1508-B
植木屋 うえきや	129-4966-B
植木鉢 うえきばち	122-95-B
植林 しょくりん	8-415-B
植民 しょくみん	54-4403-B
植民地 しょくみんち	54-4549-B
植民地主義 しょくみんちしゅぎ	54-4232-B
植民地化 しょくみんちか	54-4441-B
植物 しょくぶつ	222-1545-B,324-1839-B
植物学 しょくぶつがく	34-884-B
植物誌 しょくぶつし	121-4919-B
植生 しょくせい	324-1875-B
植込み うえこみ	222-1849-B,273-1578-B
検体 けんたい	261-976-B,283-597-B
検出 けんしゅつ	82-3281-B
検出器 けんしゅつき	82-3724-B
検分 けんぶん	107-4492-B,160-2278-B,299-1111-B
検品 けんぴん	160-2311-B
検問 けんもん	107-4526-B,160-2344-B
検問所 けんもんしょ	47-5430-B
検問所 けんもんじょ	47-5472-B
検定 けんてい	17-412-B,160-2377-B
検察 けんさつ	107-4560-B,234-2162-B
検尿 けんにょう	321-5418-B
検屍 けんし	23-2821-B,159-2435-B
検挙 けんきょ	18-5007-B,258-3296-B
検束 けんそく	18-5036-B,73-57-B
検査 けんさ	107-4594-B
検査員 けんさいん	160-2829-B
検査官 けんさかん	22-4651-B,107-5007-B,160-2867-B
検査官 けんしょうかん	22-4687-B,107-5044-B,160-2905-B
検査役 けんさやく	160-2949-B
検校 けんぎょう	66-4435-B
検案 けんあん	23-2848-B
検死 けんし	23-2878-B,159-2462-B
検波 けんぱ	82-3223-B
検流計 けんりゅうけい	129-2202-B
検疫 けんえき	238-258-B
検眼 けんがん	206-4944-B
検眼医 けんがんい	206-4904-B
検眼鏡 けんがんきょう	206-281-B
検索 けんさく	178-2803-B,245-4904-B
検視 けんし	23-2905-B,159-2489-B
検討 けんとう	62-2767-B,107-4625-B,164-3524-B,264-2448-B,293-1210-B
検証 けんしょう	160-2410-B,324-5141-B
検認 けんにん	231-2191-B
検鏡 けんきょう	188-5273-B
検閲 けんえつ	45-279-B,107-4659-B,160-2446-B
検閲官 けんえつかん	45-212-B,160-2987-B
椴 とどまつ	119-2628-B
椿 つばき	40-5571-B
楊 やなぎ	277-3417-B,333-2369-B
楊子 ようじ	310-425-B
楊枝 ようじ	310-454-B
楔 くさび	331-541-B
楕円 だえん	99-860-B
楚々 そそ	134-4904-B,197-3856-B
楚楚 そそ	134-4929-B,197-3877-B
業 わざ	4-5660-B,77-1306-B,217-863-B,335-255-B
業わい なりわい	40-3758-B,176-4992-B,203-4705-B
業務 ぎょうむ	39-1079-B,335-273-B
業因 ごういん	168-84-B
業報 ごうほう	115-4949-B
業界 ぎょうかい	39-1110-B,156-6919-B
業突張り ごうつくばり	190-4132-B,293-105-B
業績 ぎょうせき	4-2357-B,64-2205-B,217-888-B,335-300-B
業績悪化 ぎょうせきあっか	92-3897-B
業者 ぎょうしゃ	187-4457-B,311-1985-B
業腹 ごうはら	251-4492-B,284-2178-B
楯 たて	37-4447-B,105-677-B,229-5462-B,271-2729-B
楯つく たてつく	206-2254-B
楯突く たてつく	78-574-B,206-2286-B,252-1002-B
極 きょく	71-5322-B,112-1725-B,112-2844-B,143-2230-B,196-2038-B,337-1459-B
極 ごく	239-1428-B,325-591-B
極まりない きわまりない	34-3226-B,112-2400-B
極まり悪い きまりわるい	26-2086-B
極まり無い きわまりない	34-3273-B,112-2447-B
極まる きわまる	304-5659-B
極み きわみ	4-3422-B,112-2870-B,143-2253-B
極めて きわめて	108-304-B,112-2494-B
極める きわめる	184-1909-B
極り切った きまりきった	56-1381-B,203-3363-B
極上 ごくじょう	120-363-B
極印 ごくいん	139-2930-B,264-3832-B
極大 きょくだい	185-1576-B
極小 きょくしょう	189-6177-B
極度 きょくど	72-5270-B,112-1749-B,185-1609-B,322-3742-B
極微 きょくび	157-4646-B,188-5208-B
極性 きょくせい	224-1394-B
極悪 ごくあく	143-2619-B
極悪人 ごくあくにん	263-4743-B
極楽 ごくらく	212-1433-B
極楽浄土 ごくらくじょうど	212-1464-B
極点 きょくてん	51-5469-B
極端 きょくたん	112-1779-B,112-2899-B
極細 ごくぼそ	297-1524-B
極線 きょくせん	224-1294-B
極致 きょくち	71-5350-B,216-5953-B
極貧 ごくひん	82-672-B
極道 ごくどう	232-1791-B
極限 きょくげん	175-4261-B
楼 ろう	29-183-B,178-2683-B,310-5361-B,316-1902-B
楼観 ろうかん	329-4759-B
楽 らく	55-977-B,96-2933-B
楽々 らくらく	55-1269-B,96-3369-B
楽しい たのしい	102-1488-B,128-1337-B
楽しげ たのしげ	48-37-B,140-3270-B,222-5666-B
楽しみ たのしみ	102-1730-B,223-242-B
楽劇 がくげき	205-5250-B
楽員 がくいん	25-2139-B
楽団 がくだん	25-1778-B,206-6202-B
